[00:00:00.433 --> 00:00:02.796]  Organicacede.com today!
[00:06:33.976 --> 00:06:37.738]  They have warrantless wiretapping in non-terror-related cases now.
[00:06:38.078 --> 00:06:47.724]  The Cybersecurity Command of the NSA and the Air Force admit they're spying on the web, engaging in propaganda on the web, engaging in manipulation.
[00:06:48.384 --> 00:06:51.746]  They are doing all of this right now, everywhere.
[00:06:57.970 --> 00:06:58.972]  And it's just unspeakable.
[00:06:59.272 --> 00:07:01.777]  How is Obama going to get his carbon tax through in the fall?
[00:07:02.097 --> 00:07:04.361]  How's he going to get his socialized healthcare through in the fall?
[00:07:04.741 --> 00:07:07.766]  How's he going to get, quote, amnesty?
[00:07:09.528 --> 00:07:11.229]  Immigration reform through in the fall.
[00:07:11.649 --> 00:07:14.310]  How is he going to get his anti-gun bills that are all introduced through?
[00:07:14.711 --> 00:07:21.034]  How is he going to get his Clean Water Restoration Act that federalizes all above and below water in the country?
[00:07:21.054 --> 00:07:22.554]  The entire nation has water underground.
[00:07:23.095 --> 00:07:24.055]  Total federalization.
[00:07:24.435 --> 00:07:25.956]  No judge, no jury, they just take over.
[00:07:26.396 --> 00:07:30.418]  How are they going to successfully do that?
[00:07:30.819 --> 00:07:34.000]  How are they going to be able to do that?
[00:07:36.481 --> 00:07:37.502]  How is this going to be done?
[00:07:38.942 --> 00:07:40.403]  I'll tell you how this is going to be done.
[00:07:41.743 --> 00:07:53.287]  This is going to be done through fear-mongering, through brinksmanship, and maybe even war with Iran and Pakistan as a distraction and diversion.
[00:07:53.727 --> 00:08:00.610]  Maybe NATO will run another sneak attack on a Russian-controlled territory on its border, like South Ossetia and Georgia on 888 last year.
[00:08:02.130 --> 00:08:04.511]  Coming up on the anniversary of that in about eight days.
[00:08:05.171 --> 00:08:05.371]  Wow.
[00:08:06.612 --> 00:08:07.212]  Time flies.
[00:08:13.243 --> 00:08:14.604]  And the swine flu.
[00:08:15.445 --> 00:08:15.885]  Clearly.
[00:08:16.546 --> 00:08:21.690]  I mean, we know it's killed less than 200 people in the United States, and that's even puffed up numbers.
[00:08:21.990 --> 00:08:23.832]  We know it's killed less than 2,000 worldwide.
[00:08:24.092 --> 00:08:27.575]  We know the regular flu kills half a million every year, 37,000 in the United States.
[00:08:28.115 --> 00:08:30.217]  Why are they fear-mongering?
[00:08:31.278 --> 00:08:33.700]  Why are they freaking out so bad?
[00:08:33.840 --> 00:08:35.922]  Why are they going crazy?
[00:08:36.662 --> 00:08:38.544]  Why is this happening?
[00:08:39.464 --> 00:08:39.825]  Why
[00:08:41.812 --> 00:08:45.135]  Are they already pushing and getting the public ready for forced inoculation?
[00:08:45.455 --> 00:08:47.437]  Why are they announcing troops are going to be on the streets?
[00:08:47.997 --> 00:08:51.120]  Because, ladies and gentlemen, unemployment is above 21% now.
[00:08:51.140 --> 00:08:53.322]  And that's even with their Cook numbers.
[00:08:53.742 --> 00:08:58.466]  Things are rapidly deteriorating, fastly, by design.
[00:08:58.486 --> 00:09:02.590]  They're imploding the economy to consolidate, just like they did third world countries, over and over again.
[00:09:02.610 --> 00:09:05.432]  This is very, very serious.
[00:09:06.533 --> 00:09:08.435]  And this is happening now.
[00:09:10.148 --> 00:09:17.732]  And so I'm begging all of you, the listeners, to get informed and to get involved in your communities and to warn everybody around you.
[00:09:18.892 --> 00:09:38.482]  Remember that before the staged flu outbreak and fear-mongering in Mexico in April, I went on air in March 5th and on other transmissions and said specifically I believe they were going to stage a flu pandemic or fear-mongering to do with flu.
[00:09:39.571 --> 00:09:46.015]  The anthrax attacks run by the feds showed us that it only needs to kill a few people.
[00:09:46.115 --> 00:09:48.657]  It's the fear of it, the stampeding.
[00:09:49.397 --> 00:09:57.182]  You know, how did ancient aboriginals, how did ancient human tribes kill woolly mammoths for food?
[00:09:58.783 --> 00:10:06.588]  That was obviously the prey of choice because, you know, it had hundreds of times the meat that a deer would, per kill.
[00:10:07.765 --> 00:10:14.792]  Humans didn't usually go up against a woolly mammoth or a mastodon just with spears and swords and rocks.
[00:10:15.112 --> 00:10:18.836]  Spears and clubs and rocks.
[00:10:19.176 --> 00:10:20.417]  They didn't have swords, obviously.
[00:10:21.038 --> 00:10:25.863]  They would go up against them by having beaters in the woods.
[00:10:27.250 --> 00:10:30.613]  Or in a field, spread out, beating drums.
[00:10:31.314 --> 00:10:32.955]  And they would drive the mammoth.
[00:10:33.375 --> 00:10:37.439]  You might have a person spread out every 500 yards at first, beating their drums.
[00:10:38.640 --> 00:10:40.562]  Beating their drums, spread out over a couple miles.
[00:10:41.402 --> 00:10:45.766]  Driving, first in a straight line, then closing in.
[00:10:45.846 --> 00:10:48.068]  This is how sharks and dolphins hunt fish.
[00:10:48.489 --> 00:10:50.410]  Thrasher sharks go in circles around fish.
[00:10:50.751 --> 00:10:52.112]  Get them all into one mass and eat them.
[00:10:52.913 --> 00:10:53.293]  And they
[00:10:55.538 --> 00:11:03.502]  You know, they start in a straight line and start curving in, herding the mastodons towards cliffs, towards ambushes.
[00:11:05.142 --> 00:11:15.107]  And they could get the mastodons, or the woolly mammoths, depending on which subspecies of the pachyderm you're talking about, the elephants.
[00:11:16.748 --> 00:11:18.008]  At first, they wouldn't be that scared.
[00:11:18.028 --> 00:11:19.969]  They'd hear a drum beating and kind of move on.
[00:11:20.369 --> 00:11:23.911]  But the more they got chased, this might go on for, you know, a half a day.
[00:11:24.898 --> 00:11:28.223]  And now people dressed up, you know, in wild paint screaming.
[00:11:28.904 --> 00:11:33.951]  Because once they'd intimidated the elephants to run, the elephants could have stood their ground, turned and fought.
[00:11:34.712 --> 00:11:38.918]  Like humans could against the sign of a dictatorship now, being run by our own species against us.
[00:11:38.938 --> 00:11:40.861]  But the elites say we're a subspecies.
[00:11:43.180 --> 00:11:50.687]  If you'd like to quit smoking regular cigarettes and try a revolutionary new alternative, this might be the most important
[00:12:14.736 --> 00:12:15.878]  It looks like a cigarette.
[00:12:16.098 --> 00:12:18.121]  It feels and tastes like a cigarette.
[00:12:18.281 --> 00:12:20.424]  And even delivers nicotine like a cigarette.
[00:12:20.524 --> 00:12:26.512]  But because this is not a cigarette, it doesn't deliver toxic chemicals and tar into your lungs or discolor your teeth.
[00:12:26.712 --> 00:12:29.436]  The premium e-cigarette has no flame or ashes.
[00:12:29.736 --> 00:12:33.139]  And you can smoke it anywhere, even where cigarettes are not permitted.
[00:12:33.359 --> 00:12:37.562]  Because the vapor you exhale is only water, not dangerous second-hand smoke.
[00:12:37.762 --> 00:12:38.703]  You've tried the gum.
[00:12:38.863 --> 00:12:39.863]  You've tried the patch.
[00:12:40.083 --> 00:12:41.284]  You've tried cold turkey.
[00:12:41.485 --> 00:12:43.786]  Now it's time to try the premium e-cigarette.
[00:12:43.966 --> 00:12:48.029]  By doing so, you will save 60 to 75% over regular cigarettes.
[00:12:48.369 --> 00:12:51.852]  If you'd like to learn more, visit premiumecigarette.com.
[00:12:52.012 --> 00:12:54.894]  That's premium, the letter E, cigarette.com.
[00:12:55.054 --> 00:12:56.135]  Premiumecigarette.com.
[00:12:59.409 --> 00:13:09.123]  Hi, this is John Swenson again at Midas Resources and let me ask just one question.
[00:13:09.864 --> 00:13:12.888]  What would you list as the things that the federal government does really well?
[00:13:13.564 --> 00:13:15.905]  The armed forces and printing bogus money doesn't count.
[00:13:16.445 --> 00:13:22.408]  Now take that blank page of yours and list the ways that you have to protect your assets and escape the paper markets.
[00:13:23.028 --> 00:13:24.848]  The only real option is precious metals.
[00:13:25.369 --> 00:13:31.071]  For your retirement, your kid's education, or just plain survival when the whole Obama mess comes crashing down.
[00:13:32.048 --> 00:13:34.669]  You are the only one you can count on for a stimulus package.
[00:13:35.170 --> 00:13:39.092]  And I'd like to discuss a proven strategy to create that safety net for you and your family.
[00:13:39.672 --> 00:13:43.874]  Please give me a call at 800-686-2237, extension 128.
[00:13:44.114 --> 00:13:49.237]  That's 800-686-2237, extension 128.
[00:13:49.717 --> 00:13:52.999]  And together we can develop a Make Sense program before the clock runs out.
[00:13:53.619 --> 00:13:58.181]  Once more, John Swenson at 800-686-2237, extension 128.
[00:13:58.301 --> 00:14:01.003]  And take charge of your future and thank you.
[00:14:04.904 --> 00:14:10.210]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:14:10.731 --> 00:14:17.759]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:14:18.300 --> 00:14:24.467]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:14:24.907 --> 00:14:26.709]  Well, Obama's already fudging.
[00:14:26.849 --> 00:14:29.271]  He's fudged since day one of this election.
[00:14:29.351 --> 00:14:40.300]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:14:40.940 --> 00:14:42.221]  It's not about left or right.
[00:14:42.622 --> 00:14:44.023]  It's about a one-world government.
[00:14:44.483 --> 00:14:48.827]  This film documents who Obama works for, the lies he is told.
[00:14:49.472 --> 00:14:50.813]  And his real agenda.
[00:14:51.373 --> 00:14:59.137]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:14:59.637 --> 00:15:00.778]  The Obama Deception.
[00:15:01.218 --> 00:15:02.399]  The people strike back.
[00:15:04.181 --> 00:15:09.686]  Did you know many vitamin and mineral supplements on the market are made from rocks and ground up shells?
[00:15:10.167 --> 00:15:10.887]  Think about that.
[00:15:10.927 --> 00:15:13.570]  Would you swallow a handful of shells you found at the beach?
[00:15:14.070 --> 00:15:16.993]  Our body wasn't designed to digest rocks and shells.
[00:15:17.273 --> 00:15:27.063]  Hello, my name is Dr. David Friedman, formulator of Chews for Health, a delicious tasting chewable dietary supplement derived from 16 fruits, vegetables, and antioxidants.
[00:15:27.503 --> 00:15:33.090]  Unlike hard-to-digest pills, Choose for Health is a convenient chewable which allows for better digestion.
[00:15:33.330 --> 00:15:34.371]  The choice is yours.
[00:15:34.511 --> 00:15:39.798]  Swallow rocks and shells to supplement your diet, or a natural chewable product you can better digest.
[00:15:40.118 --> 00:15:40.879]  Choose for Health.
[00:15:41.139 --> 00:15:44.923]  The world's first superfruit, sea vegetable, antioxidant chewable.
[00:15:45.204 --> 00:15:47.667]  Whole food nutrition, not rocks and shells.
[00:15:49.649 --> 00:15:49.849]  1-800-210-1922.
[00:15:51.772 --> 00:15:56.238]  Call now and receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:15:56.258 --> 00:15:56.398]  1-800-210-1922.
[00:15:56.478 --> 00:15:57.379]  Or go to orderchoose.com.
[00:16:18.371 --> 00:16:23.537]  If you just tuned in, and you're like, why is this guy talking about woolly mammoths?
[00:16:23.597 --> 00:16:24.719]  About mastodons?
[00:16:25.419 --> 00:16:29.584]  About several species of extinct elephants?
[00:16:32.067 --> 00:16:36.412]  Well, because this is exactly what the globalists do to us.
[00:16:36.432 --> 00:16:37.633]  This is how they hunt us.
[00:16:38.717 --> 00:17:02.411]  And there's a lot of forms of hunting birds, hunting pheasant, where you have beaters in the bush that come out in a straight line, then they start forming a wedge, a pincer, and they push the birds out, and then finally start closing in and push them all out in one group, and then the nobles, the Queen of England, in fact you can probably pull up video, YouTube, Queen of England hunting pheasant, you'll see her standing in a field with woods,
[00:17:03.431 --> 00:17:05.872]  And hundreds of pheasants will suddenly just fly out.
[00:17:06.292 --> 00:17:14.175]  That was people beating the woods on her estate for hours, marching the birds, driving them out, so she can shoot them.
[00:17:15.736 --> 00:17:18.997]  And then, I like hunting myself, but talk about weird.
[00:17:19.037 --> 00:17:24.259]  She, like, enjoys wringing their necks and gets weird looks on her faces, so it's a little bit strange when she does it.
[00:17:25.159 --> 00:17:26.960]  I've seen video of that, I'm sure it's on the web.
[00:17:27.540 --> 00:17:31.422]  But the point is, they just released a little anthrax kills of
[00:17:32.290 --> 00:17:39.434]  Ten, fifteen people, I forget the exact number, injures a few hundred, sickens a few hundred, and same thing here.
[00:17:39.454 --> 00:17:43.957]  I mean, they have a couple deaths in Mexico and the U.S., a couple deaths in China.
[00:17:44.297 --> 00:17:48.120]  They act like it's the end of the world, because the media said so.
[00:17:48.820 --> 00:17:59.127]  Now, I had seen the feds preparing mass graves, gave you secret New York State documents, Indiana documents, Indiana emergency manager witnesses, had them on the show,
[00:18:00.529 --> 00:18:02.351]  And then later, all that came out in news.
[00:18:02.491 --> 00:18:04.092]  Oh yes, we are getting mass graves ready.
[00:18:04.132 --> 00:18:05.774]  We are getting troops ready.
[00:18:05.814 --> 00:18:07.035]  We are getting the army ready.
[00:18:07.295 --> 00:18:13.720]  We are having drills of local police practicing bringing fake vaccine in that militias are trying to steal.
[00:18:14.521 --> 00:18:16.182]  I knew that before April.
[00:18:16.663 --> 00:18:19.465]  They're now telling people they just started all this preparation in April?
[00:18:19.485 --> 00:18:25.530]  Because this is such a big takeover they're using the flu scare as a smoke screen for that
[00:18:26.551 --> 00:18:28.594]  They really started more than a year ago.
[00:18:28.915 --> 00:18:32.621]  We found out about it in January, February, and March.
[00:18:32.701 --> 00:18:34.744]  I did show after show warning you this was coming.
[00:18:35.245 --> 00:18:36.306]  And then April hit.
[00:18:37.697 --> 00:18:39.338]  And I just went on there and said, this is big.
[00:18:39.358 --> 00:18:43.740]  Whether it's a hoax or not, this is a cover story for something big.
[00:18:44.160 --> 00:18:45.981]  This is probably going to turn into something big in the fall.
[00:18:46.421 --> 00:18:47.701]  Exactly what I said happened there.
[00:18:48.082 --> 00:18:59.046]  And then listeners, I'm so busy always looking forward, they emailed me and said, here's the YouTube of you on your TV show and the radio saying all this would happen in March and laying it all out.
[00:18:59.106 --> 00:18:59.707]  How did you know?
[00:19:00.447 --> 00:19:13.079]  I mean, I wasn't even tooting my horn that I had exactly laid everything out, and that's why I was freaking out in April, going, this is big, this is big, it's happening, because I'd already said it was coming and knew it was happening.
[00:19:14.781 --> 00:19:15.482]  It's just incredible.
[00:19:17.068 --> 00:19:20.512]  So I'm like one of these elephants who's got a little bit of smarts.
[00:19:21.012 --> 00:19:22.053]  And I'm going, wait a minute.
[00:19:22.734 --> 00:19:27.379]  There's only one of those Cro-Magnon every 500 yards or so.
[00:19:27.419 --> 00:19:29.101]  There's hundreds of us elephants.
[00:19:29.841 --> 00:19:30.642]  They're all painted up.
[00:19:31.701 --> 00:19:34.804]  You know, they're wearing antlers and stuff to scare us.
[00:19:35.144 --> 00:19:36.285]  They're yelling, they're screaming.
[00:19:36.305 --> 00:19:38.987]  They hunt lions today in Africa like this.
[00:19:39.287 --> 00:19:44.432]  They beat the bush, drive the lion to where they got hunters waiting with these 15 foot long spears.
[00:19:44.792 --> 00:19:49.856]  And the men, it's key, I've seen them interviewed, the Zulus and others are big lion hunters.
[00:19:50.256 --> 00:19:51.578]  Pull that up, pull up lion hunting.
[00:19:51.918 --> 00:19:52.839]  Zulu lion hunting.
[00:19:52.879 --> 00:19:53.940]  I bet you can find that on YouTube.
[00:19:54.540 --> 00:19:57.141]  And they got these long, you know, 15, almost 20 foot spears.
[00:19:57.161 --> 00:19:58.282]  They're huge, long spears.
[00:19:58.562 --> 00:20:01.804]  And the men explain, it's key that they be more aggressive.
[00:20:01.824 --> 00:20:03.244]  That they not be afraid.
[00:20:03.264 --> 00:20:04.145]  Ha!
[00:20:04.165 --> 00:20:05.005]  Ha!
[00:20:05.205 --> 00:20:08.287]  Because that lion's gotta know, I'm tough, I'm gonna get you.
[00:20:08.307 --> 00:20:10.408]  And they corner him, then they stab him to death.
[00:20:11.204 --> 00:20:11.544]  Okay?
[00:20:11.885 --> 00:20:13.806]  Well, that's what all our ancestors did.
[00:20:14.006 --> 00:20:15.887]  That's why we extincted cave lions.
[00:20:16.368 --> 00:20:18.729]  That's why we extincted the big, mega cave bear.
[00:20:18.929 --> 00:20:22.112]  Humans hunted them out in Northern Europe and the Americas.
[00:20:23.172 --> 00:20:24.733]  Humans hunted out all the elephants.
[00:20:25.314 --> 00:20:28.076]  Because humans would get in that crazed mode.
[00:20:29.713 --> 00:20:31.774]  And, and, and, but, but actually meant it.
[00:20:32.454 --> 00:20:33.054]  You understand?
[00:20:33.074 --> 00:20:38.717]  And, you know, instead of being in the NFL, our top champion Warriors were taking on, you know, Cave Bears.
[00:20:38.737 --> 00:20:39.677]  You understand that, folks?
[00:20:40.177 --> 00:20:44.299]  And so, but, but, again, it's about who's got the momentum.
[00:20:44.980 --> 00:20:47.581]  And so the elephants would see these people that weren't scared.
[00:20:47.881 --> 00:20:50.202]  Now, if you'd have walked out in front of one of the elephants and not acted...
[00:20:51.078 --> 00:20:51.878]  Aggressive and mean.
[00:20:52.278 --> 00:20:56.300]  They would have come over and run over and tried to stomp on you, knowing you were something dangerous.
[00:20:56.920 --> 00:20:57.540]  And they do that.
[00:20:58.020 --> 00:20:58.800]  Just like a dog.
[00:20:59.020 --> 00:21:02.501]  A dog runs up on you and growls, even if it's one of the most vicious attack dogs.
[00:21:02.521 --> 00:21:04.982]  If you start going at it, it will go into defense mode.
[00:21:05.362 --> 00:21:08.303]  But no, the movies and culture tell you to run from a dog.
[00:21:09.343 --> 00:21:12.684]  You know, these movies never show a woman with a gun in her house when the killer comes.
[00:21:13.244 --> 00:21:15.025]  Again, it's all programming.
[00:21:15.225 --> 00:21:16.045]  And they admit this.
[00:21:16.065 --> 00:21:17.065]  We have government documents.
[00:21:17.105 --> 00:21:18.105]  We've covered them.
[00:21:18.866 --> 00:21:29.829]  So instead, you know, there's a group of a hundred Macedons or more in these big troops, you know, these big herds, and they see these people painted up with weird paint on them.
[00:21:30.769 --> 00:21:33.391]  And they start going, oh I don't like that.
[00:21:33.471 --> 00:21:38.775]  And then again, the humans start chasing them for hours, closing it in, driving them over the cliff.
[00:21:38.815 --> 00:21:45.961]  That's the SWAT teams, NORTHCOM, the military, are just a few people scaring us, the big, strong, massive humans.
[00:21:46.001 --> 00:21:51.165]  See, the elites say that they are engaging in predator activity against the general public.
[00:21:51.505 --> 00:21:53.527]  They say in the natural order that's their jobs.
[00:21:54.568 --> 00:21:55.508]  We're on the march.
[00:21:55.969 --> 00:21:57.490]  The Empire's on the run.
[00:21:58.468 --> 00:22:01.270]  Alex Jones and the GCN Radio Network.
[00:22:04.013 --> 00:22:09.017]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:22:09.217 --> 00:22:13.020]  Number one, new climate legislation could easily double or triple your electric bill.
[00:22:13.240 --> 00:22:18.825]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:22:19.145 --> 00:22:19.586]  It's true.
[00:22:19.786 --> 00:22:24.734]  Total government control of electricity in the name of smart grid technology is coming.
[00:22:25.135 --> 00:22:30.583]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:22:31.425 --> 00:22:34.049]  The hurricane and dangerous summer storm season is here again.
[00:22:34.309 --> 00:22:37.690]  Every year thousands of families lose their power from weather related outages.
[00:23:03.649 --> 00:23:04.750]  This is Alex Jones.
[00:23:05.030 --> 00:23:06.812]  Have you heard of the Millionaire Patriot?
[00:23:07.012 --> 00:23:07.653]  Well, you should.
[00:23:07.673 --> 00:23:12.258]  He has a free handgun and five days of firearms training waiting for you.
[00:23:12.498 --> 00:23:12.978]  That's right.
[00:23:13.299 --> 00:23:21.767]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:23:21.967 --> 00:23:23.229]  All for pennies on the dollar.
[00:23:23.329 --> 00:23:24.470]  Plus, if you act fast.
[00:23:24.670 --> 00:23:30.292]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:23:30.653 --> 00:23:37.155]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:23:37.536 --> 00:23:42.718]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:23:43.058 --> 00:23:44.199]  This is real.
[00:23:44.519 --> 00:23:45.260]  Don't miss out.
[00:23:45.560 --> 00:23:53.948]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:23:54.128 --> 00:23:56.310]  Go to FrontSight.com today.
[00:23:56.510 --> 00:24:00.033]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:24:00.193 --> 00:24:03.116]  Go to FrontSight.com for your training and free gun.
[00:24:04.164 --> 00:24:11.009]  Finally in the news this evening, it's being reported that cyber spies from Russia and China have now penetrated our power grid.
