[00:00:00.979 --> 00:00:06.048]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:05:55.993 --> 00:06:12.621]  from top appraisers, and they were able to get AAA, that's pristine, that's supposed to mean zero credit risk, AAA ratings from the top three rating companies in the world for stuff that was known in the trade as toxic waste.
[00:06:14.622 --> 00:06:22.186]  And that allowed them to sell trillions of dollars, well over two trillion dollars
[00:06:25.178 --> 00:06:52.828]  Now this has been described as a Ponzi scheme too big to fail and it's now a black hole and that the industry that engineered this understands that they can hold the population hostage and say just do whatever we say or we'll have a depression and then when we end up in a depression anyways from their activities they're going to be sitting there with all the assets.
[00:06:54.329 --> 00:06:56.230]  Well, I call it the suicide strategy.
[00:06:56.410 --> 00:07:01.972]  I don't know if people have seen Blazing Saddles, but the sheriff is surrounded by hostile town folks.
[00:07:02.012 --> 00:07:06.935]  He takes out his gun, points it at his own head and says, you know, don't move or I'll shoot.
[00:07:07.855 --> 00:07:10.056]  And that's essentially what these big banks are doing.
[00:07:10.296 --> 00:07:15.658]  They're saying, you know, give us unlimited amounts of money or we'll fail.
[00:07:15.858 --> 00:07:19.260]  And if we fail, we'll take down the entire economy with you.
[00:07:20.003 --> 00:07:23.188]  Why we would believe any of these people is beyond me.
[00:07:23.228 --> 00:07:32.121]  Why we would leave in charge people that are willing to make that kind of obscene extortion is absolutely beyond me.
[00:07:34.448 --> 00:07:44.090]  Now, specifically, from your experience, tell the listeners a little bit about who you've investigated in the past, what you've dealt with, and you're one of the leading experts, really, in the world on going after these types of frauds.
[00:07:44.110 --> 00:07:49.651]  But the difference here is, the media's not saying the Keating Five are bad, or the regulators were bad that let it happen.
[00:07:50.031 --> 00:07:51.811]  Instead, they're saying these are our saviors.
[00:07:51.871 --> 00:07:57.352]  So, is this new territory where they're just a blank check to do whatever they want?
[00:07:58.053 --> 00:08:00.073]  Now, the terrible shame about this
[00:08:01.382 --> 00:08:05.344]  This isn't simply a case of failing to learn from mistakes in the past.
[00:08:05.824 --> 00:08:08.505]  We've forgotten successes in the past.
[00:08:09.065 --> 00:08:12.987]  So during the savings and loan debacle, for example, we actually looked.
[00:08:13.407 --> 00:08:15.247]  God forbid, that would be a nice idea, wouldn't it?
[00:08:15.888 --> 00:08:17.608]  Look at what was causing the problem.
[00:08:18.209 --> 00:08:19.349]  We had a national commission.
[00:08:19.409 --> 00:08:21.410]  I was the deputy staff director on that.
[00:08:21.770 --> 00:08:30.093]  It concluded, after looking at all the major failures, that at the typical large failure, fraud was, their words,
[00:08:30.578 --> 00:08:32.199]  Invariably present.
[00:08:33.059 --> 00:08:35.440]  And they meant fraud from the CEO ranks.
[00:08:36.060 --> 00:08:36.300]  Right?
[00:08:37.300 --> 00:08:40.481]  So there we knew what was going on.
[00:08:40.561 --> 00:08:43.482]  We knew the pattern that these frauds followed.
[00:08:43.602 --> 00:08:46.844]  And it's very similar to the existing one.
[00:08:47.244 --> 00:08:48.824]  You gut your underwriting.
[00:08:49.444 --> 00:08:51.485]  You pervert your internal controls.
[00:08:52.085 --> 00:08:53.846]  You grow massively.
[00:08:54.206 --> 00:08:56.667]  And you make the worst possible loans.
[00:08:57.107 --> 00:09:00.028]  Because you can grow a lot faster by making bad loans.
[00:09:00.467 --> 00:09:08.273]  And trying to compete for good loans and because bad loans pay more in the short term in terms of higher interest rates and fees.
[00:09:08.893 --> 00:09:16.919]  And you make a ton of money as an absolute mathematical guarantee when you do that during the expansion phase of the bubble.
[00:09:18.120 --> 00:09:22.423]  And then, of course, it's also guaranteed that you'll produce a catastrophe.
[00:09:22.503 --> 00:09:28.307]  So I was at the staff level, the person leading the re-regulation.
[00:09:28.988 --> 00:09:30.529]  of the savings and loan industry.
[00:09:31.269 --> 00:09:35.811]  As a litigation director, I was suing the crooks.
[00:09:35.871 --> 00:09:46.495]  And as I said, unlike this crisis, we went after places like Lincoln Savings when they were still reporting they were the most profitable savings and loans in the country.
[00:09:47.135 --> 00:09:50.956]  We said, no, you're frauds, and went about trying to put them out of business.
[00:09:51.457 --> 00:09:57.619]  In the current crisis, the FBI did not even begin to investigate
[00:09:58.328 --> 00:09:59.029]  The big lenders.
[00:09:59.089 --> 00:10:02.951]  And remember, 80% of the fraud, according to the FBI, comes from the lenders.
[00:10:03.432 --> 00:10:14.679]  The FBI doesn't even begin to investigate them until March of 2007, when the entire secondary market in toxic waste shuts down.
[00:10:15.019 --> 00:10:24.806]  And of course, it's now two years later, and there is not a single significant indictment of any of these specialty frauds.
[00:10:25.687 --> 00:10:27.468]  And a whole chunk of these folks
[00:10:28.700 --> 00:10:32.722]  What they sold was known in the trade as liar's loans.
[00:10:33.243 --> 00:10:42.288]  Now how hard is it, as a prosecutor, as a regulator, to figure out that if the trade calls something a fraud, it's probably a fraud?
[00:10:45.831 --> 00:10:46.271]  Amazing.
[00:10:46.311 --> 00:10:47.791]  They even label it a fraud.
[00:10:48.051 --> 00:10:49.552]  I mean, look at Madoff.
[00:10:49.892 --> 00:11:04.035]  How, for nine years, was he telling the SEC this was going on, and then when the SEC is asked about it, they say, oh, he's not guilty, or he hasn't pled guilty yet when he already had, and then they arrogantly, you know, declare executive privilege?
[00:11:05.295 --> 00:11:07.556]  Well, the SEC has been emasculated.
[00:11:08.936 --> 00:11:11.076]  It is utterly non-functional.
[00:11:11.936 --> 00:11:14.437]  What we now know, finally,
[00:11:14.781 --> 00:11:20.926]  Because finally, Congress started to hold some hearings last year into the rating agencies.
[00:11:21.647 --> 00:11:24.889]  And we learned the following things about the rating agencies.
[00:11:25.810 --> 00:11:28.072]  And the rating agencies were absolutely critical.
[00:11:28.112 --> 00:11:31.675]  If you don't get a AAA rating, you can't sell this toxic waste.
[00:11:31.695 --> 00:11:33.036]  All right, stay there, sir.
[00:11:33.056 --> 00:11:33.496]  We got a break.
[00:11:33.536 --> 00:11:33.976]  Quick break.
[00:11:34.437 --> 00:11:37.099]  Come back with our guest, William K. Black.
[00:11:37.980 --> 00:11:38.760]  He is a
[00:11:40.137 --> 00:11:53.627]  Associate Professor of Economics and Law at the University of Missouri-Kansas City School of Law and one of the head honchos that went after the SNL barons successfully during the 1980s.
[00:11:54.147 --> 00:11:59.311]  But now they're back with a vengeance and swallowing the whole world in a black hole of debt.
[00:12:01.854 --> 00:12:02.314]  We're good to go.
[00:12:19.441 --> 00:12:25.706]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:12:26.007 --> 00:12:31.791]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:12:32.012 --> 00:12:34.454]  From big to small, we have it all.
[00:12:34.694 --> 00:12:38.457]  Pepperspray, mace, animal repellents, stun guns, and tasers.
[00:12:38.717 --> 00:12:45.121]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:12:45.441 --> 00:12:50.043]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:12:50.343 --> 00:12:51.744]  So what are you waiting for?
[00:12:51.984 --> 00:12:53.745]  Go to Pepperspray.com.
[00:12:53.945 --> 00:12:55.926]  That's Pepperspray.com.
[00:12:56.087 --> 00:12:56.947]  Or call 1-800-908-9988 today!
[00:13:01.437 --> 00:13:05.099]  Have you ever felt like the United States government knows way too much about your financial affairs?
[00:13:05.499 --> 00:13:10.923]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[00:13:11.383 --> 00:13:12.463]  It makes me wonder if the U.S.
[00:13:12.483 --> 00:13:16.566]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[00:13:17.206 --> 00:13:30.434]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act and Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[00:13:30.994 --> 00:13:36.316]  For this reason Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[00:13:36.596 --> 00:13:42.557]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[00:13:43.258 --> 00:13:44.598]  Call for your free copy at 1-800-686-2237.
[00:13:44.738 --> 00:13:49.279]  When investing, always proceed with caution.
[00:13:49.699 --> 00:13:50.300]  Again, call 1-800-686-2237.
[00:13:50.320 --> 00:13:52.520]  Exercise your legal right to trade metals privately.
[00:13:52.540 --> 00:13:52.600]  1-800-686-2237.
[00:14:01.394 --> 00:14:06.721]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:14:07.222 --> 00:14:14.251]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:14:14.793 --> 00:14:20.999]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:14:21.379 --> 00:14:23.221]  Well, Obama's already fudging.
[00:14:23.361 --> 00:14:25.763]  He's fudged since day one in this election.
[00:14:25.844 --> 00:14:36.814]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:14:37.418 --> 00:14:38.719]  It's not about left or right.
[00:14:39.079 --> 00:14:40.480]  It's about a one world government.
[00:14:40.941 --> 00:14:47.306]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:14:47.866 --> 00:14:55.652]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:14:56.133 --> 00:14:57.274]  The Obama Deception.
[00:14:57.694 --> 00:14:58.895]  The people strike back.
[00:15:01.135 --> 00:15:01.995]  Spring is here.
[00:15:02.255 --> 00:15:03.036]  Growing season.
[00:15:03.216 --> 00:15:05.196]  The economy is not getting any better.
[00:15:05.416 --> 00:15:06.817]  In fact, it's getting worse.
[00:15:07.117 --> 00:15:07.797]  Think about it.
[00:15:08.097 --> 00:15:11.958]  At this rate, how will your life be in a month or even a year?
[00:15:12.198 --> 00:15:15.679]  Maybe you've been putting things off, but the time to act is now.
[00:15:15.939 --> 00:15:17.559]  The country is running out of food.
[00:15:17.839 --> 00:15:20.400]  You need to get your seeds before it's too late.
[00:15:20.660 --> 00:15:27.582]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs,
[00:15:27.862 --> 00:15:28.082]  I'm good.
[00:15:46.676 --> 00:15:47.516]  And the best part?
[00:15:47.796 --> 00:15:49.837]  All orders ship within 24 hours.
[00:15:50.137 --> 00:15:52.797]  So head over to OrganicaSeed.com.
[00:15:52.997 --> 00:15:57.298]  That's O-R-G-A-N-I-C-A-S-E-E-D dot com.
[00:15:57.558 --> 00:15:59.759]  OrganicaSeed.com today.
[00:15:59.779 --> 00:16:06.400]  Alright, William K. Black is our guest.
[00:16:06.420 --> 00:16:07.280]  We're gonna go right back to him.
[00:16:08.981 --> 00:16:10.561]  Mr. Black boiling it all down.
[00:16:11.766 --> 00:16:15.308]  But in your own words, both parties are bought and paid for by Wall Street.
[00:16:15.628 --> 00:16:18.210]  Obama got, what, four times Wall Street money McCain did.
[00:16:18.230 --> 00:16:21.292]  I'm not saying I was pushing McCain either.
[00:16:21.312 --> 00:16:34.641]  Obama's claiming he's fighting Wall Street when his whole administration, it seems, is filled with the very people that got rid of the Glass-Steagall Act and allowed this to happen from the 1990s.
[00:16:34.701 --> 00:16:37.082]  And, of course, the Bush people are willing accomplices as well.
[00:16:37.423 --> 00:16:39.164]  I mean, can you speak specifically to that?
[00:16:39.184 --> 00:16:40.585]  Oh, sure.
[00:16:42.091 --> 00:16:59.380]  Clearly, the Rubin-Sommers-Geithner wing of economic advice in the Obama administration is very, very similar to Paulson's views.
[00:16:59.920 --> 00:17:06.544]  In other words, there really is not much of a difference at all between the two administrations
[00:17:07.051 --> 00:17:15.073]  In their view, there was broad bipartisan support for getting rid of the Glass-Steagall Law, for example.
[00:17:15.113 --> 00:17:26.976]  There was broad bipartisan support for destroying Brooksley Bourne's effort to regulate credit default swaps, which are the things that blew up AIG.
[00:17:27.576 --> 00:17:35.318]  And at AIG, the taxpayers have already lost more money than the entire savings and loan cost, debacle cost.
[00:17:35.902 --> 00:17:38.243]  And by the way, you know, AIG, we weren't on the hook.
[00:17:38.843 --> 00:17:41.284]  It's not a federally insured depository.
[00:17:41.864 --> 00:17:45.285]  That was gratuitous giveaway of taxpayer money.
[00:17:45.585 --> 00:17:57.950]  So this is a new level of Ponzi schemes, where they make hundreds of billions and trillions on the way up, and now, with the bailouts on their Ponzi scheme, they get even more money on the other side of it with the taxpayer on the hook.
[00:17:58.230 --> 00:18:00.070]  Well, this will only encourage more fraud.
[00:18:00.651 --> 00:18:03.071]  That's exactly what we're trying to get across.
[00:18:03.291 --> 00:18:04.712]  You do this type of thing,
[00:18:05.222 --> 00:18:25.550]  You encourage businesses to be even more abusive going forward, because they can do the most outrageous things, get incredibly wealthy through the bonuses doing them, and even when they cause disaster, they get new bonuses and more compensation paid by the taxpayers.
[00:18:26.251 --> 00:18:30.792]  It is a system, you know, the movie The Gods Must Be Crazy.
[00:18:31.873 --> 00:18:34.394]  It's got to be the theme for both administrations.
[00:18:35.003 --> 00:18:37.163]  Because it is utterly insane policy.
[00:18:37.463 --> 00:18:39.144]  But isn't it crazy like a fox?
[00:18:39.204 --> 00:18:54.987]  I mean, they make money on building up the Pyramid Ponzi scheme, and then now, because they're in total control of both parties in the executive, legislative, judicial, to a certain extent, and they control the military and the police, and they control the media, and so it's crazy like a fox!
[00:18:55.047 --> 00:18:56.447]  I mean, they're making out like bandits!
[00:18:56.907 --> 00:18:59.528]  Oh, I don't say it's crazy from a banker's perspective.
[00:18:59.568 --> 00:19:01.928]  It's perfectly sensible from a banker's perspective.
[00:19:02.548 --> 00:19:13.517]  But from any politician's perspective, yeah, we can understand how much they get in the way of campaign contributions, but this is a superb way to get thrown out of office.
[00:19:14.478 --> 00:19:21.663]  It's a superb way to have your reputation destroyed and to have your integrity besmirched.
[00:19:22.083 --> 00:19:29.009]  Is it not a superb way, Professor Black, to also cause a Weimar Republic type situation?
[00:19:30.970 --> 00:19:58.180]  Well, I think that we'll stop short of Weimar this time, certainly, but if you keep this up, you will take, you know, by far the top nation in the world in a whole host of dimensions, and you will reduce it to another case of crony capitalism, where you have utter socialism for the rich, in the sense of the failed bankers, paid for by all of us.
[00:19:59.021 --> 00:19:59.581]  And that will be a
[00:20:00.307 --> 00:20:00.868]  Very good.
[00:20:14.198 --> 00:20:15.419]  Wow, that is just amazing.
[00:20:15.439 --> 00:20:20.463]  You know, I try to explain that to people and they're like, it's liberal, it's conservative, it's socialism, it's fascism.
[00:20:20.783 --> 00:20:28.669]  And I'm like, no, this is corrupt pirates running inside scams, bankrupting everything, and then having the people pay for it.
[00:20:29.009 --> 00:20:34.453]  When Newsweek comes out and says we're all socialists now, isn't this, this is the opposite of socialism.
[00:20:34.473 --> 00:20:37.376]  This isn't them helicoptering money down on the people.
[00:20:37.696 --> 00:20:39.978]  This is helicoptering money to the offshore banks.
[00:20:40.612 --> 00:20:44.774]  Yeah, I mean, if you wanted precedent to be closest to National Socialism.
[00:20:47.315 --> 00:20:50.617]  I guess where they call it socialism, but really just give it all to the inner party?
[00:20:50.637 --> 00:20:53.218]  Yeah, it's a fascist arrangement.
[00:20:54.279 --> 00:20:55.619]  And then they call it socialist.
[00:20:56.240 --> 00:20:59.321]  Right, well, you know, the Nazi Party calls itself National Socialist.
[00:20:59.381 --> 00:21:01.802]  I'm not comparing either of these to Nazis.
[00:21:01.842 --> 00:21:07.305]  I don't think that's, you know, that misuse of the phrase strikes me as
[00:21:08.345 --> 00:21:10.668]  Really diminishing what Nazis were all about.
[00:21:10.688 --> 00:21:12.350]  But the economic system is similar.
[00:21:13.010 --> 00:21:17.876]  But the economic system is... I think the best way to describe it is crony capitalism.
[00:21:18.156 --> 00:21:18.336]  Yeah.
[00:21:18.617 --> 00:21:20.599]  And that's a terrible system.
[00:21:20.699 --> 00:21:25.805]  Anybody who's ever lived in a nation like that doesn't want to be there.
[00:21:25.825 --> 00:21:26.185]  Okay.
[00:21:26.285 --> 00:21:27.807]  It's like, of course, there's the crony capitalism.
[00:21:28.690 --> 00:21:29.531]  Okay, exactly.
[00:21:29.571 --> 00:21:30.651]  It's good for them, nobody else.
[00:21:31.052 --> 00:21:36.095]  Let's come back and talk about who's at fault, how we bring them to justice, so that we can stop them.
[00:21:36.115 --> 00:21:38.296]  Because they control the political system now.
[00:21:38.356 --> 00:21:44.460]  If we don't stop them somehow, as you said, it's going to lead to Weimar Republic or, I guess, Zimbabwe.
[00:21:45.060 --> 00:21:48.062]  His book is The Best Way to Rob a Bank is to Own One.
[00:21:48.102 --> 00:21:49.122]  You gotta read it, folks.
[00:21:49.623 --> 00:21:51.184]  We really appreciate William K. Black.
[00:21:51.344 --> 00:21:52.224]  We're on the march.
[00:21:52.725 --> 00:21:54.326]  The empire's on the run.
[00:21:55.266 --> 00:21:57.948]  Alex Jones and the GCN Radio Network.
[00:22:01.138 --> 00:22:05.960]  The new Multipolar Inline and Portable Water System, new from HempUSA.org.
[00:22:06.180 --> 00:22:14.583]  Now you can restructure and degas your water supply from any source, rendering chemicals harmless to the human body by polarizing the molecular structure.
[00:22:14.783 --> 00:22:19.485]  Imagine a softer, smoother water with increased oxygen that helps the nervous system and brain.
[00:22:19.705 --> 00:22:26.607]  There are no filters to buy, and it can be taken anywhere, making it our number one new product from HempUSA.org.
[00:22:26.787 --> 00:22:29.228]  This water system will descale all piping,
[00:22:29.448 --> 00:22:29.728]  I think so.
[00:22:49.082 --> 00:22:52.644]  There are multiple sizes also available for farms and commercial use.
[00:22:52.864 --> 00:22:55.045]  Visit hempusa.org or call 908-691-2608.
[00:22:55.065 --> 00:22:55.385]  That's 908-691-2608.
[00:22:55.405 --> 00:22:59.187]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:23:07.532 --> 00:23:12.896]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:23:13.417 --> 00:23:19.621]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:23:19.921 --> 00:23:21.723]  Well, Obama's already fudging.
[00:23:21.883 --> 00:23:24.285]  He's fudged since day one of this election.
[00:23:24.345 --> 00:23:35.233]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:23:37.518 --> 00:23:38.799]  It's not about left or right.
[00:23:39.199 --> 00:23:40.599]  It's about a one world government.
[00:23:41.059 --> 00:23:47.382]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:23:47.962 --> 00:23:55.745]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:23:56.225 --> 00:23:57.385]  The Obama Deception.
[00:23:57.805 --> 00:23:58.986]  The people strike back.
[00:24:00.635 --> 00:24:06.518]  How would you like to finally be debt free without paying another cent to creditors and not have to file bankruptcy?
[00:24:06.798 --> 00:24:10.240]  DebtCrisisSolutions.com can help free you from the debt trap.
[00:24:10.420 --> 00:24:15.142]  This is not a debt settlement program which has tax consequences or debt consolidation.
[00:24:15.282 --> 00:24:18.784]  With our program, there are no more payments to creditors or collectors.
[00:24:19.004 --> 00:24:25.327]  We will help restore your credit history, protect your property, prevent paycheck garnishments, and preserve your bank account.
[00:24:25.487 --> 00:24:26.207]  We're good to go.
[00:24:47.498 --> 00:24:47.718]  Call 718-615-0123.
[00:24:47.738 --> 00:24:48.038]  That's 718-615-0123.
[00:24:48.118 --> 00:24:50.139]  Or visit them online at DebtCrisisSolutions.com.
[00:24:50.179 --> 00:24:51.420]  That's DebtCrisisSolutions.com today!
[00:25:11.215 --> 00:25:19.538]  Okay, in the limited time we have with William K. Black, top federal investigator of the SNLs, the Keating Five, helped send some of them to jail.
[00:25:21.118 --> 00:25:24.539]  And they got memos out from Keating saying, we want to kill this guy, kill him dead.
[00:25:25.400 --> 00:25:27.080]  Clearly, very, very scary people.
[00:25:27.100 --> 00:25:36.703]  And a lot of folks ended up dying mysterious deaths, not just here, but in Australia, and BCCI, and Clark Clifford, and that whole CIA front.
[00:25:37.504 --> 00:25:38.084]  Mr. Black,
[00:25:39.758 --> 00:25:48.022]  Continuing here, I want to go back briefly and then get into who's culpable, what Geithner's up to, you know, how we stop him, because there's this key nexus point.
[00:25:48.342 --> 00:26:02.870]  As you point out, when you got Paulson, you got Geithner, it now comes out that even, you know, before Obama was elected and after he was elected, they were already working with Geithner on writing up the bailout, the banker takeover, when he was head of the New York Fed.
[00:26:03.430 --> 00:26:06.312]  And you've got the Chief of Staff, Emanuel from Wall Street,
[00:26:07.092 --> 00:26:19.976]  I mean, literally, it's this tight coterie, this group of people in there working together, Republicans and Democrats, like I've never seen before in modern history.
[00:26:20.476 --> 00:26:23.357]  But a lot of people email me and say, oh, don't bash Obama.
[00:26:24.017 --> 00:26:25.418]  This was Bush that did all this.
[00:26:25.438 --> 00:26:28.799]  And I'm like, yeah, Bush did it, and now Obama's going along with it.
[00:26:28.819 --> 00:26:34.861]  So can you break down what happened with the banker bailout from your own research?
[00:26:34.881 --> 00:26:35.721]  Is that bipartisan?
[00:26:37.912 --> 00:26:43.355]  The banker bailout is fairly bipartisan.
[00:26:44.075 --> 00:27:03.464]  It's wrong, not even so much, frankly, because of politics directly, as because of very, very poor creation of the plan, originally by Secretary Paulson, and then eventually with the assistance of Geithner when he was still president.
[00:27:03.914 --> 00:27:05.595]  of the Federal Reserve Bank of New York.
[00:27:05.955 --> 00:27:09.037]  This really wasn't compelled on them by the politicians.
[00:27:09.498 --> 00:27:12.259]  This is more, they are so tight with the industry.
[00:27:12.700 --> 00:27:26.488]  Paulson in particular, after all, is the guy who came from Goldman Sachs, had run Goldman Sachs before he became Treasury Secretary, had gotten Goldman Sachs into toxic waste.
[00:27:26.889 --> 00:27:30.651]  He's the guy that got them into trouble with toxic waste.
[00:27:31.311 --> 00:27:32.152]  Then he comes out
[00:27:33.387 --> 00:27:35.508]  And AIG is in trouble.
[00:27:36.088 --> 00:27:51.451]  He appoints a group to give him advice and he puts Goldman Sachs, his own firm, on the advisory panel when it has a massive conflict of interest because AIG owes it billions and billions of dollars.
[00:27:52.251 --> 00:27:52.891]  And guess what?
[00:27:52.991 --> 00:27:53.691]  They advise.
[00:27:54.112 --> 00:28:00.813]  They advise Paulson to use, first to bail out AIG and then to secretly
