[00:00:04.192 --> 00:00:10.015]  The web, efoodsdirect.com, 800-409-5633.
[00:02:05.539 --> 00:02:06.399]  It's simple too.
[00:02:06.399 --> 00:02:08.680]  Natural, tasteless crystals that dissolve in any food or beverage.
[00:02:08.900 --> 00:02:13.785]  EverCleanse will flatten out your midsection, reduce love handles, and bellies and bloating have been disappearing in just days.
[00:02:13.785 --> 00:02:18.289]  You see, EverCleanse gets rid of the weight you can't take off by exercising or starving yourself on a diet.
[00:02:18.289 --> 00:02:20.412]  And it's not something you have to take for the rest of your life.
[00:02:20.412 --> 00:02:22.293]  Call now to receive a very special offer.
[00:02:22.293 --> 00:02:22.574]  Call 800-567-5598.
[00:02:22.574 --> 00:02:23.314]  Ask about a free supply.
[00:02:23.314 --> 00:02:23.395]  800-567-5598.
[00:02:23.395 --> 00:02:23.655]  That's 800-567-5598.
[00:02:33.385 --> 00:02:40.407]  The president's chief economic advisor says the bonus payments given out to the American International Group are outrageous.
[00:02:40.407 --> 00:02:50.829]  This whole area is something we're going to have to look at as we think about regulation in the future because no one can be satisfied with what's happened.
[00:02:50.829 --> 00:02:56.151]  Lawrence Summers told ABC that the troubled insurance giant got more than $170 billion in bailout money.
[00:02:58.624 --> 00:03:03.366]  And the weather is looking good for tonight's rescheduled launch of the Space Shuttle Discovery.
[00:03:03.366 --> 00:03:08.587]  Repairs have been made after a hydrogen gas leak scrapped liftoff plans Wednesday.
[00:03:08.587 --> 00:03:13.509]  The delay has shortened the mission by at least a day, increasing pressure for today's departure.
[00:03:13.509 --> 00:03:15.130]  This is NASA's George Stiller.
[00:03:15.130 --> 00:03:21.632]  Right now we are well past the point where our leakage problem developed on our first launch attempt.
[00:03:22.658 --> 00:03:26.761]  And we are not seeing any indications of leakage at all.
[00:03:26.761 --> 00:03:32.965]  For the latest news and analysis, log on to IRNUSANews.com.
[00:03:32.965 --> 00:03:37.788]  With a word about Israel, here's best-selling author and Bible teacher, Kay Arthur.
[00:03:37.788 --> 00:03:40.590]  If you could only visit one country...
[00:03:41.632 --> 00:03:49.083]  One nation on the face of this earth, it should be Israel, because then you'll never be the same.
[00:03:49.083 --> 00:03:52.549]  To start planning your trip to Israel today, call 1-888-77-ISRAEL or visit www.goisrael.com.
[00:04:05.346 --> 00:04:12.932]  Sounds from Sunday services that resumed today at an Illinois church, one week after the senior pastor was gunned down.
[00:04:12.932 --> 00:04:17.816]  A minister from Texas talked to the congregation and spoke from his own experience.
[00:04:17.816 --> 00:04:24.382]  A decade ago, a gunman entered his Fort Worth church and killed seven people before committing suicide.
[00:04:24.382 --> 00:04:30.627]  OPEC oil ministers say they'll continue current output levels, but try to end overproduction by some cartel members.
[00:04:31.309 --> 00:04:35.810]  Today's decision means there'll be no cutbacks from December production levels.
[00:04:35.810 --> 00:04:39.291]  Abdallah Saleem al-Badri is the OPEC Secretary General.
[00:04:39.291 --> 00:04:47.633]  Taking into consideration what's going on in the world economy, everything we try to talk about, everything is negative, you know.
[00:04:47.633 --> 00:04:50.113]  Every day we're receiving negative information.
[00:04:50.113 --> 00:04:53.474]  So we just try to balance the situation out.
[00:04:53.474 --> 00:04:58.355]  And Israel is setting a deadline for a prisoner exchange with the Hamas rulers of Gaza.
[00:04:59.053 --> 00:05:00.173]  Here's Mark Levy.
[00:05:00.173 --> 00:05:07.535]  The clock is ticking down on a deal for release of an Israeli soldier held nearly three years by Hamas-linked militants in Gaza.
[00:05:07.535 --> 00:05:10.096]  Israel has set a special cabinet meeting for tomorrow.
[00:05:10.096 --> 00:05:14.377]  If there's no deal today, the prisoner issue will be turned over to the next government.
[00:05:14.377 --> 00:05:20.199]  The current government appears willing to free most of the prisoners Hamas is demanding, including convicted terrorists.
[00:05:20.199 --> 00:05:26.341]  But Benjamin Netanyahu, the incoming Israeli Prime Minister, takes a harder line against Hamas and Arabs in general.
[00:05:26.986 --> 00:05:28.168]  Mark Levy, Jerusalem.
[00:05:28.168 --> 00:05:32.773]  And I'm Jody Jordan for IRN USA Radio News.
[00:05:32.773 --> 00:05:37.860]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:05:37.860 --> 00:05:44.168]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[00:05:44.932 --> 00:05:53.957]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[00:05:53.957 --> 00:06:01.880]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[00:06:01.880 --> 00:06:08.104]  Call 908-691-2608 or visit hempusa.org today.
[00:06:08.104 --> 00:06:12.866]  Hempusa.org believes that now is the time to plan for the future
[00:06:13.266 --> 00:06:15.967]  And food will be your greatest asset.
[00:06:15.967 --> 00:06:18.728]  People spend money on all kinds of things.
[00:06:18.728 --> 00:06:23.609]  But our warning is prepare now for food shortages in the future.
[00:06:23.609 --> 00:06:24.969]  So don't delay.
[00:06:24.969 --> 00:06:25.629]  Call today.
[00:06:25.629 --> 00:06:32.291]  908-691-2608 and see what our powder, seeds and oil can do for you.
[00:06:32.291 --> 00:06:39.293]  Prepare yourself for a talk radio experience like no other.
[00:06:39.293 --> 00:06:41.634]  Strap yourselves in and hold on.
[00:06:43.379 --> 00:06:46.120]  He stands for truth.
[00:06:46.120 --> 00:06:49.342]  He stands for justice.
[00:06:49.342 --> 00:06:51.783]  He stands for what's right.
[00:06:51.783 --> 00:06:55.085]  This is the Alex Jones Show.
[00:06:55.085 --> 00:06:57.967]  Call Alex now, toll free at 877-590-5525.
[00:06:57.967 --> 00:07:02.069]  Now live from Austin, Texas, here's Alex Jones.
[00:07:12.361 --> 00:07:13.562]  Hello ladies and gentlemen.
[00:07:13.562 --> 00:07:15.704]  Hello and thank you for joining us.
[00:07:15.704 --> 00:07:21.249]  Glad that you have decided to tune in on this Sunday edition from 4 to 6 p.m.
[00:07:21.249 --> 00:07:23.851]  Central Standard Time.
[00:07:23.851 --> 00:07:26.573]  Here is the important news today that we'll be covering.
[00:07:26.573 --> 00:07:32.658]  It's particularly shocking and revealing.
[00:07:32.658 --> 00:07:34.900]  Cheney assassination units.
[00:07:34.900 --> 00:07:38.123]  That's been reported by Cy Hirsch, New Yorker Magazine.
[00:07:38.123 --> 00:07:40.265]  He's also doing a piece for New Yorker Magazine.
[00:07:41.867 --> 00:08:07.741]  on government-sponsored terror that's coming up in the next few months and Vanity Fair and also writing a book and you know Cy Hirsch is a Pulitzer Prize winner and he's never been proven wrong in the past very very accurate one of our best living journalists out there well he's been reporting on Cheney assassination unit but then we decided to write an article because of our knowledge of this
[00:08:08.513 --> 00:08:20.660]  So the story up on PrisonPlanet.com right now is Cheney assassination unit active under Obama, including domestically inside the United States.
[00:08:20.660 --> 00:08:26.103]  Because the name of the assassination unit is the Joint Special Operations Command.
[00:08:26.103 --> 00:08:30.045]  And its nickname is the Delta Force.
[00:08:30.045 --> 00:08:36.669]  And in congressional testimony, it was declassified that Delta Force was there, quote, pulling triggers
[00:08:37.825 --> 00:08:53.148]  And they're the folks that went in with infantry maneuvers in the church records vault at Waco, where the 30-something women and children were huddling, and placed a plastic shape charge on the top of the building, killing all inside.
[00:08:53.148 --> 00:08:56.028]  And of course, machine-gunning men as they tried to run out the back.
[00:08:56.028 --> 00:08:58.088]  We have the FLIR footage of this.
[00:08:58.088 --> 00:09:06.930]  And it's public knowledge, but you won't see it on the nightly news, though they do have documentaries that are on places like HBO, Waco, The Rules of Engagement, and others.
[00:09:08.424 --> 00:09:10.464]  The Fleer Project and others.
[00:09:10.464 --> 00:09:13.145]  One of them nominated for an Academy Award.
[00:09:13.145 --> 00:09:28.368]  But the issue here is that Cheney certainly expanded their role and did operate outside the purview of the Congress and the military itself.
[00:09:28.368 --> 00:09:35.950]  But Obama's actually now expanded the use over and above what Cheney was engaged in.
[00:09:35.950 --> 00:09:37.670]  So we'll talk about that.
[00:09:39.053 --> 00:10:05.415]  Also, we've written articles over the years at Infowars.com and PrisonPlanet.com from Pentagon press releases and leaked Pentagon documents, but much of it is just completely public, about the fact that every major city has a high-altitude blimp over it that can stay up for as much as a decade.
[00:10:06.641 --> 00:10:11.002]  And it is powered off of solar energy.
[00:10:11.002 --> 00:10:12.923]  And they have ground-penetrating radar on them.
[00:10:12.923 --> 00:10:14.704]  They look right through your walls.
[00:10:14.704 --> 00:10:16.804]  It's like x-ray vision, basically.
[00:10:16.804 --> 00:10:20.285]  They have face-scanning cameras on them.
[00:10:20.285 --> 00:10:22.406]  And everyone is being tracked in real time.
[00:10:22.406 --> 00:10:25.387]  I mean, that's a... Pentagon brags about that.
[00:10:25.387 --> 00:10:28.288]  It's totally evil, totally wicked.
[00:10:28.288 --> 00:10:31.109]  But this is the slave grid.
[00:10:31.109 --> 00:10:34.410]  They use blimps because they're much more inexpensive than satellites.
[00:10:36.217 --> 00:10:39.379]  They can carry much larger payloads and satellites.
[00:10:39.379 --> 00:10:42.281]  They can stay up much longer.
[00:10:42.281 --> 00:10:46.023]  And this weekend, there was another article on this.
[00:10:46.023 --> 00:10:51.286]  And when I go on national radio shows, they make fun of me and they say, are the blimps going to get us?
[00:10:51.286 --> 00:10:58.350]  And I just say, well, if you go to Infowars.com or PrisonPlanet.com or if you see my film, Martial Law, where we cover some of the blimps,
[00:10:59.603 --> 00:11:26.628]  We just show you official government documents saying they're doing this and even like the Army Times and Air Force Times and things like that but now since they're operational and over the entire country they're now declaring them classified again and so Larry King Live and Fox News not just CNN I've actually done radio shows on this last month when we simulcast at PrisonPlanet.tv
[00:11:28.402 --> 00:11:30.303]  So I can, you know, show the video.
[00:11:30.303 --> 00:11:34.685]  They show it and say it's a giant flying saucer.
[00:11:34.685 --> 00:11:43.789]  And all it is is a blimp with the Ford fins on the back, with the blisters of surveillance equipment, and with the solar panels.
[00:11:43.789 --> 00:11:47.431]  And then I'm the weirdo, because I'm saying it's not aliens, it's blimps.
[00:11:47.431 --> 00:11:51.913]  I mean, it's like asking a five-year-old, what's that?
[00:11:51.913 --> 00:11:53.274]  Oh, it's a school bus.
[00:11:53.274 --> 00:11:54.554]  And I go, yeah, it's a school bus.
[00:11:54.554 --> 00:11:57.016]  And the government says, no, it's a giant banana.
[00:11:58.337 --> 00:12:03.500]  I'm the weirdo for saying it's a school bus, and they're normal for saying a school bus is a banana.
[00:12:03.500 --> 00:12:06.521]  See, I'm the conspiracy theorist.
[00:12:06.521 --> 00:12:08.142]  This is just one of thousands of things.
[00:12:08.142 --> 00:12:18.207]  It's very painful, folks, that I will list this right now, and I will list this latest mainstream news article, and people will just say, nope, doesn't exist, you're a liar.
[00:12:18.207 --> 00:12:21.769]  And they will write mainstream news articles saying I'm insane.
[00:12:21.769 --> 00:12:25.351]  In fact, I googled my name last night, and I found about 30-plus
[00:12:26.641 --> 00:12:31.026]  Mainstream news articles just suddenly attacking me and they say I'm insane.
[00:12:31.026 --> 00:12:32.267]  There's no North American Union.
[00:12:32.267 --> 00:12:39.716]  There's no new world order Just well, I mean here's the LA Times, okay Here it is right here.
[00:12:39.716 --> 00:12:40.997]  You can just google this right now.
[00:12:40.997 --> 00:12:42.359]  It's it's a major paper.
[00:12:42.359 --> 00:12:45.142]  It's a city called Los Angeles It does exist.
[00:12:45.142 --> 00:12:46.183]  It's on the west coast
[00:12:47.606 --> 00:12:50.008]  It was a Spanish mission before the United States got it.
[00:12:50.008 --> 00:12:51.028]  I assure you L.A.
[00:12:51.028 --> 00:12:52.009]  exists.
[00:12:52.009 --> 00:12:53.129]  I assure you the L.A.
[00:12:53.129 --> 00:12:54.270]  Times exists.
[00:12:54.270 --> 00:12:56.131]  I assure you this article is real.
[00:12:56.131 --> 00:13:03.735]  I know you're going to say it doesn't exist because then you'd have to wake up to what's happening, but nevertheless, I'm going to try again.
[00:13:03.735 --> 00:13:06.597]  Pentagon plans blimp to spy from new heights.
[00:13:06.597 --> 00:13:14.621]  The only reason this story is a bunch of baloney is these have been up for, experimentally, for about 15 years in declassified government documents.
[00:13:15.399 --> 00:13:20.042]  Uh, and for seven years all over the country.
[00:13:20.042 --> 00:13:21.062]  Now again, this is the headline.
[00:13:21.062 --> 00:13:23.504]  Pentagon planes blimp to spy from new heights.
[00:13:23.504 --> 00:13:26.525]  Reporting from Washington, this is by Julia E. Barnes.
[00:13:26.525 --> 00:13:32.389]  I assure you she exists.
[00:13:32.389 --> 00:13:34.210]  He exists, Julia E. Barnes.
[00:13:34.210 --> 00:13:41.574]  The Pentagon said Thursday that it intends to send 400 million to develop a giant dirigible that will float 65,000 feet.
[00:13:41.574 --> 00:13:41.954]  It's actually 95,100.
[00:13:44.674 --> 00:13:52.298]  Above the Earth for 10 years providing unblinking and intricate radar surveillance of the vehicles, planes, and even people below.
[00:13:52.298 --> 00:14:00.383]  Now if you want to learn more about this, just Google Homeland Security Blimp and you'll see MSNBC, AP, Reuters.
[00:14:00.383 --> 00:14:07.407]  If you click News, if you click Web, you'll see Infowars.com, PrisonPlanet.com, but then we have Senate testimony clips.
[00:14:07.407 --> 00:14:11.569]  I assure you there is a Senate in the District of Columbia, there is a place called D.C.
[00:14:12.270 --> 00:14:14.111]  I assure you there's a thing called C-SPAN.
[00:14:14.111 --> 00:14:20.055]  I assure you there are these videos of Congress seven years ago admitting it's face scanning you.
[00:14:20.055 --> 00:14:22.936]  I will assure you Washington, D.C.
[00:14:22.936 --> 00:14:23.417]  exists.
[00:14:23.417 --> 00:14:30.501]  I know it's radical, but just Google Homeland Security blimps.
[00:14:30.501 --> 00:14:32.102]  I'm not even being sarcastic, guys.
[00:14:32.102 --> 00:14:33.362]  You know, the guys in control room are laughing.
[00:14:33.362 --> 00:14:34.223]  I'm serious.
[00:14:34.223 --> 00:14:36.845]  I mean, if they told the public the planet didn't exist, they'd believe it.
[00:14:36.845 --> 00:14:39.266]  If they told them the sun was a light bulb, they'd believe it.
[00:14:40.140 --> 00:14:42.581]  Because they want to feel like they're part of the establishment.
[00:14:42.581 --> 00:14:46.062]  They love being robbed by the Madoffs that run America.
[00:14:46.062 --> 00:14:47.703]  They'll say Madoff doesn't exist.
[00:14:47.703 --> 00:14:51.084]  Maybe that's a conspiracy.
[00:14:51.084 --> 00:14:52.045]  It goes on.
[00:14:52.045 --> 00:14:53.905]  It's absolutely revolutionary.
[00:14:53.905 --> 00:14:58.387]  Chief Scientist for the Air Force said of the proposed unmanned airship, oh really?
[00:14:58.387 --> 00:15:05.150]  Alexander Haig actually owned the company that sold the project 18 years ago to the Pentagon.
[00:15:05.150 --> 00:15:07.971]  Just Google Alexander Haig proposes
[00:15:09.597 --> 00:15:12.799]  Surveillance blimps.
[00:15:12.799 --> 00:15:14.460]  General Alexander Haig.
[00:15:14.460 --> 00:15:16.441]  I know, he doesn't exist either, I understand.
[00:15:16.441 --> 00:15:21.563]  You know, the thing is, I'm informed, so I'm weird.
[00:15:21.563 --> 00:15:22.284]  See?
[00:15:22.284 --> 00:15:27.307]  I'm not a thumb-sucking, knuckle-dragging, cowardly, stupid person going along with the New World Order.
[00:15:27.307 --> 00:15:32.729]  That's why we predict and lay out everything as it happens, years before.
[00:15:32.729 --> 00:15:35.191]  But again, it will, it says, attract you on the ground.
[00:15:38.447 --> 00:15:43.709]  It's an absolutely revolutionary, Werner A.J.
[00:15:43.709 --> 00:15:53.193]  Dam, Chief Scientist of the Air Force, said of the proposed unmanned airship, describing it as a cross between a satellite and a spy plane.
[00:15:53.193 --> 00:15:58.054]  For you, the slaves, the 450-foot-long craft would give the U.S.
[00:15:58.054 --> 00:16:04.857]  military a better understanding of an adversary's movements, habits, and tactics, officials said, and the ability to constantly monitor small movements
[00:16:05.216 --> 00:16:06.477]  In a wide area.
[00:16:06.477 --> 00:16:09.999]  The Afghanistan border, for example, would dramatically improve military intelligence.
[00:16:09.999 --> 00:16:14.042]  So, they're just now introducing this to the slaves.
[00:16:14.042 --> 00:16:19.245]  The issue here is... Well, I'll tell you more about the blimp when we get back, but I've got all this other stuff.
[00:16:19.245 --> 00:16:28.371]  I'll tell you about the Delta Force, the federal government's hit squads who murder whoever they want, whenever they want, and I've caught them trying to pay off, and paying off, local officials in Texas.
[00:16:28.371 --> 00:16:28.932]  Stay with us.
[00:16:33.234 --> 00:16:35.215]  Heart disease is on the rise.
[00:16:35.215 --> 00:16:42.177]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:16:42.177 --> 00:16:50.580]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:16:50.580 --> 00:16:56.282]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:16:56.462 --> 00:16:58.303]  My blood pressure has normalized.
[00:16:58.303 --> 00:17:00.585]  My diabetes has totally improved.
[00:17:00.585 --> 00:17:05.009]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:17:05.009 --> 00:17:07.231]  I recommend Heart and Body Extract to everyone.
[00:17:07.231 --> 00:17:15.017]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:17:15.177 --> 00:17:17.760]  Order your two-month supply today by calling 866-295-5305.
[00:17:17.760 --> 00:17:18.481]  That's 866-295-5305.
[00:17:18.481 --> 00:17:19.922]  Or order online at HBextract.com.
[00:17:19.922 --> 00:17:21.484]  Heart and Body Extract, 866-295-5305.
[00:17:21.484 --> 00:17:22.605]  Or HBextract.com.
[00:17:33.197 --> 00:17:37.762]  Hello, this is Peter Kronschnabel from Midas Resources, and I'd like to share some thoughts with you.
[00:17:37.762 --> 00:17:50.114]  In today's economy, with the government spending gone wild, the banking system on the verge of collapse, and Wall Street in continuous freefall, we both know that it is critical that you protect your savings and retirement programs now.
[00:17:50.114 --> 00:17:55.699]  Macroeconomics can be very confusing, but the solution to securing your personal assets is very simple.
[00:17:55.699 --> 00:17:57.161]  It's purchase of gold and silver.
[00:17:57.681 --> 00:18:03.668]  These precious metals have been the trusted means of exchange for centuries, and they've never been more important in our country's history.
[00:18:04.346 --> 00:18:08.668]  It's up to you to design your survival plan, one based on gold and silver.
[00:18:08.668 --> 00:18:09.448]  Give me a call.
[00:18:09.448 --> 00:18:18.212]  I'm Peter Kronschnabel at 800-686-2237, extension 108, and allow me to outline an easy answer to your questions.
[00:18:18.212 --> 00:18:20.013]  That's Peter Kronschnabel at 1-800-686-2237, extension 108.
[00:18:20.013 --> 00:18:24.235]  Call Peter at 1-800-686-2237, extension 108, while you can still purchase gold with paper.
[00:18:32.685 --> 00:18:36.991]  Do you suffer from aches and pains in your knees, arms, wrists, or elbows?
[00:18:36.991 --> 00:18:40.636]  Is it difficult to get out of bed in the morning because of joint stiffness?
[00:18:40.636 --> 00:18:44.461]  Have you been looking for a safe, natural alternative to help ease your pain?
[00:18:44.461 --> 00:18:46.744]  If so, you need to visit solartherm.ca.
[00:18:47.685 --> 00:18:57.259]  Solar Therm, the pain care you wear, is a patented ceramic fiber support technology that holds in and reflects your own body heat, soothing those sore areas.
[00:18:57.259 --> 00:19:03.788]  Solar Therm is extremely light and comfortable to wear and increases blood flow to the affected areas without the use of toxic chemicals.
[00:19:04.128 --> 00:19:09.951]  Imagine being able to finally relieve the aches and pains in your elbows, knees, wrists, back, and more.
[00:19:09.951 --> 00:19:12.873]  So forget about messy creams that have an unpleasant smell.
[00:19:12.873 --> 00:19:15.294]  Try Solartherm, the pain care you wear.
[00:19:15.294 --> 00:19:15.975]  Call them today at 1-877-747-6664.
[00:19:15.975 --> 00:19:16.275]  That's 1-877-747-6664.
[00:19:16.275 --> 00:19:18.136]  Or visit them online at solartherm.ca.
[00:19:18.136 --> 00:19:19.757]  That's solar, T-H-E-R-M, solartherm.ca.
[00:19:32.544 --> 00:19:35.066]  What will you do when the economy collapses?
[00:19:35.066 --> 00:19:38.027]  Store shelves are empty and your stored food is gone.
[00:19:38.027 --> 00:19:39.869]  How will you feed your family?
[00:19:39.869 --> 00:19:47.193]  True self-sufficiency and peace of mind is being able to grow a wide range of crops, ensuring a well-balanced diet for your family.
[00:19:47.193 --> 00:19:54.657]  GetSeeds.net is offering 100 different varieties of GM-free vegetable seeds for only $49 with free shipping.
[00:19:54.657 --> 00:19:58.220]  You get over 14,000 seeds for only $49.
[00:19:58.220 --> 00:20:02.142]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans,
[00:20:02.142 --> 00:20:02.602]  I think.
[00:20:35.026 --> 00:20:44.193]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:20:44.193 --> 00:20:49.516]  Mama told me when I was young, who sat beside me, my only son.
[00:20:58.158 --> 00:21:11.622]  It is the 15th day of March 2009, the official release date of my new film, The Obama Deception, the obamadeception.net, or infowars.com, and I'll tell you some new developments on that front, very important information coming up.
[00:21:11.622 --> 00:21:17.804]  Look, I'm not going to spend all day on this LA Times article, Pentagon Plans to Build Spy Blimp from New Heights.
[00:21:17.804 --> 00:21:26.227]  If you want to prove to yourself this article is a spin story, just Google Homeland Security blimps, and you can pull up all the mainstream articles from 7 years ago, 10 years ago,
[00:21:28.869 --> 00:21:36.516]  Even back before that, where they're already in place over the United States, tracking everything you do.
[00:21:36.516 --> 00:21:37.817]  So I'm done talking about that.
[00:21:37.817 --> 00:21:40.399]  Here's some of the other news I've got.
[00:21:40.399 --> 00:21:47.386]  The Treaty of the Sea, they've been trying to pass it for two decades.
[00:21:47.386 --> 00:21:53.151]  It basically hands over control of the world's oceans to the United Nations and the private banks that use it as their governmental front.
[00:21:54.076 --> 00:22:03.381]  And Fox News, of course, is telling us in this article how great it is, titled, uh, Senate Moves Towards Ratification of the UN's Law of the Sea Treaty.
[00:22:03.381 --> 00:22:05.302]  And it just goes on to break all that down.
[00:22:05.302 --> 00:22:08.503]  Here's another one from Wired Magazine.
[00:22:08.503 --> 00:22:10.324]  Now treaties are secret.
[00:22:10.324 --> 00:22:16.507]  Obama administration declares proposed IP treaty a national security secret.
[00:22:17.307 --> 00:22:30.654]  President Barack Obama came into office in January promising a new era of openness, but now, like Bush before him, Obama is playing the national security card to hide details of the controversial anti-counterfeiting trade agreement being negotiated across the globe.
[00:22:30.654 --> 00:22:44.661]  The White House this week declared, and there's a link to the PDF, the text of the proposed treaty, a classified national security secret and rejecting a Freedom of Information Act request by Knowledge Ecology International.
[00:22:45.276 --> 00:22:55.964]  Please be advised, the document you seek are being withheld in full, wrote Cameron Brudini, Chief Foyer Officer of the White House Office of U.S.
[00:22:55.964 --> 00:22:57.385]  Trade Representatives.
[00:22:57.385 --> 00:23:06.311]  If ratified, leaked documents posted on WikiLeaks and other comments suggesting proposed trade accord would criminalize peer-to-peer file sharing, period.
[00:23:06.311 --> 00:23:07.572]  Period.
[00:23:07.572 --> 00:23:08.413]  Doesn't matter if it's legal.
[00:23:09.031 --> 00:23:19.098]  Subjects iPods to broader searches and allows internet service providers to monitor their customers communications without warrants.
[00:23:19.098 --> 00:23:22.180]  Just off the charts, that story right there.
[00:23:22.180 --> 00:23:27.443]  Just legalizing the complete end of the Fourth Amendment through global government treaties.
[00:23:27.443 --> 00:23:29.345]  Here's another one from CNN.
[00:23:29.345 --> 00:23:34.308]  Obama regime considering making veterans pay for treatment of service-related injuries
[00:23:34.969 --> 00:23:36.410]  With private insurers.
[00:23:36.410 --> 00:23:39.111]  Yes, they're not going to treat the troops.
[00:23:39.111 --> 00:23:42.333]  This is so sick!
[00:23:42.333 --> 00:23:44.755]  They'll still come confiscate our guns of order, too, anyways.
[00:23:44.755 --> 00:23:45.695]  I don't care.
[00:23:45.695 --> 00:24:00.263]  Veterans Affairs Secretary Eric Shinseki confirmed to CNN that the Obama administration is considering a controversial plan to make veterans pay for treatment of service-related injuries with private insurance.
[00:24:00.263 --> 00:24:01.484]  Boy, that's really sick.
[00:24:02.076 --> 00:24:06.940]  And they're saying they're setting that up for the 2010 Veterans Affairs budget being debated now.
[00:24:06.940 --> 00:24:12.686]  You know, they vote for the budget eight, nine months before the new year starts.
[00:24:12.686 --> 00:24:16.169]  So I thought I'd cover that story for you.
[00:24:16.169 --> 00:24:16.849]  Here's another one.
[00:24:16.849 --> 00:24:20.853]  Justice Department investigates Arizona Sheriff for enforcing immigration law.
[00:24:20.853 --> 00:24:21.694]  CNS News.
[00:24:23.379 --> 00:24:24.620]  Cyber News Service.
[00:24:24.620 --> 00:24:27.223]  Yeah, we've interviewed him several times.
[00:24:27.223 --> 00:24:29.206]  Maricopa County Sheriff Joe Arpaio.
[00:24:29.206 --> 00:24:31.949]  Love him or hate him, he is enforcing immigration law.
[00:24:31.949 --> 00:24:40.338]  And all over the country, I've interviewed scores of sheriffs and police chiefs where they'll arrest illegal aliens for drunk driving or 10 people being in a van without seatbelts or whatever.
[00:24:40.338 --> 00:24:43.341]  You know, no ID, weapons, whatever.
[00:24:43.341 --> 00:24:44.963]  And they just release them.
[00:24:46.067 --> 00:24:48.868]  I'm sure you've all seen that in the newspaper, how they release them.
[00:24:48.868 --> 00:24:54.731]  But instead they're going to actually, they're going after Arpaio, a former FBI agent in his own right.
[00:24:54.731 --> 00:25:06.716]  The Justice Department has launched an investigation of the Maricopa County Sheriff's Office in Arizona following requests by Congressional Democrats and allegations by liberal activists that the department has violated the civil rights of illegal aliens.
