[00:00:07.332 --> 00:00:08.452]  9VoltLight.com.
[00:01:49.073 --> 00:01:56.737]  Financial Freedom of America uses these programs to help you avoid bankruptcy, save thousands, and get more cash back in your pocket every month.
[00:01:57.137 --> 00:02:00.578]  I wasn't sure what to expect, but FFA came through like promise.
[00:02:00.838 --> 00:02:03.459]  We're kind of excited to have that stress-free feeling now.
[00:02:03.639 --> 00:02:06.820]  Find out the secret that credit card companies hope you don't discover.
[00:02:07.400 --> 00:02:14.342]  FFA will give you the steps to eliminating a large percentage of your credit card bills, medical bills, or department store debt.
[00:02:14.683 --> 00:02:17.043]  Individual results vary and it's not available in all states.
[00:02:17.283 --> 00:02:19.544]  So call for your free information now.
[00:02:19.564 --> 00:02:19.604]  800-515-4749.
[00:02:22.705 --> 00:02:22.825]  800-515-4749.
[00:02:22.865 --> 00:02:23.025]  Call 800-515-4749.
[00:02:23.045 --> 00:02:23.086]  800-515-4749.
[00:02:23.146 --> 00:02:26.130]  Rafael Nadal has beaten Roger Federer in the men's final of the Australian Open.
[00:02:39.039 --> 00:02:40.040]  Here's Graham Agar's.
[00:02:57.171 --> 00:03:03.934]  For Federer, it was a match of missed opportunities as he squandered 13 of his 19 breakpoint chances against Nadal.
[00:03:04.254 --> 00:03:10.956]  The Spaniard took full advantage of Federer's mistakes and further established himself as the dominant player in men's tennis.
[00:03:11.337 --> 00:03:12.697]  Graham Agars, Melbourne.
[00:03:12.837 --> 00:03:19.800]  Israeli Prime Minister Ehud Olmert says his country will respond when and where it chooses and that the retaliation will be harsh.
[00:03:20.500 --> 00:03:24.862]  Olmert's comments come after Gaza militants launched two rockets into southern Israel today.
[00:03:25.503 --> 00:03:27.428]  No casualties or damage were reported.
[00:03:28.009 --> 00:03:31.418]  For more news and analysis, log on to IRNnews.com.
[00:03:33.579 --> 00:03:43.681]  If you're paying your credit cards with credit cards, or maybe some other crisis in your life made you fall behind on your bills, there is a light at the end of the tunnel with Consumer Credit of America.
[00:03:43.942 --> 00:03:48.523]  They can help you find your way out of the debt trap and find financial freedom.
[00:03:48.743 --> 00:03:49.203]  Call now.
[00:03:49.223 --> 00:03:49.503]  877-348-FREE.
[00:03:49.523 --> 00:03:49.883]  That's 877-348-F-R-E-E.
[00:03:49.903 --> 00:03:51.203]  Or visit them on the web at ccofamerica.com.
[00:03:51.223 --> 00:03:51.623]  877-348-FREE.
[00:03:51.643 --> 00:03:52.624]  Not available in all states.
[00:04:03.974 --> 00:04:11.322]  National Guard troops in Kentucky will be going door-to-door today, checking on residents left in the dark for nearly a week after an ice storm.
[00:04:11.842 --> 00:04:19.430]  At last report, more than 700,000 utility customers remained without power, which crews are working feverishly to restore.
[00:04:20.134 --> 00:04:21.635]  This is Governor Steve Beshear.
[00:04:21.836 --> 00:04:31.164]  We're going in the right direction and we've just got to keep going until we get the lights of everybody on and get heat in every home again and get their telephone service back.
[00:04:31.204 --> 00:04:39.351]  The World Economic Forum in Davos, Switzerland has concluded without any new plan for stemming, much less revising the global financial meltdown.
[00:04:39.751 --> 00:04:47.118]  There's widespread agreement that there's plenty left to do, starting at the April meeting of the leaders of the 20 largest economies in London.
[00:04:47.839 --> 00:04:50.541]  This is Nobel Prize winning economist Joseph Stiglitz.
[00:04:50.841 --> 00:04:57.766]  This time they've gotten more depressed as they learn about the problems that each of them face.
[00:04:58.426 --> 00:05:03.870]  So in that sense, it almost surely has contributed to the deepening of the gloom.
[00:05:03.890 --> 00:05:11.095]  Initial results from Iraq's elections are still days away, but allies of the U.S.-backed Prime Minister appear to have made gains.
[00:05:11.695 --> 00:05:12.616]  Here's Brian Murphy.
[00:05:12.856 --> 00:05:17.341]  What's at stake is future power struggles in national elections this year.
[00:05:17.361 --> 00:05:21.446]  If the government runs strong, their position is strengthened.
[00:05:21.466 --> 00:05:28.634]  If they don't do so well, it leaves room for other Shiite parties to try to claim the leadership in the elections later this year.
[00:05:28.914 --> 00:05:32.058]  I'm Jody Jordan for IRN USA Radio News.
[00:05:33.725 --> 00:05:37.326]  Do you have aches and pains or suffer from indigestion or inflammation?
[00:05:37.706 --> 00:05:40.386]  Are you tired of feeling restless from insomnia?
[00:05:40.667 --> 00:05:48.208]  These symptoms are produced by harmful toxins, but with the correct information, understanding, and care, you can cleanse them from your body.
[00:05:48.468 --> 00:05:53.429]  Allomaster.com would like to help you begin the road to recovery with aloe vera.
[00:05:53.569 --> 00:06:01.871]  For over 4,000 years, aloe vera has been known for its therapeutic and healing properties, and is widely recognized as the plant that helps alleviate minor burns.
[00:06:02.151 --> 00:06:10.054]  Allomaster.com picks the best aloe leaves and produces the most potent aloe vera concentrated juices and freeze-dried capsules you can find.
[00:06:10.354 --> 00:06:18.577]  Allomaster.com offers products with 10 times the potency of ordinary aloe products, enhancing the benefits of this ancient cleansing plant.
[00:06:18.877 --> 00:06:22.578]  Turn over a new leaf and visit us today at alomaster.com.
[00:06:22.678 --> 00:06:25.498]  That's A-L-O-E, master.com.
[00:06:25.618 --> 00:06:26.479]  Or call us at 1-800-934-A-L-O-E.
[00:06:26.499 --> 00:06:26.979]  That's 1-800-934-2563 today.
[00:06:26.999 --> 00:06:30.539]  Prepare yourself for a talk radio experience like no other.
[00:06:30.559 --> 00:06:31.520]  He stands for truth.
[00:06:31.540 --> 00:06:32.340]  He stands for justice.
[00:06:49.909 --> 00:06:51.610]  He stands for what's right.
[00:06:52.371 --> 00:06:54.692]  This is the Alex Jones Show.
[00:06:55.653 --> 00:06:58.514]  Call Alex now, toll free at 877-590-5525.
[00:06:58.574 --> 00:07:02.237]  Now live from Austin, Texas, here's Alex Jones.
[00:07:11.061 --> 00:07:17.247]  And for the next hour and a half, we're honored to be joined by one of the most sought-after speakers on radio and in person.
[00:07:17.607 --> 00:07:21.071]  Filmmaker, best-selling author, David Icke.
[00:07:21.131 --> 00:07:23.393]  Also championship goalie in his own right.
[00:07:23.873 --> 00:07:31.521]  Of course, BBC News presenter before his startling Saul on the road to Damascus transformation.
[00:07:32.603 --> 00:07:35.344]  Literally being knocked off his horse with a revelation.
[00:07:36.024 --> 00:07:50.768]  And in the last 15, 16, 17 years, he has spoken to millions of people around the world and we're honored to have him again for the next hour and a half to talk about the current world economic crisis being engineered and how this is really going to force an even faster awakening to this tyranny.
[00:07:50.829 --> 00:07:55.430]  So, David Icke, it is great to have you joining us here from England.
[00:07:56.070 --> 00:07:56.550]  Thank you, Alex.
[00:07:58.411 --> 00:08:02.152]  This is a short segment, but what are some of the things you want to discuss and go over today?
[00:08:03.587 --> 00:08:32.333]  Well certainly we talk about the financial situation because you know for me what we're looking at is a similar situation to when they have a controlled demolition of a building and the charges go off and you see the flashes and then extraordinarily there's that split second when nothing seems to happen and then the whole thing crashes and for me where we are in this economic engineered collapse is in that split second before the whole thing starts to collapse and you know when you think
[00:08:33.093 --> 00:08:33.594]  I think so.
[00:08:55.632 --> 00:09:19.084]  You're your bullets at the situation and they're not working and we're not even into it yet in the end to the level it's coming then we've got a lot of challenges to face and but as you say Alex you know there's a there's a word in Chinese I think that means both danger and opportunity and this is a danger from the system as we perceive it now and through our lives but it's a wonderful opportunity to change the system
[00:09:21.192 --> 00:09:29.819]  In the time we have left in this first segment, I want to get your response, since the last time we had you on, to... It's got to be more than 400 articles I've seen.
[00:09:30.219 --> 00:09:39.607]  If you Google the term New World Order and put it into the news section, not web, but news, the last time I checked it was 4,600 news articles, but I only, over the last few months, have read
[00:09:40.399 --> 00:09:41.180]  I know it's more than 300.
[00:09:41.540 --> 00:09:43.201]  It's 10 or 15 a day.
[00:09:43.261 --> 00:09:44.241]  I'd see without looking.
[00:09:44.521 --> 00:09:55.227]  Financial Times of London, Wall Street Journal, Der Spiegel, all the major publications of record of the establishment, the Bilderberg run of their editor-in-chief, of course, is Bilderberg, Mr. Wolf.
[00:09:55.928 --> 00:10:12.232]  Times of London, Financial Times, saying, and now for world government, and they say, we set it up in secret, it's for your own good, we'll save you from the financial collapse when they engineered it, and they go on to say that we're going to pay carbon taxes on all our activities to them.
[00:10:12.352 --> 00:10:16.713]  So, Kissinger came out this week and said we need to use this crisis for a new world order.
[00:10:16.993 --> 00:10:22.794]  I mean, they're really, like you said, emerging, and you've always said, others have said, at the point of emerging,
[00:10:23.754 --> 00:10:28.195]  That is when you know they're finally going for broke because now they can't cloak it anymore.
[00:10:28.395 --> 00:10:29.515]  They've got to come out in the open.
[00:10:30.175 --> 00:10:37.517]  No, there was always a time when what they were doing covertly had to break the surface because they want to change society in the image that they want to change society.
[00:10:37.557 --> 00:10:39.857]  So we have to eventually see it in our face.
[00:10:39.917 --> 00:10:40.878]  And that's what we're seeing.
[00:10:40.898 --> 00:10:48.259]  And of course, you know, you know, those of us like you and me and many others who've been warning about this for so long.
[00:10:49.259 --> 00:10:50.701]  Actually, they have, David!
[00:11:11.019 --> 00:11:13.021]  Actually, they have mentioned the New World Central Bank.
[00:11:13.041 --> 00:11:13.802]  You may have missed it.
[00:11:14.102 --> 00:11:14.563]  Stay there.
[00:11:14.643 --> 00:11:15.103]  David Icke.
[00:11:15.163 --> 00:11:25.474]  We are live, blasting out on the AM and FM dial, simulcasting on global shortwave, the internet at InfoWars.com and PrisonPlanet.com, and streaming live at PrisonPlanet.tv.
[00:11:25.554 --> 00:11:32.381]  Don't forget the free podcast you can go sign up for for free at InfoWars.com on the listen page.
[00:11:32.922 --> 00:11:34.063]  Okay, David Icke.
[00:11:34.743 --> 00:11:43.387]  Continuing, for more than 15 years you've talked about how the private financial banks would engineer a crisis and then out of that bring in their world government.
[00:11:43.407 --> 00:11:54.831]  They have said, as we were getting to before we went to break, at the G20 Summit, a new world financial system with a world financial bank where you will pay your carbon credits directly to them.
[00:11:54.871 --> 00:11:57.072]  I remember seeing that in the Financial Times of London.
[00:11:57.412 --> 00:11:58.152]  Thank you for having me.
[00:12:20.979 --> 00:12:36.049]  Yeah, they're talking in Europe, people like Sarkozy and Gordon Brown, about a new global financial architecture, which is all, of course, all well speak for this centralized financial system that will dictate the whole of global finance from a central point.
[00:12:36.850 --> 00:12:38.311]  This is what they've been working towards.
[00:12:38.371 --> 00:12:40.332]  And it's important to stress that
[00:12:41.549 --> 00:12:41.790]  I think so.
[00:12:58.583 --> 00:12:59.143]  I think so.
[00:13:21.229 --> 00:13:21.629]  I think?
[00:13:39.936 --> 00:13:49.383]  Into doing things they don't really want to do because they have to raise the money to pay the essential bills To the corporations that are owned by the same people that are screwing them financially.
[00:13:49.764 --> 00:14:07.236]  So we're reaching a point now where We've gone so far along this road while people have been watching game shows and watching the soaps and the football And now it's it's peaked its head into the public arena where it's in our face and people are going where did this come from?
[00:14:07.617 --> 00:14:09.058]  Well, it's come from decades of
[00:14:09.598 --> 00:14:13.099]  And decades, indeed, hundreds of years of manipulation to get us to this point.
[00:14:13.539 --> 00:14:26.762]  And it's a point of great challenge and great danger in terms of freedom, but it's also a point of great opportunity, because you can ignore something when crazy people like me are going, it's coming.
[00:14:27.502 --> 00:14:31.743]  And you're, oh no, he's just mad, he believes in reptiles, ooh, he's mad and all this stuff.
[00:14:32.103 --> 00:14:35.823]  But when it's in your face and it's in your daily life, you can't look away anymore.
[00:14:36.304 --> 00:14:38.364]  And I'm sure you're finding the same, Alex, that
[00:14:39.184 --> 00:14:40.985]  David, while you were talking, I went into Google.
[00:15:03.248 --> 00:15:03.909]  Yeah, here you go.
[00:15:21.861 --> 00:15:23.783]  They will selectively control nations.
[00:15:23.803 --> 00:15:25.925]  They will decide how much currency can be issued.
[00:15:26.145 --> 00:15:28.788]  You'll still have your currencies of the world in their own words.
[00:15:29.209 --> 00:15:31.591]  It will just all be regulated and controlled by them.
[00:15:31.631 --> 00:15:34.234]  Kind of like the national ID card in the US.
[00:15:34.474 --> 00:15:36.737]  It's the states administering it, but the feds
[00:15:37.057 --> 00:15:45.983]  Shut it up and control the computer systems, so it's really a national ID card tied into a world ID database, but the public thinks it's a driver's license when it's really the real ID.
[00:15:46.003 --> 00:16:01.413]  But there is Newsweek, for anyone that doubts this, and I could sit here showing people hundreds of these where they are saying not just that they're setting up a World Central Bank, but that you will pay your taxes on every activity you are involved in on your carbon footprint to them.
[00:16:02.609 --> 00:16:19.598]  Yeah, the idea is to eventually get rid of all currencies for a simple reason that at the moment if you go into a store or you want to buy something anywhere and you give them electronic money and the computer says no to your credit card then at least still just just
[00:16:20.118 --> 00:16:22.961]  You have the opportunity to say, well, I'll pay cash then.
[00:16:23.462 --> 00:16:26.965]  But what they want to do eventually is take all cash out of circulation.
[00:16:27.085 --> 00:16:31.189]  So that computer, whoever programs it, decides if and what you purchase.
[00:16:31.530 --> 00:16:33.372]  That's the idea of the cash.
[00:16:33.412 --> 00:16:35.934]  Today, Jim Newcomer from Midas Resources, January 30th, 2008.
[00:16:36.715 --> 00:16:37.496]  We're good.
[00:16:51.129 --> 00:16:54.850]  Bailout equals market distortions, increased money supply while productivity is going down.
[00:16:55.010 --> 00:16:58.952]  Wall Street is receiving injections of liquidity while smaller companies are forced to concede.
[00:16:59.132 --> 00:17:03.553]  Companies too big to fail are now using the tax dollars to increase market share, paying fat dividends.
[00:17:03.693 --> 00:17:08.935]  Are you wondering why supplies of gold and silver coins are decreasing rapidly, leaving the public scrambling to accumulate what's left?
[00:17:09.115 --> 00:17:12.196]  Fiat currency's value is based on trust, fiscal responsibility.
[00:17:12.296 --> 00:17:15.797]  Is Congress and the White House acting responsibly, earning your trust and confidence?
[00:17:15.957 --> 00:17:17.758]  Or is it time to ensure your hard-earned wealth?
[00:17:17.938 --> 00:17:23.041]  Midas Resources offers economic insurance, gold and silver coins, 800-686-2237.
[00:17:23.141 --> 00:17:25.662]  Do you believe that more bailout will solve our economic problems?
[00:17:25.722 --> 00:17:27.483]  Or would you like to call Midas Resources at 1-800-686-2237?
[00:17:27.523 --> 00:17:28.624]  That's Midas Resources at 1-800-686-2237.
[00:17:33.960 --> 00:17:39.421]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:17:39.461 --> 00:17:39.981]  and the world.
[00:17:40.241 --> 00:17:43.702]  And for the first time in their lives, they are feeling the need for preparedness.
[00:17:44.102 --> 00:17:50.343]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:17:50.603 --> 00:17:52.383]  Ready Reserve is the manufacturer.
[00:17:52.644 --> 00:18:00.585]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:18:00.865 --> 00:18:05.289]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:18:05.569 --> 00:18:11.094]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:18:11.374 --> 00:18:13.396]  Many companies do not even offer a catalog.
[00:18:13.556 --> 00:18:15.918]  We will be more than happy to send a catalog to you for
[00:18:16.138 --> 00:18:16.919]  Free of charge.
[00:18:17.239 --> 00:18:17.539]  Dial 1-800-453-2202.
[00:18:17.559 --> 00:18:17.619]  1-800-453-2202.
[00:18:17.639 --> 00:18:18.920]  Or visit our website at ReadyReserveFoods.com.
[00:18:18.940 --> 00:18:21.302]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:18:21.342 --> 00:18:21.782]  Call us at 1-800-453-2202.
[00:18:34.833 --> 00:18:37.856]  Stop wasting your time struggling with everything you're trying to learn.
[00:18:38.296 --> 00:18:40.058]  Learning should be a pleasure not torture.
[00:18:40.438 --> 00:18:46.743]  The School of Phenomenal Memory gives you the training and tools you need to memorize any type of information quickly and efficiently.
[00:18:47.104 --> 00:18:50.026]  Just as you need to exercise to get your body into shape, you need to
[00:18:53.490 --> 00:18:58.233]  Phenomenal Memory will act as your personal trainer, guiding you through a series of 60 lessons.
[00:18:58.754 --> 00:19:04.137]  Once completed, you will be able to memorize any type of information, including entire books, guaranteed.
[00:19:04.157 --> 00:19:09.601]  Our course is not based on classic mnemonic techniques or other tricks that you simply can't apply in real life.
[00:19:10.022 --> 00:19:20.189]  Instead, the School of Phenomenal Memory uses the latest breakthrough in scientific understanding of how memory works, applying techniques based on natural mechanisms of your brain and memory.
[00:19:20.509 --> 00:19:22.050]  Start exercising your brain today
[00:19:22.370 --> 00:19:23.251]  We're good.
[00:19:34.654 --> 00:19:36.475]  Your engine is the heart of your vehicle.
[00:19:36.815 --> 00:19:39.936]  Wouldn't it be nice to be able to determine whether it's going to go the long run?
[00:19:40.116 --> 00:19:43.197]  Or should you dump your vehicle before you experience a major expense?
[00:19:43.437 --> 00:19:47.599]  The military has developed such a technology, and it's called oil analysis.
[00:19:47.879 --> 00:19:57.062]  By taking a mere 4-ounce sample during an oil change, you can get an easy-to-read, complete report by an independent laboratory covering engine wear, oil condition,
[00:19:57.282 --> 00:19:57.782]  Yes, just $14.95.
[00:20:27.142 --> 00:20:27.322]  It's 888-873-7371.
[00:20:27.342 --> 00:20:27.382]  888-873-7371.
[00:20:27.402 --> 00:20:28.364]  You are listening to GCN.
[00:20:28.384 --> 00:20:29.065]  Visit GCNlive.com today.
[00:20:52.126 --> 00:21:12.757]  So we're already going into that system where I mean I see him carting 75 year old men buying cigarettes or beer at the store now and the corporations admit they're getting us ready to have to show ID to buy and sell and they're gonna have a new world and local sales tax that will also have a database of everything you buy sell and do in the name of administering the sales tax.
[00:21:13.900 --> 00:21:15.421]  Yeah, and this is happening everywhere.
[00:21:15.481 --> 00:21:20.966]  I mean, in Britain, the Big Brother state is hurtling forward.
[00:21:21.226 --> 00:21:30.013]  And in terms of the economic situation here, I mean, it's not really reached the point that it's going to reach as we were talking about earlier.
[00:21:30.053 --> 00:21:31.354]  But when I go around
[00:21:32.732 --> 00:21:56.144]  The shops which I occasionally do not very often or you go into a pub or a restaurant or something places are empty Where I go where they never were before and so, you know, we're on the brink of a massive economic Situation here globally and it's been deliberately engineered for the ends that we're talking about David
[00:21:57.700 --> 00:21:59.743]  How do we get the word out to the people?
[00:22:13.996 --> 00:22:16.717]  How do we reach out to them and say, look, it's now here.
[00:22:16.777 --> 00:22:24.660]  We're not warning you about something coming and all the preparatory phase that was bad enough setting up this tyrannical, dehumanizing, soul-stealing grid.
[00:22:24.980 --> 00:22:34.064]  We're now entering in to the long slide into the depths of global mass extermination, population reduction, because we're not making even predictions.
[00:22:34.084 --> 00:22:35.444]  We're following their own documents.
[00:22:35.744 --> 00:22:36.905]  We know where it goes.
[00:22:37.285 --> 00:22:42.127]  Can the public face the horror of what's going to happen if they keep living in la-la land?
[00:22:43.345 --> 00:22:51.112]  Well, what I say to people is, you know, if you think you don't like the situation now, then think what you're going to face a little way down the road.
[00:22:51.252 --> 00:22:54.375]  And more than anything, think of what your children are going to have to face.
[00:22:54.395 --> 00:22:59.740]  Because you think if we live in a controlled society now, this is nothing compared with what they are going to have to live in.
[00:23:00.280 --> 00:23:05.702]  So, in terms of parents who are listening to this information, I would say this.
[00:23:06.462 --> 00:23:12.084]  Go and look your children in the eyes and tell them that you can't be bothered or you're too frightened to do anything about it.
[00:23:12.404 --> 00:23:13.865]  You're too frightened to get involved.
[00:23:13.985 --> 00:23:17.046]  Too frightened to get involved in being another conduit for
[00:23:17.962 --> 00:23:18.382]  I don't know.
[00:23:40.564 --> 00:23:43.206]  As long as you stay in line and you do as you're told, you'll be fine.
[00:23:43.226 --> 00:23:45.808]  And then you realize at the end of it, well, actually, it ain't fine.
[00:23:46.189 --> 00:23:50.092]  And if you'd have all rebelled earlier, you wouldn't be in the situation you're facing now.
[00:23:50.472 --> 00:23:56.957]  The point of mathematics alone ought to let us see where the real power is here.
[00:23:56.977 --> 00:24:03.883]  There are billions of people, six billion, nearly get on for seven billion on this planet, who are being manipulated.
[00:24:04.263 --> 00:24:07.186]  They are in full knowledge of what they're doing.
[00:24:07.867 --> 00:24:13.194]  A relative handful of those who are doing the manipulating to the end that we're talking about.
[00:24:13.254 --> 00:24:22.226]  Because of the compartmentalized pyramids that they've constructed within all these institutions of government and finance and corporations.
[00:24:22.933 --> 00:24:38.868]  The vast majority of people who are daily making contributions to push the world towards this Orwellian global state have no idea that they're doing that because they don't know how their contributions fit in with everyone else's, only the few at the top do.
[00:24:39.349 --> 00:24:41.831]  And what we need to start doing is realizing
[00:24:42.446 --> 00:25:04.666]  But we've reached the fork in the road, and if we keep going the way we're going, and we keep putting our heads in the sand, because you know, you can put your head in a bucket of sand when a tornado's coming, but it's still coming, and your bum is still in the air, and it's still coming, and you're going to get it eventually, even though you've ignored the fact that you have, you know, up to the point where you get hit.
[00:25:05.187 --> 00:25:07.049]  If you lift your head from the sand,
[00:25:07.729 --> 00:25:15.155]  And you look and face the situation, a tornado's coming, you can now take action to avoid the consequences.
[00:25:15.315 --> 00:25:15.615]  Exactly.
[00:25:15.655 --> 00:25:17.457]  That's where we're looking at now.
[00:25:17.577 --> 00:25:30.767]  We need to grow up, start being adults, look at the future our children are going to have unless we do something, and get off the backsides, you know, disconnect them from the sofa, and let's get this sorted.
[00:25:31.966 --> 00:25:32.606]  Well, absolutely.
[00:25:32.626 --> 00:25:35.748]  We're going to go to break and come back and get more into this mass awakening.
[00:25:35.788 --> 00:25:38.310]  People, and I want your take on this after the break, David.
[00:25:39.151 --> 00:25:47.055]  People love to say, oh, look at those stupid Jews or those stupid gypsies or those stupid Anglicans who didn't like Hitler.
[00:25:47.496 --> 00:25:53.399]  And they just went on trains and they went to camps and they stripped down naked and they got run into pits and gunned down.
[00:25:53.479 --> 00:25:54.520]  Why didn't they fight back?
[00:25:54.540 --> 00:25:57.402]  And we see those Nazi film footage of that.
[00:25:58.163 --> 00:26:02.647]  When that was done incrementally, we're going to come back and get your analysis on this, that was done incrementally.
[00:26:02.687 --> 00:26:10.075]  They were slowly trained to live in ghettos and then to wear yellow stars or pink triangles or whatever the case was.
[00:26:10.435 --> 00:26:21.446]  They were slowly trained by incremental steps to put up with more and more until, well now we're taking you here to a camp to be safe because the public's beating you up and smashing your store windows.
[00:26:22.186 --> 00:26:25.888]  And, you know, now just take your clothes off over here.
[00:26:25.908 --> 00:26:26.868]  We're going to take care of you.
[00:26:27.088 --> 00:26:33.051]  And then they would line up and see the people being shot in front of them, but they would still just run into the pit obediently to their deaths.
[00:26:33.751 --> 00:26:34.892]  That is mind control.
[00:26:34.932 --> 00:26:36.312]  That is incremental conditioning.
[00:26:36.332 --> 00:26:40.314]  And we're going into the same thing as the ambient tyranny is turned up.
[00:26:40.434 --> 00:26:44.976]  We have to learn to recognize that, to stop it now, and break our conditionings.
[00:26:45.016 --> 00:26:48.758]  If you don't think the global architects running the Western world and the planet
[00:26:49.827 --> 00:26:53.051]  Won't kill you, won't enslave you, won't rob your pension funds blind.
[00:26:53.552 --> 00:26:54.072]  It's happening.
[00:26:55.914 --> 00:27:02.923]  Just yesterday I saw several mainstream news articles admitting that British SAS trained Pol Pot's people to kill between three and four million.
[00:27:05.466 --> 00:27:06.147]  Why did they do this?
[00:27:06.187 --> 00:27:07.488]  We'll talk more about that with David Icke.
[00:27:07.528 --> 00:27:07.789]  David?
[00:27:09.071 --> 00:27:16.114]  I went into the mass mind control of people in Nazi Germany, the Soviet Union, over and over again, who will just march in and be mowed down and killed.
[00:27:16.595 --> 00:27:19.956]  Why did the founders of this country, why would they not go along with that?
[00:27:19.996 --> 00:27:20.816]  Why did they fight back?
[00:27:21.117 --> 00:27:21.897]  What's the difference?
[00:27:21.957 --> 00:27:31.041]  How do we get people to psychologically realize how they're being trained to have this learned helplessness, where they just lay down to the men in black uniforms?
[00:27:32.622 --> 00:27:34.283]  Well, when you're talking about mass mind control,
[00:27:35.833 --> 00:27:39.279]  We can't go any further than Barack Obama because America has just had...
[00:27:40.615 --> 00:28:07.369]  visited upon it a massive mass mind control operation to get him to power and to build his ludicrous ludicrous myth of a personality and an image that so many people have bought and I don't know about you Alex but I tell you I've shaken my head a few times in the last few months when I've seen people who I thought had got it to an extent who had bought the Obama myth as if somehow here out of nowhere is a change to the
[00:28:10.110 --> 00:28:12.653]  The system as it works in terms of creating precedence.
[00:28:28.647 --> 00:28:33.193]  Grasping at straws, you know, seeing things, mirages in the desert.
[00:28:33.213 --> 00:28:42.424]  A man dying of thirst will, you know, see huge lakes of cool, clean water to go drink and will even go crazy and think he's drinking water when he's throwing sand into his mouth.
[00:28:42.764 --> 00:28:47.670]  And you've written a great analysis breaking down the mass mind control, the real programs
[00:28:48.290 --> 00:28:50.453]  It's Barack Obama, the naked emperor.
[00:28:50.473 --> 00:28:54.118]  You've introduced a very, very important point, Alex, in terms of mass mind control.
[00:28:54.638 --> 00:28:57.282]  It's the principle of the target wanting it to be true.
[00:29:06.072 --> 00:29:14.977]  And in many ways, the worse it gets, the more people can be enticed into following someone who's telling them what they want to be true.
[00:29:15.037 --> 00:29:21.020]  I mean, if you take what happened in Nazi Germany and those other examples you gave, at each point
[00:29:22.102 --> 00:29:26.365]  People don't want to face the fact of the situation they're in.
[00:29:26.945 --> 00:29:30.387]  So they will believe when someone tells them, no, no, it's not that.
[00:29:30.427 --> 00:29:32.088]  Just do it for this reason.
[00:29:32.148 --> 00:29:33.349]  They want that to be true.
[00:29:33.489 --> 00:29:37.131]  Everyone knows that omega-3 should be an essential part of our daily diet.
[00:29:37.191 --> 00:29:39.052]  With so many different methods of consumption,
[00:29:39.172 --> 00:29:42.814]  How do you choose a simple yet effective way to get your daily intake?
[00:29:42.915 --> 00:29:46.957]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:29:47.257 --> 00:29:49.539]  Nature's Gem Premium Omega-3.
[00:29:49.699 --> 00:29:55.503]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[00:29:55.503 --> 00:29:55.923]  I'm good.
