[00:00:14.198 --> 00:00:15.479]  Today, that's 1-800-426-6186.
[00:05:33.510 --> 00:05:39.192]  You'll never have to- Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:05:39.192 --> 00:05:45.494]  Our hemp foods are anti-inflammatory and gluten-free, and can greatly benefit the health of the human body.
[00:05:46.280 --> 00:05:55.285]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[00:05:55.285 --> 00:06:02.710]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[00:06:03.230 --> 00:06:08.772]  Call 908-691-2608 or visit hempusa.org today.
[00:06:08.772 --> 00:06:17.315]  Hempusa.org believes that now is the time to plan for the future and food will be your greatest asset.
[00:06:17.315 --> 00:06:24.098]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[00:06:24.935 --> 00:06:26.296]  So don't delay.
[00:06:26.296 --> 00:06:33.621]  Call today 908-691-2608 and see what our powder seeds and oil can do for you.
[00:06:33.621 --> 00:06:35.922]  He stands for truth.
[00:06:35.922 --> 00:06:37.383]  He stands for justice.
[00:06:37.383 --> 00:06:39.425]  He stands for what's right.
[00:06:39.425 --> 00:06:39.545]  This
[00:06:53.479 --> 00:06:56.063]  This is the Alex Jones Show.
[00:06:56.063 --> 00:06:59.007]  Call Alex now, toll free at 877-590-5525.
[00:06:59.007 --> 00:07:02.652]  Now live from Austin, Texas, here's Alex Jones.
[00:07:15.626 --> 00:07:26.894]  Well, let me just start the broadcast by putting a time stamp on it, because we stand behind what we say over the years and the decades, and fortunately it all comes true right on time.
[00:07:26.894 --> 00:07:36.501]  As we're reading the government's own declassified documents about how they work for offshore banks to set up a world government to carry out eugenics against the people of the planet.
[00:07:36.501 --> 00:07:38.122]  So it is May 17, 2009, a Sunday edition.
[00:07:42.759 --> 00:07:45.020]  We're going to be live here for the next two hours.
[00:07:45.020 --> 00:07:46.840]  Lots of phone calls today.
[00:07:46.840 --> 00:07:50.661]  877-590-5525.
[00:07:50.661 --> 00:07:55.442]  877-590-5525 will get you up and on the air.
[00:07:55.442 --> 00:08:00.604]  You can also call the local line from the station that this syndicated transmission comes to you from.
[00:08:00.604 --> 00:08:03.004]  News Radio 590 KLBJ.
[00:08:03.004 --> 00:08:03.244]  That's 836-0590.
[00:08:06.380 --> 00:08:15.808]  On any issue, any news item, anything you want to talk about, it is a complete and absolute total free-for-all today.
[00:08:15.808 --> 00:08:18.810]  That said, here is the news I have in front of me.
[00:08:18.810 --> 00:08:23.354]  The Bilderberg Group meeting is breaking up as we speak.
[00:08:23.354 --> 00:08:25.856]  Well, I guess they're eight hours ahead of us.
[00:08:25.856 --> 00:08:30.660]  So over there, it's almost the 18th over there.
[00:08:30.660 --> 00:08:33.322]  I guess it is the 18th over there.
[00:08:33.322 --> 00:08:35.264]  So yesterday in Greece, but
[00:08:35.666 --> 00:08:42.992]  Today in North America, the Bilderberg Group concluded its 57th annual meeting.
[00:08:42.992 --> 00:08:50.737]  And for those that don't know, I put this in my film, Endgame, Blueprint for Global Enslavement, but now it's been completely declassified by the British and U.S.
[00:08:50.737 --> 00:08:59.864]  governments, wartime army documents from the Army and Marines and the British military as well, that the Nazis knew they were going to lose by 44.
[00:09:01.823 --> 00:09:10.167]  So they went underground and set up an organization that publicly emerged in 54 as the Bilderberg Group.
[00:09:10.167 --> 00:09:24.715]  They were going to set up a European Union, buy off the United States, and set up a North American Union, and that's in the Globe and Mail, BBC, and other major international publications.
[00:09:24.715 --> 00:09:25.795]  Now, I want to be clear.
[00:09:25.795 --> 00:09:27.056]  The New World Order is not Nazi.
[00:09:29.062 --> 00:09:35.789]  What really happened is, you know, the British media is spinning it that the European Union was set up by Nazis.
[00:09:35.789 --> 00:09:37.171]  And that's true to a certain extent.
[00:09:37.171 --> 00:09:47.622]  You had a lot of wealth, trillions of dollars, even in the numbers of the 40s, the tens of trillions today, that went underground.
[00:09:47.622 --> 00:09:50.845]  And it was intermarried with the British and other wealthy around Europe.
[00:09:52.574 --> 00:09:53.715]  A lot of U.S.
[00:09:53.715 --> 00:09:59.757]  financiers and robber barons were buddies with the German aristocracy, the Crumps and others.
[00:09:59.757 --> 00:10:04.960]  The Rothschilds of England owned large parts of Germany at the time.
[00:10:04.960 --> 00:10:08.901]  The King of England had to advocate because he was a public Nazi, Edward VIII.
[00:10:08.901 --> 00:10:12.163]  That's all on record, though it's not common knowledge.
[00:10:12.163 --> 00:10:14.384]  It's in the mainline history books.
[00:10:14.384 --> 00:10:15.644]  And so in 54, the CIA, with
[00:10:23.063 --> 00:10:34.166]  Prince Bernhard of the Netherlands and others set up the first Bilderberg Group meeting to kind of bring together the German money with the Anglo-American slash Dutch money.
[00:10:34.166 --> 00:10:37.367]  And the Dutch have always been more closely allied to the Anglo-Americans, the U.S.
[00:10:37.367 --> 00:10:38.628]  and England, than they have been to the Germans.
[00:10:38.628 --> 00:10:40.208]  But that's kind of the nexus point.
[00:10:40.208 --> 00:10:46.370]  That's why it was the go-between point at the Bilderberg Hotel in the Netherlands for that meeting to take place.
[00:10:49.131 --> 00:10:52.032]  And the Bilderberg Group has been bragging the last five or six years.
[00:10:52.032 --> 00:11:14.757]  They released their minutes of their first meeting, of some of the meetings in the 60s as well, decades later, where they had bragged that they set up the Treaty of Rome to set up the European Union covertly, that they're setting up the North American Union by stealth, that they're basically shaping the world we live in today, an undemocratic, tyrannical world ruled by a private group of banks.
[00:11:18.956 --> 00:11:23.238]  German chancellors and British prime ministers, people like David Rockefeller, write memoirs.
[00:11:23.238 --> 00:11:27.061]  He wrote his memoir four and a half years ago, bragging, yes, I'm trying to overthrow the U.S.
[00:11:27.061 --> 00:11:28.642]  and set up a new world order.
[00:11:28.642 --> 00:11:31.163]  I'm proud of it.
[00:11:31.163 --> 00:11:35.786]  Now, the elite will have all the rights in the world under this system, and everybody else will be poor slaves.
[00:11:35.786 --> 00:11:37.066]  Now, this is not a good system.
[00:11:37.066 --> 00:11:44.010]  Now, in the 40s, 50s, 60s, 70s, and 80s, and 90s, and on through today, in the year 2009,
[00:11:45.342 --> 00:11:53.949]  They run TV shows and movies and news articles making fun of people that believe in the New World Order and international banks.
[00:11:53.949 --> 00:11:56.732]  And then they would mix in absurd things, you know.
[00:11:56.732 --> 00:11:58.253]  Well, I mean, here's a clip.
[00:11:58.253 --> 00:12:00.995]  And there's been tens of thousands of things I've seen on television like this.
[00:12:00.995 --> 00:12:02.076]  You've all seen it.
[00:12:02.076 --> 00:12:03.157]  It's propaganda.
[00:12:03.157 --> 00:12:05.078]  You're being brainwashed.
[00:12:05.078 --> 00:12:06.760]  Not so funny today, though.
[00:12:07.423 --> 00:12:12.325]  When you realize that openly they're announcing a new Bank of the World that you will pay your global carbon taxes to.
[00:12:12.325 --> 00:12:16.647]  So, we've learned the new Bilderberg Group agenda for 2009 to 2010.
[00:12:16.647 --> 00:12:19.208]  We'll go over that.
[00:12:19.208 --> 00:12:25.151]  That dovetails with Government Ready's Youth Corps to take on veterans in the United States.
[00:12:25.151 --> 00:12:26.811]  No, I'm not kidding.
[00:12:26.811 --> 00:12:27.632]  You heard me.
[00:12:27.632 --> 00:12:31.073]  A Youth Corps under the federal government to take on U.S.
[00:12:31.073 --> 00:12:32.053]  veterans and gun owners.
[00:12:32.053 --> 00:12:33.174]  Remember the DHS report?
[00:12:33.473 --> 00:12:43.857]  A few months ago we broke, people never believed me all the years, I warned you now we have the declassified documents, that their main buildup of homeland security is for the American people.
[00:12:43.857 --> 00:12:48.638]  It's all been set up for us, if we don't like the foreign bankers bankrupting everything.
[00:12:48.638 --> 00:12:51.079]  But let's go ahead and play Archie Bunker.
[00:12:51.079 --> 00:12:52.440]  In fact, I don't have the printout in front of me.
[00:12:52.440 --> 00:12:57.121]  What year is this Archie Bunker from?
[00:12:57.121 --> 00:12:58.322]  I know it was back in the 70s.
[00:12:59.639 --> 00:13:00.580]  Here is R.G.
[00:13:00.580 --> 00:13:07.588]  Bunker back in the 1970s talking about international bankers and communists wanting our guns.
[00:13:07.588 --> 00:13:08.929]  Ha ha ha, isn't R.G.
[00:13:08.929 --> 00:13:10.191]  Bunker an idiot?
[00:13:10.191 --> 00:13:20.042]  This is so that years later when they openly set it up, when you tried to fight back against it, your neighbors, most of you don't know why you laugh at people that talk about global cabals.
[00:13:20.609 --> 00:13:23.732]  Most of you don't know why you won't get involved in defending your country.
[00:13:23.732 --> 00:13:29.298]  You've been preconditioned tens of thousands of times by TV and culture that it's kooky to do so.
[00:13:29.298 --> 00:13:33.822]  They destroyed your natural defenses for sovereignty, for patriotism.
[00:13:33.822 --> 00:13:36.084]  They call it evil nationalism.
[00:13:36.084 --> 00:13:38.146]  Well, here they are making fun of Archie Bunker.
[00:13:38.146 --> 00:13:39.027]  He's the buffoon.
[00:13:39.027 --> 00:13:39.868]  He's the racist.
[00:13:39.868 --> 00:13:41.069]  He's the idiot.
[00:13:41.069 --> 00:13:44.072]  And how dare him not want to turn his guns in and have international bankers ruling.
[00:13:45.782 --> 00:13:46.803]  Good evening, everybody.
[00:13:46.803 --> 00:13:56.168]  This is Archie Parker of 704 Houser Street, veteran of the big war, speaking on behalf of Guns for Everybody.
[00:13:56.168 --> 00:13:57.989]  Now, question.
[00:13:57.989 --> 00:14:02.292]  What was the first thing that the communists done when they took over Russia?
[00:14:02.292 --> 00:14:03.813]  Answer, gun control.
[00:14:03.813 --> 00:14:09.496]  And there's a lot of people in this country who want to do the same thing to us here in a kind of conspiracy scene.
[00:14:10.174 --> 00:14:13.375]  You take your big international bankers.
[00:14:13.375 --> 00:14:18.838]  They want to, what do you call it, masticate the people of this here nation like puppets on a wing.
[00:14:18.838 --> 00:14:22.760]  And then they're going to get their gun and turn us over to the commies.
[00:14:22.760 --> 00:14:25.561]  I'm glad they put you on a stool.
[00:14:25.561 --> 00:14:29.463]  You look tall as sitting down.
[00:14:29.463 --> 00:14:35.585]  Now I want to talk about another thing that's on everybody's mind today, and that's your stick-ups and your skyjackets.
[00:14:35.585 --> 00:14:39.487]  Which, if that was up to me, I could end the skyjackets tomorrow.
[00:14:40.279 --> 00:14:41.260]  You could.
[00:14:41.260 --> 00:14:46.502]  All you gotta do is arm all your passengers.
[00:14:46.502 --> 00:14:50.344]  I mean, he ain't got no more superiority there.
[00:14:50.344 --> 00:14:52.885]  He ain't gonna dare to pull out no rod.
[00:14:52.885 --> 00:14:57.628]  And then your airlines, then they wouldn't have to chase the passengers on the ground no more.
[00:14:57.628 --> 00:15:03.651]  They just pass out the pistols at the beginning of the trip, and they pull them up again at the end.
[00:15:03.651 --> 00:15:04.311]  Case closed.
[00:15:06.832 --> 00:15:13.138]  All right, folks, we're going to come right back and analyze this brainwashing and take your phone calls and a lot more.
[00:15:13.138 --> 00:15:16.060]  But this is how programming works.
[00:15:16.060 --> 00:15:18.683]  This is how it's always worked.
[00:15:18.683 --> 00:15:24.368]  But, you know, in the states where they have said everybody can be armed with concealed carry, crime rates go down on average 24 percent.
[00:15:24.368 --> 00:15:31.594]  So actually, that sounds radical to gelded domesticated slaves, but not to everybody else.
[00:15:31.594 --> 00:15:32.355]  We'll be right back.
[00:15:44.497 --> 00:15:45.298]  We're good to go.
[00:16:09.518 --> 00:16:13.381]  Yeah, we're good.
[00:16:22.708 --> 00:16:24.710]  Our beloved republic is on her knees.
[00:16:24.710 --> 00:16:28.332]  The forces of globalism are destroying national sovereignty worldwide.
[00:16:28.332 --> 00:16:30.174]  But in Liberty's darkest hour, there is hope.
[00:16:30.174 --> 00:16:33.977]  For the first time in modern history, the people are beginning to wake up.
[00:16:33.977 --> 00:16:39.061]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:16:39.361 --> 00:16:47.909]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:16:47.909 --> 00:16:51.493]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[00:16:51.493 --> 00:16:54.396]  Do your herbal remedies have unwanted additives and fillers?
[00:16:54.696 --> 00:16:57.198]  Have you ever tested your body's pH level?
[00:16:57.198 --> 00:17:00.180]  Make the change to organic health and beauty products.
[00:17:00.180 --> 00:17:03.583]  Visit 2benatural.com and order today!
[00:17:03.583 --> 00:17:12.590]  2benatural.com carries exclusive, all-natural, chemical-free skin care, hair care, whole food vitamins, herbal remedies, and alkaline body balance supplements.
[00:17:12.590 --> 00:17:14.692]  Visit 2benatural.com.
[00:17:14.692 --> 00:17:17.834]  That's T-O-B-E-natural.com.
[00:17:17.834 --> 00:17:18.975]  2benatural.com.
[00:17:19.355 --> 00:17:23.937]  Use coupon code RADIO for 15% discount and free alkaline food chart.
[00:17:23.937 --> 00:17:26.378]  Call 1-888-417-1375.
[00:17:26.378 --> 00:17:33.761]  That's 1-888-417-1375 to order or request your free catalog.
[00:17:33.761 --> 00:17:40.444]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:17:40.444 --> 00:17:48.167]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:17:48.547 --> 00:17:56.709]  Is this a flaw-free enterprise, or is our monetary unit, we call the Federal Reserve Note, forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:17:56.709 --> 00:18:01.811]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:18:01.811 --> 00:18:07.012]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:18:07.012 --> 00:18:11.373]  A gripping adventure into the secret world of international banking cartel.
[00:18:11.373 --> 00:18:12.454]  Hi, this is Ted Anderson.
[00:18:12.454 --> 00:18:16.475]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:18:16.955 --> 00:18:21.862]  Call 1-800-686-2237 and order a copy today.
[00:18:21.862 --> 00:18:24.846]  It's critical that the public be made aware of the system.
[00:18:24.846 --> 00:18:26.629]  Call and order your copy today at 1-800-686-2237.
[00:18:26.629 --> 00:18:26.849]  That's 1-800-686-2237.
[00:18:34.881 --> 00:18:40.387]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:18:40.387 --> 00:18:41.167]  and the world.
[00:18:41.167 --> 00:18:45.031]  And for the first time in their lives, they are feeling the need for preparedness.
[00:18:45.031 --> 00:18:51.538]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:18:51.538 --> 00:18:53.580]  Ready Reserve is the manufacturer.
[00:18:53.580 --> 00:18:58.805]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[00:18:58.985 --> 00:19:01.786]  With double enameled cans and nitrogen packaging.
[00:19:01.786 --> 00:19:06.489]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:19:06.489 --> 00:19:12.292]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:19:12.292 --> 00:19:14.473]  Many companies do not even offer a catalog.
[00:19:14.473 --> 00:19:16.714]  We will be more than happy to send a catalog to you.
[00:19:17.054 --> 00:19:18.155]  Free of charge.
[00:19:18.155 --> 00:19:18.475]  Dial 1-800-453-2202.
[00:19:18.475 --> 00:19:18.555]  1-800-453-2202.
[00:19:18.555 --> 00:19:20.877]  Or visit our website at ReadyReserveFoods.com.
[00:19:20.877 --> 00:19:22.939]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:19:22.939 --> 00:19:23.620]  Call us at 1-800-453-2202.
[00:19:38.985 --> 00:19:44.027]  Have you ever noticed that celebrities are endorsing weight loss products and health aids?
[00:19:44.027 --> 00:19:47.849]  Do you think they endorse these products for free?
[00:19:47.849 --> 00:19:48.830]  I don't think so.
[00:19:48.830 --> 00:19:52.891]  I'm here to tell you, I'm not a celebrity and Life Change T doesn't need one.
[00:19:52.891 --> 00:19:56.133]  Think about this, the product speaks for itself!
[00:19:56.733 --> 00:19:58.314]  What a concept!
[00:19:58.314 --> 00:19:59.895]  Our product works.
[00:19:59.895 --> 00:20:02.456]  You get healthy and you'll lose weight.
[00:20:02.456 --> 00:20:03.336]  Summer's coming.
[00:20:03.336 --> 00:20:04.877]  Look and feel good.
[00:20:04.877 --> 00:20:05.337]  Order now.
[00:20:05.337 --> 00:20:05.397]  928-308-0408.
[00:20:05.397 --> 00:20:06.618]  Write this down.
[00:20:06.618 --> 00:20:06.698]  928-308-0408.
[00:20:06.698 --> 00:20:07.679]  Or you can order online.
[00:20:07.679 --> 00:20:08.139]  It's easy.
[00:20:16.463 --> 00:20:18.164]  GetTheTea.com.
[00:20:18.164 --> 00:20:20.664]  That's GetTheTea.com.
[00:20:20.664 --> 00:20:26.286]  You have nothing to lose, but the excess around your, uh, uh, anyway.
[00:20:26.286 --> 00:20:27.286]  Life Change Tea.
[00:20:27.286 --> 00:20:28.806]  It speaks for itself.
[00:20:28.806 --> 00:20:31.027]  That's GetTheTea.com.
[00:20:31.027 --> 00:20:35.988]  You're listening to GCN.
[00:20:35.988 --> 00:20:38.849]  Genesis Communication Radio Network.
[00:20:38.849 --> 00:20:39.449]  And it makes
[00:20:49.425 --> 00:20:50.366]  We are back live.
[00:20:50.366 --> 00:20:53.207]  Thank you for joining us.
[00:20:53.207 --> 00:20:56.489]  Okay, I'm just gonna go ahead and go to your phone calls.
[00:20:56.489 --> 00:21:00.952]  Eric and Walt and Steve and George and Bill and many others that are patiently holding us.
[00:21:00.952 --> 00:21:02.173]  Do have one line open.
[00:21:02.173 --> 00:21:02.793]  That's a rarity.
[00:21:02.793 --> 00:21:02.954]  877-590-5525 or 836-0590.
[00:21:02.954 --> 00:21:04.715]  And if you disagree with me, you're also welcome to call.
[00:21:04.715 --> 00:21:07.056]  Go to the head of the line, as long as we can keep it civil here.
[00:21:15.083 --> 00:21:15.964]  Myself included.
[00:21:15.964 --> 00:21:17.065]  You know, I have problems with that.
[00:21:17.065 --> 00:21:21.328]  877-590-5525.
[00:21:21.328 --> 00:21:26.052]  And coming up, government readies youth corps to take on vets.
[00:21:26.052 --> 00:21:34.199]  Ten minutes into errant mayhem in his town near the Mexican border, and a gunman, a disgruntled Iraq war veteran, has already taken out two people.
[00:21:34.199 --> 00:21:37.802]  One slumped at his desk, the other covered with blood on the floor.
[00:21:37.802 --> 00:21:43.026]  But here come the Boy Scouts under Homeland Security command to seek and destroy and wipe out the vets.
[00:21:43.663 --> 00:21:45.863]  That's what the New York Times is reporting.
[00:21:45.863 --> 00:21:49.284]  And you know, this isn't just one little case of it.
[00:21:49.284 --> 00:21:53.085]  There's hundreds and hundreds I'm aware of, so I'm going to try to give folks the big picture.
[00:21:53.085 --> 00:21:56.086]  This happened in Germany, this happens in Russia, this happens in China.
[00:21:56.086 --> 00:22:01.707]  I'm going to break down, and folks are on InfoWars.com, you know, reading this article we wrote.
[00:22:01.707 --> 00:22:06.048]  Government readies youth corps to take on vets.
[00:22:06.048 --> 00:22:11.689]  And they are saying, oh look at these kids, they look like wimps, they'd be easy to wipe out.
[00:22:12.597 --> 00:22:14.699]  They're not coming today.
[00:22:14.699 --> 00:22:21.505]  They're training them when they're young and impressionable to turn them loose on you when they're 18 years old.
[00:22:21.505 --> 00:22:25.068]  Yes, we know at 14 they're not that formidable.
[00:22:25.068 --> 00:22:29.432]  The point is, in just a few years, they will be.
[00:22:29.432 --> 00:22:34.076]  They want them trained, but when they're still young and stupid at 18 and don't know what they're doing.
[00:22:34.076 --> 00:22:38.540]  And by the way, the government admits these are for the American people.
[00:22:38.540 --> 00:22:39.220]  Do you understand?
[00:22:39.220 --> 00:22:39.681]  This is
[00:22:40.367 --> 00:22:40.907]  Serious.
[00:22:40.907 --> 00:22:43.589]  Okay, that's coming up and then the latest on the Bilderberg Group.
[00:22:43.589 --> 00:22:44.409]  Big developments there.
[00:22:44.409 --> 00:22:48.652]  The AP and Wall Street Journal and others finally reported on it.
[00:22:48.652 --> 00:22:53.994]  You never, never, never see mainstream reporting in the United States on the Bilderberg Group.
[00:22:53.994 --> 00:22:58.177]  It was 130 world leaders meet and chart the course of the planet.
[00:22:58.177 --> 00:23:09.923]  We made a big stink about it this year and AP and the Wall Street Journal reported on it, but the Wall Street Journal makes a joke out of it and says, the elite gather in Greece for a not-so-secret meeting and all, what's the big deal?
[00:23:10.356 --> 00:23:13.877]  Yeah, you just said it didn't exist all these years and now it's not so secret.
[00:23:13.877 --> 00:23:19.699]  They just arrested more than a dozen members of the press, including London Guardian reporter.
[00:23:19.699 --> 00:23:26.862]  We're trying to get within two miles on public beaches and sidewalks of the hotel.
[00:23:26.862 --> 00:23:28.522]  I mean, this is amazing.
[00:23:28.522 --> 00:23:29.783]  What is this, Russia or China?
[00:23:29.783 --> 00:23:30.983]  I guess it is.
[00:23:30.983 --> 00:23:32.544]  So we'll get to that coming up.
[00:23:32.544 --> 00:23:33.644]  Very, very important.
[00:23:33.644 --> 00:23:35.625]  Eric in California, you're on the air.
[00:23:35.625 --> 00:23:36.205]  Thanks for holding.
[00:23:36.205 --> 00:23:38.666]  Alex, how are you doing?
[00:23:38.666 --> 00:23:39.046]  Hey, buddy.
[00:23:39.046 --> 00:23:39.286]  Welcome.
[00:23:40.177 --> 00:23:42.638]  Hey, great news, Alex.
[00:23:42.638 --> 00:23:50.220]  Late last year, I did some work for Dave Mustaine and Megadeth on their new studio.
[00:23:50.220 --> 00:23:53.101]  So I got to know Dave a little bit.
[00:23:53.101 --> 00:23:57.682]  I didn't try to press him for conversation and all that, but I expected his time.
[00:23:57.682 --> 00:24:04.464]  But about a week and a half ago, I dropped by the studio and just kind of sat down with him for about a half hour and talked about various things.
[00:24:07.395 --> 00:24:12.818]  I had mentioned the fact that he'd been on your show, interviewed by you, and if you'd like to do it again.
[00:24:12.818 --> 00:24:17.601]  And he said he's got to talk to his manager and go through all the proper channels and whatnot.
[00:24:17.601 --> 00:24:19.882]  Maybe you might want to call him up.
