[00:00:00.734 --> 00:00:04.076]  It's already Thursday, the 16th day of July 2009.
[00:04:15.814 --> 00:04:38.796]  It tells you and I and your listeners that the understanding of how the Federal Reserve Bank works and what it does to turn around and confiscate our private property, it's an amazing feat and I think that's something that will be changing the world if we can get that accomplished.
[00:04:41.428 --> 00:04:42.208]  Absolutely.
[00:04:42.228 --> 00:04:47.650]  You know, I love it when your brother's on television and they say, abolish the Federal Reserve, get rid of the income tax.
[00:04:48.391 --> 00:04:53.032]  How are we going to do that when we have to fund the government?
[00:04:53.072 --> 00:04:57.014]  And Ron Paul always says, this building behind me, the Capitol, was built
[00:04:57.881 --> 00:05:01.626]  For a hundred plus years before we had this foreign banking takeover.
[00:05:02.548 --> 00:05:06.353]  Can you get into the nature of the Federal Reserve, the War Powers Act?
[00:05:07.174 --> 00:05:10.299]  Go back through what you talked about in that video clip, but in more detail.
[00:05:10.519 --> 00:05:11.881]  The nature of our rulers.
[00:05:13.323 --> 00:05:18.244]  It is amazing that five, ten years ago, almost no one knew it was a private run-for-profit criminal group.
[00:05:18.684 --> 00:05:24.726]  Now, it's a big national issue that nobody can audit it, that it says it's above the law, it won't tell Congress.
[00:05:25.226 --> 00:05:29.727]  Senator Sanders and others, and your brother, the Congressman Ron Paul, say, where's the money, where'd it go?
[00:05:29.767 --> 00:05:31.828]  And Bernanke says, I'm not going to tell you!
[00:05:32.388 --> 00:05:41.830]  Everybody, even if they're dumbed down, knows fundamentally nobody's above the law, and they're asking, who are these private bankers that own everything and control the issuance of currency and credit?
[00:05:42.170 --> 00:05:46.851]  I think the fascinating thing about that is if you go to the Federal Reserve Act that was passed in 1913
[00:06:08.837 --> 00:06:30.121]  In that act, and in the bill, if anybody's interested, go on the web, under government, and read that act, and they define that the green stuff we have in our pocket, it is defined as a Federal Reserve Accounting Unit Dollar.
[00:06:31.582 --> 00:06:36.423]  Take the first letter of each one of those words, and what do you have?
[00:06:38.644 --> 00:06:43.105]  Reserve accounting unit dollar.
[00:06:44.425 --> 00:06:48.146]  They told us in 1913 what they were doing.
[00:06:50.307 --> 00:06:54.568]  Because those five letters spell fraud.
[00:06:56.568 --> 00:07:04.610]  So when you hear the vernacular that says, uh, fraud notes in your pocket, you understand where people got that thing.
[00:07:06.204 --> 00:07:24.548]  And that having been created then, we're now at a point where printing dollars no longer can be sustained by the productivity of free enterprise.
[00:07:25.788 --> 00:07:28.569]  There's just too many dollars in circulation.
[00:07:30.249 --> 00:07:30.929]  And I think
[00:07:32.063 --> 00:07:50.747]  As you say, uneducated or people that don't have their research done or haven't done their research understand when they go to the store and go to buy a loaf of bread and it's now $2.50 and I used to buy a loaf of bread for 29 cents.
[00:07:51.868 --> 00:07:53.068]  Something's wrong with somewhere.
[00:07:56.237 --> 00:07:57.598]  Well it absolutely is.
[00:07:58.438 --> 00:08:11.047]  And now they're going to a whole new unit of a global SDR where the central banks don't even have it backed up by the nation states or by the people paying the income tax into the private federal reserve.
[00:08:11.407 --> 00:08:17.731]  Now it's just SDRs that are above even the nation state currency.
[00:08:17.751 --> 00:08:21.033]  So we're already going to this global cashless society right now.
[00:08:21.093 --> 00:08:25.296]  It's just a mopping up process to get rid of the national currencies or to convert them
[00:08:25.876 --> 00:08:25.976]  Yes.
[00:08:42.227 --> 00:08:45.410]  Well, I think the exciting thing for me is the fact that even though I've known this
[00:09:11.175 --> 00:09:13.457]  And studied it for 25 years.
[00:09:13.477 --> 00:09:23.104]  I think I'm reminded most of all in this past year of a young gentleman in our area who is a senior in high school.
[00:09:24.245 --> 00:09:32.212]  And for his passage of his senior year, he had to write a senior thesis.
[00:09:33.392 --> 00:09:40.418]  And he studied and wrote his thesis on the Federal Reserve System and how it operated.
[00:09:41.443 --> 00:09:55.268]  And for me, a young person, age 17, having the knowledge that this fella has as to how it operates, got to be the most exciting thing.
[00:09:55.528 --> 00:10:06.813]  I look forward to the future only because I think, as Congressman Paul pointed out, it's the education process that really counts.
[00:10:07.913 --> 00:10:10.494]  And when we can see that in our young people,
[00:10:11.554 --> 00:10:34.797]  I can see light at the end of the tunnel that we're going to turn around and we're going to create a constitutional republic form of government and it's going to take all of us, starting from the local city offices to the county, to the state, to the federal, but it will change because of knowledge.
[00:10:36.946 --> 00:10:41.509]  And when we win, we're going to have a second renaissance in this country and appreciate it.
[00:10:41.829 --> 00:10:48.153]  Because you don't really appreciate something until you've had to fight for it or until you've lost it and then fought for it and gotten it back.
[00:10:48.954 --> 00:10:50.355]  I couldn't agree with you more.
[00:10:50.895 --> 00:10:53.136]  I am looking forward to that day.
[00:10:54.697 --> 00:10:56.999]  And I intend to be here when that day happens.
[00:10:59.209 --> 00:11:02.730]  Well, so many times in history, tyrants and tyrannies collapse.
[00:11:02.790 --> 00:11:08.771]  I think Gandhi, to paraphrase him, said it looks like the dictator, the corrupt leaders are invincible, but then suddenly they just collapse.
[00:11:09.251 --> 00:11:15.833]  You gotta just keep throwing the punches in there and not giving up, knowing we're gonna... That's like George Washington.
[00:11:16.193 --> 00:11:23.815]  When he finally won the war and they surrendered, he was stunned for several hours and didn't believe them, didn't understand after seven years of fighting.
[00:11:25.669 --> 00:11:26.089]  Stay there.
[00:11:26.149 --> 00:11:27.450]  Wayne Paul, always amazing.
[00:11:27.470 --> 00:11:29.650]  This is his maiden voyage on radio with us.
[00:11:30.090 --> 00:11:31.751]  Got a host of issues coming up.
[00:11:32.171 --> 00:11:34.532]  Are you concerned for the safety of your loved ones?
[00:11:34.832 --> 00:11:38.013]  Listen closely to this message from Pepperspray.com.
[00:11:38.453 --> 00:11:41.293]  Every 22 seconds a violent crime is committed.
[00:11:41.614 --> 00:11:45.735]  America has changed and your personal safety is your first priority.
[00:11:46.035 --> 00:11:46.655]  Be smart.
[00:11:46.835 --> 00:11:47.475]  Be safe.
[00:11:47.795 --> 00:11:50.136]  Trust Pepperspray instead of your luck.
[00:11:50.396 --> 00:11:56.683]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:11:56.983 --> 00:12:02.769]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:12:02.989 --> 00:12:05.432]  From big to small, we have it all.
[00:12:05.672 --> 00:12:09.436]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:12:09.676 --> 00:12:16.099]  Pepperspray.com also carries a large assortment of products for personal, home, child and pet safety.
[00:12:16.419 --> 00:12:21.002]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:12:21.302 --> 00:12:22.723]  So what are you waiting for?
[00:12:22.963 --> 00:12:24.724]  Go to Pepperspray.com.
[00:12:24.924 --> 00:12:27.905]  That's Pepperspray.com or call 1-800-908-9988 today!
[00:12:32.685 --> 00:12:38.007]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:12:38.728 --> 00:12:44.050]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:12:44.610 --> 00:12:50.753]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:12:51.093 --> 00:12:52.914]  Well, Obama's already fudging.
[00:12:53.054 --> 00:12:55.435]  He's fudged since day one in this election.
[00:12:55.515 --> 00:13:06.479]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:13:08.699 --> 00:13:09.980]  It's not about left or right.
[00:13:10.380 --> 00:13:11.761]  It's about a one-world government.
[00:13:12.241 --> 00:13:18.463]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:13:19.139 --> 00:13:26.913]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:13:27.414 --> 00:13:28.556]  The Obama Deception.
[00:13:28.997 --> 00:13:30.179]  The people strike back!
[00:13:31.667 --> 00:13:32.027]  Good day.
[00:13:32.208 --> 00:13:33.649]  Jim Newcomer from Midas Resources.
[00:13:33.809 --> 00:13:34.070]  July 16, 2009.
[00:13:34.150 --> 00:13:35.111]  Gold opened this morning at $940.
[00:13:35.151 --> 00:13:37.754]  A one-ounce gold coin can be purchased for $966.96, $4348 for a half-ounce, or $241.74 for the quarter-ounce.
[00:13:37.774 --> 00:13:38.354]  That's $966.96, $483.48, or $241.74.
[00:13:49.386 --> 00:13:53.188]  Bailout equals market distortions, increased money supply while productivity is going down.
[00:13:53.348 --> 00:13:57.390]  Wall Street is receiving injections of liquidity while smaller companies are forced to concede.
[00:13:57.570 --> 00:14:02.032]  Companies too big to fail are now using the tax dollars to increase market share, paying fat dividends.
[00:14:02.212 --> 00:14:07.595]  Are you wondering why supplies of gold and silver coins are decreasing rapidly, leaving the public scrambling to accumulate what's left?
[00:14:07.755 --> 00:14:10.917]  Fiat currency's value is based on trust, fiscal responsibility.
[00:14:11.017 --> 00:14:15.779]  Is Congress and the White House acting responsibly, earning your trust, or is it time to ensure your hard-earned wealth?
[00:14:15.899 --> 00:14:19.060]  Midas Resources offers economic insurance, gold and silver coins, 800-686-2237.
[00:14:19.160 --> 00:14:25.683]  Do you believe that more bailout will solve our economic problems, or would you like to call Midas Resources at 1-800-686-2237?
[00:14:25.803 --> 00:14:29.304]  That's Midas Resources at 1-800-686-2237.
[00:14:31.025 --> 00:14:37.207]  Studies have shown that many people do not get the proper vitamins and minerals necessary to maintain good health.
[00:14:37.327 --> 00:14:42.789]  With so many places to choose from, deciding where and what to buy can be a lengthy, frustrating process.
[00:14:42.969 --> 00:14:44.050]  The answer is simple.
[00:14:47.802 --> 00:14:48.543]  We're good.
[00:15:04.136 --> 00:15:05.476]  We're good to go.
[00:15:38.493 --> 00:15:40.314]  You can run on for a long time.
[00:15:43.055 --> 00:15:46.097]  You can run on for a long time.
[00:15:46.117 --> 00:15:49.018]  Run on for a long time.
[00:15:49.799 --> 00:15:51.820]  Run on for a long time.
[00:15:52.520 --> 00:15:54.961]  Sooner or later gotta put you down.
[00:15:55.502 --> 00:15:57.102]  Sooner or later gotta put you down.
[00:15:57.202 --> 00:16:02.425]  I like the Texas Ranger Credo, which is actually borrowed from one of the founding Texas Rangers.
[00:16:02.745 --> 00:16:07.868]  A man in the wrong can't stop a man in the right that keeps on a coming.
[00:16:09.941 --> 00:16:13.022]  And that's what we've got to do, because these people mean business.
[00:16:13.042 --> 00:16:13.502]  We're fighting.
[00:16:13.782 --> 00:16:15.382]  Short segment right now, long one coming up.
[00:16:15.442 --> 00:16:20.743]  I wanted to get to some of the things that Wayne may never have talked about on air.
[00:16:21.104 --> 00:16:31.626]  First, then we'll get back into solutions and where this country's going, and his brother and the family, and now one of his nephews, Rand Paul, it looks like, is going to run for the Congress.
[00:16:32.745 --> 00:16:43.114]  But go back to your rural upbringing, some stories about you and your brothers, about Ron, and about what it's been like for you.
[00:16:44.275 --> 00:16:54.244]  How you woke up, how he woke up, or were you guys born awake, being born to hard-working farmers, dairy farmers, all you guys working from the time you were about
[00:16:55.024 --> 00:16:56.045]  Six, seven years old.
[00:16:56.405 --> 00:16:58.828]  Were you guys born awake, or what was the process like?
[00:17:00.009 --> 00:17:05.193]  Let us into a window of the icon that is your brother, Dr. Ron Paul, and yourself, of course.
[00:17:05.774 --> 00:17:06.254]  Okay.
[00:17:07.295 --> 00:17:10.178]  We were born and raised in Pittsburgh, Pennsylvania.
[00:17:11.079 --> 00:17:17.925]  Small rural town, and my mother and father had a dairy milk processing and delivery business.
[00:17:18.746 --> 00:17:21.168]  It started out in the basement of our house.
[00:17:22.379 --> 00:17:27.142]  And my mom and dad worked seven days a week to process bottled milk and deliver it.
[00:17:28.423 --> 00:17:37.488]  And we were always required on Sundays to go to church Sunday morning and my dad took off enough time to go to church.
[00:17:38.589 --> 00:17:42.512]  But he worked seven days a week up until I was in fifth grade.
[00:17:43.272 --> 00:17:45.834]  Now I'm the youngest of five boys.
[00:17:46.614 --> 00:17:49.436]  Ron is the middle of the five of us.
[00:17:50.171 --> 00:17:56.875]  So we claim he's the spoiled one in the family because the two oldest ones paid the wage for him.
[00:17:57.755 --> 00:18:02.338]  And then we were never allowed to do anything, but we always say Ron got away with all of it.
[00:18:04.299 --> 00:18:08.461]  I'm saying that because he can't rebut that on this radio show.
[00:18:08.481 --> 00:18:11.162]  So, um, be careful.
[00:18:11.262 --> 00:18:12.943]  I might deny that later on.
[00:18:14.624 --> 00:18:15.565]  Anyway, um,
[00:18:17.069 --> 00:18:39.636]  My revelation into this knowledge started back in the early seventies, and it had to do with my representation of a taxpayer who, after I started to represent him, he ended up, six weeks after I met him, passing away.
[00:18:39.656 --> 00:18:45.498]  And it was a direct result of the confrontation he had
[00:18:46.713 --> 00:18:48.434]  With the Internal Revenue Service.
[00:18:49.434 --> 00:18:49.534]  Oh.
[00:18:50.015 --> 00:18:57.118]  And I said to myself, if this is the way it is, I'm not going to ever do another tax return.
[00:18:58.018 --> 00:19:00.740]  Because something's not right in the system.
[00:19:01.900 --> 00:19:14.246]  So that was my awakening call, and that started my research, my documentation, and everything that I've learned from that point on.
[00:19:16.778 --> 00:19:35.508]  Help me in better stead, made me better understand, and I think when people understand and learn, even if they can't do anything about it, they're better off morally, they're better off spiritually, and they're better off in their dealings with their fellow man.
[00:19:35.949 --> 00:19:37.670]  That makes all the difference in the world.
[00:19:40.325 --> 00:19:42.307]  What woke your brother up?
[00:19:42.527 --> 00:19:46.150]  Tell us about Congressman Ron Paul, your brother.
[00:19:46.550 --> 00:19:58.939]  Well, I think Ron's timing was the fact that when he was in college and medical school and working, he always had spare time.
[00:20:00.541 --> 00:20:06.886]  And he got involved in research and study of Ludwig von Mises.
[00:20:07.526 --> 00:20:09.888]  And von Mises is the father
[00:20:10.809 --> 00:20:14.151]  of free enterprise Austrian economics.
[00:20:15.231 --> 00:20:25.575]  And there's a von Mises Institute that's in existence today that's extremely successful and continues to support free enterprise economics.
[00:20:25.895 --> 00:20:27.436]  And it's headed up by Lou Rockwell.
[00:20:27.756 --> 00:20:28.557]  That is correct.
[00:20:28.657 --> 00:20:39.101]  And it made a lot of sense to him, so he started to apply it not only in his professional life,
[00:20:39.795 --> 00:20:49.622]  But in his personal life and was extremely successful in the implementation of free enterprise economics.
[00:20:50.583 --> 00:20:57.748]  And it was at that time that he started to formulate the idea that he needed to teach this to other people.
[00:20:58.769 --> 00:20:59.410]  Alright, stay there.
[00:20:59.450 --> 00:21:02.332]  Let's continue with this on the other side and also talk about your saga.
[00:21:02.372 --> 00:21:04.774]  You've had quite a story as well.
[00:21:04.894 --> 00:21:06.295]  And then we'll open the phones up.
[00:21:07.094 --> 00:21:11.098]  Or Wayne Paul, brother of Congressman Dr. Ron Paul.
[00:21:11.118 --> 00:21:11.419]  1-800-259-9231.
[00:21:11.439 --> 00:21:11.499]  1-800-259-9231.
[00:21:11.519 --> 00:21:11.859]  Stay with us.
[00:21:11.899 --> 00:21:13.821]  PrisonPlanet.tv is the website.
[00:21:13.961 --> 00:21:15.082]  We're on the march.
[00:21:15.142 --> 00:21:16.384]  The empire's on the run.
[00:21:16.464 --> 00:21:20.087]  Alex Jones and the GCN Radio Network.
[00:21:31.527 --> 00:21:32.627]  This is Alex Jones.
[00:21:32.907 --> 00:21:34.688]  Have you heard of the Millionaire Patriot?
[00:21:34.908 --> 00:21:35.548]  Well, you should.
[00:21:35.888 --> 00:21:40.130]  He has a free handgun and five days of firearms training waiting for you.
[00:21:40.370 --> 00:21:40.850]  That's right.
[00:21:41.170 --> 00:21:49.653]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:21:49.833 --> 00:21:51.094]  All for pennies on the dollar.
[00:21:51.194 --> 00:21:52.334]  Plus, if you act fast.
[00:21:52.554 --> 00:21:58.177]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:21:58.537 --> 00:22:05.061]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:22:05.421 --> 00:22:10.624]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:22:10.944 --> 00:22:12.084]  This is real.
[00:22:12.405 --> 00:22:13.145]  Don't miss out.
[00:22:13.465 --> 00:22:20.329]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit or pennies on the dollar.
[00:22:20.569 --> 00:22:21.830]  And get your free handgun.
[00:22:22.010 --> 00:22:24.171]  Go to FrontSight.com today.
[00:22:24.371 --> 00:22:27.874]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:22:28.074 --> 00:22:30.996]  Go to FrontSight.com for your training and free gun.
[00:22:31.857 --> 00:22:36.820]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:23:01.817 --> 00:23:01.977]  I think?
[00:23:31.817 --> 00:23:33.398]  Hello friends, this is Alex Jones.
[00:23:33.498 --> 00:23:38.100]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:23:38.240 --> 00:23:41.002]  We need to be independent, and food and water is the key.
[00:23:41.202 --> 00:23:44.084]  You'll never have to stand in a bread line if you have your own bread.
[00:23:44.244 --> 00:23:50.107]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:23:50.327 --> 00:23:53.269]  No one is going to take care of your family in the final equation that you use.
[00:23:53.570 --> 00:24:00.475]  You know, efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:24:00.555 --> 00:24:03.678]  And they do it at almost half the cost of last year's grocery prices.
[00:24:03.838 --> 00:24:04.038]  Call 1-800-409-5633.
[00:24:04.098 --> 00:24:05.719]  Or on the web, go to efoodsdirect.com.
[00:24:08.982 --> 00:24:15.067]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride and dehydrated foods they have to offer.
[00:24:15.227 --> 00:24:18.990]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:24:19.010 --> 00:24:20.351]  Again, 800-409-5633 or on the web at eFoodsDirect.com.
[00:24:20.371 --> 00:24:20.951]  Take action today.
[00:24:20.991 --> 00:24:22.773]  The first step is getting storable food.
[00:24:38.123 --> 00:24:45.572]  Monday through Friday from 11 a.m.
[00:24:45.592 --> 00:24:46.213]  to 3 p.m.
[00:24:46.253 --> 00:24:47.655]  Central Standard Time.
[00:24:48.095 --> 00:24:50.518]  We're here live back Sundays 4 to 6 p.m.
[00:24:52.501 --> 00:24:55.144]  Jason Burmas will be here live this Sunday when I'm out of town.
[00:24:56.483 --> 00:25:00.767]  He jumps on a big jet airplane and goes out to do interviews for his film, Invisible Enemies.
[00:25:01.548 --> 00:25:04.511]  That's what I'm off doing, is doing interviews for the next film.
[00:25:05.071 --> 00:25:08.014]  We're going to go back to Wayne Paul here in just a moment and your phone calls.
[00:25:09.153 --> 00:25:15.399]  But before we do that, speaking of the free market, I want to tell you about some of the sponsors we have to make this radio show possible.
[00:25:15.739 --> 00:25:16.961]  And I do believe in these sponsors.
[00:25:16.981 --> 00:25:18.462]  We only take sponsors that I believe in.
[00:25:18.482 --> 00:25:19.423]  I think they have great products.
[00:25:19.843 --> 00:25:22.306]  And one of them is MySolarBackup.com.
[00:25:22.326 --> 00:25:24.087]  A lot of things can cut off your electrical power.
[00:25:24.167 --> 00:25:25.629]  Hurricanes, snow, ice storms.
[00:25:26.089 --> 00:25:30.994]  Electricity should move towards getting off the grid, and here's a good way to do just that.
[00:25:31.474 --> 00:25:35.019]  A solar power generator is now available from our longtime sponsor Solutions from Science.
[00:25:35.420 --> 00:25:38.624]  You get an emergency power backup kit which consists of the PowerSource 1800 watt generator.
[00:25:40.731 --> 00:25:44.313]  And a high-efficiency solar panel designed to provide endless electricity.
[00:25:44.653 --> 00:25:46.714]  Remember, too, that gas generators need gas.
[00:25:47.154 --> 00:25:51.036]  But in a blackout, gas pumps can't pump gas because they run on electricity.
[00:25:51.457 --> 00:25:53.298]  It's the perfect emergency backup for troubled times.
[00:25:53.318 --> 00:25:55.939]  The government doesn't own the sun yet, folks, so make your move today.
[00:25:56.279 --> 00:25:57.720]  That's MySolarBackup.com.
[00:25:58.080 --> 00:25:59.921]  That's MySolarBackup.com.
[00:26:00.201 --> 00:26:01.162]  Or give them a call toll-free, 877-327-0365.
[00:26:01.182 --> 00:26:01.222]  877-327-0365.
[00:26:08.729 --> 00:26:12.192]  And one other sponsor I wanted to let you know about is HomeGain.
[00:26:12.212 --> 00:26:18.358]  You can check out Max Little Orange Gorilla at infowars.com and prisonplanet.com.
[00:26:18.398 --> 00:26:20.079]  It's a completely free site.
[00:26:21.232 --> 00:26:22.293]  It is advertiser-driven.
[00:26:22.513 --> 00:26:23.313]  It's a fabulous site.
[00:26:23.333 --> 00:26:24.634]  I've been around for more than 10 years.
[00:26:24.974 --> 00:26:27.036]  My favorite thing they have is the Home Sale Maximizer.
[00:26:28.056 --> 00:26:39.083]  You put in what type of house you have, the region it's in, the most inexpensive upgrades to do, the best resale, little things you can do, little tricks that really help get it sold for a higher price.
[00:26:39.844 --> 00:26:41.825]  They have the Street View thing that's free as well.
[00:26:41.845 --> 00:26:43.166]  They have a free estimate.
[00:26:43.806 --> 00:26:48.790]  You type in your home address, you'll get a free estimate of your home's value from the internal system that the realtors are seeing.
[00:26:49.730 --> 00:26:50.971]  It's HomeGain.com.
[00:26:51.171 --> 00:26:53.233]  H-O-M-E-G-A-I-N.com.
[00:26:53.293 --> 00:26:55.534]  HomeGain.com.
[00:26:57.276 --> 00:27:02.679]  Okay, going back to Wayne Paul, Dr. Ron Paul, Congressman Ron Paul's brother.
[00:27:03.060 --> 00:27:04.401]  Finishing up with your upbringing.
[00:27:06.371 --> 00:27:08.493]  So your brother gets into the free market economics.
[00:27:08.533 --> 00:27:09.574]  He's a doctor.
[00:27:11.216 --> 00:27:14.619]  Then I guess you sort of get involved with Barry Goldwater somehow.
[00:27:14.679 --> 00:27:17.081]  Tell us more about the inside scoop on your brother.
[00:27:18.062 --> 00:27:31.655]  Well I think his total goal and effort when he first decided to run for Congress was to educate people in understanding free enterprise economics.
[00:27:32.654 --> 00:27:39.579]  And he said to Carol, his wife, the first time he ran, he said, uh, don't worry, Carol.
[00:27:39.759 --> 00:27:40.599]  I'm not going to win.
[00:27:40.619 --> 00:27:43.301]  I just want to get the message out.
[00:27:44.001 --> 00:27:49.105]  Well, the first time he didn't win, but she says, what are you going to do if you do win?
[00:27:49.605 --> 00:27:52.027]  Well, the next time he ran, he won.
[00:27:53.167 --> 00:28:00.332]  Now, when he first ran for Congress back in the mid seventies,
[00:28:01.621 --> 00:28:25.513]  He had a platform, one page platform he was running on, and it just so happens that my wife gave him his first contribution, and he sent her a thank you note, and the second page was his platform of what he was running on, which was basically free enterprise economics.
[00:28:26.614 --> 00:28:31.156]  But if you were to read that single page today,
[00:28:31.940 --> 00:28:36.644]  You would think he wrote it yesterday, because he's never changed.
[00:28:37.344 --> 00:28:53.737]  And I think that's the most consistent thing that anybody can ever say, as far as my brother's concerned, is he's never wavered from the truth, and from the facts, and from the Constitution.
[00:28:56.314 --> 00:29:02.295]  He has just been amazing and steadfast in that, and I think people today now realize that.
[00:29:03.275 --> 00:29:05.236]  And you judge a tree by its fruits.
[00:29:05.276 --> 00:29:08.656]  Do you remember any of the things on that one-page platform?
[00:29:10.096 --> 00:29:18.658]  Well, I can't remember right off, except while I'm talking, we'll find it.
[00:29:18.898 --> 00:29:19.818]  Maybe my wife can.
[00:29:19.838 --> 00:29:20.678]  Sure, sure, sure.
[00:29:21.058 --> 00:29:24.759]  Coming up after the next break, if you can, it's just very, very interesting history here.
[00:29:25.649 --> 00:29:26.970]  I don't think so.
[00:29:45.270 --> 00:30:05.419]  During that campaign, but that they were worried about the movement, that the biggest movement now in high schools and universities wasn't the controlled left paradigm or the controlled right paradigm of the collectivist, but that people were now rediscovering the Bill of Rights Constitution and becoming free market constitutionalists, and that people were discovering the private Federal Reserve.
[00:30:05.439 --> 00:30:06.980]  And I think they had well-founded fears.
[00:30:07.580 --> 00:30:09.121]  Now here we are a year and a half later,
