[00:00:04.696 --> 00:00:06.177]  Thank you, Mr. Chairman.
[00:03:00.451 --> 00:03:06.915]  Seriously, wouldn't it have been better to extend that kind of credit to Americans rather than New Zealanders?
[00:03:06.915 --> 00:03:09.417]  It's not costing Americans anything.
[00:03:09.417 --> 00:03:11.238]  We're getting interest back and it comes back.
[00:03:11.238 --> 00:03:13.319]  It's not at the cost of any American credit.
[00:03:14.033 --> 00:03:15.657]  We are extending credit to Americans.
[00:03:15.657 --> 00:03:23.016]  Well, wouldn't it necessarily affect the credit markets if you extend half a trillion dollars in credit to anybody?
[00:03:23.829 --> 00:03:26.130]  We are lending to all U.S.
[00:03:26.130 --> 00:03:28.151]  financial institutions in exactly the same way.
[00:03:28.151 --> 00:03:29.412]  Well, look at the next page.
[00:03:29.412 --> 00:03:30.972]  The very next page has the U.S.
[00:03:30.972 --> 00:03:34.874]  dollar nominal exchange rate, which shows a 20% increase in U.S.
[00:03:34.874 --> 00:03:42.678]  dollar nominal... Alright, ladies and gentlemen, it is October 9, 2009, on this Friday edition.
[00:03:42.678 --> 00:03:44.038]  I'm joining you from the road again.
[00:03:44.038 --> 00:03:45.039]  This is Alex Jones.
[00:03:45.945 --> 00:03:52.548]  And you were just hearing Congressman Grayson talking to the private banker boys as they were denying that the dollar was being devalued.
[00:03:52.548 --> 00:03:56.750]  Of course, we all know the fact that the dollar is devalued currently.
[00:03:56.750 --> 00:04:06.014]  I'm going to get to a landline several times during the show today and cover the latest news, so please stay with us for that.
[00:04:06.014 --> 00:04:12.897]  It seems like every time I go on vacation, Murphy's Law, huge news develops.
[00:04:12.897 --> 00:04:14.618]  But obviously,
[00:04:15.322 --> 00:04:18.083]  The outrage has occurred.
[00:04:18.083 --> 00:04:20.824]  Barack Obama has been given a Nobel Prize.
[00:04:20.824 --> 00:04:24.286]  Not just a Nobel Prize, a Nobel Peace Prize.
[00:04:24.286 --> 00:04:29.008]  This is the guy going back on all his promises, expanding the wars.
[00:04:29.008 --> 00:04:33.369]  This is the individual deploying Brigade Homeland here in the U.S.
[00:04:33.369 --> 00:04:38.712]  We're going to be covering it all today.
[00:04:38.712 --> 00:04:41.673]  And the latest with what's happening with the economy as well.
[00:04:42.759 --> 00:04:46.544]  This is like giving Hitler the Peace Prize, or Stalin.
[00:04:46.544 --> 00:04:48.607]  But, it's all a big joke to them.
[00:04:48.607 --> 00:04:51.490]  It's all part of the funniness.
[00:04:51.490 --> 00:04:53.373]  And there's a big attack piece out against me.
[00:04:53.373 --> 00:04:56.797]  In a major publication, The New Republic.
[00:04:56.797 --> 00:04:58.540]  We'll cover that today as well.
[00:05:00.322 --> 00:05:05.649]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:05:05.649 --> 00:05:07.712]  Will you continue to be their profit center?
[00:05:07.712 --> 00:05:10.175]  Buying their processed food that makes you sick?
[00:05:10.175 --> 00:05:12.438]  Go to the doctor and buy their drugs?
[00:05:12.438 --> 00:05:14.080]  You don't have to cooperate.
[00:05:14.080 --> 00:05:15.102]  There is a solution.
[00:05:15.322 --> 00:05:23.746]  Interhealth Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:05:23.746 --> 00:05:31.210]  Try their Interfood with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:05:31.210 --> 00:05:36.873]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health ranger.
[00:05:37.233 --> 00:05:43.260]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:05:43.260 --> 00:05:47.424]  Try all of their truly honest products that will keep you alive and healthy.
[00:05:47.424 --> 00:05:54.892]  Go to enerfood.com or give them a call right now, 866-762-9238.
[00:05:54.892 --> 00:05:58.196]  Click on their banner at infowars.com to see all the available discounts.
[00:06:00.934 --> 00:06:06.658]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:06:06.658 --> 00:06:07.999]  And we knew what to do.
[00:06:07.999 --> 00:06:09.981]  Or at least we thought we did.
[00:06:09.981 --> 00:06:17.006]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:06:17.006 --> 00:06:25.532]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[00:06:25.922 --> 00:06:33.013]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:06:33.013 --> 00:06:36.198]  He had his hand over the radio while he was getting a countdown.
[00:06:36.198 --> 00:06:41.305]  He takes his hand off and you hear 3, 2, 1, and it was boom, boom, boom, boom, boom!
[00:06:41.963 --> 00:06:45.025]  This is an emergency transmission worldwide.
[00:06:45.025 --> 00:06:51.089]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:06:51.089 --> 00:06:54.011]  Or order the DVD at Infowars.com.
[00:06:54.011 --> 00:06:58.935]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:07:00.566 --> 00:07:04.069]  Before you throw away your used batteries, you need to listen to this.
[00:07:04.069 --> 00:07:06.091]  Now going green can save money.
[00:07:06.091 --> 00:07:11.655]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:07:11.655 --> 00:07:19.682]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:07:19.682 --> 00:07:26.408]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical
[00:07:26.408 --> 00:07:26.828]  I think so.
[00:07:54.336 --> 00:07:57.581]  That's 208-772-4514.
[00:07:57.581 --> 00:08:00.425]  Be a part of the revolution today.
[00:08:00.425 --> 00:08:05.693]  Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:08:05.693 --> 00:08:07.957]  Because there's a war on for your mind.
[00:08:10.589 --> 00:08:15.411]  I'm looking at the latest headlines at PrisonPlanet.com and the featured news section.
[00:08:15.411 --> 00:08:20.673]  Swine flu document lists sports arena and mass vaccination centers.
[00:08:20.673 --> 00:08:24.675]  We told you that was in all the previous documents, now it's being openly announced.
[00:08:24.675 --> 00:08:31.018]  Also, Obama will bypass Congress and detain suspects indefinitely.
[00:08:31.018 --> 00:08:32.919]  Poll, only 14% of Americans.
[00:08:34.705 --> 00:08:38.788]  Believe Bush allowed 9-1-1 to happen, 8% unsure.
[00:08:38.788 --> 00:08:47.315]  That is the complete opposite of all of the other polls that have showed 84% believing they allowed it to happen.
[00:08:47.315 --> 00:08:50.437]  I mean, this poll is just an absolute fraud.
[00:08:50.437 --> 00:08:57.222]  We need to point that out if we post an article, some of the older polls.
[00:08:57.222 --> 00:08:59.804]  That is just the public policy polling.
[00:08:59.804 --> 00:09:03.527]  I mean, that poll flies at the opposite of all other polls.
[00:09:03.527 --> 00:09:04.288]  Absolute fraud.
[00:09:05.400 --> 00:09:10.382]  Unbelievable how they're now putting out fake polls to counter all the hundreds of other real polls.
[00:09:10.382 --> 00:09:12.903]  Ladies and gentlemen, we had Congressman Ron Paul on.
[00:09:12.903 --> 00:09:15.163]  We had Congressman Alan Grayson on.
[00:09:15.163 --> 00:09:21.766]  That was the best interview that I have ever done today with Ron Paul.
[00:09:21.766 --> 00:09:22.366]  I will tell you that.
[00:09:22.366 --> 00:09:25.327]  I'm very, very proud of the information that was covered there.
[00:09:25.327 --> 00:09:28.568]  And that rebroadcast is coming up in an hour and 50 minutes.
[00:09:28.568 --> 00:09:30.629]  We'll have Ron Paul and
[00:09:32.148 --> 00:09:37.353]  The Congressman Alan Grayson interview coming back up as well.
[00:09:37.353 --> 00:09:46.661]  For the rest of this hour and the next hour we're getting reports live from the G20, the open announcement of world government, and they're planning on the deal to start shutting down the dollar.
[00:09:46.661 --> 00:09:50.145]  All we have left is the dollar in our economy.
[00:09:50.145 --> 00:09:51.986]  That's all we produce is the fiat currency.
[00:09:51.986 --> 00:09:53.027]  This is curtains.
[00:09:53.027 --> 00:09:56.090]  As Ron Paul said, it's going to be the worst thing we've ever seen financially.
[00:09:56.090 --> 00:09:56.591]  This is
[00:09:58.123 --> 00:10:04.392]  They staged the implosion last year to get everybody to go along with a handover of power to him.
[00:10:04.392 --> 00:10:05.073]  It's unspeakable.
[00:10:05.842 --> 00:10:10.625]  Dr. Sherry Tenpenny is a member of the prestigious National Speakers Association.
[00:10:10.625 --> 00:10:14.868]  Dr. Tenpenny is an outspoken advocate for free choice in health care.
[00:10:14.868 --> 00:10:21.172]  Dr. Tenpenny is a board-certified emergency medicine and osteopathic manipulative medicine.
[00:10:21.172 --> 00:10:30.898]  Prior to her career in alternative medicine, Dr. Tenpenny served as director of the emergency department of Blanchard Valley Regional Hospital Center in Findlay, Ohio in 1996.
[00:10:30.898 --> 00:10:33.120]  Dr. Tenpenny founded
[00:10:35.865 --> 00:10:41.992]  The Osteomed 2, expanding her practice and her vision of combining the best of conventional and alternative medicine.
[00:10:41.992 --> 00:10:46.678]  DrTinPenny.com is her website and her book is a bestseller.
[00:10:46.678 --> 00:10:52.044]  Fowl, bird flu, it's not what you think, which is updated for the swine flu and explains
[00:10:52.364 --> 00:10:56.006]  The scam, what the shots do, what the adjuvants do, what the mercury does.
[00:10:56.006 --> 00:11:01.009]  We have it available and discounted at InfoWars.com on a secure online video bookstore shopping cart.
[00:11:01.009 --> 00:11:02.149]  You can call toll-free to get it.
[00:11:02.149 --> 00:11:04.771]  I hope everybody gets it.
[00:11:04.771 --> 00:11:06.071]  888-253-3139.
[00:11:06.071 --> 00:11:08.152]  You can also go to DrTimPenney.com to get it.
[00:11:08.152 --> 00:11:11.814]  I want to put that out there for folks that want to actually be experts on this.
[00:11:11.814 --> 00:11:13.215]  This was compiled by the expert.
[00:11:13.215 --> 00:11:19.578]  She's seen by many as the expert on just the wide spectrum analysis of what is
[00:11:25.006 --> 00:11:26.807]  of the wide spectrum of what's happening.
[00:11:26.807 --> 00:11:29.489]  Let's go to Dr. Sherry J. Tenpenny.
[00:11:29.489 --> 00:11:30.909]  Doctor, great to have you here with us.
[00:11:30.909 --> 00:11:31.830]  Thanks so much, Alex.
[00:11:31.830 --> 00:11:33.231]  Thanks for having me on.
[00:11:33.231 --> 00:11:33.531]  You bet.
[00:11:33.531 --> 00:11:34.511]  It's good to have you here.
[00:11:34.511 --> 00:11:49.179]  You know, instead of me throwing out a bunch of questions about what do you think of the fear-mongering, what do you think of the adjuvants, what do you think of the announcements of sports stadiums, trying to force medical workers quietly to take it through color of law, just what do you think is most important right now?
[00:11:49.179 --> 00:11:51.961]  And give us a report on what you think is key.
[00:11:53.291 --> 00:11:58.415]  What I think is key is to do whatever you have to do to keep yourself healthy.
[00:11:58.415 --> 00:12:05.041]  And I've always been a big proponent, you know Alex, you and I have talked about this before, in terms of health is from the inside out.
[00:12:05.041 --> 00:12:10.085]  And what's happening externally in terms of the bug, there's not a big reason to be afraid of that.
[00:12:10.085 --> 00:12:12.667]  But you have to keep yourself healthy from the inside out.
[00:12:13.442 --> 00:12:20.767]  One of the problems though is that the FDA is going to make it increasingly more difficult for you to keep yourself healthy.
[00:12:20.767 --> 00:12:31.795]  They've been sending out letters since May of this year for any sort of vitamin and supplement company that is putting out supplements that says that it can protect you and boost your immune system against the flu.
[00:12:31.795 --> 00:12:38.279]  And if they've mentioned the H1N1 flu virus in any of their products, the FDA is sending them warning letters
[00:12:38.735 --> 00:12:46.141]  That are actually, could potentially cause them to, and threatening criminal prosecution of these people.
[00:12:46.141 --> 00:12:56.070]  So it seems to me that they're trying to eliminate the competition and make it harder and harder for people to stay healthy and take care of themselves if they do get sick.
[00:12:56.070 --> 00:13:00.674]  There was a, and they had a final ruling that came out today also about colloidal silver.
[00:13:00.674 --> 00:13:04.117]  I mean, I know that, or it came out last week, I know that a lot of the
[00:13:04.864 --> 00:13:10.848]  People that I get a lot of emails from, and I'm sure you do too, they ask, you know, why don't I talk a lot about colloidal silver?
[00:13:10.848 --> 00:13:30.440]  Well, I've seen this coming down the road, and that the FDA was going to say it's not generally recommended as safe, and that they're taking regulatory action against the product that's marketed as a dietary supplement, unless it's labeled in a very specific way, and it's marketed in a very specific way,
[00:13:30.908 --> 00:13:37.956]  And that it cannot be protected by the DSHEA Supplement Act if it has a topical gel or anything that's used on the skin.
[00:13:37.956 --> 00:13:39.598]  They've had this out there for a while.
[00:13:39.598 --> 00:13:45.004]  It's been out there since 1997, but the final ruling on this just came down last week.
[00:13:45.004 --> 00:13:50.770]  On August, you know, it's just last Thursday as a matter of fact, and it was listed in the Federal Register.
[00:13:52.220 --> 00:14:03.145]  That all over-the-counter drug products containing colloidal silver ingredients or silver salts are used for external use, are not generally recognized as safe and effective, and are misbranded.
[00:14:03.145 --> 00:14:18.853]  So, it makes me nervous that it seems as though all of the products that we in the natural health community have used safely for years and have seen great results with it, whether it be vitamins, supplements, herbs, colloidal silver, it seems as though those products may be taken away from us.
[00:14:19.949 --> 00:14:30.061]  Well, you know, I've got colloidal silver generator and I've got some I've bought, but I need to remind my wife to buy a whole bunch of the better products that are out there as they shut down this tool.
[00:14:30.061 --> 00:14:36.690]  You're a medical doctor, and I've had medical doctor after medical doctor after medical doctor on, in many cases you aren't even involved in promoting it.
[00:14:37.190 --> 00:14:54.056]  And they say no, it's a very strong antiviral and antibacterial, and in a lot of studies, and I'm going to ask you if this is correct, it shows it's a lot better than Tamiflu or other things they're making all this money off of, but I guess they're saying as a doctor you're not allowed to practice medicine and say that... I mean, what do we know from the studies?
[00:14:54.056 --> 00:14:55.896]  I mean, what does Cloyl Silver do?
[00:14:55.896 --> 00:15:03.199]  I mean... Well, what they're saying in this FDA ruling, and this really comes right off of the FDA website, and the ruling went into effect September 16th, so
[00:15:03.619 --> 00:15:25.447]  This is really kind of hot off the presses, and what it says is that anything that people have seen, that there's no information about strength, quality, purity, and potency, and there was a lot of people who sent in and gave testimonials about different types of things, and they said that it was all anecdotal evidence, that nobody had submitted anything that proved anything to any kind of a drug quality standard.
[00:15:27.079 --> 00:15:30.361]  But they've known for thousands of years that silver is a strong antibiotic.
[00:15:30.361 --> 00:15:33.122]  Right, and they're not allowing it to be grandfathered in.
[00:15:33.122 --> 00:15:51.771]  They're clear in that, they are very clear in that, that without evidence, and I'm reading right from the report, Alex, where it says, without evidence that the composition and labeling has not changed since 1938 or 1962, the product cannot qualify for either grandfather exemption.
[00:15:51.771 --> 00:15:53.772]  So, but I mean, specifically as a doctor,
[00:15:54.488 --> 00:15:56.069]  Oh no, we use it in our practice, we've used it for years.
[00:15:56.069 --> 00:15:57.029]  I mean, what does it do?
[00:15:57.029 --> 00:16:18.457]  Explain to people why micro-silver kills bacteria and viruses, when antibiotics only kill bacteria, antivirals only weaken viruses, and then it looks obvious to me that right as everybody's realizing this is something that the evidence has shown in the past has some good effects against flu and things, that they're now saying, you better not use this, you better not have it.
[00:16:19.184 --> 00:16:28.951]  And you better not use certain vitamins and you better not use certain herbals like medicinal mushrooms and things like that that boost up your own resistance to external microbes.
[00:16:28.951 --> 00:16:41.520]  Back to your question, I mean, the way that it's understood that how the silver particles work is that they go in and they cause the metabolism of the bug to stop working and they stop the replication of viruses and it lysis the cell membrane of bacteria and fungus.
[00:16:42.168 --> 00:16:55.780]  And I'm not an expert on the physiology of that, Alex, and I think there might be some loopholes for some of the manufacturers, but I have seen FDA warning letters that went out a while ago for people who are manufacturers of this.
[00:16:55.780 --> 00:17:08.412]  And I guess my point, when you asked me what did I think was important, is that we have a lot of tools in the natural health community to not only get us well after we've been sick so that we can avoid things like Tamiflu,
[00:17:08.837 --> 00:17:15.059]  But that we can build up our own resistance and build up our own internal strength against these microbes.
[00:17:15.059 --> 00:17:27.304]  And it looks as though at every turn, not only are they promoting this vaccine and everybody has to be vaccinated, and I know you've talked about this a lot, and a lot of the writings and the radio I've been on, too, has been a lot about the vaccine.
[00:17:27.304 --> 00:17:30.766]  But it's like, what else can we do to keep ourselves healthy?
[00:17:30.766 --> 00:17:36.768]  It's concerning to me that it looks like a lot of these tools are being shut down by the FDA and FDA also.
[00:17:38.126 --> 00:17:40.828]  Well, it's outrageous.
[00:17:40.828 --> 00:17:42.589]  I mean, I've read the reports.
[00:17:42.589 --> 00:17:56.419]  We've had medical doctor after medical doctor on, and I have gone back and seen studies over the last hundred years about tiny silver particles just shredding viruses and bacteria.
[00:17:56.419 --> 00:18:00.802]  It's like holy water to a vampire.
[00:18:00.802 --> 00:18:03.123]  I mean, I've got it for my family.
[00:18:06.334 --> 00:18:13.998]  I've seen the studies that elderberry might be bad because it could actually cause a hemorrhagic immune response and jack up your immune system and trigger something.
[00:18:13.998 --> 00:18:18.181]  I don't understand all the properties of that, so we're not going to use that.
[00:18:18.181 --> 00:18:20.282]  And then I guess in America, they could come after you.
[00:18:20.282 --> 00:18:22.063]  I'm not even allowed to ask you a medical doctor.
[00:18:22.063 --> 00:18:30.028]  I mean, I guess get sun, because vitamin D helps, especially the type that the skin produces.
[00:18:30.028 --> 00:18:31.809]  I guess I'm not allowed to ask you if that's good.
[00:18:31.809 --> 00:18:34.951]  I guess I'm not allowed to ask if getting a lot of sleep is good and being healthy.
[00:18:36.191 --> 00:18:36.992]  I guess I'm not allowed.
[00:18:36.992 --> 00:18:39.773]  I mean, what are you doing for yourself?
[00:18:39.773 --> 00:18:50.217]  Well, we're doing things like alcohol and water, and lots of vitamin C, lots of vitamin D, vitamin A, trying to get fresh air.
[00:18:50.217 --> 00:19:02.783]  You know, all the things that I talk about, exercise, sleep, fresh air, fresh water, good food, try to eat as organic as much as we can, try to get a little bit of exercise, get out of the chair and away from the computer and do some exercise.
[00:19:04.179 --> 00:19:06.700]  And I think that that's what's really, really important.
[00:19:06.700 --> 00:19:12.623]  And the other thing is a lot of, you know, our emotions play a big role in what happens to our bodies also.
[00:19:12.623 --> 00:19:22.528]  And if you live in that state of fear, that big fear factor, what that does is it suppresses your cortisol levels and it makes, or it increases your cortisol levels and makes you more susceptible to illness and disease.
[00:19:23.393 --> 00:19:27.595]  So, my husband and I, we just don't live in a fear-based place about all this stuff.
[00:19:27.595 --> 00:19:38.641]  We sort of look at it and say, I'm not going to get the vaccine, I'm not going to do it, and whatever happens is going to happen, and if I have to self-quarantine and pull up in my house with food and vitamins and water, that's what I'm going to do.
[00:19:38.641 --> 00:19:40.162]  While you can still get vitamins.
[00:19:40.162 --> 00:19:42.503]  While you can still get it.
[00:19:42.503 --> 00:19:43.884]  Dr. Sherry Tinfany, stay there.
[00:19:43.884 --> 00:19:44.585]  I want to get into
[00:19:45.703 --> 00:19:52.794]  The fact that Dr. Monteith has a flu report from the CDC saying it's going to peak the middle of next month, right when all the vaccine injections get going.
[00:19:52.794 --> 00:19:58.282]  I want to get into adverse reactions in Europe from the vaccine and other vaccines.
[00:19:58.282 --> 00:19:59.504]  The forced inoculations.
[00:19:59.504 --> 00:19:59.945]  Stay with us.
[00:20:00.990 --> 00:20:04.852]  Berkey Water Systems are the most trusted name in water filtration available on the market.
[00:20:04.852 --> 00:20:21.859]  The revolutionary Berkey Light self-sterilizing and recleanable purification elements purify water by removing pathogenic bacteria, cysts, and parasites to non-detectable levels and by extracting harmful chemicals such as herbicides, pesticides, VOCs, organic solvents, radon-222, and trihalomethanes.
[00:20:22.159 --> 00:20:27.262]  They also reduce nitrates, nitrites, sediment, and unhealthy minerals such as lead and mercury.
[00:20:27.262 --> 00:20:34.406]  As an authorized dealer for over four years serving thousands of satisfied customers, we offer amazing specials for Berkey Light water systems.
[00:20:34.406 --> 00:20:42.611]  Order the Berkey Light system today and we'll include two black Berkey Elements and three sport Berkey water bottles for only $209 with free shipping.
[00:20:42.611 --> 00:20:48.455]  That's right, free shipping and three sport Berkey water bottles at $89 value, free for a limited time.
[00:20:48.815 --> 00:20:53.499]  Just call the Berkey guy at 877-886-3653 now to order.
[00:20:53.499 --> 00:20:59.565]  That's the Berkey guy at 877-886-3653 or visit our website at directed21.com.
[00:20:59.565 --> 00:21:02.868]  Why are you letting that search engine spy on you?
[00:21:02.868 --> 00:21:03.728]  Spy on me?
[00:21:03.728 --> 00:21:04.029]  Yeah.
[00:21:04.029 --> 00:21:09.093]  Don't you know Google, Yahoo, and other search engines record all your searches and store them in a giant database?
[00:21:09.093 --> 00:21:10.715]  You should use Startpage instead.
[00:21:10.715 --> 00:21:11.035]  Startpage?
[00:21:11.435 --> 00:21:12.956]  Yeah, Startpage.com.
[00:21:12.956 --> 00:21:15.919]  The new name for Ixquik, the world's most private search engine.
[00:21:15.919 --> 00:21:19.782]  They don't record your searches or your IP address, and the search results are great.
[00:21:19.782 --> 00:21:22.925]  Plus, Startpage is third-party certified, and it's totally free.
[00:21:22.925 --> 00:21:25.527]  I don't want Big Brother watching what I do on the internet.
[00:21:25.527 --> 00:21:26.968]  I'm adding Startpage to my browser.
[00:21:27.108 --> 00:21:27.428]  You're right!
[00:21:27.428 --> 00:21:30.730]  Go to StartPage.com and start searching with privacy.
[00:21:30.730 --> 00:21:32.670]  Hello folks, this is Alex Jones.
[00:21:32.670 --> 00:21:36.532]  There are some habits you need to break if you want to hold on to your privacy.
[00:21:36.532 --> 00:21:40.314]  That's why I'm inviting you to take the one week StartPage challenge.
[00:21:40.314 --> 00:21:45.456]  The next time you're about to look something up on Google, Yahoo, or Bing, go to StartPage.com instead.
[00:21:45.456 --> 00:21:48.858]  Try seven days of StartPage and break the big brother habit.
[00:21:48.858 --> 00:21:50.618]  Do yourself and your privacy a favor.
[00:21:50.618 --> 00:21:54.900]  Try StartPage.com for seven days and start protecting your privacy.
[00:21:54.900 --> 00:21:56.501]  That's StartPage.com.
[00:22:00.467 --> 00:22:07.135]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[00:22:07.135 --> 00:22:15.264]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:22:15.264 --> 00:22:20.850]  Is this a flaw for the enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt
[00:22:21.170 --> 00:22:23.413]  Ensuring inflation and higher taxes.
[00:22:23.413 --> 00:22:28.518]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:22:28.518 --> 00:22:33.743]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:22:33.743 --> 00:22:38.088]  A gripping adventure into the secret world of international banking cartel.
[00:22:38.088 --> 00:22:39.189]  Hi, this is Ted Anderson.
[00:22:39.189 --> 00:22:43.213]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:22:43.653 --> 00:22:48.575]  Call 1-800-686-2237 and order a copy today.
[00:22:48.575 --> 00:22:51.557]  It's critical that the public be made aware of the system.
[00:22:51.557 --> 00:22:53.337]  Call and order your copy today at 1-800-686-2237.
[00:22:53.337 --> 00:22:53.577]  That's 1-800-686-2237.
[00:23:00.302 --> 00:23:01.583]  Do you have trouble getting through the day?
[00:23:01.583 --> 00:23:03.424]  Do you feel tired and worn out?
[00:23:03.424 --> 00:23:05.245]  Pounding expensive energy drinks?
[00:23:05.245 --> 00:23:10.148]  It's a proven fact many people do not get the proper daily intake of essential vitamins and nutrients.
[00:23:10.148 --> 00:23:15.171]  With the lifestyles we lead, eating fruits and vegetables is sometimes easier said than done.
[00:23:15.171 --> 00:23:17.132]  Introducing Choose4Health.
[00:23:17.132 --> 00:23:22.536]  Choose4Health brings you 16 powerful ingredients in one delicious chewable for around 75 cents per day.
[00:23:23.456 --> 00:23:27.819]  Each chewable contains a full day's worth of the necessary fruit and vegetable intake you need.
[00:23:27.819 --> 00:23:36.384]  Chews for Health also contains antioxidants and vitamin B12 to give you that extra boost to curb midday cravings for snacks, energy drinks, and coffee.
[00:23:36.384 --> 00:23:43.889]  Call 1-800-210-1922 right now and you will receive a one-week supply of Chews for Health absolutely free.
[00:23:43.889 --> 00:23:45.070]  Just pay shipping and handling.
[00:23:45.410 --> 00:23:47.832]  Call 1-800-210-1922.
[00:23:47.832 --> 00:23:51.055]  That's 1-800-210-1922.
[00:23:51.055 --> 00:23:53.677]  Or visit orderchoose.com.
[00:23:53.677 --> 00:23:56.979]  That's order, C-H-E-W-S, dot com.
[00:23:56.979 --> 00:24:03.184]  Start your healthy lifestyle now.
[00:24:03.184 --> 00:24:07.588]  Come, you masters of war.
[00:24:07.588 --> 00:24:11.951]  Here to build the big guns.
[00:24:11.951 --> 00:24:12.892]  Here to build the day.
[00:24:16.184 --> 00:24:18.165]  Dr. Sherry Tenpenny is our guest.
[00:24:18.165 --> 00:24:27.027]  Sherry, I want to get into the open announcements trying to force police, firefighters, military, medical workers to take the shots, threatening to fire them.
[00:24:27.027 --> 00:24:38.991]  But also just the vaccine manufacturing process, the adjuvants, the fact that Dr. Monteith, medical doctor, was on with us yesterday and he talked in detail.
[00:24:38.991 --> 00:24:45.073]  And we went to the CDC's own website and they admitted that upwards of 37% of people they've tested in the US and also in Australia
[00:24:46.289 --> 00:24:51.113]  Have been found to have the H1N1 and didn't even get sick from it.
