[00:00:07.333 --> 00:00:09.055]  BeNatural.com.
[00:06:55.872 --> 00:06:59.034]  Thank you so much for joining us on this Sunday edition.
[00:06:59.495 --> 00:07:04.198]  Abbreviated transmission I do every Sunday from 4 to 6 p.m.
[00:07:04.559 --> 00:07:06.981]  Abbreviated from the weekday 4-hour broadcast.
[00:07:08.041 --> 00:07:08.322]  All right.
[00:07:08.362 --> 00:07:10.263]  Very important radio show today.
[00:07:10.323 --> 00:07:10.964]  Very informative.
[00:07:10.984 --> 00:07:13.986]  A lot of key information for everybody out there.
[00:07:14.006 --> 00:07:17.749]  We'll also have open phones on the subject we're bringing up at 877-590-5525.
[00:07:17.769 --> 00:07:17.809]  877-590-5525.
[00:07:23.979 --> 00:07:25.360]  That will get you up and on the air.
[00:07:25.380 --> 00:07:29.622]  There's a lot of issues I want to cover today.
[00:07:30.083 --> 00:07:40.028]  Obama is just adding new lies every week, going 180 degrees away from everything he claimed and said that he would do.
[00:07:40.809 --> 00:07:44.671]  And I want to go back over some of the old lies, but first get to the new lies.
[00:07:46.272 --> 00:07:49.474]  One of them is that he promised to immediately bring home U.S.
[00:07:49.934 --> 00:07:51.015]  troops within six months.
[00:07:51.516 --> 00:07:53.397]  Then he said he'd look at it in 16 months.
[00:07:53.937 --> 00:07:59.080]  Now they're saying 23 months they'll look at it and that 50,000 troops will stay there permanently.
[00:07:59.100 --> 00:08:00.781]  Well, that was always the Pentagon plan.
[00:08:01.101 --> 00:08:02.562]  Doesn't matter what president's in.
[00:08:02.922 --> 00:08:09.606]  The big foreign banks that have hijacked this nation control the military, control the Pentagon, control the whole military-industrial complex.
[00:08:11.021 --> 00:08:19.963]  But the issue here is, the headline across the nation this weekend is, Obama to end occupation of Iraq within 20 months, 23 months.
[00:08:20.043 --> 00:08:29.726]  But then you read the sub-paragraphs, it says, oh, he's going to bring back all the combat troops and combat operations will be over.
[00:08:32.182 --> 00:08:35.103]  Will be over within the 20 plus months.
[00:08:35.763 --> 00:08:41.486]  Well, that's what George Bush said six months after the invasion of Iraq back in 2003.
[00:08:41.826 --> 00:08:49.149]  Remember on the aircraft carrier in the commando, you know, fighter pilot outfit with the giant codpiece?
[00:08:49.609 --> 00:08:53.150]  He's up there saying that major combat operations are over.
[00:08:53.210 --> 00:09:00.253]  This is all the same lies and the presidents are puppets that just read off of a teleprompter.
[00:09:01.795 --> 00:09:16.501]  Also, Obama said that he was only going to raise taxes back to the old 1990s tax rate of 40% against couples making more than $250,000 a year, or individuals making $125,000 a year.
[00:09:17.002 --> 00:09:29.127]  But now it's coming out, scores of new taxes on Medicare and Medicaid and capital gains tax, and they're getting rid of many of the tax exemptions for legitimate things.
[00:09:30.351 --> 00:09:32.673]  Just a complete and total lie there.
[00:09:34.054 --> 00:09:39.538]  He's also stated that they're going to continue the violation of the Geneva Convention and the Constitution.
[00:09:39.558 --> 00:09:44.581]  Even the Supreme Court said they couldn't do it last year at Bagram Air Base and other camps around the world.
[00:09:45.582 --> 00:09:54.809]  They may shut Guantanamo, but they're going to open more camps and even camps in the United States, according to ABC News, and violate the Bill of Rights Constitution and Geneva Convention.
[00:09:55.149 --> 00:09:59.112]  Of course, he's basically hired nothing but top lobbyists and special interests.
[00:10:00.268 --> 00:10:02.350]  Into the new White House swearing he wouldn't do that.
[00:10:02.750 --> 00:10:04.151]  He swore he'd end the Patriot Act.
[00:10:04.171 --> 00:10:05.431]  He says he's going to expand that.
[00:10:05.832 --> 00:10:07.913]  He swore that they were going to go after telecoms.
[00:10:08.013 --> 00:10:08.933]  Then he voted for it.
[00:10:09.454 --> 00:10:10.634]  And the warrantless wiretapping.
[00:10:10.674 --> 00:10:11.835]  Now they're going to expand that.
[00:10:12.155 --> 00:10:12.936]  That's in the news.
[00:10:14.857 --> 00:10:16.618]  What has he told the truth about, though?
[00:10:16.698 --> 00:10:24.742]  Saying he would set up a million-person domestic security force under the Pentagon's control and turn mercenaries loose on the American people.
[00:10:24.782 --> 00:10:26.383]  They are doing that.
[00:10:26.603 --> 00:10:29.305]  But now he has the nerve
[00:10:30.322 --> 00:10:48.891]  To come out in his weekly radio address, Saturday, and say that he is fighting special interest in pork barrel, and that he knows special interest is going to come after him, and that they want to fight, and that he's ready to fight them, similar to Bush saying, bring it on.
[00:10:50.172 --> 00:10:52.673]  As if this guy isn't Mr. Special Interest.
[00:10:52.793 --> 00:10:53.713]  Worse than even Bush.
[00:10:53.773 --> 00:10:54.614]  I mean, it's hard to believe.
[00:10:55.014 --> 00:10:55.954]  Worse than even Clinton.
[00:10:55.994 --> 00:10:56.675]  Hard to top that.
[00:10:57.921 --> 00:11:01.683]  But he has the nerve to sit there and say, I'm going to help the American people.
[00:11:02.323 --> 00:11:03.684]  I'm going to cut the budget.
[00:11:04.244 --> 00:11:05.605]  I'm going to go after special interest.
[00:11:05.625 --> 00:11:15.250]  When he just passed a $787 billion stimulus package that major analysts have looked at, 90% of it goes to special interest.
[00:11:15.630 --> 00:11:18.471]  And yes, there is, every two weeks, a $15.35.
[00:11:19.312 --> 00:11:20.952]  You can buy a pizza with that.
[00:11:20.972 --> 00:11:23.654]  You might be able to get a combo and get two medium pizzas for that.
[00:11:24.674 --> 00:11:25.955]  You might get one pizza and maybe a
[00:11:26.607 --> 00:11:27.688]  Leader of Koch, I'm not sure.
[00:11:27.748 --> 00:11:33.371]  The point is that, yes, that's your tax cut, while he raises all these other taxes.
[00:11:33.411 --> 00:11:42.236]  And then he's announced, and it's not State of the Union, they billed it as that address to Congress last week, for the carbon taxes on everything.
[00:11:42.296 --> 00:11:48.280]  Toilet paper, light bulbs, all fuels, heating oil, natural gas, your homes.
[00:11:49.681 --> 00:11:51.282]  That will be a tax also on U.S.
[00:11:51.482 --> 00:11:53.643]  factories and businesses that will be passed on to you.
[00:11:54.949 --> 00:12:02.834]  So just unbelievable tax increases on every front, but here he is shaking his finger at the teleprompter, reading a speech written by somebody else.
[00:12:04.095 --> 00:12:12.501]  He's ready for a fight for the people, and he's going to fight special interest, just like he was going to not hire any lobbyists, and just like on and on and on.
[00:12:12.521 --> 00:12:17.104]  I mean, this is going to be a three and a half trillion dollar budget.
[00:12:18.112 --> 00:12:32.041]  And on top of that, on top of the record one plus trillion dollar defense budget he's supporting, he wants 800 billion for combat operations on top of that, and is going to increase the total number of US troops in the Middle East and Central Asia.
[00:12:33.942 --> 00:12:41.267]  Just... I mean, even if you support Barack Obama and like him and like his tie and his suit or whatever, I mean, do you like the fact that he lied about everything?
[00:12:41.908 --> 00:12:45.190]  Here he is, arrogantly putting out more propaganda.
[00:12:46.286 --> 00:12:48.407]  I realize that passing this budget won't be easy.
[00:12:49.267 --> 00:12:54.368]  Because it represents real and dramatic change, it also represents a threat to the status quo in Washington.
[00:12:55.308 --> 00:12:58.289]  I know that the insurance industry won't like the idea... Hit pause.
[00:12:58.369 --> 00:12:58.969]  Back it up.
[00:12:59.609 --> 00:13:00.850]  I mean, this is incredible.
[00:13:01.910 --> 00:13:02.750]  Real change.
[00:13:02.770 --> 00:13:03.830]  And it's a five minute address.
[00:13:03.850 --> 00:13:04.790]  We're just gonna play like a minute of it.
[00:13:05.231 --> 00:13:06.471]  You can go watch it at whitehouse.gov.
[00:13:06.591 --> 00:13:07.771]  It's on the front page if you want.
[00:13:08.291 --> 00:13:10.852]  I mean, he says this is change from business as usual.
[00:13:12.197 --> 00:13:13.477]  Well, I guess in a way it's true.
[00:13:13.538 --> 00:13:14.998]  I mean, Bush tripled the size of government.
[00:13:15.038 --> 00:13:19.379]  I guess Obama's going to double it in one year, and Bush tripled it in eight.
[00:13:19.439 --> 00:13:36.285]  So if he doubles it every year, or triples it every year, this is a little more than a doubling, about two and a half times, then I guess he will make it seven times bigger, eight times bigger, or maybe ten times bigger.
[00:13:36.325 --> 00:13:36.865]  Do the math!
[00:13:37.546 --> 00:13:43.350]  So I guess in a way, business as usual is growing the government, the bureaucracy, the corruption, the looting, the pork barrel.
[00:13:43.730 --> 00:13:49.234]  And so he's radically expanding that, dwarfing what Bush did, and I guess it is change.
[00:13:50.054 --> 00:13:52.676]  But it is business as usual, though, folks, to grow government.
[00:13:52.696 --> 00:13:52.976]  Here it is.
[00:13:53.777 --> 00:13:55.858]  I realize that passing this budget won't be easy.
[00:13:56.750 --> 00:14:02.272]  Because it represents real and dramatic change, it also represents a threat to the status quo in Washington.
[00:14:02.792 --> 00:14:14.517]  I know that the insurance industry won't like the idea that they'll have to bid competitively to continue offering Medicare coverage, but that's how we'll help preserve and protect Medicare and lower health care costs for American families.
[00:14:16.898 --> 00:14:18.978]  Notice how he acts like it's some free market thing.
[00:14:19.219 --> 00:14:20.679]  That's a $45 billion deal.
[00:14:20.699 --> 00:14:22.980]  That'll just bring federal control over the insurance companies.
[00:14:23.789 --> 00:14:25.070]  That was truly competitive bidding.
[00:14:25.110 --> 00:14:29.575]  It might be a good idea, but that's $40-something billion out of a $3.5 trillion budget.
[00:14:29.775 --> 00:14:31.697]  So he can act like he's some libertarian.
[00:14:32.257 --> 00:14:32.858]  Keep going.
[00:14:33.559 --> 00:14:37.202]  Lenders won't like the idea that we're ending their huge taxpayer subsidies.
[00:14:37.743 --> 00:14:42.467]  But that's how we'll save taxpayers nearly $50 billion and make college... Stop right there!
[00:14:43.008 --> 00:14:46.771]  Ending... Ending special interest.
[00:14:46.832 --> 00:14:48.293]  I mean, this is just... Keep going.
[00:14:49.847 --> 00:14:54.529]  I know that oil and gas companies won't like us ending nearly 30 billion dollars in tax breaks.
[00:14:55.110 --> 00:14:59.232]  But that's how we'll help fund a renewable energy economy that will create new jobs.
[00:14:59.252 --> 00:14:59.852]  Stop right there.
[00:15:00.152 --> 00:15:01.193]  That's just a new tax.
[00:15:01.213 --> 00:15:02.774]  The oil companies will just raise prices.
[00:15:03.074 --> 00:15:04.234]  That'll be passed on to you.
[00:15:04.635 --> 00:15:08.076]  The oil companies, while they're corrupt, they bought up most of the refineries in the U.S.
[00:15:08.136 --> 00:15:10.357]  and shut them down to artificially create a bottleneck.
[00:15:10.658 --> 00:15:15.320]  They're not involved in most of the big countries in the fields and the actual profits that go to the central banks.
[00:15:15.400 --> 00:15:16.741]  So, another bait and switch.
[00:15:16.841 --> 00:15:18.822]  Looting one of the few industries we had left.
[00:15:18.882 --> 00:15:19.242]  Keep going.
[00:15:19.622 --> 00:15:20.683]  Stop it again.
[00:15:20.763 --> 00:15:21.204]  The lobbyist.
[00:15:21.504 --> 00:15:23.546]  This is Mr. Lobbyist who promised he wouldn't hire one lobbyist or donor.
[00:15:23.606 --> 00:15:24.207]  That's all he's done.
[00:15:24.227 --> 00:15:24.527]  Keep going.
[00:15:41.772 --> 00:15:46.175]  The system we have now might work for the powerful and well-connected interests.
[00:15:46.195 --> 00:15:46.715]  Stop right there.
[00:15:46.775 --> 00:15:50.197]  I mean, ladies and gentlemen, when we come back, I'm going to finish up with comments on this.
[00:15:52.419 --> 00:16:05.907]  He is the special interest, but instead of just the low-level corporations getting some goodies, it's all got to go to the banks, because once they bankrupt a nation or a third world country, then all the money goes to the banks on interest and nothing else.
[00:16:06.579 --> 00:16:12.530]  So it is true that some of the pork grill is going to be cut, but the overall spending is going to increase because it all goes to the New World Order.
[00:16:12.550 --> 00:16:12.951]  Stay with us.
[00:16:14.016 --> 00:16:22.100]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:16:22.260 --> 00:16:26.662]  In these troubled times, one of the most important things your family can have is good health.
[00:16:26.822 --> 00:16:31.344]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:16:31.484 --> 00:16:33.765]  It's a documented fact.
[00:16:33.785 --> 00:16:37.067]  80% of all Americans and 85% of people around the world suffer
[00:16:37.307 --> 00:16:37.927]  We're good to go.
[00:16:56.900 --> 00:16:59.281]  A two-month supply starts at just $17.
[00:17:00.021 --> 00:17:03.722]  FPP is so affordable you can't afford to do without.
[00:17:03.782 --> 00:17:07.024]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:17:07.064 --> 00:17:07.264]  That's 888-949-3570.
[00:17:14.582 --> 00:17:18.825]  Hello, this is Peter Cronschnabel from Midas Resources, and I'd like to share some thoughts with you.
[00:17:19.145 --> 00:17:31.054]  In today's economy, with the government spending gone wild, the banking system on the verge of collapse, and Wall Street in continuous freefall, we both know that it is critical that you protect your savings and retirement programs now.
[00:17:31.495 --> 00:17:36.518]  Macroeconomics can be very confusing, but the solution to securing your personal assets is very simple.
[00:17:37.079 --> 00:17:38.540]  It's purchase of gold and silver.
[00:17:39.061 --> 00:17:45.058]  These precious metals have been the trusted means of exchange for centuries, and they've never been more important in our country's history.
[00:17:45.732 --> 00:17:49.514]  It's up to you to design your survival plan, one based on gold and silver.
[00:17:50.055 --> 00:17:50.775]  Give me a call.
[00:17:50.835 --> 00:17:55.198]  I'm Peter Kronschnabel at 800-686-2237, extension 108.
[00:17:55.298 --> 00:17:58.960]  And allow me to outline an easy answer to your questions.
[00:17:59.600 --> 00:18:01.341]  That's Peter Kronschnabel at 1-800-686-2237, extension 108.
[00:18:01.421 --> 00:18:05.624]  Call Peter at 1-800-686-2237, extension 108, while you can still purchase gold with paper.
[00:18:15.697 --> 00:18:17.399]  Life Change Tees sets the standard.
[00:18:17.539 --> 00:18:24.226]  Have you heard on radio all the new tees with funny names, movie stars, celebrities endorsing these products and so on?
[00:18:24.587 --> 00:18:25.768]  Have you checked the results?
[00:18:26.148 --> 00:18:29.392]  Not the pictures of the bikini babes and such, but the results.
[00:18:29.632 --> 00:18:34.838]  Have you checked their pricing and the funky three-month contracts and all that stuff?
[00:18:34.958 --> 00:18:36.119]  Have you checked their results?
[00:18:36.139 --> 00:18:36.920]  Oh, that's right, I see.
[00:18:37.220 --> 00:18:39.463]  Did you check the ingredients and did you check for caffeine?
[00:18:39.664 --> 00:18:40.745]  Yeah!
[00:18:40.945 --> 00:18:42.808]  Life Change Tea is the real deal!
[00:18:42.828 --> 00:18:47.434]  Not a new yippie-yi-yay tea, but a tea if you drink it daily, it'll change your life.
[00:18:47.854 --> 00:18:49.136]  And it will clean your body.
[00:18:49.316 --> 00:18:50.358]  Our middle name is Results.
[00:18:50.658 --> 00:18:52.841]  You can pay more and you can have a celebrity smile.
[00:18:53.001 --> 00:18:53.861]  Or you can get results.
[00:18:54.101 --> 00:18:54.502]  Your call.
[00:18:54.682 --> 00:18:56.682]  Or should I say, make the call.
[00:18:56.903 --> 00:18:57.403]  Get the T at 928-308-0408.
[00:18:57.423 --> 00:18:57.603]  That's 928-308-0408.
[00:18:57.663 --> 00:18:58.883]  Or you can order online at GetTheT.com.
[00:18:58.903 --> 00:18:59.384]  That's GetTheT.com.
[00:18:59.404 --> 00:19:00.284]  Order now for real results.
[00:19:13.684 --> 00:19:17.328]  Everyone knows that omega-3 should be an essential part of our daily diet.
[00:19:17.388 --> 00:19:23.034]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:19:23.114 --> 00:19:27.179]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:19:27.459 --> 00:19:29.741]  Nature's gem, premium omega-3.
[00:19:29.922 --> 00:19:35.828]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures.
[00:19:35.828 --> 00:19:36.348]  We're good to go!
[00:19:53.323 --> 00:19:54.223]  You are listening to GCN.
[00:19:54.243 --> 00:19:55.464]  Visit GCNlive.com today.
[00:20:28.604 --> 00:20:37.790]  We're back live.
[00:20:37.810 --> 00:20:40.192]  Thank you for joining us.
[00:20:41.553 --> 00:20:48.718]  Yeah, if you go up to whitehouse.gov with the audio or playing from the video, the headline is, Keeping Promises.
[00:20:49.578 --> 00:20:50.659]  All he does is break them.
[00:20:51.380 --> 00:20:53.260]  So, uh, he's gonna fight special interests.
[00:20:53.761 --> 00:21:02.102]  9.7 trillion during Bush in the last few months, and then under Obama in the last month and a half has gone to offshore banks with no strings attached.
[00:21:02.662 --> 00:21:04.583]  And he talks about no business as usual.
[00:21:04.983 --> 00:21:06.443]  He's gonna fight special interests.
[00:21:06.483 --> 00:21:07.803]  I mean, this is sick.
[00:21:08.143 --> 00:21:08.564]  Here it is.
[00:21:09.244 --> 00:21:15.585]  In other words, I know these steps won't sit well with the special interests and lobbyists who are invested in the old ways of doing business.
[00:21:16.145 --> 00:21:18.366]  And I know they're gearing up for a fight as we speak.
[00:21:19.326 --> 00:21:20.406]  My message to them is this.
[00:21:21.169 --> 00:21:29.712]  So am I. The system we have now might work for the powerful and well-connected interests that have run Washington for far too long.
[00:21:30.352 --> 00:21:30.833]  But I don't.
[00:21:31.633 --> 00:21:32.793]  I work for the American people.
[00:21:32.833 --> 00:21:33.513]  Stop right there!
[00:21:34.214 --> 00:21:34.654]  Oh really?
[00:21:34.694 --> 00:21:37.495]  Is that why you brought in all the former Bush people and Clinton people?
[00:21:38.575 --> 00:21:45.158]  Like Larry Summers who actually got rid of the different laws that allowed the banks to create all these derivatives in the 1990s?
[00:21:46.946 --> 00:21:52.110]  And Bush continued it, but to sit there and say that this is not business as usual, this is something new.
[00:21:52.530 --> 00:21:53.030]  It is new.
[00:21:53.070 --> 00:21:58.654]  You're just letting those that have raped us and looted this nation do it even at a bigger level, on a higher plane.
[00:22:00.556 --> 00:22:01.717]  I can't listen to any more of it.
[00:22:02.017 --> 00:22:04.379]  Let's go ahead and go to another big fat lie by this guy.
[00:22:04.419 --> 00:22:06.680]  Here's a headline out of Reuters.
[00:22:06.820 --> 00:22:11.143]  Obama says combat operations in Iraq to end in August of 2010, or 18 months from now.
[00:22:13.746 --> 00:22:20.890]  Well, when you read the Pentagon, really, they'll start looking, then, at withdrawing some of the combat forces, but leaving 50,000 U.S.
[00:22:21.611 --> 00:22:24.172]  troops there in all these bases that they built.
[00:22:24.192 --> 00:22:24.952]  They were never going to leave.
[00:22:26.233 --> 00:22:28.935]  And leaving at least 100,000 mercenaries there.
[00:22:28.955 --> 00:22:30.115]  There's 200,000 there now.
[00:22:30.516 --> 00:22:33.758]  That's 150,000 troops in support.
[00:22:34.138 --> 00:22:37.860]  And now they want a million-person domestic military that'll be here in the U.S.
[00:22:37.920 --> 00:22:40.902]  and overseas to get around Posse Comitatus.
[00:22:41.792 --> 00:22:45.794]  And what does this new million-person civilian army do?
[00:22:45.854 --> 00:22:48.516]  It occupies countries the globalists take over using U.S.
[00:22:48.556 --> 00:22:48.796]  force.
[00:22:49.056 --> 00:22:54.919]  The bankers use us as their attack dog to take countries over, and then we pay for it in tax money.
[00:22:55.579 --> 00:23:00.482]  And all these idiot good ol' boys, I hear them call top radio, yeah, we're taking the oil, that's why we do so good.
[00:23:00.862 --> 00:23:01.543]  No, idiot.
[00:23:01.803 --> 00:23:04.204]  Because of all of that, they don't explore for oil here.
[00:23:04.544 --> 00:23:06.165]  It hurts our economy and you pay for it.
[00:23:07.166 --> 00:23:07.966]  Ugh, it makes me sick.
[00:23:08.618 --> 00:23:11.579]  Now we've heard this end of major combat operations before.
[00:23:11.659 --> 00:23:13.600]  It's the same Pentagon lies.
[00:23:13.780 --> 00:23:15.181]  Remember under Bush the last six years?
[00:23:15.501 --> 00:23:15.721]  Yes.
[00:23:16.041 --> 00:23:23.264]  Coming up the 14th of this month it'll be six years since 2003 that the troops have been there when they promised they'd be home in six months.
[00:23:23.284 --> 00:23:23.624]  Remember that?
[00:23:23.644 --> 00:23:26.065]  Remember Bush on the deck of an aircraft carrier?
[00:23:26.346 --> 00:23:27.866]  Major combat operations are over?
[00:23:28.266 --> 00:23:29.627]  Well now Obama's saying what?
[00:24:11.738 --> 00:24:15.741]  Well, in 16 to 23 months, major combat operations might be over.
[00:24:18.082 --> 00:24:19.003]  History book says U.S.
[00:24:19.063 --> 00:24:20.103]  back, but it's globalists back.
[00:24:20.123 --> 00:24:20.824]  They control us.
[00:24:22.345 --> 00:24:24.746]  And then he attacked Iran with U.S.
[00:24:24.786 --> 00:24:25.146]  funding.
[00:24:25.427 --> 00:24:26.047]  Then the U.S.
[00:24:26.067 --> 00:24:29.129]  told him, go ahead and attack... April Gillespie, U.S.
[00:24:29.149 --> 00:24:31.731]  ambassador, said, go ahead and attack... Kuwait.
[00:24:32.551 --> 00:24:34.312]  And then they had 14 years of siege.
[00:24:34.332 --> 00:24:35.613]  A million and a half Iraqis died.
[00:24:35.853 --> 00:24:39.996]  And then a million, three hundred plus thousand have died in the last six years of occupation.
[00:24:41.479 --> 00:24:42.100]  But it doesn't matter.
[00:24:43.601 --> 00:24:44.402]  Reality doesn't matter.
[00:24:44.602 --> 00:24:50.768]  They'll just put out three doors down music videos and kid rock music videos showing the troops playing soccer with the kids over there.
[00:24:52.089 --> 00:24:54.010]  And again, people say, oh, don't you be anti-military.
[00:24:54.531 --> 00:24:57.774]  In Germany, I would have been against the military because Hitler controlled it.
[00:24:58.074 --> 00:25:01.017]  In Russia, I wouldn't be against their military, I'm against Stalin controlling it.
[00:25:01.277 --> 00:25:03.139]  Or Mao controlling the Chinese military.
[00:25:04.756 --> 00:25:09.120]  In every case in history, when you have tyranny, they use the military against the people.
