[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[00:04:43.131 --> 00:04:56.802]  So obviously now you have Charlie Sheen last week coming out and pushing 9-11 truth back to the forefront of national public attention and lo and behold a new Bin Laden tape gets released.
[00:04:57.502 --> 00:05:00.644]  So from that perspective it does have ties to
[00:05:02.458 --> 00:05:19.062]  Progression within the 9-11 truth movement is normally followed by the establishment attempting to reinforce the official story by having Bin Laden or Al Zawahiri come out and reinforce the official story that al-Qaeda carried out the attack.
[00:05:19.822 --> 00:05:30.085]  But even more strongly is the historical track record of these videotapes coming out immediately around the time
[00:05:30.666 --> 00:05:41.934]  That either the Bush or now the Obama administration need some cover, need some support for their failing agenda, both in Iraq and Afghanistan.
[00:05:42.995 --> 00:05:53.722]  Now the most, probably the most infamous example was right before the invasion of Iraq when Colin Powell was making his infamous presentation to the UN.
[00:05:54.938 --> 00:06:05.907]  Powell referenced the fact that an audio tape would soon be released in which Bin Laden claimed he was allied with Saddam Hussein, and that this tape would be broadcast shortly afterwards.
[00:06:06.648 --> 00:06:20.360]  Now, to anyone who has even a basic knowledge of geopolitics or religion regarding Bin Laden and Saddam Hussein will know that those two are sworn enemies, they always were, and to have an alliance would be
[00:06:21.678 --> 00:06:26.082]  Like, you know, Ahmadinejad and Bush having an alliance, it would be completely out of the question.
[00:06:26.662 --> 00:06:35.490]  But Powell forecasted a tape would be released that proved a Bin Laden link to Iraq, and lo and behold it was, and that was the key.
[00:06:36.511 --> 00:06:43.917]  It was a key piece of evidence that Bush cited as a reason to invade Iraq.
[00:06:44.277 --> 00:06:50.022]  Most of your readers will remember right before the 2004 election, the October surprise.
[00:06:50.683 --> 00:06:58.434]  Bin Laden appeared right on cue when Kerry was leading Bush by a few percentage points and looked like he was going to edge the election.
[00:06:59.695 --> 00:07:05.804]  Bin Laden appeared to attack Bush on October 29th and a few days later, Bush won the election.
[00:07:06.534 --> 00:07:14.438]  And later, both Bush and Kerry attributed Bush's victory to the appearance of that Bin Laden tape in late October of 2004.
[00:07:15.138 --> 00:07:23.523]  And even Walter Cronkite, the veteran news reporter, said it stank to high heaven and it looked like a Karl Rove orchestrated set-up.
[00:07:25.443 --> 00:07:34.428]  So then you've got other examples where these tapes emerge at the most politically opportune moments for the government.
[00:07:35.367 --> 00:07:54.997]  On two separate occasions for two years running, Ayman al-Zawahiri, the number two to Bin Laden, so-called deputy leader of Al-Qaeda, came out on the eve of the State of the Union speech in January 2006, and then again in January 2007.
[00:07:55.537 --> 00:08:03.241]  And in 2007, the big debate was about the Iraq surge, when Bush wanted to send
[00:08:04.783 --> 00:08:07.645]  100,000 more troops into Iraq and it was getting a lot of opposition.
[00:08:08.466 --> 00:08:15.871]  Right before the State of the Union, Al-Zawahiri came out and attacked the proposal saying it would never work.
[00:08:16.292 --> 00:08:21.356]  And that gave Bush, it greased the skids for him to run through the proposal.
[00:08:22.156 --> 00:08:31.444]  In fact, in that State of the Union speech in 2007, Bush cited Al-Zawahiri's videotaped speech as a reason
[00:08:32.119 --> 00:08:34.820]  That people should support the surge policy in Iraq.
[00:08:36.261 --> 00:08:51.669]  So now we fast forward to today, with this release of the supposed Bin Laden tape yesterday, and it arrives on the back of the deadliest month ever for US forces in Afghanistan since the invasion.
[00:08:51.689 --> 00:08:53.390]  46 dead.
[00:08:53.410 --> 00:09:01.834]  46 US troops dead in August, and September is going to rival that, which is the highest monthly toll of the entire conflict.
[00:09:02.651 --> 00:09:13.653]  It also arrives on the back of a CNN public opinion poll, as well as others, that show that, quote, opposition to the war in Afghanistan is at an all-time high.
[00:09:14.813 --> 00:09:31.896]  And this is also following up the obviously rigged election where the US puppet, Khamid Karzai, the former Unacol executive, has been returned to power on the back of his supporters setting up fake polling stations
[00:09:32.740 --> 00:09:38.084]  Uh, and, uh, creating fake ballots that returned him to, uh, power.
[00:09:38.925 --> 00:09:47.752]  So you've got this massive opposition to what's happening in Afghanistan as Obama plans to extend that war, as well as the war in, uh, Pakistan.
[00:09:48.352 --> 00:09:54.897]  You have top generals in the UK and the, uh, US criticizing the policy in Afghanistan.
[00:09:56.238 --> 00:10:02.363]  And lo and behold, Osama bin Laden pops up again out of nowhere on this audio tape.
[00:10:02.975 --> 00:10:09.779]  And says that Barack Obama is, quote, powerless to halt the wars in Afghanistan and Iraq.
[00:10:10.780 --> 00:10:23.627]  Which, as I wrote in the article, seems a pretty odd statement to make in light of the fact that Obama has only extended and aggressively beefed the campaigns in Afghanistan and Iraq.
[00:10:24.067 --> 00:10:27.229]  The withdrawal in Iraq was a mirage.
[00:10:28.461 --> 00:10:38.437]  He moved some troops out of the inner cities and just moved them out to the edges of the cities and as you've talked about Alex, 50,000 contractors were sent back in again.
[00:10:39.105 --> 00:10:40.226]  Okay, absolutely.
[00:10:40.246 --> 00:10:47.375]  And we're talking to Paul Watson about his article, CIA-linked intel center releases highly suspicious bin Laden tape.
[00:10:47.835 --> 00:10:53.121]  We now have more of these fake New York raids where they admit, oh, these are preemptive, we had no evidence.
[00:10:53.482 --> 00:10:58.387]  Turned out Cheney did those earlier and wanted to charge the guys under military courts
[00:10:59.068 --> 00:10:59.588]  They were U.S.
[00:10:59.628 --> 00:11:03.931]  citizens to set the precedent to use the military against the general public.
[00:11:04.552 --> 00:11:16.299]  Under Bush, and now under Obama, they've issued DHS reports listing that homeland security is for conservatives, gun owners, libertarians, Ron Paul supporters, Anti-Federal Reserve people.
[00:11:16.759 --> 00:11:20.041]  So this whole police state is for us, not for Al Qaeda.
[00:11:20.422 --> 00:11:24.744]  Even if you believe Al Qaeda, admittedly CIA created, attacked us on 9-11.
[00:11:25.805 --> 00:11:31.470]  You can clearly see that the whole Homeland Security apparatus is being used against we the people.
[00:11:35.414 --> 00:11:42.541]  So we'll talk to Paul Watson more about that in a final segment with him on the other side of this quick break.
[00:11:44.568 --> 00:11:47.629]  And then we got Charlie Sheen coming up in about an hour and ten minutes from now.
[00:11:47.889 --> 00:11:55.392]  We're continuing with your phone calls, getting into all the big new flu developments, with forced inoculations being discussed, and a lot more coming up.
[00:11:55.772 --> 00:11:57.153]  This is the GCN Radio Network.
[00:11:57.193 --> 00:11:57.573]  Stay with us.
[00:11:59.432 --> 00:12:05.973]  e-cigarettesnational.com would like to introduce an alternative to smoking regular cigarettes to all GCN listeners.
[00:12:06.133 --> 00:12:07.694]  It's called the e-cigarette.
[00:12:07.814 --> 00:12:12.235]  It looks, feels, tastes, and delivers nicotine like a regular cigarette.
[00:12:12.395 --> 00:12:19.916]  But because this is not a cigarette, you don't have to worry about more than 3,900 toxic chemicals and tar entering your body.
[00:12:20.056 --> 00:12:22.537]  There's no flame, so there's no risk of fire.
[00:12:22.697 --> 00:12:30.905]  And has no dangerous second-hand smoke, so it's safe for the people around you and will save you right around 50% over smoking regular cigarettes.
[00:12:31.185 --> 00:12:34.688]  So, get rid of the ashtrays, the smell, and the smoke.
[00:12:34.889 --> 00:12:38.052]  Learn more by visiting eCigarettesNational.com.
[00:12:38.212 --> 00:12:41.815]  That's the letter E. CigarettesNational.com.
[00:12:42.035 --> 00:12:43.837]  eCigarettesNational.com.
[00:12:43.977 --> 00:12:47.941]  And use coupon code GCN and receive 10% off your order.
[00:12:48.061 --> 00:12:48.502]  We're good.
[00:13:01.127 --> 00:13:02.168]  Hi, this is Ted Anderson.
[00:13:02.568 --> 00:13:08.053]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:13:08.633 --> 00:13:09.114]  That's right.
[00:13:09.434 --> 00:13:12.096]  Gold has been available to be placed in IRAs since 1986.
[00:13:13.137 --> 00:13:19.222]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:13:19.762 --> 00:13:27.444]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:13:27.904 --> 00:13:32.745]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:13:33.385 --> 00:13:36.526]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:13:36.646 --> 00:13:43.287]  Don't get left behind by rising inflation and low return on your paper investments.
[00:13:43.707 --> 00:13:43.967]  Call 800-686-2237.
[00:13:44.007 --> 00:13:45.889]  Make sure that you secure your future.
[00:13:45.949 --> 00:13:46.270]  Call 800-686-2237.
[00:13:46.290 --> 00:13:46.830]  That's 1-800-686-2237.
[00:13:59.978 --> 00:14:05.285]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:14:06.005 --> 00:14:11.352]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:14:11.892 --> 00:14:18.060]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:14:18.380 --> 00:14:20.201]  Well, Obama's already fudging.
[00:14:20.341 --> 00:14:22.742]  He's fudged since day one in this election.
[00:14:22.822 --> 00:14:33.746]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:14:36.006 --> 00:14:37.287]  It's not about left or right.
[00:14:37.667 --> 00:14:39.068]  It's about a one-world government.
[00:14:39.528 --> 00:14:45.750]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:14:46.425 --> 00:14:54.191]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:14:54.691 --> 00:14:55.832]  The Obama Deception.
[00:14:56.272 --> 00:14:57.473]  The people strike back!
[00:14:59.265 --> 00:15:08.089]  For years, doctors and researchers have known that one of the major pathways to better health is an alkaline diet rich in minerals and antioxidants to keep the body in proper pH balance.
[00:15:08.329 --> 00:15:17.913]  For 15 years, people have trusted AlkaZone, the simplest way of keeping the body in pH balance, getting rid of acidic waste buildup, and boosting the immune system through antioxidant support.
[00:15:18.233 --> 00:15:26.677]  AlkaZone's unique formula contains potassium, magnesium, calcium, zinc, and the antioxidant selenium, along with 79 trace minerals from ancient marine deposits.
[00:15:26.957 --> 00:15:32.561]  Unlike other products, AlkaZone is odorless and tasteless and can be added to any beverage to offset its acidity.
[00:15:32.801 --> 00:15:39.866]  AlkaZone also manufactures antioxidant water fountains that will both filter and raise the pH of the tap water in your home to a pH of 10.
[00:15:40.066 --> 00:15:45.810]  To learn more and to place your order for a 45-day supply for only $25, visit AlkaZone.com.
[00:15:45.910 --> 00:15:48.131]  That's A-L-K-A Zone dot com.
[00:15:48.411 --> 00:15:51.113]  Use coupon code RADIO and receive a limited time discount.
[00:15:51.293 --> 00:15:52.354]  Call AlkaZone today at 1-800-810-1888.
[00:15:52.374 --> 00:15:52.574]  That's 1-800-810-1888.
[00:16:17.845 --> 00:16:19.566]  Final segment with Paul Watson.
[00:16:19.586 --> 00:16:22.667]  Going straight to your calls and a ton of news on the other side of this break.
[00:16:24.599 --> 00:16:31.303]  Paul finishing up with the latest fake Bin Laden tape, all these fake raids.
[00:16:32.223 --> 00:16:38.767]  Clearly, they were building up to bolster the official 9-11 story before Charlie went public.
[00:16:40.413 --> 00:16:41.734]  Now they're accelerating it.
[00:16:42.474 --> 00:16:45.616]  They make national TV programs countering us, attacking us.
[00:16:46.916 --> 00:16:49.158]  They clearly are worried about what we're doing.
[00:16:49.558 --> 00:16:58.803]  That shows that we're affecting change and that we have a chance to stop these people or they wouldn't be spending so much time and energy going after us.
[00:17:00.323 --> 00:17:03.085]  Well, the wars in Afghanistan and Iraq
[00:17:03.792 --> 00:17:07.214]  Fundamentally rely on the official 9-11 story being true.
[00:17:07.234 --> 00:17:14.157]  It's like Webster Tarpley says, if that can be denigrated and discredited, then it completely undermines the foundation of their wars.
[00:17:15.097 --> 00:17:27.162]  What's interesting about almost every Bin Laden tape is the fact that whoever has scripted it, and all the experts say that Bin Laden died in late 2001.
[00:17:27.462 --> 00:17:29.403]  Everything since then has been scripted.
[00:17:29.843 --> 00:17:30.944]  Whoever's scripting it,
[00:17:32.085 --> 00:17:38.929]  Betrays an intricate knowledge of US political talking points that only somebody who closely followed it would know.
[00:17:38.949 --> 00:17:58.162]  Remember back in 2000 the, I think it was a London Independent reporter, went out and met Bin Laden and was flabbergasted about how Bin Laden was completely cut off from society and that he didn't know anything about even major news that was breaking at the time and he
[00:17:58.740 --> 00:18:07.646]  He accepted newspapers from the reporter like it was gold or something because he was so keen to catch up on the news because he was completely cut off from it.
[00:18:08.307 --> 00:18:19.635]  These tapes betray a knowledge, a deep knowledge of political talking points, which is why the rhetoric contained in them is similar to the same rhetoric
[00:18:20.549 --> 00:18:28.865]  That we put out and the opponents of Obama put out, they're ascribing our criticism of Obama to Osama Bin Laden.
[00:18:29.798 --> 00:18:33.560]  As a means of discrediting it in the overall picture.
[00:18:33.960 --> 00:18:34.700]  Absolutely!
[00:18:34.820 --> 00:18:40.603]  Good propaganda has to sound reasonable too, or the public is not going to buy into the bait.
[00:18:41.143 --> 00:18:43.305]  It has to sound like it's a real critique.
[00:18:44.345 --> 00:18:50.808]  So these are legitimate critiques, but it's coming from Al-Syeda bin Laden, and so now it's discredited.
[00:18:51.248 --> 00:18:54.530]  On another subject, Glenn Beck.
[00:18:56.232 --> 00:18:59.833]  Clearly came out and said we had to have the banker bailout and it was good.
[00:19:00.354 --> 00:19:01.694]  He supported the Patriot Act.
[00:19:01.734 --> 00:19:04.375]  He said Ron Paul was a dangerous piece of crap.
[00:19:05.455 --> 00:19:09.057]  As soon as Ron Paul lost the election, suddenly he was his best friend.
[00:19:09.917 --> 00:19:11.938]  Glenn Beck has clearly been positioned.
[00:19:13.243 --> 00:19:23.545]  To manage and be loyal opposition for the establishment, controlling the libertarian-slash-conservative backlash to Obama.
[00:19:24.265 --> 00:19:26.266]  And I get all these mean emails and calls.
[00:19:26.366 --> 00:19:38.288]  I can't believe how ignorant... In fact, I was reading some of the comments on PrisonPlanet.com on my open letter to Beck that just went up a few minutes ago that we're asking folks to put out, and they were saying, oh, Alex must work for ACORN.
[00:19:38.928 --> 00:19:49.632]  Yeah, we've been attacking Acorn day one, making a film about Acorn, exposing Acorn, selling books, exposing him, having Tarpley on, and you've got these fake mainline conservatives.
[00:19:50.472 --> 00:19:51.873]  See, we're already back to left-right.
[00:19:51.993 --> 00:19:53.153]  Now I'm a commie.
[00:19:53.833 --> 00:19:59.295]  Now I'm for Obama because I am pointing out that Beck is loyal opposition.
[00:19:59.756 --> 00:20:03.997]  Can't these guys understand that both parties and both movements are controlled?
[00:20:07.316 --> 00:20:31.503]  It doesn't look like they can understand that because they don't have the attention span to watch a 3 minute 20 second YouTube video where Beck, when he was on CNN, is saying that he supports the bailout and then later when he's on Fox News, you know, every day he's attacking the bailout just because when he supported it, Bush was in office and now Obama's in office.
[00:20:31.929 --> 00:20:45.880]  Yeah, he's counting on people not having long attention spans, and I'm going after Beck in a nice way to try to just point out to his followers that he will betray them so that they'll notice while he's doing it.
[00:20:45.900 --> 00:20:47.761]  I mean, he does it right out in the open.
[00:20:47.802 --> 00:20:49.523]  This is painful, Paul.
[00:20:49.583 --> 00:20:57.049]  I mean, I'm committed to defeating the globalist takedown of the Western world, and I just wish Beck wasn't a traitor.
[00:20:58.956 --> 00:21:12.769]  Well, how can he be, quote, a libertarian at heart when he vehemently supported the USA Patriot Act and he supported the wars of aggression launched under Bush and continued by Obama?
[00:21:13.310 --> 00:21:19.316]  Those political opinions are not subscribed to by the vast, vast majority of libertarians.
[00:21:19.836 --> 00:21:21.398]  So he's leading people astray.
[00:21:21.838 --> 00:21:22.479]  And anyone that
[00:21:23.080 --> 00:21:30.023]  You can watch that GQ video where he stages the crying on demand and doesn't think he's a phony after that.
[00:21:30.043 --> 00:21:31.444]  He's just completely deluded.
[00:21:31.624 --> 00:21:32.024]  Stay there.
[00:21:32.104 --> 00:21:34.625]  Let's do five more minutes on Beck, then I'm going to the phone calls.
[00:21:34.925 --> 00:21:36.786]  Charlie Sheen coming up live in the next hour.
[00:21:37.146 --> 00:21:38.027]  This is GCN.
[00:21:38.047 --> 00:21:47.571]  Stay with us.
[00:21:49.572 --> 00:21:50.472]  We're on the march.
[00:21:50.952 --> 00:21:52.453]  The Empire's on the run.
[00:21:53.485 --> 00:21:56.306]  Alex Jones and the GCN Radio Network.
[00:21:59.287 --> 00:22:01.888]  Hello, this is Alex Jones with some important questions.
[00:22:02.309 --> 00:22:07.271]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:22:07.631 --> 00:22:09.371]  My answer would be all I can get.
[00:22:09.692 --> 00:22:14.513]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:22:14.694 --> 00:22:15.614]  How much do you want?
[00:22:15.854 --> 00:22:16.615]  When do you want it?
[00:22:16.995 --> 00:22:18.596]  Now or after the battle starts?
[00:22:18.876 --> 00:22:19.697]  When will you need it?
[00:22:19.937 --> 00:22:22.018]  Can you buy it without proper identification?
[00:22:22.138 --> 00:22:23.259]  Will there be any food?
[00:22:23.479 --> 00:22:24.820]  Will it make your children sick?
[00:22:25.020 --> 00:22:30.083]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:22:30.283 --> 00:22:33.465]  You wipe out all these problems if you have a good food supply.
[00:22:33.866 --> 00:22:37.328]  Food is your ammunition to fight for your freedom and your life.
[00:22:37.688 --> 00:22:38.669]  How much will you need?
[00:22:38.909 --> 00:22:39.529]  We don't know.
[00:22:39.809 --> 00:22:40.710]  How much do you want?
[00:22:40.910 --> 00:22:41.651]  All you can get.
[00:22:41.851 --> 00:22:42.691]  I'm Alex Jones.
[00:22:42.931 --> 00:22:45.693]  I want all of you good guys to live to fight another day.
[00:22:45.993 --> 00:22:47.755]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:22:47.775 --> 00:22:48.675]  Again, that number 1-800-409-5633.
[00:22:58.294 --> 00:23:03.481]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:23:03.601 --> 00:23:07.967]  Will you continue to be their profit center, buying their processed food that makes you sick?
[00:23:08.127 --> 00:23:09.990]  Go to the doctor and buy their drugs?
[00:23:10.410 --> 00:23:11.772]  You don't have to cooperate.
[00:23:12.032 --> 00:23:13.074]  There is a solution.
[00:23:13.294 --> 00:23:21.319]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:23:21.719 --> 00:23:28.784]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:23:29.184 --> 00:23:34.848]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health ranger.
[00:23:35.228 --> 00:23:40.792]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:23:41.212 --> 00:23:45.034]  Try all of their truly honest products that will keep you alive and healthy.
[00:23:45.375 --> 00:23:52.038]  Go to enerfood.com or give them a call right now.
[00:23:52.058 --> 00:23:52.319]  866-762-9238.
[00:23:52.839 --> 00:23:56.141]  Click on their banner at infowars.com to see all the available discounts.
[00:23:58.672 --> 00:23:59.973]  Are you constantly tired?
[00:24:00.233 --> 00:24:01.814]  Have a hard time concentrating?
[00:24:02.094 --> 00:24:05.135]  Experience muscle weakness or have problems with digestion?
[00:24:05.375 --> 00:24:08.137]  The solution may be as simple as detoxifying your body.
[00:24:08.397 --> 00:24:14.860]  Liquid Zeolite, available only at RestoreYourHelpNow.com, captures toxins and physically carries them out of your body.
[00:24:15.060 --> 00:24:19.342]  This safe and effective way of detoxifying can easily remove heavy metals and contaminants.
[00:24:19.702 --> 00:24:27.926]  Studies show that Liquid Zeolite captures triggering antigens, which cause allergies, migraines, and asthma, decreasing the rate and severity of these symptoms.
[00:24:28.266 --> 00:24:36.410]  Liquid Zeolite is a tasteless and odorless liquid that, when taken daily, supports a healthy, happy and active lifestyle in an increasingly toxic world.
[00:24:36.710 --> 00:24:39.871]  And Liquid Zeolite is so gentle that you won't even know you're taking it.
[00:24:40.011 --> 00:24:43.313]  Although your list of elements may be endless, the solution is simple.
[00:24:43.573 --> 00:24:47.955]  Try Liquid Zeolite for yourself by visiting RestoreYourHealthNow.com.
[00:24:48.155 --> 00:24:49.655]  That's RestoreYourHealthNow.com.
[00:24:49.796 --> 00:24:50.256]  Or call 1-800-976-0025.
[00:24:50.356 --> 00:24:50.976]  That's 1-800-976-0025 today.
[00:25:10.216 --> 00:25:31.053]  Before I get back into Glenn Beckham, open letter and video to him, Paul, what about this Kyan West guy at some video awards getting up as a stunt, grabbing the microphone away insanely, I guess just in his hatred of the lady who was on stage.
[00:25:31.433 --> 00:25:37.498]  Obama responds to that, but Charlie Sheen says, I want to meet with you with 9-11 first responders and
[00:25:39.178 --> 00:25:40.059]  Well, that's right.
[00:25:40.119 --> 00:25:44.243]  I mean, this was reported this morning that an ABC News report was talking to Obama, and he had
[00:26:03.482 --> 00:26:20.429]  You know, the White House claims he's too busy to even acknowledge Sheen's letter, never mind meet with Sheen, but obviously he's not too busy to talk about some mindless antics of this hip-hop star jumping on stage at an MTV Music Awards show.
[00:26:22.952 --> 00:26:23.692]  Well, the silence
[00:26:47.435 --> 00:26:49.817]  Really illustrates how they're afraid of the facts.
[00:26:49.877 --> 00:26:58.622]  They just gotta have their Fox News and ABC News pundits and John McCain's daughter come out and name-call.
[00:26:58.682 --> 00:27:09.849]  And remember John McCain in Popular Mechanics, in that totally debunked joke of a research book, wrote the foreword attacking me!
[00:27:10.689 --> 00:27:11.310]  My name!
[00:27:12.312 --> 00:27:14.434]  I mean, they attacked me in the first page of the book.
[00:27:14.555 --> 00:27:17.798]  I have the Senator John McCain attacking me.
[00:27:18.239 --> 00:27:23.705]  That shows they're concerned about what we're doing and they will not debate Charlie Sheen.
[00:27:23.765 --> 00:27:25.828]  They can't debate Charlie Sheen.
[00:27:26.328 --> 00:27:29.933]  Because six of the ten commission members agree with Charlie Sheen.
[00:27:31.710 --> 00:27:36.233]  Well, they're scared to death of the power of the 20 questions that are outlined in his letter.
[00:27:36.734 --> 00:27:48.483]  And that's proven by the fact that hundreds of these hit pieces which came out, mainly the ones over the last few days, completely invent things that Sheen was supposed to have said.
[00:27:48.523 --> 00:27:55.007]  They put words in his mouth so they can politicize, polarize, and make the issue partisan.
[00:27:55.047 --> 00:28:00.972]  They claim that Sheen said Bush planned 9-11, and as everyone knows, you know, Bush couldn't
[00:28:01.790 --> 00:28:02.330]  Right, and I mean
[00:28:26.241 --> 00:28:36.385]  O'Reilly, Hannity, McCain's daughter, none of them have even responded to Cheney's challenge to debate them on Larry King Live.
[00:28:36.425 --> 00:28:37.885]  They haven't even responded to it.
[00:28:37.905 --> 00:28:46.789]  So that just shows that they're afraid of the power of those 20 questions that are outlined in Cheney's letter, backed up by that bibliography.
[00:28:49.590 --> 00:28:50.550]  Absolutely, Paul.
[00:28:50.630 --> 00:28:55.072]  Okay, in closing, Glenn Beck, do you agree with me, and I want your honest response to this,
[00:28:56.553 --> 00:29:00.215]  I don't spend my time bashing Limbaugh.
[00:29:00.756 --> 00:29:05.239]  I don't spend my time bashing people I disagree with who I think are phony conservatives.
[00:29:06.740 --> 00:29:12.223]  I tried to explain that Bush was just a puppet and that they would bring in a left-wing savior and then he would sell everybody out.
[00:29:13.864 --> 00:29:17.627]  But Glenn Beck is particularly disingenuous.
[00:29:17.867 --> 00:29:24.291]  Limbaugh did not support the banker takeover bill, the banker bailout.
[00:29:26.553 --> 00:29:28.915]  Michael Savage, Sean Hannity didn't support that.
[00:29:29.995 --> 00:29:33.598]  Beck made more trips than any other talk show host to meet privately with Bush.
[00:29:33.638 --> 00:29:34.278]  That's on record.
[00:29:34.298 --> 00:29:35.439]  He brags about it.
[00:29:36.471 --> 00:30:03.780]  Beck, when Ron Paul had a chance to win, he came out and really killed the campaign and said, this guy's dangerous, his people talk about bombs, he twisted the thing about money bombs, he still bad mouths him on radio, he's very two-faced, is what I don't like about Beck, and now, they have put him as the leader of the resistance to Obama, controlled opposition, so in three to four years, when they put a Republican in, there won't be real revolution, and
[00:30:05.891 --> 00:30:07.852]  So Beck can steer everybody.
