[00:00:05.714 --> 00:00:07.334]  Watch me!
[00:03:50.169 --> 00:03:50.910]  Sucked dry.
[00:03:50.910 --> 00:03:51.771]  Totally imploded.
[00:03:51.771 --> 00:03:55.114]  And I'm sorry to use analogies like that, but that's what we are.
[00:03:55.114 --> 00:03:55.715]  A toothless
[00:03:56.849 --> 00:03:59.451]  Crack whore with crust all over our eyes.
[00:03:59.451 --> 00:04:08.936]  We were once a beautiful 18-year-old woman who ran away from home, ran away from the church, ran away from goodness.
[00:04:08.936 --> 00:04:16.180]  We were gonna live on the streets, we were gonna make it big in Hollywood, and now we're a crack whore with our hair falling out.
[00:04:16.180 --> 00:04:20.222]  We still love the pimp and the drugs he gives us.
[00:04:20.222 --> 00:04:21.203]  We worship the pimp.
[00:04:21.203 --> 00:04:22.243]  We love him.
[00:04:22.243 --> 00:04:23.104]  We kiss his boots.
[00:04:24.431 --> 00:04:25.412]  That's who we are!
[00:04:25.412 --> 00:04:33.097]  We worship the police, we worship the prisons, we worship the sodium fluoride in the water, we worship our kids dying of cancer being injected.
[00:04:33.097 --> 00:04:34.578]  That's who we are.
[00:04:34.578 --> 00:04:35.979]  Can we crawl out?
[00:04:35.979 --> 00:04:37.180]  Can we make it to a hospital?
[00:04:37.180 --> 00:04:39.682]  Could we ever get our soul back?
[00:04:39.682 --> 00:04:40.462]  Probably not.
[00:04:40.462 --> 00:04:42.784]  The brain's too fried.
[00:04:42.784 --> 00:04:44.765]  But see, we're not just one person.
[00:04:44.765 --> 00:04:47.187]  We're not just one crack whore.
[00:04:47.187 --> 00:04:53.792]  This crack whore symbolizes the body politic which those of us that aren't crack whores and slaves still live in.
[00:04:55.043 --> 00:05:00.364]  Then you find out the whole world is a cigarette burn crack horde!
[00:05:00.364 --> 00:05:04.625]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[00:05:04.625 --> 00:05:06.626]  Do you really know what's in your tap water?
[00:05:06.626 --> 00:05:15.147]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:05:15.147 --> 00:05:20.689]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:05:20.689 --> 00:05:22.309]  Now what are you going to do about it?
[00:05:22.549 --> 00:05:29.053]  The Acola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:05:29.053 --> 00:05:40.121]  The Acola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:05:40.121 --> 00:05:40.881]  That's right.
[00:05:40.881 --> 00:05:43.463]  Clean water, right from the air you breathe.
[00:05:43.463 --> 00:05:45.264]  Order today by calling 1-800-691-6043.
[00:05:45.264 --> 00:05:45.584]  That's 1-800-691-6043.
[00:05:45.584 --> 00:05:46.725]  Or visit acolablue.com.
[00:05:52.929 --> 00:06:08.817]  Big Brother.
[00:06:08.817 --> 00:06:10.578]  Mainstream media.
[00:06:10.578 --> 00:06:12.339]  Government cover-ups.
[00:06:12.339 --> 00:06:13.920]  You want answers?
[00:06:13.920 --> 00:06:14.900]  Well, so does he.
[00:06:14.900 --> 00:06:19.663]  He's Alex Jones on the GCN Radio Network.
[00:06:19.663 --> 00:06:22.004]  And now, live from Austin, Texas,
[00:06:22.899 --> 00:06:25.120]  Alex Jones.
[00:06:25.120 --> 00:06:26.821]  We are live, my friends.
[00:06:26.821 --> 00:06:29.042]  It is the 15th day on this Monday.
[00:06:29.042 --> 00:06:31.783]  It is Monday, June 15th, 2009.
[00:06:31.783 --> 00:06:42.869]  We've got two hours left spanning out like a vista before us as we go in through and beyond as we talk to one of the most prolific researchers
[00:06:43.869 --> 00:06:50.918]  One of the most prolific minds out there in challenging the established false reality.
[00:06:50.918 --> 00:06:57.627]  He is a great dispenser of hundreds of millions of red pills to humanity.
[00:06:58.633 --> 00:07:05.396]  And he has taken a lot of people very, very deep down the rabbit hole indeed to where we're not in Kansas anymore.
[00:07:05.396 --> 00:07:13.419]  And you can question and debate the perceptions through the rose-colored darkly that David Icke looks through, but be careful
[00:07:14.039 --> 00:07:18.141]  That when you're getting the speck out of his eye, you don't get the giant beam out of yours.
[00:07:18.141 --> 00:07:19.562]  It's important to get that beam out.
[00:07:19.562 --> 00:07:28.606]  We all see through different perceptions, but certainly the perception of David Icke has proven to be much more clear than the average man or woman out there.
[00:07:28.606 --> 00:07:30.087]  So it's always great to have David with us.
[00:07:30.087 --> 00:07:32.688]  I have a host of issues I want to talk to him about.
[00:07:32.688 --> 00:07:33.769]  Where are the new world orders going?
[00:07:33.769 --> 00:07:34.509]  What they're doing currently?
[00:07:34.509 --> 00:07:37.230]  Trying to start World War III with Iran.
[00:07:37.230 --> 00:07:39.351]  Trying to start things up over there.
[00:07:39.351 --> 00:07:42.373]  Trying to start things up with North Korea, knowing they're in the middle of a power sharing.
[00:07:43.253 --> 00:07:47.514]  And a power transfer, saying they're going to board their ships, a new Cuban missile crisis.
[00:07:47.514 --> 00:07:50.115]  Again, we're not defending North Korea or Iran.
[00:07:50.115 --> 00:07:55.456]  The point is, it's the bigger globalist evil using a smaller evil to bring in a global distraction.
[00:07:55.456 --> 00:08:07.819]  And the South Ossetia conflict, NATO encircling Russia, Pakistan, all of this today as the world launches into economic collapse, launches into worldwide warfare, as the Rand Corporation has called for.
[00:08:08.459 --> 00:08:16.252]  So, joining us, DavidIke.com is the website, our websites are InfoWars.com and PrisonPlanet.com is the great David Ike.
[00:08:16.252 --> 00:08:17.915]  David Ike, thank you for joining us.
[00:08:17.915 --> 00:08:18.796]  It's a pleasure, Alex.
[00:08:18.796 --> 00:08:19.117]  How are you?
[00:08:20.174 --> 00:08:20.474]  Good.
[00:08:20.474 --> 00:08:25.319]  You heard me run down some of the ideas of things that I think are important right now.
[00:08:25.319 --> 00:08:30.444]  Let's start with suddenly somebody flips a switch and there's world crises.
[00:08:30.444 --> 00:08:32.346]  We're on the edge of nuclear war.
[00:08:32.346 --> 00:08:35.009]  They're saying North Korea is going to nuke.
[00:08:35.009 --> 00:08:36.951]  They're saying they're going to nuke people.
[00:08:36.951 --> 00:08:41.415]  Months ago you were on the show, three or four months ago, and you said you thought they were gearing up for a world war.
[00:08:43.132 --> 00:08:49.797]  Yeah, well that's where they want to go, because the World Wars have served them very well.
[00:08:49.797 --> 00:08:56.402]  Nothing changes society quicker and more fundamentally and irreversibly than a war.
[00:08:56.402 --> 00:09:06.269]  And so, when you look at the world after World War I, it was a world that was controlled by far fewer people and much more centralization of power than before.
[00:09:07.049 --> 00:09:26.977]  World War II came along, that process took a giant leap forward and we had all these global institutions and the United Nations, the Bretton Woods Agreement, the European Union was justified to a large extent to stopping war in Europe, and so to complete the job, to move into this final global society that they want,
[00:09:28.137 --> 00:09:57.257]  A third world war is what is on the agenda and I don't know if I've mentioned this before but I had a letter from a traffic warden, a guy here in Britain that's supposed to just dispense tickets for people who have broken the parking laws and he contacted me, must be a year or so ago now, and said that he'd been called in and given new cards that he was told to take home and put away until further notice.
[00:09:57.917 --> 00:10:03.542]  One of them was a card that gave him the right to be a traffic warden, that you show for identity, that's fair enough.
[00:10:03.542 --> 00:10:10.007]  The second one was what they call a PACE card, which is the words that a police officer reads when he's arresting someone.
[00:10:10.007 --> 00:10:16.593]  And the third one was a card giving him, a traffic warden, the right to enter property without permission.
[00:10:16.593 --> 00:10:20.116]  And of course he's questioning, what the heck do I need these for?
[00:10:20.116 --> 00:10:22.638]  Well, just go leave them until further notice.
[00:10:22.638 --> 00:10:24.400]  He then meets a friend of his a few days later.
[00:10:25.040 --> 00:10:38.367]  Who's a police officer and he said that this police officer said that he was a man designated in his county and there was someone like him in every county and they were there to prepare for a coming war and
[00:10:40.468 --> 00:10:57.756]  The military and the regular police were going to be used to meet what they knew was coming in terms of civil unrest in the streets when that war started and the build-up to that war.
[00:10:57.756 --> 00:11:06.440]  And he said, you people, traffic wardens and private security guards and other such people, are going to be given powers
[00:11:07.200 --> 00:11:14.485]  Uh, that the police normally do, uh, so that you can do those things while we're dealing with the civil unrest as a result of this war.
[00:11:14.485 --> 00:11:32.518]  And very, very shortly after, um, the, uh, traffic warden contacted me, the government changed the name of traffic wardens from traffic wardens to civil enforcement officers, um, uh, and, uh, gave them more powers, not all the powers, but more powers that the police normally do.
[00:11:32.518 --> 00:11:34.280]  And then, uh, about six months later,
[00:11:35.120 --> 00:12:03.729]  The government announced a new type of person called accredited persons and these were, wait for it, private security guards and all the kind of people that the policeman had listed who were going to be given the right to stop and question people, to hand out certain fines, to hold them till the police arrived and it's all part of this layer by layer building of self-policing, the people self-policing each
[00:12:03.749 --> 00:12:04.289]  We're good to go.
[00:12:30.038 --> 00:12:52.524]  And this is what's being built all over the world and this third world war is definitely in the agenda because it's a massive problem which will be in need of a global, because of the global nature of the conflict, a global solution which will be the final move to this structure we've been talking about all these years of world government, world army and all the rest of it.
[00:12:52.524 --> 00:12:53.504]  And of course the world army
[00:12:54.464 --> 00:12:56.546]  Okay, David, I just want to back you up.
[00:12:56.546 --> 00:13:01.469]  Everything David just said, every term he used, I have hundreds of mainstream articles, government documents.
[00:13:01.469 --> 00:13:03.251]  Let me just go over a few of them.
[00:13:03.251 --> 00:13:04.632]  The British Ministry of Defence 10-year report
[00:13:21.775 --> 00:13:45.033]  London Guardian reported on it, but it was declassified, 120 pages, was put out in September of 2007, and said in the coming next few years the public would rebel against the corrupt government, but that their job was to suppress the public, to bring us into this new world order, and it said they will, even if the British people, they say, try to march on London,
[00:13:45.774 --> 00:13:45.894]  They
[00:14:02.407 --> 00:14:08.029]  The spooks, the paramilitary, the police, the traffic wardens, auxiliary tattletales.
[00:14:08.029 --> 00:14:12.210]  There's now the Trusted Traveler North American Hemispheric card.
[00:14:12.210 --> 00:14:18.192]  And if you have that flying internally, say from Austin to New York, you show that and go through the head of the line.
[00:14:18.192 --> 00:14:23.554]  So they're already making it that if you waive all your rights and take the special card, you get to the head of the line.
[00:14:23.554 --> 00:14:26.055]  Then they're just going to make it mandatory for everybody.
[00:14:26.055 --> 00:14:26.455]  David Icke.
[00:14:27.022 --> 00:14:27.923]  Well, that's what they do.
[00:14:27.923 --> 00:14:36.608]  I mean, they say, oh, this will be voluntary for the people to decide if they want to have it, like identity cards and stuff like that.
[00:14:36.608 --> 00:14:41.612]  But what they then do is make it so difficult to operate in society without one of them.
[00:14:41.612 --> 00:14:47.976]  And eventually they say, well, look, there's so few people that don't have them now, everyone might as well have them by law and all the rest of it.
[00:14:47.976 --> 00:14:49.077]  These are the techniques they use.
[00:14:49.537 --> 00:15:05.003]  Of course, as we've talked about before on the show, Bush was the problem part of this presidential handover, and Obama's been brought in as the person offering the solutions, and of course the solutions are going to be the unfolding agenda.
[00:15:06.643 --> 00:15:07.164]  I don't know.
[00:15:23.637 --> 00:15:42.093]  What tyrannies always do and, you know, people have got to decide how long we're going to talk about this before we draw a line in the sand and say, hey, instead of sitting here and watching our prison being built and discussing it and debating it, what the heck are we going to do about it?
[00:15:42.093 --> 00:15:46.056]  Because there's going to come a point where we're going to cross a line where this
[00:15:47.097 --> 00:15:49.800]  The momentum is going to be very difficult to turn back.
[00:15:49.800 --> 00:15:59.611]  It needs a lot of people with a lot of focus and a lot of disconnection of backsides from sofas now before this gets completely and utterly out of hand.
[00:16:01.493 --> 00:16:02.873]  This is Alex Jones.
[00:16:02.873 --> 00:16:04.874]  Have you heard of the Millionaire Patriot?
[00:16:04.874 --> 00:16:05.854]  Well, you should.
[00:16:05.854 --> 00:16:10.336]  He has a free handgun and five days of firearms training waiting for you.
[00:16:10.336 --> 00:16:11.136]  That's right.
[00:16:11.136 --> 00:16:19.799]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:16:19.799 --> 00:16:21.160]  All for pennies on the dollar.
[00:16:21.160 --> 00:16:22.300]  Plus, if you act fast.
[00:16:22.520 --> 00:16:28.503]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:16:28.503 --> 00:16:35.387]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:16:35.387 --> 00:16:40.910]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:16:40.910 --> 00:16:42.371]  This is real.
[00:16:42.371 --> 00:16:43.431]  Don't miss out.
[00:16:43.431 --> 00:16:50.295]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[00:16:50.475 --> 00:16:55.079]  This is Alex Jones with 5 Good Reasons You Should Consider Buying a Solar Power Generator this Summer!
[00:17:07.791 --> 00:17:11.715]  New climate legislation could easily double or triple your electric bill.
[00:17:11.715 --> 00:17:16.920]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:17:16.920 --> 00:17:17.580]  It's true.
[00:17:17.580 --> 00:17:22.925]  Total government control of electricity in the name of smart grid technology is coming.
[00:17:22.925 --> 00:17:29.211]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:17:29.211 --> 00:17:31.834]  The hurricane and dangerous summer storm season is here again.
[00:17:32.094 --> 00:17:35.755]  Every year, thousands of families lose their power from weather-related outages.
[00:17:35.755 --> 00:17:36.616]  Number 5.
[00:17:36.616 --> 00:17:40.457]  A solar power generator provides powerful backup insurance and peace of mind.
[00:17:40.457 --> 00:17:46.199]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:17:46.199 --> 00:17:50.901]  You can get more information at www.mysolarbackup.com.
[00:17:50.901 --> 00:17:52.682]  That's mysolarbackup.com.
[00:17:52.682 --> 00:17:55.243]  Remember, the government doesn't own the sun yet.
[00:17:55.243 --> 00:17:57.884]  So go to mysolarbackup.com or call toll-free 877-327-0365.
[00:18:01.735 --> 00:18:03.416]  Hello friends, this is Alex Jones.
[00:18:03.416 --> 00:18:08.137]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:18:08.137 --> 00:18:11.099]  We need to be independent, and food and water is the key.
[00:18:11.099 --> 00:18:14.140]  You'll never have to stand in a bread line if you have your own bread.
[00:18:14.140 --> 00:18:19.982]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:18:20.242 --> 00:18:23.465]  No one is going to take care of your family in the final equation but you.
[00:18:23.465 --> 00:18:30.472]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:18:30.472 --> 00:18:33.735]  And they do it at almost half the cost of last year's grocery prices.
[00:18:33.735 --> 00:18:35.617]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:18:38.880 --> 00:18:45.145]  Visit efoodsdirect.com and look over the fine list of high-quality, pre-stride, and dehydrated foods they have to offer.
[00:18:45.145 --> 00:18:48.907]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:18:48.907 --> 00:18:50.268]  Again, 1-800-409-5633, or on the web at efoodsdirect.com.
[00:18:50.268 --> 00:18:50.889]  Take action today.
[00:18:50.889 --> 00:18:52.710]  The first step is getting storable food.
[00:19:01.323 --> 00:19:05.567]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:19:05.567 --> 00:19:07.569]  Do you really know what's in your tap water?
[00:19:07.569 --> 00:19:16.097]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:19:16.097 --> 00:19:21.642]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:19:21.642 --> 00:19:23.264]  Now what are you going to do about it?
[00:19:23.504 --> 00:19:30.006]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:19:30.006 --> 00:19:41.068]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:19:41.068 --> 00:19:41.829]  That's right.
[00:19:41.829 --> 00:19:44.389]  Clean water, right from the air you breathe.
[00:19:44.389 --> 00:19:45.970]  Order today by calling 1-800-691.
[00:19:47.790 --> 00:19:48.270]  I was a highway man.
[00:20:16.677 --> 00:20:23.223]  Got David Icke with us for another hour and 35 minutes.
[00:20:23.223 --> 00:20:28.307]  And what David here is talking about is so important.
[00:20:32.031 --> 00:20:48.684]  When you're in a view kind of above yourself, outside the world, realizing that this is a biological earth suit and that the system knows how to program it with hormones and drugs and war and feedback and sex.
[00:20:48.684 --> 00:20:51.246]  When they use sex to sell Calvin Klein jeans,
[00:20:52.529 --> 00:20:57.471]  They are going at your primitive sexual centers in your lower brain.
[00:20:57.471 --> 00:21:02.174]  And just to get the public to realize they're being bombarded, they're being programmed.
[00:21:02.174 --> 00:21:05.175]  If you can get them to do that, they kind of wake up out of the trance.
[00:21:05.175 --> 00:21:06.976]  Realize you're being bombarded.
[00:21:06.976 --> 00:21:08.197]  Realize there's a game.
[00:21:08.197 --> 00:21:17.041]  I mean, I don't know how to quantify this, David, but I mean, to me, the term I would use is just realize that you are being bombarded with data.
[00:21:17.041 --> 00:21:21.123]  Realize that there is a manipulation going on, knowing it's half the battle.
[00:21:21.769 --> 00:21:22.990]  Well, see, this is so important.
[00:21:22.990 --> 00:21:24.391]  I'll give you an example.
[00:21:24.391 --> 00:21:30.234]  In my talks, I put some pictures on the screen which are subliminal advertisements.
[00:21:30.234 --> 00:21:37.218]  And most people, the vast majority of people, can't see them because that's what subliminal is, below threshold.
[00:21:37.218 --> 00:21:43.481]  The conscious mind doesn't see them, which the conscious mind actually sees very little compared with what actually is in front of it.
[00:21:43.481 --> 00:21:46.323]  The subconscious mind, however, picks it all up and effectively
[00:21:46.323 --> 00:21:46.723]  That's right.
[00:22:06.385 --> 00:22:20.739]  When people start to realize how it's being done to them, then they bring it from below threshold, subliminal, to the conscious awareness, and the defenses go up, which they don't have to think about.
[00:22:20.739 --> 00:22:28.065]  Naturally, the defense is up once the conscious mind is aware of the game it's involved in.
[00:22:28.065 --> 00:22:31.729]  We need to understand the fundamental significance.
[00:22:32.269 --> 00:22:32.570]  I don't
[00:22:45.642 --> 00:22:46.763]  David, let me stop you.
[00:22:46.763 --> 00:22:49.265]  This is not debatable about the reptilian brain.
[00:22:49.265 --> 00:22:51.227]  This is a scientific name.
[00:22:51.227 --> 00:22:52.147]  Put it up on the screen.
[00:22:52.147 --> 00:22:55.750]  Google reptilian brain and show them like a textbook area.
[00:22:55.750 --> 00:23:01.995]  That's the lower brain that's breathing, sex, eating, wanting to kill people.
[00:23:01.995 --> 00:23:08.360]  I'm just interrupting you because some may think, oh, this is David Icke and his other issues with that.
[00:23:09.659 --> 00:23:19.744]  No, no, scientists call it the R-complex or the reptilian brain because the way it functions and the way it reacts is almost exactly like the brain of a reptile or a lizard.
[00:23:19.744 --> 00:23:20.545]  But it is!
[00:23:20.545 --> 00:23:31.150]  I mean, in fact, students, because my dad went to medical school, students shown a salt crocodile brain can't tell the difference with a human lower brain.
[00:23:31.150 --> 00:23:33.852]  We basically do have a salt crocodile brain.
[00:23:33.852 --> 00:23:34.092]  Go ahead.
[00:23:34.372 --> 00:23:53.985]  Yeah, and what happens is that those behind the dark suits, those in the shadows, who understand all this stuff and have worked constantly for centuries to take it out of circulation among the people, so they're in ignorance of the very means through which they're being manipulated.
[00:23:53.985 --> 00:23:57.787]  They understand this and they target the reptilian brain.
[00:23:57.787 --> 00:23:59.808]  The reptilian brain is basically stupid.
[00:23:59.808 --> 00:24:00.509]  It's a reaction
[00:24:01.149 --> 00:24:04.611]  It is so computer-like, it's incredible.
[00:24:04.611 --> 00:24:12.734]  At that level, you know, the brain does just react like a computer on a desktop, and it doesn't learn from experience.
[00:24:12.734 --> 00:24:15.975]  Other parts of the brain learn from experience.
[00:24:15.975 --> 00:24:18.456]  The reptilian brain doesn't.
[00:24:18.456 --> 00:24:20.277]  Its survival instincts are total.
[00:24:20.277 --> 00:24:26.919]  It's constantly scanning the environment, looking for possible dangers as it perceives them.
[00:24:26.919 --> 00:24:28.540]  The idea of the manipulation
[00:24:29.543 --> 00:24:44.770]  is to give the reptilian brain more and more and more reasons to see things in terms of a threat or a danger, because then all rational thinking disappears, all calm reflection, and let's look at this calmly, disappears.
[00:24:44.770 --> 00:24:49.573]  Because the reptilian brain is basically just reacting in a panic.
[00:24:49.573 --> 00:24:53.415]  You know, save me, save me, I want me mum, that's what it's doing.
[00:24:53.415 --> 00:24:57.957]  And the reptilian brain, interestingly, if we get into this way that people are programmed,
[00:24:59.008 --> 00:25:04.570]  Well, David Icke, I heartily agree with you and we're going to talk about a host of issues today.
[00:25:23.920 --> 00:25:30.464]  And later in the next hour, let's get into some of your ideas for solutions and breaking free of this matrix.
[00:25:30.464 --> 00:25:34.687]  In fact, let's go ahead and start talking about some of that now.
[00:25:34.687 --> 00:25:44.333]  Coming up in the next segment, I'm going to play a video clip from a satire movie about sitcoms, but when you watch it,
[00:25:45.589 --> 00:25:54.659]  It actually has the same messages that really are in the children's programming and the sitcoms and they're dumbing the language down and they're reducing the language.
[00:25:54.659 --> 00:26:03.989]  People are being inserted into the matrix as the eyes tie into the television and the computers and people are texting to their friends who are five feet away.
[00:26:03.989 --> 00:26:06.952]  Instead of talking to them, we are beginning to merge
[00:26:07.472 --> 00:26:08.333]  into the machines.
[00:26:08.333 --> 00:26:09.674]  We're not programming them.
[00:26:09.674 --> 00:26:30.875]  We're being programmed through the machines that have been programmed to program us and the consciousness is closing down with large swaths of the public while at the same time another large group is exploding their awakening and how you see this battle unfolding as we rush towards what the establishment calls the singularity.
[00:26:31.468 --> 00:26:43.638]  You know, this is my area, really, in so many ways, because particularly since about 2002, 2003, I've really gone very, very deeply into the nature of reality, which not many people tend to do.
[00:26:43.638 --> 00:26:52.225]  And when you start to realize what reality is, my goodness, does society as it's structured, and the way it's structured, start to make perfect sense.
[00:26:52.225 --> 00:26:57.590]  First of all, it's so important to realize the difference between the body and consciousness.
[00:26:58.848 --> 00:27:00.009]  Not the same thing.
[00:27:00.009 --> 00:27:18.341]  Now, you know, we may have differing religions, different people listen to this show, but one thing is kind of common to them is that some kind of consciousness, soul, whatever you want to call it, is apart from the body and leaves the body at what we call death.
[00:27:18.341 --> 00:27:24.265]  Therefore, the body and the soul, the consciousness, whatever you want to call it, are not the same thing.
[00:27:25.601 --> 00:27:35.204]  The idea of the conspiracy, the very bottom line of the conspiracy, is to disconnect those higher levels of awareness from what is a computer, the body.
[00:27:35.204 --> 00:27:40.166]  The body is a biological computer, and it ticks every single box of that.
[00:27:40.166 --> 00:27:50.510]  And what I mean by biological is it's not like a desktop computer where you put data in and you press a button and you know exactly what it's going to do because it's programmed to do that, although we're getting more and more like that.
[00:27:50.510 --> 00:27:53.811]  A biological computer means it has the ability to think in a sense,
[00:27:56.430 --> 00:28:03.952]  What's happening in the body and reacting to it in the circumstances that it faces.
[00:28:03.952 --> 00:28:17.195]  The idea of the conspiracy is to pull people's sense of awareness, the point from which they observe the world from consciousness, which is not in this world, it is observing and experiencing this
[00:28:22.495 --> 00:28:23.055]  We're good to go.
[00:28:51.030 --> 00:29:00.024]  More and more, I mean, I've always known this concept to be true, you know, the scientists and mind warfare experts say it themselves, but now I'm consciously really realizing it.
[00:29:00.024 --> 00:29:00.424]  Stay with us.
[00:29:01.769 --> 00:29:07.631]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:29:07.631 --> 00:29:08.931]  Inner Health Botanicals.
[00:29:08.931 --> 00:29:13.192]  This company produces the highest quality superfood around, called Inner Food.
[00:29:13.192 --> 00:29:15.053]  My wife just loves the stuff.
[00:29:15.053 --> 00:29:21.375]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:29:22.495 --> 00:29:25.377]  Inner Food is loaded with 20 great organic ingredients.
[00:29:25.377 --> 00:29:27.118]  No fillers, no sweeteners.
[00:29:27.118 --> 00:29:30.119]  It would be impossible to blend this up for a better price.
[00:29:30.119 --> 00:29:31.840]  And their formula really works.
[00:29:31.840 --> 00:29:34.642]  This is the real thing for the great health you need.
[00:29:34.642 --> 00:29:36.142]  Try the NutriCafe.
[00:29:36.142 --> 00:29:40.905]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:29:40.905 --> 00:29:43.326]  A truly healthy coffee that tastes great.
[00:29:43.326 --> 00:29:45.788]  And take it from me folks, it really does taste great.
[00:29:45.788 --> 00:29:47.889]  Don't forget to try their other great products.
[00:29:47.889 --> 00:29:49.470]  Go to www.
[00:29:58.837 --> 00:30:07.104]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:30:07.104 --> 00:30:10.827]  Number one, new climate legislation could easily double or triple your electric bill.
[00:30:11.127 --> 00:30:11.807]  Number 2.
[00:30:11.807 --> 00:30:17.030]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:30:17.030 --> 00:30:17.670]  It's true.
