[00:00:12.599 --> 00:00:14.121]  Or call 888-766-6066.
[00:06:02.538 --> 00:06:05.240]  Order online at GetTheTea.com.
[00:06:05.480 --> 00:06:06.081]  That's Get.
[00:06:06.101 --> 00:06:06.741]  The.
[00:06:07.001 --> 00:06:07.222]  Tea.
[00:06:08.062 --> 00:06:08.822]  Or call us at 928-308-0408.
[00:06:08.842 --> 00:06:09.082]  Again, 928-308-0408.
[00:06:09.102 --> 00:06:13.004]  No fear, no panic, just drink in the protection of Life Change Tea.
[00:06:43.776 --> 00:06:45.157]  He stands for truth.
[00:06:46.538 --> 00:06:48.400]  He stands for justice.
[00:06:49.761 --> 00:06:51.342]  He stands for what's right.
[00:06:52.183 --> 00:06:54.545]  This is the Alex Jones Show.
[00:06:55.485 --> 00:06:58.488]  Call Alex now, toll free at 877-590-5525.
[00:06:58.608 --> 00:07:00.930]  Now live from Austin, Texas.
[00:07:07.054 --> 00:07:14.779]  Here's Alex Jones.
[00:07:14.799 --> 00:07:15.780]  We are live.
[00:07:15.820 --> 00:07:17.541]  Thank you so much for joining us.
[00:07:17.581 --> 00:07:18.061]  It is the 23rd day.
[00:07:18.081 --> 00:07:20.403]  It is the third day of May 2009.
[00:07:20.463 --> 00:07:23.765]  We're going to be live here for the next two hours.
[00:07:31.175 --> 00:07:59.231]  And what has the New World Order, Global Crime Syndicate, been up to while they've been distracting and diverting the public with what all the evidence indicates is a complete and total psy-op, psychological warfare operation against the people of the planet to distract the planet from all the big decisions that are being made, the final haggling and the formation of world government between different governments and private interest and power players,
[00:08:00.131 --> 00:08:14.274]  The attempt in the United States to pass the global carbon tax, hundreds and hundreds of taxes to regulate every facet of our lives, to openly and publicly be paid to private banking families, Al Gore, you name it.
[00:08:14.794 --> 00:08:16.855]  Republicans are involved, Democrats are involved.
[00:08:17.475 --> 00:08:21.416]  There are three climate change lobbyists, global warming lobbyists.
[00:08:21.536 --> 00:08:23.956]  They're now changing to the term climate change.
[00:08:24.517 --> 00:08:26.237]  A White House memo just got leaked.
[00:08:26.863 --> 00:08:29.844]  I could already tell you months ago they were changing their terms, but we'll go over it.
[00:08:29.904 --> 00:08:31.144]  In fact, on record, I've said that.
[00:08:32.464 --> 00:08:36.565]  So they're passing this new tax to micromanage every facet of your life.
[00:08:37.125 --> 00:08:42.006]  It will all be selectively enforced so big globalist corporations don't have to follow any of these rules.
[00:08:42.026 --> 00:08:56.108]  This is meant to shut you down so they can turn the vicious, parasitic, blood-sucking government bureaucrats and control freaks and all the dumbed-down people they've created who can't get a real job in the real economy to come literally suck off the rest of us
[00:08:56.648 --> 00:08:59.871]  That's what's being set up, so just a total implosion of society.
[00:09:00.671 --> 00:09:03.874]  They're busy trying to pass amnesty bills for total open borders.
[00:09:04.494 --> 00:09:12.300]  They're busy Obama announcing that he'll continue the torture, continue the secret arrest, continue secret military tribunals for foreigners and U.S.
[00:09:12.340 --> 00:09:16.023]  citizens, expanding the wars, Israel getting ready to attack Iran.
[00:09:18.311 --> 00:09:20.732]  Massive war being geared up for in Pakistan.
[00:09:20.912 --> 00:09:23.954]  All of this is going on, but the average person isn't aware.
[00:09:23.994 --> 00:09:25.735]  They're busy wringing their hands.
[00:09:25.815 --> 00:09:30.557]  The bird flu, the swine flu, the deadly flu.
[00:09:31.177 --> 00:09:31.978]  It's all over.
[00:09:32.038 --> 00:09:32.878]  Give me shots.
[00:09:32.938 --> 00:09:39.841]  And here in Austin, Texas and around the country, they've set up emergency tent cities for influenza at the Dell Children's Center.
[00:09:39.881 --> 00:09:43.363]  And people are showing up in thousands all over the country and the world.
[00:09:44.083 --> 00:09:50.128]  One third of people didn't show up at work last week in England, fear-mongering, wearing masks.
[00:09:50.168 --> 00:09:53.751]  Don't worry, the government's there.
[00:09:53.911 --> 00:09:55.192]  It's got the shots.
[00:09:55.996 --> 00:10:09.664]  So now it's gone from a form of Obama, Obama to give me flu shots, give me type of flu, antiviral, healthy, ah, oh please, oh God!
[00:10:10.164 --> 00:10:11.945]  Only martial law will save us!
[00:10:12.326 --> 00:10:14.867]  Only forced inoculations will save us!
[00:10:14.947 --> 00:10:15.607]  Please!
[00:10:16.268 --> 00:10:23.152]  Only, only, only locking down cities and arresting anyone that doesn't take the injections will save us!
[00:10:25.493 --> 00:10:29.578]  So I do want to take a lot of calls on this issue.
[00:10:38.214 --> 00:10:42.376]  The swine bird slash human flu that is clearly engineered.
[00:10:42.876 --> 00:10:43.996]  I mean, it's all over.
[00:10:44.137 --> 00:10:56.702]  Japanese and Chinese and British and German news and Mexican news and Russian news and all these scientists coming out and saying, this thing is clearly engineered, it has all the genetic markers, it came out of nowhere.
[00:10:57.142 --> 00:11:06.206]  That's why your grassroots scientists and virologists and health workers who aren't part of the fear-mongering, who aren't part of the staged fear-mongering that the Feds and the Mexican Feds put out,
[00:11:06.846 --> 00:11:09.628]  That's why they were so concerned up front and bought the Fed's line.
[00:11:09.949 --> 00:11:17.095]  Because this thing... See, viruses... And Obama, by the way, gave a speech Saturday, a little four-minute blurb from the White House YouTube room.
[00:11:17.455 --> 00:11:19.757]  This guy's giving like 50 speeches a day, more than I do.
[00:11:20.441 --> 00:11:27.828]  This guy's more of a New World Order info-warrior than I am a liberty and freedom info-warrior.
[00:11:27.868 --> 00:11:37.298]  It's hard to counter the endless spew coming out of that thespian actor's mouth, that front man for the real shadow government NORTHCOM system.
[00:11:38.579 --> 00:11:40.821]  But Obama came out and said, why are we so scared about this?
[00:11:40.861 --> 00:11:42.223]  Now, it may turn out to be nothing.
[00:11:43.430 --> 00:11:50.996]  But it doesn't matter, I'm going to spend billions getting ready for the next flu, and it's going to be deadly, just what Napolitano, head of Homeland Security, said last Sunday, you know, seven, eight days ago.
[00:11:52.257 --> 00:11:59.163]  He said, because this thing's out of the blue, it has no pedigree, it has no history, it has no other virus it's really connected to.
[00:11:59.203 --> 00:12:03.667]  You see, of the thousands of flu viruses and different mutations that
[00:12:05.396 --> 00:12:10.479]  Scientists find each year in universities and private labs and vaccine makers, the good, the bad and the ugly.
[00:12:10.519 --> 00:12:17.544]  It runs the gamut from good doctors and good companies to bad companies and government and the black op folks and the people bringing you eugenics.
[00:12:19.750 --> 00:12:37.645]  But, you see this totally new virus appearing wrong time of year, in the wrong hemisphere, never happens, and the thing is a never-before-seen mix, with different parts of pig, different parts of bird, different parts of human, and some weird insect hanging off of the end of it, they're now saying.
[00:12:38.326 --> 00:12:46.472]  All of this going on, and it's rapidly mutating, and it spreads really fast, and it infects 40-50% of people that come in contact with it, some of the 10,
[00:12:47.715 --> 00:12:55.216]  The 15% that regular flus have, even bad mutations, that's why so many scientists and virologists were so concerned.
[00:12:56.710 --> 00:12:58.632]  Because the Mexican government and the U.S.
[00:12:58.672 --> 00:13:02.816]  government and the World Health Organization, the U.N., were out saying that this could be it.
[00:13:03.176 --> 00:13:04.457]  Tens of millions could die.
[00:13:04.497 --> 00:13:06.339]  The greatest threat ever facing humanity.
[00:13:06.399 --> 00:13:08.381]  The greatest public health threat in 90 years.
[00:13:08.621 --> 00:13:10.062]  Since the swine flu outbreak of 1918.
[00:13:10.723 --> 00:13:12.064]  Those were all the headlines.
[00:13:12.264 --> 00:13:12.665]  It's over!
[00:13:12.825 --> 00:13:13.426]  Run for the hills!
[00:13:13.766 --> 00:13:13.886]  Ah!
[00:13:13.906 --> 00:13:14.266]  Ah!
[00:13:14.286 --> 00:13:14.386]  Ah!
[00:13:14.747 --> 00:13:15.307]  Ah!
[00:13:15.928 --> 00:13:18.270]  And so we got on air and said, well folks, it looks like a hoax.
[00:13:18.310 --> 00:13:20.172]  I said, last Saturday, last Sunday, right to the week.
[00:13:20.192 --> 00:13:21.173]  I said, looks like a hoax.
[00:13:22.438 --> 00:13:25.961]  And we talked to doctors like Sherry Tenpenny who thought it was overblown.
[00:13:26.001 --> 00:13:28.884]  We talked to other people who thought it was basically the end of the world.
[00:13:29.685 --> 00:13:30.746]  Like the media was hyping.
[00:13:30.786 --> 00:13:39.154]  But the issue here is that they've used this as a dry run to bring in the infrastructure of tyranny and the police state.
[00:13:39.174 --> 00:13:41.776]  And they have CBS News, Fox, CNN, everybody.
[00:13:41.796 --> 00:13:42.597]  I'm sure you've seen it.
[00:13:43.498 --> 00:13:45.240]  We played clip after clip this week saying
[00:13:46.260 --> 00:13:49.502]  Well, it's sad, but martial law is the only thing that will save us under Level 6.
[00:13:50.683 --> 00:13:53.865]  And we are going to have to enforce inoculations of those who refuse to take it.
[00:13:54.765 --> 00:13:57.807]  And if you refuse, we're going to forcibly inject you and then put you in a camp.
[00:13:59.248 --> 00:14:00.129]  So that was introduced.
[00:14:00.169 --> 00:14:02.110]  And, well, we've got to do this to save humanity.
[00:14:02.530 --> 00:14:04.111]  We've got to do this to save the Earth.
[00:14:04.491 --> 00:14:06.293]  If we don't, it's going to be the end of the world.
[00:14:07.233 --> 00:14:08.954]  And so that's introduced into your mind.
[00:14:08.994 --> 00:14:14.638]  And CBS News came out with the executive orders and said, yes, under executive orders, forced inoculation.
[00:14:17.566 --> 00:14:37.222]  You go to the camp, and then they say, oh, well, maybe this isn't really bad, but the UN, World Health Organization, Obama, the Republicans, all of them are saying, even if this isn't deadly and a false alarm, it's getting us ready for another pandemic that we know is gonna hit, and that we know is gonna be deadly, and when it happens, we're gonna have to basically forcibly lock down the cities and inoculate you.
[00:14:37.242 --> 00:14:41.085]  I mean, here's the cover of the Wall Street Journal yesterday.
[00:14:42.043 --> 00:14:44.004]  The age of pandemics!
[00:14:44.684 --> 00:14:51.086]  And it shows Chinese police in masks and quarantining hotels and they're jerking people off planes in the U.S.
[00:14:51.146 --> 00:14:58.609]  in hazmat suits like it's, like it's, you know, the beginning of the movie 28 Days Later and it's just, I mean, it's terrible.
[00:14:58.649 --> 00:15:01.390]  It's like this stuff is airborne Ebola, they're saying, but it's not.
[00:15:01.970 --> 00:15:04.814]  Turns out it's a very mild flu, though it is engineered.
[00:15:05.354 --> 00:15:20.451]  And now the concern is it can mutate into something harmless or mutate into something even more deadly because it is airborne and unknown to... Again, all these other flus have a pedigree, like a breed of dog, like a Boston Terrier or a Beagle.
[00:15:20.992 --> 00:15:21.953]  They have a pedigree.
[00:15:22.828 --> 00:15:26.071]  This virus is manufactured, and you say that you get attacked.
[00:15:26.111 --> 00:15:29.513]  I've been attacked by MSNBC on TV and in print.
[00:15:29.873 --> 00:15:32.515]  I've been attacked on TV by CNN and in print.
[00:15:32.856 --> 00:15:42.603]  I've been attacked by at least, it's got to be, I don't know, I didn't count them up, more than seven or eight other mainstream news articles I saw, and I'm not even looking for these anymore.
[00:15:42.643 --> 00:15:43.424]  I get attacked so much.
[00:15:43.804 --> 00:15:49.929]  They would say the crazy website PrisonPlanet.com said this could be a engineered
[00:15:51.400 --> 00:15:51.880]  Virus.
[00:15:52.060 --> 00:16:01.284]  Well, I mean, and you didn't mention that I was linking to Japanese and Russian and British scientists and top virologists saying this thing is totally novel, looks like it was engineered.
[00:16:02.684 --> 00:16:05.765]  No, you just attacked me and said I was a kook.
[00:16:07.166 --> 00:16:10.967]  But then I guess they did actually link to the article that had all the evidence, but it's still bizarre.
[00:16:11.908 --> 00:16:15.269]  Now listen, what has this served as a distraction for?
[00:16:16.505 --> 00:16:19.326]  Oh, let me tell you, I've now finally read the entire treaty.
[00:16:19.406 --> 00:16:21.047]  I have to admit, I've read parts of it in the past.
[00:16:21.567 --> 00:16:22.708]  It's worse than we thought.
[00:16:22.728 --> 00:16:29.651]  It would essentially ban all firearms, ban reloading as explosives manufacture, give all your records to the UN.
[00:16:29.971 --> 00:16:30.931]  Yes, it's official.
[00:16:30.951 --> 00:16:32.692]  When we get back, they're coming after your guns.
[00:16:33.732 --> 00:16:36.895]  Before you throw away your used batteries, you need to listen to this.
[00:16:37.256 --> 00:16:38.997]  Now, going green can save money.
[00:16:39.178 --> 00:16:44.523]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:16:44.743 --> 00:16:52.431]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:16:52.731 --> 00:17:05.416]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[00:17:05.556 --> 00:17:10.438]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[00:17:10.738 --> 00:17:15.940]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[00:17:16.260 --> 00:17:16.980]  Save your money.
[00:17:17.381 --> 00:17:18.321]  Save the environment.
[00:17:18.701 --> 00:17:21.525]  Visit us online at r-charge.com.
[00:17:21.705 --> 00:17:23.807]  That's r-charge.com.
[00:17:23.948 --> 00:17:24.608]  Or call us at 989-637-4179.
[00:17:24.709 --> 00:17:25.149]  That's 989-637-4179.
[00:17:25.189 --> 00:17:26.491]  Be a part of the revolution today!
[00:17:34.122 --> 00:17:36.823]  Are you tired of losing your hard-earned savings in retirement?
[00:17:37.224 --> 00:17:43.787]  Does the continued loss of purchasing power through the hidden tax of inflation brought on by trillions of dollars in government bailouts bother you?
[00:17:44.247 --> 00:17:48.529]  Then please let me, Duane Daly, with Midas Resources, help you to protect what you have left.
[00:17:49.089 --> 00:17:58.614]  Call me at 800-686-2237 extension 115 and I will explain to you how to retain your wealth and purchasing power now and in the future with gold and silver.
[00:17:59.054 --> 00:18:08.759]  Gold and silver have been a form of currency for 6,000 years compared to our present fiat currency which has only been in existence for 38 years and failing fast.
[00:18:09.099 --> 00:18:16.463]  Call me Dwayne Dalley at 800-686-2237 extension 115 to start your protection of wealth today.
[00:18:16.483 --> 00:18:19.905]  I will custom fit the protection package to your personal needs.
[00:18:20.445 --> 00:18:22.706]  No amount is too small, so start today.
[00:18:23.186 --> 00:18:31.951]  Call Duane Daly with Midas Resources at 800-686-2237 extension 115 for your gold and silver protection portfolio.
[00:18:34.252 --> 00:18:37.113]  Hello, this is Tom with HempUSA.org.
[00:18:37.613 --> 00:18:44.777]  Most of you have been hearing my ads for the past few months, and it's no secret that the economy is failing and prices are rising in all sectors.
[00:18:45.365 --> 00:18:52.592]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family, the time to act is now.
[00:18:53.173 --> 00:18:59.459]  At hempusa.org, we still believe that food will be your greatest asset in these trying times ahead.
[00:19:00.083 --> 00:19:06.587]  Please call 1-908-691-2608 and see what our powder, seeds, and oil can do for you.
[00:19:06.867 --> 00:19:09.168]  Beware, be smart, and be ready.
[00:19:09.669 --> 00:19:15.492]  Call 908-691-2608 or visit us at hempusa.org.
[00:19:16.032 --> 00:19:21.836]  Families need this high-quality natural food source for its low price and long storage shelf life.
[00:19:22.356 --> 00:19:25.920]  This incredible food source should be a staple part of your diet every day.
[00:19:26.320 --> 00:19:28.202]  Call 908-691-2608 or visit us at hempusa.org today!
[00:19:33.317 --> 00:19:38.419]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:19:38.719 --> 00:19:47.002]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:19:47.282 --> 00:19:50.564]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[00:19:50.844 --> 00:19:53.745]  Do your herbal remedies have unwanted additives and fillers?
[00:19:54.065 --> 00:19:56.187]  Have you ever tested your body's pH level?
[00:19:56.568 --> 00:19:59.290]  Make a change to organic health and beauty products.
[00:19:59.551 --> 00:20:02.373]  Visit 2bnatural.com and order today!
[00:20:02.954 --> 00:20:11.583]  2bnatural.com carries exclusive all-natural chemical-free skin care, hair care, whole food vitamins, herbal remedies, and alkaline body balance supplements.
[00:20:11.943 --> 00:20:13.844]  Visit 2bnatural.com.
[00:20:14.044 --> 00:20:16.645]  That's T-O-B-N-A-T-U-R-A-L.com.
[00:20:17.165 --> 00:20:18.426]  2bnatural.com.
[00:20:18.726 --> 00:20:23.108]  Use coupon code RADIO for 15% discount and free alkaline food chart.
[00:20:23.308 --> 00:20:23.568]  Call 1-888-417-1375.
[00:20:23.588 --> 00:20:25.509]  That's 1-888-417-1375 to order or request your free catalog.
[00:20:34.142 --> 00:20:37.224]  Are you tired of searching for great talk radio?
[00:20:37.824 --> 00:20:38.784]  Search no more.
[00:20:39.304 --> 00:20:42.346]  We are the GCN Radio Network.
[00:20:44.226 --> 00:20:52.450]  That's right, we are shouting right back at the devil, the New World Order.
[00:21:07.769 --> 00:21:15.634]  You better start standing up and doing more than shouting at these private bankers.
[00:21:15.694 --> 00:21:17.675]  By the way, I meant to print it.
[00:21:18.516 --> 00:21:24.959]  I was on thomas.loc.gov and thought, hey, why don't I check out that Ron Paul bill to audit the private Federal Reserve.
[00:21:26.340 --> 00:21:30.042]  And I want to say it had 116 sponsors.
[00:21:31.083 --> 00:21:32.204]  I'll pull it up during the break.
[00:21:32.244 --> 00:21:33.044]  And I hit print.
[00:21:33.064 --> 00:21:34.285]  It didn't print when I left my house.
[00:21:35.205 --> 00:21:35.925]  I've got to get a new printer.
[00:21:35.945 --> 00:21:37.245]  That thing is really doing weird stuff.
[00:21:37.906 --> 00:21:40.186]  People are like, why don't you just surf the internet while you're on air?
[00:21:40.206 --> 00:21:40.986]  Well, that would take time.
[00:21:41.006 --> 00:21:43.267]  You've got to have them all printed out in the stack of stuff.
[00:21:43.987 --> 00:21:45.847]  Well, I think Limbaugh has a stack of stuff.
[00:21:46.307 --> 00:21:48.168]  With the internet, you can't be scanning around.
[00:21:48.208 --> 00:21:50.888]  Even if you have it bookmarked, you know computers freeze up and do stuff.
[00:21:50.908 --> 00:21:52.549]  You've got to have it in your hand.
[00:21:55.629 --> 00:22:00.971]  Besides, I've actually got to go into thomas.loc.gov and hear on the spot.
[00:22:01.231 --> 00:22:03.131]  My brain works so good until I'm on the spot on air.
[00:22:04.124 --> 00:22:04.604]  What is that?
[00:22:04.624 --> 00:22:06.265]  HR 1206, I think?
[00:22:07.265 --> 00:22:11.087]  Yeah, that's the bill number.
[00:22:11.107 --> 00:22:11.087]  1207!
[00:22:12.208 --> 00:22:12.788]  There you go.
[00:22:12.868 --> 00:22:13.148]  Good.
[00:22:13.208 --> 00:22:13.828]  Well, I'll pull it up.
[00:22:13.848 --> 00:22:14.168]  Doesn't matter.
[00:22:14.389 --> 00:22:15.329]  Some good news there.
[00:22:15.429 --> 00:22:19.191]  So, this whole swine flu thing, and it's not swine flu.
[00:22:19.471 --> 00:22:20.431]  Pigs don't have it.
[00:22:20.751 --> 00:22:21.752]  Pigs aren't spreading it.
[00:22:21.792 --> 00:22:22.872]  That's been confirmed.
[00:22:23.653 --> 00:22:25.834]  The governments have admitted that from day one.
[00:22:27.699 --> 00:22:32.560]  Hog Association here in the United States, whatever its name is, they've said, look, our pigs aren't dying.
[00:22:33.040 --> 00:22:34.420]  That is not the case.
[00:22:34.600 --> 00:22:36.021]  China's killing a bunch of pigs.
[00:22:36.601 --> 00:22:38.001]  Middle East is killing the pigs.
[00:22:38.081 --> 00:22:39.422]  Egypt's killing all its pigs.
[00:22:40.922 --> 00:22:41.622]  It's ridiculous.
[00:22:41.662 --> 00:22:45.343]  This is so people don't think, wait a minute, this came from a lab.
[00:22:45.403 --> 00:22:46.563]  Where did this virus come from?
[00:22:46.843 --> 00:22:50.744]  That's why day one the establishment says, oh my gosh, it is a pig virus.
[00:22:52.748 --> 00:22:56.089]  And then they get to sell billions and billions of dollars of vaccines.
[00:22:56.129 --> 00:22:58.529]  They get to sell billions and billions of dollars of Tamiflu.
[00:22:58.889 --> 00:23:09.391]  Right here in Austin, Texas, Tuesday morning, they had big 18-wheelers full of Tamiflu pull into a facility down by the old airport being guarded by police, 20-plus police cars.
[00:23:09.931 --> 00:23:10.992]  We got some footage of it.
[00:23:11.252 --> 00:23:12.512]  Everybody out there freaking out.
[00:23:12.552 --> 00:23:17.793]  They've set up emergency tents at the Children's Hospital outside for pandemics.
[00:23:19.109 --> 00:23:23.452]  They've been fear-mongering behind the scenes, telling the health authorities at the state level, we've confirmed this.
[00:23:23.853 --> 00:23:24.833]  Oh, we're really at level 6.
[00:23:25.994 --> 00:23:27.415]  We don't want to panic the public.
[00:23:27.795 --> 00:23:28.776]  Oh, it's so deadly.
[00:23:28.796 --> 00:23:31.078]  Oh, there have been hundreds of deaths in Mexico from it.
[00:23:31.618 --> 00:23:35.021]  Meanwhile, 30-plus thousand deaths a year in the U.S.
[00:23:35.421 --> 00:23:37.382]  Tens of thousands of deaths in Mexico every year.
[00:23:37.803 --> 00:23:40.945]  Hundreds and hundreds of thousands, on average 200-plus thousand a year.
[00:23:41.245 --> 00:23:46.589]  Worldwide, from normal flus, generally old folks or folks that get dehydrated,
[00:23:47.421 --> 00:23:48.682]  You know, it can kill you.
[00:23:49.543 --> 00:23:50.624]  Especially if you live alone.
[00:23:50.664 --> 00:23:51.905]  It's usually folks that live alone.
[00:23:52.506 --> 00:23:55.568]  They don't get out of bed for three days, they don't drink water, and they die.
[00:23:55.588 --> 00:23:57.710]  Well, cold can kill you.
[00:23:57.730 --> 00:23:59.231]  Pneumonia can kill you.
[00:24:01.093 --> 00:24:02.254]  No Americans have died.
[00:24:02.434 --> 00:24:05.497]  One person who was sick in Mexico City got brought up here to die.
[00:24:05.517 --> 00:24:09.080]  23-month-old toddler, health problems his whole poor life.
[00:24:09.120 --> 00:24:09.981]  Sorry for the child.
[00:24:10.922 --> 00:24:14.365]  But he had poor health his whole life, and it's very sad.
[00:24:15.987 --> 00:24:19.828]  But the issue here is, why then did the media and the government hype this?
[00:24:20.828 --> 00:24:35.571]  They did it because the economy's imploding, Chrysler went under, there's all this news, it was coming to a head, that Obama's expanding the wars, continuing the torture, continuing the secret arrest, moving people from Guantanamo to secret camps overseas and building new ones there in the U.S.
[00:24:35.631 --> 00:24:37.452]  and Wyoming of all places.
