[00:00:04.821 --> 00:00:05.461]  It is Monday.
[00:05:23.134 --> 00:05:27.198]  This book will work for anyone, rich, poor, middle class, it doesn't matter.
[00:05:27.198 --> 00:05:32.582]  This book truly has the information that can make you wealthy and it will tell you how to protect your wealth as well.
[00:05:32.802 --> 00:05:34.884]  You know the government isn't looking out for you.
[00:05:34.884 --> 00:05:36.645]  You need to look out for yourself.
[00:05:36.645 --> 00:05:39.167]  The economy is bad, but it's probably going to get worse.
[00:05:39.167 --> 00:05:43.910]  You must prepare and make sure you are able to financially take care of yourself and your loved ones.
[00:05:43.910 --> 00:05:47.613]  Go to Here'sWhatYouDo.net and start today.
[00:05:47.613 --> 00:05:50.735]  Again, it is Here'sWhatYouDo.net.
[00:05:50.735 --> 00:05:52.636]  That's Here'sWhatYouDo.net.
[00:05:52.636 --> 00:05:54.758]  One last time, it's Here'sWhatYouDo.net.
[00:06:00.928 --> 00:06:02.950]  May I have everybody's attention, please?
[00:06:02.950 --> 00:06:05.492]  I've come with a message of information.
[00:06:05.492 --> 00:06:08.074]  9-11 was an inside job.
[00:06:08.074 --> 00:06:09.315]  Do you like being a puppet, sir?
[00:06:09.315 --> 00:06:11.036]  Do you like being a puppet for the New World Order?
[00:06:11.036 --> 00:06:13.918]  How do the American people know that 9-11 was a stage?
[00:06:13.918 --> 00:06:17.561]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:06:25.953 --> 00:06:26.775]  An inside job!
[00:06:26.775 --> 00:06:27.356]  An inside job!
[00:06:35.879 --> 00:06:38.501]  How dare you?
[00:06:38.501 --> 00:06:43.385]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:06:43.385 --> 00:06:46.287]  All hell is breaking loose on 6th Avenue.
[00:06:46.287 --> 00:06:52.492]  And if the government has not told the truth, in five years we will be here on the 10th anniversary of... Truth Rising.
[00:06:52.492 --> 00:06:55.594]  Download the film at prisonplanet.tv right now.
[00:06:55.594 --> 00:06:57.856]  Or get the DVD at infowars.com.
[00:06:57.856 --> 00:07:00.338]  It's now time to take the revolution to the next level.
[00:07:02.563 --> 00:07:04.565]  Remain in your houses.
[00:07:04.565 --> 00:07:10.350]  The President of the United States has declared martial law under Executive Order 11004.
[00:07:10.350 --> 00:07:11.712]  Will they do it?
[00:07:11.712 --> 00:07:14.314]  Will they pull the trigger this time?
[00:07:14.314 --> 00:07:20.280]  We all pray they stand down, but an engineered crisis seems more likely with each passing day.
[00:07:20.780 --> 00:07:22.961]  Think it can't happen here?
[00:07:22.961 --> 00:07:27.243]  Executive Order 10-990 locks down all highways.
[00:07:27.243 --> 00:07:32.125]  Executive Order 10-995 seizes control of all media outlets.
[00:07:32.125 --> 00:07:37.027]  Executive Order 10-998 controls all farms and food supplies.
[00:07:37.027 --> 00:07:41.849]  All these executive orders are now cocked, loaded, and waiting for the right crisis.
[00:07:42.771 --> 00:07:51.197]  So if you're worried about the possibility of martial law here in America, or have questions about how to survive it, go to MartialLawSurvival.com.
[00:07:51.197 --> 00:07:53.699]  That's MartialLawSurvival.com.
[00:07:53.699 --> 00:07:56.761]  Go to MartialLawSurvival.com right now.
[00:07:56.761 --> 00:07:59.683]  You must remain in your houses until your bracelets are scanned.
[00:08:01.471 --> 00:08:21.557]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:21.557 --> 00:08:25.399]  Kurt Nemo and Paul Watson will both join us.
[00:08:25.399 --> 00:08:28.680]  Kurt Nemo of InfoWars.com, Paul Watson of PrisonPlanet.com.
[00:08:30.441 --> 00:08:34.463]  Kind of a roundtable discussion coming up in the second hour today.
[00:08:34.463 --> 00:08:38.586]  We'll also open the phones up on the situation with Iran.
[00:08:38.586 --> 00:08:42.648]  Let's go ahead and get Ray McGovern back on too.
[00:08:42.648 --> 00:08:44.089]  Let's line him up in the next few days.
[00:08:44.089 --> 00:08:50.953]  And we'll go over all of that throughout the week.
[00:08:50.953 --> 00:08:56.116]  Attack on Iran appears imminent.
[00:08:56.116 --> 00:08:59.358]  And the media keeps spinning it that they have secret enrichment plants.
[00:09:01.064 --> 00:09:08.128]  It takes, again, thousands and thousands and thousands of centrifuges, scores of plants to do this.
[00:09:08.128 --> 00:09:11.629]  They've publicly admitted they've built plants all over the country.
[00:09:11.629 --> 00:09:16.692]  The inspectors admit they're the type that do not create weapons-level fissile material.
[00:09:16.692 --> 00:09:18.693]  But none of the facts bother the public.
[00:09:19.741 --> 00:09:29.623]  Remember, they told you that Iraq had centrifuges and had a nuke and yellow cake from Niger, Africa, and it just goes on and on.
[00:09:29.623 --> 00:09:34.804]  All lies, all planted.
[00:09:34.804 --> 00:09:38.185]  Is this going to be the big October surprise?
[00:09:38.185 --> 00:09:43.626]  The November, the December surprise?
[00:09:43.626 --> 00:09:46.307]  Israel's saying they're probably going to go ahead and hit Iran.
[00:09:47.654 --> 00:09:53.976]  We're getting bizarre comments from Zbigniew Brzezinski about shooting down Israeli aircraft if they try it.
[00:09:53.976 --> 00:10:02.979]  Giant stack of very, very important news, and this affects all of us that live on this planet, because if Iran is struck, it is not going to go like Iraq.
[00:10:02.979 --> 00:10:09.961]  All of the experts on both sides of the fence, pro-war and anti-war, come out with the same answers.
[00:10:09.961 --> 00:10:14.743]  We may not have to be too worried about staged terror attacks,
[00:10:16.445 --> 00:10:20.606]  If Iran is struck, they will strike back, and they're saying they are.
[00:10:20.606 --> 00:10:26.728]  And they do have real sleeper teams all over the Western world, especially Europe.
[00:10:26.728 --> 00:10:28.548]  And it is not going to be pretty.
[00:10:28.548 --> 00:10:31.149]  Get ready for scores of U.S.
[00:10:31.149 --> 00:10:37.310]  military bases to have giant truck bombs full of plastic explosive driven into them.
[00:10:37.310 --> 00:10:39.071]  Just get ready for hell.
[00:10:41.167 --> 00:10:51.655]  And what do you expect Iran to do when the biggest military on earth and the fourth most powerful military on earth, the Israelis, start blowing the hell out of them?
[00:10:51.655 --> 00:10:53.657]  And look, let's get one thing straight.
[00:10:53.657 --> 00:10:56.820]  I'm just as tribal as the next person.
[00:10:56.820 --> 00:10:57.600]  At a certain level,
[00:11:00.441 --> 00:11:03.982]  I'm a lot more worried about my family than I am the Iranians and their poor people.
[00:11:03.982 --> 00:11:13.244]  I mean, I feel for the 1,300,000 dead Iraqis from the last six and a half years of bombardment and siege and occupation and mass murder.
[00:11:13.244 --> 00:11:24.526]  They've been under siege for 18 years total, almost 19 years, started in 1991, late 1990 with Desert Shield and Desert Storm.
[00:11:24.526 --> 00:11:28.887]  But this is just terrible.
[00:11:31.064 --> 00:11:35.587]  More and more I'm just speechless.
[00:11:35.587 --> 00:11:38.829]  And I think about all the things that have been done to Iran.
[00:11:38.829 --> 00:11:46.395]  Iran that invented modern mathematics, that invented our alphabet that we use.
[00:11:46.395 --> 00:11:54.140]  Our alphabet is the Iranian alphabet, not the Roman.
[00:11:54.140 --> 00:11:55.001]  They're good people.
[00:11:56.041 --> 00:11:58.162]  It's a first-world nation.
[00:11:58.162 --> 00:12:04.945]  They were pro-USA, anti-communist, anti-Russian.
[00:12:04.945 --> 00:12:08.826]  Mohamed Mozadek was Time Magazine Man of the Year.
[00:12:08.826 --> 00:12:15.989]  But he would not let British Petroleum, formerly Anglo-American Oil, have a total monopoly.
[00:12:15.989 --> 00:12:19.831]  He said, we want 25% of the money for our people.
[00:12:21.058 --> 00:12:35.731]  And so they staged with the CIA and the MI6, British Intelligence, Her Majesty's Secret Service, terror attacks in 1953, blamed it on Mosaddegh, said he was blowing up mosques because he was anti-Muslim extremist.
[00:12:35.731 --> 00:12:40.676]  Of course, he wasn't blowing up mosques, and the CIA has now declassified this in 1999.
[00:12:40.676 --> 00:12:45.641]  It was already known by historians, but declassified 10 years ago.
[00:12:47.403 --> 00:12:52.307]  And they killed a lot of people and shot up crowds and said that his police were doing it.
[00:12:52.307 --> 00:12:56.090]  And then they took his ministers and chopped their heads off and put him in prison for the rest of his life.
[00:12:56.090 --> 00:12:58.832]  I covered that in Terror Storm.
[00:12:58.832 --> 00:13:10.801]  And the West is constantly bombing their ships, their battleships routinely, blowing up their plants, bombing them, shooting down their aircraft, shooting down their jumbo jets.
[00:13:10.801 --> 00:13:14.864]  And they've been inside Iran for at least six years staging terror attacks.
[00:13:14.864 --> 00:13:15.925]  That's been declassified.
[00:13:17.108 --> 00:13:18.288]  Trying to overthrow the government.
[00:13:18.288 --> 00:13:22.409]  They've got four different Sunni, Wahhabi, Al-Qaeda groups.
[00:13:22.409 --> 00:13:25.610]  One headed up by the number three in Al-Qaeda, under White House funding.
[00:13:25.610 --> 00:13:29.571]  The White House bragged about this three years ago, staging terror attacks against them.
[00:13:29.571 --> 00:13:38.354]  The government and the media thinks the American people are so stupid that they get on the news and say that Iran is running Al-Qaeda.
[00:13:38.354 --> 00:13:46.736]  Remember two and a half years ago, the President, the puppet President,
[00:13:48.186 --> 00:14:03.362]  Mohammed Karzai of Afghanistan was in the Rose Garden at a press conference with George W. Bush, and Bush said, you've been doing a great job fighting Al-Qaeda, Taliban, and Iran backing both groups.
[00:14:03.362 --> 00:14:10.289]  And Karzai knew that over a billion dollars had been given to him in just the previous year by Iran, and that Iran was Shiite.
[00:14:11.840 --> 00:14:21.788]  And that they were using Iranian secret police, who knew how to track the groups, to go after real Al-Qaeda and arrest them.
[00:14:21.788 --> 00:14:26.712]  Because the West was using Al-Qaeda and Taliban to menace Karzai when he got out of line.
[00:14:26.712 --> 00:14:29.014]  Part of their divide and conquer balkanization scheme.
[00:14:29.014 --> 00:14:31.836]  They don't want a strong president over there, even if he's a puppet.
[00:14:31.836 --> 00:14:35.620]  And he said, Mr. President, I respectfully apologize, but I must correct you.
[00:14:35.620 --> 00:14:39.883]  Iran is our quote, greatest ally fighting Al-Qaeda and the Taliban.
[00:14:39.883 --> 00:14:40.864]  Sir, they are Shiite.
[00:14:43.717 --> 00:14:45.538]  And Bush said, no, you are wrong.
[00:14:45.538 --> 00:14:46.818]  We ought to pull that clip up.
[00:14:46.818 --> 00:14:48.539]  He said, no, you are wrong.
[00:14:48.539 --> 00:14:52.501]  And Karzai literally turned red and shut up.
[00:14:52.501 --> 00:14:58.003]  Then he fell out of favor with the West at that point, even though he was the Unicole executive and was put in power.
[00:14:58.003 --> 00:15:01.765]  They got the pipelines in and the opium flowing.
[00:15:01.765 --> 00:15:07.248]  So all of that went on.
[00:15:07.248 --> 00:15:10.089]  And that just shows how stupid they think the American people are.
[00:15:11.448 --> 00:15:30.754]  Because in Central Asia and in the Middle East, it is as well known that the Shiites are Iranian-based, 20% of Islam, and that the other 80%, roughly, there's another subgroup that's less than 1%, kind of a... Well, that's a side issue.
[00:15:30.754 --> 00:15:33.635]  The point is, is that we want to get technical.
[00:15:33.635 --> 00:15:33.935]  79% are Sunni.
[00:15:41.452 --> 00:15:46.476]  20% are Shiite and 1% are a couple other subgroups.
[00:15:46.476 --> 00:16:10.476]  But that would be like if Mohammed Karzai came to the United States and at the Rose Garden said, John McCain is a Democrat and Barack Obama is a Republican, Bush would correct him and say, no, John McCain's a Republican and Barack Obama's a Democrat.
[00:16:11.650 --> 00:16:17.292]  I mean, that's how ridiculous this is to the Arabs and the Muslims and the Central Asians.
[00:16:17.292 --> 00:16:25.014]  I mean, it's just... It's like saying Superman is Lex Luthor.
[00:16:25.014 --> 00:16:28.875]  Or it's like saying the Dallas Cowboys are the Washington Redskins.
[00:16:28.875 --> 00:16:32.056]  No, they're not!
[00:16:32.056 --> 00:16:38.178]  And the same stuff is going on today, and it's just ridiculous.
[00:16:39.932 --> 00:16:41.713]  And Kurt Nemo is really an expert on this.
[00:16:41.713 --> 00:16:42.613]  He's done deep studies.
[00:16:42.613 --> 00:16:43.173]  He's joining us.
[00:16:43.173 --> 00:16:44.414]  So is Watson.
[00:16:44.414 --> 00:16:57.078]  But he's got a excellent article that he wrote.
[00:16:57.078 --> 00:17:05.041]  And so we're going to be breaking that down coming up in the next hour.
[00:17:05.041 --> 00:17:06.842]  And I want to get into the financial
[00:17:10.794 --> 00:17:13.496]  News as well.
[00:17:13.496 --> 00:17:17.619]  And of course we're going to be covering the flu with Mike Adams coming up in the third and fourth hour.
[00:17:17.619 --> 00:17:20.141]  We'll be taking your calls on that subject as well.
[00:17:20.141 --> 00:17:22.602]  Big new developments on that front.
[00:17:22.602 --> 00:17:25.664]  But here's some of the financial news I've got.
[00:17:25.664 --> 00:17:26.285]  U.S.
[00:17:26.285 --> 00:17:29.507]  must face Armageddon.
[00:17:29.507 --> 00:17:29.847]  U.S.
[00:17:29.847 --> 00:17:33.090]  may face Armageddon if China, Japan don't buy debt.
[00:17:33.090 --> 00:17:39.154]  And they've already been not buying the full offerings of Treasury debt that's being put out every week.
[00:17:40.905 --> 00:17:42.947]  And open announcements of the end of the dollar.
[00:17:42.947 --> 00:17:47.310]  I don't know if the public realize what it means if they devalue the dollar by a third or two-thirds.
[00:17:47.310 --> 00:17:50.713]  They're talking about either one of those options or somewhere in between.
[00:17:50.713 --> 00:17:58.438]  A one-third devaluation will be just so devastating I can't even articulate how bad it is.
[00:17:58.438 --> 00:18:05.644]  A two-thirds is unspeakable and I don't even want to imagine what that's going to do according to the economists we've talked to.
[00:18:05.644 --> 00:18:10.588]  Also CNBC is also reporting the biggest government bailout is yet to come.
[00:18:18.914 --> 00:18:28.246]  So we've got that situation going on as well.
[00:18:28.246 --> 00:18:32.132]  They're reporting the biggest government bailout is yet to come.
[00:18:33.775 --> 00:18:37.979]  Even bigger bailouts, because it's not a bailout, ladies and gentlemen, it's more power.
[00:18:37.979 --> 00:18:39.400]  It's a power grab.
[00:18:39.400 --> 00:18:44.244]  They already gave the private offshore banks unlimited power to steal whatever amount of money they want.
[00:18:44.244 --> 00:18:53.852]  The new bailout, this is not my opinion, we've written big articles on it in the last 10 months, and the only mainstream outlet to really tell the truth is Judge Napolitano on his Fox News Internet TV show.
[00:18:53.852 --> 00:18:56.714]  And he breaks it down.
[00:18:56.714 --> 00:19:00.898]  But in the legislation, it says they'll be given power over the entire economy and all businesses.
[00:19:03.683 --> 00:19:05.404]  And the power to even levy taxes.
[00:19:05.404 --> 00:19:10.387]  So this is a private group being given unlimited power over our entire economy.
[00:19:10.387 --> 00:19:15.211]  So we're going to be breaking that down.
[00:19:15.211 --> 00:19:19.053]  Even CNBC with another story says, be wary of granting Fed more power.
[00:19:19.053 --> 00:19:24.036]  And then they go on to explain that the Fed is actually handing that power to the World Bank.
[00:19:24.036 --> 00:19:24.957]  In fact, that's the headline.
[00:19:24.957 --> 00:19:28.559]  Be wary of granting Fed more power.
[00:19:28.559 --> 00:19:29.160]  World Bank.
[00:19:31.133 --> 00:19:36.716]  And it goes on to admit this is really a transfer of power to the World Bank, a private, unelected group.
[00:19:36.716 --> 00:19:39.457]  So we're going to go over that as well.
[00:19:39.457 --> 00:19:56.345]  And even AP admits that the police attacked innocent people, released attack dogs on old women on video, hit small children playing in their front yards with LRAD cannons, telling the citizens no one was allowed on the streets of Oakland, Pennsylvania or Pittsburgh, Pennsylvania.
[00:19:56.345 --> 00:19:58.646]  A very, very sad day for our country.
[00:19:58.646 --> 00:19:59.947]  It appears the police are raring to go.
[00:20:00.649 --> 00:20:04.171]  Before you throw away your used batteries, you need to listen to this.
[00:20:04.171 --> 00:20:06.171]  Now, going green can save money.
[00:20:06.171 --> 00:20:11.734]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:20:11.734 --> 00:20:19.437]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:20:19.757 --> 00:20:32.569]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[00:20:32.569 --> 00:20:37.814]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[00:20:37.814 --> 00:20:43.219]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[00:20:43.539 --> 00:20:44.439]  Save your money.
[00:20:44.439 --> 00:20:45.560]  Save the environment.
[00:20:45.560 --> 00:20:48.501]  Visit us online at r-charge.com.
[00:20:48.501 --> 00:20:50.582]  That's r-charge.com.
[00:20:50.582 --> 00:20:51.283]  Or call us at 208-772-4514.
[00:20:51.283 --> 00:20:51.603]  That's 208-772-4514.
[00:20:51.603 --> 00:20:52.864]  Be a part of the revolution today!
[00:21:00.700 --> 00:21:02.702]  Our beloved Republic is on her knees.
[00:21:02.702 --> 00:21:06.325]  The forces of globalism are destroying national sovereignty worldwide.
[00:21:06.325 --> 00:21:08.788]  But in Liberty's darkest hour, there is hope.
[00:21:08.788 --> 00:21:11.851]  The first time in modern history, the people are beginning to wake up.
[00:21:11.851 --> 00:21:17.636]  It is essential that Patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:21:17.636 --> 00:21:21.580]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:21:21.900 --> 00:21:27.121]  In the Info War, PrisonPlanet.TV is a powerful weapon in the battle to regain our freedom.
[00:21:27.121 --> 00:21:30.202]  PrisonPlanet.TV is a vault of forbidden information.
[00:21:30.202 --> 00:21:37.463]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:21:37.463 --> 00:21:43.464]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:21:43.464 --> 00:21:48.025]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:21:48.305 --> 00:21:51.190]  The Info War is waiting for you to set it free.
[00:21:51.190 --> 00:21:53.273]  Join PrisonPlanet.tv.
[00:21:53.273 --> 00:21:55.276]  Burn the info bombs to disk.
[00:21:55.276 --> 00:21:57.420]  Put them on the file sharing networks.
[00:21:57.420 --> 00:21:59.223]  Bring down the New World Order.
[00:21:59.223 --> 00:21:59.984]  PrisonPlanet.tv
[00:22:01.203 --> 00:22:02.264]  Hello, Ted Anderson.
[00:22:02.264 --> 00:22:07.208]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[00:22:07.208 --> 00:22:15.276]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[00:22:15.276 --> 00:22:20.861]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[00:22:20.861 --> 00:22:27.847]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[00:22:28.127 --> 00:22:33.730]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[00:22:33.730 --> 00:22:38.792]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[00:22:38.792 --> 00:22:46.376]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[00:22:46.736 --> 00:22:48.198]  When you hear the words water purification,
[00:23:04.906 --> 00:23:07.931]  Water Purification Systems, this message is for you.
[00:23:07.931 --> 00:23:11.658]  Did you know that over 60% of municipal water contains fluoride?
[00:23:11.658 --> 00:23:13.541]  Add less than 2 cents per gallon.
[00:23:13.541 --> 00:23:16.827]  Berkey Water Filters purify treated and untreated water.
[00:23:16.827 --> 00:23:18.129]  Remove dangerous chlorine,
[00:23:21.186 --> 00:23:21.586]  I think so.
[00:23:44.893 --> 00:23:47.854]  And, ship all orders over $50 free of charge.
[00:23:47.854 --> 00:23:50.395]  Visit BigBerkeyWaterFilters.com.
[00:23:50.395 --> 00:23:52.956]  That's BigBerkeyWaterFilters.com.
[00:23:52.956 --> 00:23:53.776]  Or, call 1-877-99-BERKEY.
[00:23:53.776 --> 00:23:54.616]  That's 1-877-99-B-E-R-K-E-Y today.
[00:23:54.616 --> 00:23:55.296]  I'm waitin' for you.
[00:23:55.296 --> 00:23:56.117]  I'm outta here!
[00:24:15.236 --> 00:24:17.317]  It's very simple.
[00:24:17.317 --> 00:24:33.040]  We have a corrupt, elite, private empire that has studied for over a hundred years psychological warfare, psychological manipulation, and they're going to need big crises to get the world government up and on its legs and walking.
[00:24:33.040 --> 00:24:37.482]  You ever watched a female wildebeest on PBS give birth?
[00:24:37.482 --> 00:24:42.503]  That animal's got a few minutes to get up on its feet to get away from any lions that are out there.
[00:24:43.345 --> 00:24:44.726]  That's kind of what the New World Order is like.
[00:24:44.726 --> 00:24:51.332]  It's given birth to the system, and it's now getting up on all four legs.
[00:24:51.332 --> 00:24:59.018]  It's already up on its legs, and it's shaking a bit, and it's just now starting to walk.
[00:24:59.018 --> 00:25:04.202]  And if it gets completely up on its feet and starts running, we're in deep trouble.
[00:25:04.202 --> 00:25:07.425]  And to get it fully up on its legs, it needs crises.
[00:25:10.026 --> 00:25:11.627]  Staged terror attacks.
[00:25:11.627 --> 00:25:13.148]  Staged economic collapses.
[00:25:13.148 --> 00:25:15.449]  Staged bio-attacks.
[00:25:15.449 --> 00:25:18.150]  Staged medical emergencies.
[00:25:18.150 --> 00:25:19.651]  Wars.
[00:25:19.651 --> 00:25:22.472]  That's exactly what the Rand Corporation said was needed.
[00:25:22.472 --> 00:25:25.694]  A giant war, much bigger than what happened in Iraq.
[00:25:25.694 --> 00:25:28.515]  Something on the order of World War II.
[00:25:28.515 --> 00:25:30.076]  And that is what is lining up.
[00:25:30.076 --> 00:25:37.780]  And three weeks ago, Benjamin Netanyahu made a secret mission, the Israeli Prime Minister, to Russia.
[00:25:37.780 --> 00:25:38.740]  I had Tarpley on.
[00:25:38.740 --> 00:25:39.581]  We argued about it.
[00:25:41.052 --> 00:25:48.414]  Tarpley said, oh no, I think Russia's making a deal with Saudi Arabia on weapon systems and they're buddying up.
[00:25:48.414 --> 00:25:58.258]  And that certainly came out that they were, but I said, no, I believe they're getting ready for war and going to get Russia to green light an attack on Iran and a green light on sanctions in the prelude to that.
[00:25:58.258 --> 00:25:59.898]  And I was correct.
[00:25:59.898 --> 00:26:08.161]  About a week after that, Russia came out and said, we're going to support sanctions and we may have to support a strike on Iran if they don't submit.
[00:26:09.212 --> 00:26:11.493]  And Israel's now said they're getting ready to hit Iran.
[00:26:11.493 --> 00:26:13.914]  So there's no more debate.
[00:26:13.914 --> 00:26:14.274]  I don't know.
[00:26:14.274 --> 00:26:16.075]  I printed about 10 stories this morning.
[00:26:16.075 --> 00:26:20.136]  Hartman, looks like he printed, no exaggeration, this has got to be 20, 30 stories.
[00:26:20.136 --> 00:26:21.397]  I didn't count them.
