[00:00:00.792 --> 00:00:02.733]  Hit it boys!
[00:11:45.979 --> 00:11:47.560]  Well, let me just go over those facts later.
[00:11:47.580 --> 00:11:50.301]  The point is that this is ridiculous.
[00:11:51.354 --> 00:12:04.081]  And then I have the fact that Baxter and other big companies a year before this broke out put in a patent for this very RNA sequence for this virus.
[00:12:04.121 --> 00:12:05.202]  We're going to go over that evidence.
[00:12:05.282 --> 00:12:12.326]  So, out of the blue, this thing kills one person and then two people back in April in the U.S.
[00:12:12.366 --> 00:12:16.028]  and they act like it's the end of the world, start shutting everything down.
[00:12:18.151 --> 00:12:27.998]  Then I said, folks, this is clearly a drill for in the fall when they're trying to pass the banker takeover and all this other hate crimes, hate speech legislation.
[00:12:28.699 --> 00:12:30.080]  This is going to be used as a cover.
[00:12:30.760 --> 00:12:32.181]  Now they're openly saying that.
[00:12:32.461 --> 00:12:35.744]  They're openly saying it's coming in the fall, forced inoculations.
[00:12:35.784 --> 00:12:37.285]  Now, I don't know if they're going to get away with this.
[00:12:38.026 --> 00:12:42.769]  They tried back in 2002 with the Model State Health Emergency Powers Act.
[00:12:43.089 --> 00:12:46.272]  They passed that in Congress to forcibly inoculate all Americans.
[00:12:46.972 --> 00:12:51.996]  They couldn't get it off the ground because the medical workers and police that were supposed to force us to do this.
[00:12:52.016 --> 00:12:53.837]  This was in the LA Times and Associated Press.
[00:12:55.398 --> 00:12:55.938]  Big news.
[00:12:56.138 --> 00:12:57.319]  Wouldn't take the shots.
[00:12:57.980 --> 00:13:02.363]  So I guess they think because people are more afraid of flu, they can get this through this time.
[00:13:02.643 --> 00:13:04.684]  The question is, why are they doing this?
[00:13:06.085 --> 00:13:08.547]  But let me just read you some of the news headlines I've got.
[00:13:08.587 --> 00:13:10.328]  Then I'm going to come back and walk through all this.
[00:13:10.808 --> 00:13:11.849]  It just makes my head spin.
[00:13:11.869 --> 00:13:13.290]  There's so much evidence this is a hoax.
[00:13:15.526 --> 00:13:16.407]  This could be the big one.
[00:13:17.027 --> 00:13:19.049]  They're saying it is the big one, with no evidence.
[00:13:19.549 --> 00:13:28.195]  I'm saying it could be the big one, because they're certainly hyping and massing their forces right now, and if we speak out and expose them, it may kill this program.
[00:13:29.356 --> 00:13:30.477]  It may shut them down.
[00:13:31.037 --> 00:13:32.158]  So this is life and death.
[00:13:33.299 --> 00:13:42.606]  Remember, the White House science czar says he wants to reduce the world's population by over 80 percent, wants forced abortion and fanticide, and to put drugs and chemicals in the water to sterilize you.
[00:13:43.476 --> 00:13:49.721]  And United Nations Biological Diversity Assessment 1996 says they would use worldwide engineered flus.
[00:13:51.342 --> 00:13:55.085]  Dr. Pianka at UT says they want engineered ebola to kill you.
[00:13:55.425 --> 00:13:57.547]  Remember who runs things, eugenicists.
[00:13:58.148 --> 00:14:00.569]  This is official State Department U.S.
[00:14:00.630 --> 00:14:01.150]  policy.
[00:14:01.490 --> 00:14:02.691]  State Department memorandum 200.
[00:14:03.272 --> 00:14:05.373]  So we're not in Kansas anymore, folks.
[00:14:05.673 --> 00:14:08.235]  You're living in the middle of a science fiction movie with
[00:14:09.096 --> 00:14:29.081]  A bunch of Hitlerian, out-of-control, power-tripping scientists and eugenicists that are trying to train you to accept a police state lockdown in the name of biohazard when they are the very people that, once they've got you trained to be locked down, that are going to use controlled bioweapons releases to wipe us out.
[00:14:29.461 --> 00:14:32.122]  And I know that's scary, but that's just the facts.
[00:14:33.015 --> 00:14:38.137]  I've been talking about this for over a decade, now it's mainstream news, CNN, Fox are reporting it.
[00:14:38.657 --> 00:14:39.898]  But like it's a good thing.
[00:14:39.998 --> 00:14:42.379]  Well, shouldn't we sterilize everybody?
[00:14:42.399 --> 00:14:45.400]  You know, some extremists don't want to be sterilized.
[00:14:46.761 --> 00:14:49.082]  Let me just give you some of the headlines right now.
[00:14:50.552 --> 00:14:55.313]  MSNBC, swine flu tally halted as school year fears loom.
[00:14:55.413 --> 00:14:56.253]  MSNBC.
[00:14:56.553 --> 00:14:58.333]  These are just dots I'm throwing out there.
[00:14:58.353 --> 00:15:00.194]  We're going to connect them coming up.
[00:15:00.634 --> 00:15:03.794]  Swine flu tally halted as school year fears loom.
[00:15:04.595 --> 00:15:05.215]  Here's another one.
[00:15:05.275 --> 00:15:07.015]  Plans for mass graves confirmed.
[00:15:07.315 --> 00:15:10.416]  Government surveying cemetery readiness for flu outbreak.
[00:15:10.956 --> 00:15:13.716]  That was April 3rd, 2009, Aaron Dykes.
[00:15:13.856 --> 00:15:17.817]  Before the latest flu freakout, we said they're going to use it in the fall.
[00:15:19.417 --> 00:15:31.142]  Here is the New York State Department of Cemetery secret document we received, dealing with the mass graves and how they're planning for millions of dead.
[00:15:31.522 --> 00:15:32.763]  Now why is that important?
[00:15:33.843 --> 00:15:42.127]  Because the Associated Press today, and this is up on the Drudge Report, not just up on InfoWars.com, this is AP,
[00:15:43.680 --> 00:15:48.122]  Remember, I got made fun of when I gave you the secret New York documents from our sources, with phone numbers.
[00:15:48.582 --> 00:15:51.023]  But people don't call the numbers, they just say I'm lying.
[00:15:51.383 --> 00:15:52.023]  Here's AP.
[00:15:52.123 --> 00:15:55.645]  The city plans to use catacombs for swine flu victims.
[00:15:58.806 --> 00:16:01.447]  We're going to cover it all, ladies and gentlemen, when we get back.
[00:16:03.248 --> 00:16:05.128]  A bunch of other dots I'm going to throw out there.
[00:16:05.168 --> 00:16:07.829]  They're planning to forcibly inoculate school children first.
[00:16:08.870 --> 00:16:09.370]  Stay with us.
[00:16:12.090 --> 00:16:13.211]  This is Alex Jones.
[00:16:13.492 --> 00:16:15.274]  Have you heard of the Millionaire Patriot?
[00:16:15.474 --> 00:16:16.095]  Well, you should.
[00:16:16.115 --> 00:16:20.700]  He has a free handgun and five days of firearms training waiting for you.
[00:16:20.960 --> 00:16:21.441]  That's right.
[00:16:21.761 --> 00:16:31.692]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[00:16:31.792 --> 00:16:32.934]  Plus, if you act fast,
[00:16:33.114 --> 00:16:38.736]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:16:39.097 --> 00:16:45.619]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:16:46.000 --> 00:16:51.182]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:16:51.522 --> 00:16:52.662]  This is real.
[00:16:52.983 --> 00:16:53.723]  Don't miss out.
[00:16:54.023 --> 00:17:02.406]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:17:02.586 --> 00:17:04.767]  Go to FrontSight.com today.
[00:17:04.947 --> 00:17:08.449]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:17:08.649 --> 00:17:11.570]  Go to FrontSight.com for your training and free gun.
[00:17:12.401 --> 00:17:17.404]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:17:17.624 --> 00:17:21.407]  Number one, new climate legislation could easily double or triple your electric bill.
[00:17:21.647 --> 00:17:27.251]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:17:27.551 --> 00:17:32.394]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:17:32.614 --> 00:17:33.134]  Number 3.
[00:17:33.534 --> 00:17:38.976]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:17:39.136 --> 00:17:39.376]  Number 4.
[00:17:39.816 --> 00:17:42.477]  The hurricane and dangerous summer storm season is here again.
[00:17:42.717 --> 00:17:46.138]  Every year, thousands of families lose their power from weather-related outages.
[00:17:46.379 --> 00:17:46.919]  Number 5.
[00:17:47.239 --> 00:17:50.880]  A solar power generator provides powerful backup insurance and peace of mind.
[00:17:51.100 --> 00:17:56.582]  Folks, I really believe in the solar power generators offered by Solutions from Science, a long-time sponsor of ours.
[00:17:56.822 --> 00:17:59.923]  You can get more information at www.solutionsfromscience.com.
[00:17:59.983 --> 00:18:01.365]  MySolarBackup.com.
[00:18:01.505 --> 00:18:03.047]  That's MySolarBackup.com.
[00:18:03.288 --> 00:18:05.611]  Remember, the government doesn't own the sun yet.
[00:18:05.851 --> 00:18:08.515]  So go to MySolarBackup.com or call toll free 877-327-0365.
[00:18:12.483 --> 00:18:14.064]  Hello friends, this is Alex Jones.
[00:18:14.164 --> 00:18:18.825]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:18:18.905 --> 00:18:21.666]  We need to be independent, and food and water is the key.
[00:18:21.866 --> 00:18:24.728]  You'll never have to stand in a bread line if you have your own bread.
[00:18:24.908 --> 00:18:30.810]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:18:30.990 --> 00:18:33.931]  No one is going to take care of your family in the final equation but you.
[00:18:34.231 --> 00:18:36.852]  You know eFoodsDirect.com is still able to ship storable
[00:18:36.852 --> 00:18:37.152]  We're good.
[00:18:55.905 --> 00:18:59.650]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:18:59.691 --> 00:19:01.012]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:19:01.032 --> 00:19:01.613]  Take action today.
[00:19:01.653 --> 00:19:03.476]  The first step is getting storable food.
[00:19:12.162 --> 00:19:16.145]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[00:19:16.406 --> 00:19:18.187]  Do you really know what's in your tap water?
[00:19:18.407 --> 00:19:26.695]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:19:26.915 --> 00:19:32.159]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:19:32.480 --> 00:19:34.101]  Now, what are you going to do about it?
[00:19:34.341 --> 00:19:40.662]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:19:40.842 --> 00:19:51.585]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:19:51.885 --> 00:19:52.405]  That's right.
[00:19:52.665 --> 00:19:54.965]  Clean water, right from the air you breathe.
[00:19:55.225 --> 00:19:56.786]  Order today by calling 1-800-691.
[00:19:58.746 --> 00:19:59.947]  No one's gonna take me away
[00:20:26.548 --> 00:20:28.009]  Alright, we are back live.
[00:20:28.069 --> 00:20:29.950]  Thank you so much for joining us.
[00:20:30.551 --> 00:20:32.993]  Your phone calls are coming up after the bottom of the hour news.
[00:20:34.714 --> 00:20:38.136]  Exclusively on the issue of the flu pandemic.
[00:20:40.478 --> 00:20:49.624]  The headline at Infowars.com, a big boil-down story that has links to all these mainstream news articles I'm going to be sourcing, was done by Kurt Nemo this morning.
[00:20:49.764 --> 00:20:53.127]  It's flu pandemic, mass graves, and martial law.
[00:20:58.200 --> 00:21:00.100]  All the pieces are coming together on this.
[00:21:00.280 --> 00:21:06.642]  The government of the United States and the United Nations is saying worldwide that we're under a level six pandemic.
[00:21:07.442 --> 00:21:09.583]  And we told you we were under this back in April.
[00:21:10.443 --> 00:21:13.503]  And it turned out that our secret documents were correct.
[00:21:14.184 --> 00:21:15.344]  And that was later announced.
[00:21:15.824 --> 00:21:17.204]  Validated, vindicated again.
[00:21:17.644 --> 00:21:22.085]  My whole point is, we're not telling you anything here that isn't documented.
[00:21:23.065 --> 00:21:25.186]  Now, here's the biggest issue.
[00:21:26.772 --> 00:21:27.693]  Here's the big issue.
[00:21:27.993 --> 00:21:29.974]  The $64 million question.
[00:21:29.994 --> 00:21:33.036]  I want everybody to take notes and listen to me.
[00:21:34.076 --> 00:21:37.098]  Because there's so much evidence, I have a tendency to just go all over the map.
[00:21:37.358 --> 00:21:38.579]  But listen to me carefully.
[00:21:41.100 --> 00:21:45.703]  Back in January, February, and March, leading into April,
[00:21:46.516 --> 00:22:00.294]  There was so much flu preparation and mass grave preparation in Kansas and Arizona and Indiana and Texas and Colorado and Oklahoma and Florida and New York State.
[00:22:01.627 --> 00:22:10.995]  I was getting calls from FBI agents that have given us information in the past from federal marshals, from city managers, from county emergency managers.
[00:22:11.736 --> 00:22:13.617]  It was leaking out in mainstream news.
[00:22:14.118 --> 00:22:16.980]  Other news publications were getting leaks.
[00:22:17.220 --> 00:22:20.163]  Other alternative news organizations were getting leaks.
[00:22:21.724 --> 00:22:29.047]  And I went on air and I said, folks, I believe they're going to launch something in the fall, whether it's a real flu pandemic or not, doesn't matter.
[00:22:29.287 --> 00:22:37.531]  They're going to use it as the cover to pass the second banker bailout, to pass the carbon tax,
[00:22:38.798 --> 00:22:42.041]  to pass the Clean Water Restoration Act that federalizes the water.
[00:22:42.121 --> 00:22:42.822]  All these issues.
[00:22:43.222 --> 00:22:46.606]  I went on air on the March 5th show for four hours.
[00:22:47.466 --> 00:22:49.328]  That weekday show, it's up on the web.
[00:22:49.909 --> 00:22:54.393]  Just Google Alex Jones predicts flu outbreak in March and it'll come up.
[00:22:54.673 --> 00:22:57.636]  Video of me in the radio studio breaking it down.
[00:22:59.978 --> 00:23:01.319]  And I did it on show after show.
[00:23:01.580 --> 00:23:03.682]  And I don't do these kind of things very often.
[00:23:04.889 --> 00:23:07.090]  You know, I did this two months before 9-11.
[00:23:07.130 --> 00:23:11.373]  I said, the government's going to blow up the World Trade Center and blame it on their asset Osama Bin Laden.
[00:23:13.475 --> 00:23:15.236]  I said, call the White House, tell them don't do it.
[00:23:15.536 --> 00:23:16.837]  How was I able to do that?
[00:23:17.057 --> 00:23:19.559]  Because I saw the preparation right out in the open!
[00:23:21.500 --> 00:23:22.761]  But, that's another story.
[00:23:23.161 --> 00:23:28.424]  The issue is, I went on air and I said, never said it before this, only said it then.
[00:23:29.525 --> 00:23:31.547]  I said, I think they're going to play the flu card.
[00:23:32.352 --> 00:23:36.574]  Whether it's a real pandemic and kills millions of people or whether they just hype it up.
[00:23:36.754 --> 00:23:42.937]  And then I was blindsided a month and a half later when exactly what I said started up.
[00:23:45.558 --> 00:23:57.783]  And I already saw a lot of preparation before and got a lot of leads and a lot of sources saying we don't know exactly what's going on but we're being told get ready for millions of dead Americans and that it's going to happen.
[00:23:58.991 --> 00:24:02.814]  And then I had emergency managers on, and I had reporters on telling you the same thing.
[00:24:03.195 --> 00:24:07.798]  And those are all linked in Curt Nimmel's story, Flu Pandemic, Mass Graves, and Martial Law.
[00:24:11.041 --> 00:24:14.024]  Now, I'm not the one saying millions are going to die.
[00:24:14.104 --> 00:24:14.884]  It is the government.
[00:24:15.385 --> 00:24:16.186]  The issue is
[00:24:17.412 --> 00:24:20.534]  Before all this happened, they didn't do this in 99 or 2000 or 2003 or 2005 or 2007.
[00:24:20.574 --> 00:24:21.374]  They did this fear-mongering in 1999.
[00:24:21.414 --> 00:24:25.356]  And before they did the fear-mongering, they were running around getting all the mass graves ready.
[00:24:36.059 --> 00:24:38.382]  And the Daily Newscaster with D.H.
[00:24:38.422 --> 00:24:49.357]  Williams, the reporter reported it, had the local emergency manager from the Indiana County bordering Chicago on, saying get ready for millions dead, harden your police stations for U.S.
[00:24:49.397 --> 00:24:50.338]  citizens to attack,
[00:24:50.879 --> 00:24:56.021]  Since then it's mainstream news, the Army's training to take on veterans, youth brigades are.
[00:24:56.621 --> 00:24:57.881]  All that's been validated.
[00:24:58.441 --> 00:25:02.422]  Mainstream news out of Missouri with the National Guard practicing to take on militias.
[00:25:02.682 --> 00:25:06.624]  They're hardening police stations for quote, the US citizens to attack.
[00:25:06.964 --> 00:25:08.444]  What are they getting ready for?
[00:25:08.684 --> 00:25:11.025]  They're acting like it's 28 weeks later or something.
[00:25:12.554 --> 00:25:16.355]  So we get this when it's secret, then later it all comes out and it's confirmed!
[00:25:17.156 --> 00:25:25.118]  Suddenly in Tennessee and California and other states, governors say, don't have army out running checkpoints, don't have marines out running checkpoints.
[00:25:25.418 --> 00:25:31.881]  I have state reps on, saying yes, the army's here searching all our cars, we told them no, they won't stop.
[00:25:32.161 --> 00:25:35.002]  Then we have photos and video from the local news.
[00:25:35.362 --> 00:25:36.982]  Why are they trying to acclimate?
[00:25:37.323 --> 00:25:38.363]  What is going on?
[00:25:41.417 --> 00:25:53.141]  So all of this is gearing up and then magically they start hyping a couple deaths in Mexico, a couple deaths in the US, always the people that were already compromised immune systems, already on respirators, already on death's doorstep.
[00:25:54.582 --> 00:25:56.282]  Then they secretly go to level six.
[00:25:56.662 --> 00:25:58.283]  But here's the issue.
[00:25:59.437 --> 00:26:01.338]  I told you they were building mass graves all over the country.
[00:26:01.378 --> 00:26:03.560]  We gave you video, sources, eyewitnesses.
[00:26:03.880 --> 00:26:04.781]  People laughed at us.
[00:26:05.521 --> 00:26:06.162]  Didn't believe it.
