[00:00:00.309 --> 00:00:04.473]  ["The Star-Spangled Banner"]
[00:05:12.751 --> 00:05:17.134]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:05:17.514 --> 00:05:19.695]  A truly healthy coffee that tastes great.
[00:05:19.936 --> 00:05:22.197]  And take it from me folks, it really does taste great.
[00:05:22.397 --> 00:05:24.158]  Don't forget to try their other great products.
[00:05:24.499 --> 00:05:26.800]  Go to www.nutricafe.com.
[00:05:27.100 --> 00:05:34.646]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:05:44.514 --> 00:05:47.495]  New climate legislation could easily double or triple your electric bill.
[00:05:47.735 --> 00:05:47.975]  Number 2.
[00:05:48.415 --> 00:05:53.337]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:53.637 --> 00:05:54.077]  It's true.
[00:05:54.277 --> 00:05:58.498]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:58.698 --> 00:05:59.219]  Number 3.
[00:05:59.619 --> 00:06:05.060]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:06:05.241 --> 00:06:05.461]  Number 4.
[00:06:05.921 --> 00:06:08.562]  The hurricane and dangerous summer storm season is here again.
[00:06:08.822 --> 00:06:12.223]  Every year, thousands of families lose their power from weather-related outages.
[00:06:12.483 --> 00:06:12.683]  Number 5.
[00:06:13.323 --> 00:06:16.965]  A solar power generator provides powerful backup insurance and peace of mind.
[00:06:17.185 --> 00:06:22.669]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:06:22.909 --> 00:06:27.472]  You can get more information at www.mysolarbackup.com.
[00:06:27.612 --> 00:06:29.153]  That's mysolarbackup.com.
[00:06:29.373 --> 00:06:31.714]  Remember, the government doesn't own the sun yet.
[00:06:31.954 --> 00:06:34.596]  So go to mysolarbackup.com or call toll-free 877-327-0365.
[00:06:38.098 --> 00:06:39.178]  This is Alex Jones.
[00:06:39.478 --> 00:06:41.259]  Have you heard of the Millionaire Patriot?
[00:06:41.459 --> 00:06:42.099]  Well, you should.
[00:06:42.439 --> 00:06:46.680]  He has a free handgun and five days of firearms training waiting for you.
[00:06:46.941 --> 00:06:47.421]  That's right.
[00:06:47.741 --> 00:06:56.203]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:06:56.383 --> 00:06:57.664]  All for pennies on the dollar.
[00:06:57.744 --> 00:06:58.904]  Plus, if you act fast.
[00:06:59.104 --> 00:07:04.745]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:07:05.086 --> 00:07:11.607]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:07:11.987 --> 00:07:17.189]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:07:17.509 --> 00:07:18.629]  This is real.
[00:07:18.969 --> 00:07:19.709]  Don't miss out.
[00:07:20.009 --> 00:07:22.530]  Secure a Front Sight defensive handgun course.
[00:07:22.830 --> 00:07:28.395]  Plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:07:28.575 --> 00:07:30.756]  Go to FrontSight.com today.
[00:07:30.937 --> 00:07:34.459]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:07:34.640 --> 00:07:37.622]  Go to FrontSight.com for your training and free gun.
[00:07:40.064 --> 00:07:46.089]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:07:46.689 --> 00:07:49.672]  It's Alex Jones and the GCN Radio Network.
[00:08:10.912 --> 00:08:19.778]  Oh, ladies and gentlemen, I got busy out there talking to Gary Franchi and William Lewis during the break and almost got late coming back into studio here.
[00:08:19.798 --> 00:08:30.704]  And we've got so many GCN Studio feeds here that I'm having trouble pulling up my call list for Minnesota.
[00:08:30.724 --> 00:08:33.366]  Is it Matt, Scott, Steven, Steve, and others?
[00:08:34.667 --> 00:08:34.987]  Okay, great.
[00:08:35.007 --> 00:08:37.709]  Alright, we're going to go ahead and go to your calls right now.
[00:08:40.476 --> 00:08:52.799]  And then I'm going to get into the controlled economy that we are going into here in this society, and more on the FEMA camps, more on this whole control grid that is unfolding.
[00:08:53.299 --> 00:08:54.759]  Right now, let's go ahead and go to your calls.
[00:08:54.899 --> 00:08:56.239]  Matt in the UK.
[00:08:56.579 --> 00:08:57.319]  Matt, you're on the air.
[00:08:57.360 --> 00:08:57.680]  Welcome.
[00:08:58.560 --> 00:09:00.600]  Hi, Alex, and greetings from the UK here.
[00:09:00.920 --> 00:09:04.021]  Just thought I'd give your listeners and yourself a bit of news in the UK.
[00:09:04.041 --> 00:09:09.462]  What the government's proposing in this country regarding Internet 2, as you mentioned,
[00:09:09.878 --> 00:09:10.779]  Quite a few months ago.
[00:09:11.179 --> 00:09:19.263]  What they want to do is, it states here, every family with a telephone line could be hit with a £6 a year tax to pay for the rollout of superfast broadband, the government said yesterday.
[00:09:19.283 --> 00:09:20.724]  What's your take on that?
[00:09:21.394 --> 00:09:24.577]  Well, I'm looking at articles from all over the country.
[00:09:25.898 --> 00:09:29.861]  One state's proposing a 16% hike on the state income tax.
[00:09:29.901 --> 00:09:30.962]  Another state, 20.
[00:09:31.322 --> 00:09:32.483]  Another state, 30.
[00:09:33.083 --> 00:09:36.746]  Other states are announcing doubling of different fines and fees.
[00:09:37.747 --> 00:09:39.669]  So as the economy implodes,
[00:09:41.344 --> 00:09:48.510]  We will pay more and more taxes because it's all going to be interest to the bankers instead of even the government services.
[00:09:49.070 --> 00:09:57.637]  And I guess in a way that's kind of a good thing because as everything goes to interest to the bankers, they won't have as much money for CPS to kidnap kids and police to taser people.
[00:09:58.098 --> 00:10:05.464]  But if you actually look at things, they're actually increasing the funding for tasering and FEMA camps and CPS grabbing kids.
[00:10:05.964 --> 00:10:06.585]  It's just that
[00:10:07.305 --> 00:10:11.550]  Schools and roads and infrastructure is imploding.
[00:10:11.650 --> 00:10:14.854]  So, yeah, they're going to run everybody to ground.
[00:10:14.914 --> 00:10:22.083]  They are going to bankrupt everybody and squeeze and squeeze and squeeze until you can't afford to pay for yourself, much less children.
[00:10:22.523 --> 00:10:37.969]  Because the Club of Rome, the Eugenicists, the UN have set on record they want to bankrupt the world economy so everybody's so poor you can't afford to have children and so the government can come in and get you on welfare but then dictate, since you're on a government paycheck, that you can't have children.
[00:10:38.349 --> 00:10:40.930]  This is a key attack they're launching right now.
[00:10:42.390 --> 00:10:50.233]  Yeah, they're also saying some top medical scientists said on the British News, I think it was last week, said
[00:10:50.758 --> 00:10:55.921]  And if you do not vaccinate your child and basically that they will not be allowed in the schools.
[00:10:56.341 --> 00:10:57.442]  Is that happening in America?
[00:10:57.522 --> 00:11:00.203]  Yeah, the exact same thing in Australia, Canada, the U.S.
[00:11:00.283 --> 00:11:01.524]  All the same globalists running it.
[00:11:01.864 --> 00:11:07.647]  They're saying they're going to make a mass inoculation centers and force kids now to take flu shots three times a year.
[00:11:08.087 --> 00:11:09.748]  Now, you can pull up the studies.
[00:11:09.808 --> 00:11:12.770]  Three flu shots doubles your chances of Alzheimer's.
[00:11:13.090 --> 00:11:16.632]  Just like you mentioned doubling cell phone taxes or a 50% increase in England.
[00:11:17.052 --> 00:11:18.333]  The same thing was announced here.
[00:11:19.493 --> 00:11:21.754]  Jaron in there pulled it up in like 10 seconds.
[00:11:22.294 --> 00:11:26.015]  IRS moles increasing cell phone taxes in US.
[00:11:26.295 --> 00:11:31.077]  You know Obama promised no new taxes except on people making over $125,000 a year.
[00:11:31.997 --> 00:11:36.118]  That's per person, couples $250,000 and he's raising dozens of new taxes.
[00:11:36.999 --> 00:11:38.899]  Google for everybody on screen right now.
[00:11:40.020 --> 00:11:40.760]  Flu shots
[00:11:42.059 --> 00:11:44.240]  Three flu shots doubles Alzheimer's.
[00:11:44.620 --> 00:11:45.541]  And the government admits it.
[00:11:46.061 --> 00:11:46.901]  Absolute fact.
[00:11:47.261 --> 00:11:50.323]  And that's why you've got 25-30 year olds getting Alzheimer's now.
[00:11:50.823 --> 00:11:59.547]  But they take their shot every year, and they lose their mind, and they forget who they are, and they quit breathing, and they die, and eugenics is served, and they're good citizens.
[00:12:00.567 --> 00:12:05.554]  And, uh, yes, they're announcing forced inoculations, flu shots, saying martial law's good on the news.
[00:12:05.995 --> 00:12:07.777]  They're just throwing it in the slave's face.
[00:12:08.117 --> 00:12:09.059]  There's no end, Matt.
[00:12:09.139 --> 00:12:10.060]  I appreciate your call.
[00:12:10.601 --> 00:12:12.764]  The nightmare won't end until we wake up and say no.
[00:12:13.184 --> 00:12:14.286]  Scott in California.
[00:12:14.326 --> 00:12:15.047]  Scott, you're on the air.
[00:12:16.175 --> 00:12:21.278]  Yeah, hey Alex, I wanted to get your take on this Operation Blackjack that's been on the Telegraph UK website.
[00:12:21.618 --> 00:12:36.628]  Yes, we wrote a three-part series at Infowars.net by Steve Watson and in Operation Blackjack the government starts staging terror attacks and blaming it on Al-Qaeda that leads into nuke attacks and world government
[00:12:37.168 --> 00:12:46.878]  And in the end the world government wins, for your own good, and they won't even say who did it or why they wrote it, and in Operation Blackjack on the 22nd of June, terror attacks are launched.
[00:12:47.498 --> 00:12:50.081]  I usually don't go off things that set dates, but...
[00:12:51.807 --> 00:12:53.649]  And then you make your point, but I want to just fill people in.
[00:12:54.250 --> 00:13:06.442]  But, remember the Fox TV show, Lone Gunman, a spinoff from X-Files, where six months before 9-11, they run an episode of a hijacked jet being flown on the World Trade Center.
[00:13:06.863 --> 00:13:08.384]  It's hijacked by remote control.
[00:13:09.662 --> 00:13:17.825]  Blamed on Al Qaeda in Afghanistan, run by a group in the government, and they use a drill, a war game drill, to make NORAD stand down.
[00:13:18.105 --> 00:13:21.286]  Now exactly that was done six months later.
[00:13:21.386 --> 00:13:35.890]  Then, doesn't stop there, Dean Hagelin, the star of the show, shows up at my door, the star of the show, knock knock, Dean Hagelin is at my door, and says, the CIA planted these stories on us.
[00:13:37.691 --> 00:13:38.631]  What do you make of them apples?
[00:13:40.509 --> 00:13:45.353]  Well, I think it's very suspicious, and I think that those premonitions of 9-11 certainly are, you know, relevant here.
[00:13:45.494 --> 00:13:56.003]  And in addition to that, I just noticed this morning on Prison Planet, there's a story that talks about there's a number that's in the slideshow of Operation Blackjack on the ID card for the North American Union.
[00:13:56.143 --> 00:14:05.932]  And on the story that's on Prison Planet, someone has taken that number and put it into what's called a hexadecimal to string converter, taking that and interpreting it as a hexadecimal computer number, and then it converts it into actual words.
[00:14:06.331 --> 00:14:15.134]  And what that translates to, even though the site claims that this is a fictitious story, what that translates to is this is not simply entertainment.
[00:14:15.814 --> 00:14:19.555]  So that's what the numbers on there convert to when you change that over.
[00:14:19.635 --> 00:14:22.356]  Where are you saying that is posted?
[00:14:23.236 --> 00:14:24.016]  That's on Prison Planet.
[00:14:24.356 --> 00:14:27.937]  That's by the author's remix world, Wednesday, June 17th.
[00:14:27.997 --> 00:14:28.898]  It was just this morning.
[00:14:29.478 --> 00:14:29.938]  Okay, good.
[00:14:29.978 --> 00:14:30.938]  I missed that report.
[00:14:31.358 --> 00:14:33.139]  That's up on prisonplanet.com right now?
[00:14:35.157 --> 00:14:35.497]  Good.
[00:14:35.577 --> 00:14:41.740]  We have a new area for our great listeners, who many of you are a lot smarter than I am, to write articles, to point out bills.
[00:14:43.681 --> 00:14:51.685]  Last Friday I was up here doing the show at night, and the caller called in and said, have you seen this bill where the government can kidnap your kids with no warrant federally?
[00:14:51.945 --> 00:14:54.887]  There was another bill they called in, and I saw the bill, read the bill number,
[00:14:55.407 --> 00:14:58.389]  And then lost the number and said, can somebody write an article?
[00:14:58.649 --> 00:15:01.591]  I mean, so much evil is happening, we can't even keep track of it.
[00:15:02.011 --> 00:15:04.193]  It's writers at Infowars.com.
[00:15:04.533 --> 00:15:08.856]  Submit articles that you want us to post, and we will post them.
[00:15:08.916 --> 00:15:15.660]  Original articles, analysis, blurbs, writers at Infowars.com, and we will start getting those up.
[00:15:16.040 --> 00:15:17.021]  Thank you so much.
[00:15:17.061 --> 00:15:17.621]  Anything else, sir?
[00:15:18.822 --> 00:15:20.743]  Well, two more things just to point out in relation to this.
[00:15:22.191 --> 00:15:25.413]  This weekend there's this NORTHCOM Ardent Sentry 09 happening.
[00:15:25.873 --> 00:15:33.976]  Yeah, they're doing a NORTHCOM takeover drill and Homeland Security admits, with foreign governments, aiding the United States when we're under terror attack.
[00:15:33.996 --> 00:15:42.840]  So, open foreign troop drill, and I videotaped these in the real world, this is a cyberspace, practicing with the EU taking over the United States.
[00:15:42.860 --> 00:15:43.580]  Doesn't that sound nice?
[00:15:45.301 --> 00:15:50.103]  Yeah, and it's on the same date that this is supposed to, you know, according to the fictitious comic strip, you know, it's supposed to happen.
[00:15:50.704 --> 00:15:51.224]  That along with
[00:15:51.761 --> 00:16:04.194]  Last weekend in New York, there was an operation called New York You Have a Problem, where there were NYPD and FBI doing drills for nukes in New York, and if you're aware of that... And all over the U.S., you'll see in the paper, explosion.
[00:16:04.234 --> 00:16:08.898]  We're seeing if it was terrorists, and then a day later, it'll say, oh, it was just a drill, or they blow up a real car.
[00:16:09.319 --> 00:16:13.443]  They're doing that to make the police feel like the terror threat's real, and so the public
[00:16:13.783 --> 00:16:19.087]  Sees bombs going off, you know, up by Waco they did one, they're doing them in San Antonio, Chicago.
[00:16:19.427 --> 00:16:20.828]  People are like, what happened?
[00:16:20.868 --> 00:16:21.208]  I don't know.
[00:16:21.228 --> 00:16:29.394]  And the day or two later they mention in the back of the paper, oh it was a drill, but then the rumors all start that terrorists are hitting word to word and that creates the fear.
[00:16:29.414 --> 00:16:33.397]  So they're even giving us simulated terror attacks to make us submit.
[00:16:34.517 --> 00:16:37.299]  Which I guess is a lot nicer than them staging the terror attacks of 9-11 again.
[00:16:39.301 --> 00:16:43.182]  Yeah, so is your take on this that it's more just like a PSYOP or a, uh, something to distract people?
[00:16:43.202 --> 00:16:43.942]  You never know.
[00:16:44.142 --> 00:17:02.707]  I mean, why did Governor Frank Keating, why did his brother publish a year before Oklahoma City bombing, publish a book called American Jihad, and in it a Tim McVeigh bombs the Alfred P. Murrah building?
[00:17:04.793 --> 00:17:07.734]  And then he dedicates the book to the Knights of the Secret Circle.
[00:17:08.054 --> 00:17:11.756]  Do you know what the Knights of the Secret Circle are in mainline research?
[00:17:12.937 --> 00:17:13.597]  No, I don't know that one.
[00:17:14.757 --> 00:17:17.299]  Knights of the Secret Circle is Knights of the Golden Circle.
[00:17:17.459 --> 00:17:19.660]  It's high-level masons or Ku Klux Klan.
[00:17:21.320 --> 00:17:21.520]  Wow.
[00:17:22.121 --> 00:17:27.143]  So he dedicates it to the Ku Klux Klan and then, I mean, you know, you can't make this stuff up.
[00:17:28.723 --> 00:17:32.345]  No, it just seems like there's just so much premonition of all these different events.
[00:17:32.385 --> 00:17:33.526]  It's just very scary.
[00:17:33.866 --> 00:17:35.547]  It's the enjoyment of throwing it in our face.
[00:17:35.587 --> 00:17:36.307]  I appreciate your call.
[00:17:36.588 --> 00:17:38.349]  Yeah, I should talk more about these drills.
[00:17:39.509 --> 00:17:43.972]  And talking about them can stop them from carrying out the next drill.
[00:17:46.050 --> 00:17:49.012]  So, that's always important.
[00:17:49.472 --> 00:17:50.413]  And we have discussed that.
[00:17:50.453 --> 00:17:53.995]  We have posted articles at InfoWars.com and PrisonPlanet.com.
[00:17:54.776 --> 00:18:00.520]  And the establishment, the criminals, are going to have to stage terror attacks to get their new world order in.
[00:18:00.800 --> 00:18:05.583]  They need to stage terror attacks so they can lock down the people, saying they're doing it for your protection.
[00:18:07.885 --> 00:18:10.186]  You guys are looking up hexadecimal mathematics.
[00:18:10.666 --> 00:18:12.908]  Did you look up flu shot Alzheimer's connection?
[00:18:14.668 --> 00:18:16.269]  Maybe I missed it, but I'm going to put that on screen.
[00:18:18.851 --> 00:18:19.191]  Study.
[00:18:19.211 --> 00:18:22.974]  Children who get flu vaccine have three times the risk of hospitalization for flu.
[00:18:23.374 --> 00:18:26.236]  That was out of the Mayo Clinic and John Hopkins.
[00:18:26.697 --> 00:18:27.197]  No, no, no.
[00:18:27.978 --> 00:18:29.279]  Not how it kills the kids.
[00:18:30.059 --> 00:18:31.860]  Parents have got to experience that for themselves.
[00:18:31.900 --> 00:18:35.243]  That's kind of how we get our patriot movement, is the people the enemies hurt.
[00:18:35.543 --> 00:18:37.965]  I try to warn them, but if they want to go ahead and hurt their kids, that's their business.
[00:18:38.805 --> 00:18:42.108]  I want to find the one about three flu shots doubles Alzheimer's.
[00:18:42.807 --> 00:18:44.649]  Flu shots three times more likely to get Alzheimer's.
[00:18:45.450 --> 00:18:53.557]  Just do for people, just say, flu shot, Alzheimer's.
[00:18:54.699 --> 00:18:56.120]  And then you get big reports.
[00:18:56.180 --> 00:18:57.301]  It's an absolute fact.
[00:18:58.562 --> 00:19:02.066]  Because they put five times the mercury in flu shots they do in the regular shots.
[00:19:03.322 --> 00:19:06.123]  And now they're saying they're going to make school kids take them three times a year.
[00:19:06.143 --> 00:19:09.945]  I mean, the kids won't be able to talk soon, the poor little things.
[00:19:09.965 --> 00:19:12.306]  And if you don't do it, the SWAT team's there.
[00:19:12.807 --> 00:19:17.989]  I'll never forget in Maryland, they had police dogs and thousands of kids crying, going, I don't want it.
[00:19:18.009 --> 00:19:19.890]  And the judge going, it's the law, take it.
[00:19:20.490 --> 00:19:23.472]  And I had the state attorney on who was forcing everybody.
[00:19:23.492 --> 00:19:24.812]  He goes, I don't make my kids take it.
[00:19:24.832 --> 00:19:25.453]  They're laughing.
[00:19:25.673 --> 00:19:27.794]  He goes, yeah, there's no law, but we tell them there is.
[00:19:29.734 --> 00:19:33.276]  Boy, you're gonna take that mercury, little kid, because the government loves you.
[00:19:33.296 --> 00:19:35.016]  We're the people that gave the black men syphilis.
[00:19:35.036 --> 00:19:35.937]  Now take your shot!
[00:19:36.177 --> 00:19:38.178]  Yeah!
[00:19:38.498 --> 00:19:39.998]  Alex Jones here with a question.
[00:19:40.198 --> 00:19:41.639]  What does humidity mean to you?
[00:19:41.939 --> 00:19:44.180]  Most people think of hot and sticky summer days.
[00:19:44.620 --> 00:19:49.362]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:19:49.762 --> 00:19:52.603]  That's why I'd like you to visit acolablue.com.
[00:19:52.944 --> 00:19:56.425]  Acolablue is a state-of-the-art atmospheric water generator.
[00:19:56.849 --> 00:20:08.834]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:20:09.394 --> 00:20:11.395]  Finally, drinking water that you control.
[00:20:11.415 --> 00:20:12.696]  I use one every day.
[00:20:13.136 --> 00:20:15.577]  Say goodbye to expensive water delivery services.
[00:20:15.837 --> 00:20:16.537]  We're good to go.
[00:20:39.267 --> 00:20:44.572]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:20:45.292 --> 00:20:50.617]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:20:51.178 --> 00:20:57.343]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:20:57.663 --> 00:20:59.484]  Well, Obama's already fudging.
[00:20:59.624 --> 00:21:02.026]  He's fudged since day one in this election.
[00:21:02.106 --> 00:21:13.052]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:21:15.293 --> 00:21:16.554]  It's not about left or right.
[00:21:16.954 --> 00:21:18.335]  It's about a one-world government.
[00:21:18.815 --> 00:21:25.039]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:21:25.726 --> 00:21:33.471]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:21:33.971 --> 00:21:35.132]  The Obama Deception.
[00:21:35.552 --> 00:21:36.753]  The people strike back!
[00:21:39.961 --> 00:21:41.923]  Are you wondering about your retirement portfolio?
[00:21:42.303 --> 00:21:48.288]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:21:48.548 --> 00:21:52.452]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:21:52.672 --> 00:21:59.518]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:21:59.838 --> 00:22:05.380]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:22:05.740 --> 00:22:13.103]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:22:16.527 --> 00:22:17.428]  We're good to go.
[00:22:38.872 --> 00:22:44.355]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:22:44.376 --> 00:22:44.916]  and the world.
[00:22:45.176 --> 00:22:48.638]  And for the first time in their lives, they are feeling the need for preparedness.
[00:22:49.038 --> 00:22:55.262]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:22:55.542 --> 00:22:57.324]  Ready Reserve is the manufacturer.
[00:22:57.564 --> 00:23:02.807]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[00:23:02.987 --> 00:23:05.550]  With double enamel cans and nitrogen packaging.
[00:23:05.791 --> 00:23:10.216]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:23:10.497 --> 00:23:16.044]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
