[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[00:09:00.454 --> 00:09:02.855]  It's just an extraordinary piece of work.
[00:09:03.235 --> 00:09:13.599]  What Ron does is he weaves history and economics and the Constitution together with his own life experiences from the time he was a little boy to today on Capitol Hill.
[00:09:14.259 --> 00:09:17.863]  Well, I had Congressman Paul on yesterday, graciously in his busy schedule, and I made the point that
[00:09:36.713 --> 00:09:46.678]  Even if they shoot this down and play dirty tricks, and CNBC is saying Fed would be shut down if it were audited, experts say society would collapse, they're saying, on other news programs.
[00:09:47.358 --> 00:10:04.367]  I mean, obviously they may pull a chicanery and beat it this time, but the idea of this alien, offshore, above the law, arrogant group that's engineered the crisis we're under, now posing as our saviors, no matter what they do, it's inexorable that their days are numbered.
[00:10:05.051 --> 00:10:19.376]  Well, you know, it's important to remember that, and of course there are many evil institutions in Washington, D.C., whether it's the IRS or the EPA or the HUD or the rest of the alphabet from hell, or the Pentagon, all the rest of them.
[00:10:19.756 --> 00:10:24.777]  But the worst thing in Washington, the worst operation that goes on there is the Federal Reserve.
[00:10:24.797 --> 00:10:29.939]  It is the Federal Reserve that makes possible this biggest government in the history of the world, the U.S.
[00:10:29.959 --> 00:10:30.179]  government.
[00:10:30.797 --> 00:10:33.278]  It's the Federal Reserve that makes possible world wars.
[00:10:33.678 --> 00:10:38.421]  It's the Federal Reserve that makes possible all the crazy environmental stuff that they're engineering now.
[00:10:38.701 --> 00:10:41.962]  Without a Federal Reserve, they wouldn't be talking about socializing medical care.
[00:10:42.363 --> 00:10:46.325]  It's the brain, the heart, the stomach, everything.
[00:10:46.865 --> 00:10:48.586]  And the IRS is the mouth feeding it.
[00:10:48.646 --> 00:10:48.926]  Go ahead.
[00:10:49.466 --> 00:10:51.007]  Well, it's the Fed that makes profit.
[00:10:51.027 --> 00:10:52.108]  It's the printing press.
[00:10:52.409 --> 00:10:55.731]  But we can think of the Fed as being nothing other than a counterfeiting press.
[00:10:56.132 --> 00:11:01.416]  It's like a counterfeiter in the basement in a local town hurting the local economy with its phony money.
[00:11:02.056 --> 00:11:03.157]  Only global.
[00:11:03.197 --> 00:11:09.182]  I mean, on a global scale, they put out trillions of dollars of money just created out of thin air.
[00:11:09.703 --> 00:11:11.704]  And, of course, it benefits the government itself.
[00:11:11.784 --> 00:11:18.210]  It benefits the big banks, the military-industrial complex, all the rest of the people associated with the central state in Washington.
[00:11:18.810 --> 00:11:23.295]  At the expense of the American people, and really the people of the whole world end up paying for this.
[00:11:23.656 --> 00:11:36.229]  And it's a rip-off, it's a transfer of funds from poor people, elderly people, rural people, other groups that aren't blessed in our society, to the most powerful and the richest people connected to the government.
[00:11:38.551 --> 00:11:41.613]  His predecessor was called by Andrew Jackson, the monster.
[00:11:41.953 --> 00:11:44.415]  And I always think that's a good phrase for the Federal Reserve, too.
[00:11:44.835 --> 00:11:47.417]  I mean, it causes the business cycle.
[00:11:47.917 --> 00:11:52.380]  It's because of the Federal Reserve that we now have this horrific financial crisis we're in.
[00:11:52.400 --> 00:11:54.261]  They caused the artificial boom.
[00:11:54.301 --> 00:11:55.581]  They caused the housing boom.
[00:11:55.982 --> 00:11:57.543]  They caused the dot-com boom.
[00:11:57.823 --> 00:11:59.464]  They caused the Great Depression.
[00:12:00.244 --> 00:12:02.025]  Ever since the Federal Reserve was established in 1913,
[00:12:03.743 --> 00:12:19.906]  We, it's caused a huge series of booms and busts, and of course you can't really tell how much poorer we are because of the Federal Reserve and its ability to pump up the government and cause these booms and busts, but we're probably two or three times poorer than a very, very conservative estimate.
[00:12:19.946 --> 00:12:28.008]  Every American, we would all be a much richer society if it weren't for the group of criminals called the Federal Reserve System.
[00:12:30.268 --> 00:12:31.008]  Absolutely.
[00:12:32.569 --> 00:12:46.217]  Expanding on that, you of course run the Ludwig von Mies Institute, full of top, world-renowned economists, people that research this, but just studying basic history, it's not even a hidden fact that we didn't really have a business cycle.
[00:12:46.257 --> 00:12:50.059]  It was explosive, 10% growth on average, completely stable money.
[00:12:51.139 --> 00:13:08.435]  Absolute milk and honey, 4% of the world's population got half the wealth of the world, 80 plus percent of the patents, just huge levels of high education from homeschooling, the apple of the world's eye, then colonized by the Federal Reserve
[00:13:08.775 --> 00:13:13.099]  Takeover in 1913, they engineered the 33 Collapse War Powers Act.
[00:13:13.500 --> 00:13:23.930]  They brag in IMF and World Bank documents and hundred-year-old American Banking Association documents that we have, that they love booms and busts to get you inflated and blow it out and consolidate.
[00:13:24.250 --> 00:13:33.079]  This is a predatory group of shysters, of magicians engaging in scams and chicanery who bamboozle and scam the public.
[00:13:33.579 --> 00:13:33.839]  I think?
[00:13:51.953 --> 00:14:01.424]  You know, Patriot System, the whole Homeland Security apparatus we discover from the documents we broke is for veterans, gun owners, conservatives, Ron Paul, libertarians, yourself, myself.
[00:14:01.904 --> 00:14:11.875]  I mean, we now know this offshore alien corporation is setting up and preparing to make war upon the American people if we try to ever kick the bankers out or bring them to justice.
[00:14:11.915 --> 00:14:12.456]  Lou Rockwell.
[00:14:12.876 --> 00:14:19.498]  Well, Alex, you know, I think that Ron Paul ignited a prairie fire against the Federal Reserve in his presidential campaign.
[00:14:19.858 --> 00:14:27.219]  And I think back to his speech after the Dearborn, in October 2007, the Dearborn Republican primary debate.
[00:14:27.519 --> 00:14:32.481]  He went to the University of Michigan afterwards, and there were about 4,000 kids in the quad there to hear him.
[00:14:32.821 --> 00:14:34.941]  A lot of kids think you're a politician, we were told.
[00:14:35.561 --> 00:14:40.563]  And so Ron starts talking about foreign policy, about the free market, everybody's cheering him.
[00:14:41.243 --> 00:14:42.223]  And then all of a sudden,
[00:14:42.881 --> 00:14:43.501]  We're good to go.
[00:15:06.016 --> 00:15:15.061]  And I fed movement in its size, its excitement, and its possibilities, to that moment in the quad at the University of Michigan, when these kids responded to Ron Paul.
[00:15:15.502 --> 00:15:17.163]  And I'll tell you, it bothers the Fed.
[00:15:17.223 --> 00:15:28.589]  There was a great article, great from, I mean, sort of the opposite, bad article, but great from our standpoint, in Forbes, where they said, look, it's time for the Fed to be boring again.
[00:15:29.090 --> 00:15:31.051]  People should not be interested in the Fed.
[00:15:31.491 --> 00:15:35.674]  They can't do their wonderful work for humanity if they're being scrutinized.
[00:15:36.054 --> 00:15:38.636]  So Ron Paul's bill to audit the Fed is terrible.
[00:15:39.076 --> 00:15:44.259]  All interest in the Fed, picked up by professional economists, should be discouraged.
[00:15:44.740 --> 00:15:51.224]  Of course, the Fed is not boring, although they'd like us to think it's boring, because they're ripping us off.
[00:15:51.784 --> 00:15:54.686]  And Ron Paul is the engine of this movement.
[00:15:55.106 --> 00:16:06.071]  That has just swept the country and all over the world, as a matter of fact, where people want to know about the Fed, want transparency, and the ones who really understand the Fed.
[00:16:06.091 --> 00:16:11.853]  And I want to mention a great book by Thomas Woods at the Mises Institute called Meltdown about this recent crisis.
[00:16:12.433 --> 00:16:15.135]  We're going to be having him on.
[00:16:15.476 --> 00:16:16.556]  Yeah, I know that.
[00:16:16.576 --> 00:16:21.920]  This is another great book to read, but there is a strong anti-Fed movement.
[00:16:22.301 --> 00:16:23.241]  It's getting stronger.
[00:16:23.581 --> 00:16:26.964]  Whatever these birds do in Congress is not the heart of it.
[00:16:27.304 --> 00:16:29.066]  The heart of it is among the American people.
[00:16:29.366 --> 00:16:30.687]  They're scared at the Fed.
[00:16:31.327 --> 00:16:33.848]  They've hired a lobbyist to try to block Ron Paul.
[00:16:34.108 --> 00:16:36.489]  You have Bernanke going on 60 minutes twice.
[00:16:36.769 --> 00:16:40.510]  Never in the history of the Fed has a Fed chairman appeared on a regular media show like that.
[00:16:40.590 --> 00:16:42.411]  And Lou, I want to ask you this, and I agree with you.
[00:16:42.911 --> 00:16:48.293]  This is going to backfire, and they've gone from their arrogance above the Congress to scared.
[00:16:48.693 --> 00:16:55.015]  That air of invincibility, that air of arrogance, that veneer of royalty has now left them.
[00:16:55.295 --> 00:16:57.196]  People are realizing they're not invincible.
[00:16:57.916 --> 00:16:59.517]  So, let's talk Turkey.
[00:17:00.038 --> 00:17:01.439]  How are they going to counter us?
[00:17:01.479 --> 00:17:08.584]  And their answer is, same way they got the banker takeover October 3rd, we're going to have a depression if you audit us, and you're white supremacist if you do.
[00:17:08.924 --> 00:17:12.187]  That's why they've seized on this Von Brun deranged person.
[00:17:12.207 --> 00:17:17.951]  I mean, you've got, in polls, the Fed is 60-70% unpopular.
[00:17:18.211 --> 00:17:20.413]  I guess 70% of Americans are white supremacists?
[00:17:20.753 --> 00:17:22.515]  I think that's going to backfire on them as well.
[00:17:23.427 --> 00:17:36.519]  Well, I think that just the fact that Americans are learning what this institution does, that it's not just a name on the bill in your pocket, but it's actually the greatest rip-off engine in the history of the world, working against us every day.
[00:17:36.539 --> 00:17:41.184]  As people get interested in it, they begin to understand it, they want to abolish it.
[00:17:41.204 --> 00:17:47.590]  It's unconstitutional, it's immoral, it's bad politically, it's hurtful in every way.
[00:17:48.951 --> 00:17:57.733]  Alright, he's the head of the Lubitvang Mies Institute, and he is a best-selling author in his own right, and also the former congressional chief of staff for Ron Paul.
[00:17:58.234 --> 00:17:59.134]  Lou Rockwell.
[00:17:59.674 --> 00:18:00.514]  Always love having him.
[00:18:00.534 --> 00:18:03.195]  Stay there, Lou will be right back and talk about the game plan.
[00:18:03.475 --> 00:18:04.595]  How we beat the bankers.
[00:18:04.895 --> 00:18:05.816]  How we bring them down.
[00:18:05.876 --> 00:18:06.696]  How we end the Fed.
[00:18:07.056 --> 00:18:07.536]  Hoorah!
[00:18:07.656 --> 00:18:10.037]  Are you concerned for the safety of your loved ones?
[00:18:10.337 --> 00:18:13.519]  Listen closely to this message from Pepperspray.com.
[00:18:13.959 --> 00:18:16.800]  Every 22 seconds a violent crime is committed.
[00:18:17.100 --> 00:18:21.242]  America has changed and your personal safety is your first priority.
[00:18:21.542 --> 00:18:22.162]  Be smart.
[00:18:22.342 --> 00:18:22.982]  Be safe.
[00:18:23.302 --> 00:18:25.663]  Trust Pepperspray instead of your luck.
[00:18:25.903 --> 00:18:32.146]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:18:32.486 --> 00:18:38.251]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:18:38.471 --> 00:18:40.913]  From big to small, we have it all.
[00:18:41.174 --> 00:18:44.957]  Pepper spray, mace, animal repellents, stun guns and tasers.
[00:18:45.197 --> 00:18:51.602]  Pepperspray.com also carries a large assortment of products for personal, home, child and pet safety.
[00:18:51.923 --> 00:18:56.527]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:18:56.827 --> 00:18:58.228]  So what are you waiting for?
[00:18:58.488 --> 00:18:59.189]  Go to Pepperspray.com
[00:19:03.051 --> 00:19:13.335]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:19:13.835 --> 00:19:20.818]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:19:21.394 --> 00:19:27.597]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:19:27.998 --> 00:19:29.819]  Well, Obama's already fudging.
[00:19:29.959 --> 00:19:32.380]  He's fudged since day one of this election.
[00:19:32.460 --> 00:19:43.426]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:19:44.042 --> 00:19:45.323]  It's not about left or right.
[00:19:45.704 --> 00:19:47.105]  It's about a one world government.
[00:19:47.565 --> 00:19:53.931]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:19:54.472 --> 00:20:02.279]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:20:02.739 --> 00:20:03.900]  The Obama Deception.
[00:20:04.321 --> 00:20:05.502]  The people strike back.
[00:20:07.600 --> 00:20:13.586]  If you've always wanted to experience the amazing benefits from using oil of oregano, the time to act is now!
[00:20:13.847 --> 00:20:20.293]  With so many places to choose from, where can you be 100% certain you're getting the highest quality oil for your dollar?
[00:20:20.453 --> 00:20:21.735]  The answer is simple.
[00:20:21.915 --> 00:20:23.256]  Purebulk.com.
[00:20:23.456 --> 00:20:27.881]  Purebulk.com brings you ultra-pure, non-diluted oil of oregano with
[00:20:28.041 --> 00:20:28.301]  I think so.
[00:20:52.009 --> 00:20:52.989]  Absolutely free!
[00:20:53.229 --> 00:20:56.530]  Just enter promotional code IODINE at website checkout.
[00:20:56.650 --> 00:20:58.190]  Visit purebulk.com.
[00:20:58.290 --> 00:21:00.051]  That's purebulk.com.
[00:21:00.211 --> 00:21:00.791]  Or call 406-251-3270.
[00:21:00.811 --> 00:21:01.051]  406-251-3270 today!
[00:21:01.151 --> 00:21:01.451]  It is the
[00:21:17.429 --> 00:21:21.413]  Second annual 2009 InfoWars.com Money Bomb.
[00:21:21.433 --> 00:21:27.780]  And if you're watching this later at PrisonPlanet.tv or on YouTube in six months and you want to support us, go to InfoWars.com.
[00:21:27.800 --> 00:21:28.761]  Buy the books, the videos.
[00:21:29.122 --> 00:21:32.826]  Endgame, Blueprint for Global Enslavement, Truth Rising, The Obama Deception.
[00:21:33.546 --> 00:21:35.789]  Why are these films number one on the internet?
[00:21:37.113 --> 00:21:39.594]  Get the DVD and see it in the high quality it was meant to be seen in.
[00:21:39.995 --> 00:21:43.697]  Find out the information that is shaking the foundations of the New World Order.
[00:21:43.937 --> 00:21:47.879]  And we're all in this together with great folks like Lou Rockwell of lourockwell.com.
[00:21:47.899 --> 00:21:49.400]  They're on your screen.
[00:21:50.741 --> 00:21:57.085]  Coming up the next hour, we'll take about 15-20 minutes of calls with Lou Rockwell for those that are patiently holding at 1-800-259-9231.
[00:21:57.445 --> 00:22:02.588]  Lou, I know you're trying to focus on the positive here, but I don't know what the media is doing.
[00:22:03.068 --> 00:22:04.569]  You have the DHS report.
[00:22:05.580 --> 00:22:29.999]  uh... that we broke in the my report we broken all the others and i've been seeing these for years as nobody would pay attention to him until now where they're saying ron paul conservatives libertarians in the fed groups i got secret documents in the army confirm that the bar me was spying on ron paul last year at the end the fed meeting uh... in houston and spying on us in dallas and are in the fed meeting as potential terrorist
[00:22:30.880 --> 00:22:32.842]  So they put this script out.
[00:22:32.962 --> 00:22:34.323]  I know that blew up in their face.
[00:22:35.224 --> 00:22:41.489]  But still, this does show that they consider us to be a real threat and are trying to sick the Defense Department on us.
[00:22:42.349 --> 00:22:44.671]  But at the same time saying vets are the number one threat.
[00:22:45.932 --> 00:22:49.595]  And all these anti-gun bills introduced and all this draconian stuff going on.
[00:22:49.615 --> 00:22:51.577]  I mean, this is amazing.
[00:22:52.731 --> 00:23:01.920]  Well, America's been, unfortunately, at least a soft fascist state since Franklin Roosevelt and his New Deal, and it's been getting worse since then.
[00:23:01.940 --> 00:23:06.625]  There have been stops and starts, and back, step forward, step backward, and so forth.
[00:23:06.985 --> 00:23:08.107]  So yeah, we have, we have...
[00:23:10.114 --> 00:23:12.516]  Again, the biggest government in the history of the world, the U.S.
[00:23:12.556 --> 00:23:13.797]  government, it hates dissent.
[00:23:14.197 --> 00:23:21.744]  It wants all of us to be good little boys and girls, turn over our wallets, turn over our children for their wars, obey them, listen to them, and salute them.
[00:23:21.764 --> 00:23:23.345]  I mean, that's the way they want things.
[00:23:23.705 --> 00:23:24.906]  So anybody who is a dissident...
[00:23:26.267 --> 00:23:28.649]  Whether from the left or the right is hated.
[00:23:29.310 --> 00:23:31.892]  And of course they want to, you know, they don't like us.
[00:23:32.432 --> 00:23:34.734]  And we can't trust, obviously, the mainstream media.
[00:23:34.754 --> 00:23:41.099]  In effect, a state media operation, no different from the ones in some other countries.
[00:23:41.699 --> 00:23:42.760]  They're giving out lies.
[00:23:43.040 --> 00:23:46.803]  They smear anybody who's opposed to the federal government.
[00:23:46.863 --> 00:23:47.724]  It's Federal Reserve.
[00:23:47.764 --> 00:23:48.325]  It's wars.
[00:23:48.805 --> 00:23:50.646]  It's all the... It's spying.
[00:23:51.527 --> 00:23:52.268]  It's welfare.
[00:23:53.001 --> 00:23:54.083]  Economic transfers.
[00:23:54.744 --> 00:23:55.565]  Destructionism.
[00:23:56.046 --> 00:23:57.789]  They're a terrible bunch in the government.
[00:23:58.149 --> 00:24:01.795]  And yeah, they don't like us saying them nay, but here's the good news.
[00:24:02.757 --> 00:24:04.820]  Government depends on the consent of the government.
[00:24:05.600 --> 00:24:09.022]  They actually depend on at least the tacit consent of the people.
[00:24:09.443 --> 00:24:16.508]  And if the people ever start to withdraw that consent, they get terrified, and they can be brought down.
[00:24:17.248 --> 00:24:20.010]  You know, you mentioned the Ayatollah Khomeini a little bit ago.
[00:24:20.470 --> 00:24:27.455]  Obviously not exactly our cup of tea, the Ayatollah Khomeini, but the way he brought down the Shah, the dictatorship the U.S.
[00:24:27.495 --> 00:24:33.079]  government had set up, by the way, in Iran, a monstrous government with horrible torture and secret police and
[00:24:33.660 --> 00:24:39.957]  And punishing businessmen for raising prices against their horrendous paper money inflation.
[00:24:41.327 --> 00:24:47.511]  The way that the Ayatollah Khomeini brought it was changing people's minds, as you say, through these cassette tapes, which were an important part of it.
[00:24:47.951 --> 00:24:55.517]  They changed people's minds, and when the people of Iran withdrew their consent from the Shah, the whole government disappeared like a bunch of leaves in the wind.
[00:24:55.537 --> 00:24:57.318]  It didn't matter, he had secret police.
[00:24:57.338 --> 00:24:59.580]  It didn't matter, he had vast armies.
[00:24:59.620 --> 00:25:04.664]  Because the number of people who were... You know, the government is a parasite, it's an economic parasite.
[00:25:05.264 --> 00:25:08.927]  And just so they can live in the style to which they are accustomed,
