[00:00:09.810 --> 00:00:10.250]  Oh, Willie.
[00:14:43.294 --> 00:14:44.035]  Yeah, we'll kill you.
[00:14:44.315 --> 00:14:46.257]  And then he said he ran, which by the way, he didn't.
[00:14:46.677 --> 00:14:49.519]  Police just came running up to some guy, totally innocent, they admit.
[00:14:49.539 --> 00:14:51.221]  And he's in a coma, his life's probably over.
[00:14:51.241 --> 00:14:52.702]  Hey, that's the way it goes.
[00:14:53.263 --> 00:14:56.065]  And the government's going to take your bank accounts, too, if y'all like it.
[00:14:56.105 --> 00:14:57.466]  The paramilitary's going to kill you.
[00:14:57.907 --> 00:14:59.128]  That's the system we live under.
[00:14:59.168 --> 00:15:00.849]  So they love setting this precedent.
[00:15:00.909 --> 00:15:04.212]  So he is going to probably lose his EMT license.
[00:15:04.592 --> 00:15:06.074]  His life is probably over.
[00:15:06.574 --> 00:15:07.436]  And the cops won't care.
[00:15:07.456 --> 00:15:08.838]  They won't care he loses his job.
[00:15:08.878 --> 00:15:10.802]  They won't care he loses every property of his own.
[00:15:11.162 --> 00:15:13.006]  This is about killing freedom.
[00:15:13.306 --> 00:15:17.033]  This is about setting a precedent of, we will pull an ambulance over.
[00:15:17.694 --> 00:15:19.337]  We will rough you up and you...
[00:15:20.074 --> 00:15:31.423]  We'll not do anything to the gods and then, that's not enough, we will take your job, we will take your house, we will take everything you've got because we are God.
[00:15:31.843 --> 00:15:33.044]  We rule you.
[00:15:33.064 --> 00:15:36.366]  We will take your $14.8 trillion and give it to offshore banks.
[00:15:36.827 --> 00:15:39.429]  We will shoot your kids up with mercury till they die.
[00:15:39.689 --> 00:15:41.090]  We will GMO your food.
[00:15:41.410 --> 00:15:42.451]  We are a tyranny.
[00:15:43.232 --> 00:15:48.796]  This is the religion of worshipping tyranny and always pressing on the nerve of power.
[00:15:49.642 --> 00:15:56.545]  And I'm telling you, I know a lot of police are nice because I've been in car wrecks and I've had nice cops show up, but these are mentally ill roid heads.
[00:15:57.005 --> 00:15:58.946]  These are the people that will inherit the earth.
[00:15:59.026 --> 00:16:02.167]  These are the people replacing our old police and military.
[00:16:02.687 --> 00:16:03.827]  This is what it's turned into.
[00:16:03.907 --> 00:16:05.328]  So this is the incredible thing.
[00:16:05.888 --> 00:16:13.091]  After they try to keep these men from rendering aid, after they pull over an ambulance with a woman in serious condition,
[00:16:14.656 --> 00:16:31.522]  When the EMTs dare argue with literal God, and this is right of kings, this is divine rulership, this is, because if the federal government has the pure precept of above the law, then all of their minions do, and this is the nature of tyranny.
[00:16:31.542 --> 00:16:43.947]  And so America, they're going to take our property, they're going to raise our taxes, they're going to micromanage every facet of our lives, as Nancy Pelosi said in Beijing, the AP reporting, saying everything you do will be categorized, everything you do will be tracked,
[00:16:44.937 --> 00:16:47.379]  Everything is about this new religion of the environment.
[00:16:47.399 --> 00:16:48.639]  It has nothing to do with the environment.
[00:16:48.659 --> 00:16:49.680]  It's about total control.
[00:16:50.060 --> 00:16:53.702]  And you understand, it's not enough they did this to these EMTs.
[00:16:54.683 --> 00:16:56.904]  EMTs could face charges after incident with Trooper.
[00:16:56.924 --> 00:17:10.672]  And what they'll do is they'll say, if you'll come out and admit you're wrong and say you're bad, and say it's normal to have police pull over an ambulance and rough you up for no reason, if you come out and bow to the idol, bow in worship tyranny, then we might drop charges on you.
[00:17:11.337 --> 00:17:13.459]  But then, see, then next time it won't even matter.
[00:17:13.739 --> 00:17:21.226]  Soon they'll just be executing us on the side of the street, and they'll show it on the news and have people literally in priest robes bowing down and worshipping it.
[00:17:21.586 --> 00:17:28.632]  This is how charity works, and so, uh... I mean, it's just unbelievable, ladies and gentlemen.
[00:17:31.914 --> 00:17:35.757]  It is unbelievable, Alex, and... I mean, the video speaks for itself.
[00:17:35.817 --> 00:17:39.379]  This is a guy who was just trying to take a woman to the hospital.
[00:17:39.439 --> 00:17:43.082]  The husband, frantic on the side, trying to make sure that his wife is okay.
[00:17:43.122 --> 00:17:47.344]  A son, frantic, taking cell phone video, because it's the only way!
[00:17:47.364 --> 00:17:49.766]  It's the only way to keep it on the record.
[00:17:50.086 --> 00:17:51.988]  Infowars.com, PrisonPlanet.tv.
[00:17:52.028 --> 00:17:52.888]  We'll be back after this.
[00:17:52.928 --> 00:17:53.889]  It's the Alex Jones Show.
[00:17:55.836 --> 00:18:02.940]  Due to recent events related to the H1N1 virus, the Center for Disease Control has issued a public health emergency across the United States.
[00:18:03.160 --> 00:18:05.901]  What can you do to prepare yourself for potential airborne threats?
[00:18:06.201 --> 00:18:11.924]  Using patented technology developed for NASA, ZeroFlu.com offers you the very best in air purifiers.
[00:18:12.124 --> 00:18:17.127]  These revolutionary air purifiers sanitize and protect up to 3,000 square feet of your home
[00:18:17.227 --> 00:18:17.827]  We're good to go.
[00:18:43.083 --> 00:18:47.444]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:18:47.464 --> 00:18:52.745]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:19:09.753 --> 00:19:15.955]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:19:16.375 --> 00:19:18.175]  Well, Obama's already fudging.
[00:19:18.315 --> 00:19:20.736]  He's fudged since day one in this election.
