[00:00:00.009 --> 00:00:01.150]  Great videos we carry.
[00:02:34.101 --> 00:02:35.223]  They're actually calling for that.
[00:02:35.243 --> 00:02:36.464]  In fact, oh, people won't believe me.
[00:02:37.365 --> 00:02:39.567]  Google fireworks
[00:02:41.687 --> 00:02:42.688]  Carbon footprint.
[00:02:43.209 --> 00:02:44.610]  Bad for greenhouse gases.
[00:02:44.630 --> 00:02:51.457]  See, the global carbon tax is all about micromanaging and regulating every facet of your life.
[00:02:51.517 --> 00:02:56.962]  So, you may still have the fireworks, you're just going to pay a big tax to be able to have the fireworks.
[00:02:57.563 --> 00:03:05.210]  And the government can selectively enforce and control who can have a factory and who can't.
[00:03:05.931 --> 00:03:07.732]  Who can have a car dealership and who can't?
[00:03:07.772 --> 00:03:10.054]  Now that the federal government runs General Motors.
[00:03:10.434 --> 00:03:13.597]  Whoever is friends of the government, the Democratic Party, they get to stay open.
[00:03:14.077 --> 00:03:16.839]  If you don't, work with the mafia, you get closed.
[00:03:17.239 --> 00:03:17.920]  That's on record.
[00:03:18.640 --> 00:03:21.863]  This is the out-of-control wickedness we're all witnessing.
[00:03:23.524 --> 00:03:26.006]  Now, I have noticed that
[00:03:28.263 --> 00:03:35.727]  Every time, it's summertime, the last 10 years, they get on the news and they say, global warming has caused this.
[00:03:36.607 --> 00:03:44.851]  We're having a hot summer in Texas or in Illinois or in California, wherever it is, because of global warming.
[00:03:49.994 --> 00:03:50.595]  There you go!
[00:03:50.615 --> 00:03:54.082]  Mainstream News, London Guardian, ban the fireworks displays.
[00:03:54.143 --> 00:03:54.804]  Print that for me.
[00:03:55.265 --> 00:03:56.708]  See, everything's going to get banned.
[00:03:57.109 --> 00:03:58.552]  But see, actually, it's not going to get banned.
[00:03:58.912 --> 00:04:01.237]  You're just going to pay your cut to Don Carleone.
[00:04:02.250 --> 00:04:03.291]  The Carbon Cops.
[00:04:03.991 --> 00:04:05.012]  Pull it up for them.
[00:04:05.072 --> 00:04:07.053]  Pull up Carbon Climate Cops.
[00:04:07.434 --> 00:04:12.958]  And it shows the kids in their red and black uniforms in England and the US, the cartoon characters of two years ago.
[00:04:13.418 --> 00:04:18.201]  Now the real uniforms are the Climate Cop uniforms, red and black.
[00:04:18.862 --> 00:04:20.163]  Show them the Climate Cops.
[00:04:21.880 --> 00:04:26.124]  And then show them city year climate cops.
[00:04:26.604 --> 00:04:37.113]  Two years later, it goes from taught in public schools about here are the climate cops, report on your parents, there the little bastards are, to actual uniforms.
[00:04:37.173 --> 00:04:39.015]  See, it's a vortex of evil.
[00:04:39.035 --> 00:04:46.461]  In fact, we ought to pull up the New York Times where it shows the little girl reporting on mommy and writing tickets because mommy takes a hot bath.
[00:04:48.052 --> 00:04:49.233]  And that that's a climate crime?
[00:04:49.253 --> 00:04:51.554]  And the mother says, oh, I'm so glad my daughter's reporting on me?
[00:04:52.915 --> 00:04:54.196]  In fact, Google this.
[00:04:54.897 --> 00:04:55.417]  Climate...
[00:04:57.833 --> 00:05:02.215]  Government textbook, Australian textbook, teaches children to commit suicide.
[00:05:02.856 --> 00:05:06.878]  And they had an accompanying video game where it tells the children you're supposed to kill yourselves.
[00:05:06.938 --> 00:05:07.618]  And this is thought.
[00:05:08.358 --> 00:05:13.821]  And then mainly the girls get sad for the earth, sad for the kitties and stuff, literally, and go hang themselves.
[00:05:13.881 --> 00:05:15.301]  And there's a little celebration.
[00:05:16.462 --> 00:05:17.622]  Oh, for the earth.
[00:05:17.883 --> 00:05:18.543]  Very sick.
[00:05:18.803 --> 00:05:23.265]  See, everything's just totally sick, totally evil, totally insane, and then I'm the same one.
[00:05:23.305 --> 00:05:24.306]  A lot of you are sane.
[00:05:24.726 --> 00:05:31.390]  We see all of this as totally insane and sickening for what it is, and it drives us crazy, and we get upset, and then we're the bad ones.
[00:05:31.770 --> 00:05:32.811]  We're the evil ones.
[00:05:35.612 --> 00:05:36.913]  Steve Watson wrote an article about it.
[00:05:37.353 --> 00:05:45.898]  Just type, just type, type, website, ABC website, with ABC News Australia,
[00:05:46.826 --> 00:05:48.307]  Teach his kids to kill themselves.
[00:05:48.788 --> 00:05:49.628]  It'll come up for you.
[00:05:50.349 --> 00:06:04.081]  You know, when we go live at PrisonPlanet.tv, and I know a lot of people are watching this at PrisonPlanet.tv in the archives, or when it gets ripped to the web later, all over the planet, I want the first thing viewers out there to see is say, number one, I'm not going to believe Alex Jones.
[00:06:04.741 --> 00:06:06.943]  I'm going to go check everything he just said.
[00:06:07.583 --> 00:06:09.145]  And I'm going to look it up for myself.
[00:06:11.178 --> 00:06:15.523]  And then ask yourselves, is Alex getting angry enough about this?
[00:06:15.583 --> 00:06:26.874]  Because I think when they're training kids worldwide to go write dossiers on their parents, and they have the parents in the newspapers everywhere saying it's good, I love my kids reporting on me, I think we have a problem.
[00:06:29.837 --> 00:06:31.059]  And it gets worse.
[00:06:32.093 --> 00:06:32.593]  Yeah, there it is.
[00:06:32.673 --> 00:06:34.854]  ABC website tells kids they should die.
[00:06:35.674 --> 00:06:38.415]  And that's from news.com.au.
[00:06:38.475 --> 00:06:39.576]  That's from mainstream.
[00:06:40.236 --> 00:06:43.417]  Click on the link, take them to the actual Australian side or they won't believe it.
[00:06:43.797 --> 00:06:45.078]  That was from prisonplanet.com.
[00:06:46.298 --> 00:06:47.518]  They must see it for themselves.
[00:06:47.538 --> 00:06:49.899]  They must face it for themselves.
[00:06:50.379 --> 00:06:51.740]  Is teaching children to kill themselves good?
[00:06:52.040 --> 00:06:57.343]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:06:57.883 --> 00:07:06.267]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:07:06.467 --> 00:07:13.230]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:07:13.570 --> 00:07:19.071]  This new technology has proven itself to be a formidable weapon against bio threats of today and tomorrow.
[00:07:19.331 --> 00:07:25.293]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:07:25.633 --> 00:07:31.894]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:07:32.294 --> 00:07:36.675]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:07:36.935 --> 00:07:39.896]  Check out the patented new silver solution today.
[00:07:40.316 --> 00:07:43.601]  Click on the link and check out the uses for new silver solution.
[00:07:44.001 --> 00:07:48.687]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:07:48.828 --> 00:07:50.930]  That's SupernaturalSilver.com today!
[00:07:51.513 --> 00:07:55.494]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[00:07:55.754 --> 00:07:57.534]  Do you really know what's in your tap water?
[00:07:57.754 --> 00:08:06.016]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:08:06.276 --> 00:08:11.498]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:08:11.818 --> 00:08:13.438]  Now, what are you going to do about it?
[00:08:13.678 --> 00:08:20.003]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:08:20.203 --> 00:08:30.952]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:08:31.252 --> 00:08:31.773]  That's right.
[00:08:32.033 --> 00:08:34.315]  Clean water, right from the air you breathe.
[00:08:34.595 --> 00:08:36.157]  Order today by calling 1-800-691.
[00:08:38.098 --> 00:08:38.739]  We're good to go.
[00:08:51.496 --> 00:08:57.059]  This is Alex Jones, and I want to tell you again about a company that has supported us and the Truth Movement for years.
[00:08:57.359 --> 00:08:58.520]  Inner Health Botanicals.
[00:08:58.660 --> 00:09:02.622]  This company produces the highest quality superfood around, called Inner Food.
[00:09:02.923 --> 00:09:04.484]  My wife just loves the stuff.
[00:09:04.784 --> 00:09:11.087]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:09:12.228 --> 00:09:14.769]  Inner Food is loaded with 20 great organic ingredients.
[00:09:15.109 --> 00:09:16.569]  No fillers, no sweeteners.
[00:09:16.830 --> 00:09:19.610]  It would be impossible to blend this up for a better price.
[00:09:19.850 --> 00:09:21.291]  And their formula really works.
[00:09:21.571 --> 00:09:24.112]  This is the real thing for the great health you need.
[00:09:24.372 --> 00:09:25.652]  Try the NutriCafe.
[00:09:25.872 --> 00:09:30.274]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:09:30.634 --> 00:09:32.835]  A truly healthy coffee that tastes great.
[00:09:33.035 --> 00:09:35.295]  And take it from me folks, it really does taste great.
[00:09:35.516 --> 00:09:37.256]  Don't forget to try their other great products.
[00:09:37.616 --> 00:09:38.717]  Go to www.
[00:09:40.117 --> 00:09:44.980]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:10:01.360 --> 00:10:09.322]  For stations that just joined us, coming up in this shower, I'm going to get into the hate crimes bill, the subsections again, because we're about to lose the First Amendment.
[00:10:09.643 --> 00:10:10.863]  I mean, officially gone.
[00:10:11.723 --> 00:10:12.263]  On paper.
[00:10:12.884 --> 00:10:15.204]  If this passes the Senate this week, it's passed the House.
[00:10:15.904 --> 00:10:27.408]  And other hate crimes bills just stated that certain groups would be given special treatment if they had a crime committed against them.
[00:10:29.144 --> 00:10:34.308]  But now it just says that if you hurt someone's feelings, you're going to go to prison for 10 years.
[00:10:36.670 --> 00:10:38.132]  And it's going to pass.
[00:10:38.192 --> 00:10:39.012]  I can't believe this.
[00:10:39.864 --> 00:10:40.965]  I mean, it's going to become law.
[00:10:41.025 --> 00:10:42.886]  Now, we've got to ignore it and say no to it.
[00:10:43.326 --> 00:10:46.487]  Kind of like the McCain-Feingold campaign finance reform.
[00:10:47.168 --> 00:10:50.529]  Tripled the money lobbyists could give, but restricted what individuals could give.
[00:10:51.390 --> 00:10:54.471]  And banned talk radio on paper.
[00:10:54.491 --> 00:10:59.654]  You know, they made this claim that I can't have Larry Pratt on, say, from Gun Owners of America.
[00:11:00.034 --> 00:11:02.115]  Or six weeks before an election.
[00:11:02.996 --> 00:11:08.218]  Or if I wanted to have somebody on, say, from Greenpeace before an election, I can't.
[00:11:08.238 --> 00:11:09.039]  Have I agreed with that?
[00:11:09.966 --> 00:11:13.608]  Or if I wanted to have somebody on from the Boll Weevil Association, whatever that is.
[00:11:13.968 --> 00:11:16.029]  You know, the point is, no free speech.
[00:11:16.069 --> 00:11:17.830]  People just said, you know what, we're going to ignore you.
[00:11:18.391 --> 00:11:22.113]  Because a lot of this stuff is so criminal and over the top that we can just ignore it.
[00:11:23.754 --> 00:11:26.395]  But everything's carbon taxes.
[00:11:26.435 --> 00:11:28.556]  I want to get into that first and then some more of your phone calls.
[00:11:30.817 --> 00:11:33.379]  I told you that in Europe and California,
[00:11:34.437 --> 00:11:42.560]  Also Canada is wanting to put taxes on fireplaces, space heaters, outdoor space heaters to tax them or outright ban them.
[00:11:43.080 --> 00:11:47.262]  I told you there's a move to ban fireworks because they put off carbon.
[00:11:48.616 --> 00:11:49.457]  Everything's carbon.
[00:11:49.477 --> 00:11:50.738]  We're carbon-based life forms.
[00:11:51.278 --> 00:11:53.420]  It's making us illegal, as the Club of Rome said.
[00:11:53.740 --> 00:11:57.363]  It's a disgusting tax on all life, all activity, everything.
[00:11:57.383 --> 00:11:58.123]  The life cycle.
[00:11:58.403 --> 00:12:00.005]  It's a tax on what plants breathe.
[00:12:00.485 --> 00:12:01.526]  It is not a nerve gas.
[00:12:01.566 --> 00:12:02.586]  It is not a chemical weapon.
[00:12:02.626 --> 00:12:03.647]  It is not a devil weapon.
[00:12:03.927 --> 00:12:08.030]  It is not a satanic weapon of devilry.
[00:12:08.631 --> 00:12:10.092]  It is carbon dioxide.
[00:12:11.293 --> 00:12:14.015]  But I was in Target, just trying to buy some t-shirts.
[00:12:16.517 --> 00:12:27.090]  And they were all saying environmentally safe, zero carbon footprint for the earth and I couldn't buy them because I was giving money to a Nazi regime.
[00:12:27.170 --> 00:12:28.232]  I was giving money
[00:12:29.727 --> 00:12:45.017]  To something that's going to be used for eugenics, because they take the money from all this Green Revolution on record, then they roll in with investment for the poor, with the sterilization shots, with the HIV shots, with the debt, with the death and destruction, on record.
[00:12:45.377 --> 00:12:46.078]  Official U.S.
[00:12:46.098 --> 00:12:46.858]  government policy.
[00:12:46.878 --> 00:12:54.123]  So when you hear the liberals going, we gotta have a carbon tax, it'll fund helping the third world, ask them, go, but we need to get rid of those people, right?
[00:12:54.143 --> 00:12:56.324]  And they'll go, yes, of course.
[00:12:57.105 --> 00:12:57.285]  So,
[00:12:58.683 --> 00:13:01.324]  We have stuff that does have an evil carbon footprint.
[00:13:04.046 --> 00:13:08.548]  We have cotton t-shirts made right here in the USA.
[00:13:10.814 --> 00:13:14.195]  Cotton t-shirts designed and printed up right here in the USA.
[00:13:14.815 --> 00:13:16.835]  The plants do breathe carbon dioxide.
[00:13:16.896 --> 00:13:17.816]  I want to warn people.
[00:13:18.356 --> 00:13:22.097]  The plants that grew this are chemical weapon breathers.
[00:13:22.477 --> 00:13:25.318]  They breathe the deadly devil carbon dioxide.
[00:13:25.778 --> 00:13:29.079]  They even drink the evil devil water.
[00:13:29.119 --> 00:13:31.159]  In fact, put the scientific name of water up on screen.
[00:13:31.799 --> 00:13:32.739]  And try this with your neighbors.
[00:13:32.759 --> 00:13:33.820]  Say, we've got to ban this.
[00:13:33.900 --> 00:13:34.540]  It's in the water.
[00:13:35.140 --> 00:13:38.984]  And they'll say, yes, ban it, ban it, your neighbor will be, I'm conscientious, hi, hi.
[00:13:39.304 --> 00:13:40.285]  And then go, but that's water.
[00:13:40.305 --> 00:13:43.649]  And they'll say, still ban the water, ban it all, it's evil.
[00:13:44.049 --> 00:13:45.651]  I mean, this is literally the system.
[00:13:47.493 --> 00:13:51.637]  Dihydrogen monoxide, ladies and gentlemen, hardcore weapon.
[00:13:53.342 --> 00:14:00.587]  So water is a chemical weapon, carbon dioxide that plants breathe is a chemical weapon, and this does have a carbon footprint.
[00:14:00.847 --> 00:14:18.980]  For a limited time, before all this is restricted and banned, and before the factory has to have special licenses to have this, of course there'll be no license on Mexico or China or India, it'll all just leave it there, we'll have to get you charged from there in the future because, you know, carbon footprint, it'll actually increase the carbon footprint though, moving it all to China and India.
[00:14:19.721 --> 00:14:21.042]  In a way it's kind of a good thing, but
[00:14:21.926 --> 00:14:23.087]  Simple as that, we'll lose our jobs.
[00:14:23.107 --> 00:14:24.908]  But I mean, it's a good thing that we'll have more carbon.
[00:14:26.248 --> 00:14:27.449]  Which is actually what plants breathe.
[00:14:27.489 --> 00:14:29.130]  But here are the new t-shirts.
[00:14:29.150 --> 00:14:30.390]  We got a new t-shirt each week.
[00:14:31.671 --> 00:14:35.093]  And InfoWars.com on the left breast over your heart.
[00:14:35.573 --> 00:14:36.774]  We'll zoom in on that.
[00:14:36.794 --> 00:14:38.454]  InfoWars.com.
[00:14:38.554 --> 00:14:41.296]  There is a war on for your mind.
[00:14:41.316 --> 00:14:46.419]  And then we've taken the famous bumper sticker and given it some 21st century oomph.
[00:14:51.121 --> 00:14:51.701]  Look at that!
[00:14:53.122 --> 00:14:55.542]  Don't steal the government hates competition.
[00:14:56.082 --> 00:15:00.484]  Infowars.com with a friendly police officer with a billy club.
[00:15:01.404 --> 00:15:03.345]  Now this is a shirt everybody should sport.
[00:15:04.145 --> 00:15:06.886]  And it's got that sporty, cutting-edge, trendy.
[00:15:06.906 --> 00:15:12.447]  There's a lot of folks with green mohawks, you know, wearing these kind of style of shirts, kind of that 50s retro.
[00:15:13.148 --> 00:15:15.668]  Ladies and gentlemen, sport this with a green mohawk.
[00:15:16.048 --> 00:15:17.649]  Now you're truly styling, huh?
[00:15:18.962 --> 00:15:21.164]  And it has an evil carbon footprint.
[00:15:24.046 --> 00:15:24.726]  Man, I'm evil.
[00:15:24.886 --> 00:15:25.126]  Woo!
[00:15:26.227 --> 00:15:34.333]  I was drinking farm milk the other day, actually from a cow in Georgetown that hadn't been pasteurized or had growth hormone added.
[00:15:35.194 --> 00:15:36.535]  Man, I'm radical!
[00:15:37.135 --> 00:15:38.736]  This show is radical!
[00:15:39.677 --> 00:15:40.578]  Extreme!
[00:15:40.758 --> 00:15:41.598]  Wild!
[00:15:41.618 --> 00:15:45.141]  Okay, now let me get serious here.
[00:15:47.165 --> 00:15:51.408]  Tony Blair, I'm a planet-saving kind of guy.
[00:15:51.428 --> 00:15:55.451]  He's saving us!
[00:15:56.952 --> 00:16:05.998]  I mean, this is a guy who turned England into a police state surveillance grid worse than 1984, with secret police everywhere.
[00:16:06.278 --> 00:16:12.362]  The Wall Street Journal admitted she had secret police interrogating her while she was in England, but still, I'm extreme though.
[00:16:13.188 --> 00:16:16.069]  Just everybody has secret police tell you to line up and answer questions.
[00:16:16.489 --> 00:16:17.530]  That's completely normal.
[00:16:17.890 --> 00:16:19.031]  The citizens are spies.
[00:16:19.071 --> 00:16:19.711]  Everything's fine.
[00:16:20.791 --> 00:16:21.592]  But that's alright.
[00:16:21.672 --> 00:16:22.232]  Tony Blair.
[00:16:22.712 --> 00:16:27.254]  I'm a planet-saving kind of guy.
[00:16:29.675 --> 00:16:34.197]  And this article with a straight face pushes global carbon taxes.
[00:16:37.486 --> 00:16:38.767]  Don't you want to save the planet?
[00:16:38.787 --> 00:16:46.950]  You know, it's kind of like a cool beatnik at a coffee shop, and it's like, oh, you got a big beard and a bandana, and you've got all the right stuff, and that must mean you're cool.
[00:16:47.310 --> 00:16:48.270]  What are you doing with your life?
[00:16:48.710 --> 00:16:51.071]  Oh, man, I'm saving the planet, daddy-o!
[00:16:51.632 --> 00:16:52.332]  Rad!
[00:16:52.592 --> 00:16:53.232]  All right!
[00:16:53.572 --> 00:16:54.973]  Hey, man, great!
[00:16:59.025 --> 00:17:01.326]  Meanwhile, you're stooges for eugenicists.
[00:17:01.786 --> 00:17:15.531]  And again, I don't care if you've got green hair, a mohawk, purple hair, blue hair, I don't care if you're wearing a cowboy hat, I don't care if you're wearing a three-piece suit, can we just get into liberty instead of how we look, or what color the president is, or what color Michael Jackson is?
[00:17:15.611 --> 00:17:28.576]  I saw a clip on the news, maybe the five minutes of news coverage, and it was that actor who played in any given Sunday, Jamie Foxx,
[00:17:30.086 --> 00:17:32.208]  I kind of think he's a good actor, but now I don't like him anymore.
[00:17:32.968 --> 00:17:38.012]  He was up there praising Michael Jackson, the pervert, and going, he's our Michael Jackson.
[00:17:38.032 --> 00:17:39.112]  He's our black man.
[00:17:39.453 --> 00:17:40.954]  It's all about race identity.
[00:17:41.234 --> 00:17:50.000]  Well, if you're so into your fellow black man, how about you, Jamie Foxx, stop the CPS from grabbing black kids and testing chemicals, biologicals, and radiologicals on them.
[00:17:50.260 --> 00:17:51.301]  It's going on right now.
[00:17:52.605 --> 00:17:58.046]  But no, it's too much fun to, you know, make $20 million a year and run around like a pimp, pimping everybody.
[00:17:58.066 --> 00:18:06.048]  Talking about Michael Jackson, who gave kids Jesus juice and his maximum security, uh, that's what he called it, the wine, when he got them drunk.
[00:18:07.308 --> 00:18:11.269]  You know, most of us in college are trying to get the chicks to get drunk and halfway pass out.
[00:18:11.589 --> 00:18:12.549]  Not Michael Jackson.
[00:18:12.589 --> 00:18:20.491]  He's got the little kids in there in his maximum security, uh, maximum security bedroom.
[00:18:25.745 --> 00:18:26.445]  It's unbelievable.
[00:18:30.908 --> 00:18:33.529]  Yeah, I had a maximum security bedroom back there getting the kids drunk.
[00:18:33.569 --> 00:18:35.150]  That's a real nice person, Mr. Fox.
[00:18:36.210 --> 00:18:38.491]  But see, because it's fad-driven, so it's okay.
[00:18:39.252 --> 00:18:41.653]  And that's all this global warming garbage is.
[00:18:42.413 --> 00:18:45.495]  Is it's another fad, another global scam.
[00:18:45.715 --> 00:18:52.298]  You got Fortune 500, all the media, the chemical companies, the energy companies, the NFL, everything's behind it.
[00:18:52.818 --> 00:18:53.379]  It's real.
[00:18:54.705 --> 00:19:00.793]  I randomly was at a Barnes and Noble this weekend and randomly, I wasn't randomly at the Barnes and Noble, I went there on purpose.
[00:19:01.154 --> 00:19:04.138]  Took my wife to dinner for her birthday and then went over next door to the Barnes and Noble.
[00:19:05.339 --> 00:19:09.285]  And I just randomly closed my eyes and grabbed two magazines.
[00:19:10.219 --> 00:19:20.349]  Both of them are how we gotta have global warming taxes and global warming regulation, and one of them was Atlantic Monthly, how we gotta save the planet with a world government, only the bankers can fix it.
[00:19:20.609 --> 00:19:32.041]  I mean, folks, I can randomly walk into a bookstore, walk over to the magazine rack, close my eyes, spin around, people probably thought I was crazy, spin around and just grab two magazines.
[00:19:34.571 --> 00:19:36.052]  And it's all New World Order propaganda.
[00:19:36.792 --> 00:19:38.473]  I mean, we are wallowing in it.
[00:19:38.913 --> 00:19:41.595]  We are swimming in it.
[00:19:41.995 --> 00:19:43.496]  We are living in it.
[00:19:43.576 --> 00:19:44.816]  It's all around us.
[00:19:45.197 --> 00:19:46.877]  And most of the public just capitulate.
[00:19:46.897 --> 00:19:48.218]  They go, I'm buying into it.
[00:19:48.558 --> 00:19:49.279]  It's a fad.
[00:19:49.359 --> 00:19:50.239]  Enslave me.
[00:19:50.519 --> 00:19:51.160]  Bankrupt me.
[00:19:51.260 --> 00:19:52.220]  I'll lose my job.
[00:19:52.700 --> 00:19:53.921]  But I'll sure be trendy.
[00:19:54.601 --> 00:19:55.202]  Go green.
[00:19:56.224 --> 00:20:02.007]  All the genetic engineering, the cross-species engineering, the toxic waste dumping in the water supply, the overfishing.
[00:20:02.287 --> 00:20:04.728]  There's a lot of real stuff going on that's a problem.
[00:20:04.988 --> 00:20:09.190]  And the government isn't going to do jack squat about that because they want all that to continue.
[00:20:10.411 --> 00:20:15.633]  The elite believes they've got nanotechnology and they can re-people the earth and they've got all these doomsday vaults built.
[00:20:15.873 --> 00:20:17.334]  They don't care if everything gets destroyed.
[00:20:17.354 --> 00:20:18.294]  That's part of their plan.
[00:20:18.534 --> 00:20:19.635]  They want everything to get wrecked.
[00:20:21.055 --> 00:20:25.338]  No, they want to tax innocuous carbon dioxide, the life-giving gas.
[00:20:26.019 --> 00:20:28.521]  4% of the atmosphere is carbon dioxide.
[00:20:28.541 --> 00:20:28.521]  4%!
[00:20:28.741 --> 00:20:29.722]  That's what plants breathe.
[00:20:31.003 --> 00:20:34.005]  And in many other times in history, it's been as much as 10 to 14%.
[00:20:37.849 --> 00:20:38.469]  It's low.
[00:20:38.549 --> 00:20:39.470]  We need more of it.
[00:20:40.671 --> 00:20:41.311]  But it doesn't matter.
[00:20:41.351 --> 00:20:44.033]  Tony Blair, he looks like a con artist.
[00:20:44.094 --> 00:20:50.639]  I mean, if you saw this guy standing around in a park by himself, you would think that he was looking for some lovin' in the bathroom.
[00:20:51.758 --> 00:21:01.603]  I mean, and this is a guy who admittedly does black magic rituals when he was Prime Minister, and everything he does is calculated by his wife, who's a witch.
[00:21:02.063 --> 00:21:06.946]  And folks, this isn't me saying he's a witch, let's throw him in the water and see if he sinks or floats.
[00:21:07.686 --> 00:21:16.351]  If at Google, Tony Blair witchcraft, or his wife, Tony Blair's wife witchcraft, you will see mainstream news, okay?
[00:21:17.231 --> 00:21:19.953]  The point is, this is a delusional scam artist criminal.
[00:21:21.738 --> 00:21:22.779]  And so what does he say?
[00:21:23.039 --> 00:21:25.881]  Oh, I'm a planet-saving kind of guy.
[00:21:25.921 --> 00:21:26.862]  Zoom in on this thug.
[00:21:26.882 --> 00:21:34.947]  When we come back, they're now saying summer is not natural and that there shouldn't be seasons.
[00:21:35.127 --> 00:21:35.607]  I told you.
[00:21:35.768 --> 00:21:36.728]  I told you that was next.
[00:21:37.149 --> 00:21:40.351]  I saw him building up to that, going, winter's too cold, global warming.
[00:21:40.391 --> 00:21:41.551]  Summer's too hot, global heating.
[00:21:41.832 --> 00:21:45.114]  Now it's just, well, kids, don't believe that old crazy man.
[00:21:45.454 --> 00:21:46.795]  His re-education didn't work.
[00:21:47.075 --> 00:21:48.696]  There really is no such thing as seasons.
[00:21:49.277 --> 00:21:50.077]  Really, Mommy?
[00:21:50.458 --> 00:21:50.738]  Yes.
[00:21:52.173 --> 00:22:01.219]  We have just received news that the IRS is currently accepting reduced settlements on back taxes and millions of consumers may be eligible for this reduction to save thousands of dollars.
