[00:00:00.149 --> 00:00:06.836]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:04:06.929 --> 00:04:13.152]  And when I pulled up to the checkpoint and was stopped, I asked the stopping officer what was the purpose of the checkpoint.
[00:04:13.612 --> 00:04:15.413]  And he told me that it was a sobriety checkpoint.
[00:04:15.633 --> 00:04:25.978]  And I'm thinking to myself, well, if it's a sobriety checkpoint, then you don't need federal agents working on the front line with local law enforcement officers to check sobriety.
[00:04:25.998 --> 00:04:27.619]  Because sobriety is a local issue.
[00:04:27.979 --> 00:04:28.699]  It's a state issue.
[00:04:28.759 --> 00:04:30.040]  It's not a federal issue.
[00:04:30.560 --> 00:04:35.983]  Just like they're now using Marines in California at DWI checkpoints to condition the public.
[00:04:36.840 --> 00:04:38.001]  Yes, yes, exactly.
[00:04:38.621 --> 00:04:49.966]  What I found is a lot of times local jurisdictions and the federal government, they use checkpoints that have been allowed by the courts under very limited scope.
[00:04:50.707 --> 00:05:00.652]  They use those as a pretext to do far more expensive operations than they would be allowed to otherwise by claiming that it's only a sobriety checkpoint or it's an immigration checkpoint.
[00:05:00.932 --> 00:05:05.654]  But in reality, they're doing these dragnet type of operations where they're looking for everything from felons
[00:05:06.144 --> 00:05:12.307]  to weapons, terrorists, narcotics, and other things.
[00:05:12.707 --> 00:05:29.854]  So it's really problematic in the way that law enforcement agencies have taken the inch that was given to them by the various courts and the American people in many regards, and they've turned it into a 100-mile Constitution-free zone, if you will.
[00:05:31.559 --> 00:05:34.423]  Amazing, and we're putting some of those videos on screen.
[00:05:34.443 --> 00:05:39.630]  I mean, you explained to the Border Patrol, look, this isn't a federal function, a sobriety checkpoint.
[00:05:40.371 --> 00:05:45.898]  We see the mainstream reports how they're targeting citizens, how illegal aliens just drive right through, but they target
[00:05:46.619 --> 00:05:46.879]  I don't
[00:06:04.797 --> 00:06:06.618]  You know, it's happening all over Seattle now.
[00:06:06.638 --> 00:06:08.898]  They're doing it to people in Seattle and surrounding counties.
[00:06:09.298 --> 00:06:13.619]  They're doing it deep into other states, Wyoming and Utah and other places.
[00:06:13.639 --> 00:06:19.321]  I mean, clearly, this is the federal police force expanding, and you explain this to them in the videos, don't you?
[00:06:21.362 --> 00:06:21.982]  I certainly do.
[00:06:22.542 --> 00:06:24.482]  Well, actually, I take that back.
[00:06:25.543 --> 00:06:34.225]  Going back to my 2002 incident, like I said, it was a dragnet operation that was being primarily conducted by the tribal police.
[00:06:35.055 --> 00:06:40.479]  Um, and so it was, that operation was slightly different from what I've been experiencing over the past year.
[00:06:41.119 --> 00:06:48.624]  And that particular operation, when I challenged the scope of what they were doing, I was dragged out of my vehicle, uh, arrested and dragged off the side of the road.
[00:06:49.084 --> 00:06:50.345]  I fought the chargers in court.
[00:06:50.605 --> 00:06:53.247]  I beat the charges and had them dismissed with prejudice.
[00:06:53.307 --> 00:06:55.008]  And then I turned around and I filed a lawsuit.
[00:06:55.428 --> 00:06:59.331]  That lawsuit has been in, uh, ongoing for the past five years.
[00:06:59.955 --> 00:07:05.263]  And it's currently in the Ninth Circuit Court of Appeals where we're challenging the legitimacy of the checkpoint itself.
[00:07:05.984 --> 00:07:09.750]  The newer checkpoints that I've come across since January of 2008
[00:07:10.993 --> 00:07:19.458]  ...have been conducted solely by the Department of Homeland Security via Customs and Border Protection agents with the United States Border Patrol.
[00:07:20.078 --> 00:07:29.163]  But the problem that we see here is, once again, it's very similar and you can see it in articles where spokespersons for the U.S.
[00:07:29.203 --> 00:07:37.428]  Border Patrol have stated that they're using these immigration checkpoints to look for felons, weapons, and I'm talking about guns,
[00:07:38.001 --> 00:07:42.206]  Uh, here, um, narcotics, uh, terrorists and aliens.
[00:07:42.766 --> 00:07:43.447]  Even though the U.S.
[00:07:43.467 --> 00:07:54.979]  Supreme Court, uh, back in 1976, they allowed immigration checkpoints inside the country, but only for permanent checkpoint installations and only near nexus points for border traffic.
[00:07:54.999 --> 00:08:00.705]  And what that means is where the primary traffic going to the checkpoint originated from the border.
[00:08:01.860 --> 00:08:13.983]  What they're doing now is, instead of conducting these checkpoints at permanent installations near nexus points, they're conducting them all over the place, along secondary roads, along roads that have no direct nexus to the border.
[00:08:14.664 --> 00:08:16.944]  And they're far exceeding the scope that the U.S.
[00:08:16.964 --> 00:08:18.025]  Supreme Court said.
[00:08:18.425 --> 00:08:26.567]  And what they stated was that very brief stops were allowed at these internal immigration checkpoints for the sole purpose of making immigration queries.
[00:08:27.133 --> 00:08:37.356]  And that any further detention or any further or any searching of the vehicle had to be premised upon probable cause or consent by the driver.
[00:08:37.976 --> 00:08:43.938]  But what the Border Patrol is actually doing is they're conducting temporary or tactical checkpoints all over the place.
[00:08:44.678 --> 00:08:53.381]  And they're admitting that they're looking for a whole host of other subjects besides just illegal aliens.
[00:08:54.205 --> 00:09:01.607]  And they are detaining individuals for long periods of time and searching vehicles absent consent or absent probable cause.
[00:09:01.667 --> 00:09:05.909]  And also, they don't like being photographed by you, but they're there photographing, videotaping you.
[00:09:06.809 --> 00:09:07.369]  Right, right.
[00:09:07.749 --> 00:09:08.210]  Exactly.
[00:09:08.370 --> 00:09:11.771]  So, from my first experience in 2002, I learned a lot.
[00:09:12.611 --> 00:09:17.753]  I learned that law enforcement agents will lie when you bring them into court.
[00:09:18.253 --> 00:09:21.654]  That they will destroy documentation and evidence.
[00:09:22.442 --> 00:09:25.144]  And that they will misrepresent the nature of what they're doing.
[00:09:25.684 --> 00:09:51.842]  So in order to protect myself from future actions after 2002, I started carrying video cameras with me, recording devices, cell phones, so that I could, A, contact other people when I know that I was going to enter a checkpoint, so that other people know where I was and what to expect, and B, so that I could make a record of what actually happened, so that there would be no doubt in a court of law as to what actually happened.
[00:09:52.692 --> 00:10:07.499]  And so, since 2008, when the Border Patrol set up this particular checkpoint along SR 86, that's been there 24-7 for the last year, I've documented over 70 checkpoint stops going through that particular checkpoint.
[00:10:08.119 --> 00:10:13.702]  And as you indicated, I have about 14 or 15 of those video encounters online.
[00:10:15.970 --> 00:10:27.336]  Well, you're doing a great job, and there's video after video posted on your website, you have them up on YouTube, it's checkpointusa.com, and I mean, they get very, very belligerent when you say, look, I'm a U.S.
[00:10:27.356 --> 00:10:32.599]  citizen, leave me alone, you know, why are you out here doing a DWI or a weapons check or a drug checkpoint?
[00:10:32.879 --> 00:10:38.682]  You're supposed to be checking for illegal aliens, and then in every case we find out they're not going after the illegal aliens, they're going after citizens.
[00:10:39.824 --> 00:10:47.467]  Well, what's interesting is I don't, you know, I've done a lot of research into what's been going on and it hasn't just been limited to checkpoints.
[00:10:48.407 --> 00:10:57.791]  If you look on my website, the checkpointusa.org, you'll also find various documents from the... No, it's not org, they put comma on my sheet, I'm sorry.
[00:10:58.331 --> 00:10:59.992]  It's checkpointusa.org.
[00:11:00.612 --> 00:11:01.232]  Right, right.
[00:11:01.733 --> 00:11:07.815]  What you'll find is from 2007 there is a study that was done by the Inspector General for the Department of Homeland Security.
[00:11:08.334 --> 00:11:33.293]  And what he found was that on an annual basis, the Border Patrol, through the, I think it's the Office of Detention and Removal, that they were, about 33% of every illegal alien that's taken into custody on an annual basis, those individuals are re-released back into the country while awaiting deportation orders from a federal court.
[00:11:34.051 --> 00:11:38.296]  And about 75% of those individuals that have been released, they abscond.
[00:11:38.576 --> 00:11:38.996]  They run.
[00:11:39.637 --> 00:11:42.180]  And this has been an ongoing thing for years and years.
[00:11:42.720 --> 00:11:51.950]  It's well documented, it's well known by these federal agencies, yet they take these guys into custody, they let them back into the country, and then they run.
[00:11:52.631 --> 00:11:58.834]  And then they claim that they have to conduct more internal checkpoints in order to... Terry Brassi from CheckpointUSA.org.
[00:11:59.294 --> 00:11:59.654]  Stay there.
[00:11:59.674 --> 00:12:07.678]  We're going to come right back to you after this quick break and continue discussing the important work you're doing out there defending the Fourth and Fifth Amendments.
[00:12:07.698 --> 00:12:08.799]  Stay with us, as well as the Tenth.
[00:12:12.856 --> 00:12:20.940]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:12:21.100 --> 00:12:25.503]  In these troubled times, one of the most important things your family can have is good health.
[00:12:25.663 --> 00:12:30.185]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:12:30.345 --> 00:12:31.746]  It's a documented fact.
[00:12:32.626 --> 00:12:39.229]  80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[00:12:39.390 --> 00:12:51.235]  Now, you can fight internal parasites, heavy metals and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP with your favorite beverage, once a day.
[00:12:51.475 --> 00:12:55.137]  FPP is now available to you from FreshWaterOrganics.com.
[00:12:55.757 --> 00:12:58.138]  A two-month supply starts at just $17.
[00:12:58.878 --> 00:13:02.559]  FPP is so affordable, you can't afford to do without.
[00:13:02.619 --> 00:13:06.101]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:13:06.121 --> 00:13:06.441]  That's 888-949-3570.
[00:13:06.501 --> 00:13:10.602]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:13:19.145 --> 00:13:26.208]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:13:26.708 --> 00:13:32.910]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:13:33.310 --> 00:13:35.131]  Well, Obama's already fudging.
[00:13:35.271 --> 00:13:37.692]  He's fudged since day one in this election.
[00:13:37.772 --> 00:13:48.716]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:13:49.349 --> 00:13:50.649]  It's not about left or right.
[00:13:51.009 --> 00:13:52.410]  It's about a one world government.
[00:13:52.870 --> 00:13:59.232]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:13:59.792 --> 00:14:07.574]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:14:08.054 --> 00:14:09.194]  The Obama Deception.
[00:14:09.615 --> 00:14:10.815]  The people strike back.
[00:14:12.668 --> 00:14:13.028]  Good day.
[00:14:13.209 --> 00:14:14.590]  Jim Newcomer from Midas Resources.
[00:14:14.750 --> 00:14:14.970]  March 10th, 2009.
[00:14:15.010 --> 00:14:15.851]  Gold open this morning at $9.1070.
[00:14:15.891 --> 00:14:18.834]  A one-ounce gold coin can be purchased for $9.3707, $4.6854 for the half-ounce, and $2.3427 for a quarter-ounce.
[00:14:18.854 --> 00:14:19.354]  That's $9.3707, $4.6854, and $2.3427.
[00:14:30.404 --> 00:14:34.147]  Bailout equals market distortions, increased money supply while productivity is going down.
[00:14:34.287 --> 00:14:38.269]  Wall Street is receiving injections of liquidity while smaller companies are forced to concede.
[00:14:38.409 --> 00:14:42.832]  Companies too big to fail are now using the tax dollars to increase market share, paying fat dividends.
[00:14:42.972 --> 00:14:48.216]  Are you wondering why supplies of gold and silver coins are decreasing rapidly, leaving the public scrambling to accumulate what's left?
[00:14:48.396 --> 00:14:51.498]  Fiat currency's value is based on trust, fiscal responsibility.
[00:14:51.578 --> 00:14:55.121]  Is Congress and the White House acting responsibly, earning your trust and confidence?
[00:14:55.241 --> 00:14:57.062]  Or is it time to ensure your hard-earned wealth?
[00:14:57.202 --> 00:15:02.324]  Midas Resources offers economic insurance, gold and silver coins, 800-686-2237.
[00:15:02.444 --> 00:15:04.946]  Do you believe that more bailout will solve our economic problems?
[00:15:05.006 --> 00:15:06.766]  Or would you like to call Midas Resources at 1-800-686-2237?
[00:15:06.806 --> 00:15:07.667]  That's Midas Resources at 1-800-686-2237.
[00:15:13.363 --> 00:15:18.825]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:15:18.865 --> 00:15:19.385]  and the world.
[00:15:19.645 --> 00:15:23.106]  And for the first time in their lives, they are feeling the need for preparedness.
[00:15:23.526 --> 00:15:29.748]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:15:30.008 --> 00:15:31.809]  Ready Reserve is the manufacturer.
[00:15:32.049 --> 00:15:39.991]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:15:40.271 --> 00:15:44.695]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:15:44.975 --> 00:15:50.499]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:15:50.779 --> 00:15:52.801]  Many companies do not even offer a catalog.
[00:15:52.961 --> 00:15:55.203]  We will be more than happy to send a catalog to you.
[00:15:55.543 --> 00:15:58.005]  While you were sleeping They came and took it all away
[00:16:33.198 --> 00:16:34.759]  Webster Tarpley coming up with key info.
[00:16:34.839 --> 00:16:41.963]  Keith Bryan from Ireland with the inside job going on over there shooting military and police.
[00:16:45.825 --> 00:16:50.148]  Chess Kane joining us to talk about micro FM transmitters that are totally legal to go out three miles.
[00:16:50.868 --> 00:16:51.769]  FCC approved.
[00:16:54.190 --> 00:16:55.771]  Terry Bressi from CheckpointUSA.org.
[00:16:57.639 --> 00:17:01.900]  Please continue, sir, with specifically people who haven't seen the videos yet at your site.
[00:17:01.920 --> 00:17:06.901]  I mean, the type of hell you go through just declaring your rights to the Border Patrol when you're nowhere near the border.
[00:17:08.121 --> 00:17:08.421]  Sure.
[00:17:09.602 --> 00:17:14.403]  Well, it could be a pretty intimidating experience as some of the checkpoint videos there show.
[00:17:15.443 --> 00:17:25.165]  These agents, from my perspective, are minimally trained to understand the proper scope of their authority and the rights of the individuals that they're actually stopping there.
[00:17:25.649 --> 00:17:25.709]  I'm
[00:17:45.458 --> 00:18:03.472]  The basis of how I respond when I come up to these checkpoints is that as an individual, as an American, I have a right to travel within my own country without being impeded or molested by federal agents, unless they have a reason to believe that I've either harmed somebody else or that I've damaged property.
[00:18:04.713 --> 00:18:05.374]  Those are the basis.
[00:18:05.614 --> 00:18:11.999]  It's a hallmark of a free country to be able to travel freely without having to explain who you are,
[00:18:12.458 --> 00:18:16.779]  Where you're going, why you're going there, or any of those other things.
[00:18:17.459 --> 00:18:26.662]  And these internal checkpoints are a direct challenge to the rights of individuals to travel freely within their own country.
[00:18:27.502 --> 00:18:40.065]  And so as I approach these checkpoints, the agents oftentimes, they stop you, they want to know your citizenship, they want to see your documentation.
[00:18:40.968 --> 00:18:47.093]  And, um, what I ask them is whether or not I'm being detained and whether or not I'm free to go.
[00:18:47.794 --> 00:18:56.261]  And oftentimes, as you watch the checkpoint videos, what you'll see is that, uh, I'll ask if I'm being detained and the agent will say, no, you're not being detained.
[00:18:56.721 --> 00:19:07.791]  Well, if you understand what detained means, that means that you're engaged in a consensual, um, interaction with the law enforcement officer and either party can break off that interaction, um, at their leisure.
[00:19:08.651 --> 00:19:08.932]  So,
[00:19:09.873 --> 00:19:13.376]  If I'm not being detained, then that follows that I must be free to go.
[00:19:13.696 --> 00:19:16.739]  But when I seek that clarification and I ask them, am I free to go?
[00:19:16.799 --> 00:19:19.701]  They'll say, no, you cannot leave until you answer our questions.
[00:19:19.981 --> 00:19:20.922]  So it's color of law.
[00:19:20.942 --> 00:19:25.746]  They want you to violate your 4th and 5th Amendment, your 10th Amendment, state's rights, 9th Amendment being violated.
[00:19:26.166 --> 00:19:30.449]  And so they hold you in this color of law, no man's land, or this purgatory.
[00:19:31.210 --> 00:19:31.430]  Right.
[00:19:31.730 --> 00:19:31.910]  Right.
[00:19:32.471 --> 00:19:32.931]  Exactly.
[00:19:33.432 --> 00:19:36.314]  And it becomes a waiting game, if you will.
[00:19:36.474 --> 00:19:38.736]  You know, I'm pretty sure I've done a lot of research on the law.
[00:19:40.152 --> 00:19:46.474]  I've written about it a lot, I've spoken about it a lot, and I'm pretty sure with regards to what my rights are here.
[00:19:47.214 --> 00:19:55.056]  And so I'll just wait them out until they either get tired of messing with me or their supervisors.
[00:19:55.416 --> 00:19:56.976]  And this is what's quite interesting now.
[00:19:57.016 --> 00:19:59.277]  Like I said, I've been to this checkpoint about 70 times now.
[00:20:00.854 --> 00:20:11.479]  You know, 75% of the time, the agents that are on duty are smart enough to understand their limited scope and my rights, and they just wade me through.
[00:20:11.940 --> 00:20:19.884]  But 25% of the time, you get an agent who doesn't like the fact that someone isn't, you know, basically kissing their feet.
[00:20:19.904 --> 00:20:20.224]  So they try to
[00:20:25.422 --> 00:20:25.842]  I think?
[00:20:55.515 --> 00:21:01.006]  Now the courts have recognized that Border Patrol agents have the authority at the border when someone is trying to come into the country.
[00:21:01.414 --> 00:21:03.575]  But they have the authority to indefinitely decay the economy.
[00:21:03.615 --> 00:21:06.615]  Yeah, but the bigger issue, the feds aren't doing anything to stop illegals.
[00:21:06.635 --> 00:21:10.936]  They'd arrest a few thousand businesses a year of the tens of millions for token PR.
[00:21:11.396 --> 00:21:13.277]  They'd do loopholes for the illegal aliens.
[00:21:13.317 --> 00:21:14.897]  It's clear they're targeting the citizens.
[00:21:14.917 --> 00:21:24.000]  I mean, if there was really a huge federal program, which is actually one of the three things the feds can actually do, to really expel the illegal aliens or go after them, then they were doing this.
[00:21:24.140 --> 00:21:25.160]  And we saw results
[00:21:25.880 --> 00:21:28.862]  Then in court, still you can shoot it down.
[00:21:28.922 --> 00:21:37.108]  But clearly, this is a fishing expedition to expand unconstitutional authority across the United States in areas of more than two-thirds of the nation.
[00:21:37.128 --> 00:21:45.894]  I want to come back and briefly finish up with you, then go ahead and get our next guest online as well, sir, but I want to talk more about how folks can check out what you're doing and duplicate what you're doing at Checkpoint
[00:21:46.454 --> 00:21:49.895]  USA.org with our guest, Terry Bresci.
[00:21:50.275 --> 00:21:57.998]  I'm Alex Jones, Infowars.com, PrisonPlanet.com, Infowars.net, PrisonPlanet.tv, ArnoldExposed.com, TheObamaDeception.net.
[00:21:59.278 --> 00:22:00.539]  Stay with us, ladies and gentlemen.
[00:22:00.679 --> 00:22:02.539]  There's a lot going on in the background, by the way.
[00:22:03.380 --> 00:22:04.260]  We're on the march.
[00:22:04.760 --> 00:22:06.361]  The empire's on the run.
[00:22:07.301 --> 00:22:09.962]  Alex Jones and the GCN Radio Network.
[00:22:13.066 --> 00:22:16.908]  Do you suffer from aches and pains in your knees, arms, wrists, or elbows?
[00:22:17.248 --> 00:22:20.529]  Is it difficult to get out of bed in the morning because of joint stiffness?
[00:22:20.889 --> 00:22:24.270]  Have you been looking for a safe, natural alternative to help ease your pain?
[00:22:24.711 --> 00:22:27.612]  If so, you need to visit solartherm.ca.
[00:22:27.952 --> 00:22:35.535]  SolarTherm, the pain care you wear, is a patented ceramic fiber support technology that holds in and reflects your own body heat.
[00:22:35.555 --> 00:22:36.095]  We're good to go!
[00:22:55.606 --> 00:22:56.526]  Call them today at 1-877-747-6664.
[00:22:56.566 --> 00:22:56.786]  That's 1-877-747-6664.
[00:22:56.806 --> 00:22:58.367]  Or visit them online at solartherm.ca.
[00:22:58.387 --> 00:22:59.607]  That's solar, T-H-E-R-M, solartherm.ca.
[00:22:59.627 --> 00:23:03.328]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:23:19.645 --> 00:23:24.989]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:23:25.530 --> 00:23:31.714]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:23:32.014 --> 00:23:33.836]  Well, Obama's already fudging.
[00:23:33.996 --> 00:23:36.378]  He's fudged since day one of this election.
[00:23:36.458 --> 00:23:47.346]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:23:49.637 --> 00:23:50.918]  It's not about left or right.
[00:23:51.298 --> 00:23:52.699]  It's about a one world government.
[00:23:53.160 --> 00:23:59.525]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:24:00.065 --> 00:24:07.851]  Get your copy of The Obama Deception today at Infowars.com or download it in super high quality at PrisonPlanet.tv.
[00:24:08.331 --> 00:24:09.492]  The Obama Deception.
[00:24:09.913 --> 00:24:11.174]  The people strike back.
[00:24:12.855 --> 00:24:15.437]  Companies continue to lay off thousands of people.
[00:24:16.047 --> 00:24:19.029]  Unemployment is the highest it's been in over 30 years.
[00:24:19.389 --> 00:24:22.810]  Statistics prove that in a recession, crime rates go up.
[00:24:23.151 --> 00:24:29.354]  Everyone needs something for that extra edge to prevent becoming a victim in these difficult and trying times.
[00:24:29.734 --> 00:24:34.796]  You need to prepare yourself with DPS pepper spray, available at MrDefense.com.
[00:24:34.957 --> 00:24:41.660]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[00:24:41.980 --> 00:24:42.861]  Need something more?
[00:24:43.081 --> 00:24:46.726]  The Scorpion Stun Gun is a great way to take down a potential attacker.
[00:24:47.026 --> 00:24:55.095]  Mr. Defense also carries the largest selection of air tasers, knives, self-defense keychains, swords, batons, survival, spy, and tactical gear.
[00:24:55.336 --> 00:24:59.681]  Mention this ad and receive 10% off of your order and a free self-defense keychain.
[00:24:59.881 --> 00:25:03.362]  Visit MrDefense.com, that's MRDefense.com, or call 1-800-313-6400.
[00:25:03.422 --> 00:25:05.103]  That's 1-800-313-6400 for all of your self-defense needs today.
[00:25:05.123 --> 00:25:06.783]  I was a highway man, along the coach roads I did ride.
[00:25:26.952 --> 00:25:37.096]  You know, I can't talk about what's going on behind the scenes right now here, but I'll tell you this, ladies and gentlemen, they do not want the Obama deception to come out.
[00:25:37.476 --> 00:25:40.858]  I'm gonna tell you right now, look for launch in the next 12 hours.
[00:25:43.359 --> 00:25:45.500]  Let me tell you, this stuff's real.
[00:25:46.120 --> 00:25:53.483]  The threats, the intimidation, the things we go through here, they confirm everything we know about the enemy.
[00:25:55.802 --> 00:25:56.362]  It doesn't matter.
[00:25:57.843 --> 00:25:59.664]  You're only alive once, ladies and gentlemen.
[00:26:00.664 --> 00:26:04.105]  The enemy knows the sleeping giant that is liberty and freedom is rising.
[00:26:05.266 --> 00:26:06.286]  They know you have power.
[00:26:07.367 --> 00:26:09.407]  That's why they're trying to block us every way they have.
[00:26:11.528 --> 00:26:14.209]  So I will tell everybody right now, the Obama deception is going to drop.
[00:26:14.229 --> 00:26:16.110]  It's probably dropping today.
[00:26:16.170 --> 00:26:17.991]  Get ready at PrisonPlanet.tv.
[00:26:18.031 --> 00:26:19.131]  I'm being forced to do this.
[00:26:21.252 --> 00:26:22.713]  Because we may not have a chance if we wait.
[00:26:23.213 --> 00:26:25.234]  And I'm showing my hand to the enemies listening right now.
[00:26:27.028 --> 00:26:27.948]  Launch the operation.
[00:26:27.988 --> 00:26:28.349]  Launch it.
[00:26:28.389 --> 00:26:29.289]  Launch it at all sites.
[00:26:29.489 --> 00:26:30.390]  Just go ahead and launch it.
[00:26:30.550 --> 00:26:31.190]  Launch it right now.
[00:26:31.210 --> 00:26:32.050]  I just made that decision.
[00:26:32.531 --> 00:26:33.791]  Launch the operation right now.
[00:26:33.811 --> 00:26:36.412]  We'll only have two or three versions of it up for everybody.
[00:26:39.774 --> 00:26:41.275]  I wish the public knew how real this was.
[00:26:48.298 --> 00:26:50.199]  Terry Bresci, you're on the air.
[00:26:55.562 --> 00:26:55.762]  Yes.
[00:26:57.934 --> 00:27:02.536]  What I can recommend to other folks is that A, folks have to know what their rights are.
[00:27:02.556 --> 00:27:05.337]  B, they have to be willing to assert them.
[00:27:06.197 --> 00:27:07.798]  And C, you have to be willing to defend them.
[00:27:08.318 --> 00:27:20.022]  And in today's climate, I think people realize now that one of the most effective ways that you can defend your rights when you're asserting them in front of a law enforcement officer is to record your interaction.
[00:27:20.042 --> 00:27:25.824]  So if you're not doing anything wrong, and you're being intimidated or coerced,
[00:27:26.690 --> 00:27:43.043]  By a law enforcement officer at a random stop, either walking down the street or driving a vehicle down the road, the best thing that you can do to protect your rights is to record your interaction and be willing and able to make that recording available to the public at large.
[00:27:45.205 --> 00:27:47.146]  It's amazing how powerful
[00:27:49.008 --> 00:27:58.091]  Basic tools that are available to any consumer in the marketplace today can be used to help you defend your rights and what you think is important in today's day and age.
[00:27:58.851 --> 00:28:04.113]  And this is the technique that I use when I encounter suspicious checkpoints.
[00:28:04.133 --> 00:28:10.795]  I know my rights, I assert them, and I defend them by making a recording of those checkpoint stops and then posting them online.
[00:28:11.255 --> 00:28:17.636]  So people can see for themselves exactly what's happening, who's doing it, and why they claim they're doing it.
[00:28:17.796 --> 00:28:20.337]  That's right, and dead men tell no tales.
