[00:00:01.553 --> 00:00:02.133]  Initiate!
[00:04:40.330 --> 00:04:41.090]  Your congressman?
[00:04:41.650 --> 00:04:42.351]  All that's a joke.
[00:04:45.458 --> 00:05:04.373]  Richard Max, our guest, will be back after this short three-minute break and break down the state of the union according to this great patriot and his advice to police and military out there who are being asked more and more to violate real rights of the Constitution and aid the foreign banksters in their takeover of our once great republic.
[00:05:04.393 --> 00:05:04.794]  Stay with us.
[00:05:10.862 --> 00:05:16.509]  Doctors around the world claim that cancer and other diseases cannot live in a pH balanced alkaline environment.
[00:05:16.689 --> 00:05:21.856]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:05:22.136 --> 00:05:27.222]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:05:27.503 --> 00:05:29.285]  People who alkalize the water they drink
[00:05:29.505 --> 00:05:33.067]  Experience normalized blood sugar, mental clarity, and loss of weight.
[00:05:33.387 --> 00:05:39.390]  It was intended for human beings to drink alkaline water, but due to modern way of life, most people are overly acidic.
[00:05:39.630 --> 00:05:43.152]  The fact is that disease simply cannot exist in an alkaline environment.
[00:05:43.412 --> 00:05:47.955]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[00:05:48.235 --> 00:05:49.015]  Do your part.
[00:05:49.275 --> 00:05:51.537]  Alkalize and supercharge your body now!
[00:05:51.897 --> 00:05:58.020]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[00:05:58.320 --> 00:06:00.741]  Up to the pH of 10, with only 10 drops.
[00:06:01.101 --> 00:06:07.284]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:06:07.564 --> 00:06:09.645]  Again, that's alkavision.com.
[00:06:10.425 --> 00:06:12.947]  Terror Storm, a history of government-sponsored terror.
[00:06:13.287 --> 00:06:14.547]  Loose change, final cut.
[00:06:14.847 --> 00:06:16.828]  Endgame, blueprint for global enslavement.
[00:06:16.988 --> 00:06:18.589]  The true story of the Bilderberg Group.
[00:06:18.888 --> 00:06:20.130]  The late, great USA.
[00:06:20.370 --> 00:06:21.772]  America, freedom to fascism.
[00:06:22.132 --> 00:06:29.002]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:06:29.182 --> 00:06:33.107]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:06:33.247 --> 00:06:36.652]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:06:36.932 --> 00:06:37.412]  We're good to go.
[00:06:56.938 --> 00:07:07.185]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:07:07.545 --> 00:07:09.006]  Join the info war today!
[00:07:09.833 --> 00:07:13.477]  Everyone knows that omega-3 should be an essential part of our daily diet.
[00:07:13.537 --> 00:07:19.162]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:07:19.282 --> 00:07:23.326]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:07:23.626 --> 00:07:25.908]  Nature's gem, premium omega-3.
[00:07:26.089 --> 00:07:31.834]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[00:07:31.834 --> 00:07:32.675]  We're good to go!
[00:08:01.312 --> 00:08:04.113]  GoldenFLAX.com or call 800-387-5516.
[00:08:04.173 --> 00:08:05.074]  That's 800-387-5516.
[00:08:05.094 --> 00:08:09.236]  Free shipping included.
[00:08:15.699 --> 00:08:16.359]  Big Brother.
[00:08:17.000 --> 00:08:18.080]  Mainstream media.
[00:08:18.780 --> 00:08:19.881]  Government cover-ups.
[00:08:20.541 --> 00:08:21.342]  You want answers?
[00:08:22.102 --> 00:08:22.962]  Well, so does he.
[00:08:23.062 --> 00:08:27.465]  He's Alex Jones on the GCN Radio Network.
[00:08:27.865 --> 00:08:30.206]  And now, live from Austin, Texas,
[00:08:31.090 --> 00:08:31.931]  Alex Jones.
[00:08:34.033 --> 00:08:37.597]  We are back live with Sheriff Richard Mack.
[00:08:37.677 --> 00:08:49.949]  We had more lawmen like him in this country, more defenders of liberty, more servants, and through servants is how great work is done, through heroes, than we would be in the situation we're in today.
[00:08:50.389 --> 00:08:53.633]  Sheriff Richard Mack, in the time we've got, I want to have you back up soon for a full hour.
[00:08:55.952 --> 00:08:58.433]  You know, going back to what I first said, I want you to speak to this.
[00:08:58.593 --> 00:09:02.114]  I mean, they're in the Time Magazine saying we're all socialists now.
[00:09:02.154 --> 00:09:03.094]  They're in Newsweek saying it.
[00:09:03.534 --> 00:09:05.815]  Time Magazine has the headline, New World Order.
[00:09:05.855 --> 00:09:10.997]  They say a new global bank to run the United States, to control the entire world that we pay taxes to.
[00:09:11.357 --> 00:09:14.458]  This is what we always said the international bankers were planning because their own documents said it.
[00:09:15.058 --> 00:09:17.599]  Why are they now coming right out in the open with this?
[00:09:18.639 --> 00:09:24.301]  Why are they pushing this, and what does this mean to you that they're finally not lying about it anymore?
[00:09:24.341 --> 00:09:28.703]  You know, the FBI training manuals say you're a terrorist if you talk about a New World Order, and it doesn't exist.
[00:09:29.203 --> 00:09:31.263]  Now they're admitting it exists, but saying it's good.
[00:09:32.524 --> 00:09:38.426]  Well, I've written about... Time Magazine has talked about the New World Order quite a bit.
[00:09:38.646 --> 00:09:41.367]  I did an article about, I think,
[00:09:42.361 --> 00:09:48.385]  It was an issue of 1995 where Time Magazine said, had an article, who should keep the keys?
[00:09:49.466 --> 00:09:56.751]  And it talked about Henry Kissinger saying that we need to compromise American idealism in order to fit into today's global society.
[00:09:57.312 --> 00:09:59.573]  This isn't that new and you and I both know that.
[00:10:00.634 --> 00:10:03.796]  But I think now is the time for them to make their play.
[00:10:05.417 --> 00:10:07.739]  They're obviously not hiding it anymore.
[00:10:08.459 --> 00:10:08.920]  They've got
[00:10:10.000 --> 00:10:20.350]  New World Order boys in there that have been pushing this, you know, ever since, well, the first George Bush, obviously, was pushing for this.
[00:10:20.410 --> 00:10:22.431]  He talked about the New World Order all the time.
[00:10:22.932 --> 00:10:25.194]  Bill Clinton talked about the New World Order all the time.
[00:10:27.116 --> 00:10:28.117]  George Jr.
[00:10:28.657 --> 00:10:34.783]  didn't say the words nearly as much as his dad did, but he was certainly pushing for this.
[00:10:36.333 --> 00:10:38.835]  They're giving all our money to the banksters.
[00:10:38.915 --> 00:10:40.356]  The banksters own America.
[00:10:40.416 --> 00:10:42.598]  The banks own our currency.
[00:10:43.719 --> 00:10:52.326]  And that's why people like you and I have said all along that you better have gold and silver and food storage and you better be able to protect yourselves and your family.
[00:10:52.467 --> 00:10:56.410]  And so along with your food storage you need guns and ammo.
[00:10:57.365 --> 00:11:07.335]  These things, we've been preaching since we've been on the air and since we've been involved in the Freedom Movement, myself, for the last 15 years, maybe a little bit longer.
[00:11:09.477 --> 00:11:18.065]  Why there's being so blatant about it right now, I don't know, but the monster is knocking on the door and we better be ready for it.
[00:11:18.973 --> 00:11:21.434]  There's nobody protecting us in Washington, D.C.
[00:11:22.054 --> 00:11:27.536]  Ron Paul would probably be the only one, but he's basically ineffective because he's all by himself.
[00:11:28.736 --> 00:11:39.980]  You know, just like I said before the break, if you think you're going to call your congressman, I get all these emails all the time, call your congressman, call your senator, and ask him not to do this bill or whatever.
[00:11:40.820 --> 00:11:41.980]  Those are all jokes, Alex.
[00:11:42.341 --> 00:11:46.842]  I do not waste my time trying to call my congressman or senator anymore.
[00:11:47.521 --> 00:11:49.002]  Those guys are bought and paid for.
[00:11:49.042 --> 00:11:50.303]  They're going to do what they're going to do.
[00:11:50.383 --> 00:11:51.705]  They do not care about you.
[00:11:51.765 --> 00:11:53.526]  They do not care about their constituents.
[00:11:54.247 --> 00:11:57.509]  And there is one person who I believe can stop this New World Order.
[00:11:58.270 --> 00:12:01.272]  His name is your county sheriff.
[00:12:02.673 --> 00:12:07.077]  And that's why I've written a new book, The County Sheriff America's Last Hope.
[00:12:08.338 --> 00:12:11.521]  It details the documentation.
[00:12:11.681 --> 00:12:14.163]  There is no question that your sheriff
[00:12:14.682 --> 00:12:17.586]  Has the responsibility to protect you from tyranny.
[00:12:32.783 --> 00:12:37.488]  Literally, he can, you know, call up a posse, the local draft, it's totally constitutional.
[00:12:37.948 --> 00:12:46.416]  Instead, they've tried to shut down the sheriff, demonize it, or run feds and New World Order people for the position, so they've been attacking it from every angle.
[00:12:46.456 --> 00:12:49.459]  Weakening it, getting rid of it, making it appointed, not elected.
[00:12:49.479 --> 00:12:53.342]  I think the best way to start here is... You're right.
[00:12:53.382 --> 00:12:54.203]  They've already stopped.
[00:12:54.283 --> 00:12:56.205]  They've already done away with the sheriff in Connecticut.
[00:12:57.191 --> 00:13:02.456]  And you were talking about the immigration problem, not the immigration problem, but the illegal immigration problem.
[00:13:03.457 --> 00:13:12.865]  Sheriff Joe Arpaio, who has endorsed my book, by the way, he's on the back of the book, he believes in all of this about the autonomy of the sheriff.
[00:13:13.726 --> 00:13:14.607]  Look what he has done.
[00:13:15.127 --> 00:13:24.055]  He has been, I guess, the only sheriff in this country to round up illegals and arrest them and take them and put them in jail.
[00:13:25.004 --> 00:13:30.366]  And he's having the feds come and get him as soon as they can and say, look, I'm doing your job here.
[00:13:30.446 --> 00:13:31.847]  Come and get them and send them back.
[00:13:33.247 --> 00:13:36.169]  This is an amazing example of your sheriff.
[00:13:36.669 --> 00:13:40.370]  Have you noticed that nobody can get in his way?
[00:13:41.091 --> 00:13:52.055]  He even had the city of Mesa, where he was doing some raids there, and he actually went into the city of Mesa building and arrested some illegal aliens in the city complex.
[00:13:53.280 --> 00:14:01.923]  And the chief of police got real mad and was spouting off on the news about Sheriff Arpaio should be coordinating such an effort with him.
[00:14:02.664 --> 00:14:06.225]  And then they interview Arpaio, of course, and you know what he said.
[00:14:06.965 --> 00:14:11.247]  The last time I looked, Mesa is within the jurisdiction of Maricopa County.
[00:14:11.627 --> 00:14:13.488]  He says, I don't have to ask anybody's permission.
[00:14:14.208 --> 00:14:15.649]  And that's the point I make in the book.
[00:14:16.489 --> 00:14:18.250]  Your sheriff is not a bureaucrat.
[00:14:18.590 --> 00:14:21.231]  He does not answer to anyone except the people.
[00:14:22.043 --> 00:14:28.252]  And he's bound by oath to uphold and defend the Constitution and therefore he can protect you from the IRS.
[00:14:28.652 --> 00:14:34.480]  He can protect you and your money, your property, your welfare, your children.
[00:14:35.061 --> 00:14:38.105]  He is the only answer left.
[00:14:39.045 --> 00:14:42.187]  The county sheriff, America's last hope.
[00:14:43.168 --> 00:14:48.672]  I think at the county level, but there's also juries, grand juries, that form of voting for the people is another hope.
[00:14:48.972 --> 00:14:55.037]  And we now have ten states and twenty others now saying they may sign on to declare sovereignty and end the bills.
[00:14:55.417 --> 00:15:04.564]  I've been reading the last few days on air, we've had some state reps on, it states we will not have martial law, we will not have gun confiscation, we will not have forced compulsory service.
[00:15:04.984 --> 00:15:06.906]  And they list what the feds are doing and so
[00:15:07.486 --> 00:15:13.271]  The state is the answer, and enshrined in that, the smallest unit of that, is the sheriff.
[00:15:14.311 --> 00:15:20.496]  And you're right, I've seen cases all over the country where they're trying to come repossess people's homes, and the sheriff's saying no.
[00:15:21.617 --> 00:15:30.464]  That's why they tried to move to block the sheriff, and basically federalize the states, because originally, and how our country's set up, it is the state that is the true unit of power.
[00:15:31.385 --> 00:15:35.368]  It is, and the county even more powerful than that, I do believe.
[00:15:36.741 --> 00:15:41.465]  In the book you'll see the documentation from my lawsuit that you mentioned when you introduced me.
[00:15:41.885 --> 00:15:57.257]  The lawsuit is key to all of this because it establishes the constitutional premise for the sheriff to have this power and it's backed up by a recent Supreme Court ruling which came out in June of 1997.
[00:15:57.497 --> 00:16:05.543]  This has not been rescinded, it's law, and Justice Scalia details quite clearly
[00:16:06.232 --> 00:16:13.515]  That the federal government has no power over the county or the county sheriff or the state employees.
[00:16:13.915 --> 00:16:17.637]  Instead though, under Obama, they're trying to federalize everything.
[00:16:17.657 --> 00:16:25.360]  They're building FEMA camps where the local sheriff offices out of it with the military, with the police, and with clergy response teams.
[00:16:25.380 --> 00:16:26.160]  Can you speak to that?
[00:16:27.281 --> 00:16:27.881]  Well, yes.
[00:16:29.002 --> 00:16:30.142]  You know, those are happening.
[00:16:31.002 --> 00:16:31.823]  Or it appears.
[00:16:32.203 --> 00:16:33.964]  I haven't seen any here in Arizona yet.
[00:16:34.972 --> 00:16:36.533]  It doesn't matter where they're going up.
[00:16:36.613 --> 00:16:39.934]  If they're going up one place, they're going to be going up in others.
[00:16:40.994 --> 00:17:04.342]  I've maintained, even when I was sheriff, and I maintain even now, that the sheriff can tell FEMA to stay out of his county, we can make our own preparations, and the typical example of this is the failure of the federal government, especially during Hurricane Katrina, to really help people, and people have their hands out and expect the federal government to come take care of you.
[00:17:04.969 --> 00:17:08.212]  Don't expect it, don't count on it, and don't even want it.
[00:17:08.592 --> 00:17:11.914]  You need to make your own preparations at the county level.
[00:17:13.335 --> 00:17:14.676]  Look what they did also at Katrina.
[00:17:14.716 --> 00:17:17.018]  They started taking everybody's guns away from them.
[00:17:17.338 --> 00:17:28.207]  That's what I was going to say is, finally the parish sheriff, not a county, a parish there, had to go stop FEMA from cutting the police communication lines because they wanted total federal control.
[00:17:29.119 --> 00:17:39.002]  Of course, and they're going to, and if we continue to allow it, if we have sheriffs who aren't aware of their duty, then this is going to continue to happen.
[00:17:39.042 --> 00:17:51.706]  I mean, you can look at the problems that happen when sheriffs are relinquished at Ruby Ridge, at Waco, at New Hampshire with the Elaine, what was her last name?
[00:17:51.766 --> 00:17:52.446]  Edna Lane Rome.
[00:17:52.846 --> 00:17:54.547]  Yeah, exactly, the Brown family.
[00:17:55.194 --> 00:18:03.897]  I mean, every place where the sheriff, and I think these were good sheriffs and good people there, they just are ignorant of the power and authority they have.
[00:18:04.517 --> 00:18:12.040]  The federal government has no jurisdiction in your county to be doing these things unless you, as the sheriff, allow it.
[00:18:12.660 --> 00:18:19.983]  And yes, you can go along, but to do so means you're throwing your constituents to the dogs.
[00:18:20.763 --> 00:18:23.984]  And this needs to be turned around, and I do believe that this book
[00:18:24.710 --> 00:18:25.330]  Well, here's a...
[00:18:52.020 --> 00:19:02.280]  And if we could get three or four hundred of them on board, just get ten percent on board, the rest of it will snowball, or you could move to where one of them who actually is a constitutional sheriff.
[00:19:03.306 --> 00:19:07.547]  And this idea is spreading, thanks to you and others, rediscovering liberty in our true system of government.
[00:19:07.947 --> 00:19:13.268]  A microcosm is studying the Western expansion, the robber barons, the oil companies, the coal companies, the railroads.
[00:19:13.829 --> 00:19:21.871]  They would come in and buy off a sheriff and use him to let the Pinkerton and others go in and slaughter people and kick them off their land.
[00:19:22.171 --> 00:19:26.452]  But in more cases than not, it was the people's sheriff that would fight off the bankers.
[00:19:26.932 --> 00:19:28.452]  So we've gone through this before.
[00:19:29.032 --> 00:19:29.593]  Yes, we have.
[00:19:32.296 --> 00:19:42.000]  I really feel that the time is ripe because of the hopelessness that people felt during especially this last campaign.
[00:19:42.960 --> 00:19:51.984]  The presidential election I think left so many people with a bad taste in their mouth of hopelessness and right now I'm giving a message that there is hope and it is your county sheriff.
[00:19:53.803 --> 00:19:55.204]  Absolutely, ladies and gentlemen.
[00:19:55.685 --> 00:20:02.571]  Final segment with Sheriff Richard Mack, straight ahead after this quick break and his new book.
[00:20:02.591 --> 00:20:04.373]  We'll talk about that as well.
[00:20:10.891 --> 00:20:18.977]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:20:19.157 --> 00:20:23.540]  In these troubled times, one of the most important things your family can have is good health.
[00:20:23.700 --> 00:20:28.223]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:20:28.383 --> 00:20:29.784]  It's a documented fact.
[00:20:30.184 --> 00:20:37.267]  80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[00:20:37.428 --> 00:20:49.273]  Now, you can fight internal parasites, heavy metals and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:20:49.513 --> 00:20:53.195]  FPP is now available to you from FreshwaterOrganics.com.
[00:20:53.795 --> 00:20:56.196]  A two-month supply starts at just $17.
[00:20:56.937 --> 00:21:00.599]  FPP is so affordable you can't afford to do without.
[00:21:00.659 --> 00:21:04.140]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:21:04.160 --> 00:21:04.681]  That's 888-949-3570.
[00:21:04.701 --> 00:21:10.043]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:21:17.549 --> 00:21:25.298]  Unfortunately, with taxation, the rising cost of food, energy, housing and medical, many retirees are forced to live below the poverty line.
[00:21:25.658 --> 00:21:31.245]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt?
[00:21:31.573 --> 00:21:33.514]  Ensuring inflation and higher taxes.
[00:21:33.814 --> 00:21:38.576]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:21:38.917 --> 00:21:43.619]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:21:44.139 --> 00:21:47.981]  A gripping adventure into the secret world of international banking cartel.
[00:21:48.481 --> 00:21:49.502]  Hi, this is Ted Anderson.
[00:21:49.562 --> 00:21:53.644]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:21:54.084 --> 00:21:55.444]  Call 1-800-686-2237 and order a copy today.
[00:21:58.966 --> 00:22:01.529]  It's critical that the public be made aware of the system.
[00:22:01.950 --> 00:22:06.475]  Call and order your copy today at 1-800-686-2237.
[00:22:06.796 --> 00:22:07.636]  That's 1-800-686-2237.
[00:22:08.778 --> 00:22:16.647]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:22:17.008 --> 00:22:18.710]  The enemy struck America on September 11th.
[00:22:19.645 --> 00:22:20.685]  But who is the enemy?
[00:22:21.185 --> 00:22:21.686]  Bin Laden.
[00:22:21.986 --> 00:22:22.966]  This is his M.O.
[00:22:22.986 --> 00:22:24.326]  We have to look to the Middle East.
[00:22:24.366 --> 00:22:25.967]  We have to look to Osama Bin Laden.
[00:22:26.347 --> 00:22:33.089]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:22:33.489 --> 00:22:33.929]  Some U.S.
[00:22:33.969 --> 00:22:39.611]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:22:40.331 --> 00:22:43.812]  I'm aware that some Israeli citizens have been detained.
[00:22:43.832 --> 00:22:46.813]  Either you are with us, or you are with the terrorists.
[00:23:10.103 --> 00:23:18.508]  Of the three million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds and oil of the hemp plant.
[00:23:18.828 --> 00:23:24.492]  At HempUSA.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:23:24.812 --> 00:23:31.336]  At HempUSA.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:23:31.897 --> 00:23:35.180]  Our powder is 50% protein and does not contain gluten.
[00:23:35.300 --> 00:23:37.542]  Gluten impairs the cells from absorbing nutrients.
[00:23:37.742 --> 00:23:44.108]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:23:44.348 --> 00:23:47.672]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:23:47.872 --> 00:23:51.735]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:23:54.918 --> 00:23:57.860]  The body will react and heal itself given the proper nutrition.
[00:23:58.080 --> 00:24:00.142]  This superfood will be your greatest asset.
[00:24:00.282 --> 00:24:03.644]  So try it today, store it today, and change your life.
[00:24:03.945 --> 00:24:08.968]  Call 908-691-2608 or order from hempusa.org.
[00:24:13.331 --> 00:24:16.053]  There must be some kind of way out of here.
[00:24:17.694 --> 00:24:19.095]  Said the Joker to the thief.
[00:24:19.436 --> 00:24:20.857]  There's too much confusion.
[00:24:21.958 --> 00:24:23.599]  I can't get no relief.
[00:24:25.305 --> 00:24:29.528]  Outside in the cold distance, a wildcat did growl.
[00:24:29.568 --> 00:24:32.449]  There must be some kind of way out of here.
[00:24:33.590 --> 00:24:37.552]  Said the joker to the thief.
[00:24:37.933 --> 00:24:39.814]  There's too much confusion.
[00:24:42.335 --> 00:24:45.357]  I can't get no relief.
[00:24:45.437 --> 00:24:49.480]  Fit the standard to drink my wine.
[00:25:03.386 --> 00:25:06.208]  Sheriff Richard Mack is our guest with us till 40 after this.
[00:25:06.228 --> 00:25:07.568]  We're getting into financial news.
[00:25:07.609 --> 00:25:12.331]  We have a state rep coming on, this time from Missouri, fighting the New World Order.
[00:25:13.291 --> 00:25:20.115]  Look, anytime good people disengage from government, tyranny comes in and fills the vacuum.
[00:25:22.240 --> 00:25:24.181]  99% of countries and nations have been tyrannical.
[00:25:26.142 --> 00:25:27.922]  And that's really the bottom line.
[00:25:28.023 --> 00:25:29.683]  You will have everything you've got stolen.
[00:25:29.703 --> 00:25:34.525]  You really think you can just give the bankers your pension funds and your 401Ks and they wouldn't run a scam to steal it?
[00:25:35.245 --> 00:25:37.366]  That's what this police state's about, is total control.
[00:25:37.706 --> 00:25:47.930]  Sheriff Richard Mack, I think it's important in the time we have left with you, for you to reach out to the police, not just the Sheriff's Department, and explain to them how they've been manipulated, how they're being turned to the dark side.
[00:25:48.430 --> 00:25:50.511]  Perhaps you should briefly talk about your awakening.
[00:25:51.570 --> 00:25:52.530]  Well, it is.
[00:25:52.990 --> 00:25:54.751]  And this book is directed towards everyone.
[00:25:55.351 --> 00:25:59.733]  And my first book, the prequel to this one, is The Proper Role of Law Enforcement.
[00:25:59.793 --> 00:26:05.734]  And it is intended for all police officers so they will become peace officers in this country.
