[00:00:01.869 --> 00:00:02.489]  Engage!
[00:03:16.627 --> 00:03:17.788]  I told you, you're the enemy.
[00:03:18.329 --> 00:03:20.791]  They know you're not going to go along with what's about to happen in this country.
[00:03:21.351 --> 00:03:22.192]  This is really happening.
[00:03:23.053 --> 00:03:27.096]  And so we went over this entire document earlier.
[00:03:27.136 --> 00:03:28.978]  Did you guys print me this document like I was asking?
[00:03:29.018 --> 00:03:33.882]  I forgot at home to print the actual document on the Government Demands Inventory of all VFW weapons.
[00:03:33.902 --> 00:03:35.544]  We have the document and the inventory form.
[00:03:36.377 --> 00:03:37.878]  Print that for me, because I want to show that.
[00:03:38.358 --> 00:03:40.019]  Or you can go to the website and just click on it, actually.
[00:03:40.039 --> 00:03:43.081]  We need to show people that way, because we just started simulcasting.
[00:03:43.762 --> 00:03:49.005]  We're going to simulcast for three hours today on the four-hour radio show at PrisonPlanet.tv.
[00:03:49.025 --> 00:03:54.089]  So I need to add, we are simulcasting right now at PrisonPlanet.tv.
[00:03:54.129 --> 00:04:00.293]  We normally do the third and fourth hour, but a lot of days we do the whole four hours, or more often than not we do three hours of the show.
[00:04:00.913 --> 00:04:01.514]  Ron Paul,
[00:04:03.939 --> 00:04:06.781]  Has never joined me from basically the floor of the house.
[00:04:07.582 --> 00:04:23.813]  But he's got, he was scheduled for a week, as he's scheduled every month, to be on with us at 12.30 Central Standard Time, 1.30 Eastern, and they're in floor debates right now, and he wants to get up and speak about the bill to audit the Fed that's got over 200 sponsors right now.
[00:04:24.153 --> 00:04:26.855]  Key story up on PrisonPlanet.com from Steve Watson.
[00:04:27.998 --> 00:04:36.429]  And we're going to have Ron Paul with his cell phone from somewhere in the gallery or the rotunda there, calling in sometime in the hour.
[00:04:36.669 --> 00:04:38.292]  So, heads up on that.
[00:04:39.073 --> 00:04:42.076]  And maybe an abbreviated interview as well, so we'll have to get back with him soon.
[00:04:43.464 --> 00:04:57.719]  Because duty calls, as they say, on the front lines of the legislative fight against our occupiers, the dictators, the private, criminal, central bank, Federal Reserve, now being subpoenaed by Congress.
[00:04:57.739 --> 00:05:00.022]  See, this idea of subpoenaing them is now out there.
[00:05:00.788 --> 00:05:09.452]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[00:05:09.892 --> 00:05:14.595]  Studies have shown that a majority of Americans are seriously deficient in basic minerals.
[00:05:15.055 --> 00:05:17.616]  Deficiency in any one or more important minerals
[00:05:18.056 --> 00:05:18.357]  I think so.
[00:05:37.321 --> 00:05:45.583]  Marine Photoplankton, Maca, Goji Berries, Raw Chocolate Cacao, Nibs, Noni, Immune Detox, and more.
[00:05:45.883 --> 00:05:47.443]  Folks, you gotta check these out.
[00:05:47.583 --> 00:05:54.125]  These foods promote nutritional excellence, health and well-being, beauty enhancement, and sustainable rainforest agriculture.
[00:05:54.525 --> 00:05:56.765]  Go to AmericanSuperfoods.com.
[00:05:57.025 --> 00:05:59.906]  Again, the website is AmericanSuperfoods.com.
[00:06:00.598 --> 00:06:06.164]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:06:06.464 --> 00:06:07.625]  Inner Health Botanicals.
[00:06:07.766 --> 00:06:11.750]  This company produces the highest quality superfood around, called InnerFood.
[00:06:12.050 --> 00:06:13.592]  My wife just loves the stuff.
[00:06:13.912 --> 00:06:18.777]  And now, the health ranger Mike Adams has awarded InnerFood his Editor's Choice Award.
[00:06:19.090 --> 00:06:19.610]  We're good to go.
[00:06:39.740 --> 00:06:41.922]  A truly healthy coffee that tastes great.
[00:06:42.142 --> 00:06:43.162]  And take it from me, folks.
[00:06:43.382 --> 00:06:44.403]  It really does taste great.
[00:06:44.623 --> 00:06:46.384]  Don't forget to try their other great products.
[00:06:46.705 --> 00:06:52.188]  Go to www.enerfood.com.
[00:06:52.408 --> 00:06:56.871]  That's www.enerfood.com.
[00:06:57.051 --> 00:06:59.993]  Or just click on their banner on infowars.com for special pricing.
[00:07:00.854 --> 00:07:03.235]  Phone rings and the questions are asked.
[00:07:03.515 --> 00:07:04.456]  I've been so sick.
[00:07:04.756 --> 00:07:06.157]  Will the Life Change Tea help me?
[00:07:06.437 --> 00:07:07.818]  Our answer is always the same.
[00:07:08.294 --> 00:07:13.956]  Yes, toxins and chemicals from food, water, and air are attacking you this very moment.
[00:07:14.416 --> 00:07:19.897]  Fight back with our all-natural detoxifying tea that works immediately.
[00:07:20.298 --> 00:07:24.519]  Many companies use gimmicks and misleading free trials for their campaign.
[00:07:24.799 --> 00:07:25.779]  We use results.
[00:07:26.219 --> 00:07:30.681]  Life Change Tea's formula created by a PhD has been around for over 20 years.
[00:07:30.981 --> 00:07:35.222]  There are things happening in the world that are unseen and not healthy.
[00:07:35.595 --> 00:07:39.058]  The public has reached its all-time record for chronic sickness.
[00:07:39.458 --> 00:07:42.920]  This atrocity won't change unless you call us right now.
[00:07:43.341 --> 00:07:47.844]  Our number is 9-2-8-3-0-8-0-4-0-8.
[00:07:48.304 --> 00:07:49.345]  Again, that's 9-2-8-3-0-8-0-4-0-8.
[00:07:51.306 --> 00:07:54.949]  Or you can order online at GetTheTee.com.
[00:07:55.069 --> 00:07:57.391]  That's GetTheTee.com.
[00:07:57.611 --> 00:08:00.213]  And remember, we have the cheapest shipping in the industry.
[00:08:05.652 --> 00:08:09.834]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:10.474 --> 00:08:11.295]  You want answers?
[00:08:12.075 --> 00:08:12.955]  Well, so does he.
[00:08:13.616 --> 00:08:17.257]  He's Alex Jones on the GCN Radio Network.
[00:08:17.817 --> 00:08:21.919]  And now, live from Austin, Texas, Alex Jones.
[00:08:25.581 --> 00:08:27.922]  This is very exciting, ladies and gentlemen.
[00:08:28.002 --> 00:08:30.323]  Think about the successes we've had.
[00:08:32.406 --> 00:08:35.869]  Nobody knew the Federal Reserve was private 15, 20 years ago.
[00:08:35.909 --> 00:08:37.290]  I mean, maybe 1% of the public.
[00:08:37.990 --> 00:08:41.933]  Now, it is beginning to become a majority.
[00:08:42.013 --> 00:08:43.655]  It's huge issues all over the news.
[00:08:43.995 --> 00:08:49.659]  They can't hide the fact it hasn't been audited in over 50 years.
[00:08:50.360 --> 00:08:54.903]  They can't hide the fact that it's an offshore private bank now, and that it's been stealing all this money.
[00:08:55.384 --> 00:08:57.766]  They can't hide the fact that all the gold's gone from Fort Knox.
[00:08:59.790 --> 00:09:01.730]  They can't hide the fact that we've been shanghaied.
[00:09:01.750 --> 00:09:11.633]  There was a corporate takeover in 1913, and they've slowly been expanding to take over the states and our society, and now they're figuring out we're awake to them, so they're just trying to steal everything at one time.
[00:09:11.953 --> 00:09:16.954]  And they think, arrogantly, that the public's so stupid that we're not going to bring them to justice.
[00:09:16.994 --> 00:09:20.895]  Well, we are going to bring the New World Order to justice, ladies and gentlemen.
[00:09:21.375 --> 00:09:24.596]  And I'm going to cover Bill to audit the Federal Reserve, now has 207 co-sponsors,
[00:09:26.756 --> 00:09:30.658]  Steve Watson, InfoWars.com, PrisonPlanet.com, InfoWars.net.
[00:09:31.238 --> 00:09:34.540]  Key story that everybody needs to read and see.
[00:09:34.560 --> 00:09:35.440]  This is so exciting.
[00:09:35.761 --> 00:09:38.202]  And even if it doesn't pass this time, they only need like 11 more.
[00:09:40.323 --> 00:09:43.644]  Even if it doesn't pass, this has gone from when he used to introduce this 10 years ago.
[00:09:43.664 --> 00:09:48.367]  I remember interviewing Ron Paul in 1996 when he introduced these bills, when he first got back in Congress.
[00:09:48.627 --> 00:09:49.748]  He'd been there for one stint in the 70s.
[00:09:51.315 --> 00:09:53.596]  And he would have like three or four sponsors.
[00:09:54.296 --> 00:09:58.918]  He's now 207, and people are blowing their phones off the hook.
[00:09:59.498 --> 00:10:09.322]  And even if they say no, and don't pass it, people are saying, wait a minute, we can't audit them, we can't question them, we can't find out what this private group that says it's above the law is doing?
[00:10:11.322 --> 00:10:13.643]  Here's Forbes and AP today.
[00:10:14.484 --> 00:10:16.804]  Congress subpoenas fed over a Bank of America deal.
[00:10:17.265 --> 00:10:17.725]  Here's AP.
[00:10:19.440 --> 00:10:20.580]  I mean, this is everywhere.
[00:10:21.261 --> 00:10:22.581]  Congress subpoenas the Fed.
[00:10:26.983 --> 00:10:31.005]  Before, it was this mind game trick of saying, the Federal Reserve doesn't handle money.
[00:10:31.045 --> 00:10:32.725]  The Federal Reserve doesn't tell the IRS what to do.
[00:10:32.745 --> 00:10:35.987]  You just write your check to the Federal Reserve when you pay the IRS.
[00:10:36.307 --> 00:10:37.647]  The Federal Reserve's not offshore.
[00:10:37.687 --> 00:10:39.788]  The Federal Reserve's audited.
[00:10:40.068 --> 00:10:40.788]  All lies.
[00:10:41.049 --> 00:10:41.489]  All lies.
[00:10:41.789 --> 00:10:44.050]  Now they've switched to, yeah, okay, we're above the law, big deal.
[00:10:44.895 --> 00:10:46.236]  And people are calling their bluff.
[00:10:46.496 --> 00:10:47.977]  And now Bernanke isn't arrogant.
[00:10:48.017 --> 00:10:50.118]  The bankers aren't arrogant now when you see them before Congress.
[00:10:50.438 --> 00:10:51.438]  They are freaked out.
[00:10:51.758 --> 00:10:52.899]  And they all need to go to prison.
[00:10:53.399 --> 00:11:02.604]  And it's because I've been calling for them to go to prison, and so has Ron Paul on this show, that I'm getting death threats, dirty tricks, extortion, harassment, and I'm not going to get into it on air.
[00:11:02.724 --> 00:11:05.505]  It's just, believe me folks, we are under attack.
[00:11:05.825 --> 00:11:07.126]  And it is intensifying.
[00:11:08.180 --> 00:11:12.145]  It is intensifying, so pray for us, support us, support the money bomb tomorrow.
[00:11:12.465 --> 00:11:14.067]  Think of how far we've come just on this!
[00:11:14.527 --> 00:11:17.311]  And they've tried to pass all these blanket amnesty plans.
[00:11:17.391 --> 00:11:18.151]  Those all fail.
[00:11:18.572 --> 00:11:21.335]  They've tried to pass all these gun confiscation bills.
[00:11:21.375 --> 00:11:22.056]  Those are failing.
[00:11:23.938 --> 00:11:26.101]  And they always come back and fight back, but we're fighting back.
[00:11:26.141 --> 00:11:27.742]  We're finding our fighting spirit here.
[00:11:28.063 --> 00:11:28.804]  This is historical.
[00:11:30.956 --> 00:11:43.804]  So I'm going to get back into Congress, subpoenas the Fed, the bill to audit the Fed, all that's coming up with Ron Paul, but the top story today was going to be what's happening right now with audit the private Federal Reserve.
[00:11:43.824 --> 00:11:45.145]  That is huge, that is historical.
[00:11:45.665 --> 00:11:47.106]  God knows what tricks they're going to play.
[00:11:47.827 --> 00:11:51.189]  Starting new wars, staging terror attacks, who knows, to get our minds off this.
[00:11:52.028 --> 00:11:53.149]  I mean, they're criminals.
[00:11:53.189 --> 00:11:54.090]  We're calling her bluff.
[00:11:54.110 --> 00:11:54.871]  They're con artists.
[00:11:54.911 --> 00:11:55.632]  It's a fraud.
[00:11:55.852 --> 00:11:57.173]  The government's illegitimate.
[00:11:57.393 --> 00:11:58.454]  It's not our republic.
[00:11:59.295 --> 00:12:01.377]  All we gotta do is point this out and get the word out.
[00:12:01.437 --> 00:12:02.298]  They will fail.
[00:12:02.738 --> 00:12:09.265]  Police and military are waiting for us to have the strength, politically, so they can somewhat more safely come out and tell the truth.
[00:12:09.745 --> 00:12:10.946]  I say, throw caution to the wind.
[00:12:11.607 --> 00:12:13.609]  Justice be done by the heavens falls, I love to say.
[00:12:13.989 --> 00:12:14.829]  I am committed to this.
[00:12:15.290 --> 00:12:30.621]  The enemy would be completely defeated if all the real men and women out there would stop having their teeth chattering, their knees knocking, and would commit to the cause of liberty 110% and sign your John Hancock on this new Declaration of Independence and Liberty against the technocratic eugenicist elite.
[00:12:32.463 --> 00:12:33.143]  But that's coming up.
[00:12:33.163 --> 00:12:35.385]  But I want to just tell you right now, you can read the documents,
[00:12:36.826 --> 00:12:39.748]  You can go to InfoWars.com.
[00:12:39.789 --> 00:12:42.171]  In fact, go to InfoWars.com and PrisonPlanet.com, guys.
[00:12:42.391 --> 00:12:44.252]  Punch us up on PrisonPlanet.tv for people.
[00:12:46.254 --> 00:12:47.175]  There are the documents.
[00:12:48.676 --> 00:12:49.877]  And I'm going to read this to people right now.
[00:12:49.957 --> 00:12:50.878]  Punch that up on screen.
[00:12:53.513 --> 00:12:59.835]  Government-issued Weapons and Equipment Inventory Form, and of course, registering is always to confiscate, PDF.
[00:13:00.435 --> 00:13:04.157]  VFW District and Post Government-issued Weapons and Equipment Inventory.
[00:13:04.457 --> 00:13:05.257]  Commanders.
[00:13:05.717 --> 00:13:06.698]  This has never been done before.
[00:13:06.738 --> 00:13:07.358]  Why is it happening now?
[00:13:08.018 --> 00:13:15.261]  I have been contacted by the USTACOM about government-issued weapons and equipment on loan to VFW Post statewide.
[00:13:16.081 --> 00:13:23.151]  The essence of our conversations centered on inventory of all government's weapons and equipment by each VFW post.
[00:13:23.592 --> 00:13:30.282]  While you may have had possession of this equipment for 20, 40, 60 or even 100 years, it still belongs to the U.S.
[00:13:30.302 --> 00:13:30.742]  military.
[00:13:31.693 --> 00:13:37.296]  In short, every VFW post will be needed to complete the attached form and send to the department.
[00:13:37.656 --> 00:13:47.861]  This form will then be bounced off the central database of all Texas VFW posts at US Army TACOM to verify serial numbers of each item that has been issued.
[00:13:48.421 --> 00:13:52.783]  This is a very extensive list and goes back to before the VFW was founded.
[00:13:53.043 --> 00:13:55.964]  So if you have a cannon from the Spanish-American War, it's on the list.
[00:13:56.525 --> 00:13:57.385]  Weapons and equipment.
[00:14:02.707 --> 00:14:14.813]  Consists of, but is not limited to, rifles, pistols, mortars, artilleries, tanks, vehicles, aircraft, missiles, aircraft carriers, etc.
[00:14:14.853 --> 00:14:16.714]  from any time period.
[00:14:17.234 --> 00:14:26.579]  I know there are posts that have weapons they inherited from another post when they combined or when some other post closed or donated to another post when the post could not
[00:14:27.645 --> 00:14:29.045]  And no longer maintain the items.
[00:14:29.166 --> 00:14:37.448]  Please do not try to hide this as all weapons and equipment not accounted for will be reported to the FBI and BATF as stolen military equipment.
[00:14:37.888 --> 00:14:41.770]  The items will just be properly transferred to your district post.
[00:14:42.510 --> 00:14:49.192]  One of their favorite things BATF does at gun shows, if somebody sells a body armor or a helmet, something that's even theirs, they just arrest you.
[00:14:49.672 --> 00:14:50.692]  They just hate America.
[00:14:51.413 --> 00:14:55.414]  You see, the United States previously reveled
[00:14:56.824 --> 00:15:12.333]  reveled in the fact that in Europe, read Thomas Jefferson, all the founders, in Europe the people didn't have, weren't even allowed to own swords, weren't allowed to own muskets, much less tanks and, and, and, and, and, and cannon.
[00:15:13.153 --> 00:15:15.435]  Tanks weren't invented until World War I, but you get my point.
[00:15:15.775 --> 00:15:16.795]  Now we have all this.
[00:15:17.216 --> 00:15:21.398]  It's pure Americana, pure liberty, liberta, that
[00:15:23.194 --> 00:15:29.839]  That these weapons were served out when they were, quote, obsolete to the local militias that then the VFW grew out of.
[00:15:29.859 --> 00:15:37.065]  Homeland Security lists you as the number one terrorist.
[00:15:37.145 --> 00:15:48.494]  In fact, when I finish reading this document, we show in the inventory form, a search engine for folks out there in case they just now tuned in and are watching on PrisonPlanet.tv or never heard the show before, listening on the radio.
[00:15:51.164 --> 00:15:56.928]  Google for folks, veterans listed as number one terror threat by Homeland Security.
[00:15:57.088 --> 00:16:00.410]  We'll show you the document, because I know a lot of you are new and you're going to say it isn't real.
[00:16:00.811 --> 00:16:02.832]  Doesn't matter if it was in hundreds of newspapers and we broke it.
[00:16:03.613 --> 00:16:03.973]  Okay.
[00:16:07.395 --> 00:16:12.319]  I am hopeful that I will not need to remind anyone of the severity of punishment that can be administered
[00:16:13.044 --> 00:16:21.770]  Or the legal bills resulting from individuals or elected officers, if on post property, of the post having possession of stolen military weapons, which the government gave them.
[00:16:22.691 --> 00:16:26.794]  We have until January 31st, 2009 to report to US Army TACOM.
[00:16:29.856 --> 00:16:30.316]  July.
[00:16:30.597 --> 00:16:34.659]  We have until July 31st, 2009 to report to US Army TACOM.
[00:16:35.000 --> 00:16:40.704]  Please submit your inventory list as soon as possible so I can mark your post district off our list.
[00:16:41.843 --> 00:16:46.685]  And see, this is about the bureaucracy of a list of veterans and veterans reporting on themselves.
[00:16:47.045 --> 00:16:50.386]  Should you have any questions, please do not hesitate to call me.
[00:16:50.627 --> 00:16:52.087]  Thanks for your help on this matter.
[00:16:52.747 --> 00:16:59.030]  Dan West, Sergeant, USMC Retired, Assistant Adjunct, Department of Texas Veterans and Foreign Affairs.
[00:16:59.830 --> 00:17:01.171]  This is the New World Order.
[00:17:01.451 --> 00:17:02.691]  Show them the inventory list.
[00:17:03.092 --> 00:17:04.072]  Click on the other document.
[00:17:05.902 --> 00:17:07.903]  Here's the inventory list for everybody out there.
[00:17:07.923 --> 00:17:14.047]  So you can list that 100-year-old, 150-year-old cannon that's spiked out front.
[00:17:14.988 --> 00:17:19.711]  And don't worry, the state of Texas is listing its cannons out front from the Texas Independents.
[00:17:21.071 --> 00:17:25.514]  Those things are like crosses to vampires.
[00:17:25.554 --> 00:17:27.195]  They hate our liberty teeth so much.
[00:17:28.616 --> 00:17:29.697]  Here you go, ladies and gentlemen.
[00:17:31.644 --> 00:17:34.585]  So they give it to you, they push it, just like they tell the troops.
[00:17:35.165 --> 00:17:36.526]  Remember the $60-plus billion?
[00:17:36.546 --> 00:17:40.327]  It was $20 billion, then $40 billion, then $60-plus billion, in pallets of $100 bills?
[00:17:40.868 --> 00:17:43.609]  And they would give every private $10, $20, $30 grand a year.
[00:17:43.629 --> 00:17:47.270]  They'd give colonels millions, generals untold millions, stolen loot.
[00:17:48.590 --> 00:17:50.511]  But later they'd say, now you're part of the corruption.
[00:17:50.971 --> 00:17:54.393]  If you report on any of this, it was being done by the White House, you're going to be in trouble.
[00:17:56.073 --> 00:17:57.834]  Well, this is how they're going to corrupt the VFW.
[00:17:58.074 --> 00:17:59.755]  Oh, you don't know where that rifle came from.
[00:18:00.936 --> 00:18:04.979]  Just agreed to report on other members of the VFW that don't like the President.
[00:18:06.941 --> 00:18:09.864]  I mean, they admit in the Department of Homeland Security documents that go out nationwide.
[00:18:10.044 --> 00:18:11.545]  They're spying on veterans, gun owners.
[00:18:11.565 --> 00:18:13.487]  We're the number one threat to their criminal activity.
[00:18:14.968 --> 00:18:16.249]  Let's go ahead and go to calls.
[00:18:17.050 --> 00:18:24.176]  I said I want to hear from people at VFW who've gotten this or who are veterans or VFW members.
[00:18:24.496 --> 00:18:25.917]  Roger in Missouri are on the air.
[00:18:25.957 --> 00:18:26.278]  Go ahead.
[00:18:29.901 --> 00:18:34.426]  Yeah, thanks for reporting on this.
[00:18:35.247 --> 00:18:37.150]  I do have to correct you on one thing.
[00:18:37.170 --> 00:18:46.862]  I was instrumental in getting the Marine Corps League started about seven years ago, and we do military funerals, and we did apply and got
[00:18:47.763 --> 00:19:15.158]  uh... in one grand raffles from uh... u s government and they have they were very specific about it and you're not listening to me asserts hold on you didn't hear a word i said not a word i said i said this has been in the last fifteen twenty years they do this they the the the government gifted those civil war cannons to answer that you like i'm gonna tell you something this is new i know that so you're not correcting me go ahead
[00:19:16.321 --> 00:19:21.045]  Well, all I wanted to say was, when they sent us the weapons, they did say they were loaned.
[00:19:21.285 --> 00:19:22.566]  They didn't say that they were given.
[00:19:22.606 --> 00:19:23.146]  No, I know!
[00:19:23.206 --> 00:19:24.867]  I'm saying now they're telling you that.
[00:19:25.268 --> 00:19:25.768]  I understand.
[00:19:25.828 --> 00:19:26.148]  Okay.
[00:19:26.508 --> 00:19:26.769]  Alright.
[00:19:27.189 --> 00:19:37.356]  But, I'm also a lifetime member of VFW in Cape Girardeau, Missouri, home of Popper Rush Limbaugh.
[00:19:38.057 --> 00:19:41.219]  I have just made an urgent call to my commander.
[00:19:41.696 --> 00:19:42.516]  Stay there, stay there, sir.
[00:19:42.536 --> 00:19:43.637]  And I wasn't trying to be rude to you.
[00:19:43.677 --> 00:19:44.777]  I just want to be specific.
[00:19:45.257 --> 00:19:46.518]  I know they do this now.
[00:19:46.558 --> 00:19:48.498]  I'm saying that's the contract trick.
[00:19:48.799 --> 00:19:53.160]  And they have you sign contracts to then domesticate you and basically turn you into informants.
[00:19:53.600 --> 00:19:54.921]  You're just being punked.
[00:19:55.021 --> 00:19:57.762]  You're being made into servants of the feds and InfraGard.
[00:19:58.002 --> 00:19:58.482]  Stay there, sir.
[00:19:58.502 --> 00:19:59.422]  I want to talk to you, Roger.
[00:19:59.462 --> 00:20:00.043]  Thanks for calling.
[00:20:00.063 --> 00:20:00.423]  Stay with us.
[00:20:01.683 --> 00:20:06.905]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:20:07.697 --> 00:20:13.058]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:20:13.578 --> 00:20:19.780]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:20:20.080 --> 00:20:21.900]  Well, Obama's already fudging.
[00:20:22.060 --> 00:20:24.441]  He's fudged since day one in this election.
[00:20:24.521 --> 00:20:35.403]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:20:37.708 --> 00:20:38.969]  It's not about left or right.
[00:20:39.369 --> 00:20:40.770]  It's about a one world government.
[00:20:41.230 --> 00:20:47.554]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:20:48.135 --> 00:20:55.920]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:20:56.400 --> 00:20:57.541]  The Obama Deception.
[00:20:57.961 --> 00:20:59.162]  The people strike back.
[00:21:02.228 --> 00:21:04.209]  Are you wondering about your retirement portfolio?
[00:21:04.569 --> 00:21:10.551]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:21:10.811 --> 00:21:14.712]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:21:14.952 --> 00:21:21.815]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:21:22.115 --> 00:21:27.657]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:21:28.037 --> 00:21:31.298]  For a free introductory copy to Robert Chapman's International Forecaster,
[00:21:31.738 --> 00:21:37.961]  Subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:21:38.921 --> 00:21:40.042]  Experience the difference.
[00:21:40.382 --> 00:21:45.344]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:21:45.645 --> 00:21:46.585]  Don't wait another minute.
[00:21:46.865 --> 00:21:50.407]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:21:50.427 --> 00:21:50.707]  That's 877-479-8178.
[00:22:00.455 --> 00:22:02.636]  This is Alex Jones for American Tax Settlement.
[00:22:02.796 --> 00:22:11.920]  We have received news that the IRS is currently accepting reduced settlements on back taxes, and millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:22:12.300 --> 00:22:20.143]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[00:22:20.323 --> 00:22:26.266]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800.
[00:22:27.126 --> 00:22:27.686]  We're good to go.
[00:22:56.079 --> 00:22:56.919]  That's 1-800-506-5904.
[00:22:57.620 --> 00:22:59.740]  Call today.
[00:23:01.101 --> 00:23:04.582]  Going into battle, you would want all the ammunition for your gun you could get.
[00:23:04.782 --> 00:23:08.003]  But presently, ammunition and reloading supplies are in shortage.
[00:23:08.323 --> 00:23:09.203]  Now think about this.
[00:23:09.663 --> 00:23:15.525]  If you have no food, all the guns and ammunition will be useless against the population control breadlines.
[00:23:15.865 --> 00:23:18.746]  In the present battle for freedom and the lives of your loved ones,
[00:23:21.493 --> 00:23:22.073]  We're good to go.
[00:23:54.897 --> 00:24:04.661]  Ron Paul is coming up in the next segment now.
[00:24:04.681 --> 00:24:07.121]  He's not going to be able to go on the floor, so stay with us for that.
[00:24:08.762 --> 00:24:13.504]  And I'm going to continue with Roger and Matt and Mark and everybody else who's holding.
