[00:00:06.149 --> 00:00:11.693]  ...set off all ceramic filter systems and ship all orders over $50 free of charge.
[00:02:57.053 --> 00:03:04.138]  The group will include representatives from the State Department, the White House, the National Security Agency, and the Treasury Department.
[00:03:04.638 --> 00:03:13.985]  The Brazilian military has called off the somber search for bodies of the people on board an Air France jumbo jet that plunged into the Atlantic Ocean earlier this month.
[00:03:13.985 --> 00:03:22.151]  All 228 people on board died when the Airbus A330 apparently broke apart in midair and plunged into the ocean.
[00:03:22.151 --> 00:03:27.115]  Only 51 of the victims have been found and the flight data recorders have yet to be recovered.
[00:03:27.115 --> 00:03:30.538]  For the latest news and analysis log on to IRNUSANews.com
[00:03:33.359 --> 00:03:38.180]  With a word about Israel, here's best-selling author and Bible teacher, Kay Arthur.
[00:03:38.180 --> 00:03:46.441]  If you could only visit one country, one nation on the face of this earth, it should be Israel.
[00:03:46.441 --> 00:03:49.462]  Because then, you'll never be the same.
[00:03:49.462 --> 00:03:52.922]  To start planning your trip to Israel today, call 1-888-77-ISRAEL or visit www.goisrael.com.
[00:04:03.897 --> 00:04:10.942]  Nine people are dead after a multi-car crash involving a semi on the Will Rogers Turnpike near Miami, Oklahoma.
[00:04:10.942 --> 00:04:19.448]  According to the Oklahoma Highway Patrol, traffic was stopped because of an earlier accident when the semi slammed into at least three cars.
[00:04:19.448 --> 00:04:25.572]  That caused a chain reaction that involved seven vehicles with the semi ending up on top of three of the cars.
[00:04:25.652 --> 00:04:30.755]  Michael Jackson's doctor has been questioned by Los Angeles police for a second time.
[00:04:30.755 --> 00:04:38.840]  Accompanied by his lawyer, Texas cardiologist Dr. Conrad Murray was questioned by detectives for several hours Saturday.
[00:04:38.840 --> 00:04:51.969]  The attorney, identified as Matt Alford by TMZ.com, issued a statement through his law firm that said, Dr. Murray is considered to be a witness to the events surrounding Michael Jackson's death and he is not a suspect.
[00:04:52.489 --> 00:05:02.072]  Police are thought to be investigating reports that Murray injected Jackson with the potent painkiller Demerol before he collapsed and died Thursday.
[00:05:02.072 --> 00:05:09.454]  Third-seeded American Venus Williams and top-seeded Dinara Safina were the Round 3 winners on Day 6 at Wimbledon.
[00:05:09.827 --> 00:05:16.191]  Williams cruised past Spaniard Carlos Suarez-Navarro while Safina ousted unseeded Kristen Flipkens.
[00:05:16.191 --> 00:05:24.616]  On the men's side, two-time runner-up Andy Roddick posted a third straight four-set victory as he reached the fourth round at Wimbledon's for a fifth time.
[00:05:24.616 --> 00:05:28.258]  Former champion Leighton Hewitt also booked a spot in the round of 16.
[00:05:28.258 --> 00:05:29.439]  This is IRN USA Radio News.
[00:05:33.923 --> 00:05:40.165]  We are surrounded by harmful indoor air that can easily deliver many harmful toxins straight into our bodies.
[00:05:40.165 --> 00:05:41.966]  Take a deep breath.
[00:05:41.966 --> 00:05:48.448]  Can you actually feel the airborne influenza, viruses, mold, bacteria, and dangerous ozone entering your lungs?
[00:05:48.448 --> 00:05:50.008]  Have a glass of water.
[00:05:50.008 --> 00:05:55.670]  Can you taste the harmful chlorine, fluoride, lead, pharmaceutical drugs, and numerous other chemicals?
[00:05:55.670 --> 00:05:56.730]  Of course you can't.
[00:05:56.730 --> 00:06:01.532]  The air that you breathe and the water you drink should help maintain good health, not take away from it.
[00:06:01.852 --> 00:06:06.155]  AirAndAqua.com knows exactly what doesn't belong in our air and water.
[00:06:06.155 --> 00:06:10.418]  And they know exactly how to help you rid your home or office of these toxins.
[00:06:10.418 --> 00:06:17.784]  AirAndAqua.com carries whole house air and water purification systems, air conditioners, shower head filters, water testing kits.
[00:06:18.064 --> 00:06:22.385]  Atmospheric water generators, humidifiers, dehumidifiers, and much more.
[00:06:22.385 --> 00:06:29.307]  To learn more and see the products that will change the way you look at our air and water, please visit airandaqua.com.
[00:06:29.307 --> 00:06:31.487]  That's airandaqua.com.
[00:06:31.487 --> 00:06:33.048]  Purify your life today!
[00:06:33.048 --> 00:06:44.431]  Prepare yourself for a talk radio experience like no other.
[00:06:44.431 --> 00:06:45.891]  He stands for truth.
[00:06:47.168 --> 00:06:50.389]  He stands for justice.
[00:06:50.389 --> 00:06:52.850]  He stands for what's right.
[00:06:52.850 --> 00:06:56.131]  This is the Alex Jones Show.
[00:06:56.131 --> 00:06:59.392]  Call Alex now, toll free at 877-590-5525.
[00:06:59.392 --> 00:07:03.134]  Now live from Austin, Texas, here's Alex Jones.
[00:07:19.737 --> 00:07:30.525]  Welcome, welcome, my friends, and thank you so much for joining us on this live June 28, 2009 Sunday edition.
[00:07:30.525 --> 00:07:37.710]  Of course, I have the Syndicated Transmission, Monday through Friday.
[00:07:37.710 --> 00:07:47.397]  Blasting out on the AM and FM dial, Global Shortwave Satellite, number one radio show on the internet, according to Shoutcast, Flycast, and many other gauges, and of course also Simulcast
[00:07:48.723 --> 00:07:52.046]  Re-aired on XM Radio.
[00:07:52.046 --> 00:07:57.010]  And here we are on the abbreviated Sunday transmission, 4 to 6 p.m.
[00:07:57.010 --> 00:08:00.553]  Each and every Sunday, come rain or shine, I am here.
[00:08:00.553 --> 00:08:02.075]  Talk about rain or shine.
[00:08:02.075 --> 00:08:09.581]  In my car, there's a thermometer on the dash, I guess from the windshield, said it was 115 driving over here.
[00:08:09.581 --> 00:08:16.567]  Now, remember that that's obviously driving on the highway and it's much hotter with the heat coming off the asphalt and the concrete.
[00:08:17.273 --> 00:08:20.094]  But they were saying it was like 105 the other day here in Austin.
[00:08:20.094 --> 00:08:20.635]  It's only 102.
[00:08:20.635 --> 00:08:24.657]  It's always nice though in these particular studios.
[00:08:24.657 --> 00:08:28.899]  These are nice studios, but the ACs always freeze up when it gets over 100.
[00:08:28.899 --> 00:08:36.883]  So everybody's basically got their shirts off here at the EMS offices that we're syndicating out of and the studios of NewsRadio 590 KLBJ.
[00:08:36.883 --> 00:08:40.564]  I mean, Jaron Neihardt literally earlier has his shirt up.
[00:08:40.564 --> 00:08:41.805]  He's standing over by the fan.
[00:08:43.410 --> 00:08:46.993]  Uh, he's, uh, it's the opposite of a turtle sunning itself out on a log.
[00:08:46.993 --> 00:08:48.574]  He's, like, trying to cool off with the fan.
[00:08:48.574 --> 00:08:57.260]  He has his shirt literally hanging it over the fan, hanging over the board, because they have those old-fashioned tube boards and all these computers, and heat's just rising off of them.
[00:08:57.260 --> 00:08:59.602]  You could almost fry eggs on them.
[00:08:59.602 --> 00:09:03.585]  Right now, I've got sweat just pouring down my sides of my shirt.
[00:09:04.321 --> 00:09:08.664]  I look like I'm a Russian bus driver or something in Moscow in the middle of summer.
[00:09:08.664 --> 00:09:11.106]  But, you know why I say that?
[00:09:11.106 --> 00:09:15.128]  Because still in Eastern Europe and places in Western Europe, a lot of them don't have A.C.
[00:09:15.128 --> 00:09:16.349]  because it hardly ever gets hot there.
[00:09:16.349 --> 00:09:19.351]  But when it does get hot, look out everybody.
[00:09:19.351 --> 00:09:24.595]  Like up in Chicago, every time it gets this hot in Chicago or Milwaukee, you hear about dozens of deaths a week.
[00:09:24.595 --> 00:09:27.757]  They're up there dying right now.
[00:09:27.757 --> 00:09:30.779]  I made a mistake of going for a jog at noon today.
[00:09:30.779 --> 00:09:32.360]  By the time I woke up and
[00:09:33.769 --> 00:09:34.029]  I don't know.
[00:09:56.644 --> 00:10:09.649]  Dispensing with the pleasantries, ladies and gentlemen, to get into the very serious, grave news and information we're going to be covering throughout the next, well now, hour and 52 minutes today.
[00:10:09.649 --> 00:10:11.110]  First off, take a lot of calls.
[00:10:11.110 --> 00:10:12.070]  The toll-free number is 877-590-5525.
[00:10:12.070 --> 00:10:12.130]  877-590-5525.
[00:10:12.130 --> 00:10:16.392]  Or locally in Central Texas, if you're listening to us in Central Texas, 836-0590.
[00:10:16.392 --> 00:10:16.592]  Okay.
[00:10:26.246 --> 00:10:30.531]  Here's what's happening.
[00:10:30.531 --> 00:10:46.187]  Foreign offshore corporations that are bigger than most governments independently, but together they're bigger than any one government combined, of the 100 biggest economies, 50 plus are now corporations, not governments.
[00:10:46.187 --> 00:10:46.888]  They have teamed up
[00:10:47.558 --> 00:11:14.982]  lobbied governments worldwide to create international law that gives them unlimited power and the people absolutely no rights and they're in the final phase right now of bankrupting the planet according to their own IMF World Bank documents by design so that everyone will be bankrupt and owe their allegiance to the new bank of the world whose fiat currency and credit is protected and backed up by the US military, British military, European military, NATO.
[00:11:16.232 --> 00:11:16.752]  And that's it.
[00:11:16.752 --> 00:11:18.033]  Very, very simple.
[00:11:18.033 --> 00:11:22.516]  They are now making their move, completely breaking the back of the U.S.
[00:11:22.516 --> 00:11:24.337]  Republic.
[00:11:24.337 --> 00:11:27.399]  The fall of the Republic is now happening.
[00:11:27.399 --> 00:11:28.740]  The death of the Republic.
[00:11:28.740 --> 00:11:29.721]  Republic's end.
[00:11:29.721 --> 00:11:31.322]  Republic's fall.
[00:11:31.322 --> 00:11:34.284]  The gallows for the United States is here.
[00:11:34.284 --> 00:11:38.927]  In fact, I can officially say that if they pass all the bills they've got introduced,
[00:11:39.946 --> 00:11:41.949]  And then are able to implement them.
[00:11:41.949 --> 00:11:54.024]  Officially, the Republic will be 100% dead and we will be an official dictatorship of the bureaucracy and then the private corporations that own and control it.
[00:11:55.077 --> 00:12:00.379]  There is a total and complete carbon credit, carbon tax takeover happening.
[00:12:00.379 --> 00:12:01.980]  We'll break that down coming up.
[00:12:01.980 --> 00:12:08.943]  There is a complete absolute banking dictatorship over it all, openly being announced, about to be passed in Congress.
[00:12:08.943 --> 00:12:13.305]  There is a complete total takeover of every square inch of the United States.
[00:12:13.305 --> 00:12:16.686]  Same laws have already been passed in the rest of the world, because the bankers run everything.
[00:12:17.746 --> 00:12:24.473]  Where all land is owned by the federal government and thus given to private offshore corporate interest for collateral on the debt.
[00:12:24.473 --> 00:12:28.156]  Any below ground water, all land has below ground.
[00:12:28.156 --> 00:12:32.100]  Feds can take your land, come on it without warrants, tax you, fine you, fee you.
[00:12:32.100 --> 00:12:39.928]  They've stolen most people's ranches and farms outside Austin in the mid-90s under SOS and then they give it to themselves and it's a crime syndicate.
[00:12:39.928 --> 00:12:42.030]  It's this on a national setting.
[00:12:43.832 --> 00:12:48.035]  So water takeover is happening right now with the Clean Water Restoration Act.
[00:12:48.035 --> 00:12:54.640]  Openly mainstream news is announcing just absolute total federalism, every square inch everywhere, just hellish.
[00:12:54.640 --> 00:13:10.511]  Police state takeover is happening with expanded Patriot Acts, body scanners at all the airports scanning your naked body, TSA checkpoints popping up at train stations, bus stations, highways, total control, warrantless wiretapping everywhere, openly federalizing all the state police, mainstream news.
[00:13:11.258 --> 00:13:15.644]  Gun-grabbing, more than 15 bills introduced to completely ban all guns.
[00:13:15.644 --> 00:13:18.247]  It allows the Attorney General to ban all guns at will.
[00:13:18.247 --> 00:13:19.428]  It's just dictatorial power.
[00:13:19.428 --> 00:13:20.410]  That's what all these bills do.
[00:13:20.410 --> 00:13:22.612]  The water bill, the banking bill, the carbon bill.
[00:13:22.612 --> 00:13:25.556]  It just says our bureaucracies can do whatever they want.
[00:13:25.556 --> 00:13:26.117]  Blank check.
[00:13:26.733 --> 00:13:30.796]  See, this is just, they've decided to just violate the whole Bill of Rights and Constitution.
[00:13:30.796 --> 00:13:32.897]  You put up with warrantless wiretapping.
[00:13:32.897 --> 00:13:34.599]  And so now, you put up with torture.
[00:13:34.599 --> 00:13:36.740]  That was the trial balloon.
[00:13:36.740 --> 00:13:39.382]  And so, they said, look, these idiots will buy anything we do.
[00:13:39.382 --> 00:13:41.664]  We can torture kids in front of their parents and they say it's good.
[00:13:41.664 --> 00:13:42.684]  They like Jack Bauer.
[00:13:42.684 --> 00:13:44.826]  And they said, alright, drop the hammer on them.
[00:13:44.826 --> 00:13:45.807]  Take everything they got.
[00:13:45.807 --> 00:13:46.887]  Blow the country out.
[00:13:46.887 --> 00:13:49.689]  And they said, zeig heil and launch the operation.
[00:13:49.689 --> 00:13:54.553]  You're getting conquered, militarily and economically, in a blitzkrieg of destruction right now.
[00:13:56.221 --> 00:14:01.984]  The next three months is the most important phase in this country's entire history since independence was won.
[00:14:01.984 --> 00:14:04.065]  233 years ago.
[00:14:04.065 --> 00:14:06.386]  So the gun grab takeover is happening now.
[00:14:06.386 --> 00:14:12.630]  The total complete open border takeover is happening right now.
[00:14:12.630 --> 00:14:14.871]  Complete absolute total amnesty has been introduced.
[00:14:16.950 --> 00:14:24.212]  The health care total complete takeover with the government can have eugenics and control everything you do, all the treatment you get.
[00:14:24.212 --> 00:14:28.033]  Dashiell wrote in his book and the bills say they're going to ration care.
[00:14:28.033 --> 00:14:34.055]  They said the British model where you wait 18 months for a brain tumor to be removed and it's a fatal in almost every case.
[00:14:34.055 --> 00:14:38.737]  I've got Tony Blair on video in the House of Commons saying yes, no brain tumor surgery for you.
[00:14:38.737 --> 00:14:39.797]  So total state control.
[00:14:42.378 --> 00:14:44.582]  We're going to break down the complete takeover.
[00:14:44.582 --> 00:14:45.884]  This is your heads up.
[00:14:45.884 --> 00:14:49.310]  This is the alarm being given.
[00:14:49.310 --> 00:14:54.159]  This is raising the alarm that we are being completely taken over.
[00:14:54.159 --> 00:14:54.780]  And as you know,
[00:14:55.416 --> 00:14:59.158]  People kept saying, Alex, they're not going to pass the global warming takeover bill.
[00:14:59.158 --> 00:15:01.239]  They're not going to pass the carbon tax.
[00:15:01.239 --> 00:15:07.943]  I had idiots, when I made Endgame two and a half years ago, emailing me and calling me and saying there's no plan for a carbon tax.
[00:15:07.943 --> 00:15:09.284]  Is there a carbon tax now?
[00:15:09.284 --> 00:15:10.745]  After you saw it pass?
[00:15:10.745 --> 00:15:13.146]  You people need to stop living in denial!
[00:15:13.146 --> 00:15:23.472]  You know, I was watching this morning a little bit of Downfall, which is from the diary of Hitler's secretary.
[00:15:24.665 --> 00:15:26.206]  Very accurate film.
[00:15:26.206 --> 00:15:28.749]  It's in German.
[00:15:28.749 --> 00:15:44.222]  And the denial in his bunker, even as the Russians were 200 yards away, pounding it with giant artillery, Eva Braun, his wife, was stumbling around saying that they were going to defeat the Russians in the U.S.
[00:15:44.222 --> 00:15:45.563]  That's what the American people are like.
[00:15:46.574 --> 00:15:48.877]  Just you won't admit you're losing everything.
[00:15:48.877 --> 00:15:50.179]  You won't admit you're being raped.
[00:15:50.179 --> 00:15:52.661]  You won't get angry because you don't believe in yourselves.
[00:15:52.661 --> 00:15:57.147]  Well, you better believe in yourselves because we're under assault and we don't deserve to be slaves.
[00:15:57.147 --> 00:15:58.829]  We're not Hitler.
[00:15:58.829 --> 00:16:03.514]  But it's the same kind of moronic denial or it's not your place to stand up.
[00:16:03.514 --> 00:16:05.156]  It's not your place to speak out.
[00:16:06.753 --> 00:16:09.014]  Yes, it is your place to speak out, and you better.
[00:16:09.014 --> 00:16:15.738]  And listen, if you want to hear about Michael Jackson, the scumbag, I'll talk about him briefly when we get back, and then I'm done talking about it.
[00:16:15.738 --> 00:16:29.905]  The only reason I'm going to talk about that freak, that ne'er-do-well drug addict, is because it's an example of modern mind control, and I'll tell you what I think of Michael Jackson when we get back, then I'll get into real news, not the distractions.
[00:16:29.905 --> 00:16:30.365]  Stay with us!
[00:16:33.899 --> 00:16:37.301]  Would you give someone $100 for a $10 bill?
[00:16:37.301 --> 00:16:41.743]  If you're taking vitamins and minerals in a pill form, that's exactly what you're doing.
[00:16:41.743 --> 00:16:44.265]  Hello, my name is Dr. David Friedman.
[00:16:44.265 --> 00:16:50.528]  According to the physician's desk reference, many vitamins and minerals in a pill form are 10% absorbed.
[00:16:50.528 --> 00:16:56.891]  It doesn't take a mathematician to figure out for every $100 you spend on these pills, you're flushing $90 down the toilet.
[00:16:58.092 --> 00:17:00.354]  Start absorbing the nutrients you swallow.
[00:17:00.354 --> 00:17:07.720]  Introducing Chews for Health, a delicious tasting chewable containing 16 super fruits, seed vegetables, and antioxidants.
[00:17:07.720 --> 00:17:09.902]  You know, you work hard for your money.
[00:17:09.902 --> 00:17:12.464]  Isn't it time to start getting what you pay for?
[00:17:12.464 --> 00:17:13.105]  Order today!
[00:17:13.285 --> 00:17:13.525]  1-800-210-1922.
[00:17:13.525 --> 00:17:20.331]  With Choose for Health, your body gets to keep the nutrients you swallow.
[00:17:20.331 --> 00:17:26.796]  The first 300 callers are going to receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:17:26.796 --> 00:17:26.896]  1-800-210-1922.
[00:17:26.896 --> 00:17:27.797]  Or go to orderchoose.com.
[00:17:34.462 --> 00:17:36.462]  Hi, I'm John Swenson at Midas Resources.
[00:17:36.462 --> 00:17:40.603]  800-686-2237, extension 128.
[00:17:40.603 --> 00:17:42.723]  And let's take in a brief mind movie.
[00:17:42.723 --> 00:17:48.404]  We're surrounded by jesters, members of the nation's largest clown club based in Washington, D.C.
[00:17:48.404 --> 00:17:54.205]  Fuzzy hair, baggy pants, big yellow shoes, and now offering financial assurances that all will be well.
[00:17:54.205 --> 00:17:56.206]  The stimulus package is working.
[00:17:56.206 --> 00:17:58.106]  A bailout is coming your way.
[00:17:58.106 --> 00:18:02.287]  And while we're flat broke, we're also told that we've stepped back away from the brink.
[00:18:02.287 --> 00:18:02.607]  Pardon me?
[00:18:03.436 --> 00:18:04.677]  Back to the real world.
[00:18:04.677 --> 00:18:08.940]  We know that we can rely on no one but ourselves to generate financial security.
[00:18:08.940 --> 00:18:11.503]  Protecting your assets is solely up to you.
[00:18:11.503 --> 00:18:13.204]  No one else is coming to the rescue.
[00:18:13.204 --> 00:18:24.693]  Please call me, John Swenson, 800-686-2237, extension 128, to discuss investing in precious metals, gold and silver, with a 6,000 year track record of success and security.
[00:18:24.693 --> 00:18:31.679]  I'm John Swenson, 800-686-2237, extension 128, and together we'll create a package that really works for you.
[00:18:34.622 --> 00:18:40.126]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:18:40.126 --> 00:18:40.926]  and the world.
[00:18:40.926 --> 00:18:44.768]  And for the first time in their lives, they are feeling the need for preparedness.
[00:18:44.768 --> 00:18:51.272]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:18:51.272 --> 00:18:53.314]  Ready Reserve is the manufacturer.
[00:18:53.314 --> 00:18:58.537]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[00:18:58.737 --> 00:19:01.520]  With double enameled cans and nitrogen packaging.
[00:19:01.520 --> 00:19:06.225]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:19:06.225 --> 00:19:12.051]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:19:12.051 --> 00:19:13.953]  Many companies do not even offer a catalog.
[00:19:14.213 --> 00:19:17.897]  We will be more than happy to send a catalog to you free of charge.
[00:19:17.897 --> 00:19:18.238]  Dial 1-800-453-2202.
[00:19:18.238 --> 00:19:18.318]  1-800-453-2202.
[00:19:18.318 --> 00:19:19.859]  Or visit our website at ReadyReserveFoods.com.
[00:19:19.859 --> 00:19:22.002]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:19:22.002 --> 00:19:22.362]  Call us at 1-800-453-2202.
[00:19:33.729 --> 00:19:37.931]  Most Americans know the significance of July 4th, 1776.
[00:19:37.931 --> 00:19:46.036]  However, few know the importance of September 17th, 1787, the day the Constitution was written and adopted by our founders.
[00:19:46.036 --> 00:19:52.459]  Unfortunately, over 200 years later, this sacred document is under attack, along with our beloved Republic.
[00:19:52.699 --> 00:19:59.844]  Throughout the span of history, brave men and women have rallied behind banners which have served as symbols of liberty against the forces of tyranny.
[00:19:59.844 --> 00:20:10.732]  Today, we have the Constitution Pride Flag to show our support for the Constitution, the Bill of Rights, freedom, liberty, and justice for we the people of the United States.
[00:20:11.172 --> 00:20:15.454]  Now available at www.1787flags.com.
[00:20:15.454 --> 00:20:21.998]  Get your very own Constitution Pride flag today and receive a free pocket Constitution with your order.
[00:20:21.998 --> 00:20:25.280]  www.1787flags.com.
[00:20:25.280 --> 00:20:28.722]  The official website of the Constitution Pride flag.
[00:20:28.722 --> 00:20:30.083]  That's www.1787flags.com.
[00:20:30.083 --> 00:20:30.823]  You're listening to GCN.
[00:20:38.629 --> 00:20:40.930]  Yeah, that's where old Michael Jackson is right now.
[00:20:40.930 --> 00:20:41.271]  Going down!
[00:21:15.636 --> 00:21:19.239]  Party time!
[00:21:19.239 --> 00:21:28.707]  Shootin' up those opiates!
[00:21:28.707 --> 00:21:32.530]  Ah, that's enough for Mr. Jackson.
[00:21:32.530 --> 00:21:34.772]  Look, I don't usually talk about celebrity deaths.
[00:21:34.772 --> 00:21:36.613]  I'm real sad Ferris Fawcett died.
[00:21:36.613 --> 00:21:37.153]  I liked her.
[00:21:37.153 --> 00:21:38.274]  I liked Ed McMahon.
[00:21:38.274 --> 00:21:38.975]  Classy guy.
[00:21:41.109 --> 00:21:43.130]  Bob Chetman was telling me off air how he knew Ed McMahon.
[00:21:43.130 --> 00:21:44.110]  That was a pretty interesting story.
[00:21:44.110 --> 00:21:48.711]  But the point is, we've got to tell him to tell that story next time he's on air with us.
[00:21:48.711 --> 00:21:51.532]  The point is, I'm not going to spend any more time on this than need be.
[00:21:51.532 --> 00:21:54.453]  I'm going to move into the serious issues in just a moment.
[00:21:54.453 --> 00:22:08.317]  But this is the same Michael Jackson everybody's defending, and they have him on the cover of every newspaper and magazine saying, the king of rock and roll, the king of pop, oh we love you, and people crying, and candlelight vigils.
[00:22:08.317 --> 00:22:09.237]  This is disgusting.
[00:22:10.529 --> 00:22:16.836]  This is a freak who would hang babies off of buildings, threatening to basically drop them.
[00:22:16.836 --> 00:22:28.708]  This is a guy that had a Neverland Ranch to lure kids, and then had high security motion sensors and locks on his bedroom door, and who would give the children the Jesus juice.
[00:22:28.708 --> 00:22:31.811]  All those recordings of him getting them all drunk and making them pass out.
[00:22:32.853 --> 00:22:48.157]  Now ladies and gentlemen, he may have been able to pay off people $10 million here, $5 million there to shut up, but I am tired of Michael Jackson assaulting my psyche and having to look at the bat creature, the vampire, on television.
[00:22:48.157 --> 00:22:52.258]  I am sick of it!
[00:22:52.258 --> 00:23:02.161]  And I'm even more sick of a bunch of emails I got, people angry at me that I was talking about how the guy was a piece of garbage and how I don't want to hear about him.
[00:23:04.275 --> 00:23:05.796]  What is wrong with you people?
[00:23:05.796 --> 00:23:08.919]  Do you forget how disgraced this freakazoid is?
[00:23:08.919 --> 00:23:13.322]  And now they're comparing him to Elvis?
[00:23:13.322 --> 00:23:17.305]  No comparison, though both of them did die after taking injections.
[00:23:17.305 --> 00:23:23.189]  He was taking a synthetic form of opium, of morphine.
[00:23:23.189 --> 00:23:27.112]  And now they're saying newspapers are reporting a bunch of other drugs in his system.
[00:23:27.112 --> 00:23:31.996]  I mean, obviously, you could look at the guy, so stoned out of his mind most of the time he had to be in a wheelchair.
[00:23:33.507 --> 00:23:35.287]  I mean, just a complete zombie.
[00:23:35.287 --> 00:23:40.228]  And look, I actually at a certain level feel sorry for Michael Jackson.
[00:23:40.228 --> 00:23:45.669]  Because you'd see photos of him with his nose kind of flapping in the wind, literally.
[00:23:45.669 --> 00:23:54.711]  And having to have like little stints on it just to hold it on because he didn't like his natural good looks.
[00:23:54.711 --> 00:23:57.291]  He didn't like his black skin.
[00:23:57.291 --> 00:24:01.632]  He didn't like who he was, so he took all these skin bleachers and all these surgeries.
[00:24:04.355 --> 00:24:17.402]  And it's what our culture is sick with is Madison Avenue makes you feel inadequate so they can sell you all their products, sell you their political ideologies, sell you their ideas.
[00:24:17.402 --> 00:24:30.930]  And so Michael Jackson is another example of what fame and fortune does to most people when you're buying in to bling and money just for the sake of it.
[00:24:30.930 --> 00:24:33.091]  I know a lot of high-powered Hollywood people
[00:24:34.500 --> 00:24:44.762]  And they are happy and empowered and well-centered and hate fame and don't like the money and just use their money and fortune and fame to be left alone.
[00:24:44.762 --> 00:24:52.443]  But they talk about those in Hollywood that do like the fame and fortune and how they are always destroyed.
[00:24:52.443 --> 00:24:54.824]  It is not fun.
[00:24:54.824 --> 00:24:59.465]  So women out there that think your butt's too big, your waist is too big, stop feeling inadequate.
[00:24:59.465 --> 00:25:01.205]  Stop listening to the establishment.
[00:25:01.843 --> 00:25:08.273]  Make you feel inadequate so you don't respect yourself, so you'll be an insecure person that can be manipulated by the media and the culture.
[00:25:08.273 --> 00:25:12.019]  A culture of death, by design to make you weak.
[00:25:12.019 --> 00:25:15.244]  Public policy to break down the family, break down society.
