[00:00:01.283 --> 00:00:01.723]  Engage.
[00:02:41.780 --> 00:02:48.926]  This removes it completely, and the other big issue here is, is that this isn't making a big splash.
[00:02:48.946 --> 00:02:52.470]  They're just reporting, yeah, private banks, in the words of the LA Times,
[00:02:54.591 --> 00:03:00.499]  The government in conjunction with the private Federal Reserve would effectively have the clout to simply seize and take over any company it desires.
[00:03:06.417 --> 00:03:09.458]  And it's got UT professors in here admitting it's a total takeover.
[00:03:09.878 --> 00:03:17.600]  The sweeping overhaul of the financial system, the tale by Geithner on behalf of the Obama administration, does not overhaul the system at all, writes Prinus.
[00:03:18.200 --> 00:03:27.842]  Giving the Fed a bigger role, creating a council of regulators to oversee the existing oversight bodies, and allowing the biggest Wall Street players to maintain their status, leaves the system intact.
[00:03:27.862 --> 00:03:28.803]  Well, it does more than that.
[00:03:29.223 --> 00:03:32.083]  The Federal Reserve is not a fully public entity.
[00:03:32.484 --> 00:03:33.864]  This is a Professor Whitewashing.
[00:03:37.196 --> 00:03:41.048]  It has amassed a set of 7.87 trillion worth of facilities.
[00:03:41.590 --> 00:03:42.413]  It's a lot more than that.
[00:03:42.754 --> 00:03:43.496]  And other entities...
[00:03:45.199 --> 00:03:56.002]  Through which it has lavished cheap loans in return for questionable collateral from the banking system, which it's just the consortium or holding company of the private banks.
[00:03:56.042 --> 00:03:57.642]  So to say it's regulating them is a joke.
[00:03:58.282 --> 00:04:08.505]  It has kept the true nature of these transactions a secret, despite numerous FOIA requests, and it has actively promoted the creation of bigger institutions in a chaotic environment.
[00:04:09.145 --> 00:04:35.090]  Rather than putting the brakes on the creation of these giants, concludes, proof of the agenda of implementing overt financial dictatorship is being carefully coordinated, can be seen in the fact that an almost identical scheme is also being set up in the United Kingdom, where, quote, the governor of the Bank of England has called for greater powers to allow it to fulfill its new role of promoting financial stability, according to BBC, over industries and companies.
[00:04:36.311 --> 00:04:37.331]  Just as the US
[00:04:38.669 --> 00:04:41.053]  King, the head of the Bank of England, is calling for a...
[00:04:42.898 --> 00:04:52.944]  Traditional independent regulatory bodies to be all but abolished and replaced by the Bank of England itself, which, just like the Federal Reserve, is a private outfit with no accountability to the government whatsoever.
[00:04:53.404 --> 00:04:54.465]  And it just goes on and on.
[00:04:54.525 --> 00:04:55.846]  The article is devastating.
[00:04:56.326 --> 00:04:58.167]  By Paul Watson, all footnoted.
[00:04:58.487 --> 00:05:01.229]  We need your help getting this out to everybody.
[00:05:01.529 --> 00:05:09.854]  This is the end of our form of government officially, if this passes, and officially under banker offshore corporate dictatorship.
[00:05:10.094 --> 00:05:11.675]  Hello friends, this is Alex Jones.
[00:05:11.795 --> 00:05:16.397]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:05:16.517 --> 00:05:19.278]  We need to be independent, and food and water is the key.
[00:05:19.478 --> 00:05:22.339]  You'll never have to stand in a bread line if you have your own bread.
[00:05:22.539 --> 00:05:27.261]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:05:27.481 --> 00:05:28.402]  If you simply prepare.
[00:05:28.602 --> 00:05:31.544]  No one is going to take care of your family in the final equation but you.
[00:05:31.844 --> 00:05:38.750]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:05:38.830 --> 00:05:41.972]  And they do it at almost half the cost of last year's grocery prices.
[00:05:42.132 --> 00:05:43.493]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:05:47.256 --> 00:05:53.338]  Visit efoodsdirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[00:05:53.518 --> 00:05:57.279]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:05:57.299 --> 00:05:58.620]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:05:58.640 --> 00:05:59.140]  Take action today.
[00:05:59.180 --> 00:06:00.420]  The first step is getting storable food.
[00:06:10.222 --> 00:06:15.524]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:06:16.065 --> 00:06:24.449]  Check out supernaturalsilver.com today, or visit the link on infowars.com to find out more about this incredible new silver compound.
[00:06:24.629 --> 00:06:31.432]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:06:31.752 --> 00:06:33.773]  This new technology has proven itself.
[00:06:33.953 --> 00:06:34.373]  We're good to go.
[00:06:58.487 --> 00:07:01.792]  Click on the link and check out the uses for new silver solution.
[00:07:02.173 --> 00:07:06.860]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:07:07.000 --> 00:07:09.123]  That's SupernaturalSilver.com today!
[00:07:09.810 --> 00:07:15.351]  This is Alex Jones, and I want to tell you again about a company that has supported us in the truth movement for years.
[00:07:15.651 --> 00:07:16.812]  Inner Health Botanicals.
[00:07:16.952 --> 00:07:20.933]  This company produces the highest quality superfood around, called Inner Food.
[00:07:21.233 --> 00:07:22.793]  My wife just loves the stuff.
[00:07:23.093 --> 00:07:29.395]  And now, the health ranger, Mike Adams, has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:07:30.535 --> 00:07:33.076]  Inner Food is loaded with 20 great organic ingredients.
[00:07:33.396 --> 00:07:34.897]  No fillers, no sweeteners.
[00:07:35.137 --> 00:07:39.599]  It would be impossible to blend this up for a better price, and their formula really works.
[00:07:39.879 --> 00:07:42.420]  This is the real thing for the great health you need.
[00:07:42.680 --> 00:07:48.543]  Try the NutriCafe, their great organic coffee infused with polysaccharides that boosts the immune system.
[00:07:48.943 --> 00:07:51.164]  A truly healthy coffee that tastes great.
[00:07:51.344 --> 00:07:53.625]  And take it from me, folks, it really does taste great.
[00:07:53.825 --> 00:07:55.586]  Don't forget to try their other great products.
[00:07:55.906 --> 00:07:58.287]  Go to www.nutricafe.com.
[00:07:58.427 --> 00:07:59.408]  Big Brother.
[00:08:16.090 --> 00:08:17.131]  Mainstream media.
[00:08:17.851 --> 00:08:18.972]  Government cover-ups.
[00:08:19.612 --> 00:08:20.432]  You want answers?
[00:08:21.193 --> 00:08:22.673]  Well, so does he.
[00:08:22.753 --> 00:08:26.395]  He's Alex Jones on the GCN Radio Network.
[00:08:26.936 --> 00:08:31.018]  And now, live from Austin, Texas, Alex Jones.
[00:08:46.241 --> 00:08:54.184]  Alright, I want to finish up with if they win, if they succeed, the next phases.
[00:08:54.204 --> 00:08:58.465]  Because I keep telling you the next few phases and now we've reached those next phases.
[00:08:58.825 --> 00:09:00.766]  So now we need to discuss what's coming after that.
[00:09:01.146 --> 00:09:06.688]  Then we'll continue at 1-800-259-9231 to take your phone calls.
[00:09:06.728 --> 00:09:09.389]  But this article right here, zoom in on this for me guys.
[00:09:10.629 --> 00:09:15.371]  I am asking the listeners to please get this article
[00:09:16.604 --> 00:09:28.292]  And get this out to everybody because this is officially a private financial dictatorship that is taking over our country and taking over the world.
[00:09:28.312 --> 00:09:34.355]  We're going to talk about this with Gary Franchi next hour in studio and also take your calls on that as well.
[00:09:34.395 --> 00:09:40.359]  But I'm asking you, I mean for some reason Ron Paul's admitting it's setting up a dictatorship of the bankers.
[00:09:41.020 --> 00:09:44.202]  Other people are pointing out it gives them absolute dictatorial power but nobody is
[00:09:47.322 --> 00:09:50.345]  I think putting all the pieces together of what this means.
[00:09:51.245 --> 00:09:53.127]  In the interest of time, I'm not going to read the rest of the article.
[00:09:53.147 --> 00:10:01.634]  There's pages and pages left here with the things they're doing.
[00:10:01.674 --> 00:10:05.817]  I mean, these bastards have completely bankrupted our society by design.
[00:10:07.418 --> 00:10:11.782]  Now, the most important facet to all of this is, if we're unable to defeat
[00:10:14.656 --> 00:10:30.832]  the bankers doing their overhaul which gives them total government power through the national security grid and notice they just put up on
[00:10:32.950 --> 00:10:35.031]  The screen, Gerald Salente on Russia Today.
[00:10:35.051 --> 00:10:37.853]  By the way, we're interviewing him again for the new Obama film.
[00:10:38.274 --> 00:10:41.976]  And there he is saying, Wall Street is Washington and Washington is Wall Street.
[00:10:42.216 --> 00:10:45.819]  And there's all these top Democrats coming out and going, yes, banks completely run us.
[00:10:46.239 --> 00:10:47.360]  And they're offshore banks.
[00:10:51.082 --> 00:10:58.887]  In fact, if I have time later, that's only a six minute clip, I might play some of that here live at PrisonPlanet.tv.
[00:10:59.888 --> 00:11:01.449]  This is just so incredible.
[00:11:03.168 --> 00:11:05.889]  That I am actually dumbfounded.
[00:11:07.930 --> 00:11:15.474]  It's so over-the-top, and then we're the weirdos for not wanting offshore banks openly running all corporations, all companies.
[00:11:15.754 --> 00:11:19.877]  If you make contributions to the political parties, they let you keep your dealership open?
[00:11:20.377 --> 00:11:27.761]  Because the government runs it for political favors, and they take over $10 billion off the stimulus money and give it to neighborhood groups?
[00:11:28.261 --> 00:11:31.523]  And the New York Times reports, oh, the money's being spent to train
[00:11:32.623 --> 00:11:50.629]  Boy Scouts to do fugitive apprehension and gun confiscation and take on disgruntled vets for Homeland Security and it shows them with machine guns practicing and then yesterday, oh, the Green Corps is made up of criminals who've set their life straight now to go out and do audits of people's homes.
[00:11:50.689 --> 00:11:57.512]  I mean, and, oh, 13 million Obama supporters are going door-to-door asking people to support the health care takeover.
[00:12:00.273 --> 00:12:00.973]  This is a
[00:12:02.796 --> 00:12:10.382]  Complete and total raping of society.
[00:12:13.384 --> 00:12:14.405]  And where does it go from here?
[00:12:17.207 --> 00:12:20.049]  Well, the establishment is going to follow the same methodology.
[00:12:21.170 --> 00:12:24.853]  And they're going to continue to do this over and over and over again.
[00:12:25.953 --> 00:12:35.182]  They are going to create the crisis, say their solution is to give them more power and control, crisis gets worse, say, do what we say or things are going to get worse.
[00:12:35.523 --> 00:12:37.865]  When they wanted the banker bailout in October, people wouldn't do it.
[00:12:38.105 --> 00:12:43.571]  They said there'll be a huge depression, basically the end of the world, the end of America, if this doesn't happen.
[00:12:44.795 --> 00:12:46.815]  And then things got worse when we did what they wanted.
[00:12:47.296 --> 00:12:48.636]  And the corruption intensified.
[00:12:48.696 --> 00:12:50.876]  They said it's secret where the trillions went.
[00:12:51.176 --> 00:12:52.177]  We're not going to tell you.
[00:12:52.377 --> 00:12:55.437]  Then the banks themselves brag and say we're getting billion dollar bonuses.
[00:12:55.997 --> 00:12:57.478]  We're buying up the infrastructure.
[00:12:57.938 --> 00:13:04.299]  We're using federal regulators to force smaller banks and insurance companies to sell to us and we're buying them up with the bailout money.
[00:13:04.579 --> 00:13:07.060]  It's a vertical integration, a consolidation.
[00:13:08.174 --> 00:13:20.120]  And now they're saying, oh, we gotta have regulation, a change of things, a remake, a upgrade, as if it's a good thing, an overhaul of the banking system.
[00:13:20.140 --> 00:13:20.740]  And what is that?
[00:13:20.860 --> 00:13:29.624]  Total dictatorial power through the national security state for Wall Street that set up the CIA and the National Security Act of 47 and this whole system.
[00:13:29.944 --> 00:13:31.185]  They're now just fully
[00:13:32.130 --> 00:13:45.736]  With the environmental regulations and with the corporate regulations and government regulations taking over the whole society and building up the massive paramilitary forces and NORTHCOM openly announcing and preparing to engage the American people to carry this out.
[00:13:45.836 --> 00:13:50.618]  Now, that said, they will probably pass this.
[00:13:52.059 --> 00:13:53.780]  Things will further be bankrupted.
[00:13:53.900 --> 00:13:55.201]  Society will break down.
[00:13:56.441 --> 00:13:57.722]  Unemployment will be at 25-30%.
[00:13:57.942 --> 00:14:03.465]  It's already really at 20%, according to all the economists we have on the government's cook numbers are over 10%.
[00:14:04.545 --> 00:14:13.430]  And then so the only pillar left will be the corrupt government, funded by fiat currency and credit, owned by the private bankers, paid for with our tax money.
[00:14:13.710 --> 00:14:15.451]  And again, we pay interest to give them the money.
[00:14:15.751 --> 00:14:17.292]  We give them the money, then pay interest.
[00:14:17.472 --> 00:14:18.813]  We're paying to be slaves.
[00:14:20.367 --> 00:14:25.792]  It's a new form of slavery, where you don't just not get paid as a slave, but you pay to be a slave.
[00:14:26.152 --> 00:14:26.612]  You understand?
[00:14:26.652 --> 00:14:27.433]  A new level.
[00:14:29.675 --> 00:14:38.042]  And the bankers are worshipped by the media of their own, and everybody says that they basically created the planet, and that we got to pay taxes to breathe, as the New York Times said.
[00:14:38.082 --> 00:14:40.264]  In fact, Google attacks on breathing.
[00:14:40.284 --> 00:14:41.845]  I want to show people that New York Times headline.
[00:14:42.888 --> 00:14:47.211]  Where they say it's good though, they say yes, this is the carbon tax, will be a tax on respiration.
[00:14:48.091 --> 00:14:50.793]  A tax to breathe or a tax on breathing was the headline.
[00:14:53.235 --> 00:15:01.020]  And they're going to use that to regulate, shut down the farms and ranches, fund huge bureaucrat armies with the unlimited cash they print.
[00:15:02.697 --> 00:15:09.829]  To harass your businesses, your factories, huge carbon taxes on you, not on China, India, Mexico and hundreds of other countries.
[00:15:09.849 --> 00:15:12.233]  So that'll further drive industry and jobs out.
[00:15:12.533 --> 00:15:13.735]  Then all that's left...
[00:15:14.625 --> 00:15:14.745]  Yes.
[00:15:45.345 --> 00:15:45.526]  Thank you.
[00:15:55.464 --> 00:16:21.070]  So every facet of your life is going to be micromanaged and controlled and all the major university grants and the tuition that's paid and the scholarships, already the majority scholarships are law enforcement, data mining, homeland security, infrastructure protection, law enforcement, ITT technical doesn't teach computer programming, they're now ITT law enforcement or security guards and they're going to have law enforcement power.
[00:16:21.750 --> 00:16:40.978]  And so the entire economy is being shifted from a free market economy into a command and control of these private banks that own the private prisons, own the private security firms, own the private security firms that administer the municipal police departments and county sheriff's departments now being federalized and taken over by the states, who then hand it over to federal control.
[00:16:42.598 --> 00:16:49.401]  And so you won't have a chance to be outside the system because the only jobs available will be government or government related
[00:16:52.267 --> 00:17:08.156]  And the very architecture of the job that are out there will be spying on your neighbors, tattletaling, controlling people, going after resistors, micromanaging and squeezing all the farms and ranches through animal ID and premises ID.
[00:17:08.437 --> 00:17:09.437]  Yeah, punch up that article.
[00:17:09.777 --> 00:17:11.839]  Taxing us for breathing real clear politics.
[00:17:12.199 --> 00:17:13.800]  Click on it, go to the original article, please.
[00:17:14.920 --> 00:17:19.183]  We have it archived there, but let's see if it's the blue link where it says real clear politics.
[00:17:23.599 --> 00:17:29.181]  And you can see it there, and then that article, if I remember, reports on the New York Times.
[00:17:29.221 --> 00:17:39.025]  Yes, it says, last week the New York Times published an extraordinary editorial explaining that right now everyone is using an atmosphere like a municipal dump, depositing carbon dioxide free.
[00:17:39.345 --> 00:17:45.607]  The Times editor suggested that the government start charging for the privilege by imposing a carbon tax or a tax on breathing.
[00:17:45.927 --> 00:17:47.448]  Yeah, click on the New York Times link.
[00:17:47.468 --> 00:17:48.028]  There you have it.
[00:17:49.750 --> 00:17:53.898]  So, there is the control grid that we're discussing and breaking down here.
[00:17:55.801 --> 00:17:57.264]  And so, you won't have a choice.
[00:17:58.426 --> 00:18:00.910]  You'll have to join the police academy or the federal
[00:18:02.498 --> 00:18:20.609]  Academy, you will have to go into their grids, you will have to follow what they're saying, because the whole society's designed, there'll only be credit, there'll only be loans given to the bankers out of fiat nothingness, backed up with your tax money, to select industries they want.
[00:18:21.049 --> 00:18:24.591]  And they say they're doing this because of robotics and automation.
[00:18:24.931 --> 00:18:27.793]  Everybody's going to have cars and Xboxes and entertainment.
[00:18:28.629 --> 00:18:30.949]  But you're going to be in compact cities and highly controlled.
[00:18:31.289 --> 00:18:45.952]  They want to phase all that out and give you jobs in surveilling and controlling people so they can get their pure dictatorship, their scientific dictatorship, in control to then carry out the forced eugenics and forced exterminations.
[00:18:46.312 --> 00:18:54.914]  And because the ratio will be 10% of the public at least being cops alone, heavily armed, licensed to kill at the drop of a hat for talking back,
[00:18:55.895 --> 00:19:00.246]  And then another 40-50% they're saying will be bureaucracy and surveillance.
[00:19:02.138 --> 00:19:24.044]  They're talking well over half being government and the rest will be corporation servicing government and only if you're an insider, only if you've got special connections will you be able to own a farm, a ranch, a business and then in successive waves they're going to take those over as well and then only give you a small percentage of your original business profits and then phase it out completely.
[00:19:24.344 --> 00:19:28.865]  Corruption will run rampant like it did in the Soviet Union, Maoist China and Nazi Germany.
[00:19:29.825 --> 00:19:30.485]  I don't think so.
[00:19:48.613 --> 00:19:49.834]  Your children don't report you.
[00:19:49.854 --> 00:19:51.294]  It's going to be fun for the kids.
[00:19:51.314 --> 00:19:54.996]  They're going to get bonuses and drugs and things when they say you yell at them.
[00:19:55.236 --> 00:19:57.637]  Then you'll have total parental rights terminated.
[00:19:57.937 --> 00:19:59.857]  Just hellish control over everything.
[00:20:00.338 --> 00:20:02.458]  And you will all be injected with the cancer viruses.
[00:20:02.819 --> 00:20:04.679]  Increase sodium fluoride in the water supply.
[00:20:05.039 --> 00:20:06.220]  Most people will be sterile.
[00:20:06.280 --> 00:20:07.440]  Already 85% are.
[00:20:07.700 --> 00:20:08.561]  This is the new system.
[00:20:08.581 --> 00:20:08.961]  Stay with us.
[00:20:11.644 --> 00:20:13.605]  Are you wondering about your retirement portfolio?
[00:20:13.985 --> 00:20:19.947]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:20:20.227 --> 00:20:24.128]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:20:24.369 --> 00:20:31.191]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:20:31.511 --> 00:20:37.059]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:20:37.419 --> 00:20:44.809]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at the internationalforecaster.com or call 877-479-8178.
[00:20:48.320 --> 00:20:52.043]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:21:16.654 --> 00:21:21.996]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:21:22.516 --> 00:21:28.719]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:21:29.039 --> 00:21:30.840]  Well, Obama's already fudging.
[00:21:31.000 --> 00:21:33.401]  He's fudged since day one in this election.
[00:21:33.461 --> 00:21:44.345]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:21:46.650 --> 00:21:47.910]  It's not about left or right.
[00:21:48.310 --> 00:21:49.691]  It's about a one world government.
[00:21:50.171 --> 00:21:56.512]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:21:57.072 --> 00:22:04.854]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:22:05.334 --> 00:22:06.494]  The Obama Deception.
[00:22:06.894 --> 00:22:08.175]  The people strike back.
[00:22:10.155 --> 00:22:15.116]  You've probably heard about the incredible, powerful, and natural antioxidants found in red wine.
[00:22:15.478 --> 00:22:19.561]  Unfortunately, not everyone is able to drink a glass of wine each day.
[00:22:19.961 --> 00:22:24.083]  Now, you don't have to drink even a single drop, thanks to NuRev.
[00:22:24.384 --> 00:22:30.347]  NuRev is America's number one anti-aging supplement, thanks to its active ingredient, resveratrol.
[00:22:30.588 --> 00:22:40.614]  Resveratrol is the main nutrient found in red wine and has been proven to help slow down the aging process, help you lose weight, override an unhealthy lifestyle, boost your energy
[00:22:42.984 --> 00:22:43.364]  I think so.
[00:23:09.577 --> 00:23:11.779]  This is Alex Jones for American Tax Settlement.
[00:23:11.939 --> 00:23:21.065]  We have received news that the IRS is currently accepting reduced settlements on back taxes, and millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:23:21.445 --> 00:23:29.290]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[00:23:29.451 --> 00:23:35.395]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800.
[00:23:36.255 --> 00:23:36.835]  We're good to go.
[00:23:57.825 --> 00:24:02.187]  If you owe 10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[00:24:02.327 --> 00:24:02.687]  That's 1-800-506-5904.
[00:24:02.887 --> 00:24:03.367]  Call today.
[00:24:03.427 --> 00:24:05.628]  There's Gary Franchi's head in here at PrisonPlanet.tv.
[00:24:29.488 --> 00:24:35.053]  You know, there's so many FEMA camps, they're going around the country looking for FEMA camps, and I said, well, you know there's one right up by Taylor.
[00:24:36.214 --> 00:24:42.499]  On record, a famous one, where they hold illegal aliens into portum, but it has dual use in its charter for U.S.
[00:24:42.539 --> 00:24:43.941]  citizens during civil emergency.
[00:24:46.203 --> 00:24:48.605]  It's listed in mainstream newspapers for U.S.
[00:24:48.645 --> 00:24:53.629]  citizens as well, and you can go videotape kids at recess behind barbed wire, swinging on the swings.
[00:24:53.649 --> 00:24:55.531]  So I think they're going to go up there.
[00:24:57.128 --> 00:24:59.309]  And later they're going to go visit one of the shopping malls.
[00:24:59.349 --> 00:25:01.810]  They've publicly turned into a FEMA local center.
[00:25:02.110 --> 00:25:07.072]  And then they have big regional camps that have all these little federal spoke camps for aid.
[00:25:07.112 --> 00:25:08.312]  And you're not against FEMA.
[00:25:08.332 --> 00:25:09.273]  They're giving out food.
[00:25:09.513 --> 00:25:14.535]  You're not against NORTHCOM outrunning checkpoints for drunk drivers and helping at car wrecks.
[00:25:14.855 --> 00:25:20.200]  See, it all has PR purposes, winning the hearts and minds of the occupied slave mass.
[00:25:20.741 --> 00:25:28.969]  So they come in and shut off the resources, and even the troops handing out bags of food think they're helping, not knowing their banker masters are going to shut the food off.
[00:25:30.390 --> 00:25:37.577]  By the way, everybody's freaking out over this Blackjack comic book that was in the London Telegraph, where the government stages nuke attacks and brings in martial law.
[00:25:38.278 --> 00:25:45.325]  Now the London Telegraph's been putting out blurbs about real FEMA drills that they're doing with the Pentagon and foreign governments.
[00:25:45.505 --> 00:25:49.208]  It's on Homeland Security's website and NORTHCOM to take over the U.S.
[00:25:49.969 --> 00:26:02.033]  And so they have a comic book simultaneously that has these codes that everybody's breaking, and it even tells you how to break the codes, it's like comic book stuff, to promote the launch of a new Jericho comic book.
[00:26:04.434 --> 00:26:11.697]  And then it simultaneously lists real FEMA martial law takeover drills going on now this week.
[00:26:14.423 --> 00:26:18.865]  And so now when we talk about the real FEMA drills, they'll go, oh, that was that comic book.
[00:26:18.925 --> 00:26:20.585]  This is all a PSYOP.
[00:26:21.106 --> 00:26:22.326]  This is why they do this.
[00:26:22.706 --> 00:26:24.487]  Psychiatrists run these operations.
[00:26:25.187 --> 00:26:28.628]  And I've read different documents on why they do it, but they believe it's revelation of the method.
[00:26:28.969 --> 00:26:31.750]  It confuses reality with unreality.
[00:26:32.610 --> 00:26:37.552]  It's like, oh, you said the government flew a hijacked jet in the World Trade Center and used drills to make NORAD stand down.
[00:26:37.812 --> 00:26:40.533]  That was on X-Files six months before 9-11.
[00:26:40.753 --> 00:26:41.573]  You got it from that.
[00:26:41.613 --> 00:26:42.914]  We're like, yeah, exactly.
[00:26:44.548 --> 00:26:47.369]  But there really were drills on 9-11 to make NORAD stand down.
[00:26:47.909 --> 00:26:49.270]  It was just like the TV program.
[00:26:49.730 --> 00:26:51.991]  And they go, no, it was a TV show.
[00:26:52.531 --> 00:26:54.391]  So massive programming going on there.
[00:26:54.411 --> 00:27:02.374]  We're going to have a report for you at PrisonPlanet.com coming up later on that subject as well.
[00:27:02.774 --> 00:27:04.735]  So definitely stay with us for that.
[00:27:05.515 --> 00:27:10.617]  But again, in the real world, not a comic book, not a joke, is this.
[00:27:11.637 --> 00:27:13.018]  Zoom in on that for me again, please.
[00:27:13.851 --> 00:27:17.353]  This is so important, ladies and gentlemen.
[00:27:18.194 --> 00:27:22.136]  This is absolutely vital for everybody to look at, everybody to understand.
[00:27:22.596 --> 00:27:27.139]  Obama's regulatory reform plan officially establishes banking dictatorship in the United States.
[00:27:27.159 --> 00:27:31.382]  And I'm going to go over this with Gary Franchi coming up in the next hour.
[00:27:31.962 --> 00:27:35.964]  And for those of you holding Robert, Dave, Jared, Dave, Dominic, and others, we're going to break it down.
[00:27:36.465 --> 00:27:41.047]  But when I was ranting and raving last segment about how your kids are going to live in dormitories
[00:27:42.170 --> 00:28:05.543]  That's in the government documents, that's in the textbooks we've posted and linked to at Infowars.com where they say the family is animalistic and ancient and belongs to the age of barbarism and has got to be outlawed and they admit now the CIA set up Miss Magazine to break up the family so both the husband and wife have got to work for the bankers and pay taxes so the state raises the kids and now the economy gets worse and worse and right on time the government says,
[00:28:07.025 --> 00:28:13.327]  We'll keep your babies from birth in Head Start government programs and inoculate them and drug them and take care of them.
[00:28:13.367 --> 00:28:20.729]  And we'll keep your kids after school until 7, 8, 9, 10 at night so you can have a chance after work to go have fun at the bar.
[00:28:21.089 --> 00:28:25.330]  The media even says, go have fun at the bar, go enjoy yourself, watch your TV shows.
[00:28:25.610 --> 00:28:26.590]  We'll keep your kids.
[00:28:26.890 --> 00:28:28.591]  And the parents go, well don't mind if I do!
