[00:00:00.908 --> 00:00:11.013]  Prepare yourself for a talk radio experience like no other.
[00:07:47.743 --> 00:07:51.464]  It's not just in the service banking sector.
[00:07:51.464 --> 00:07:54.425]  The real problem is in the derivatives at the institutional level.
[00:07:54.425 --> 00:07:56.225]  They're saying, you know, we have to
[00:08:00.498 --> 00:08:03.259]  Have a new Bank of the United States.
[00:08:03.259 --> 00:08:09.040]  Now, they claim the private Federal Reserve is governmental and that it's the Bank of the United States.
[00:08:09.040 --> 00:08:12.021]  But all this is, is the Federal Reserve is creating a new entity.
[00:08:12.021 --> 00:08:27.804]  The New York Times reported a month and a half ago that they're issuing to institutions Federal Reserve bonds, quietly, they won't give details, it's all basically secret, to governments and large institutional investors and groups, conglomerates,
[00:08:29.753 --> 00:08:41.377]  And that now they're going to transfer the remaining power out of Congress and out of the Treasury to this new body that will be part of an international body and that you will then pay your taxes.
[00:08:41.377 --> 00:08:47.440]  You already write your paycheck, your tax check to the Federal Reserve Bank.
[00:08:47.440 --> 00:08:52.842]  Notice that those of you that don't just do withholding and who actually have employees or self-employed and pay taxes.
[00:08:52.842 --> 00:08:57.523]  You already write that to the private Federal Reserve that's predominantly owned by foreign shareholders.
[00:09:00.224 --> 00:09:00.572]  Just like...
[00:09:34.688 --> 00:09:42.154]  Congress signed over in the mid-90s their authority over trade to the private World Trade Organization to create the taxing mechanism.
[00:09:42.154 --> 00:09:45.236]  Not one red cent of your income tax goes to run the country.
[00:09:45.236 --> 00:09:48.279]  Well, as they're creating the new open world bank,
[00:09:49.028 --> 00:09:52.150]  They have to create the tax system so that you can be taxed by them.
[00:09:52.150 --> 00:09:57.134]  We'll come back, take your... Do you have aches and pains or suffer from indigestion or inflammation?
[00:09:57.134 --> 00:10:00.116]  Are you tired of feeling restless from insomnia?
[00:10:00.116 --> 00:10:02.958]  These symptoms are produced by harmful toxins.
[00:10:02.958 --> 00:10:07.921]  But with the correct information, understanding and care, you can cleanse them from your body.
[00:10:07.921 --> 00:10:13.005]  Allomaster.com would like to help you begin the road to recovery with aloe vera.
[00:10:13.005 --> 00:10:17.488]  For over 4,000 years, aloe vera has been known for its therapeutic and healing properties.
[00:10:17.788 --> 00:10:18.128]  I think so.
[00:10:38.314 --> 00:10:42.119]  Turn over a new leaf and visit us today at alomaster.com.
[00:10:42.119 --> 00:10:44.401]  That's A-L-O-E, master.com.
[00:10:44.401 --> 00:10:45.522]  Or call us at 1-800-934-A-L-O-E.
[00:10:45.522 --> 00:10:45.843]  That's 1-800-934-2563 today.
[00:10:53.151 --> 00:10:53.892]  We're good to go.
[00:11:23.131 --> 00:11:23.611]  That's right.
[00:11:53.170 --> 00:11:54.731]  Jim Newcomer from Midas Resources.
[00:11:54.731 --> 00:11:55.332]  January 23rd, 2009.
[00:11:55.332 --> 00:11:56.053]  Gold opened at $875.
[00:11:56.053 --> 00:11:58.835]  A one ounce gold coin can be purchased for $900.66, $450.33 for the half ounce, and $225.17 for the quarter ounce.
[00:11:58.835 --> 00:11:59.375]  That's $900.66, $450.33, and $225.17.
[00:12:10.876 --> 00:12:14.759]  Bailout equals market distortions, increased money supply while productivity is going down.
[00:12:14.759 --> 00:12:18.883]  Wall Street is receiving injections of liquidity while smaller companies are forced to concede.
[00:12:18.883 --> 00:12:23.447]  Companies too big to fail are now using the tax dollars to increase market share, paying fat dividends.
[00:12:23.447 --> 00:12:28.892]  Are you wondering why supplies of gold and silver coins are decreasing rapidly, leaving the public scrambling to accumulate what's left?
[00:12:28.892 --> 00:12:32.074]  Fiat currency's value is based on trust, fiscal responsibility.
[00:12:32.074 --> 00:12:35.737]  Is Congress and the White House acting responsibly, earning your trust and confidence?
[00:12:35.737 --> 00:12:37.519]  Or is it time to ensure your hard-earned wealth?
[00:12:37.679 --> 00:12:42.907]  Midas Resources offers economic insurance, gold and silver coins, 800-686-2237.
[00:12:42.907 --> 00:12:45.491]  Do you believe that more bailout will solve our economic problems?
[00:12:45.491 --> 00:12:47.294]  Or would you like to call Midas Resources at 1-800-686-2237?
[00:12:47.294 --> 00:12:48.155]  That's Midas Resources at 1-800-686-2237.
[00:12:53.443 --> 00:12:55.445]  Heart disease is on the rise.
[00:12:55.445 --> 00:13:02.391]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:13:02.391 --> 00:13:10.799]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:13:10.799 --> 00:13:16.524]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:13:16.684 --> 00:13:18.526]  My blood pressure has normalized.
[00:13:18.526 --> 00:13:20.828]  My diabetes has totally improved.
[00:13:20.828 --> 00:13:25.252]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:13:25.252 --> 00:13:27.474]  I recommend Heart and Body Extract to everyone.
[00:13:27.474 --> 00:13:35.222]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:13:35.402 --> 00:13:39.605]  Order your two-month supply today by calling 866-295-5305.
[00:13:39.605 --> 00:13:43.487]  That's 866-295-5305.
[00:13:43.487 --> 00:13:46.529]  Or order online at HBextract.com.
[00:13:46.529 --> 00:13:48.790]  Heart and Body Extract, 866-295-5305.
[00:13:48.790 --> 00:13:54.714]  Or HBextract.com.
[00:13:54.714 --> 00:13:58.216]  You are listening to GCN.
[00:13:58.216 --> 00:14:00.438]  Visit GCNlive.com today.
[00:14:08.718 --> 00:14:09.838]  We are back live.
[00:14:09.838 --> 00:14:12.659]  It is the 25th day of January 2009.
[00:14:12.659 --> 00:14:13.359]  Hard to believe it's 2009.
[00:14:13.359 --> 00:14:13.779]  I keep saying 2008.
[00:14:13.779 --> 00:14:15.100]  We're almost a month into it.
[00:14:15.100 --> 00:14:19.981]  Okay, we're going to your phone calls here in a moment at 877-590-5525.
[00:14:19.981 --> 00:14:26.962]  Joseph, Dan, Steele, Steve, many others that are patiently holding.
[00:14:40.322 --> 00:14:41.803]  You know what?
[00:14:41.803 --> 00:14:47.968]  Last night, just a side note, KRS-One, about two weeks ago, called my office.
[00:14:47.968 --> 00:14:48.929]  They were coming through Austin.
[00:14:48.929 --> 00:14:50.450]  They wanted to come and be on my radio show.
[00:14:50.450 --> 00:14:52.711]  They were huge fans.
[00:14:52.711 --> 00:14:56.014]  And then they got here to town late, so they just wanted me to go to the show last night.
[00:14:56.014 --> 00:15:02.119]  Invited me there, so we went and interviewed KRS-One after he played at Mohawks.
[00:15:02.119 --> 00:15:03.620]  And literally, it blew me away.
[00:15:03.620 --> 00:15:05.101]  Because I don't go down to 6th Street a lot.
[00:15:05.942 --> 00:15:13.167]  And just as a not bragging about, oh all these people know me, it's a gauge of how big the show's getting.
[00:15:13.167 --> 00:15:20.833]  And I could go down to 6th Street ten years ago and have maybe one out of six, seven people that walk past me say, hey Alex Jones.
[00:15:20.833 --> 00:15:29.740]  But we had to park probably five, six blocks north of there, because 6th Street was really full last night, to go down to Mohawks.
[00:15:30.538 --> 00:15:37.101]  Myself and my camera crew and the whole way to Mohawks was probably every other person was hey Alex Jones Hey, give me an autograph.
[00:15:37.101 --> 00:15:49.727]  Hey, let me take a picture so I could barely get there and then once we got there Here's this huge hip-hop crowd a mixed crowd of black folks white folks Hispanics Asians just really well represented and
[00:15:50.604 --> 00:16:05.625]  And uh of everybody and it was more than half of them were Alex Jones and all these other hip-hop people and other well-known hip-hop folks and I was backstage and I was in the VIP area and it was like literally and then KRS-One gets up on stage
[00:16:06.643 --> 00:16:12.108]  After the other groups had played and was like, I'm down with Alex Jones, I'm not down with Barack Obama.
[00:16:12.108 --> 00:16:14.470]  Barack Obama's a New World Order puppet, you watch.
[00:16:14.470 --> 00:16:18.633]  And then he started going into all these raps and putting me in them and everything.
[00:16:18.633 --> 00:16:31.524]  It was just... Yeah, he's not down with the... And then I interviewed him over the phone last Friday because he couldn't make it to town until Saturday.
[00:16:32.685 --> 00:16:34.666]  On the radio, and he said a lot of that.
[00:16:34.666 --> 00:16:36.447]  He said, hip-hop is behind you.
[00:16:36.447 --> 00:16:50.093]  But then after the show, I got to interview him for about 30 minutes, and he was telling me just how many people, I mean, the icons of hip-hop are huge fans of this radio show and the films and what we do.
[00:16:50.093 --> 00:17:01.498]  And expanding from there, you know, I talked to my buddy who does a major TV show in Hollywood, not Charlie Sheen, somebody else, and he told me, you know, the whole cast of the show basically
[00:17:02.093 --> 00:17:02.433]  You think?
[00:17:24.618 --> 00:17:30.381]  But he was telling me like all the big guys in it were like huge fans and listen to the show.
[00:17:30.381 --> 00:17:32.742]  I mean, it is getting exponential.
[00:17:32.742 --> 00:17:34.844]  So, and I'm just one guy fighting the New World Order.
[00:17:34.844 --> 00:17:36.724]  There's a lot of other prominent people.
[00:17:36.724 --> 00:17:38.345]  So think about that.
[00:17:38.345 --> 00:17:40.747]  Just everywhere I go, every genre, every group.
[00:17:40.747 --> 00:17:43.748]  I mean, I could be on the streets of Canada, the streets of England.
[00:17:43.748 --> 00:17:47.150]  I could be on the streets of Honduras.
[00:17:47.150 --> 00:17:49.351]  I was down in Honduras last week.
[00:17:50.278 --> 00:17:53.121]  Uh, and, uh, people are coming up to me.
[00:17:53.121 --> 00:17:59.828]  So it is just incredible to know that we are reaching this many people, and it's very exciting.
[00:17:59.828 --> 00:18:08.296]  That shows that the establishment media propaganda is not working when, quote, someone as radical as myself is, um, as I would say, going supernova.
[00:18:08.979 --> 00:18:13.985]  And that's what all of our numbers show on radio, on internet, on everything.
[00:18:13.985 --> 00:18:15.748]  It's just exponential.
[00:18:15.748 --> 00:18:22.756]  The number of people checking out what we're doing and resonating with it is just massive.
[00:18:22.756 --> 00:18:24.699]  And it's really kind of scary.
[00:18:24.699 --> 00:18:28.163]  And then, at 2 in the morning, I try to leave Mohawks, and it was a gauntlet.
[00:18:29.068 --> 00:18:34.572]  Of just everyone stopping because the bars were letting out about 2.15 and people just pouring out.
[00:18:34.572 --> 00:18:37.894]  Didn't matter if it was a punk bar or a rock bar or a country bar.
[00:18:37.894 --> 00:18:41.457]  And it was a gauntlet, those five, six, seven blocks.
[00:18:41.457 --> 00:18:48.102]  Trying to get back, you know, in the freezing cold night with just people pouring out, shaking our hands and taking pictures.
[00:18:48.102 --> 00:18:49.623]  I mean, it's amazing.
[00:18:49.623 --> 00:18:52.925]  You know, we should have just had our cameras and shown all that.
[00:18:52.925 --> 00:18:54.666]  I mean, we did catch it at the
[00:18:56.172 --> 00:19:10.583]  KRS-One event, but again, I just spent five minutes on this only because it's an indicator of how many people we're touching, and it also is daunting in a way, because everybody's paying attention to every word I say.
[00:19:10.583 --> 00:19:16.188]  I mean, everything I do is being gone over with a fine-toothed comb, so I better do a good job.
[00:19:16.188 --> 00:19:25.415]  We better do a good job, because as things get tougher, as the New World Order closes in around us, as everything I've talked about comes true, and that's why this is happening.
[00:19:25.956 --> 00:19:33.181]  For 13 years I've been hammering and hammering and hammering and laying out what would happen when and how it would happen and it's all happening.
[00:19:33.181 --> 00:19:46.871]  Now people heard me three years ago say they were going to pop the subprime mortgage by design and bring in a huge banking crisis and then openly set up a world bank and roll the private federal reserve into it and set up carbon taxes and it's all being announced.
[00:19:46.871 --> 00:19:54.457]  Everybody heard me say there'd be youth brigades and 18 to 24 serving domestically in a domestic army, not overseas, it's now being announced.
[00:19:55.051 --> 00:19:59.515]  Everybody heard us lay out all this stuff about how there'd be troops on the streets, how they'd build FEMA camps.
[00:19:59.515 --> 00:20:02.397]  Now they're announcing it on the news, saying it's a good thing.
[00:20:02.397 --> 00:20:05.139]  And really, we don't deserve much credit.
[00:20:05.139 --> 00:20:06.420]  At least I don't.
[00:20:06.420 --> 00:20:13.926]  I'm just somebody who found out about this agenda, could read government documents, could interview experts, and who found out about this and decided I was going to fight it.
[00:20:13.926 --> 00:20:21.913]  And because we've gotten the word out and listeners have spread the word and other people in alternative media have spread the word, the mainstream media is losing all credibility.
[00:20:23.402 --> 00:20:32.306]  Now, for a brief time, the system's going to be able to fool some of the public, a large sector of the public, a large cross-section, that Obama's different, he's going to change things, his rhetoric's different.
[00:20:32.306 --> 00:20:39.590]  But as soon as they figure out it was a betrayal, the rebellion against tyranny is just going to explode that much faster.
[00:20:39.590 --> 00:20:41.811]  And so that's the basic news I wanted to bring up as well.
[00:20:41.811 --> 00:20:42.551]  So we're going to go to break.
[00:20:43.561 --> 00:20:48.045]  Here in a moment, we're going to come right back to after the news to all of your calls.
[00:20:48.045 --> 00:20:50.667]  Also, some of the other news coming up later.
[00:20:50.667 --> 00:20:53.810]  Ebola may have passed from a pig to a human.
[00:20:53.810 --> 00:20:57.173]  International Herald-Tribune, why is this so important?
[00:20:57.173 --> 00:21:05.900]  Because it's a new strain of Ebola, and well, Ebola kills close to 90% of the people that get it, so that's a serious issue.
[00:21:05.900 --> 00:21:09.803]  Unrented, unreturned library book leads to woman's arrest.
[00:21:10.928 --> 00:21:14.630]  Oh yeah, if you forget to bring a library book back in Williamson County, they take you to jail.
[00:21:14.630 --> 00:21:17.832]  This is Independence, Iowa, though.
[00:21:17.832 --> 00:21:20.253]  A $13.95 value book.
[00:21:20.253 --> 00:21:23.695]  FDA says no to GMO labels.
[00:21:23.695 --> 00:21:29.138]  GMO, of course, has been proven with rats and other things that have been tested on genetically modified organism food.
[00:21:29.827 --> 00:21:33.088]  To really cause reproductive problems and cancers and things.
[00:21:33.088 --> 00:21:35.069]  And all the major studies.
[00:21:35.069 --> 00:21:38.570]  But they could argue and say, oh no, we say it's good for you.
[00:21:38.570 --> 00:21:42.611]  But why not let us know if a product's got GMO in it?
[00:21:42.611 --> 00:21:47.192]  Well, the FDA says, no, you're not allowed to know that information.
[00:21:47.192 --> 00:21:55.135]  And that dovetails in with the fact that a few years ago they tried to stop organic milk companies from just saying on the label, there was no
[00:21:56.044 --> 00:21:57.645]  Bovine growth hormone in there.
[00:21:57.645 --> 00:22:03.847]  That's the reason your five-year-old girls are going into puberty, and your boys are eight feet tall, and you're only six foot tall.
[00:22:03.847 --> 00:22:05.887]  I mean, this stuff is screwing people up.
[00:22:05.887 --> 00:22:11.489]  Oh, and another big story that is out of England, but similar things are happening here in the U.S.
[00:22:11.489 --> 00:22:20.972]  This goes in the same category as most public schools have banned first dodgeball, then running at recess, and then jungle gyms and swings.
[00:22:20.972 --> 00:22:22.613]  This is all part of enslaving the public.
[00:22:24.591 --> 00:22:29.154]  Coast Guard can't start a rescue until they fill out a health and safety assessment.
[00:22:29.154 --> 00:22:35.458]  So they have to wait like 30 minutes when somebody's fallen off a boat and freezing to death or there's been a wreck out on the high seas.
[00:22:35.458 --> 00:22:41.281]  They have to wait and fill out a weather report, a risk assessment, where it is, if it's safe for them to go.
[00:22:41.281 --> 00:22:46.424]  So we're going to go over that as well today.
[00:22:46.424 --> 00:22:50.847]  But first, some of your phone calls and I'll break down this bank nationalization.
[00:22:50.847 --> 00:22:51.707]  It's not really that.
[00:22:51.707 --> 00:22:52.108]  Stay with us.
[00:22:53.087 --> 00:22:56.590]  Before you throw away your used batteries, you need to listen to this.
[00:22:56.590 --> 00:22:58.511]  Now, going green can save money.
[00:22:58.511 --> 00:23:04.075]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:23:04.075 --> 00:23:11.780]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:23:12.080 --> 00:23:24.886]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[00:23:24.886 --> 00:23:30.088]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[00:23:30.088 --> 00:23:35.611]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[00:23:35.611 --> 00:23:36.731]  Save your money.
[00:23:36.731 --> 00:23:37.652]  Save the environment.
[00:23:38.032 --> 00:23:41.057]  Visit us online at r-charge.com.
[00:23:41.057 --> 00:23:43.280]  That's r-charge.com.
[00:23:43.280 --> 00:23:44.061]  Or call us at 989-637-4179.
[00:23:44.061 --> 00:23:44.522]  That's 989-637-4179.
[00:23:44.522 --> 00:23:45.843]  Be a part of the revolution today!
[00:23:54.457 --> 00:23:57.923]  Stop wasting your time struggling with everything you're trying to learn.
[00:23:57.923 --> 00:24:00.086]  Learning should be a pleasure, not torture.
[00:24:00.086 --> 00:24:06.737]  The School of Phenomenal Memory gives you the training and tools you need to memorize any type of information quickly and efficiently.
[00:24:06.737 --> 00:24:09.081]  Just as you need to exercise to get your body into shape,
[00:24:13.954 --> 00:24:14.514]  We're good to go!
[00:24:42.042 --> 00:24:45.344]  Lead a superior life by drinking Superior Life brand ionized water.
[00:24:45.344 --> 00:24:48.326]  A couple of soft drinks each day, a few slices of pizza.
[00:25:00.834 --> 00:25:02.356]  Last night's cheeseburgers.
[00:25:02.356 --> 00:25:08.621]  These acidic foods will make you tired, overweight, and cause numerous negative health problems in the short and long term.
[00:25:08.621 --> 00:25:15.147]  An acidic environment is created in the body, causing fuzzy memory and that all-day low energy feeling.
[00:25:15.147 --> 00:25:19.311]  These are the early signs of your body telling you that it's not getting the proper care it needs.
[00:25:19.311 --> 00:25:21.153]  We are truly a junk food nation.
[00:25:21.593 --> 00:25:30.440]  Drinking ionized water will help you drop the weight, feel better, actually become hydrated, and can improve the quality of your life.
[00:25:30.440 --> 00:25:32.362]  It's all about the pH.
[00:25:32.362 --> 00:25:34.844]  Disease cannot thrive in an alkaline body.
[00:25:34.844 --> 00:25:37.646]  What can a Life Brand Water Ionizer do for you?
[00:25:37.646 --> 00:25:37.967]  Call 800-276-9601.
[00:25:37.967 --> 00:25:38.147]  That's 800-276-9601.
[00:25:43.751 --> 00:25:50.254]  The headlines are clear.
[00:25:50.254 --> 00:25:57.637]  The worldwide economic collapse is here.
[00:25:57.637 --> 00:26:00.858]  The military is being positioned for martial law.
[00:26:00.858 --> 00:26:02.619]  The mark of the beast is at hand.
[00:26:02.619 --> 00:26:05.840]  Governments are calling for a new world cashless economic system.
[00:26:05.840 --> 00:26:09.502]  Having a long-term food solution is your only hope to stay free.
[00:26:10.322 --> 00:26:10.542]  I agree.
[00:26:40.302 --> 00:26:42.423]  Their fancy packaging is not free.
[00:26:42.423 --> 00:26:44.384]  Order today before it's too late.
[00:26:44.384 --> 00:26:46.265]  SurvivalistSeeds.com.
[00:26:46.265 --> 00:26:48.606]  That's SurvivalistSeeds.com.
[00:26:48.606 --> 00:26:57.031]  A long-term food solution.
[00:26:57.031 --> 00:27:01.253]  You're listening to GCN, the Genesis Communications Radio Network.
[00:27:07.871 --> 00:27:12.552]  Openly, private offshore banks have taken control of the government in both parties.
[00:27:12.552 --> 00:27:13.712]  Obama is their man.
[00:27:13.712 --> 00:27:20.653]  Four times the Wall Street campaign donations than any other candidate in history.
[00:27:20.653 --> 00:27:25.274]  Five times the Goldman Sachs money.
[00:27:25.274 --> 00:27:31.035]  And their operations are all secret, but they're saying that... Well, they'll tell Congress it's secret.
[00:27:31.035 --> 00:27:35.776]  I have those articles this week when Geithner, now approved to be Treasury Secretary by the Senate committee,
[00:27:36.796 --> 00:27:37.236]  Hello, Alex.
[00:27:37.236 --> 00:27:37.396]  Yes, sir.
[00:28:03.087 --> 00:28:05.189]  I would like to give you a most sincere thank you.
[00:28:05.189 --> 00:28:10.514]  If it weren't for you, I wouldn't be awake right now to the horrible things that are occurring.
[00:28:10.514 --> 00:28:13.157]  I really, really do thank you.
[00:28:13.157 --> 00:28:20.003]  I would definitely like to get in on the subject about how Obama wants animals to be able to sue people.
[00:28:20.003 --> 00:28:22.786]  Now, we're pretty close to that as it is.
[00:28:22.786 --> 00:28:27.070]  With all these animal rights movements and laws, I dealt with something in Florida where
[00:28:28.161 --> 00:28:46.605]  Um, when the economy went downhill, I lost work, I lost my place, and living out of my car, and we had two cats and my girlfriend, and looking inside for a job off the internet, and cops went out there and, uh, ticketed us for $285, $285 apiece on tickets, and then we had to have our cat's papers.
[00:28:46.605 --> 00:28:49.785]  So no longer can we, we have to leave the house with our papers.
[00:28:49.785 --> 00:28:50.646]  We're taking our pets.
[00:28:50.646 --> 00:28:52.106]  We have to have our pet's papers, too.
[00:28:53.210 --> 00:28:55.792]  For their shots, like they're going to have rabies or something.
[00:28:55.792 --> 00:28:56.993]  These are cows, Cassidy.
[00:28:56.993 --> 00:29:05.099]  Well, there's also, under the Animal ID and Primus Society, there's a lot of hobby farmers that have 10, 15, 20 chickens, a couple pigs, a few cows.
