[00:00:00.169 --> 00:00:00.649]  I think so.
[00:02:54.943 --> 00:02:57.124]  I get attacked and they say, no, it doesn't exist.
[00:02:57.164 --> 00:02:58.005]  I mean, literally.
[00:02:59.298 --> 00:03:03.221]  Now, this is AP, and we're live at PrisonPlanet.tv now, right?
[00:03:04.202 --> 00:03:04.662]  We are live.
[00:03:04.722 --> 00:03:05.703]  Okay, we went live at 8 after.
[00:03:06.544 --> 00:03:08.425]  I'm in front of the camera so much I don't even know anymore.
[00:03:09.066 --> 00:03:11.208]  AP, news break.
[00:03:11.328 --> 00:03:13.489]  Obama looks at climate engineering.
[00:03:14.050 --> 00:03:16.112]  Now, I want Paul Watson on this now.
[00:03:16.252 --> 00:03:17.653]  I want chemtrail every day.
[00:03:19.034 --> 00:03:21.776]  In fact, when I'm done with this next Obama film, I'm doing a chemtrail film.
[00:03:21.836 --> 00:03:22.236]  That's it.
[00:03:22.277 --> 00:03:23.137]  I've made my mind up.
[00:03:23.177 --> 00:03:27.221]  I was going to make the 2012 film explaining how that's all a big globalist hoax.
[00:03:28.359 --> 00:03:29.560]  But that can wait.
[00:03:29.580 --> 00:03:35.124]  I need everybody to start sending me your chemtrail footage and we'll give you full credit and everything from all over the country.
[00:03:35.464 --> 00:03:36.645]  Just send your chemtrail footage.
[00:03:36.685 --> 00:03:37.646]  I'm making a chemtrail film.
[00:03:37.686 --> 00:03:37.946]  That's it.
[00:03:38.106 --> 00:03:39.488]  Because it's in.
[00:03:40.108 --> 00:03:43.290]  I should have made it a year ago when they were admitting it in textbooks and things.
[00:03:43.651 --> 00:03:47.293]  Because it really hurts the globalists to make a film and have them deny it and then have it be all admitted.
[00:03:47.554 --> 00:03:51.417]  But even when I document what's admitted now, they're going to say it doesn't exist.
[00:03:52.017 --> 00:03:58.382]  The President's new science advisor said Wednesday that global warming is so dire, the Obama administration is discussing radical technologies to cool the Earth's air.
[00:03:59.022 --> 00:04:01.324]  And see, this is in the university reports Paul's reported on.
[00:04:01.764 --> 00:04:04.366]  Oh, we're spraying the atmosphere, testing, shouldering the Earth.
[00:04:04.406 --> 00:04:09.750]  And kids' textbooks that have chapters saying New World Order say, oh, and we're spraying you.
[00:04:10.010 --> 00:04:11.732]  Those are that sunscreen spray.
[00:04:12.816 --> 00:04:14.997]  So, Paul Watson is now up on air.
[00:04:15.017 --> 00:04:16.237]  We're multitasking on air.
[00:04:16.697 --> 00:04:23.899]  Paul Watson, my chief researcher and writer, I have you here with a new mission, should you choose to accept it.
[00:04:23.959 --> 00:04:24.700]  Are you there, my friend?
[00:04:24.720 --> 00:04:26.160]  Yes, Alex.
[00:04:27.200 --> 00:04:30.781]  I need you to do an article saying, yes, they are terraforming the planet.
[00:04:31.362 --> 00:04:32.422]  Chemtrails are real.
[00:04:32.462 --> 00:04:34.783]  Now, only one component is the terraforming.
[00:04:34.803 --> 00:04:38.404]  They're also spraying poisons on you that sterilize you and brain damage you.
[00:04:39.406 --> 00:04:40.687]  I know you don't want to admit that in public.
[00:04:40.727 --> 00:04:42.049]  It's because you've been brain damaged.
[00:04:42.569 --> 00:04:44.471]  Myself included, but I'm fighting through it.
[00:04:44.511 --> 00:04:47.134]  You can still focus and get some neurons firing there.
[00:04:48.455 --> 00:04:49.015]  We're trying.
[00:04:51.598 --> 00:04:58.825]  John Holdren told the AP, the first interview since becoming confirmed last month, that the idea of geoengineering the climate is being discussed.
[00:04:59.165 --> 00:05:00.667]  One such extreme option includes shooting
[00:05:02.639 --> 00:05:05.483]  Pollution particles in the upper atmosphere to reflect the sun's rays.
[00:05:05.783 --> 00:05:09.208]  Holdren said such an experiment measure would only be used as last resort.
[00:05:09.408 --> 00:05:10.670]  It's already going on globally.
[00:05:10.810 --> 00:05:12.553]  The operation was launched worldwide in 1996.
[00:05:12.633 --> 00:05:13.734]  Worldwide terraforming!
[00:05:18.561 --> 00:05:21.142]  With deadly barium salts and aluminum dioxide.
[00:05:22.042 --> 00:05:24.763]  As now people 22 years old are getting Alzheimer's everywhere.
[00:05:25.123 --> 00:05:26.883]  Just breathing it.
[00:05:27.243 --> 00:05:27.963]  Mass death.
[00:05:28.003 --> 00:05:28.724]  Brain plaques.
[00:05:29.004 --> 00:05:29.404]  Hitting us.
[00:05:29.424 --> 00:05:30.124]  Hitting us hard.
[00:05:30.164 --> 00:05:32.765]  I mean, the globalists have special detoxes they do that can remove some of it.
[00:05:32.965 --> 00:05:34.425]  But they're even saying it's hurting them.
[00:05:34.745 --> 00:05:38.306]  I mean, this is mega attack total and AP!
[00:05:38.786 --> 00:05:45.708]  And I've got FBI calling the office and circling the office and provocateurs out the wazoo and people attacking everywhere.
[00:05:46.428 --> 00:05:50.310]  And I mean, and I'm the weirdo, because, no, listen, I'm breaking people out of their trance.
[00:05:50.910 --> 00:05:52.651]  See, I'm broken out of the trance.
[00:05:52.771 --> 00:05:55.152]  I'm angry, I'm freaked out, I'm going, my God, they're terraforming!
[00:05:55.332 --> 00:05:57.053]  My God, sodium fluoride in the water!
[00:05:57.233 --> 00:05:58.874]  My God, they funded Hitler!
[00:05:59.154 --> 00:06:02.095]  My, you know, I am, I understand what's going on!
[00:06:02.815 --> 00:06:04.296]  I read their eugenics documents!
[00:06:04.956 --> 00:06:08.638]  The Herald in the back of my neck standing up right now, I want to warn you, they should all arrest them!
[00:06:08.698 --> 00:06:09.678]  Arrest the bankers!
[00:06:10.078 --> 00:06:11.999]  They're robbing, God, I can't believe it!
[00:06:12.540 --> 00:06:13.260]  And then they admit,
[00:06:14.434 --> 00:06:17.197]  This is just like after they've been spying on us without warrants for decades.
[00:06:17.217 --> 00:06:19.459]  They come out and say, we might do a little spying without warrants.
[00:06:19.479 --> 00:06:20.580]  We want to pass a law now.
[00:06:21.641 --> 00:06:24.923]  Or, oh, we want a global currency.
[00:06:24.943 --> 00:06:29.668]  We want to pass a law when they've already been having it for years at the monetary level.
[00:06:32.030 --> 00:06:32.971]  I'm going to shut up, Paul.
[00:06:33.871 --> 00:06:39.296]  Paul, I just can't believe they're admitting it all, man.
[00:06:39.657 --> 00:06:40.317]  They're admitting it.
[00:06:41.889 --> 00:06:44.251]  And when they start admitting stuff, it means they're going full steam ahead.
[00:06:44.291 --> 00:06:45.392]  Watson, what do you think of this?
[00:06:47.113 --> 00:06:50.676]  Well, yeah, I wrote two articles on this last year.
[00:06:51.517 --> 00:06:57.502]  One was Government Scientist Proposed Geoengineering Earth's Upper Atmosphere.
[00:06:58.443 --> 00:07:05.989]  And this was about documents that were obtained by Cybercast News Service from the U.S.
[00:07:06.089 --> 00:07:10.233]  Department of Energy's Savannah River National Laboratory.
[00:07:10.902 --> 00:07:13.965]  In Aiken, South Carolina.
[00:07:14.045 --> 00:07:15.927]  Well this one was about conducting tests about firing
[00:07:29.594 --> 00:07:35.018]  What would happen if a huge amount of particulate matter is shot into the stratosphere, that's the quote.
[00:07:35.359 --> 00:07:44.786]  And then they say they're testing, that's right, all of this spraying, like HIV is a weaker virus to the real, when they're gonna release, it's a beta test.
[00:07:44.826 --> 00:07:51.892]  But yes, but they admit thousands of ongoing tests with mixing it with a jet fuel, spraying the particulates into the atmosphere.
[00:07:52.212 --> 00:07:53.433]  I mean, that's what they're doing!
[00:07:53.633 --> 00:07:55.215]  That's why you say it's real!
[00:07:55.435 --> 00:07:57.597]  It's in the Associated Press, I keep telling you!
[00:07:58.780 --> 00:07:59.260]  Oh God.
[00:08:00.081 --> 00:08:26.863]  And there's also an article out of the Guardian called Geoengineering the Radical Ideas to Combat Global Warming, where Ken Calvera, who's at the Carnegie Institution in Stanford, California, promoted injecting the atmosphere with aerosols, as well as sulfur, which in this article, we list the health effects
[00:08:27.307 --> 00:08:38.812]  The Adverse Health Effects of Exposure to Sulfur, Neurological Effects and Behavioral Changes, Disturbance of Blood Circulation, Heart Damage, Effects on Eyes and Eyesight.
[00:08:39.113 --> 00:08:43.715]  Look what they're doing, what they're doing, what they're doing is saying, we're going to medicate you.
[00:08:45.240 --> 00:08:50.582]  And, you know, that's why I always say, oh, they're spraying the town for a deadly moth this week, and I pulled up at 3 a.m.
[00:08:50.642 --> 00:09:03.347]  one morning and saw a Cessna fly over with spray tanks spraying, and I was like, like 200 feet off the ground right over my house, spraying, and I stood outside smoking a cigarette before I quit smoking, and smelled the pesticide coming down.
[00:09:03.367 --> 00:09:04.947]  I mean, do you see how they do it?
[00:09:04.967 --> 00:09:06.008]  They just set the precedent.
[00:09:06.548 --> 00:09:11.690]  Oh, yeah, we're going to be geoengineering, terraforming the planet now, it's no big deal, go back to sleep.
[00:09:12.330 --> 00:09:13.911]  Watson, but what was the term?
[00:09:14.371 --> 00:09:16.412]  The High Altitude Aerial Spring?
[00:09:16.672 --> 00:09:17.913]  What's the scientific term for it?
[00:09:18.153 --> 00:09:20.034]  If people Google it, they'll find thousands of reports.
[00:09:23.836 --> 00:09:24.977]  Something like that, yeah.
[00:09:25.197 --> 00:09:28.559]  The articles I wrote were about the... No, no, no, no.
[00:09:28.839 --> 00:09:30.260]  You wrote another one about that.
[00:09:31.521 --> 00:09:33.442]  You've written more articles than you remember.
[00:09:33.462 --> 00:09:39.405]  The one I wrote was entitled, Secret Geoengineering Projects Threaten Unknown Environmental Dangers.
[00:09:40.822 --> 00:09:44.464]  Which is the, uh, comprehensive article, which has got everything in it.
[00:09:45.325 --> 00:09:48.407]  Hey, hey, listen, it's like there's some collective amnesia on this.
[00:09:48.807 --> 00:09:50.548]  I've been begging for big reports on this.
[00:09:50.568 --> 00:09:51.949]  You did a separate report on this.
[00:09:52.550 --> 00:09:54.691]  We need hard-hitting reports to get people's attention.
[00:09:54.791 --> 00:09:56.793]  You always have scientific names to them and people don't read them.
[00:09:57.093 --> 00:09:58.194]  Let's bring John Harmon on.
[00:09:58.254 --> 00:09:58.994]  He remembers.
[00:09:59.715 --> 00:10:00.715]  John Harmon, come on here.
[00:10:02.877 --> 00:10:03.597]  Are you on air right now?
[00:10:04.578 --> 00:10:05.698]  Hey, tell folks the name of it.
[00:10:05.719 --> 00:10:06.219]  You got it right.
[00:10:13.069 --> 00:10:18.277]  Yeah, it's Indirect Direct Aerosol Spraying Campaign, that's right.
[00:10:18.578 --> 00:10:19.619]  Remember that now, Paul?
[00:10:20.921 --> 00:10:21.081]  Yeah.
[00:10:22.544 --> 00:10:25.548]  I need a master story that has it all so folks get it.
[00:10:26.923 --> 00:10:29.784]  Because, again, they are manipulating the atmosphere.
[00:10:29.824 --> 00:10:31.124]  These people are playing God.
[00:10:31.144 --> 00:10:32.884]  They are out of their minds.
[00:10:32.904 --> 00:10:38.106]  Remember, they thought that when they detonated hydrogen bombs in the upper atmosphere, it would catch the Earth on fire.
[00:10:38.166 --> 00:10:42.867]  This is on Discovery Channel on the show Trinity, voiced by William Shatner.
[00:10:43.347 --> 00:10:44.567]  It first aired on HBO.
[00:10:45.167 --> 00:10:45.987]  And they brag.
[00:10:46.007 --> 00:10:48.608]  If you watch that movie, get it on Netflix, folks.
[00:10:50.031 --> 00:10:50.651]  Called Trinity.
[00:10:51.152 --> 00:10:58.097]  That they detonated in one night 50-something high-powered hydrogen bombs trying to set the atmosphere on fire.
[00:10:59.038 --> 00:11:01.640]  Gee, this might set the atmosphere on fire!
[00:11:01.880 --> 00:11:04.082]  Let's try to set the atmosphere on fire!
[00:11:05.305 --> 00:11:07.267]  God, these people are psycho demons!
[00:11:07.947 --> 00:11:14.473]  Watson, I've got another guest coming up, but I want a big report later into the fourth hour on this.
[00:11:14.934 --> 00:11:20.198]  How fast can you get the AP up with them admitting they're going to terraform the planet with aerial spraying it?
[00:11:20.258 --> 00:11:21.339]  Yeah, it's already posted.
[00:11:21.820 --> 00:11:23.501]  It's at PrisonPlanet.com right now.
[00:11:24.122 --> 00:11:24.322]  Yeah.
[00:11:26.023 --> 00:11:27.825]  Well, our rewrite of it is.
[00:11:28.906 --> 00:11:31.028]  Yeah, with the link to the AP, yeah.
[00:11:32.506 --> 00:11:35.347]  All right, RxP, I want a master article detailing the people.
[00:11:37.468 --> 00:11:38.589]  Oh God, help us.
[00:11:38.889 --> 00:11:40.350]  I just can't handle it anymore.
[00:11:40.390 --> 00:11:45.652]  As well as that, Alex, one third of fish in British rivers are completely feminized.
[00:11:45.672 --> 00:11:48.674]  I mean, what on earth have they put in the rivers now?
[00:11:49.591 --> 00:11:54.933]  And that's been linked with declining sperm counts in men as well for the past 20 or so years.
[00:11:54.953 --> 00:11:58.374]  Yeah, it was 85% down, now it's 95% down, the sperm.
[00:11:59.014 --> 00:12:07.797]  Well, I mean, and they've also done studies on waterways that aren't connected to any sewage system and shouldn't have the estrogen added, and they're finding it's synthetic.
[00:12:07.837 --> 00:12:08.518]  They're dumping
[00:12:09.438 --> 00:12:11.159]  Masses of amounts of it to the whole environment.
[00:12:11.179 --> 00:12:14.440]  They're spraying us with barium salts, sodium fluoride in our water.
[00:12:14.841 --> 00:12:16.141]  You put a fish in and it dies.
[00:12:16.721 --> 00:12:19.303]  They're, they're, look, look, I mean, it's over.
[00:12:19.343 --> 00:12:22.384]  We're being mass murdered by Nazi criminals that run everything.
[00:12:22.804 --> 00:12:26.326]  And meanwhile, they have all these newspapers attacking me because I'm exposing them.
[00:12:26.706 --> 00:12:28.807]  Watson, I want a masterpiece on this.
[00:12:28.887 --> 00:12:30.188]  I want to expose these bastards.
[00:12:30.208 --> 00:12:30.588]  Stay with me.
[00:12:32.011 --> 00:12:37.214]  With our economy spiraling out of control, living in the soup kitchens may be right around the corner.
[00:12:37.535 --> 00:12:39.216]  No one saw the financial collapse of 1929.
[00:12:40.537 --> 00:12:46.100]  Many didn't make it, and millions ended up in soup lines, becoming vagrants, begging for food.
[00:12:46.761 --> 00:12:50.163]  Unlike 1929, we can see this collapse coming.
[00:12:50.403 --> 00:12:51.524]  We have been warned.
[00:12:51.704 --> 00:12:57.848]  And right now, we have a very small window of opportunity to get food storage into our homes before it's too late.
[00:12:58.695 --> 00:13:01.861]  Why is the Canadian government telling their citizens to stock up?
[00:13:01.901 --> 00:13:02.222]  Why?
[00:13:02.342 --> 00:13:06.109]  And why are soldiers calling home telling their families to get food storage?
[00:13:07.890 --> 00:13:14.215]  Having food storage today may be just as important to your family's survival as boarding the Ark was in the days of Noah.
[00:13:14.375 --> 00:13:18.059]  Order right now and receive free shipping on all one-year supplies.
[00:13:18.299 --> 00:13:20.581]  Go to YourFoodStorage.com.
[00:13:20.761 --> 00:13:23.063]  That's YourFoodStorage.com.
[00:13:23.243 --> 00:13:23.923]  Or call 877-482-FOOD.
[00:13:23.943 --> 00:13:24.684]  That's 877-482-FOOD today!
[00:13:24.844 --> 00:13:27.106]  In the New World Order's war against humanity,
[00:13:34.517 --> 00:13:36.620]  Barack Obama is the tip of the spear.
[00:13:37.121 --> 00:13:44.171]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:13:44.705 --> 00:13:50.889]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:13:51.289 --> 00:13:53.130]  Well, Obama's already fudging.
[00:13:53.270 --> 00:13:55.691]  He's fudged since day one in this election.
[00:13:55.771 --> 00:14:06.718]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:14:07.338 --> 00:14:08.639]  It's not about left or right.
[00:14:09.019 --> 00:14:10.360]  It's about a one-world government.
[00:14:10.879 --> 00:14:17.187]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:14:17.787 --> 00:14:25.557]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:14:26.057 --> 00:14:27.199]  The Obama Deception.
[00:14:27.619 --> 00:14:28.821]  The people strike back.
[00:14:31.198 --> 00:14:33.900]  Are you tired of losing your hard-earned savings in retirement?
[00:14:34.301 --> 00:14:40.866]  Does the continued loss of purchasing power through the hidden tax of inflation brought on by trillions of dollars in government bailouts bother you?
[00:14:41.327 --> 00:14:45.590]  Then please let me, Duane Daly, with Midas Resources, help you to protect what you have left.
[00:14:46.151 --> 00:14:55.679]  Call me at 800-686-2237, extension 115, and I will explain to you how to retain your wealth and purchasing power now and in the future with gold and silver.
[00:14:56.109 --> 00:15:05.831]  Gold and silver have been a form of currency for 6,000 years compared to our present fiat currency which has only been in existence for 38 years and failing fast.
[00:15:06.171 --> 00:15:13.533]  Call me Dwayne Dalley at 800-686-2237 extension 115 to start your protection of wealth today.
[00:15:13.553 --> 00:15:16.993]  I will custom fit the protection package to your personal needs.
[00:15:17.513 --> 00:15:19.734]  No amount is too small so start today.
[00:15:20.274 --> 00:15:25.941]  Call Duane Daly with Midas Resources at 800-686-2237 extension 115 for your gold and silver protection portfolio.
[00:15:30.526 --> 00:15:35.630]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:15:35.770 --> 00:15:44.197]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:15:44.477 --> 00:15:47.780]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[00:15:48.060 --> 00:15:51.003]  Do your herbal remedies have unwanted additives and fillers?
[00:15:51.283 --> 00:15:53.405]  Have you ever tested your body's pH level?
[00:15:53.785 --> 00:15:56.487]  Make the change to organic health and beauty products.
[00:15:56.768 --> 00:15:59.510]  Visit 2benatural.com and order today!
[00:15:59.870 --> 00:16:00.331]  We're good.
[00:16:15.865 --> 00:16:16.705]  He's going the distance!
[00:16:55.885 --> 00:16:57.926]  Ladies and gentlemen, the chemtrails are real.
[00:16:58.546 --> 00:17:10.092]  Just like they would deny there was a government plan to microchip the kids, and in Time Magazine and Newsweek, for kids, they give them free in public schools, say, ooh, you're cool, you're not like your parents, you're not backwards, you're gonna take the chip.
[00:17:10.532 --> 00:17:12.893]  That's a quote, by the way, from Time Magazine for kids.
[00:17:14.218 --> 00:17:15.439]  Oh yeah, turning your kids against you.
[00:17:16.920 --> 00:17:20.882]  And now the Mexican Attorney General's made his employees take it, they're pushing it on Alzheimer's patients.
[00:17:20.922 --> 00:17:22.923]  The point is, they brainwashed the kids first.
[00:17:22.943 --> 00:17:26.565]  There's a bunch of government textbooks and others that admit they're chemtrail spring.
[00:17:27.666 --> 00:17:32.689]  Now, we found all the government documents where they admit they're already terraforming the atmosphere since 96.
[00:17:33.509 --> 00:17:34.050]  Guess what?
[00:17:34.710 --> 00:17:35.911]  When we found out the term,
[00:17:37.978 --> 00:17:40.499]  Indirect and direct aerosol spray campaign.
[00:17:40.599 --> 00:17:48.643]  You just Google that, you'll be on Department of Energy, British Department of Energy, and I hate to have my guests waiting and then going off and this is just too big.
[00:17:49.344 --> 00:18:01.970]  And then the last few months they had a London Guardian and AP come out and say, oh they're looking at spraying barium salts and they can mix it with the jet fuel that way it's cheaply done and it'll have a big effect over the airwaves to protect our cities.
[00:18:02.270 --> 00:18:03.431]  They're already doing it!
[00:18:06.229 --> 00:18:11.671]  And NASA reports the planet is 20% darker than it was back in the early 90s.
[00:18:11.731 --> 00:18:12.992]  They are spraying!
[00:18:13.272 --> 00:18:14.372]  Then they turn into clouds!
[00:18:14.412 --> 00:18:15.653]  It's cloud seeding!
[00:18:16.233 --> 00:18:22.676]  We broke, Ben Livingston, we broke that story before Fox, AP, any of them.
[00:18:22.996 --> 00:18:25.937]  A listener sent us the declassified document that the government had put out.
[00:18:26.297 --> 00:18:28.418]  It had been 40-something years, so they declassified it.
[00:18:30.959 --> 00:18:32.900]  And in the declassified government document,
[00:18:33.925 --> 00:18:40.668]  We talked about how he created hurricanes, killed hurricanes, weakened hurricanes, how with just a few airplanes they could do this.
[00:18:41.268 --> 00:18:42.129]  He ran the attacks.
[00:18:42.169 --> 00:18:44.730]  He would lead the squadrons in.
[00:18:44.750 --> 00:18:48.132]  He was a combat pilot before that in Korea.
[00:18:48.612 --> 00:18:49.272]  Amazing guy.
[00:18:49.552 --> 00:18:52.634]  He would lead the combat squadrons into Vietnam with no clouds.
[00:18:52.874 --> 00:18:55.155]  They would rain 10 feet of water on the Ho Chi Minh Trail.
[00:18:58.095 --> 00:19:00.856]  And he interviewed us and then he got threatened that he won't come on anymore.
[00:19:00.876 --> 00:19:06.859]  He said, no, I've been basically threatened, I can't come back on your show, Mr. Jones, because we got him on, it broke, and then AP and everybody picked it up.
[00:19:08.400 --> 00:19:15.763]  But the issue is that this is barium, salts, aluminum, dioxide, these are nuclei.
[00:19:15.803 --> 00:19:17.163]  What forms clouds?
[00:19:20.325 --> 00:19:24.667]  And now AP, you know, I apologize to Stuart Rhodes, but
[00:19:25.543 --> 00:19:27.885]  I bet he got a big response the last time he was on from Oath Keepers.
[00:19:28.785 --> 00:19:33.068]  They're having a big move to get even more people out to take the oath against firing on them U.S.
[00:19:33.088 --> 00:19:35.269]  citizens, confiscating guns, doing things like that.
[00:19:36.530 --> 00:19:42.834]  But side issue, Stuart, what do you think of them openly announcing they're terraforming the planet?
[00:19:44.856 --> 00:19:48.478]  I just came on and I just caught the tail end of your discussion about that.
[00:19:48.498 --> 00:19:49.299]  That's pretty amazing.
[00:19:50.199 --> 00:19:54.222]  So, off the deferential, I listened to the rest of what you said.
[00:19:54.824 --> 00:19:59.468]  Alright, well we're going to come back to you and give you some time to talk and I want to have you back up for a full hour in the near future after this happens.
[00:19:59.749 --> 00:20:01.370]  In a nutshell, tell us about Oath Keepers.
[00:20:01.490 --> 00:20:02.331]  Very exciting.
[00:20:04.233 --> 00:20:10.499]  So the police and military uphold their oath and don't go to war with the people, which will also be very healthy for them.
[00:20:11.388 --> 00:20:11.869]  Absolutely.
[00:20:11.929 --> 00:20:17.896]  This is our mission is to, as I told you last time, is to make sure that the big guns are on our side.
[00:20:18.437 --> 00:20:19.898]  And the response has been amazing.
[00:20:19.918 --> 00:20:28.309]  What I want listeners to know about is we are rallying on the Lexington Green on April 19th, which is the anniversary of the first shot.
[00:20:28.849 --> 00:20:29.349]  What day is that?
[00:20:57.978 --> 00:21:01.401]  Ah, 1775 maybe, that's when it all started.
[00:21:01.882 --> 00:21:20.957]  That's right, April 19, 1775 was when the, under Marshal Law, General Gage, he sent out his regulars to go confiscate the cannon and the doubter at Concord, and on the way in Lexington, Captain Parker and the Lexington Massachusetts Militia mustered on the green in face of the British, and that's where they had their first shots fired.
[00:21:21.617 --> 00:21:22.098]  I just had a vision.
[00:21:22.118 --> 00:21:24.541]  I've got to stop shooting by the end of April for my new Obama film.
[00:21:24.561 --> 00:21:27.884]  I'm going to send a camera crew and show this event at the end of the film about this being the solution.
[00:21:42.606 --> 00:21:43.287]  Absolutely won't.
[00:21:43.307 --> 00:21:44.569]  You need to be there, Alex.
[00:21:44.990 --> 00:21:46.672]  You're going to regret not being there if you're not there.
[00:21:46.692 --> 00:21:49.916]  I know, but I mean, literally, sir, I have enemy forces circling me.
[00:21:49.997 --> 00:21:51.138]  I'm here in the command base.
[00:21:51.619 --> 00:21:52.981]  I've got to stay here in the headquarters.
[00:21:53.802 --> 00:21:55.384]  OK, well, we'll definitely do that.
[00:21:55.564 --> 00:21:57.227]  You know what?
[00:21:57.267 --> 00:21:58.508]  I mean, I'd love to fly up there.
[00:21:58.548 --> 00:21:59.229]  It's just literally...
[00:22:00.430 --> 00:22:01.050]  Here's the issue.
[00:22:01.131 --> 00:22:03.392]  I could do 20 radio interviews a day on other people's shows.
[00:22:03.412 --> 00:22:05.574]  I mean, I'm reaching millions a day on my own shows.
[00:22:05.594 --> 00:22:11.938]  The problem is, believe me, I'd rather travel around and be part of this, but I can't be in all places at one time.
[00:22:11.998 --> 00:22:19.704]  I've got to kind of, you know, sit here at Midas Tareth, like we said last time, and I'm looking off at the eye across the mountain range at me.
[00:22:21.485 --> 00:22:22.366]  We're on the march.
[00:22:22.866 --> 00:22:24.467]  The Empire's on the run.
[00:22:25.408 --> 00:22:28.070]  Alex Jones and the GCN Radio Network.
[00:22:30.982 --> 00:22:32.484]  Alex Jones here with a question.
[00:22:32.664 --> 00:22:34.125]  What does humidity mean to you?
[00:22:34.405 --> 00:22:36.647]  Most people think of hot and sticky summer days.
[00:22:37.088 --> 00:22:41.832]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:22:42.233 --> 00:22:45.075]  That's why I'd like you to visit acolablue.com.
[00:22:45.416 --> 00:22:48.879]  Acolablue is a state-of-the-art atmospheric water generator.
[00:22:49.324 --> 00:23:01.308]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:23:01.869 --> 00:23:03.869]  Finally, drinking water that you control.
[00:23:04.190 --> 00:23:05.170]  I use one every day.
[00:23:05.590 --> 00:23:08.051]  Say goodbye to expensive water delivery services.
