[00:00:19.180 --> 00:00:20.163]  We are back live.
[00:04:10.711 --> 00:04:11.912]  They've built the FEMA camps.
[00:04:11.972 --> 00:04:14.314]  Notice the bill they introduced for FEMA camps, for the already built ones.
[00:04:14.635 --> 00:04:19.159]  Said, oh, we're going to pay to have medical centers and local pastors to help in the community.
[00:04:19.179 --> 00:04:21.901]  They're going to call them horrible work camps.
[00:04:21.942 --> 00:04:24.264]  It's, oh, it's a loving government camp.
[00:04:25.024 --> 00:04:25.965]  And how does it start?
[00:04:25.985 --> 00:04:26.266]  I don't know.
[00:04:26.286 --> 00:04:27.447]  I predict a year ago it would start.
[00:04:28.726 --> 00:04:37.856]  As people become homeless, they force you out of the tent cities, on national parks, state parks, and other places, into the facilities where you're prisoners, where you're frisked and controlled.
[00:04:38.516 --> 00:04:40.939]  That's now happening in California, Hawaii, and other areas.
[00:04:41.299 --> 00:04:44.503]  So, this is actually going on right now.
[00:04:47.186 --> 00:04:49.068]  I want folks to understand that.
[00:04:53.988 --> 00:04:55.309]  Let's go ahead and cut over here.
[00:04:55.389 --> 00:04:57.730]  Let's go ahead and go to that YouTube clip.
[00:04:57.970 --> 00:04:58.450]  Here it is.
[00:04:59.130 --> 00:05:01.592]  Will law ever become a reality in America?
[00:05:02.012 --> 00:05:06.334]  Some fear any nuclear, biological, or chemical attack on U.S.
[00:05:06.394 --> 00:05:08.455]  territory might trigger just that.
[00:05:08.915 --> 00:05:15.038]  And as KSLA News 12's Jeff Ferrell discovered, the clergy would help the government with potentially their biggest problem.
[00:05:15.798 --> 00:05:15.918]  Us.
[00:05:15.938 --> 00:05:19.202]  From my cold, dead hands!
[00:05:19.442 --> 00:05:23.627]  Charlton Heston's famous declaration captures a truly American value.
[00:05:24.067 --> 00:05:26.710]  The overarching desire to protect our freedoms.
[00:05:27.371 --> 00:05:33.597]  But gun confiscation is exactly what happened during the state of emergency following Hurricane Katrina in New Orleans.
[00:05:34.298 --> 00:05:34.599]  U.S.
[00:05:34.639 --> 00:05:35.800]  troops also arrived.
[00:05:36.160 --> 00:05:42.908]  Something far easier to do even now, thanks to last year's elimination of the 1878 Posse Comitatus Act.
[00:05:43.388 --> 00:05:44.469]  That forbid U.S.
[00:05:44.529 --> 00:05:46.572]  troops from policing on American soil.
[00:05:48.797 --> 00:05:55.939]  If martial law were enacted here at home, like depicted in the movie The Siege, easing public fears and quelling dissent would be critical.
[00:05:56.419 --> 00:06:01.561]  And that's exactly what the Clergy Response Team, as it's called, helped accomplish in New Orleans.
[00:06:02.081 --> 00:06:08.583]  Jeff, the primary thing that we say to anybody is let's cooperate and get this thing over with, and then we'll settle the differences once the crisis is over.
[00:06:08.903 --> 00:06:14.805]  Such clergy response teams would walk a tightrope between the needs of the government versus the wishes of the public.
[00:06:15.285 --> 00:06:22.127]  In a lot of cases, these clergy would already be known in the neighborhoods in which they're helping to defuse that situation.
[00:06:22.427 --> 00:06:29.829]  For the clergy, one of the biggest tools that they will have in helping calm the public down or obey the law is the Bible itself.
[00:06:30.249 --> 00:06:31.690]  Specifically, Romans.
[00:06:32.190 --> 00:06:32.550]  Romans 13.
[00:06:32.610 --> 00:06:35.111]  Because the government's established on the Lord.
[00:06:35.891 --> 00:06:36.152]  You know?
[00:06:36.492 --> 00:06:38.155]  And that's what we believe in the Christian faith.
[00:06:38.175 --> 00:06:39.356]  That's what's stated in the scripture.
[00:06:39.977 --> 00:06:48.830]  Civil rights advocates believe the amount of public cooperation may depend largely on how long they expect the suspension of their rights might last.
[00:06:49.831 --> 00:06:51.473]  Jeff Ferrell, KSLA News 12 reporting.
[00:06:54.406 --> 00:06:56.087]  Oh, let's play that end part about martial law.
[00:06:56.107 --> 00:06:56.947]  I want to finish up.
[00:06:57.548 --> 00:06:59.249]  We cut the tape off about 10 seconds early.
[00:06:59.269 --> 00:07:00.229]  Go ahead and back it up.
[00:07:00.369 --> 00:07:07.793]  According to Tuberville, during Hurricane Katrina, the clergy response team provided 38 chaplains a day, around the clock, at eight different camps.
[00:07:08.893 --> 00:07:10.454]  Now, remember, oh, camps.
[00:07:10.734 --> 00:07:13.836]  This was secret until 2007.
[00:07:14.656 --> 00:07:17.038]  We told you a year and a half before, with the documents.
[00:07:17.498 --> 00:07:19.519]  It's like we broke the MIAC and everything else.
[00:07:20.720 --> 00:07:23.301]  Because folks that are involved in all this know where to send their documents.
[00:07:24.534 --> 00:07:28.093]  Just send it to the address that's on NFLWars.com.
[00:07:29.704 --> 00:07:31.706]  Ladies and gentlemen, this is what's going on.
[00:07:31.766 --> 00:07:37.571]  So now, they've gotten even down and found out who the small churches are, and they're sending them letters.
[00:07:37.871 --> 00:07:39.772]  Pastor, I would like you to fax us.
[00:07:39.993 --> 00:07:42.675]  I know we just moved offices a few months ago, and I still forget our new fax number.
[00:07:43.015 --> 00:07:45.157]  Will you get the guys to give me the toll-free fax number?
[00:07:45.597 --> 00:07:52.083]  You can scrub your name out, any numbers on there, or put tape over them, or make a copy of the document and black that out.
[00:07:52.103 --> 00:07:53.304]  I don't want you to black out your original.
[00:07:53.704 --> 00:07:55.125]  I want you to fax that to me.
[00:07:55.726 --> 00:07:57.688]  I want other pastors to do this, because
[00:07:58.709 --> 00:08:04.132]  Again, secret police training pastors to tell their flocks to go to FEMA camps, take injections, turn their guns in.
[00:08:04.172 --> 00:08:07.414]  That's in the original FEMA documents we posted almost three years ago.
[00:08:09.175 --> 00:08:10.056]  This is very creepy.
[00:08:10.296 --> 00:08:12.677]  Then you know that Romans 13 didn't really say that.
[00:08:12.758 --> 00:08:14.419]  The whole chapter doesn't say that.
[00:08:15.039 --> 00:08:23.744]  I mean, if you are a Christian and follow that faith, almost all of the prophets of the Old and New Testament were killed or tortured or imprisoned.
[00:08:24.745 --> 00:08:26.326]  Christ wouldn't follow the government's orders.
[00:08:28.215 --> 00:08:30.136]  It's all taken out of context.
[00:08:31.577 --> 00:08:34.819]  But Pastor, for those that just tuned in, we're also live at PrisonPlanet.tv.
[00:08:35.220 --> 00:08:36.480]  Recap the letter you got.
[00:08:36.801 --> 00:08:37.741]  Go over it for folks.
[00:08:38.262 --> 00:08:38.562]  Okay.
[00:08:38.982 --> 00:08:40.083]  I've been looking for it.
[00:08:40.123 --> 00:08:45.786]  My wife and I, we've been tearing our files apart because I left it in the envelope.
[00:08:46.287 --> 00:08:51.330]  And when you send back your response, you are to put it in your church letterhead.
[00:08:52.344 --> 00:08:57.849]  What your response is to that, and you send it back, a copy of that letter with your response.
[00:08:57.869 --> 00:09:03.233]  I understand you called in, didn't think you'd get on air, but it's providence that you did, and it's somewhere in your stacks of stuff.
[00:09:03.253 --> 00:09:04.474]  Look, I've seen similar letters.
[00:09:04.774 --> 00:09:06.936]  We wrote the secret documents, so I believe you.
[00:09:07.337 --> 00:09:13.522]  Paraphrase them from memory what it says, and the point is, they're doing a survey, just like Obama, with millions door-to-door.
[00:09:13.562 --> 00:09:14.603]  Do you support him or not?
[00:09:16.123 --> 00:09:20.165]  Now they're even down to small churches, not just recruiting them, but doing a survey.
[00:09:20.185 --> 00:09:26.448]  If you respond back that you do believe in Romans 13, that we should do whatever the government says, they're now going to try to recruit you.
[00:09:26.468 --> 00:09:29.029]  That's why you hear CIA ads on radio and TV.
[00:09:29.310 --> 00:09:33.391]  They're tripling the size of HUMET domestically, literally taking over everything.
[00:09:33.612 --> 00:09:35.492]  But specifically tell folks what's happening.
[00:09:35.532 --> 00:09:35.833]  Go ahead.
[00:09:36.193 --> 00:09:36.493]  Okay.
[00:09:37.633 --> 00:09:42.296]  First of all, you are right, because I received two phone calls, and it was just like a survey.
[00:09:43.908 --> 00:09:49.954]  And it asked, as far as, do you support Obama and do you support his agenda?
[00:09:50.034 --> 00:09:51.816]  His and Congress' agenda.
[00:09:52.517 --> 00:09:56.020]  Well, I said no, because I didn't vote for him to begin with.
[00:09:56.521 --> 00:09:57.281]  And then I hung up.
[00:09:57.442 --> 00:09:59.944]  Well, it was like two weeks later, we got the same thing.
[00:10:00.705 --> 00:10:01.986]  And I just hung up.
[00:10:02.066 --> 00:10:04.248]  I didn't even answer anything.
[00:10:04.689 --> 00:10:07.812]  But then, I've gotten two letters now, so far,
[00:10:08.439 --> 00:10:25.753]  And one of the things that it points out, one of the first things that it points out is that if your church being 501c3, in other words, tax exempt, that it states that you're not allowed to, you know, make any political statements, things like that, from the pulpit and stuff like that.
[00:10:25.773 --> 00:10:33.759]  In other words, it tells you all the things that you cannot do, you know, it just kind of briefly touches over them, what you cannot do if you're a 501c3.
[00:10:34.159 --> 00:10:34.820]  Stop right there!
[00:10:36.081 --> 00:10:39.985]  Again, and I've seen those letters, they are intimidating people.
[00:10:41.386 --> 00:10:46.170]  Congress will make no law respecting an establishment of religion or prohibiting the free exercise thereof.
[00:10:46.550 --> 00:10:48.192]  Congress can't have 501c3s.
[00:10:48.592 --> 00:10:49.693]  It's not in their jurisdiction.
[00:10:49.933 --> 00:10:52.155]  But they issue them to charities.
[00:10:52.195 --> 00:10:57.180]  They trick churches to sign a contract, then waiving their rights, then they say,
[00:10:57.580 --> 00:11:03.490]  By the way, you're not allowed to be political during the crisis that's coming, but would you like to join us and be our political mouthpiece?
[00:11:03.811 --> 00:11:05.013]  Then you get to keep your 501c3.
[00:11:05.093 --> 00:11:06.856]  And then these lazy preachers...
[00:11:07.697 --> 00:11:12.359]  We've got mistresses, nice cars, they bash fish four or five days a week.
[00:11:12.399 --> 00:11:16.321]  I grew up around a bunch of them in Dallas, in the upper middle class neighborhood I grew up in.
[00:11:17.202 --> 00:11:18.442]  They're drunk constantly.
[00:11:18.803 --> 00:11:20.043]  To them it's a big business.
[00:11:20.303 --> 00:11:23.185]  Their kids are out partying every day.
[00:11:23.365 --> 00:11:24.505]  That's how I knew these preachers.
[00:11:24.785 --> 00:11:25.566]  A lot of famous ones.
[00:11:25.586 --> 00:11:27.387]  There was a bunch of them that lived in my neighborhood in Dallas.
[00:11:27.987 --> 00:11:30.268]  And then we go to other preachers, you know, houses that they knew.
[00:11:30.849 --> 00:11:32.690]  And so, that's why they're there.
[00:11:32.710 --> 00:11:37.973]  They're like, oh my God, my 501c3, my swimming pools, you know, the parsonage.
[00:11:38.353 --> 00:11:45.057]  They will sell their flock out, just like Red Dawn, you know, where the Soviets take over and they got the preacher and the mayor working for them.
[00:11:45.537 --> 00:11:46.418]  This is how they do it.
[00:11:46.438 --> 00:11:49.480]  And when I tell you that they have a red list and a blue list,
[00:11:50.575 --> 00:11:56.772]  Uh, just like our government funded Paul Pottenbrach's about it to kill three million people, they want to find out who they need to take out.
[00:11:57.153 --> 00:11:58.436]  Stay there, I'm gonna come right back to you.
[00:11:59.724 --> 00:12:02.745]  Would you give someone $100 for a $10 bill?
[00:12:03.125 --> 00:12:07.346]  If you're taking vitamins and minerals in a pill form, that's exactly what you're doing.
[00:12:07.546 --> 00:12:09.726]  Hello, my name is Dr. David Friedman.
[00:12:10.066 --> 00:12:16.027]  According to the physician's desk reference, many vitamins and minerals in a pill form are 10% absorbed.
[00:12:16.327 --> 00:12:22.669]  It doesn't take a mathematician to figure out for every $100 you spend on these pills, you're flushing $90 down the toilet.
[00:12:23.909 --> 00:12:25.932]  Start absorbing the nutrients you swallow.
[00:12:26.172 --> 00:12:33.302]  Introducing Chews for Health, a delicious tasting chewable containing 16 super fruits, sea vegetables, and antioxidants.
[00:12:33.542 --> 00:12:35.445]  You know, you work hard for your money.
[00:12:35.725 --> 00:12:37.948]  Isn't it time to start getting what you pay for?
[00:12:38.289 --> 00:12:38.930]  Order today!
[00:12:39.070 --> 00:12:39.310]  1-800-210-1922.
[00:12:39.350 --> 00:12:45.932]  With Choose for Health, your body gets to keep the nutrients you swallow.
[00:12:46.152 --> 00:12:55.616]  The first 300 callers are going to receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:12:55.636 --> 00:12:55.936]  1-800-210-1922.
[00:12:56.096 --> 00:12:57.876]  Or go to orderchoose.com.
[00:13:00.237 --> 00:13:05.479]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:13:06.275 --> 00:13:11.618]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:13:12.138 --> 00:13:18.322]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:13:18.642 --> 00:13:20.463]  Well, Obama's already fudging.
[00:13:20.603 --> 00:13:23.004]  He's fudged since day one in this election.
[00:13:23.084 --> 00:13:33.970]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:13:36.261 --> 00:13:37.502]  It's not about left or right.
[00:13:37.922 --> 00:13:39.323]  It's about a one world government.
[00:13:39.784 --> 00:13:46.128]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:13:46.689 --> 00:13:54.474]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:13:54.955 --> 00:13:56.116]  The Obama Deception.
[00:13:56.536 --> 00:13:57.717]  The people strike back.
[00:13:59.480 --> 00:13:59.920]  Gold.
[00:14:00.260 --> 00:14:01.561]  It's like nothing else on Earth.
[00:14:01.801 --> 00:14:07.904]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:14:08.084 --> 00:14:11.906]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:14:12.266 --> 00:14:14.147]  According to the World Gold Council and the U.S.
[00:14:14.187 --> 00:14:16.488]  Mint, demand is at an all-time high.
[00:14:16.628 --> 00:14:19.249]  The stage is being set for the reemergence of gold.
[00:14:19.309 --> 00:14:19.889]  We're good to go.
[00:14:40.575 --> 00:14:41.015]  I think so.
[00:14:59.548 --> 00:15:00.008]  We're good to go!
[00:15:28.368 --> 00:15:34.092]  The Heirloom Garden Seed Time Capsule and Heirloom Seeds from survivalistseeds.com is your long-term food solution.
[00:15:34.232 --> 00:15:38.795]  Our competition charges $0.10 to $1.25 per seed for these same heirloom varieties.
[00:15:38.855 --> 00:15:46.520]  But you can now have a head of lettuce, a bundle of carrots, a basket of tomatoes, a giant watermelon, and 16 other varieties for about a penny a seed each!
[00:15:46.540 --> 00:15:47.241]  Be prepared!
[00:15:47.321 --> 00:15:52.464]  Buy your heirloom seeds today from survivalistseeds.com and have food insurance for your family forever!
[00:15:52.564 --> 00:15:54.225]  Visit survivalistseeds.com.
[00:16:00.388 --> 00:16:08.150]  Well... From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:16:08.750 --> 00:16:11.770]  It's Alex Jones and the GCN Radio Network.
[00:16:15.151 --> 00:16:27.373]  Alright, to be specific, to have the government sneaking around recruiting 26,000 creatures, and I told you we haven't gotten numbers now in about a year, they said they wanted to double that again the next year.
[00:16:29.317 --> 00:16:30.959]  In 2008, we're down to 2009.
[00:16:31.179 --> 00:16:36.323]  I mean, that's classic tyranny, hardcore secret police, total violation of the First Amendment.
[00:16:36.343 --> 00:16:40.847]  The First Amendment just didn't free them in the press into a symbol and demonstrate and all that.
[00:16:40.967 --> 00:16:45.351]  It also says the federal government has no purview in religion.
[00:16:47.112 --> 00:16:49.134]  But yes, I remember Raymond Teague,
[00:16:50.458 --> 00:16:53.240]  The former NASA engineer who's been on air with us.
[00:16:53.721 --> 00:16:59.165]  I remember about three years ago he came in breathing heavy from a big Baptist church he goes to out in Dripping Springs.
[00:16:59.225 --> 00:17:00.926]  In fact, I've got a copy of that around here somewhere.
[00:17:02.768 --> 00:17:07.772]  And it was telling the church and the preacher, you do not talk about any politics, you do not discuss things.
[00:17:07.812 --> 00:17:13.196]  If you have a church dinner at a restaurant, church members aren't allowed to talk.
[00:17:13.276 --> 00:17:17.420]  See, and pretty soon it's, you go to a church, you can't talk about politics in your house.
[00:17:18.280 --> 00:17:19.982]  It's already don't talk about it at a church dinner.
[00:17:21.980 --> 00:17:23.961]  And the pastors get up and admonish people.
[00:17:23.981 --> 00:17:24.901]  That's what Raymond was saying.
[00:17:25.181 --> 00:17:27.102]  You don't talk bad about the government.
[00:17:27.122 --> 00:17:28.562]  You don't talk about it in the pews.
[00:17:28.862 --> 00:17:30.523]  You don't talk about it in Sunday school.
[00:17:30.983 --> 00:17:32.423]  That's what America's about.
[00:17:34.764 --> 00:17:35.364]  Think about that.
[00:17:36.025 --> 00:17:37.105]  Think about how far we've come.
[00:17:37.125 --> 00:17:40.026]  Now they're going to set up checkpoints and take DNA from people.
[00:17:40.486 --> 00:17:40.886]  Blood.
[00:17:41.566 --> 00:17:42.667]  They're openly announcing it.
[00:17:42.987 --> 00:17:44.607]  Of people that are quote detained.
[00:17:47.948 --> 00:17:49.609]  Airport scanners of our naked bodies.
[00:17:51.035 --> 00:17:53.919]  Cameras in school bathrooms all over the nation hooked into the police departments?
[00:17:55.961 --> 00:18:04.572]  You fill out your income tax with what you buy, what you sell, what you do, what you own, everything about you and you waive your fourth and fifth amendment and turn it in, incriminating yourself?
[00:18:07.858 --> 00:18:14.040]  And then they lose your return, or do whatever they want, never get in trouble, and it comes out all these IRS employees don't even pay it, and it goes to offshore banks.
[00:18:14.620 --> 00:18:16.061]  This is what America's turned into.
[00:18:16.101 --> 00:18:17.781]  Going back to Pastor in Ohio.
[00:18:18.301 --> 00:18:19.462]  Pastor, let me give you the fax number.
[00:18:19.482 --> 00:18:20.862]  When you dig that out, send it to us.
[00:18:20.902 --> 00:18:22.403]  Everybody else should send these right now.
[00:18:22.903 --> 00:18:24.203]  Pastors, quit being cowards.
[00:18:24.843 --> 00:18:27.684]  You're allowed to shim the communiques of the government.
[00:18:28.084 --> 00:18:28.505]  Think about it.
[00:18:28.545 --> 00:18:30.385]  Now the government's bossing them, telling them what to do.
[00:18:30.405 --> 00:18:30.445]  866-894-1767. 866.
[00:18:36.067 --> 00:18:37.108]  8-9-4-17-67.
[00:18:37.468 --> 00:18:41.471]  That's 8-6-6-8-9-4-17-67.
[00:18:42.993 --> 00:18:47.156]  Don't procrastinate, because we need to do an article explaining how bad this is.
[00:18:47.216 --> 00:18:48.437]  I mean, you know how creepy it is?
[00:18:48.838 --> 00:18:55.363]  And a lot of listeners go to their pastors now, small churches, big churches, and say, yeah, are you part of a FEMA deal secretly?
[00:18:55.383 --> 00:18:57.205]  And they're like, get out of my office right now.
[00:18:58.052 --> 00:19:00.273]  What you're doing is questioning the Lord in Romans 13.
[00:19:01.054 --> 00:19:02.635]  Your soul is now in peril.
[00:19:03.135 --> 00:19:04.736]  You don't ask questions of your government.
[00:19:05.016 --> 00:19:06.257]  That's a terrorist action.
[00:19:06.537 --> 00:19:07.277]  I'm not joking.
[00:19:07.558 --> 00:19:09.299]  And they go, Oh God, yes Lord.
[00:19:09.319 --> 00:19:10.539]  That's it.
[00:19:10.679 --> 00:19:11.260]  I am the Lord.
[00:19:11.340 --> 00:19:12.100]  I am your preacher.
[00:19:12.781 --> 00:19:13.521]  I am the Lord.
[00:19:13.901 --> 00:19:14.242]  I am.
[00:19:14.482 --> 00:19:14.682]  I am.
[00:19:14.702 --> 00:19:16.143]  The government is our Lord.
[00:19:16.503 --> 00:19:17.463]  You do what they say.
[00:19:17.483 --> 00:19:19.224]  So we should have done what Hitler said.
[00:19:19.245 --> 00:19:20.425]  We should have done what the king said in 1776.
[00:19:21.926 --> 00:19:26.189]  Jesus should have done, you know, the three people in the lion's den, the fiery furnace.
[00:19:27.368 --> 00:19:29.549]  Moses should have done what Pharaoh said.
[00:19:31.010 --> 00:19:35.973]  Let's go back now to the pastor.
[00:19:36.514 --> 00:19:37.334]  Terry in Ohio.
[00:19:37.354 --> 00:19:43.758]  So they're sending you letters telling you what you can and can't do, but they're also reminding you in there to not be political and to follow Romans 13.
[00:19:43.858 --> 00:19:45.159]  Isn't that a free country?
[00:19:45.679 --> 00:19:49.802]  Government letters saying, here's the scripture for you, Hitler's favorite scripture.
[00:19:50.062 --> 00:19:52.764]  Pastor, what is it like to be getting this?
[00:19:53.404 --> 00:19:54.705]  Well, to be honest with you,
[00:19:55.450 --> 00:20:07.558]  It didn't bother me a bit because, first of all, as soon as I started the church, when we had the elders together and stuff like that, we started in a home and then we grew and we had a church.
[00:20:07.758 --> 00:20:17.384]  I told the people right then and there that, first of all, I wouldn't be taking a paycheck because according to what the Lord has shown me, that this is a calling and not an occupation.
[00:20:17.444 --> 00:20:19.786]  So I worked a 40 to 50 hour a week job.
[00:20:20.433 --> 00:20:26.397]  Had my own benefits and everything else, and I taught and preached on Wednesdays, Sunday morning, Sunday night.
[00:20:26.497 --> 00:20:28.798]  Well, by the way, Paul financed everything he did.
[00:20:29.319 --> 00:20:29.879]  Absolutely.
[00:20:30.379 --> 00:20:32.581]  He made tents and shared sheep.
[00:20:33.581 --> 00:20:46.870]  But one of the things that I wanted to point out to share with you and your listeners is, first of all, thank God for you, Alex, and Mr. Jones, and also for Mr. Quell, Steve Quell, you two people.
[00:20:47.574 --> 00:20:55.760]  Since I've been listening to you and been reading all your stuff online, I've watched your Obama deception, I've watched your endgame videos.
[00:20:56.240 --> 00:20:59.563]  They are absolutely fantastic and they hit the nail right on the head.
[00:21:00.203 --> 00:21:09.630]  And I am a pastor that when I stand in the pulpit, I tell people what God says, not what my interpretation of what God says.
[00:21:09.650 --> 00:21:12.793]  Well, I understand that you don't care because you're not a coward.
[00:21:13.499 --> 00:21:14.719]  Can I share something with you?
[00:21:14.739 --> 00:21:16.740]  Well sure, I'm going to hold you over and we're going to get more calls.
[00:21:16.780 --> 00:21:24.002]  But the issue is, you've got to warn other people because, I mean, this is over-the-top creepy tyranny.
[00:21:24.022 --> 00:21:26.103]  The Army is going to be out this weekend running checkpoints.
[00:21:26.343 --> 00:21:28.884]  By the way, pastors, don't criticize the government.
[00:21:28.924 --> 00:21:29.844]  We're watching you.
[00:21:30.124 --> 00:21:31.025]  We're America!
[00:21:31.365 --> 00:21:34.266]  And you're free to sit down and shut up and have your guns in.
[00:21:34.846 --> 00:21:36.406]  By the way, the bankers love you.
[00:21:36.426 --> 00:21:41.368]  And they send federal reserve representatives to all the public schools, literally all of them, that I've seen.
[00:21:42.088 --> 00:21:42.348]  Keep going.
[00:21:42.388 --> 00:21:44.790]  The Federal Reserve is run by the government and is good.
[00:21:45.290 --> 00:21:46.251]  They care about you.
[00:21:46.591 --> 00:21:47.291]  Stay there, Pastor.
[00:21:47.311 --> 00:21:47.972]  We'll be right back.
[00:21:49.773 --> 00:21:50.674]  We're on the march.
[00:21:51.174 --> 00:21:52.775]  The Empire's on the run.
[00:21:53.716 --> 00:21:56.397]  Alex Jones and the GCN Radio Network.
[00:22:00.046 --> 00:22:06.570]  Did you know that the new energy czar wants to control how much power your electrical company allows you to have?
[00:22:06.891 --> 00:22:07.511]  It's true.
[00:22:07.831 --> 00:22:13.035]  Total government control of electricity in the name of smart grid technology is coming.
[00:22:13.415 --> 00:22:14.796]  Not if, but when.
[00:22:17.293 --> 00:22:17.653]  Let's do it!
[00:22:32.762 --> 00:22:40.044]  This generator is solar powered, complete with battery backup, has no moving parts to wear out or break, and requires no gas.
[00:22:40.204 --> 00:22:43.925]  Don't wait for the Energy Czar to cut your power or raise your rates.
[00:22:44.186 --> 00:22:46.406]  Produce your own electricity for free.
[00:22:46.646 --> 00:22:48.687]  Go to MySolarBackup.com.
[00:22:48.907 --> 00:22:51.228]  That's MySolarBackup.com.
[00:22:51.468 --> 00:22:51.948]  Or call 877-327-0365.
[00:22:51.968 --> 00:22:52.008]  877-327-0365.
[00:23:00.225 --> 00:23:05.527]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:23:06.028 --> 00:23:13.031]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:23:13.611 --> 00:23:19.774]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:23:20.214 --> 00:23:22.035]  Well, Obama's already fudging.
[00:23:22.176 --> 00:23:24.597]  He's fudged since day one in this election.
[00:23:24.677 --> 00:23:35.625]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:23:36.245 --> 00:23:37.546]  It's not about left or right.
[00:23:37.926 --> 00:23:39.287]  It's about a one-world government.
[00:23:39.788 --> 00:23:46.012]  This film documents who Obama works for, the lies he is told, and his real agenda.
