[00:00:00.369 --> 00:00:06.454]  We are changed.
[00:02:15.063 --> 00:02:16.483]  Let's get that clip ready, the video clip.
[00:02:16.924 --> 00:02:18.804]  She came out in 60 minutes and said, you know what?
[00:02:18.984 --> 00:02:23.386]  Last weekend, we are going to reintroduce the assault weapons ban when the time's right.
[00:02:23.446 --> 00:02:25.386]  And by the way, it's an expanded assault weapons ban.
[00:02:26.226 --> 00:02:30.668]  To actually ban them physically and make you be federally registered and shut down gun shows.
[00:02:30.688 --> 00:02:32.168]  They're going to tag all this on.
[00:02:32.188 --> 00:02:32.989]  In fact, they have done it.
[00:02:34.749 --> 00:02:37.410]  And then now, last night on 60 Minutes, they have the Mexican
[00:02:39.787 --> 00:02:44.329]  Ambassadors saying, oh, we need to ban your guns in America, because that's what's causing the problem in Mexico.
[00:02:44.609 --> 00:02:47.791]  Not drug prohibition that makes the drug gangs make so much money.
[00:02:48.751 --> 00:02:50.292]  It's not the drug war that's caused all this.
[00:02:51.092 --> 00:02:52.973]  Increase the drugs, increase the profits, all of it.
[00:02:53.173 --> 00:02:54.114]  Everybody knows that's what did it.
[00:02:54.454 --> 00:02:57.115]  Just like prohibition of alcohol did that 80 years ago.
[00:02:58.096 --> 00:03:00.997]  And it's not that Mexico has a total gun ban for citizens.
[00:03:02.383 --> 00:03:04.584]  You know, that's why Chicago is so bad, or New York is so bad.
[00:03:04.784 --> 00:03:08.725]  And then they always use those as examples of why I need to turn my guns in in Texas.
[00:03:09.045 --> 00:03:14.326]  Because where they've got control, where the big city crime machines have control, they've disarmed everybody, so it's a hellhole.
[00:03:15.067 --> 00:03:17.567]  And they're obsessed with blaming it on us.
[00:03:17.607 --> 00:03:18.768]  Now, I said I was going to go to calls.
[00:03:19.108 --> 00:03:21.088]  I've got a lot of clips coming up I've got to get to, too.
[00:03:21.809 --> 00:03:23.029]  But Matthew, we are changed.
[00:03:23.049 --> 00:03:24.589]  You alerted us to this last hour.
[00:03:24.869 --> 00:03:26.110]  We did confirm it's accurate.
[00:03:27.399 --> 00:03:31.825]  They're saying, you know, no Alex Jones allowed, we don't want Alex Jones there.
[00:03:32.005 --> 00:03:33.447]  Hey look, I don't want to be around you either.
[00:03:34.268 --> 00:03:38.833]  It's not fun to go down and confront Len Beck and actually look at a Benedict Arnold.
[00:03:39.274 --> 00:03:42.818]  I mean, it hurts my spirit to see
[00:03:44.116 --> 00:03:47.678]  Folks, I have to tell you, I've exposed Janet Reno and gone up against her.
[00:03:47.838 --> 00:03:49.639]  I've been arrested for asking Bush a question.
[00:03:50.300 --> 00:03:53.882]  You know, there are a few people that actually put off an aura as evil as Glenn Beck.
[00:03:54.182 --> 00:03:55.483]  It's not just all the evidence I have.
[00:03:55.503 --> 00:03:56.423]  I mean, it's my guts.
[00:03:56.523 --> 00:03:58.764]  I go... I mean, it's like a dog knows when somebody's bad.
[00:03:58.784 --> 00:04:01.606]  I'm like going... And the hair is going up.
[00:04:01.646 --> 00:04:03.447]  I mean, this is bad.
[00:04:03.807 --> 00:04:05.668]  This guy is B.A.D.
[00:04:06.169 --> 00:04:09.851]  This is a treacherous, larcenous traitor who wants to steal your freedoms.
[00:04:15.410 --> 00:04:16.971]  They're here to co-opt our movement.
[00:04:17.891 --> 00:04:22.254]  Suddenly Fox News is worried about the New World Order after all these years saying it doesn't exist.
[00:04:22.474 --> 00:04:24.895]  And then they're begging for $35,000 on here.
[00:04:27.676 --> 00:04:34.720]  And so what you do is I guess you give them thousands of dollars and they tell you, be a good citizen, be polite, don't call for Obama's impeachment.
[00:04:40.882 --> 00:04:41.802]  It's just disgusting.
[00:04:42.603 --> 00:04:44.103]  Talking down to everyone.
[00:04:44.304 --> 00:05:00.371]  This is like, I remember in first grade when we were going to the zoo in Dallas, and for weeks before they would go, and you will hold hands when you go to the bathroom, and you will not raise your voice, and you will tie your shoelaces.
[00:05:02.391 --> 00:05:06.913]  Because we're following the nanny patriot leader.
[00:05:12.022 --> 00:05:12.804]  I mean, I can't even do it.
[00:05:12.824 --> 00:05:16.953]  You know, it's like a... I'm Glenn Beck.
[00:05:18.697 --> 00:05:19.619]  I'm your Patriot Leader.
[00:05:21.455 --> 00:05:22.796]  I mean, I can't even do it, man.
[00:05:22.836 --> 00:05:24.477]  I can't even do what the guy is.
[00:05:24.497 --> 00:05:26.058]  And it's not just that he's effeminate.
[00:05:26.458 --> 00:05:29.481]  He's that effeminate, ninny, backstabber.
[00:05:29.881 --> 00:05:31.162]  You know, the real fake.
[00:05:31.342 --> 00:05:33.103]  Oh, I care about you.
[00:05:33.283 --> 00:05:36.086]  When he does it, it's so fake, it's all about how he's getting it over on you.
[00:05:36.446 --> 00:05:41.249]  I promise I would have exposed the camps if they'd have been real, but they're not.
[00:05:42.010 --> 00:05:43.891]  These patriot types are McVeigh people.
[00:05:44.032 --> 00:05:44.912]  I'm worried about them.
[00:05:45.172 --> 00:05:46.653]  Next up, we need to attack Iran.
[00:05:46.974 --> 00:05:47.454]  Stay with me.
[00:05:47.734 --> 00:05:48.495]  I'll be right back.
[00:05:50.759 --> 00:05:52.122]  I mean, I can't even do it.
[00:05:55.972 --> 00:05:56.954]  I'm sorry.
[00:05:56.974 --> 00:05:58.698]  I'm tired of him.
[00:05:58.739 --> 00:05:59.861]  I can't look at him anymore.
[00:06:00.742 --> 00:06:01.583]  Alright, I'm going to shut up.
[00:06:01.603 --> 00:06:03.405]  Let's go back to Matthew in Texas.
[00:06:04.046 --> 00:06:06.989]  So, you dare to say you're going to bring the Obama deception?
[00:06:07.209 --> 00:06:08.050]  You know what's going to happen.
[00:06:08.771 --> 00:06:14.517]  The police on city property are going to try to say, In America, you can't hand free videos out.
[00:06:14.537 --> 00:06:16.540]  The veterans fought so you'd have no freedom.
[00:06:16.780 --> 00:06:21.045]  Travis died in the Valamo right there, so you'd have freedom to shut up!
[00:06:21.994 --> 00:06:27.198]  So there needs to be a bunch of you down there and catch it all on videotape, how they try to destroy freedom in America.
[00:06:27.218 --> 00:06:29.500]  And this will only blow up bigger in their face.
[00:06:29.720 --> 00:06:34.324]  The coward Beck has already said he's not going to go on stage, because I've seen video of him at other events.
[00:06:34.604 --> 00:06:41.410]  He literally looks like a dog, you know, when it's scared of thunder.
[00:06:41.670 --> 00:06:43.932]  He just, he like runs to his bodyguards.
[00:06:44.112 --> 00:06:45.734]  If anybody goes, hey Glenn Beck, what about the new order?
[00:06:45.754 --> 00:06:48.055]  He goes, and like runs.
[00:06:48.216 --> 00:06:50.738]  I mean, we can pull these videos up on YouTube, because
[00:06:52.537 --> 00:06:53.838]  Because he is cowardice.
[00:06:53.999 --> 00:06:55.000]  He is weakness.
[00:06:55.620 --> 00:06:56.681]  He is the New World Order.
[00:06:56.741 --> 00:06:57.082]  He is.
[00:06:57.142 --> 00:06:57.883]  That's why they like him.
[00:06:58.223 --> 00:06:59.745]  They go, man, this is a slime ball.
[00:07:00.345 --> 00:07:05.090]  And they also know that regular good people will see him and know there's something not right about that guy.
[00:07:05.291 --> 00:07:06.732]  And they know he's the new Patriot leader.
[00:07:06.972 --> 00:07:13.039]  He's meant to turn off everybody else and make the Patriot movement look bad, but also sucker in the dumbest.
[00:07:15.226 --> 00:07:26.073]  Alright, this show is not about Glenn Beck, but having him try to tell people that they can't be on city streets with signs, and then calling that founding father patriotism, again, it's a bait and switch.
[00:07:29.556 --> 00:07:31.817]  It's a you-know-what sandwich and I ain't taking a bite out of it.
[00:07:32.338 --> 00:07:34.159]  Alright, enough of Beck, enough of the ninny.
[00:07:34.659 --> 00:07:37.441]  But I tell you, another ninny was that James Magsay had on the show with him.
[00:07:37.481 --> 00:07:38.762]  I mean, this was like a ninny fest.
[00:07:40.435 --> 00:07:42.516]  But of course, it's cowards that serve the New World Order.
[00:07:42.536 --> 00:07:43.437]  That's what you've got to realize.
[00:07:43.477 --> 00:07:44.838]  It's cowardly, weak, scum.
[00:07:45.178 --> 00:07:50.201]  And they fool good men and women into thinking they're good, and then they use our strength to carry out the New World Order.
[00:07:50.402 --> 00:07:51.222]  Okay, Matthew, go ahead.
[00:07:52.223 --> 00:07:53.744]  And there is another fight to this, Alex.
[00:07:54.004 --> 00:08:05.512]  We were at their first meeting maybe two, three weeks ago, and two or three organizers of the San Antonio Tea Party are just the biggest Glenn Beck groupies around.
[00:08:05.532 --> 00:08:07.393]  Well, they're probably state police informants.
[00:08:08.417 --> 00:08:11.680]  No, actually, they give off that vibe very much so.
[00:08:11.740 --> 00:08:24.070]  No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
[00:08:34.878 --> 00:08:35.900]  Yeah, and I don't doubt it.
[00:08:35.940 --> 00:08:37.263]  They sent up that vibe, totally.
[00:08:37.343 --> 00:08:40.729]  And at their meeting, someone asked, well, what are we going to do after the tea party?
[00:08:40.769 --> 00:08:43.675]  And I jumped in, you know, in the Fed, it's two weeks after the 25th.
[00:08:45.453 --> 00:08:51.880]  And, um, I was like, we got, we had, at that time, we had 100 Obama Deception DVDs and 100 Fiat Empire DVDs.
[00:08:52.320 --> 00:08:53.261]  We started handing them out.
[00:08:53.662 --> 00:08:54.823]  Everybody was coming up to us.
[00:08:54.923 --> 00:08:55.564]  Oh, thank you.
[00:08:55.644 --> 00:08:56.965]  It's so good to see you guys here.
[00:08:56.985 --> 00:09:01.150]  I told one of our other younger guys, hey, it's so good to see you young people in action.
[00:09:01.210 --> 00:09:03.092]  And there, what website was that?
[00:09:03.132 --> 00:09:04.033]  In the Fed.us?
[00:09:04.233 --> 00:09:07.096]  And, um, there was another older gentleman there and he was like,
[00:09:07.458 --> 00:09:10.922]  You all need to go to InfoWars.com and people are like, what website is that?
[00:09:11.182 --> 00:09:12.463]  We're like, yeah, it's InfoWars.
[00:09:13.324 --> 00:09:15.226]  And what were the state police doing when you did that?
[00:09:16.268 --> 00:09:18.230]  Well, yeah, and that's what I'm building up to.
[00:09:18.290 --> 00:09:22.574]  After the meeting, the organizers pulled us aside and they were as peed off as anything.
[00:09:22.594 --> 00:09:23.275]  They were upset.
[00:09:23.315 --> 00:09:23.896]  They were telling us...
[00:09:24.400 --> 00:09:28.264]  You know, if you're gonna come here doing this, send us an email, yadda yadda yadda.
[00:09:28.464 --> 00:09:31.667]  And you know, I did have about five or six endgames that I handed out.
[00:09:31.687 --> 00:09:35.370]  He was like, you're here to promote Mr. Jones, and we don't want nothing to do with that.
[00:09:35.390 --> 00:09:38.172]  I was like, hey, hey, hey, y'all were talking about ending the tax.
[00:09:38.513 --> 00:09:39.934]  To end the tax, you gotta end the Fed.
[00:09:40.254 --> 00:09:40.915]  And don't you agree?
[00:09:41.055 --> 00:09:42.516]  Well, yeah, yeah, yeah, but shh, shh, shh.
[00:09:42.757 --> 00:09:43.838]  He was telling me, shh, shh, shh.
[00:09:44.658 --> 00:09:47.241]  I'm not against free speech, but then he's like, shh, shh, shh.
[00:09:47.301 --> 00:09:48.922]  Listen, you wanna break a major story?
[00:09:48.962 --> 00:09:50.644]  Now that we've said this, they probably won't be there now.
[00:09:52.423 --> 00:09:55.365]  Follow them, just run the plates on the car.
[00:09:55.545 --> 00:09:59.589]  They think you're so dumb it's probably gonna be even be an unmarked when you go outside.
[00:10:01.310 --> 00:10:02.611]  Where do they have you guys meet?
[00:10:04.713 --> 00:10:05.753]  They have their own meetup.
[00:10:06.134 --> 00:10:08.415]  It's on meetup.com, SATParty.
[00:10:08.636 --> 00:10:10.777]  I'm a member of that meetup.
[00:10:10.817 --> 00:10:13.519]  Where do they have you meet though?
[00:10:13.539 --> 00:10:17.222]  They have meetings at a hamburger joint called the Time Machine.
[00:10:18.423 --> 00:10:19.604]  And what do the leaders look like?
[00:10:21.901 --> 00:10:24.163]  Eric Adams is one of the main organizers.
[00:10:24.223 --> 00:10:26.925]  He's the guy who's kissed Glenn Beck's hand.
[00:10:27.185 --> 00:10:29.707]  He's the guy who lobbied him to get down here.
[00:10:29.727 --> 00:10:30.187]  Now I understand.
[00:10:30.207 --> 00:10:30.927]  What's he look like?
[00:10:31.628 --> 00:10:33.329]  He's a skinny guy going bald.
[00:10:33.990 --> 00:10:34.950]  Very full of himself.
[00:10:35.010 --> 00:10:36.111]  He's just going on and on.
[00:10:36.271 --> 00:10:38.313]  It was all him that brought Glenn Beck down.
[00:10:38.333 --> 00:10:39.293]  He's a skinny guy.
[00:10:39.473 --> 00:10:40.714]  He may not be a cop then.
[00:10:41.134 --> 00:10:43.096]  Okay, what's the other one look like?
[00:10:44.501 --> 00:10:48.244]  Oh, there is one that looks like he might be a cop, big ol' pot belly.
[00:10:48.924 --> 00:10:56.710]  Well, there's usually, there'll usually be one behind the front man that'll be the operative.
[00:10:56.750 --> 00:11:03.895]  We didn't actually see any of your stereotypical bald head tattooed guys around, but if anybody did look like them.
[00:11:04.135 --> 00:11:11.180]  Yeah, goateed, in shape, looks like a criminal.
[00:11:11.220 --> 00:11:12.541]  That's B-A-T-F or FBI.
[00:11:15.103 --> 00:11:18.309]  Normally the types they've got infiltrating us are Army, Intelligence, or State Police.
[00:11:18.610 --> 00:11:19.451]  They'll be about 6-2, 6-3, clean cut.
[00:11:23.510 --> 00:11:28.194]  Usually they're not in super good shape, I think, if they've been on so many details out surveilling people.
[00:11:29.375 --> 00:11:32.357]  Well, you can see them in Obama Deception, the guy that's following us in the parking lot.
[00:11:32.677 --> 00:11:33.498]  That's what they look like.
[00:11:33.538 --> 00:11:34.719]  They look always the same.
[00:11:35.159 --> 00:11:40.683]  But then they'll have another guys with like little mustaches and, you know, like a painter's cap, who'll play the part of the liberal.
[00:11:41.024 --> 00:11:42.865]  And then they'll be like, let's kill cops, let's attack!
[00:11:42.925 --> 00:11:45.187]  And you follow them out and they got a cop car, you know, they get in.
[00:11:45.507 --> 00:11:46.368]  Alright, good job.
[00:11:46.588 --> 00:11:47.309]  Good to hear from you.
[00:11:47.329 --> 00:11:49.710]  Glad you're exposing the operations of the establishment.
[00:11:50.151 --> 00:11:51.972]  You're not going to infiltrate and take us over, okay?
[00:11:51.992 --> 00:11:52.693]  You can't stop us.
[00:11:53.153 --> 00:11:53.733]  We'll be right back.
[00:11:53.754 --> 00:11:54.094]  Stay with us.
[00:11:55.250 --> 00:12:00.734]  Did you know many vitamin and mineral supplements on the market are made from rocks and ground up shells?
[00:12:01.234 --> 00:12:01.934]  Think about that.
[00:12:01.994 --> 00:12:04.636]  Would you swallow a handful of shells you found at the beach?
[00:12:05.116 --> 00:12:08.058]  Our body wasn't designed to digest rocks and shells.
[00:12:08.319 --> 00:12:18.125]  Hello, my name is Dr. David Friedman, formulator of Chews for Health, a delicious tasting, chewable dietary supplement derived from 16 fruits, vegetables, and antioxidants.
[00:12:18.565 --> 00:12:24.149]  Unlike hard-to-digest pills, Choose for Health is a convenient chewable which allows for better digestion.
[00:12:24.389 --> 00:12:25.429]  The choice is yours.
[00:12:25.570 --> 00:12:30.833]  Swallow rocks and shells to supplement your diet or a natural chewable product you can better digest.
[00:12:31.173 --> 00:12:35.976]  Choose for Health, the world's first superfruit, sea vegetable, antioxidant chewable.
[00:12:36.236 --> 00:12:39.798]  Whole food nutrition, not rocks and shells.
[00:12:39.818 --> 00:12:41.720]  1-800-210-1922.
[00:12:42.840 --> 00:12:47.263]  Call now and receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:12:47.363 --> 00:12:52.870]  1-800-210-1922 or go to orderchoose.com.
[00:12:55.873 --> 00:13:01.120]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:13:01.901 --> 00:13:07.244]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:13:07.785 --> 00:13:13.988]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:13:14.289 --> 00:13:16.090]  Well, Obama's already fudging.
[00:13:16.250 --> 00:13:18.631]  He's fudged since day one in this election.
[00:13:18.711 --> 00:13:29.598]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:13:31.889 --> 00:13:33.150]  It's not about left or right.
[00:13:33.570 --> 00:13:34.951]  It's about a one world government.
[00:13:35.411 --> 00:13:41.775]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:13:42.336 --> 00:13:50.121]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:13:50.601 --> 00:13:51.742]  The Obama Deception.
[00:13:52.162 --> 00:13:53.363]  The people strike back.
[00:13:56.445 --> 00:13:58.407]  Are you wondering about your retirement portfolio?
[00:13:58.787 --> 00:14:04.773]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:14:05.033 --> 00:14:08.956]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:14:09.177 --> 00:14:16.003]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:14:16.323 --> 00:14:21.865]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:14:22.225 --> 00:14:29.607]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:14:33.029 --> 00:14:33.289]  I think so.
[00:14:55.427 --> 00:14:56.848]  Are you embarrassed by your legs?
[00:14:57.268 --> 00:14:58.969]  Are your legs sore and irritated?
[00:14:59.249 --> 00:15:02.451]  Millions of women suffer from leg pain due to varicose veins.
[00:15:02.691 --> 00:15:07.354]  When varicose veins prevent you from living and enjoying your everyday life, you need Venulux.
[00:15:07.654 --> 00:15:12.937]  Venulux is a dietary tool formulated to restore naturally beautiful legs from the inside out.
[00:15:13.177 --> 00:15:20.961]  As part of your healthy lifestyle, Venulux promotes antioxidant action throughout your body to calm varicose veins and support fit legs for life.
[00:15:21.281 --> 00:15:27.105]  VaniLuxe has helped women all over the world relieve varicose vein pain and restore the confidence to bare their legs.
[00:15:27.445 --> 00:15:31.968]  Now it's your chance to benefit with VaniLuxe free when you call 1-888-4FITLEG today.
[00:15:32.048 --> 00:15:35.230]  That's 1-888-4FITLEG or visit us on the web at 4fitleg.com.
[00:15:35.410 --> 00:15:38.071]  And remember, when you call 1-888-4FITLEG, ask how to get your VaniLuxe free.
[00:15:38.091 --> 00:15:38.992]  That's 1-888-4FITLEG.
[00:15:49.445 --> 00:15:52.948]  I just can't believe the stuff the new order comes up with, that's all.
[00:15:55.711 --> 00:15:58.133]  I mean, I can't.
[00:16:14.355 --> 00:16:20.227]  Some ninnying liar saying patriots are McVeigh bombers and we go, oh you're such a patriot we love you!
[00:16:20.607 --> 00:16:23.092]  And you can't have any free speech either, oh yes that's freedom!
[00:16:25.036 --> 00:16:25.737]  She makes me sick.
[00:16:28.317 --> 00:16:31.198]  Okay, we are back live, ladies and gentlemen.
[00:16:31.218 --> 00:16:31.458]  Look at this.
[00:16:31.738 --> 00:16:34.399]  Gordon Brown's plan for an army of teen volunteers.
[00:16:34.799 --> 00:16:40.580]  Gordon Brown has vowed to make every young person do 50 hours of voluntary work by the time they reach the age of 19.
[00:16:40.680 --> 00:16:42.681]  I am actually living in 1984.
[00:16:43.601 --> 00:16:45.841]  Can you put that London Telegraph up on screen, Sharon?
[00:16:46.622 --> 00:16:48.442]  Now, what's wrong with this headline?
[00:16:48.842 --> 00:16:51.423]  Gordon Brown has vowed to make every young person do 50 hours
[00:16:53.366 --> 00:16:56.968]  Make every young person do 50 hours of voluntary work.
[00:16:57.488 --> 00:17:02.271]  Make every young person do 50 hours of voluntary work by the time they reach the age of 19.
[00:17:03.131 --> 00:17:03.451]  Make.
[00:17:04.031 --> 00:17:05.272]  Make volunteer.
[00:17:05.672 --> 00:17:06.973]  Make you volunteer.
[00:17:07.573 --> 00:17:08.153]  Make you.
[00:17:09.614 --> 00:17:12.696]  That's like, I made this woman volunteer to have sex with me.
[00:17:13.616 --> 00:17:14.917]  I, uh, I mean, no, literally.
[00:17:14.997 --> 00:17:15.837]  I know, I'm sorry.
[00:17:15.877 --> 00:17:16.458]  That's what this is.
[00:17:18.442 --> 00:17:20.103]  I mean, I wonder if rapists will use that.
[00:17:20.883 --> 00:17:23.684]  Hey, I made her volunteer.
[00:17:23.724 --> 00:17:25.565]  I put a gun to her head and I made her volunteer.
[00:17:26.025 --> 00:17:30.386]  Or, I made my neighbor volunteer to sell me their house for a dollar.
[00:17:30.927 --> 00:17:37.649]  The house is worth $200,000, but I made my neighbor, by putting a .45 to their head, sell me their house for a dollar.
[00:17:38.309 --> 00:17:41.191]  How about, I made my neighbor give me the house.
[00:17:41.691 --> 00:17:44.412]  The neighbor wouldn't listen, so I shot his daughter.
[00:17:45.292 --> 00:17:47.313]  And then he gave me the house.
[00:17:48.666 --> 00:17:50.147]  Give me the house or she dies!
[00:17:50.167 --> 00:17:53.048]  Okay, see?
[00:17:53.068 --> 00:17:54.529]  I made him volunteer!
[00:17:54.549 --> 00:18:01.652]  I mean, this is 1984, folks, and notice... What's going on in England?
[00:18:02.072 --> 00:18:02.952]  What's going on in Canada?
[00:18:02.972 --> 00:18:03.712]  What's going on in Australia?
[00:18:03.732 --> 00:18:04.653]  What's going on in the United States?
[00:18:05.033 --> 00:18:14.137]  Everywhere it's, oh, in middle school, 50 hours, in high school, 100 hours, and then 18 to 25 compulsory military disaster training and fatigues at military bases.
[00:18:15.256 --> 00:18:16.777]  And they go, uh, the bill's introduced.
[00:18:17.057 --> 00:18:17.417]  Shut up!
[00:18:17.437 --> 00:18:18.358]  It doesn't exist, Alex!
[00:18:18.578 --> 00:18:19.939]  Well, uh, here's five different bills.
[00:18:20.439 --> 00:18:20.919]  H.R.
[00:18:21.139 --> 00:18:21.700]  444 and others.
[00:18:24.281 --> 00:18:26.862]  And the left is like, well, maybe we need compulsory service.
[00:18:27.122 --> 00:18:28.463]  Al-Qaeda did hit us hard.
[00:18:29.023 --> 00:18:30.324]  But it's only volunteering!
[00:18:30.544 --> 00:18:32.005]  They only make you volunteer!
[00:18:32.285 --> 00:18:33.986]  They only make you put a uniform on!
[00:18:34.146 --> 00:18:35.047]  It's volunteering!
[00:18:35.067 --> 00:18:38.349]  You know, I said I'd take your calls.
[00:18:39.602 --> 00:18:41.765]  But Forrest hung up and Debbie and everybody else.
[00:18:41.805 --> 00:18:42.205]  You know what?
[00:18:42.486 --> 00:18:43.847]  Maybe I should never take calls anymore.
[00:18:44.288 --> 00:18:46.891]  Because I can't get to all this news.
[00:18:47.452 --> 00:18:54.641]  I have this huge mega-viral story going everywhere about bird flu, but everybody's ignoring all the real bird flu news.
[00:18:55.906 --> 00:19:02.228]  I have this federal report where they're saying gun owners are terrorists and the feds are getting ready to come after us and that free speech may not be free speech.
[00:19:02.968 --> 00:19:09.250]  I've got all this eugenics news here and I want to go to your calls but I got Naomi Wolf coming up and then Joe Bannister.
[00:19:09.270 --> 00:19:11.070]  I'll have no time to play these clips if I don't go to them.
[00:19:11.430 --> 00:19:11.811]  Doesn't matter.
[00:19:11.831 --> 00:19:14.171]  Let's go to a few more here.
[00:19:16.592 --> 00:19:18.933]  Let's talk to Zach in Texas and Dustin in Germany.
[00:19:18.953 --> 00:19:19.693]  I'll at least get to them.
[00:19:19.733 --> 00:19:20.053]  Go ahead.
[00:19:21.235 --> 00:19:23.236]  Hey Alex, this is Zach in Houston.
[00:19:24.116 --> 00:19:30.478]  I wanted to talk to you about KHOU Channel 11 here in the Houston area.
[00:19:31.338 --> 00:19:34.419]  Like three weeks ago I was up in the morning about 6 a.m.
[00:19:34.899 --> 00:19:48.303]  getting ready to go to work and they made an announcement that said the Texas City Refinery, that's where I live, will be releasing extra amounts of sulfur dioxide into the air due to a pressure problem and that
[00:19:49.099 --> 00:19:51.520]  It would affect people with allergies that day.
[00:19:52.440 --> 00:19:57.982]  And I would never pay to know mine until I heard that person on your show last week talking about sulfur dioxide.
[00:19:58.062 --> 00:20:00.122]  Yeah, that's in the official government reports.
[00:20:00.142 --> 00:20:08.865]  They're spraying us with sulfur dioxide, aluminum, barium, salts, and other things that attack your body.
[00:20:09.565 --> 00:20:15.487]  Okay, and so basically another question I had about that is I have an outdoor garden, all organic and everything.
[00:20:15.507 --> 00:20:17.067]  Do you think that crap is affecting it?
[00:20:19.130 --> 00:20:24.554]  Well, I mean, I'm not... I've seen the statistics in living in Houston or surrounding areas.
[00:20:25.055 --> 00:20:28.818]  So many decades of toxic waste being dumped, buried homes.
