[00:00:00.049 --> 00:00:01.361]  Moron for your mind.
[00:05:01.019 --> 00:05:02.539]  It's good to be back on again.
[00:05:02.959 --> 00:05:27.624]  Yeah, basically, um... Well, if we want to start with what we make of it, then, um... That's pretty clear, I think, from the articles we wrote, but... Basically... Um... It's the... Well... We don't want to tell people what to think, but it's either... It's either clearly a propaganda piece, or it's... Some... Somebody who's... Somehow...
[00:05:28.797 --> 00:05:34.959]  An insider has been able to get this into a major British newspaper.
[00:05:35.379 --> 00:05:37.660]  But, I mean, we've got to be clear about it.
[00:05:39.081 --> 00:05:40.881]  It's not 1984 by George Orwell.
[00:05:40.921 --> 00:05:42.622]  It's not an artistic masterpiece.
[00:05:42.702 --> 00:05:57.687]  It's basically, to begin with, it was a set of poorly photoshopped images just thrown together of major cities being nuked, basically.
[00:05:58.268 --> 00:06:09.235]  And, um, it's very difficult to understand why that was able to get into a major, one of the biggest newspapers in the world, essentially.
[00:06:10.276 --> 00:06:22.524]  Um, but there's a, there's a series of commenters on the articles who have started to question why we're even questioning it.
[00:06:23.144 --> 00:06:24.945]  Saying, you know, it's good, what's wrong with it?
[00:06:25.466 --> 00:06:26.106]  And saying that it's
[00:06:26.585 --> 00:06:31.889]  It's suspicious that we're even covering it, and even accusing us of being fear-mongering.
[00:06:31.969 --> 00:06:38.893]  But basically, we're not the ones posting poorly photoshopped images of cities being nuked.
[00:06:39.333 --> 00:06:40.214]  Well, let's explain.
[00:06:40.254 --> 00:06:41.575]  I mean, I know why they're doing this.
[00:06:41.615 --> 00:06:42.755]  This is done viciously.
[00:06:43.976 --> 00:06:44.997]  We can debate, but I know.
[00:06:45.437 --> 00:06:46.238]  I've studied the enemy.
[00:06:46.978 --> 00:06:48.259]  They want to create panic.
[00:06:48.319 --> 00:06:53.923]  They want to create fear, so that when they trigger things, people will panic, so they have an excuse to bring in even more control.
[00:06:53.943 --> 00:06:55.624]  That's what they show after the nuke goes off.
[00:06:56.144 --> 00:07:00.485]  Everybody lines the pumps, society breaks down, martial law at the end saves us though.
[00:07:00.826 --> 00:07:07.388]  We go to FEMA camps, North American Union saves us, British Union saves us with the EU, World Government saves us.
[00:07:07.728 --> 00:07:09.509]  And what did the Wall Street Journal say last week?
[00:07:09.909 --> 00:07:12.289]  They said the New World Order will save you!
[00:07:14.270 --> 00:07:17.311]  And they said that that's the only thing that will.
[00:07:17.351 --> 00:07:20.592]  So they have to introduce this everywhere, so they're doing it.
[00:07:20.772 --> 00:07:21.433]  But just go ahead.
[00:07:23.133 --> 00:07:25.634]  Well yeah, I mean, that's why I believe it to be a
[00:07:26.195 --> 00:07:27.095]  Propaganda piece.
[00:07:27.155 --> 00:07:37.218]  It's made to look, or it was in the beginning, it was made to look crude on purpose in order to discredit, you know, every issue that was brought up within it.
[00:07:38.098 --> 00:07:55.562]  You know, be that North American Union, be it internment camps, false flag terror, by putting it into the pages of a comic strip or crude photoshopped images, it kind of demeans the subjects, which are, you know, which do need to be
[00:07:56.184 --> 00:07:59.725]  Rationally debated, and they are real agendas.
[00:07:59.805 --> 00:08:02.486]  And which the establishment itself is fear-mongering about.
[00:08:04.227 --> 00:08:04.827]  Well, exactly.
[00:08:04.867 --> 00:08:08.168]  And if you ask yourself, why is this in the Telegraph?
[00:08:08.428 --> 00:08:15.571]  I mean, the majority of Telegraph readers are conservative English people in their 50s or their 60s.
[00:08:16.171 --> 00:08:21.213]  So what are they going to take from a series of crude Photoshop images
[00:08:21.598 --> 00:08:25.921]  Yeah, this is not some cyberpunk comic book shop publication.
[00:08:26.441 --> 00:08:26.902]  Well, exactly.
[00:08:26.922 --> 00:08:28.843]  They're not going to think, oh, this is a warning.
[00:08:28.903 --> 00:08:29.884]  I need to look into this.
[00:08:29.904 --> 00:08:34.367]  They're just going to dismiss every issue in there as, you know, pulp fiction.
[00:08:38.089 --> 00:08:48.256]  But, you know, it's been touted as fiction, you know, but we know that there's agendas to implement domestic police state control.
[00:08:49.306 --> 00:08:54.349]  Well, we'll get to that in a moment, but I just want to add the point now, the addendum here.
[00:09:04.252 --> 00:09:05.253]  That you're absolutely right.
[00:09:05.313 --> 00:09:15.620]  This is meant, while they're simultaneously in the Financial Times saying, world government's good, we kept it secret from you for your own good, we're taking over, it's dictatorial, you'll have no rights, but we know what's best.
[00:09:15.980 --> 00:09:19.943]  While all these hundreds of publications are announcing world government, that's the answer to the crisis.
[00:09:21.129 --> 00:09:31.595]  They then are muddying the waters with it in entertainment, and right there in the news pages, to where when you mention it to people, they'll say, oh you got that out of the comics.
[00:09:32.515 --> 00:09:36.537]  So again, this is psych warfare very, very clearly.
[00:09:36.757 --> 00:09:39.099]  But yeah, let's look at who owns the London Telegraph.
[00:09:41.260 --> 00:09:46.502]  Okay, well, when was the London Telegraph established?
[00:09:46.543 --> 00:09:47.323]  It was established in
[00:09:48.760 --> 00:09:52.422]  In the, uh, mid-1800s by British nobility.
[00:09:52.442 --> 00:10:12.292]  It's been owned by... All along the line, it's been owned by Barons, Viscounts, all the way up to Conrad Black, uh, who recently was involved in scandal and then had to sell the telegraph to the Barclay brothers, uh, Frederick and David Barclay, who now own and run the telegraph.
[00:10:13.693 --> 00:10:17.275]  Both regular attendees at Bilderberg meetings, um,
[00:10:17.867 --> 00:10:20.333]  Basically, they're not going to print anything.
[00:10:20.694 --> 00:10:25.105]  It's not some rag that's going to print a few poorly thrown together.
[00:10:26.457 --> 00:10:28.558]  Images.
[00:10:28.638 --> 00:10:32.700]  And right now we're showing images of the US and England.
[00:10:32.740 --> 00:10:34.821]  They put millions in concentration camps.
[00:10:34.941 --> 00:10:36.081]  It's the right thing to do.
[00:10:36.101 --> 00:10:38.622]  So they're showing everybody what's supposed to happen.
[00:10:38.682 --> 00:10:42.144]  Riot police crush anyone protesting, is aiding terrorists.
[00:10:42.544 --> 00:10:45.505]  They claim that Syria and Iran detonated the nukes.
[00:10:45.545 --> 00:10:48.326]  So the United States and England nuke those nations.
[00:10:49.127 --> 00:10:51.788]  And then at the end of the comic book, the North American Union saves us.
[00:10:54.940 --> 00:10:58.321]  It says stay at home, await further instructions, emergency transmission.
[00:10:58.961 --> 00:11:04.243]  So they're just preparing the subconscious for when this really happens so that we'll go along with it.
[00:11:04.283 --> 00:11:06.243]  They are map making in the mind.
[00:11:07.644 --> 00:11:07.944]  Steve?
[00:11:08.904 --> 00:11:11.045]  Yeah, I mean, preparing the subconscious, yeah.
[00:11:11.505 --> 00:11:15.826]  That's classic, you know, description of what propaganda is.
[00:11:16.727 --> 00:11:21.228]  If you read Propaganda by Edward Bernays,
[00:11:22.788 --> 00:11:26.689]  Definitive text on it, written in the 20s.
[00:11:29.149 --> 00:11:30.309]  He goes over it in detail.
[00:11:30.329 --> 00:11:31.770]  I can read you some quotes if you'd like.
[00:11:31.970 --> 00:11:32.590]  Yeah, stay there.
[00:11:32.630 --> 00:11:33.550]  Let's go over it when we get back.
[00:11:33.570 --> 00:11:38.871]  Folks should go to Infowars.net and PrisonPlanet.com and read all three of the series.
[00:11:39.171 --> 00:11:45.392]  You can find the latest one posted today and then backtrack with links to the original part one he did on their part one.
[00:11:45.752 --> 00:11:46.732]  And look at it for yourself.
[00:11:47.072 --> 00:11:50.153]  And of course in the real world they're now implementing all of this.
[00:11:50.213 --> 00:11:51.153]  The FEMA camps, everything.
[00:11:51.883 --> 00:11:53.624]  I can't wait to get their hands on your children.
[00:11:54.304 --> 00:11:57.965]  When times get tough, we must all decide what's most important in life.
[00:11:58.265 --> 00:12:03.286]  At EnduringRose.com, we believe that lasting relationships are what make life most meaningful.
[00:12:03.746 --> 00:12:08.007]  Showing our loved ones that we care is what helps us find happiness in an uncertain world.
[00:12:08.548 --> 00:12:09.848]  Enduring Rose can help.
[00:12:10.228 --> 00:12:16.350]  We have taken real roses, the universal symbols of love, and coated them in eternal and precious 24 karat gold.
[00:12:16.790 --> 00:12:20.811]  These roses, forever preserved in either white or yellow gold, will never wither and never
[00:12:22.273 --> 00:12:22.753]  I think so.
[00:12:41.730 --> 00:12:46.638]  That's E-N-D-U-R-I-N-G Rose and DuringRose.com or call 702-453-7455.
[00:12:46.658 --> 00:12:47.019]  That's 702-453-7455.
[00:12:53.675 --> 00:12:59.877]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:13:00.337 --> 00:13:08.099]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:13:08.459 --> 00:13:14.021]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt
[00:13:14.375 --> 00:13:16.316]  Ensuring inflation and higher taxes.
[00:13:16.616 --> 00:13:21.359]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:13:21.699 --> 00:13:26.422]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:13:26.922 --> 00:13:30.785]  A gripping adventure into the secret world of international banking cartel.
[00:13:31.285 --> 00:13:32.286]  Hi, this is Ted Anderson.
[00:13:32.366 --> 00:13:36.448]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:13:36.868 --> 00:13:38.249]  Call 1-800-686-2237 and order a copy today.
[00:13:41.764 --> 00:13:44.325]  It's critical that the public be made aware of the system.
[00:13:44.745 --> 00:13:47.326]  Call and order your copy today at 1-800-686-2237.
[00:13:48.647 --> 00:13:50.427]  That's 1-800-686-2237.
[00:13:51.568 --> 00:13:59.411]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:13:59.791 --> 00:14:01.452]  The enemy struck America on September 11th.
[00:14:02.423 --> 00:14:03.464]  But who is the enemy?
[00:14:03.965 --> 00:14:04.465]  Bin Laden.
[00:14:04.765 --> 00:14:05.746]  This is his M.O.s.
[00:14:05.766 --> 00:14:07.068]  We have to look to the Middle East.
[00:14:07.128 --> 00:14:08.770]  We have to look to Osama Bin Laden.
[00:14:09.130 --> 00:14:15.897]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:14:16.297 --> 00:14:16.738]  Some U.S.
[00:14:16.778 --> 00:14:22.404]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:14:23.104 --> 00:14:26.607]  I'm aware that some Israeli citizens have been detained.
[00:14:26.627 --> 00:14:29.409]  Either you are with us, or you are with the terrorists.
[00:14:52.987 --> 00:14:56.628]  Everyone knows that omega-3 should be an essential part of our daily diet.
[00:14:56.708 --> 00:15:02.350]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:15:02.430 --> 00:15:06.491]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:15:06.771 --> 00:15:09.051]  Nature's gem, premium omega-3.
[00:15:09.231 --> 00:15:15.133]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures.
[00:15:15.293 --> 00:15:15.833]  We're good to go!
[00:15:44.486 --> 00:15:47.287]  GoldenFLAX.com or call 800-387-5516.
[00:15:47.327 --> 00:15:50.009]  That's 800-387-5516.
[00:15:50.669 --> 00:15:52.370]  Free shipping included.
[00:15:52.390 --> 00:16:01.715]  Alright, in the interest of time, let's go right back to Steve Watson and cut the great music.
[00:16:03.115 --> 00:16:05.356]  I don't think I played it on purpose.
[00:16:11.235 --> 00:16:13.657]  Alright, Steve, you've got the floor.
[00:16:13.697 --> 00:16:15.679]  I can sit here and interrupt all day and make my points.
[00:16:15.799 --> 00:16:21.884]  Go through the propaganda, go through what this series covers, then get into the Bernays' quotes.
[00:16:21.904 --> 00:16:24.486]  We're going to put the... I'm going to give you the floor during this segment.
[00:16:24.746 --> 00:16:25.547]  Just roll with it.
[00:16:26.948 --> 00:16:35.755]  Okay, well let's just go back and go to the start and go through what is actually in Operation Blackjack.
[00:16:36.435 --> 00:16:40.779]  So essentially, it began with Part 1 last month in January.
[00:16:42.203 --> 00:16:47.845]  It was running in the Arts and Culture section of the London Telegraph, one of the biggest newspapers in the world.
[00:16:49.745 --> 00:17:02.788]  The first sort of installment showed pictures of MI5 logos with the date June the 20th and the caption saying MI5 report warns government of imminent terrorist attack.
[00:17:04.829 --> 00:17:09.630]  So then the date jumps forward to June the 21st, shows a caption of what is
[00:17:09.960 --> 00:17:19.045]  Apparently a large nuclear device, um, sorry, a small nuclear device loaded into a white van, uh, in the centre of London.
[00:17:20.166 --> 00:17:32.392]  Then it shows people panicking, buying groceries, fleeing the city, and then on, it jumps to June the 22nd, and there's a, an image of a nuclear explosion over the city.
[00:17:32.412 --> 00:17:39.416]  Uh, it then shows various photoshopped, crude images of sort of ruins of famous
[00:17:40.845 --> 00:17:43.586]  London landmarks such as, you know, Big Ben, etc.
[00:17:44.406 --> 00:17:45.266]  Houses of Parliament.
[00:17:45.626 --> 00:17:47.567]  And then that's where Part One ended.
[00:17:47.947 --> 00:17:54.008]  So, you know, wasn't a lot in there to go on to begin with, so very strange.
[00:17:54.048 --> 00:17:55.909]  That's when we started questioning why it was in there.
[00:17:56.549 --> 00:18:00.170]  Part Two comes along about a week later.
[00:18:01.290 --> 00:18:07.812]  It continues the theme, but with images of nukes going off in New York, Washington DC, LA,
[00:18:08.590 --> 00:18:18.593]  Portland, Mexico City, Toronto, and then another series of sort of crumbling remains of these major cities.
[00:18:21.034 --> 00:18:23.975]  So, I mean, it wasn't really even a plot or a storyline.
[00:18:23.995 --> 00:18:35.058]  It was just, at this point, it was just a series of pictures put together on Photoshop, supposed to, you know, depict this situation.
[00:18:36.775 --> 00:19:06.558]  The final image of Part 2 is an important one, because it showed a sort of mock screenshot, I think you've already had it up on the screen there, for the viewers, of an emergency transmission from the Department of Homeland Security, which reads, stay at home and await further instructions, and then it has a sort of, an eagle, and if you've seen pictures of Nazi propaganda and things, and flags, etc, symbolism, it's exactly the same as that, and it's perched on top of a globe.
[00:19:07.119 --> 00:19:09.741]  And underneath are the words, Union of North America.
[00:19:10.681 --> 00:19:18.486]  And then below that, the words, Novus Ordo Seclorum, which translates as New Order of the Ages, or traditionally New World Order.
[00:19:19.706 --> 00:19:28.692]  And then there's also images of British policemen with this kind of, these kind of images on their uniforms and helmets, etc.
[00:19:30.533 --> 00:19:35.055]  And then, part three, kind of, it changed into a comic book style.
[00:19:36.738 --> 00:19:48.087]  So at this point you've got a series of nuclear attacks have gone off to usher in a sort of fascist world government headed by a union of America, UK, Canada and Mexico.
[00:19:48.908 --> 00:20:02.519]  And then it sort of switches to this comic strip which shows a group of men, supposedly officials of this new union, seemingly pleased with
[00:20:05.020 --> 00:20:07.501]  God bless you and God bless the Union of North America.
[00:20:08.062 --> 00:20:16.567]  Seemingly pleased with the reports that they're pouring over of casualties and destruction.
[00:20:17.087 --> 00:20:20.269]  And they say, oh, this has exceeded our wildest expectations.
[00:20:20.289 --> 00:20:21.790]  We need to move on to phase two.
[00:20:22.430 --> 00:20:34.217]  So at that point, you're clearly supposed to deduce that these people who are representing a new form of government are somehow involved in the operation related to the attacks.
[00:20:35.259 --> 00:20:59.585]  And then, as we've gone over, the further images show military attacks on Iran, Syria, China, domestic police, state, martial law, concentration camps set up to hold collaborators and dissenters, images of the Amero coin indicating that a new global currency is being created.
[00:21:01.145 --> 00:21:03.946]  And that's where Part 3 ends.
[00:21:04.847 --> 00:21:07.589]  So, who knows if there's going to be a part four.
[00:21:09.271 --> 00:21:14.975]  But if there is a part four, I assume that, you know, this is all going to be there to save everyone.
[00:21:15.516 --> 00:21:21.160]  Well, Steve, I did see some tiles in there where it's like, oh, the panic's over, you know, the economy's back.
[00:21:21.261 --> 00:21:23.382]  I did see one along those lines at the end.
[00:21:24.523 --> 00:21:28.867]  But there's more than just them conditioning our subconscious here.
[00:21:30.548 --> 00:21:32.390]  Psychopaths like to leave tokens.
[00:21:34.318 --> 00:21:37.520]  At their crime scenes, they like to call and taunt the police.
[00:21:38.141 --> 00:21:39.382]  They like to brag!
[00:21:39.482 --> 00:21:42.965]  So, coming from this paper, it's just very chilling.
[00:21:44.186 --> 00:21:45.086]  We're on the march.
[00:21:45.587 --> 00:21:47.168]  The empire's on the run.
[00:21:48.109 --> 00:21:50.971]  Alex Jones and the GCN Radio Network.
[00:21:55.855 --> 00:21:57.756]  With rising unemployment and an economy
[00:22:03.866 --> 00:22:05.348]  Are your kids safe when they go out?
[00:22:05.988 --> 00:22:09.572]  Everyone needs something to give that extra edge in case of an attack.
[00:22:09.993 --> 00:22:13.516]  You need DPS pepper spray from MrDefense.com.
[00:22:13.997 --> 00:22:19.002]  DPS is the strongest pepper spray on the market and is the same spray used by hundreds of law enforcement officers.
[00:22:24.326 --> 00:22:24.846]  We're good to go!
[00:22:53.760 --> 00:22:55.781]  May I have everybody's attention, please?
[00:22:55.921 --> 00:22:58.322]  I've come with a message of information.
[00:22:58.342 --> 00:23:00.922]  9-11 was an inside job.
[00:23:00.982 --> 00:23:02.143]  Do you like being a puppet, sir?
[00:23:02.163 --> 00:23:03.783]  Do you like being a puppet for the New World Order?
[00:23:03.883 --> 00:23:06.684]  How do the American people know that 9-11 was a state?
[00:23:06.704 --> 00:23:11.586]  It wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFO of our country.
[00:23:20.064 --> 00:23:24.847]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:23:24.907 --> 00:23:26.028]  An inside job.
[00:23:28.704 --> 00:23:29.804]  How dare you?
[00:23:31.145 --> 00:23:36.206]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:23:36.226 --> 00:23:38.647]  All hell is breaking loose on 6th Avenue.
[00:23:38.687 --> 00:23:45.269]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of... Truth Rises.
[00:23:45.349 --> 00:23:48.170]  Download the film at PrisonPlanet.tv right now.
[00:23:48.430 --> 00:23:50.430]  Or get the DVD at Infowars.com.
[00:23:50.690 --> 00:23:53.151]  It's now time to take the revolution to the next level.
[00:23:53.766 --> 00:23:55.267]  Alex Jones here with a question.
[00:23:55.447 --> 00:23:56.888]  What does humidity mean to you?
[00:23:57.188 --> 00:23:59.430]  Most people think of hot and sticky summer days.
[00:23:59.870 --> 00:24:04.613]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:24:05.014 --> 00:24:07.855]  That's why I'd like you to visit acolablue.com.
[00:24:08.196 --> 00:24:11.678]  Acolablue is a state-of-the-art atmospheric water generator.
[00:24:12.105 --> 00:24:24.072]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system, which produces great tasting water at an unbeatable price.
[00:24:24.652 --> 00:24:26.634]  Finally, drinking water that you control.
[00:24:26.654 --> 00:24:27.954]  I use one every day.
[00:24:28.375 --> 00:24:30.836]  Say goodbye to expensive water delivery services.
[00:24:31.076 --> 00:24:31.637]  We're good.
[00:24:54.085 --> 00:25:08.770]  We are in process of developing a whole series of techniques which will enable the controlling oligarchy to get people actually to love their servitude.
[00:25:08.830 --> 00:25:17.832]  People can be made to enjoy a state of affairs which, by any decent standard, they ought not to enjoy.
[00:25:17.852 --> 00:25:20.193]  Perhaps you had better start from the beginning.
[00:25:25.632 --> 00:25:37.582]  Too many kids are what's making the planet worse.
[00:25:37.863 --> 00:25:40.065]  A lot of these kids come from bad gene pools.
[00:25:40.185 --> 00:25:42.667]  They don't have stable parents making good decisions.
[00:25:44.838 --> 00:25:50.781]  Mercury-containing vaccines may help not harm kids, according to two new studies in the journal Pediatric.
[00:25:50.801 --> 00:25:57.965]  These new studies suggest that the opposite, that the preservatives may actually be associated with improved behavior and mental performance.
[00:25:58.065 --> 00:26:03.048]  Fluoride in water is supposed to fight tooth decay, but could it also cause cancer?
[00:26:03.068 --> 00:26:05.949]  Turns out the government had the right, under U.S.
[00:26:06.009 --> 00:26:10.191]  law, to conduct secret testing on the American public under a specific condition.
[00:26:10.291 --> 00:26:13.253]  We have to work with dark side, or we're gonna spend time in the shadows.
[00:26:14.582 --> 00:26:18.467]  Any attempt to achieve world order must be the work of the devil.
[00:26:18.648 --> 00:26:19.369]  Well, join me.
[00:26:19.889 --> 00:26:22.012]  I'm glad to sit here at the right hand of Satan.
[00:26:22.292 --> 00:26:24.095]  There's a need for a new world order.
[00:26:25.657 --> 00:26:32.166]  Someday, in the next few years, a solution will emerge.
[00:26:41.155 --> 00:26:42.115]  You know what's amazing?
[00:26:42.135 --> 00:26:46.557]  I look at all these unhappy people who even have jobs, but a lot of folks don't.
[00:26:48.238 --> 00:26:49.498]  And they think life's boring.
[00:26:49.558 --> 00:27:00.703]  We're spinning through the black void of space surrounded by trillions of galaxies, quadrillions of planets, nebulas, black holes.
[00:27:02.363 --> 00:27:08.306]  We're on an incredible sphere with a ribbon of atmosphere and
[00:27:09.557 --> 00:27:12.780]  Huge oceans with all these amazing life forms.
[00:27:13.961 --> 00:27:16.703]  We are these creatures who don't even know our own history.
[00:27:19.045 --> 00:27:20.926]  Who are just now developing technology.
[00:27:22.288 --> 00:27:24.129]  Who knows what we could do in the stars.
[00:27:25.370 --> 00:27:29.173]  And instead we have a bunch of criminals running our system.
[00:27:29.874 --> 00:27:33.117]  And the public is unable to truly dream outside their control paradigm.
[00:27:34.238 --> 00:27:42.522]  And so, are just basically following the manipulations and programming that the establishment uses, punching their primitive buttons.
[00:27:43.802 --> 00:27:50.986]  Now, let us go ahead and go back to Steve Watson.
[00:27:51.026 --> 00:28:02.251]  Steve, I want to cover a few other issues with you, but anything else you want to add about this particular story of this blackjack series in the London Telegraph?
[00:28:04.414 --> 00:28:12.477]  Well, I suppose the other thing to mention is that a lot of readers asking for clarification contacted the Telegraph.
[00:28:13.737 --> 00:28:18.159]  And the overwhelming response from the newspaper itself was a hostile one.
