[00:00:00.782 --> 00:00:03.355]  The Alex Jones Show!
[00:02:41.068 --> 00:02:43.150]  We'll be getting into that as well.
[00:02:43.410 --> 00:02:46.632]  I mean, I just... It's all out in the open.
[00:02:46.692 --> 00:02:47.573]  It's just out in the open.
[00:02:48.454 --> 00:02:52.897]  This morning I heard CIA Director Tenet going...
[00:02:54.511 --> 00:02:56.132]  George Bush never lied.
[00:02:56.192 --> 00:02:57.333]  We never lied.
[00:02:57.393 --> 00:02:58.794]  The terrorists are evil.
[00:02:58.854 --> 00:03:01.616]  We never said they had weapons of mass destruction.
[00:03:01.656 --> 00:03:04.678]  And I heard the neocons going, Ooh, he sure told you.
[00:03:04.978 --> 00:03:06.479]  You're all a bunch of liars.
[00:03:07.020 --> 00:03:07.680]  Well, I'm sorry.
[00:03:07.720 --> 00:03:08.861]  We have memories.
[00:03:08.901 --> 00:03:10.542]  And we have the articles and we have the video.
[00:03:10.882 --> 00:03:15.085]  We know you got all over the news, all of you, the entire administration, and said they did.
[00:03:15.405 --> 00:03:17.006]  From Ashcroft to Bush to Tenet.
[00:03:18.347 --> 00:03:23.491]  It's like Blair hiring Hutton in the Hutton inquiry to...
[00:03:24.867 --> 00:03:28.408]  Say that he never said there were weapons of mass destruction.
[00:03:28.468 --> 00:03:30.228]  Well, he did it all over television.
[00:03:30.849 --> 00:03:33.469]  But Tony Blair says you better apologize.
[00:03:33.529 --> 00:03:38.391]  He never, you know, and why he's a good guy.
[00:03:40.051 --> 00:03:46.933]  So it's just getting so ridiculous, so unbelievable right now.
[00:03:47.613 --> 00:03:51.574]  By the way, Senator Grassley election forecast will get bin Laden.
[00:03:52.768 --> 00:03:56.910]  He said he's sure that by the election, they're going to have bin Laden for you.
[00:03:56.950 --> 00:04:05.214]  Well, my White House source is, two years ago I told you, that bin Laden died of natural causes, is literally frozen, and will be rolled out for the election.
[00:04:06.475 --> 00:04:18.841]  And that was a year plus before the Iraq War, and my source said no attack on Iraq this year, when they had been saying they were going in in just a few months, and then that source turned out to be right.
[00:04:19.302 --> 00:04:21.563]  It was a year later, so that source is...
[00:04:22.236 --> 00:04:23.477]  Turned out to be pretty accurate.
[00:04:24.417 --> 00:04:26.159]  We'll get into this as well.
[00:04:28.280 --> 00:04:31.322]  There's another firefight between the Border Patrol and Mexican troops.
[00:04:31.342 --> 00:04:32.203]  We'll get into that.
[00:04:35.085 --> 00:04:38.086]  It's just all coming up after this quick break.
[00:04:38.167 --> 00:04:39.347]  It's just unbelievable.
[00:04:40.048 --> 00:04:41.329]  The things that are happening.
[00:04:41.369 --> 00:04:45.291]  The tyranny that's unfolding right in front of us.
[00:04:45.471 --> 00:04:47.333]  And I got a bunch of Satanism news.
[00:04:47.453 --> 00:04:50.515]  Mainstream articles with them murdering children and babies.
[00:04:50.735 --> 00:04:50.815]  Uh...
[00:04:52.384 --> 00:04:55.587]  The rise of Satanism, so we'll get into that as well.
[00:04:56.408 --> 00:04:57.308]  Want to stay with us?
[00:04:57.689 --> 00:05:05.495]  Infowars.com Alex Jones here announcing the release of my new film, Police State 3 Total Enslavement.
[00:05:05.675 --> 00:05:10.039]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:05:12.543 --> 00:05:14.645]  This disaster is a new world order.
[00:05:14.745 --> 00:05:17.508]  A new world order can emerge.
[00:05:17.808 --> 00:05:22.012]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[00:05:22.092 --> 00:05:29.018]  We rip the Senator Patriot Act legislation 1 and 2 apart piece by piece and reveal the arrogance of what Ashcroft has to say about your liberty.
[00:05:29.158 --> 00:05:31.160]  You will lose your liberty.
[00:05:31.400 --> 00:05:41.847]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:05:42.147 --> 00:05:47.491]  If you want to understand what the new world order really is, then my new two-and-a-half-hour video, Police State 3, is for you.
[00:05:48.031 --> 00:05:50.673]  Visit InfoWars.com or PrisonPlanet.com to order.
[00:05:50.793 --> 00:05:51.934]  Or call toll-free 1-888-253-3139.
[00:05:51.954 --> 00:05:52.394]  That's 888-253-3139.
[00:05:52.414 --> 00:05:54.195]  Order today and spread the word.
[00:06:00.499 --> 00:06:03.981]  Hello folks, Alex Jones here introducing you to the Black Berkey Replacement Elements.
[00:06:04.241 --> 00:06:07.743]  They're new and they're more powerful than any gravity filter element on the market.
[00:06:07.823 --> 00:06:11.785]  These powerful filters fit most gravity filter systems and can be installed in minutes.
[00:06:11.985 --> 00:06:18.169]  Black Berkey Replacement Elements are so powerful they remove pathogenic bacteria, cysts, parasites to non-detectable levels.
[00:06:18.569 --> 00:06:26.473]  The trihalomethanes and volatile organic chemicals such as atrazine, styrene, chloroform, and MTBE are removed below detectable limits.
[00:06:26.893 --> 00:06:32.234]  Black Berkey filter elements also reduce nitrates and unwanted metals such as lead, mercury, and aluminum.
[00:06:32.394 --> 00:06:36.175]  Get the Black Berkey filter elements, leave in the nutritional minerals that your body needs.
[00:06:36.515 --> 00:06:38.416]  And the Black Berkey filters are reclaimable.
[00:06:38.436 --> 00:06:40.597]  Simply brush them up with Scotch-Brite pads.
[00:06:40.857 --> 00:06:45.178]  Normally $48 each, you get a two-pack for only $91 or a four-pack for only $173.
[00:06:45.218 --> 00:06:51.379]  Get the powerful Black Berkey replacement filters now by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[00:06:54.780 --> 00:06:57.222]  That's 888-803-4438.
[00:06:57.282 --> 00:06:58.603]  Protect your family.
[00:06:59.564 --> 00:07:02.526]  We've all heard the ads for lower prices on airfare and hotel.
[00:07:02.886 --> 00:07:04.487]  Oh yeah, the dot-coms are endless.
[00:07:04.667 --> 00:07:10.311]  CheaperHotels.com, SaveOnYourRentalCar.com, HalfPriceAirlineTickets.com.
[00:07:10.371 --> 00:07:16.175]  Problem is, by the time you get done planning your vacation, you've visited dozens of websites and spent hours and hours trying to save money.
[00:07:16.315 --> 00:07:18.717]  Well, I'm glad to tell you there's an easier way to get it all at once.
[00:07:20.178 --> 00:07:21.359]  Not convinced yet?
[00:07:21.419 --> 00:07:25.341]  How about auto repair, health and beauty, financial services or shopping discounts?
[00:07:41.032 --> 00:07:41.272]  Big Brother.
[00:08:06.876 --> 00:08:07.939]  Mainstream media.
[00:08:08.642 --> 00:08:09.746]  Government cover-ups.
[00:08:10.429 --> 00:08:11.191]  You want answers?
[00:08:11.977 --> 00:08:12.877]  Well, so does he.
[00:08:12.897 --> 00:08:17.499]  He's Alex Jones on the GCN Radio Network.
[00:08:17.719 --> 00:08:21.840]  And now, live from Austin, Texas, Alex Jones.
[00:08:29.822 --> 00:08:30.883]  All right, my friends.
[00:08:30.903 --> 00:08:34.744]  Welcome back to another live edition of the Alex Jones Show.
[00:08:34.784 --> 00:08:41.526]  Whether you're listening in the morning, the middle of the night, depending on your time zone, welcome to this live...
[00:08:42.307 --> 00:08:44.748]  February 5th, 2004 edition.
[00:08:45.048 --> 00:08:52.610]  Again, we have the electronic voting machine exposure coming on here in about 25 minutes.
[00:08:52.710 --> 00:09:09.214]  Bev Harris to get into some of the latest election fraud, stuff that was going on, of course, up in New Hampshire with your loving Diebold computer machines, publicly run by the CIA with their vice president, a convicted computer crimes hacker.
[00:09:10.220 --> 00:09:17.466]  But, you know, and they're engineers going public saying it's all a fraud, and by the time you read about it in your paper, oh, they found a few problems.
[00:09:17.546 --> 00:09:18.226]  Don't worry.
[00:09:18.627 --> 00:09:20.148]  There's no paper ballot anymore.
[00:09:20.228 --> 00:09:20.888]  No records.
[00:09:20.988 --> 00:09:21.489]  Shut up.
[00:09:21.589 --> 00:09:22.790]  We have the machine guns.
[00:09:23.030 --> 00:09:24.291]  We have the armored vehicles.
[00:09:24.391 --> 00:09:25.952]  We have the cameras in your neighborhoods.
[00:09:26.172 --> 00:09:28.214]  We're building lots of nice prisons for you.
[00:09:28.494 --> 00:09:29.575]  Just shut your mouths.
[00:09:29.595 --> 00:09:31.036]  We're going to watch everything you do.
[00:09:31.296 --> 00:09:33.017]  The Pentagon's going to be on the streets.
[00:09:33.558 --> 00:09:35.199]  Martial law's the next phase.
[00:09:35.740 --> 00:09:37.441]  Lots of camps being built for you.
[00:09:37.501 --> 00:09:38.261]  We're the government.
[00:09:38.301 --> 00:09:38.842]  We love you.
[00:09:39.750 --> 00:09:40.531]  Go back to sleep.
[00:09:40.551 --> 00:09:42.773]  We're going to protect you from the terrorists.
[00:09:43.213 --> 00:10:02.610]  By the way, we had that live interview yesterday with Andres von Bulow, a former top member of the Defense Department over in Germany, the former head of technology in his last post, laying out the evidence of the military-industrial complex carrying out September 11th,
[00:10:04.219 --> 00:10:15.729]  And I'm going to be live tomorrow for the second and third hour, but I've decided to re-air that in the first hour tomorrow, first hour of the show, 11 a.m.
[00:10:15.769 --> 00:10:16.610]  until 2 p.m.
[00:10:17.010 --> 00:10:18.471]  Central Standard Time.
[00:10:18.532 --> 00:10:20.773]  So if you missed that, tune into that.
[00:10:21.014 --> 00:10:31.643]  We're also going to be posting an interview at InfoWars.com and PrisonPlanet.com, and as soon as that's posted, I'm asking the great folks out there to make a transcript of it
[00:10:32.481 --> 00:10:42.644]  To email it to us, and we'll post it, and then millions of people, and millions of people do read our transcripts, can then see it and can read it for themselves.
[00:10:42.684 --> 00:10:50.286]  We'll even probably add some hyperlinks to documents in it and other key goodies there to expose the terrorists.
[00:10:51.607 --> 00:10:59.789]  Okay, again, two years ago, my White House source, and it's very dangerous for me to get on air and talk about this, and I said it at the time,
[00:11:01.440 --> 00:11:28.779]  But hey, you only live once, and somebody's got to do it, so... My source told me, again, there's a lot of Bush people here in Austin, I'll just leave it at that, that they were on Air Force One, and Lord Bush and others were bragging that bin Laden had died of kidney failure, was on ice, and that they were going to roll him out right before the November election.
[00:11:30.580 --> 00:11:31.821]  And that was two years ago.
[00:11:33.362 --> 00:11:34.643]  And we put it on air.
[00:11:34.703 --> 00:11:36.165]  We wrote a news article about it.
[00:11:36.205 --> 00:11:37.065]  Paul Watson did.
[00:11:39.527 --> 00:11:40.888]  And it's on record.
[00:11:41.229 --> 00:11:43.551]  And now exactly what we said is being announced.
[00:11:45.652 --> 00:11:53.819]  Albright said they've probably got him and are about to enroll him, and then we've got this other congressman, LaHood, saying, oh, we've got Saddam, we're about to bring him out.
[00:11:53.899 --> 00:11:58.463]  Tommy Frank said that in the December issue of Cigar Fish Unito, and then it happened a few weeks later.
[00:11:59.969 --> 00:12:00.650]  We're good to go.
[00:12:00.670 --> 00:12:00.850]  I think?
[00:12:13.098 --> 00:12:17.880]  Told the Hill newspaper, Senator Grassley's election forecast will get bin Laden.
[00:12:18.300 --> 00:12:25.643]  He doesn't bother to attend secret CIA briefings of his fellow senators because he seldom learns anything he hasn't read in the newspapers.
[00:12:26.083 --> 00:12:29.564]  Senator Chuck Grassley, Republican in Iowa, is convinced the U.S.
[00:12:29.584 --> 00:12:33.986]  will track down the elusive mastermind of September 11, 2001 terror attacks.
[00:12:34.346 --> 00:12:36.347]  By the way, they admit that hasn't even been proven, by the way.
[00:12:37.320 --> 00:12:37.960]  This is a quote.
[00:12:38.161 --> 00:12:45.784]  Obviously, he'll be caught between now and the election, Grassley said Monday when asked if he is disappointed that Osama bin Laden hasn't been killed or captured.
[00:12:46.124 --> 00:12:51.326]  Quote, I think they're on his trail now in a way they haven't been all year.
[00:12:51.886 --> 00:12:56.688]  Grassley said, it will happen because we'll be able to divert more resources to hunting down bin Laden.
[00:12:58.749 --> 00:13:03.771]  By the way, Watson wrote another good article, a compilation of different stories a few days ago.
[00:13:03.811 --> 00:13:06.012]  You'll want to go to prisonplanet.com and read it.
[00:13:07.179 --> 00:13:17.845]  Where he lays out the facts of articles from 99 in the British press where bin Laden publicly was being protected in Pakistan by U.S.
[00:13:17.865 --> 00:13:18.645]  Special Forces.
[00:13:18.705 --> 00:13:20.066]  He is CIA.
[00:13:20.626 --> 00:13:22.487]  His people were flown out of Afghanistan in 2001.
[00:13:22.527 --> 00:13:25.008]  That's why the war took a month.
[00:13:25.649 --> 00:13:26.389]  That's admitted.
[00:13:26.409 --> 00:13:27.590]  They claim it was an accident.
[00:13:27.630 --> 00:13:30.991]  They loaded 8,000 Taliban and al-Qaeda on planes and flew them out.
[00:13:31.011 --> 00:13:35.554]  Then arrested a bunch of goat herders and shoemakers and publicly tortured them in Guantanamo.
[00:13:36.696 --> 00:13:39.498]  To make you think they're doing something about terrorism.
[00:13:41.620 --> 00:13:43.461]  Makes me very, very angry.
[00:13:43.762 --> 00:13:45.563]  And so you look at the evidence.
[00:13:45.603 --> 00:13:50.507]  Bin Laden is al-Qaeda, is CIA, and that's just public.
[00:13:51.428 --> 00:13:55.911]  And he died and is going to be handed over probably here real quick.
[00:13:55.971 --> 00:13:58.433]  And they'll, you know, claim he died in a firefight.
[00:13:58.513 --> 00:14:00.595]  And, well, here's his dead body.
[00:14:00.835 --> 00:14:04.938]  Or maybe they'll show us wax figurines like they did with Kude and Uze or Uze.
[00:14:07.333 --> 00:14:10.696]  Yeah, it would say underneath the photo, oh, wax figurine.
[00:14:10.716 --> 00:14:12.157]  But hey, look at the dead bodies!
[00:14:12.317 --> 00:14:13.538]  Wax figurines!
[00:14:14.018 --> 00:14:15.199]  Oh, I saw the dead bodies.
[00:14:16.860 --> 00:14:23.265]  And they've arrested a lot of Al-Qaeda people, and then a month later you'll see in the foreign press, the CL will say, well, we had to do this for their cover.
[00:14:23.626 --> 00:14:28.169]  They'll arrest an Al-Qaeda leader and then quietly release them and go, oh, they were a CIA asset.
[00:14:28.509 --> 00:14:31.632]  We staged the arrest to protect their identities.
[00:14:32.172 --> 00:14:34.914]  That's most of the big Al-Qaeda arrests.
[00:14:35.555 --> 00:14:36.816]  It's a sick joke, folks.
[00:14:38.357 --> 00:14:43.099]  The general who left Guantanamo Bay, Baucus, who was over it, said there's no real al-Qaeda there.
[00:14:43.119 --> 00:14:43.939]  The L.A.
[00:14:43.979 --> 00:14:45.040]  Times has reported that.
[00:14:45.060 --> 00:14:46.921]  I mean, this is all just stage theater.
[00:14:48.221 --> 00:14:49.062]  Total theater.
[00:14:49.102 --> 00:14:50.662]  It's like the 9-11 Commission.
[00:14:51.222 --> 00:15:01.307]  Members of it are secretly testifying, involved in the Bush administration, covering things up, and they have this stage WWF pro-wrestling...
[00:15:03.646 --> 00:15:08.107]  I mean, right now, the neocons are on the radio and TV, they're all over the British media saying,
[00:15:32.597 --> 00:15:35.319]  Well, the Hutton inquiry clears Tony Blair of everything.
[00:15:37.621 --> 00:15:39.723]  So you better apologize to him.
[00:15:39.903 --> 00:15:42.505]  He never said there were weapons of mass destruction.
[00:15:42.525 --> 00:15:48.169]  And the Hutton inquiry didn't even cover that, but they just say in the news, oh, well, apologize to Tony Blair.
[00:15:49.370 --> 00:15:51.892]  He never said that, and Bush never said it.
[00:15:52.633 --> 00:15:56.536]  Well, you know they said there were weapons of mass destruction, but they don't care.
[00:15:56.816 --> 00:15:58.297]  They know about half the population.
[00:15:58.337 --> 00:16:00.179]  If they just hear they never said it, oh, they never said it.
[00:16:03.143 --> 00:16:06.986]  But Senator Grassley is saying that.
[00:16:07.266 --> 00:16:14.791]  Jack Foote from Ranch Rescue says there was a firefight going on here today from 4.15 to 4.30 p.m.
[00:16:15.031 --> 00:16:18.734]  between the Border Patrol and some thugs from south of the border with rifles.
[00:16:18.794 --> 00:16:23.557]  God knows who, but this is happening just a few hundred yards east of our position.
[00:16:24.881 --> 00:16:30.083]  A Border Patrol field operations supervisor named Mike Hyatt just left here 20 minutes ago.
[00:16:30.643 --> 00:16:33.344]  That's Camp Thunderbird set up by Ranch Rescue.
[00:16:33.665 --> 00:16:37.066]  After telling us that he had been ordered not to say anything about the firefight.
[00:16:38.006 --> 00:16:39.047]  We need your prayers.
[00:16:39.107 --> 00:16:40.387]  Many thanks, Jack Foot.
[00:16:41.688 --> 00:16:48.590]  So this is some new event that's happened in the last few days.
[00:16:48.610 --> 00:16:50.071]  We're trying to get Jack Foot on.
[00:16:50.091 --> 00:16:52.252]  Not that happening.
[00:16:53.116 --> 00:16:56.901]  Pressure on Blair to publish evidence for 45-minute claim.
[00:16:56.921 --> 00:17:02.447]  That is the claim that Saddam had nukes or chemicals or biologicals and could hit England within 45 minutes.
[00:17:02.907 --> 00:17:11.156]  Tony Blair was under pressure yesterday to publish the evidence behind the government's controversial claim that Saddam Hussein could deploy weapons of mass destruction within 45 minutes.
[00:17:12.237 --> 00:17:23.840]  Michael Howard, the Tory leader, led demands for the Prime Minister to agree to the call on yesterday's Independent by Brian Jones, the former leading expert on weapons of mass destruction at the Ministry of Defense, for the evidence to be disclosed.
[00:17:24.720 --> 00:17:37.143]  Blair triggered further controversy over the 45-minute claim yesterday when he told members of Parliament that he did not know that it related to only short-range battlefield weapons until the crucial Commons debate last March, which authorized the Iraq War.
[00:17:38.650 --> 00:17:44.253]  Only the day before it began, which is now admitted that they, again, they all knew it was a lie and didn't care.
[00:17:45.214 --> 00:17:48.516]  But now they're claiming they never said it, so, again.
[00:17:48.536 --> 00:17:52.858]  That's like saying George Washington wasn't our first president.
[00:17:53.799 --> 00:17:56.060]  It's like saying the sky isn't blue.
[00:17:56.080 --> 00:17:59.502]  I mean, just... But a lot of people will buy it.
[00:17:59.542 --> 00:18:05.486]  I mean, George Tenet came out today and said, Bush didn't lie, and we never said there were weapons of mass destruction, and...
[00:18:07.094 --> 00:18:09.996]  Al-Qaeda's going to get you real quick if you don't give your rights up.
[00:18:10.056 --> 00:18:12.317]  Basically is what he said, and Bush gave a similar speech.
[00:18:14.158 --> 00:18:15.839]  So this is how they operate now.
[00:18:16.799 --> 00:18:17.680]  We never said it?
[00:18:17.780 --> 00:18:18.420]  Shut up!
[00:18:20.041 --> 00:18:21.281]  Okay, you never said it.
[00:18:21.341 --> 00:18:23.843]  And you're a liberal if you do say they said it, okay?
[00:18:24.463 --> 00:18:28.065]  A new Al-Qaeda statement warns of major attacks on U.S.,
[00:18:28.994 --> 00:18:37.819]  Every week, somebody on a message board saying they're Al-Qaeda, no doubt a globalist security agent, says, we're about to attack you, we're about to kill you.
[00:18:38.460 --> 00:18:48.866]  Whenever they were saying that Saddam was working with bin Laden, which was totally false, every time they needed some evidence, somebody would go on a message board and say, yes, I am bin Laden, I work with Saddam.
[00:18:48.886 --> 00:18:51.988]  And they'd go, look at this, an admission from bin Laden.
[00:18:53.229 --> 00:18:54.990]  It's just every time they need Al-Qaeda or...
[00:18:56.426 --> 00:19:04.036]  I mean, I guess anybody could go on a message board and say that they are, I don't know, aliens from a foreign planet about to invade.
[00:19:04.056 --> 00:19:09.323]  The National News will say, message board, chat room, aliens from a foreign planet.
[00:19:09.363 --> 00:19:12.968]  I mean, this is totally uncredible, but they don't care.
[00:19:14.036 --> 00:19:16.277]  But understand, I'm not saying they're not going to blow something up.
[00:19:16.337 --> 00:19:21.299]  I mean, Bush would lose to Kerry right now by, what, ten points in major polls.
[00:19:21.860 --> 00:19:32.465]  Not that that matters with the Diebold machines going in nationwide under federal funding under the Voter Assistance Act, but... Oh my goodness.
[00:19:33.425 --> 00:19:33.885]  Look out.
[00:19:33.985 --> 00:19:41.689]  The approval ratings are down, and they're talking about terror attacks like I've never seen them before, saying, give us your rights, you're going to thank us, you better give your rights up.
[00:19:43.144 --> 00:19:44.485]  There's so much more coming up.
[00:19:44.505 --> 00:19:46.145]  I haven't even scratched the surface here.
[00:19:46.705 --> 00:19:49.906]  And we've got Beth Harris coming on about election fraud with some new developments.
[00:19:50.647 --> 00:19:51.767]  And, of course, your calls.
[00:19:52.247 --> 00:19:53.828]  So stay with us.
[00:19:53.848 --> 00:19:54.728]  1-800-259-9231.
[00:19:57.349 --> 00:19:58.449]  We'll be right back.
[00:20:01.610 --> 00:20:04.651]  Hi, this is Jack Brownrigg with a gold alert from Midas Resources.
[00:20:05.171 --> 00:20:07.152]  Folks, it's time to shed your complacency.
[00:20:07.466 --> 00:20:08.026]  We're good to go.
[00:20:08.106 --> 00:20:08.646]  We're good to go.
[00:20:23.812 --> 00:20:30.336]  These are the same coins that are likely to soon command substantial premium prices as they have in the past.
[00:20:30.576 --> 00:20:37.800]  We can deliver them to you now with minimal downside risk, or we can let you buy them later at a considerable higher price.
[00:20:38.240 --> 00:20:40.522]  Don't buy them later, folks.
[00:20:40.882 --> 00:20:41.702]  Do it now.
[00:20:41.963 --> 00:20:50.107]  That's $10 collector gold coins, $10 and $20 collector gold coins, at the nearest of melt in my 24 years in this business.
[00:20:50.187 --> 00:20:51.328]  Call Midas Resources.
[00:20:51.821 --> 00:20:52.363]  That's Midas at 800-686-2237.
[00:21:00.845 --> 00:21:03.907]  Attend the world's biggest UFO event from the comfort of your own home.
[00:21:04.127 --> 00:21:05.788]  Live on the internet, February 14th.
[00:21:06.048 --> 00:21:11.171]  The 13th annual International UFO Congress is broadcasting the full last day of their week-long event.
[00:21:11.231 --> 00:21:15.334]  This features five researchers with stunning photos, some never before shown in public.
[00:21:15.514 --> 00:21:17.575]  See it all from your computer in streaming video.
[00:21:17.715 --> 00:21:19.196]  Guest speakers include Michael Horn.
[00:21:19.276 --> 00:21:20.357]  He'll tell us about Edward.
[00:21:20.437 --> 00:21:25.460]  Billy Meyer from Switzerland, who's taken some of the clearest photos of EP aircrafts in recorded history.
[00:21:25.840 --> 00:21:34.544]  Dr. Norman Bergeron joins us to discuss the probability of other life in the universe, providing remarkable photos from Voyager and the Apollo space missions that suggest we are not alone.
[00:21:34.744 --> 00:21:40.266]  And Santiago Garza will present two recent cases in England, including video footage that intrigued the entire country.
[00:21:40.646 --> 00:21:42.647]  These credible guests are just the tip of the iceberg.
[00:21:43.047 --> 00:21:44.669]  No X-Files or Twilight Zone here.
[00:21:44.789 --> 00:21:46.030]  This is the real deal.
[00:21:46.130 --> 00:21:51.676]  Catch a glimpse of the 13th annual week-long UFO Congress as it concludes on February 14th live on the Internet.
[00:21:51.736 --> 00:21:56.701]  For more information on this first-time-ever event, go to www.openhearings.com.
[00:21:56.821 --> 00:21:59.183]  That's www.openhearings.com.
[00:22:00.572 --> 00:22:06.815]  The illuminated Berkey base allows most gravity filters to be used in the center of a table by raising the spigot level.
[00:22:06.955 --> 00:22:13.098]  Made of durable Lexan polymer, the same material used for bulletproof glass, it has eight LED lamps.
[00:22:13.398 --> 00:22:21.842]  Incredibly, the low-energy LEDs will last for more than 11 years of continuous use and are bright enough to be spotted for over a mile in the dark.
[00:22:22.083 --> 00:22:29.086]  The LED lamps are powered by an AC adapter, and during emergencies, the rechargeable batteries will operate them all night long.
[00:22:29.406 --> 00:22:34.229]  When the LEDs are switched off, the AC adapter automatically recharges the batteries.
[00:22:34.449 --> 00:22:39.833]  The Berkey base is available in gorgeous cobalt blue or practical bright white LEDs.
[00:22:40.193 --> 00:22:43.255]  Ideal as an emergency light, flashlight, or nightlight.
[00:22:43.596 --> 00:22:51.601]  Get the illuminated Berkey base for only $69 or get both white and blue for only $125 by calling New Millennium at 888-803-4438.
[00:22:51.621 --> 00:22:52.201]  That's toll free, 888-803-4438.
[00:23:00.267 --> 00:23:03.289]  You are sick because you allow yourself to remain sick.
[00:23:03.429 --> 00:23:09.133]  And you remain sick because you don't provide your body with the enzymes and other nutrients that only come from raw food.
[00:23:09.313 --> 00:23:10.674]  You haven't alkalized your body.
[00:23:10.834 --> 00:23:14.877]  In fact, you continue to acidify it with a primarily cooked food diet.
[00:23:15.017 --> 00:23:20.821]  You still use either meat, fish, eggs and or dairy products for your protein instead of spirulina and chlorella.
[00:23:21.361 --> 00:23:23.604]  The two most complete protein superfoods known.
[00:23:23.965 --> 00:23:26.428]  Finally, you don't consume ionized water.
[00:23:26.749 --> 00:23:33.898]  Normal tap water that is transformed into a powerful antioxidant that is very alkaline, balancing your body pH as it brings you to homeostasis.
[00:23:34.199 --> 00:23:37.864]  It's also very hydrating and, more importantly, extremely detoxifying.
[00:23:37.964 --> 00:23:38.464]  We're good to go.
[00:23:38.484 --> 00:23:38.644]  I think?
[00:24:06.276 --> 00:24:09.757]  Alright, I do have Bev Harris coming on here in a few minutes about election fraud.
[00:24:10.517 --> 00:24:19.459]  I told you on Monday and Tuesday about TiVo, a type of digital cable box service that tracks everything you do, and of course sells the data.
[00:24:21.120 --> 00:24:23.260]  And as usual, some people couldn't believe it.
[00:24:23.280 --> 00:24:24.021]  Well, that's fine.
[00:24:24.061 --> 00:24:25.661]  Here's the Chicago Sun-Times.
[00:24:27.040 --> 00:24:28.681]  I'm sorry, I said Chicago Tribune earlier.
[00:24:28.721 --> 00:24:29.882]  It's Chicago sometimes.
[00:24:30.102 --> 00:24:32.965]  TiVo users beware, Big Brother's watching.
[00:24:34.266 --> 00:24:34.486]  Hmm.
