[00:00:05.805 --> 00:00:07.366]  Hello, my friends!
[00:02:50.076 --> 00:02:55.519]  Because a foreigner who isn't a criminal still probably won't want to do all the horrible things they've got planned for us.
[00:02:56.184 --> 00:03:05.030]  And that's all this Iraq war is about, is to get us used to all the war and to get our troops trained in takeover of cities and gun confiscation so they can come back here and do it.
[00:03:06.211 --> 00:03:07.192]  That's admitted, by the way.
[00:03:08.052 --> 00:03:13.236]  So, the battle for Fallujah is going well, they say.
[00:03:13.276 --> 00:03:16.558]  They've arrested thousands of people.
[00:03:16.778 --> 00:03:19.941]  They're not giving us troop numbers of casualties on our side.
[00:03:19.961 --> 00:03:22.462]  They're not giving us a lot of numbers on the other side.
[00:03:22.482 --> 00:03:24.444]  But if you look at the foreign video feeds,
[00:03:26.639 --> 00:03:29.239]  It is unmitigated carnage.
[00:03:30.900 --> 00:03:35.961]  Of course, they made much of the city leave, evacuate, and where are they going to put all those people?
[00:03:36.001 --> 00:03:41.041]  So I guess they're going to go into every city and make everybody leave the city and then somehow get control that way.
[00:03:41.242 --> 00:03:42.802]  It's not going to work, my friends.
[00:03:44.222 --> 00:03:45.462]  But it's not meant to work.
[00:03:45.502 --> 00:03:46.822]  It's meant to go on and on.
[00:03:46.882 --> 00:03:48.803]  So when we get back from break, U.S.
[00:03:48.843 --> 00:03:55.604]  forces push through the center of Fallujah, tighten cordon around city to block fleeing insurgents.
[00:03:57.913 --> 00:04:00.034]  Another article here out of the London Telegraph.
[00:04:00.675 --> 00:04:01.896]  I got my kills.
[00:04:02.396 --> 00:04:04.277]  I just love my job.
[00:04:04.297 --> 00:04:07.359]  I'll be covering what U.S.
[00:04:07.399 --> 00:04:08.340]  soldiers are saying.
[00:04:09.861 --> 00:04:16.565]  Fallujah advances encountering sporadic resistance, but not as much as they thought.
[00:04:17.326 --> 00:04:19.747]  Hospital hit is fighting rages in Fallujah.
[00:04:19.767 --> 00:04:25.431]  I'm looking at photos, video stills, of the hospital exploding.
[00:04:27.822 --> 00:04:29.682]  And here's that article I mentioned a few minutes ago.
[00:04:29.702 --> 00:04:33.083]  Alone in Ohio, officials cited Homeland Security.
[00:04:33.103 --> 00:04:37.044]  This is out of the Philadelphia newspaper.
[00:04:37.444 --> 00:04:48.807]  Citing concerns about potential terrorism, Warren County officials locked down the county administration building on election night and blocked anyone from observing the vote count as the nation awaited Ohio's returns.
[00:04:49.948 --> 00:04:51.928]  And they did it to fight terror.
[00:04:52.328 --> 00:04:54.469]  You complained about not getting your benefits.
[00:04:54.489 --> 00:04:55.349]  You didn't threaten us.
[00:04:56.235 --> 00:04:57.855]  We have to secretly arrest you.
[00:04:58.035 --> 00:04:59.016]  Oh, you want to know your vote?
[00:04:59.036 --> 00:04:59.976]  We'll have to arrest you.
[00:05:03.757 --> 00:05:09.238]  Why continue to suffer from pain, illness, and disease when natural health and wellness therapies are within your reach?
[00:05:09.658 --> 00:05:13.899]  Hundreds of people report improved health and wellness using Rife frequency technology.
[00:05:14.119 --> 00:05:21.120]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[00:05:21.540 --> 00:05:27.643]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions.
[00:05:27.783 --> 00:05:29.023]  There are no side effects.
[00:05:29.343 --> 00:05:32.304]  Join others in discovering a return to natural health and wellness.
[00:05:32.445 --> 00:05:34.465]  Eliminate the cause, don't just treat symptoms.
[00:05:34.785 --> 00:05:42.008]  BioSolutions has over 450 pre-programmed auto-sequences for various health conditions and is very easy to use.
[00:05:42.309 --> 00:05:45.690]  It comes with a 30-day return policy and a one-year limited warranty.
[00:05:46.130 --> 00:05:49.214]  For more information, call Alternative Technologies toll-free.
[00:05:49.234 --> 00:05:49.274]  866-885-6625.
[00:05:49.294 --> 00:05:49.515]  866-885-6625.
[00:05:49.635 --> 00:05:50.476]  One more time, that's 866-885-6625.
[00:05:50.536 --> 00:05:50.776]  Call today.
[00:06:01.383 --> 00:06:10.008]  Berkey Water Filters are the ultimate filters used worldwide for normal or hostile filtration environments to provide the most delicious, sparkling, clean water possible.
[00:06:10.228 --> 00:06:21.495]  The Berkey Light's self-sterilizing filter elements remove pathogenic bacteria, cysts, parasites, chemicals, and they reduce lead, mercury, aluminum, nitrate, salt for odors, foul tastes, and much, much more.
[00:06:21.715 --> 00:06:24.337]  Yet, they leave in the nutritional minerals that your body needs.
[00:06:24.697 --> 00:06:31.164]  The Berkey Light has ridges to deflect water if the upper chamber is overfilled and it can be used anywhere on a flat surface.
[00:06:31.324 --> 00:06:33.206]  That's because it has an elevated base.
[00:06:33.386 --> 00:06:39.413]  The entire system joins together to make the Berkey Light convenient to transport even while it's filtering water.
[00:06:39.673 --> 00:06:45.279]  Its rechargeable bright white LED lamps allow for optimum use at night or during emergency conditions.
[00:06:45.659 --> 00:06:49.584]  Get the Berkey Light, the ultimate filter for only $259 by calling New Millennium at 888-803-4438.
[00:06:49.604 --> 00:06:50.325]  That's toll-free, 888-803-4438.
[00:06:50.345 --> 00:06:51.026]  Not yet available in Iowa.
[00:07:01.266 --> 00:07:05.633]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:07:05.813 --> 00:07:10.220]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:07:10.380 --> 00:07:14.747]  There is a chance to use this disaster for the New World Order.
[00:07:14.787 --> 00:07:16.189]  The New World Order.
[00:07:16.909 --> 00:07:17.889]  Panama!
[00:07:17.930 --> 00:07:22.151]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[00:07:22.211 --> 00:07:29.134]  We rip the sinister Patriot Act legislation one and two apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[00:07:29.274 --> 00:07:31.355]  You will lose your liberty.
[00:07:31.635 --> 00:07:42.200]  Homeland security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:07:42.280 --> 00:07:44.401]  If you want to understand what the new world order really is,
[00:07:44.821 --> 00:07:45.461]  Big Brother.
[00:07:45.501 --> 00:07:46.041]  Mainstream media.
[00:07:46.061 --> 00:07:47.402]  Government cover-ups.
[00:07:47.442 --> 00:07:48.702]  You want answers?
[00:07:48.722 --> 00:07:49.342]  Well, so does he.
[00:08:13.857 --> 00:08:17.841]  He's Alex Jones on the GCN Radio Network.
[00:08:18.041 --> 00:08:22.164]  And now, live from Austin, Texas, Alex Jones.
[00:08:25.928 --> 00:08:37.698]  Hello, ladies and gentlemen.
[00:08:39.204 --> 00:09:02.003]  Being posted right now as we speak on InfoWars.com and coming up in about 51 minutes is a story of a gentleman with no criminal record, a veteran, complaining to the VA and being arrested by a Department of Homeland Security.
[00:09:03.704 --> 00:09:05.266]  This is out of the
[00:09:06.235 --> 00:09:13.439]  Quad City Times, QCTimes.com, headline, Agents Arrest Man in Threats.
[00:09:14.920 --> 00:09:32.470]  Then you read the article, it says, quote, he had been harassing them for the past three years, said Calvi, we were looking at the messages and while they were no direct threats, the language was abusive and derogatory and seemed to be getting worse.
[00:09:34.466 --> 00:09:40.608]  And so they had Homeland Security go out and arrest Dr. Tennant.
[00:09:41.648 --> 00:10:01.494]  Inspectors from the Federal Protective Services Division of Homeland Security Department arrested a Bentendorf Christopher Friday, and it goes on, accused of making harassing phone calls to the Department of Veterans Affairs in Des Moines.
[00:10:03.678 --> 00:10:11.942]  And it says, Kenneth C. Tennant, 45, remained in Polk County, Iowa, jail late Friday afternoon, charged with third-degree harassment.
[00:10:13.083 --> 00:10:28.950]  Although it is a state charge and a misdemeanor, Federal Protective Services, or FPS, personnel were involved because the Virginia office is a federal facility, said Special Agent Will Calvey.
[00:10:29.911 --> 00:10:32.692]  And they go on to say after 9-11 they have to consider everything
[00:10:33.539 --> 00:10:34.159]  Terrorism.
[00:10:34.740 --> 00:10:36.060]  The F.P.S.
[00:10:36.100 --> 00:10:47.526]  provides law enforcement and security services to more than one million tenants and daily visitors to all federally owned and leased facilities nationwide.
[00:10:47.566 --> 00:10:50.187]  According to its mission statement, F.P.S.
[00:10:50.247 --> 00:10:57.870]  focuses directly on the interior security of the nation and the reduction of crimes and potential threats to federal facilities.
[00:10:57.910 --> 00:10:59.111]  So this is the main
[00:11:00.174 --> 00:11:03.395]  Security Guard Law Enforcement Arm of Homeland Security.
[00:11:04.415 --> 00:11:05.335]  They're the beat cops.
[00:11:06.336 --> 00:11:13.077]  And it says, Calvi said two inspectors from Des Moines have been investigating Tenet after receiving complaints from the VA offices.
[00:11:17.038 --> 00:11:21.719]  Isn't that an interesting little blurb?
[00:11:21.879 --> 00:11:28.481]  And by the way, you read in the article here, it's two people that have been arrested for being rude to them.
[00:11:30.239 --> 00:11:38.508]  The specific nature of the calls or a dispute between Tenet and the Virginia was not divulged by FPS officials or Virginia.
[00:11:40.109 --> 00:11:46.156]  Calvi said two inspectors from Des Moines had been investigating Tenet after receiving complaints from the VA offices.
[00:11:47.139 --> 00:11:51.600]  Quote, he had been harassing them for the past three years, said Calvi.
[00:11:52.140 --> 00:12:00.003]  We were looking at the messages and while they were no direct threats, the language was abusive and derogatory and seemed to be getting worse.
[00:12:04.084 --> 00:12:04.904]  Unbelievable!
[00:12:05.544 --> 00:12:15.127]  So, we have Special Agent Will Calvi admitting that he did not threaten anyone, but they're calling it a threat.
[00:12:16.423 --> 00:12:19.225]  By the way, I know Paul Watson's listening.
[00:12:19.245 --> 00:12:24.490]  I believe my wife, who's the webmaster for InfoWars.com, is listening.
[00:12:25.250 --> 00:12:37.000]  I told her this morning, she's doing a great job, to post this article, under it, post the article from two weeks ago about the lady with the toy store selling knockoffs of Rubik's Cube that turned out to be legal, because the patent's up.
[00:12:37.380 --> 00:12:41.703]  She got phone calls months before, Homeland Security's coming to see you, was scared to death.
[00:12:42.084 --> 00:12:44.766]  Two months later, they finally show up at her office with no order.
[00:12:45.436 --> 00:12:46.257]  No written order.
[00:12:46.297 --> 00:12:47.177]  No judge's order.
[00:12:47.257 --> 00:12:47.977]  No conviction.
[00:12:48.038 --> 00:12:48.998]  No nothing.
[00:12:49.598 --> 00:12:54.221]  And said, remove those magic cubes from your shelves.
[00:12:55.602 --> 00:12:57.303]  Because this threatens the country.
[00:12:57.903 --> 00:12:59.244]  And she said, well why are you here?
[00:12:59.264 --> 00:13:01.445]  And she said, well, they said, we're over everything.
[00:13:02.886 --> 00:13:04.387]  It's infrastructure protection.
[00:13:06.188 --> 00:13:09.950]  And then under that we're going to post a link to the PrisonPlanet.com archive.
[00:13:11.591 --> 00:13:14.092]  Patriot Act and Homeland Security being used against
[00:13:14.784 --> 00:13:26.714]  The general public in non-terror related cases, we have, I don't know, like 50 articles on there with examples of pot dealers, county commissioners, people paying bribes to get more parking spaces zoned.
[00:13:26.734 --> 00:13:28.255]  Oops!
[00:13:28.335 --> 00:13:29.476]  Sorry, you don't get a jury.
[00:13:29.516 --> 00:13:30.957]  Sorry, you don't get due process.
[00:13:30.997 --> 00:13:34.480]  Sorry, we are going to break in your house secretly.
[00:13:34.940 --> 00:13:39.524]  We don't need warrants to surveil you because all crime is terrorism.
[00:13:41.167 --> 00:13:43.568]  And I guess now all complaining is terrorism.
[00:13:43.608 --> 00:13:45.328]  I thought the government was there to serve you.
[00:13:45.348 --> 00:13:52.670]  You know, the VA has probably the worst record of any federal agency of, quote, service in modern history.
[00:13:52.730 --> 00:14:03.713]  It's akin to the Native Americans on reservations being, you know, with the managers of the reservations selling them rotten meat and wood alcohol.
[00:14:06.554 --> 00:14:07.374]  Ripping them off.
[00:14:08.965 --> 00:14:09.926]  It's about the same thing.
[00:14:10.086 --> 00:14:11.967]  They're paid to not give you the services.
[00:14:12.608 --> 00:14:22.076]  They've had people die in Ohio, Virginia, Kansas, Missouri from maggot infestation.
[00:14:22.116 --> 00:14:25.539]  They just tie down the old World War II vets that are really sick.
[00:14:26.115 --> 00:14:27.056]  Give them no treatment.
[00:14:27.076 --> 00:14:30.579]  And the Kansas City Star a few years ago described rats.
[00:14:30.639 --> 00:14:33.561]  They opened the door and rats were crawling around on top of them.
[00:14:33.601 --> 00:14:37.224]  The flies go up the nose and lay eggs in the nasal cavity.
[00:14:37.564 --> 00:14:39.586]  The maggots then viciously attack the brain.
[00:14:40.046 --> 00:14:43.068]  And maggot death has happened in four states that I know of.
[00:14:44.029 --> 00:14:46.051]  In the last two, three years, we've seen four cases.
[00:14:46.591 --> 00:14:50.694]  At one hospital alone in Kansas City, it was two people died of maggot attacks.
[00:14:50.734 --> 00:14:51.895]  Several others got really sick.
[00:14:52.235 --> 00:14:54.157]  Had to have brain surgery to remove the maggots.
[00:14:55.131 --> 00:14:57.312]  In other words, maggot deaths in a lot of other areas.
[00:14:57.352 --> 00:14:58.273]  Just a maggot death.
[00:14:58.333 --> 00:14:59.653]  You know, it's death by maggot.
[00:15:00.714 --> 00:15:08.197]  So after you're done fighting over in Iraq, breathing your depleted uranium, and you come back here and you're sick, we got maggot death for you waiting.
[00:15:08.977 --> 00:15:11.539]  And that's how dirty and filthy and disgusting these are.
[00:15:11.559 --> 00:15:13.379]  And you're not allowed into these things.
[00:15:13.399 --> 00:15:18.022]  The media's not allowed into these things now, under Homeland Security, because terrorists might want to attack.
[00:15:19.022 --> 00:15:21.023]  And so we can't have video cameras inside.
[00:15:22.110 --> 00:15:25.411]  But we're going to have video cameras aimed at you, though, the citizenry, all over the place.
[00:15:25.811 --> 00:15:28.912]  Scanning your license plates instantly, scanning your faces.
[00:15:30.473 --> 00:15:44.018]  Folks, I can be out in the middle of nowhere in Oklahoma or Texas or Arkansas or Louisiana the last few years, driving down a road at a four-way stop, literally, with cow passers on all four sides, and there'll be cameras at every point.
[00:15:45.416 --> 00:15:53.181]  There is no small town in Texas that I haven't been to in the last few years that does not have cameras, not just on the main intersections, but on every side street.
[00:15:53.421 --> 00:15:55.903]  And now, cameras have gone up in my neighborhood.
[00:15:56.904 --> 00:16:01.307]  But you don't bring your cameras in to show maggot death, maggot torture.
[00:16:01.327 --> 00:16:03.989]  Folks, I'm not joking.
[00:16:04.029 --> 00:16:06.750]  That's how filthy and disgusting this is, okay?
[00:16:07.851 --> 00:16:13.435]  That's how they just put them in there to die, and the flies just settle on them and enjoy themselves.
[00:16:15.894 --> 00:16:17.695]  That's how we try.
[00:16:17.736 --> 00:16:19.417]  But this veteran complains.
[00:16:20.037 --> 00:16:21.178]  And I talked to him this morning.
[00:16:21.198 --> 00:16:25.682]  One of his family members in California, his brother, called him and told him about the show.
[00:16:27.643 --> 00:16:29.144]  And he's been complaining.
[00:16:30.145 --> 00:16:31.326]  And so he was arrested.
[00:16:31.346 --> 00:16:36.310]  He was arrested last Thursday.
[00:16:38.948 --> 00:16:45.232]  He was still in jail Friday afternoon, they reported, and then got out on Saturday and tried to get in touch with me on Saturday.
[00:16:45.272 --> 00:16:46.173]  I finally got the message.
[00:16:47.033 --> 00:17:07.886]  Waiting through the hundreds of messages yesterday of people having their children taken, people having their farms and ranches taken, people being forced to give their babies inoculations and the baby goes into convulsions instantly, and they're arrested on the spot saying, oh, you abused the baby, even though they can't even get out of the hospital by the time the child goes into convulsions.
[00:17:08.829 --> 00:17:12.010]  from the vaccines and then they blame you after they damage your child.
[00:17:12.090 --> 00:17:13.411]  It's a great new little system they've got.
[00:17:14.731 --> 00:17:17.592]  Uh, just people calling with the IRS taking everything they've got.
[00:17:17.853 --> 00:17:28.777]  Uh, people calling, um, where there's ten illegals in the apartment next to them, but then they have their grandma come to visit for a month and they're thrown out of the apartment and they say, well, wait, you let ten illegals stay there and they go, shut up.
[00:17:29.917 --> 00:17:31.378]  It's just, just the new world order.
[00:17:32.176 --> 00:17:36.379]  I got stacks of articles here with mainstream news announcing the New World Order is here.
[00:17:36.999 --> 00:17:37.960]  Oh, it's glorious.
[00:17:38.060 --> 00:17:39.161]  Praise Lord Bush.
[00:17:40.121 --> 00:17:41.262]  Oh, it's so good.
[00:17:42.723 --> 00:17:45.505]  I've got, uh, just, it's, it's an overload.
[00:17:45.545 --> 00:17:47.186]  But we will cover it all today.
[00:17:48.727 --> 00:17:50.168]  We're gonna have Mr. Tennant on.
[00:17:51.208 --> 00:17:52.549]  And again, it's just somebody else.
[00:17:56.712 --> 00:17:58.213]  They arrested another person here.
[00:18:00.879 --> 00:18:06.162]  So, in this article, they didn't just send Homeland Security out to arrest one person.
[00:18:06.182 --> 00:18:06.983]  There was someone else.
[00:18:07.023 --> 00:18:11.025]  I guess they said, well, we've got too many of these vets complaining they want health care.
[00:18:11.746 --> 00:18:12.606]  They were promised it.
[00:18:14.007 --> 00:18:17.289]  Well, they're not old enough to strap down and give the maggot treatment yet.
[00:18:19.491 --> 00:18:20.511]  Call in Homeland.
[00:18:20.731 --> 00:18:22.112]  I'm not even joking.
[00:18:22.713 --> 00:18:23.293]  It's kidding.
[00:18:23.813 --> 00:18:25.154]  It's getting out of control.
[00:18:25.874 --> 00:18:28.156]  So, uh, your toy store, your
[00:18:29.691 --> 00:18:30.932]  Selling a Magic Cube?
[00:18:31.292 --> 00:18:32.512]  We're going to hit you, hit you hard.
[00:18:35.214 --> 00:18:42.618]  By the way, I've got mainstream news articles of peaceful protest around the country and cops just come out with rubber bullets and open fire.
[00:18:44.098 --> 00:18:47.620]  They'll stand there and wait for one person to step off the curb, which you do.
[00:18:47.640 --> 00:18:51.262]  You know, I've been at protests and you're sitting there and you're supposed to be on the sidewalk and
[00:18:51.917 --> 00:18:57.281]  Then you just step out on the curb, wave at somebody or something, and the cops run over and scream at me.
[00:18:57.781 --> 00:18:58.602]  Get back on there!
[00:18:58.682 --> 00:18:59.723]  Get back on the rescue!
[00:19:00.083 --> 00:19:01.104]  Well, you know, that's in Austin.
[00:19:01.124 --> 00:19:03.425]  At least they don't open fire.
[00:19:03.465 --> 00:19:06.547]  But all over the country now, one person steps in the street.
[00:19:06.908 --> 00:19:08.028]  They just open fire.
[00:19:08.449 --> 00:19:13.612]  There's been some more eyes lost, some more serious injuries.
[00:19:13.632 --> 00:19:15.934]  They've had to dig some more bullets out of people, rubber bullets.
[00:19:17.535 --> 00:19:21.418]  What happens is they hit an orifice, like a nose, they shoot up into the cavity.
[00:19:22.367 --> 00:19:26.610]  Or if they hit the eye, they go back behind the eye into the cavity.
[00:19:27.531 --> 00:19:29.252]  The skull's as thick as a potato chip.
[00:19:29.632 --> 00:19:31.013]  A laced potato chip right there.
[00:19:33.615 --> 00:19:35.977]  So, there's a lot of serious injuries happening.
[00:19:35.997 --> 00:19:38.798]  But the police... A bunch of taser deaths in the last week.
[00:19:39.559 --> 00:19:40.940]  Seventy in the last two years.
[00:19:41.500 --> 00:19:42.181]  But they don't care.
[00:19:42.221 --> 00:19:43.762]  They say they're going to increase the use of this.
[00:19:43.802 --> 00:19:44.783]  So what if it kills you?
[00:19:45.503 --> 00:19:48.805]  But cops are lobbying to have it banned where you can't own a taser.
[00:19:50.607 --> 00:19:50.827]  So...
[00:19:51.809 --> 00:19:55.552]  We're learning how to be slaves right now, learning how to submit and be groveling worms.
[00:19:57.313 --> 00:19:58.534]  Stay with us, PrisonPlanet.tv
[00:20:01.531 --> 00:20:04.012]  Hey folks, Michael Trudeau here, and I've got a gripe.
[00:20:04.413 --> 00:20:07.334]  Recently, construction in my area has doubled my commute time.
[00:20:07.474 --> 00:20:11.136]  I'm spending up to four hours in stop-and-go rush hour traffic every day.
[00:20:11.317 --> 00:20:13.758]  The worst part is there's no good talk radio to listen to.
[00:20:13.918 --> 00:20:17.180]  But that doesn't matter to me anymore, thanks to the good people at Freeway Radio.
[00:20:17.340 --> 00:20:24.684]  I've got the Sony shortwave car stereo from Freeway Radio, and now I look forward to getting comfortable in my car and hearing the real scoop on the day's news.
[00:20:24.924 --> 00:20:26.606]  It's not just a shortwave radio, though.
[00:20:26.686 --> 00:20:30.489]  You can also get AM and FM, listen to cassettes, and control your CD changer.
[00:20:30.609 --> 00:20:32.531]  Call Freeway Radio today, toll free, 866-404-3600.
[00:20:32.551 --> 00:20:33.272]  That's 1-866-404-3600.
[00:20:33.332 --> 00:20:35.894]  Get your own Sony shortwave car stereo today for only $189.
[00:20:36.035 --> 00:20:37.656]  Install it in the boat, the RV, or your car.
[00:20:44.282 --> 00:20:48.746]  The good news for us is that you'll have GCN programming and crystal clear radio wherever you go.
[00:20:48.846 --> 00:20:53.930]  Don't get me wrong, I'd still rather be golfing than sitting in traffic, but freeway radio has eased my commute immensely.
[00:20:54.011 --> 00:20:56.513]  Call them today at 1-866-404-3600 and let them do the same for you.
[00:21:01.033 --> 00:21:01.793]  Terrorism!
[00:21:01.954 --> 00:21:02.714]  Terrorism!
[00:21:02.794 --> 00:21:08.857]  Chemical attacks, dirty bombs, fallout, biological attack, anthrax, and to top it all off, duct tape and plastic!
[00:21:09.117 --> 00:21:10.698]  Alarming words for our time!
[00:21:10.958 --> 00:21:13.439]  But how do you protect your family during such a crisis?
[00:21:13.819 --> 00:21:28.387]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:21:28.427 --> 00:21:28.747]  government.
[00:21:28.927 --> 00:21:30.728]  Anyone can follow the simple instructions.
[00:21:31.088 --> 00:21:37.009]  It's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[00:21:37.149 --> 00:21:41.650]  If you're not the type who waits till it's too late, then you need the video, Sheltering in Place.
[00:21:41.890 --> 00:21:47.571]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[00:21:47.611 --> 00:21:48.771]  And tell them Alex Jones sent you.
[00:21:48.811 --> 00:21:49.251]  That's 888-803-4438.
[00:21:49.271 --> 00:21:51.312]  Or order on the web at murkywater.com.
[00:22:00.333 --> 00:22:03.354]  You and your family members gaining enough minerals in the daily diet?
[00:22:03.754 --> 00:22:06.254]  It's not likely according to the World Health Organization.
[00:22:06.474 --> 00:22:13.536]  In fact, over one-third of the global population suffers from some form of serious mineral deficiency, leading to all kinds of disease and disability.
[00:22:13.736 --> 00:22:17.017]  That lack of energy you've been blaming on getting older or working too hard?
[00:22:17.277 --> 00:22:19.297]  It's more likely that same mineral deficiency.
[00:22:19.637 --> 00:22:27.459]  And kids who may not be doing as well in school or having a hard time studying ought to be considering the lack of minerals, not necessarily a lack of concentration as the culprit.
[00:22:27.739 --> 00:22:29.020]  Either way, why chance it?
[00:22:29.120 --> 00:22:39.087]  Just a few pennies a day and a toll-free call to Sea Minerals at 877-835-5555 and you're quickly on the road to more energy and a boost to the immune system.
[00:22:39.327 --> 00:22:43.450]  Sea Minerals provides a complete and balanced set of minerals and trace elements found in our oceans.
[00:22:43.730 --> 00:22:48.433]  Reclaim that youthful, energetic feeling and restore your good health with the help of minerals from the sea.
[00:22:48.573 --> 00:22:50.454]  Call Sea Minerals today, toll-free, 877-835-5555.
[00:22:50.494 --> 00:22:50.694]  That's 877-835-5555.
[00:22:59.900 --> 00:23:03.822]  The United States seems to be celebrating over its triumph of reducing government debt.
[00:23:04.042 --> 00:23:16.307]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[00:23:16.727 --> 00:23:17.147]  The U.S.
[00:23:17.187 --> 00:23:22.769]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[00:23:23.149 --> 00:23:25.370]  In the year 2000, debt growth collapsed to only 4.5%.
[00:23:27.231 --> 00:23:28.292]  It's bad enough that the U.S.
[00:23:28.332 --> 00:23:31.173]  citizens is bound by debt in order to have commerce.
[00:23:31.293 --> 00:23:37.316]  However, shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[00:23:37.736 --> 00:23:41.098]  Before you make your next investment decision, get the cold hard facts.
[00:23:41.178 --> 00:23:47.521]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[00:23:48.081 --> 00:23:51.965]  You must understand how recession and depression are driven by outstanding debt.
[00:23:51.985 --> 00:23:52.185]  Call 1-800-686-2237.
[00:23:52.205 --> 00:23:52.465]  That's 1-800-686-2237.
[00:23:52.486 --> 00:23:53.026]  Waging war on corruption.
[00:23:53.046 --> 00:23:54.147]  Alex Jones on the GCN Radio Network.
[00:24:13.576 --> 00:24:19.157]  That's right, my friends, the ninth day of November 2004 as we accelerate towards 2005.
[00:24:19.217 --> 00:24:20.478]  Hard to believe, isn't it?
[00:24:21.838 --> 00:24:24.759]  Your phone calls are coming up in the next segment.
[00:24:24.779 --> 00:24:26.439]  1-800-259-9231 to get involved on air.
[00:24:26.519 --> 00:24:29.940]  Patrick in Canada, John in Texas, Danny in Tennessee, your calls are coming up.
[00:24:29.960 --> 00:24:30.020]  1-800-259-9231.
[00:24:41.560 --> 00:24:41.920]  U.S.
[00:24:42.001 --> 00:24:48.686]  forces have pushed through the center of Fallujah, tightening a cordon around the city to block fleeing insurgents.
[00:24:49.206 --> 00:24:49.446]  U.S.
[00:24:49.526 --> 00:25:05.499]  Army and Marine units thrust through the center of the insurgent stronghold of Fallujah on Tuesday, fighting bands of guerrillas in the streets and conducting house-to-house searches on the second day of a major offensive to retake the city from Islamic militants.
[00:25:06.275 --> 00:25:23.387]  A total of 14 Americans have been killed in the past two days across Iraq, including three killed in Fallujah on Tuesday, that's so far today, and 11 others who died Monday, most of them as guerrillas launched a wave of attacks in Baghdad and southwest of Fallujah, a senior Pentagon official said.
[00:25:23.987 --> 00:25:25.448]  Well, yeah, that's the guerrilla action.
