[00:00:00.000 --> 00:00:14.000]  [Pause]
[00:03:33.906 --> 00:03:35.906]  (Now I really wanna be with you now)
[00:03:35.906 --> 00:03:37.906]  (Now I really wanna be with you now)
[00:03:37.906 --> 00:03:42.906]  But still, baby, don't you say a word
[00:03:42.906 --> 00:03:46.906]  And never find out who you are
[00:03:46.906 --> 00:03:50.906]  It's just a beast under your bed
[00:03:50.906 --> 00:03:53.906]  It's just a beast under your bed
[00:03:53.906 --> 00:03:57.906]  It's the life
[00:03:57.906 --> 00:04:00.906]  It's the life
[00:04:01.598 --> 00:04:10.438]  We're having some technical deals with Tom Warner, but we'll get that fixed.
[00:04:10.438 --> 00:04:12.518]  The wonderful AXIS TV staff.
[00:04:13.353 --> 00:04:29.018]  He tries to take care of us down here and fix the Tom Warner problems, or not fix them, just try to relay or reroute the problems because Tom Warner cannot fix the system here for your public access TV.
[00:04:30.118 --> 00:04:32.899]  Um, we got Irwin Schrift and I, I'd forgotten that he was coming on.
[00:04:34.366 --> 00:04:38.627]  And he has his views and his analysis of the tax situation.
[00:04:38.647 --> 00:04:42.668]  A few things I might not agree with him totally on, but I agree with him wholeheartedly that it's criminal.
[00:04:43.148 --> 00:04:45.749]  And I've heard his radio program, which is broadcast nationally.
[00:04:45.769 --> 00:04:48.669]  It's on AM and shortwave stations, I believe.
[00:04:49.289 --> 00:04:50.750]  I've heard it on shortwave here in town.
[00:04:51.610 --> 00:04:57.591]  And it puts out a lot of good information that I have documented and that I do know is true.
[00:04:57.611 --> 00:05:00.352]  I've got a lot to talk about.
[00:05:00.372 --> 00:05:01.552]  Now, last time I came out,
[00:05:02.992 --> 00:05:04.013]  I told you about a lady.
[00:05:04.873 --> 00:05:20.623]  They came out on Mesa Press and that she didn't want to come out with it, but she did come out with it later and actually had to go to the hospital because Bill Clinton busted her lips and beat her up and raped her.
[00:05:20.643 --> 00:05:23.665]  And I'm not going to say her name because she doesn't want to be in the public.
[00:05:23.685 --> 00:05:24.646]  She's mad at the media.
[00:05:25.006 --> 00:05:27.788]  I said it last night before I heard that she doesn't want to be involved in this.
[00:05:27.828 --> 00:05:31.730]  So I'm not going to say her name tonight and I'm not going to get involved.
[00:05:33.800 --> 00:05:34.500]  In any of that.
[00:05:37.282 --> 00:05:45.085]  And again, if you guys don't like the transmission of some of these live shows, I assure you, I'm looking at a monitor that shows the real feed that's leaving here.
[00:05:45.125 --> 00:05:49.727]  You can let Time Warner know that you don't appreciate them not fixing the problems at AXS TV.
[00:05:49.828 --> 00:05:54.049]  If you could believe that these type of problems were on any other channel, they would fix them.
[00:05:54.910 --> 00:06:01.413]  But I'm sure that Bob here at AXS Television is trying to fix the problem.
[00:06:03.422 --> 00:06:03.883]  Okay.
[00:06:05.184 --> 00:06:16.674]  Well, a very interesting story came out yesterday, excuse me, Sunday, in Sunday's paper, A28, the Austin American Stations.
[00:06:18.556 --> 00:06:22.860]  And it says here, bombs, black copters, spill secret of CIA school.
[00:06:22.920 --> 00:06:28.365]  It talks about how they blow up buildings on this site, how they have black helicopters.
[00:06:29.544 --> 00:06:31.465]  Black Copters that fly over people's houses.
[00:06:31.525 --> 00:06:32.425]  It's top secret.
[00:06:33.306 --> 00:06:35.867]  This is in North Carolina.
[00:06:38.208 --> 00:06:39.409]  And this is pretty serious.
[00:06:40.589 --> 00:06:42.570]  I've been telling you about this for a long time guys.
[00:06:42.610 --> 00:06:45.831]  This is an Austin American statement on a New York Times whitewash.
[00:06:46.192 --> 00:06:52.174]  This was reprinted from the New York Times by Tim Weiner.
[00:06:53.255 --> 00:06:55.696]  And it talks about how in Hartford, North
[00:06:56.661 --> 00:07:01.545]  Carolina, nine miles out of Hartford, a town as tranquil as an old dog on a porch.
[00:07:01.625 --> 00:07:06.029]  The road ends at a sign that says, Harvey's Point Defense Testing Activity.
[00:07:06.889 --> 00:07:11.673]  And it talks about how it is a CIA base and how they have, look at that!
[00:07:12.194 --> 00:07:13.795]  Access TV fixed it again.
[00:07:14.296 --> 00:07:16.978]  But that is not Access TV's problem, ladies and gentlemen.
[00:07:17.038 --> 00:07:18.119]  That is Tom Warner's problem.
[00:07:18.139 --> 00:07:22.462]  They only have two, I'm not very technical, but they have two ways of writing the signal.
[00:07:22.522 --> 00:07:25.665]  So if there was another live show right now, I would have to take the bad signal.
[00:07:27.139 --> 00:07:28.981]  Tom Warner needs to fix that problem.
[00:07:29.361 --> 00:07:34.545]  And AXS TV has told them 350,000 times about the problem.
[00:07:34.565 --> 00:07:36.206]  We've all written out trouble reports.
[00:07:36.707 --> 00:07:39.729]  And Tom Warner never fixes it.
[00:07:39.769 --> 00:07:40.810]  They say they try to fix it.
[00:07:41.611 --> 00:07:42.811]  I don't take that excuse.
[00:07:43.972 --> 00:07:46.574]  They have a monopoly for the right-of-ways here in town.
[00:07:47.956 --> 00:07:50.197]  And that's why we have AXS TV.
[00:07:50.518 --> 00:07:52.139]  Your tax dollars don't pay for it.
[00:07:52.159 --> 00:07:54.701]  It comes out of your cable bill about 32 cents a month.
[00:07:55.575 --> 00:08:03.620]  So compare the three channels you get of questionable material, but free speech sometimes, with one movie channel.
[00:08:04.861 --> 00:08:12.066]  Most of these movie channels, some of them cost, you know, 20, 30 times what active television costs you.
[00:08:12.086 --> 00:08:13.206]  That's just one movie channel.
[00:08:13.647 --> 00:08:14.767]  So you get a pretty good value.
[00:08:14.788 --> 00:08:16.028]  And you also get a bigger value.
[00:08:16.048 --> 00:08:21.412]  If you have a problem, something goes on in your life, you can come down here in an open studio,
[00:08:22.352 --> 00:08:23.973]  You don't have to be a producer.
[00:08:24.013 --> 00:08:28.495]  You can have a TV show a couple times a year to get your information out.
[00:08:28.555 --> 00:08:31.597]  Or if you want to be a producer and take the classes, you can be on once a week.
[00:08:33.158 --> 00:08:33.818]  That is why.
[00:08:35.119 --> 00:08:38.280]  Okay, later we're going to talk about the CIA school.
[00:08:38.300 --> 00:08:39.801]  I'm going to save that till later.
[00:08:39.821 --> 00:08:45.944]  Then I've got a piece about Earth First and Greenpeace and all these organizations.
[00:08:46.084 --> 00:08:47.485]  I have Earth First Austin.
[00:08:48.857 --> 00:08:56.422]  Um, it talks about in this issue, nuke news, in corporate dominance, yellow bikes, pepper spray, poetry, and much more.
[00:08:56.442 --> 00:09:01.905]  And there's a lot of good information that comes out from these guys, except for one thing.
[00:09:03.646 --> 00:09:04.286]  They're Dukes.
[00:09:04.426 --> 00:09:05.387]  They're a front group.
[00:09:05.727 --> 00:09:12.591]  They're out there so the government can point and say, see, these people want this, or these people want that.
[00:09:13.612 --> 00:09:14.892]  And that's all it comes down to.
[00:09:14.932 --> 00:09:15.713]  That's all it's about.
[00:09:16.954 --> 00:09:19.196]  They don't know what they're talking about on most issues.
[00:09:20.117 --> 00:09:22.539]  They're about watering down private property rights.
[00:09:22.579 --> 00:09:26.282]  They're about big government being able to socialize things in the name of the environment.
[00:09:29.024 --> 00:09:29.885]  How do I know this?
[00:09:30.105 --> 00:09:35.109]  Well, I'm thinking to show you an environmentalist TV show that's here on active television.
[00:09:36.050 --> 00:09:37.451]  And I know some of the people that produce it.
[00:09:37.491 --> 00:09:38.692]  They're nice people.
[00:09:39.893 --> 00:09:41.254]  But they're dukes, and they're ignorant.
[00:09:42.375 --> 00:09:45.238]  I've had several arguments with these people probably four or five months ago.
[00:09:46.112 --> 00:09:46.992]  And I talked about them.
[00:09:47.572 --> 00:09:53.594]  But I figure, since I'm going to talk about them, I might as well play a clip of some of the things they're talking about.
[00:09:53.734 --> 00:09:57.054]  And what they talk about seems real, real reasonable.
[00:09:58.034 --> 00:09:59.895]  And, you know, there's not a big problem.
[00:09:59.975 --> 00:10:05.316]  And they're talking about how we don't want nuclear storage ducts in Texas.
[00:10:05.376 --> 00:10:06.156]  And I agree.
[00:10:07.956 --> 00:10:11.057]  Problem is, is that we've already created all this nuclear waste.
[00:10:11.197 --> 00:10:15.238]  Europe has the most nuclear power of any country in the world, except for Japan.
[00:10:17.080 --> 00:10:31.283]  And we've got all this storage waste from our nuclear weapons programs, and it's terrible, and it's bad, and it's also bad that the government has released massive amounts of radiation, not because they had to back in the fifties, but because they wanted to test it on us.
[00:10:31.743 --> 00:10:42.045]  And of course, that's in this month's Popular Mechanic category, the last two weeks, they admit that something like five tons of uranium were released into the air, and cancer rates did increase.
[00:10:42.085 --> 00:10:44.105]  That's your government, they really love you, let me tell you.
[00:10:47.339 --> 00:10:55.186]  I agree with Earth First and Greenpeace on the basic issue of environment and not releasing radioactivity and things like this.
[00:10:56.387 --> 00:10:59.990]  I think you have better sources of energy rather than nuclear power.
[00:11:00.330 --> 00:11:02.332]  I think in space it's very, very good.
[00:11:02.352 --> 00:11:05.655]  The problem isn't getting the nuclear matter up into space.
[00:11:05.755 --> 00:11:06.715]  There's danger there.
[00:11:07.276 --> 00:11:10.739]  But that's not what we're here to talk about tonight.
[00:11:12.577 --> 00:11:14.118]  But we are going to talk about that some.
[00:11:14.718 --> 00:11:30.425]  My point is, I had conversations with these people and they all agreed that free market is the problem, that the middle class is the problem, not the ultra-rich, they're understanding and can be worked with, and not the poor, it's the middle class.
[00:11:30.465 --> 00:11:39.069]  They're the consumers, they're the ones that demand all this, they're the ones that need to be brought down to their knees by socialism for a group collective.
[00:11:39.927 --> 00:11:43.408]  I find that very, very abhorrent and very, very scary.
[00:11:45.028 --> 00:11:45.688]  Think about that.
[00:11:46.568 --> 00:11:47.029]  Think about it.
[00:11:48.129 --> 00:12:03.252]  It is just insane that these people go their whole lives with pictures of birdies, and pictures of turtles, and pictures of snakes, and pictures of salamanders, and they put all this trouble into things.
[00:12:04.827 --> 00:12:16.111]  They go to their universities and hear from the universities that are bought and paid for by the government and the ultra-riches, foundation money, that the problem is this nasty middle class.
[00:12:17.631 --> 00:12:19.932]  And I'm not just saying this cliche for no reason here.
[00:12:20.272 --> 00:12:27.315]  There was Hitler, there was Stalin, there was Mao, there was every other authoritarian, command and control regime.
[00:12:27.355 --> 00:12:28.635]  The middle class is the problem.
[00:12:28.655 --> 00:12:30.676]  And they've been trained, and they were trained.
[00:12:30.696 --> 00:12:32.757]  They were told in college, are you for the voting?
[00:12:33.057 --> 00:12:33.417]  Yes!
[00:12:34.108 --> 00:12:36.150]  Then you know the middle class is bad.
[00:12:36.530 --> 00:12:36.991]  Yes!
[00:12:37.451 --> 00:12:47.119]  They take something good and wholesome, get you to accept that, and then tag onto it, like a train, a whole bunch of boxcars of slavery.
[00:12:47.820 --> 00:12:53.705]  And I sat right out here with this gentleman, you're fixing to see in a couple minutes, to his face and
[00:12:54.923 --> 00:13:04.229]  I've heard him say that the middle class is the problem, that world socialism is the key, that once they socialize things, everything is going to be milk and honey flowing down the streets.
[00:13:05.289 --> 00:13:06.170]  Well, here's the problem.
[00:13:07.351 --> 00:13:09.732]  And here's something that has to be talked about.
[00:13:09.812 --> 00:13:11.313]  Here's something that has to be dealt with.
[00:13:13.875 --> 00:13:19.377]  Every socialist, authoritarian, command-and-control, fascist, doesn't matter, it's all command-and-control.
[00:13:19.477 --> 00:13:23.038]  Don't use their little false slogans and political paradigms.
[00:13:23.098 --> 00:13:24.119]  It's all command-and-control.
[00:13:24.739 --> 00:13:25.839]  Have the worst environment.
[00:13:25.859 --> 00:13:27.940]  It's Russia with its Chernobyl.
[00:13:28.060 --> 00:13:32.542]  And I know Chernobyl was in Ukraine, ladies and gentlemen.
[00:13:32.562 --> 00:13:32.962]  I know that.
[00:13:33.002 --> 00:13:34.283]  But it was in a Russian satellite.
[00:13:34.463 --> 00:13:38.064]  The Russians dump nuclear reactors in their lakes when they're done with them.
[00:13:38.124 --> 00:13:39.484]  They encase them in concrete.
[00:13:39.504 --> 00:13:43.466]  They're so lazy, they just throw them in their lakes and let their people drink them.
[00:13:45.290 --> 00:13:47.432]  They don't put them in underground vaults like we do.
[00:13:48.372 --> 00:13:51.915]  They have a terrible economy, riddled with crime.
[00:13:51.975 --> 00:13:54.557]  It's always been riddled with crime before Perestroika.
[00:13:55.438 --> 00:13:58.921]  People say Russia's organized crime now was always run by organized crime.
[00:13:58.981 --> 00:14:02.263]  It just posed as the state, and it was more consolidated.
[00:14:02.283 --> 00:14:07.327]  It was trying to take over the world, and it was financed by banks here in the U.S.
[00:14:07.467 --> 00:14:11.250]  Yes, private banks financed the Bolshevik Revolution, and financed Hitler.
[00:14:11.290 --> 00:14:11.791]  Just a fact.
[00:14:14.238 --> 00:14:18.105]  They're sitting here telling us that we need socialism and the middle class is the problem.
[00:14:18.586 --> 00:14:20.029]  And they don't say that on this tape.
[00:14:20.950 --> 00:14:26.541]  Oh, they talk about democracy and the people's rule and corporate domination.
[00:14:28.072 --> 00:14:53.543]  These people are controlled by the elite corporations, by the top 20 corporations and banks, and insurance companies, and never had the foggiest notion that their education was controlled, that they were put into a group psychology, peer pressure group in the universities and the high schools, and were indoctrinated about environmentalism, which is in its current form a religion, a religion for state control, an excuse, a rationale,
[00:14:54.863 --> 00:14:56.364]  For total command and control.
[00:14:56.604 --> 00:14:58.224]  And I don't want to use that word over and over.
[00:14:58.264 --> 00:14:59.024]  Command and control.
[00:14:59.084 --> 00:14:59.824]  Command and control.
[00:14:59.864 --> 00:15:00.664]  Command and control.
[00:15:00.964 --> 00:15:01.945]  Social engineering.
[00:15:02.005 --> 00:15:03.065]  Social architecture.
[00:15:03.485 --> 00:15:04.445]  But that is what it is.
[00:15:06.266 --> 00:15:11.887]  Let's go ahead and go to just a couple minutes of that first clip that's already cued up.
[00:15:12.507 --> 00:15:13.427]  It is this gentleman.
[00:15:13.487 --> 00:15:14.267]  I don't remember his name.
[00:15:14.347 --> 00:15:16.168]  I just saw it today and got a clip of it.
[00:15:16.668 --> 00:15:23.168]  he's here on AXS TV, while he sits around and snootily talks about how, you know, we're
[00:15:23.168 --> 00:15:26.868]  against nuclear weapons, which is fine, and we're against nuclear dumping.
[00:15:26.868 --> 00:15:31.307]  But if you talk to him in person and the rest of his clan, which you haven't had out here,
[00:15:31.307 --> 00:15:32.268]  about ten of them before...
[00:15:32.268 --> 00:15:34.268]  [Music]
[00:15:38.916 --> 00:15:47.483]  Not the IRS, not the federal government, not the military-industrial complex that controls the media and controls the universities and builds these nuclear weapons.
[00:15:47.963 --> 00:15:49.344]  No, no, no, no, no, no, no.
[00:15:49.685 --> 00:15:50.585]  It's the middle class.
[00:15:51.966 --> 00:15:53.828]  The military-industrial complex that I
