[00:00:00.000 --> 00:00:18.239]  [ Silence ]
[00:08:31.971 --> 00:08:33.091]  We're going to go ahead and go to this.
[00:08:33.111 --> 00:08:36.372]  I'm going to go ahead and replay the first two minutes again to intro it.
[00:08:37.312 --> 00:08:42.233]  Here is The New World Odor by Anthony Hilder.
[00:08:43.033 --> 00:08:45.213]  It runs about an hour and 45 minutes, I believe.
[00:08:45.653 --> 00:08:47.254]  Then I'll be back to take your phone calls.
[00:08:47.354 --> 00:09:01.336]  And then I'm going to run about a three minute piece of the IRS admitting Lady Daryl Axton, producer in Austin, that the money is deposited, when they take it from you, in a Federal Reserve system.
[00:09:03.119 --> 00:09:08.601]  And then I'm going to play some footage of Anthony Hilder talking about showing photographs.
[00:09:08.641 --> 00:09:09.562]  What's up?
[00:09:09.642 --> 00:09:13.363]  We'll fix that in a second.
[00:09:13.383 --> 00:09:13.644]  Again.
[00:09:13.724 --> 00:09:17.545]  Can y'all control that in there?
[00:09:17.805 --> 00:09:22.967]  Now this is what happens when I show more porn.
[00:09:23.148 --> 00:09:24.408]  We have no idea what it is, Alex.
[00:09:24.428 --> 00:09:29.610]  Well I would beg you to continue to watch the program.
[00:09:29.730 --> 00:09:30.871]  Please continue to watch.
[00:09:30.890 --> 00:09:39.730]  on it.
[00:09:39.663 --> 00:09:40.363]  Okay, fine.
[00:09:41.004 --> 00:10:00.599]  Now, all I want to say to people out there is, I kind of got lost when I was saying this, we're going to show you footage coming up in about two hours of photographs taken by a geological survey plane from the state of Oklahoma that was given to Anthony Hilder and Ted Gunderson, ex-FBI head, in California.
[00:10:01.980 --> 00:10:02.861]  So that's coming up.
[00:10:03.362 --> 00:10:06.584]  But here you have it, the New World odor.
[00:10:08.164 --> 00:10:35.459]  And please, set your VCRs, please go out and get a tape if you have to, and tape this, get it to friends, give it to police officers, you know, get it out to people, because that's one of our only hopes, is that police will go back to being guardians and defenders and peacekeepers, peace officers, and not people in black ski masks and black helmets driving armored personnel carriers and flying helicopters under Janet Reno's control.
[00:10:36.294 --> 00:10:39.576]  And before we get to that, let me go over this news story because I don't want to forget this.
[00:10:39.997 --> 00:10:52.005]  Again, we had a whole statement article and not one mention of how black congressmen and people like Maxine Waters and others are being arrested out front the CIA a few months ago to get the CIA hearings.
[00:10:53.086 --> 00:10:54.907]  CIA drug running hearings, did you know?
[00:10:54.927 --> 00:10:56.188]  You could only see it on C-SPAN.
[00:10:57.069 --> 00:11:04.234]  And then I heard, I saw the live hearing, I heard that later when they played it they bleeped out some things because supposedly Maxine Waters talked about some classified issues.
[00:11:06.038 --> 00:11:09.920]  This entire statement article from this Saturday doesn't tell you one thing.
[00:11:10.861 --> 00:11:12.922]  Doesn't tell you zero.
[00:11:13.902 --> 00:11:22.647]  Not a zip about the documents that have come out about the FBI and the CIA or elements being involved in the assassination of Martin Luther King.
[00:11:25.449 --> 00:11:34.898]  Also, I've had this for the last week on here, and I think it bears repeating, like the Laird Neuzauer clip does, of black helicopters for surveillance of us in a secret federal program of local law enforcement.
[00:11:35.178 --> 00:11:39.201]  I've played that probably 40 times for you.
[00:11:39.241 --> 00:11:42.104]  Well, here it is, not this Sunday, but last Sunday, March 29th.
[00:11:42.244 --> 00:11:45.487]  I've been saying April like a maniac.
[00:11:46.107 --> 00:11:46.508]  March 29th, 1998.
[00:11:50.379 --> 00:11:53.961]  Bombs, black copters, spilled secret of CIA school.
[00:11:55.582 --> 00:11:59.924]  Folks in North Carolina towns shrug off official explanation of mysterious military post.
[00:12:00.205 --> 00:12:11.171]  And in the statement, the New York Times article, admit, by Tim Weiner, this is a syndicated article, admit that it is a CIA bait.
[00:12:11.966 --> 00:12:17.308]  Officially, Harvey Point is some sort of Pentagon post where everybody around Hartford says the official version is fiction.
[00:12:17.568 --> 00:12:21.249]  He felt it was a CIA base from the beginning, said Paul Gregory, the county manager.
[00:12:21.509 --> 00:12:31.452]  And it says, in fact, Harvey Point is the place where for the last 37 years the CIA has run secret paramilitary and counterterrorism courses for thousands of its officers and select foreigners.
[00:12:31.872 --> 00:12:37.374]  And it talks about how they train Egyptians and Israelis and Russians.
[00:12:39.115 --> 00:12:40.455]  I remember reading in the New York Times
[00:12:42.782 --> 00:12:43.783]  The New York Times.
[00:12:45.403 --> 00:12:47.765]  And you're saying, why am I reading from mainstream if I don't trust it?
[00:12:48.025 --> 00:12:50.886]  Well, it tells you here that they were real nice folks, Gregory recalls.
[00:12:51.187 --> 00:12:52.727]  They said they would show us around the base.
[00:12:52.788 --> 00:12:54.408]  Well, they did not show us around the base.
[00:12:54.949 --> 00:13:02.173]  It talks about how they blow up buildings and test bombs and train foreign people to blow things up for anti-terrorism.
[00:13:02.233 --> 00:13:04.254]  How does anti-terrorism blow buildings up?
[00:13:05.153 --> 00:13:11.874]  How does anti-terrorism haul in black buses and limousines and they come out charred ruins
[00:13:11.874 --> 00:13:12.874]  riddled with doorholes?
[00:13:12.874 --> 00:13:13.874]  They're practicing assassination.
[00:13:13.874 --> 00:13:19.553]  You ever heard of School of the Americas, where they train people how to kill people
[00:13:19.553 --> 00:13:22.394]  and train the death squads and sit there on top of America that resulted in the deaths
[00:13:22.394 --> 00:13:27.193]  of hundreds of thousands of coffee farmers that wouldn't be run off their land?
[00:13:27.193 --> 00:13:31.474]  In southern Mexico, they're running peasants off their land for the human biosphere under
[00:13:31.474 --> 00:13:32.474]  the guise of environmentalism.
[00:13:32.474 --> 00:13:36.913]  They run them up to Mexico City.
[00:13:36.913 --> 00:13:42.633]  How do you think Mexico City had, like, 16, 17 million people 10 or 12 years ago, and
[00:13:42.633 --> 00:13:45.013]  now it has 27 million, according to PBS?
[00:13:45.869 --> 00:13:52.098]  Half of them homeless, working in the factories and living in cardboard boxes, beside sewers, and get running water like 10 minutes a day.
[00:13:52.904 --> 00:13:56.487]  Because they're being forced up there to be slaves off their ancestral land.
[00:13:56.787 --> 00:13:58.188]  That's what environmentalism's about.
[00:13:58.688 --> 00:14:03.232]  And a thousand little dukes out there looking nice with weirds and long hair and earrings.
[00:14:03.332 --> 00:14:04.573]  I don't care what you look like.
[00:14:05.173 --> 00:14:06.294]  But look at these guys.
[00:14:06.314 --> 00:14:09.537]  They're wearing the cloak of goodness as they go out as dukes.
[00:14:09.557 --> 00:14:10.678]  That's the best kind of duke.
[00:14:11.939 --> 00:14:13.360]  That's the best kind of front man.
[00:14:13.380 --> 00:14:22.647]  It's a wind-up toy that you wind up and then you let it go with some kind of cosmology that's been developed by the universities that are funded by the big corporations.
[00:14:23.997 --> 00:14:25.099]  I am for free market.
[00:14:26.481 --> 00:14:28.584]  One hundred and ten percent.
[00:14:29.144 --> 00:14:31.187]  I am for free market.
[00:14:32.349 --> 00:14:38.698]  But I am not and I will never be for socialism or the rich.
[00:14:39.199 --> 00:14:40.821]  A criminal way to consolidate wealth.
[00:14:41.869 --> 00:14:42.569]  All right, let's go ahead.
[00:14:42.629 --> 00:14:43.470]  I've gone too long.
[00:14:44.930 --> 00:14:45.850]  It's right here in front of you.
[00:14:45.871 --> 00:14:46.851]  They're training terrorists.
[00:14:46.911 --> 00:14:48.672]  They were obviously involved in Oklahoma City.
[00:14:49.692 --> 00:14:51.993]  The government, or elements of it, did that.
[00:14:52.333 --> 00:15:00.196]  Next week I'll play another documentary on that with an eyewitness, a lady that worked in housing and urban development, the president of it, here in Oklahoma City.
[00:15:00.316 --> 00:15:03.637]  She was there in fall of maintenance, man, hooking up packages to the pillar.
[00:15:05.040 --> 00:15:10.804]  Okay, I'll play that next week, and I'll play some clips of the Ryder truck being left with fuel oil in about two hours, an hour and a half.
[00:15:11.024 --> 00:15:13.546]  Let's go ahead and go to the documentary by Anthony Hilder.
[00:15:13.806 --> 00:15:15.367]  Thank you for watching Exposing Corruption.
[00:15:15.387 --> 00:15:15.868]  We'll be back.
[00:15:18.449 --> 00:15:20.010]  And again, I want to thank my producers, Nick.
[00:15:23.673 --> 00:15:29.497]  Some of our children simply don't have what they need to grow and learn in their own homes or schools or neighborhoods.
[00:15:30.417 --> 00:15:32.439]  And that means the rest of us must be more.
[00:15:33.226 --> 00:15:35.028]  They are our children, too.
[00:15:35.668 --> 00:15:41.548]  citizen service is an American responsibility, which all Americans should embrace, and I
[00:15:41.548 --> 00:15:43.828]  ask your support for that endeavor.
[00:15:43.828 --> 00:15:49.228]  Thank you.
[00:15:49.203 --> 00:15:53.788]  I'd like to make just one last point that I'd like to make.
