[00:00:00.792 --> 00:00:01.395]  Sunday Night!
[00:02:44.745 --> 00:02:59.513]   The United States government reclaimed the patent from the University of North Carolina Chapel Hill and the Department of Health and Human Services at the National Institutes of Health took that UNC Chapel Hill patent on infectious replication defective coronavirus And reclaim title and interest to it.
[00:02:59.573 --> 00:03:09.716]  We changed the definition of an adverse event following vaccination in 2018 and 2019 so that legally there was no adverse event.
[00:03:09.876 --> 00:03:14.998]  If you got the shot and fell over dead, that was not an adverse event.
[00:03:15.718 --> 00:03:25.140]   They said on September 18th, 2019, that by September 20, Of 2020, the world would accept a universal vaccine.
[00:03:25.840 --> 00:03:32.944]  They said that there was going to be an accidental or deliberate release of a lethal respiratory pathogen.
[00:03:33.344 --> 00:03:34.525]  They knew it was deadly.
[00:03:34.905 --> 00:03:36.225]  They knew it was going to kill people.
[00:03:36.385 --> 00:03:43.329]  The motivation was, we have a commercially interested group of sociopaths who want to make money while killing people.
[00:03:43.849 --> 00:03:44.689]  That's the bottom line.
[00:03:44.809 --> 00:03:46.930]  This is when it stops being fun.
[00:03:47.290 --> 00:03:48.511]  This is when it gets hard.
[00:03:48.911 --> 00:03:50.292]  This is the Valley Forge.
[00:03:50.572 --> 00:03:52.653]  And we've got a long campaign in front of us.
[00:03:53.033 --> 00:03:59.875]  What I would highly advise, and I've advised this everywhere I go, get used to using cash and make sure you have a lot of it on hand.
[00:04:00.136 --> 00:04:01.336]  And where do we go after this?
[00:04:02.016 --> 00:04:02.937]  Well, it's very simple.
[00:04:03.857 --> 00:04:05.778]  Start depositing goodwill all over the place.
[00:04:06.378 --> 00:04:10.219]  We actually have the ability right now to actually change our behavior.
[00:04:10.599 --> 00:04:12.840]  Start living and treating each other with decency.
[00:04:13.200 --> 00:04:25.083]  Start doing things where the community and the humanity that we actually manifest is something that people look at and go, I want more of that, more than I want the fear, more than I want the tyranny, more than I want the control.
[00:04:25.483 --> 00:04:31.045]  Because it turns out that the only way the globalists win is if you give in to fear.
[00:04:32.170 --> 00:04:33.651]  That is the only way they win.
[00:04:34.092 --> 00:04:34.752]  So don't worry.
[00:04:35.132 --> 00:04:36.493]  They can't take what you don't give them.
[00:04:37.014 --> 00:04:38.034]  So don't give them anything.
[00:04:38.735 --> 00:04:41.517]  We, the people, can say no.
[00:04:42.258 --> 00:04:44.699]  Reporting for InfoWars, this is Greg Reese.
[00:04:45.520 --> 00:04:46.141]  All right, folks.
[00:04:46.221 --> 00:04:48.542]  It's Sunday night, June 23rd, 2024.
[00:04:49.023 --> 00:04:51.244]  We have massive news on so many fronts.
[00:04:51.805 --> 00:04:53.986]  We're enjoying a bunch of stations coming up in 60 seconds.
[00:04:53.826 --> 00:05:17.427]   Please stay with us and tell folks to him Infowars the most banned network in the world
[00:05:17.711 --> 00:05:25.173]  134 days to the election.
[00:05:25.213 --> 00:05:31.694]  You are listening to an InfoWars.com frontline report.
[00:05:32.634 --> 00:05:36.515]  If you are receiving this transmission, you are the resistance.
[00:05:40.006 --> 00:05:44.309]  Thank you for joining us on this live Sunday, June 23rd, 2024 transmission.
[00:05:45.089 --> 00:05:46.370]  I am your host, Alex Jones.
[00:05:46.390 --> 00:05:53.094]  I'm going to be here for the next two hours, live, unfiltered, and then Chase Geiser for another two hours, 6 to 8 p.m.
[00:05:53.594 --> 00:05:56.336]  Sunday night, live, ahead of tomorrow morning, 8 a.m.
[00:05:56.876 --> 00:05:58.037]  on the InfoWars Network.
[00:05:59.177 --> 00:06:01.759]  Harrison Smith, American Journal, then I'm back at 11 a.m.
[00:06:01.799 --> 00:06:02.780]  Central, then 3 p.m.
[00:06:02.820 --> 00:06:04.421]  Eastern, 4 p.m.
[00:06:04.461 --> 00:06:05.101]  Eastern, 3 p.m.
[00:06:05.141 --> 00:06:07.923]  Central, Owen Schroer with The War Room.
[00:06:08.931 --> 00:06:09.632]  All right, folks.
[00:06:09.932 --> 00:06:15.755]  Again, every show has a ton of news and important information, but today is even more insane than usual.
[00:06:15.775 --> 00:06:26.202]  About a month ago, you know that the Pentagon and NATO announced that they're going to start delivering heavy cruise missiles and long-range cruise missiles and ballistic missiles to Ukraine.
[00:06:27.403 --> 00:06:38.090]  And the head of NATO, Stoltenberg, admitted what the Russians said months ago was true, that the United States and NATO crews are running those missile emplacements.
[00:06:39.642 --> 00:06:59.313]  So today, five Atacam ballistic missiles were fired into Crimea, into the main seaport there, and targeted the beach, where people were laying out at the beach and reportedly killed masses of people.
[00:06:59.774 --> 00:07:12.078]   The Russians say they don't know yet, they vow there'll be major Counter-strikes because of this, and this is obviously meant to poke the Russians, poke the bear into a wider escalation.
[00:07:12.098 --> 00:07:21.803]  So the United States is running these crews and is now firing ballistic missiles, heavy missiles, big missiles.
[00:07:23.484 --> 00:07:32.208]  And of course, it's being reported that Russia blames the United States, but now the West is admitting that indeed these were Western missiles that did this.
[00:07:33.629 --> 00:07:40.112]  They've got crazy headlines out of places like Yahoo, why it's too late to stop World War 3.
[00:07:41.032 --> 00:07:44.694]  Big article, top of Yahoo, that says, hey, it's no big deal.
[00:07:44.714 --> 00:07:49.156]  We're going to have a total war with Russia and China, so get ready for the national draft.
[00:07:50.957 --> 00:07:51.917]  Very, very interesting.
[00:07:52.357 --> 00:07:53.638]  It just says this is the way it is.
[00:07:54.518 --> 00:07:55.459]  Russia says the U.S.
[00:07:55.499 --> 00:07:58.500]  is responsible for deadly Ukrainian attack on Crimea.
[00:08:00.812 --> 00:08:08.012]   Ukrainian attack 'ems, that's Western attack 'ems, blow up over Crimea beach forcing sunbathers to flee as Russia
[00:08:08.012 --> 00:08:09.512]  claims five kill.
[00:08:09.512 --> 00:08:12.512]   That's all numbers now they're saying it's a heavy loss of life.
[00:08:12.512 --> 00:08:20.012]   And then RT's own headline, Ukraine kills civilians in Crimea with US supplied missiles.
[00:08:20.012 --> 00:08:23.812]  Ukraine attacks with US.
[00:08:23.854 --> 00:08:24.575]  supplied missiles.
[00:08:24.655 --> 00:08:26.496]  It's not Ukraine, it's the West, folks.
[00:08:27.357 --> 00:08:39.365]  Again, George Soros, eight years ago, went on, Farid Zarkaria, who played it probably a hundred times, on CNN and said, oh, the West has overthrown their government, we're in a war with Russia, and it's gonna turn into a full war.
[00:08:42.648 --> 00:08:55.698]   Meanwhile, Russia opens terror probe after attacks on synagogues, Orthodox churches, priests, and five police, no, six police killed in attacks there in the eastern region of Russia.
[00:08:55.698 --> 00:09:00.318]  Gunmen fire on targets in Russia's Dagestan region.
[00:09:00.318 --> 00:09:01.658]  Six police killed.
[00:09:01.658 --> 00:09:10.519]   Police and six law enforcement officers killed in attacks on synagogues and church in Russia's Dagestan.
[00:09:10.519 --> 00:09:19.298]   And again, here's the attack on missiles that the West is firing at the Russians,
[00:09:19.298 --> 00:09:21.298]  the MGM 140.
[00:09:21.369 --> 00:09:23.414]  Attack them with cluster bombs!
[00:09:26.559 --> 00:09:27.740]  And here's Russia's statement.
[00:09:28.440 --> 00:09:38.045]  Today at 12.15, a terrorist missile strike by five U.S.-made ATACMS operational tactical missiles equipped with cluster warheads was deliberately delivered at Sevastopol.
[00:09:39.826 --> 00:09:43.528]  The alert air defense units intercepted four of the U.S.-made ATACMS missiles.
[00:09:43.908 --> 00:09:51.852]  The explosions of the fragmentation warhead of the fifth U.S.-made missile in the air led to a high number of casualties among peaceful residents.
[00:09:52.532 --> 00:09:58.954]  The American specialists input all flight tasks in the U.S.-made ATACMS operational tactical missiles on the basis of data from U.S.
[00:09:58.974 --> 00:09:59.934]  satellite reconnaissance.
[00:10:00.994 --> 00:10:14.098]  This is why Washington is mostly responsible for deliberate missile strike at peaceful residence of Sevastopol by delivering this weaponry to Ukraine as well as Kiev regime for the territory of which the strike was launched.
[00:10:14.538 --> 00:10:17.419]  Such actions are not going to be left unanswered.
[00:10:19.246 --> 00:10:20.726]  You say off to the races?
[00:10:21.247 --> 00:10:21.947]  Here's another one.
[00:10:22.607 --> 00:10:32.550]  Ukraine begins using German weapons to strike Russian territory, reports the major publication in Germany, Bild.
[00:10:34.371 --> 00:10:37.812]  So we've got a lot on that news.
[00:10:37.852 --> 00:10:40.392]  Terror in Russia, government opens fire at synagogues and churches.
[00:10:41.873 --> 00:10:46.834]  That's just some of the news that we'll be getting more into here today.
[00:10:48.755 --> 00:10:51.886]   Now, I'm just going to go over what we're covering.
[00:10:51.946 --> 00:10:52.907]  I'm going to drill more into this.
[00:10:54.247 --> 00:11:16.134]  But Maxine Waters has been running around like a ferret on PCP and methamphetamine saying that imminent, we got the clip coming up, imminent attacks are coming from Trump supporters, white supremacist training at quote forest bases.
[00:11:17.135 --> 00:11:18.415]  She's been saying this for four months.
[00:11:19.770 --> 00:11:25.375]  He's constantly running around saying it with no evidence that Trump supporters are planning terror attacks.
[00:11:26.577 --> 00:11:34.644]  Now remember, the FBI already hatched the Governor Whitmer kidnapping plot four years ago, then they manipulated and staged January 6th.
[00:11:35.345 --> 00:11:40.470]  So this is clear pre-programming with 134 days left.
[00:11:40.490 --> 00:11:43.073]  I'll put it on screen, the number of days left.
[00:11:43.113 --> 00:11:43.613]  I think it's 134, isn't it?
[00:11:45.294 --> 00:11:58.017]  With 134 days left until the election, there it is, 134 days, 7 hours, 47 minutes, 16 seconds, and they are just pre-programming, oh my gosh, imminent white supremacist terror attacks.
[00:11:58.597 --> 00:12:13.301]  Joe Biden's put out a national security memorandum directing the Homeland Security System, not just the FBI, not just the Justice Department, the Pentagon as well, that the number one terror threat is white supremacy in June of 2021, three years ago.
[00:12:18.109 --> 00:12:20.730]  And now they are in overdrive, hyping this.
[00:12:20.770 --> 00:12:23.091]  It's not hard to say 2 plus 2 equals 4.
[00:12:24.411 --> 00:12:26.692]  When they are hyping this, everywhere.
[00:12:27.612 --> 00:12:31.534]  Civil War, mass death, Trump supporters are going to launch all this violence.
[00:12:32.074 --> 00:12:33.254]  You know they're getting ready to stage it.
[00:12:33.775 --> 00:12:51.669]   Why, if we're winning hearts and minds everywhere, and all these globalist minions are rats leaving a sinking ship, why on earth would conservatives, who statistically have the lowest crime rate of anybody out there, Go out and randomly attack black people like Maxine Waters is saying.
[00:12:51.769 --> 00:12:53.049]  Well, the answer is it's not true.
[00:12:54.330 --> 00:12:57.350]  You're about to see Oklahoma City 2.0, which we know was staged by the feds.
[00:12:57.390 --> 00:12:59.371]  And if you haven't researched that, you should look into it.
[00:12:59.391 --> 00:13:00.831]  A lot of books, a lot of films made.
[00:13:01.391 --> 00:13:02.232]  It's just overwhelming.
[00:13:02.292 --> 00:13:03.972]  It's just incredible how staged it was.
[00:13:04.832 --> 00:13:10.574]  And the very same people running the Justice Department today were mid-level back under the Clintons in 1995 when that happened.
[00:13:12.998 --> 00:13:14.338]  So here's the deal.
[00:13:15.399 --> 00:13:22.621]  We have Andrew Cuomo coming out and saying the persecution of Trump is wrong.
[00:13:23.822 --> 00:13:26.903]  We have Judge Judy saying it's wrong, just last day or two.
[00:13:27.723 --> 00:13:29.483]  We have Bill Maher.
[00:13:30.484 --> 00:13:31.424]  And I'm going to stop there.
[00:13:32.744 --> 00:13:41.028]   We've got so many clips People distancing themselves from what's been done to Trump, the American people, that we could fill the next two hours with it.
[00:13:41.068 --> 00:13:56.473]  But just in the last 48 hours, we have Cuomo, Bill Maher, Judge Judy, and a bunch of others and CNN analysts coming out saying this is wrong because the public didn't buy it, it backfired.
[00:13:57.834 --> 00:14:04.697]   So instead you've got Maxine Waters telling you What they're going to do.
[00:14:05.097 --> 00:14:09.979]  You know, a good boxer will faint like they're going to hit you with their right and they hit you with their left.
[00:14:10.019 --> 00:14:15.101]  Or they'll move to the right thinking you'll move to the right and then they'll move to the left.
[00:14:15.861 --> 00:14:16.761]  This is not a faint.
[00:14:18.302 --> 00:14:25.604]  They are not running around hyping imminent white supremacist terror attacks for no reason.
[00:14:25.644 --> 00:14:28.925]  Their entire fake cosmology is built on it.
[00:14:32.116 --> 00:14:40.122]  We know the past MO, they'll find mentally ill people, they'll give them money, they'll give them drugs, they'll hop them up, get them to at least say they're going to commit violence before they get more money.
[00:14:40.442 --> 00:14:45.666]  They came out in two of the three trials that ended in mistrials or folks being set free.
[00:14:46.127 --> 00:14:55.254]  They finally got one jury that would convict some of the so-called militia that four years ago was a bunch of homeless people, potheads, weren't even military people.
[00:14:56.335 --> 00:14:57.696]  If you study the case, it's incredible.
[00:14:58.496 --> 00:15:03.413]   And of the 10 leaders of the militia, It was less than 100 people.
[00:15:04.755 --> 00:15:06.338]  Eight of them were FBI, including the leader.
[00:15:07.319 --> 00:15:09.101]  And in the FBI recordings...
[00:15:11.220 --> 00:15:13.562]  That they got forced to hand over during the trial.
[00:15:14.303 --> 00:15:26.913]  Well, in one case, they deleted them, but then when they still turned in the hard drive, the defense was able to do a recapture program where it's actually still on the hard drive and got the full recordings where, I don't want to kidnapper!
[00:15:27.293 --> 00:15:28.394]  I don't want to hurt anybody!
[00:15:28.454 --> 00:15:30.056]  I just want some more weed!
[00:15:30.996 --> 00:15:39.003]  I'll give you $10,000 once you go and at least stay outside our house for the night, and we're going to do a drill that you're going to kidnapper.
[00:15:39.283 --> 00:15:40.024]  I don't want to!
[00:15:40.794 --> 00:15:42.577]  I'll break your legs if you don't do it.
[00:15:44.059 --> 00:15:49.226]  So, they literally found 80 IQ morons.
[00:15:49.426 --> 00:15:50.888]  I mean, that's confirmed.
[00:15:50.948 --> 00:15:54.894]  I mean, all of the so-called militia members were homeless morons.
[00:15:55.734 --> 00:15:59.376]  And I'm not trying to be mean, but you guys just showed, for TV viewers, a clip of some of them.
[00:15:59.677 --> 00:16:04.260]  I mean, you look at them, you know that they're inbred, folks.
[00:16:04.440 --> 00:16:05.160]  These are hillbillies.
[00:16:05.821 --> 00:16:06.781]  And I don't mean that mean.
[00:16:07.282 --> 00:16:10.524]  A bunch of the Muslims are inbred, British royal family's inbred.
[00:16:12.065 --> 00:16:12.725]  It's a problem.
[00:16:13.446 --> 00:16:17.148]  And there are some inbred people in Michigan, just like there are in Texas or Alabama.
[00:16:17.608 --> 00:16:21.291]  You know, not most folks, but sometimes you go to a small town and you go, whoa, what's going on here?
[00:16:22.031 --> 00:16:23.872]  I mean, these boys are inbred.
[00:16:25.714 --> 00:16:28.976]  And they literally found 80 IQ that came out in the court.
[00:16:29.396 --> 00:16:30.997]  One of them had like a 75 IQ.
[00:16:31.017 --> 00:16:32.037]  That's retarded, okay?
[00:16:32.978 --> 00:16:34.979]  They literally found retarded people.
[00:16:37.040 --> 00:16:41.041]  And then gave them in one case, one guy got a hundred grand, but most of them got over 20 grand.
[00:16:41.922 --> 00:16:44.843]  And again, the recordings are, I just want some weed.
[00:16:44.863 --> 00:16:47.264]  I just want to buy some liquor.
[00:16:49.846 --> 00:16:51.647]  No one ever planned to go kidnapper.
[00:16:51.667 --> 00:16:52.507]  So that's on one end.
[00:16:56.186 --> 00:17:06.549]  Where you don't just do like Jesse Smollett and claim you go out at 2.30 and you get a Subway sandwich and 23 below zero and guys show up and dump bleach on you and beat you up and say this is modern country.
[00:17:06.569 --> 00:17:07.410]  Of course that was fake.
[00:17:07.450 --> 00:17:09.730]  And the cops show up and he's got a string around his neck.
[00:17:09.810 --> 00:17:12.251]  It was a fake cut on his face, lipstick.
[00:17:12.571 --> 00:17:14.412]  And the cops are like, okay, this isn't real.
[00:17:18.293 --> 00:17:19.673]  Sometimes they just make stuff up.
[00:17:21.434 --> 00:17:28.140]   But most of the time, the feds go out and they provocateur Complete morons to talk about what they're going to do.
[00:17:29.021 --> 00:17:31.583]  And then sometimes they find real crazies that will actually do it.
[00:17:31.984 --> 00:17:35.567]  And then, it's a minority of the time, but it's the biggest attacks.
[00:17:36.068 --> 00:17:39.391]  Like Oklahoma City in 9-11, the feds staged the whole damn thing.
[00:17:40.387 --> 00:17:45.809]  And then magically find not one, but two of the passports within 48 hours in the dust.
[00:17:45.829 --> 00:17:52.371]  Remember, millions of papers everywhere, more than millions, five feet of dust, all these blown up buildings.
[00:17:52.852 --> 00:17:55.873]  And then look, sir, we found two of their passports in the rubble.
[00:17:57.493 --> 00:17:57.953]  You believe that?
[00:18:00.434 --> 00:18:05.196]  So, I don't think they're going to leave this up to idiots.
[00:18:05.236 --> 00:18:06.197]  They try to wind up.
[00:18:06.217 --> 00:18:07.277]  They're called wind up toys.
[00:18:08.383 --> 00:18:23.746]  Like you wind up a toy and then it got like a little monkey or something and it beats the two cymbals together and walks across the table, or you wind up the little turtle toy and it goes across the floor, or you wind up a little boat and it goes around the bathtub for your three-year-old.
[00:18:25.227 --> 00:18:26.207]  That's a wind-up toy.
[00:18:26.547 --> 00:18:30.088]  I don't think we're gonna get wind-up toys in the next 134 days.
[00:18:30.268 --> 00:18:32.068]  I think we're gonna get Oklahoma City's.
[00:18:32.928 --> 00:18:33.989]  I think we're gonna get 9-11's.
[00:18:34.049 --> 00:18:35.569]  And again, it's not a hard guess.
[00:18:36.772 --> 00:18:39.133]  Because you see all the pre-programming and preparation.
[00:18:39.673 --> 00:18:47.155]  I hope and I pray, by talking about this and by discussing this, that we can, you know, have eyes on this.
[00:18:47.815 --> 00:18:51.516]  And most of the Feds aren't involved, and I'm not trying to kiss their asses, they're compartmentalized.
[00:18:52.977 --> 00:18:54.757]  99% of the Feds are not involved in false flags.
[00:18:55.498 --> 00:19:00.799]  The same special unit they used for the fake Governor Whitmer kidnapping, ran January 6th, that came out in court.
[00:19:01.199 --> 00:19:02.820]  It'd probably be that same unit if I had to guess.
[00:19:07.045 --> 00:19:08.966]  They have so many problems with that unit, though.
[00:19:09.046 --> 00:19:15.028]  Like, one guy beat up his wife at a swinger party and broke her nose, and another guy was caught mezzling money.
[00:19:15.048 --> 00:19:17.729]  So, you know, these are criminals.
[00:19:19.269 --> 00:19:20.270]  They're not high-functioning.
[00:19:20.310 --> 00:19:22.330]  Even the higher IQ ones, they have big problems.
[00:19:23.511 --> 00:19:26.252]  So, 99% of the feds are not part of this.
[00:19:27.250 --> 00:19:38.693]  And I just say that because we need them to leak information, see information, expose information to James O'Keefe or to Tucker Carlson or to myself.
[00:19:39.093 --> 00:19:40.954]  In fact, don't just send your tip to one person.
[00:19:40.974 --> 00:19:42.254]  We're all very busy with my message.
[00:19:42.854 --> 00:19:44.135]  Send it to Joe Rogan.
[00:19:44.675 --> 00:19:48.076]  Send it to everybody through whatever system you want.
[00:19:49.116 --> 00:19:52.637]  But if you think something's important, maybe you turn out being wrong.
[00:19:53.237 --> 00:19:54.478]  Better safe than sorry.
[00:19:54.638 --> 00:20:04.741]  If you see something, and you're a federal agent, and it looks like the deep state's about to stage something, if you see something, say something.
[00:20:06.522 --> 00:20:21.501]   Look, I know the federal government's super corrupt, but the times they've tried to set me up the last six, seven years, with all sorts of crazy things, I just call the FBI up, I send them letters, I go in and talk to them, Because when you go into your local FBI, that's not the same one that's trying to set you up on a DC.
[00:20:21.521 --> 00:20:23.642]  Now let's go, hey, I know your bosses are doing this.
[00:20:24.183 --> 00:20:24.963]  Here's the information.
[00:20:24.983 --> 00:20:26.844]  I'm not part of this.
[00:20:27.324 --> 00:20:27.805]  I'm on record.
[00:20:28.005 --> 00:20:28.325]  Got it?
[00:20:29.306 --> 00:20:37.531]  And what that does is it basically cancels out, it conflicts out what the special units are doing.
[00:20:39.235 --> 00:20:40.915]  I don't bring up the Feds to lionize them here.
[00:20:40.955 --> 00:20:42.436]  I bring them up because they're a key component.
[00:20:42.936 --> 00:20:47.737]  And I can tell you, the globalists have got more surveillance on Feds times a hundred than private citizens.
[00:20:48.357 --> 00:20:49.877]  Because that's who they're worried about.
[00:20:49.897 --> 00:20:54.718]  And let's not just talk about the Feds.
[00:20:54.738 --> 00:20:58.779]  90% of this intelligence operation is run out of private companies.
[00:21:00.159 --> 00:21:01.359]  And you know who you are out there.
[00:21:02.779 --> 00:21:05.460]  And so, if you see something, say something.
[00:21:05.580 --> 00:21:06.560]  Or we're going to lose the country.
[00:21:07.674 --> 00:21:08.955]  I mean, it's really that simple.
[00:21:08.975 --> 00:21:11.698]  And that goes to the general public as well.
[00:21:12.239 --> 00:21:21.829]  I mean, you see anything weird, anything that doesn't make sense, you need to go yourself and shoot a video on X. And just say, hey, I'm not exactly sure what this is, but it looks suspicious.
[00:21:22.629 --> 00:21:28.616]  And I'm telling you, the globalists see a bunch of that, which is already happening, that will make them back off.
[00:21:29.739 --> 00:21:45.447]  And then they'll just try a cyber attack because they can deny who did that, or a race war or something like that, which is bad enough, but we don't want Oklahoma City to all the idiots, and it's mainly their provocateurs, that I see online going, Alex Jones is a wimp!
[00:21:46.028 --> 00:21:49.950]  He doesn't want to shoot war with the feds while we'll kick all their asses!
[00:21:51.260 --> 00:21:52.961]  The globalists want a shooting war.
[00:21:52.981 --> 00:21:54.041]  We're winning politically.
[00:21:54.341 --> 00:21:55.501]  We're winning culturally.
[00:21:56.342 --> 00:21:59.062]  Killing a bunch of feds does not do anything to stop the New World Order.
[00:21:59.523 --> 00:22:00.503]  It helps it.
[00:22:01.803 --> 00:22:08.465]  Having a civil war that's being hyped everywhere like, oh the South will kick the ass of the North this time!
[00:22:11.766 --> 00:22:13.547]  The globalists win in a civil war.
[00:22:13.927 --> 00:22:17.488]  We're winning culturally, economically, spiritually.
[00:22:19.687 --> 00:22:21.608]  The last thing we want is violence, folks.
[00:22:21.708 --> 00:22:24.889]  And I know most of you know that, but my God, I still see it out there.
[00:22:24.969 --> 00:22:29.932]  And half the time you follow back the account, it's some, you know, sock puppet Fed Democrat group.
[00:22:30.852 --> 00:22:33.433]  Boy, you're not much of a man, are you?
[00:22:34.254 --> 00:22:36.335]  Why don't you just blow up a police station?
[00:22:38.103 --> 00:22:41.004]  That's what the Democrats and the left do.
[00:22:41.064 --> 00:22:42.245]  That's not what we do.
[00:22:42.645 --> 00:22:43.745]  This is our government.
[00:22:44.205 --> 00:22:45.046]  We're taking it back.
[00:22:45.066 --> 00:22:46.486]  We're going to downsize it massively.
[00:22:47.086 --> 00:22:48.967]  But the government is not the enemy.
[00:22:49.567 --> 00:22:52.108]  The government is hijacked at the top.
[00:22:54.269 --> 00:23:00.871]  And I know most of you fully understand that better than I. I'm just talking to the minority out there who could be manipulated right now.
[00:23:00.891 --> 00:23:08.571]   I mean, I remember The militia that they indicted a bunch that also was then found not guilty later.
[00:23:09.371 --> 00:23:10.512]  Atari militia, remember them?
[00:23:11.213 --> 00:23:12.714]  And I saw one of their videos.
[00:23:13.354 --> 00:23:14.795]  And I said, that's produced by the Feds.
[00:23:15.736 --> 00:23:16.997]  And it turned out it was produced by the Feds.
[00:23:18.478 --> 00:23:22.922]  They're standing there like Saddam Hussein as a dictator with guys behind him with machine guns.
[00:23:23.943 --> 00:23:29.149]   And they're talking about all this stuff they're going to do and I'm like, That's a production.
[00:23:29.849 --> 00:23:30.670]  That's feds.
[00:23:31.150 --> 00:23:33.993]  And they went on the air and were like, Alex Jones is a fed.
[00:23:34.513 --> 00:23:36.935]  He's saying that we're feds.
[00:23:37.756 --> 00:23:38.597]  He's the fed.
[00:23:38.717 --> 00:23:39.357]  Yeah, right.
[00:23:41.179 --> 00:23:47.304]  So, I cannot stress enough, and I know I'm beating a dead horse here, it's just that most people are like, yeah, we know this.
[00:23:47.544 --> 00:23:49.025]  We've been here 18 times.
[00:23:49.465 --> 00:23:50.286]  I'm not talking to you.
[00:23:50.927 --> 00:23:54.970]  I'm talking to people out there that have not had the feds try to set them up.
[00:23:55.330 --> 00:24:06.249]   When I was younger, I'm not going to tell the stories that would take an hour, but many times, hey, why don't you come out to our farm and do some shooting?
[00:24:07.450 --> 00:24:11.052]  And the few times I did it, we're trained to take on the government.
[00:24:11.633 --> 00:24:17.217]  I'd take one look at the guys' cars, look in their cars, see they were feds, and I'd confront them and I'd leave.
[00:24:18.058 --> 00:24:20.240]  But a bunch of other stuff happened too.
[00:24:20.820 --> 00:24:26.545]  Like I'd be at a book signing or a film signing 15, 16, 17 years ago at Alamo Draft House, a movie theater.
[00:24:27.375 --> 00:24:31.718]  And there'd be a guy walk in and go, Alex, I got a bomb in my car.
[00:24:31.778 --> 00:24:33.239]  I want to blow up the police station.
[00:24:33.259 --> 00:24:33.899]  What do you think?
[00:24:35.961 --> 00:24:38.182]  And I'm just like, uh, pull a camera.
[00:24:38.202 --> 00:24:39.103]  I got this guy's face.
[00:24:39.723 --> 00:24:46.788]  The guy leaves and we get out the parking lot and he's driving an unmarked police car.
[00:24:49.629 --> 00:24:51.070]  I mean, just give me a break.
[00:24:51.090 --> 00:24:51.451]  Okay.
[00:24:52.151 --> 00:24:53.372]  Please, please.
[00:24:55.168 --> 00:24:59.712]  The bullets I'm shooting are informational, and they're very effective.
[00:24:59.732 --> 00:25:02.915]  90% of war, look it up, is informational now.
[00:25:03.135 --> 00:25:04.256]  Hell, it's probably higher than that.
[00:25:04.897 --> 00:25:06.959]  The Pentagon said a decade ago it's 90%.
[00:25:06.999 --> 00:25:08.260]  I'd say it's 95% information now.
[00:25:11.601 --> 00:25:17.062]  So again, all this talk about, well, when I see the blue helmets, it's when the war starts.
