[00:00:02.809 --> 00:00:05.009]  Ladies and gentlemen, it is The Alex Jones Show.
[00:04:43.149 --> 00:04:44.850]  We've got a lot to get into today.
[00:04:45.670 --> 00:04:47.389]  Amongst other things, I want to hear his story.
[00:04:47.610 --> 00:04:51.110]  People focus on his history and how he's gotten to where he is now.
[00:04:51.970 --> 00:04:53.949]  And his career has spanned decades.
[00:04:54.580 --> 00:04:58.360]  And, of course, notoriety for some of his views on topics and government overreach.
[00:04:58.500 --> 00:05:04.699]  And there's actually memes out there about Alex Jones' right when he was thought to have been conspiratorial.
[00:05:04.839 --> 00:05:09.879]  Lo and behold, turned out to be right, which is so many of the things that we learn about today.
[00:05:10.459 --> 00:05:12.500]  Alex, welcome. Thanks for having me.
[00:05:12.560 --> 00:05:15.860]  It was great to have you on my show. It was great to be there.
[00:05:16.199 --> 00:05:21.019]  Listen, I wanted, if you don't mind, I want to start by talking about you, if you don't mind.
[00:05:21.139 --> 00:05:26.279]  I don't really see anybody interviewing you about your life, your career, your history.
[00:05:26.480 --> 00:05:29.180]  I'm sure they did at one time, but I don't see that very often anymore.
[00:05:29.879 --> 00:05:36.240]  And as a guy that spent 35 years on the radio myself, I'm intrigued by your radio career, how you got involved with that.
[00:05:36.300 --> 00:05:37.379]  Do you mind talking about these things?
[00:05:38.240 --> 00:05:42.139]  I'm more than happy to. Where did you grow up?
[00:05:42.220 --> 00:05:43.540]  What kind of family did you grow up in?
[00:05:43.959 --> 00:05:46.060]  Who is Alex Jones? I'm trying to figure that part out.
[00:05:46.220 --> 00:05:47.540]  It's not that easy to figure out.
[00:05:47.680 --> 00:05:51.180]  So clue us in on that and then how you got involved in radio.
[00:05:52.870 --> 00:06:10.189]  Sure. I mean, I've been incredibly demonized by the deep state, by the establishment, because I went to a lot of source documents about the permanent bureaucracy and some of the financial interests that would rather America and the world be a totalitarian, centralized technocracy in their own words.
[00:06:10.839 --> 00:06:12.360]  And so I've been on air 30 years.
[00:06:12.540 --> 00:06:15.060]  I started out on AXS TV in 1994.
[00:06:15.620 --> 00:06:22.519]  About a year later, I got a local call from a station that was flipping from rock music to talk on FM. We're doing a Saturday show.
[00:06:22.620 --> 00:06:24.399]  It got good ratings. They gave me a weeknight show.
[00:06:24.759 --> 00:06:29.879]  I found out how to syndicate it through a small syndicator a few years later.
[00:06:30.060 --> 00:06:32.019]  So I've been syndicated on radio for...
[00:06:32.859 --> 00:06:36.379]  27 years. At times, the show got extremely big.
[00:06:36.500 --> 00:06:42.259]  And then some of the things I said on air, taken out of context in the media, I would get kicked off a lot of stations.
[00:06:42.399 --> 00:06:44.259]  That happened after 9-11.
[00:06:44.639 --> 00:06:48.339]  Some of the things I said there, I was on over 200 radio stations, some of them huge then.
[00:06:48.420 --> 00:06:51.680]  And I went down to about 40 radio stations with my comments about that.
[00:06:52.379 --> 00:06:55.120]  And then built the show back up over the years.
[00:06:55.339 --> 00:06:57.040]  Always wanted to find new ways to reach people.
[00:06:57.399 --> 00:06:58.680]  I was one of the first people...
[00:06:59.240 --> 00:07:05.800]  That was on Google Video and had some of the first document cam or webcams.
[00:07:06.540 --> 00:07:09.180]  At first, you're showing an image every 30 seconds or so.
[00:07:09.399 --> 00:07:16.399]  If I could show news articles and also make documentary films starting in the late 90s, 97 or so.
[00:07:16.639 --> 00:07:18.879]  If I could actually show listeners what I was talking about.
[00:07:20.029 --> 00:07:27.709]  Yeah, back in 94, what motivated you to get into that search for the deep state?
[00:07:27.829 --> 00:07:31.509]  Because I think, you know, to say you were ahead of the curve would be an understatement.
[00:07:31.670 --> 00:07:35.750]  I think even the concept wasn't something that was being tossed around at the time.
[00:07:36.610 --> 00:07:40.550]  What was going on with you that you had some insight into this?
[00:07:43.449 --> 00:07:49.209]  My dad had, in high school, got recruited into UT Plan II because he had some of the top test scores in the country.
[00:07:49.610 --> 00:07:56.050]  And so he got out of it before he ever got into the actual programs after he graduated.
[00:07:56.050 --> 00:07:58.910]  But he got recruited into the kind of scientific...
[00:08:11.830 --> 00:08:14.629]  I think?
[00:08:27.049 --> 00:08:30.329]  And I was a sports guy and everything else, but I did get into reading really early.
[00:08:30.449 --> 00:08:31.769]  I've always been a voracious reader.
[00:08:32.009 --> 00:08:38.370]  So I got out of comic books when I was about eight or nine and started reading military encyclopedias and history books.
[00:08:38.549 --> 00:08:47.009]  And so I really got into history and read Marco Cirilius' book and read Julius Caesar's writings and then got into Plato and got into Aristotle.
[00:08:47.210 --> 00:08:50.409]  And then I read Nietzsche's, a couple of his books.
[00:08:50.570 --> 00:08:51.850]  I read Machiavelli.
[00:08:52.690 --> 00:08:58.389]  By the time I was about 15, I read some of the Pulitzer Prize-winning books like Scherer's Rise and Fall of the Third Reich.
[00:08:58.529 --> 00:08:59.549]  I thought that was fascinating.
[00:09:00.009 --> 00:09:13.470]  Then I read a lot of other books about World War II. And so I guess because I had an interest in history, then I could see the parallels and also how I was grown up and just my family being informed.
[00:09:14.019 --> 00:09:17.139]  And my dad's, you know, dad was really informed.
[00:09:17.240 --> 00:09:22.899]  His mom was informed. My mother's dad was also, had been in World War II, a fighter pilot, and then he'd been an inventor.
[00:09:23.580 --> 00:09:26.100]  You know, growing up in Dallas, a successful inventor.
[00:09:26.879 --> 00:09:29.960]  Growing up kind of in the German community in Dallas, there were a bunch of inventors.
[00:09:30.059 --> 00:09:32.820]  So I grew up around him and, you know, talking about how the world really worked.
[00:09:33.059 --> 00:09:42.940]  So I was just blessed that I was around a lot of people that were geopolitically aware of And I remember my dad ranting about Zbigniew Brzezinski when I was like five years old at the dinner table.
[00:09:43.120 --> 00:09:44.779]  And you know, their plans for world government.
[00:09:45.200 --> 00:09:47.740]  And so that's why I found that really interesting.
[00:09:47.860 --> 00:09:49.600]  And a lot was happening in 94, 95.
[00:09:50.320 --> 00:09:52.740]  And so I didn't really try to be in the media.
[00:09:52.940 --> 00:09:54.080]  I wasn't thinking of that as a career.
[00:09:54.200 --> 00:09:56.179]  I didn't know what I wanted to do. I'm 50 now.
[00:09:56.299 --> 00:09:59.220]  I was... You know, like, 20 years old when I first got on air.
[00:09:59.399 --> 00:10:04.460]  I thought, I'll go do Access Television, and then that was basically what happened there.
[00:10:04.559 --> 00:10:06.659]  So it was a 30-year overnight success story.
[00:10:06.799 --> 00:10:12.720]  And then when Trump won, or was about to win, the Democrats even admitted this.
[00:10:13.580 --> 00:10:28.820]  They... We're good to go.
[00:10:35.679 --> 00:10:37.279]  I think?
[00:10:56.100 --> 00:10:59.440]  It was pretty bombshell of a CIA guy.
[00:10:59.659 --> 00:11:05.279]  They were doing another investigation into human trafficking and were interviewing the CIA guy with hidden cameras.
[00:11:05.539 --> 00:11:13.419]  And he also admitted the whole plot to demonize me and take me off air and set the precedent with me and then ban everybody else.
[00:11:13.840 --> 00:11:19.259]  And so now in hindsight, we know how that was done with the Democratic Party, PR firms, and the whole setup.
[00:11:19.399 --> 00:11:27.990]  So I... I really don't even see it as being a victim because it was very interesting to have the deep state kind of put me in its jaws and was quite a learning process.
[00:11:28.230 --> 00:11:39.429]  But because the deep state and the establishment is so discredited, just like all the indictments and convictions of Trump by these show trials has made him more popular, it's now had the opposite effect and made me more popular.
[00:11:39.929 --> 00:11:43.710]  And so it's a very, very crazy and bizarre place to be historically.
[00:11:43.769 --> 00:11:57.529]  And I kind of jumped ahead from my origin story To just what, you know, the current story, most of your viewers who may have heard of me but maybe never actually heard me, I mean, I want them to know they can look up everything I just said and they're actually admitting it.
[00:11:57.570 --> 00:12:01.830]  You know, that's what's crazy. Hillary Clinton has come out twice the last month and said, get rid of the First Amendment.
[00:12:02.529 --> 00:12:13.389]  John Kerry has said the First Amendment stands the way and that they want to, you know, I mean, now Facebook banned advertising on Instagram and Facebook under meta of the Reagan movie.
[00:12:13.389 --> 00:12:15.009]  That's like a sweet family movie.
[00:12:16.370 --> 00:12:20.190]  Absolutely just a very positive film, not even political.
[00:12:21.210 --> 00:12:22.370]  Left versus right.
[00:12:22.809 --> 00:12:27.149]  So now they even want to ban or restrict people seeing the Reagan movie.
[00:12:27.409 --> 00:12:30.350]  So that shows you where these totalitarians are going.
[00:12:30.769 --> 00:12:36.889]  Hillary just said last week, well, we're going to lose total control if we don't get control and start censoring people.
[00:12:37.009 --> 00:12:39.549]  So I was the first test case they now admit.
[00:12:40.909 --> 00:12:43.669]  I tried to set the precedent to be able to censor everybody else.
[00:12:43.750 --> 00:12:48.549]  And when a lot of people didn't stand up for me being censored, then it set the precedent for everybody else.
[00:12:48.610 --> 00:12:53.509]  And then Trump got banned on Twitter and Facebook and everywhere else.
[00:12:53.769 --> 00:12:58.009]  And they even took down his videos on January 6th saying, be peaceful when you go to the Capitol.
[00:12:58.370 --> 00:13:05.850]  And then later when he said, don't go in, don't be violent, they even removed that so that it couldn't be shown that he was not guilty of what they claimed.
[00:13:05.970 --> 00:13:10.190]  So that's what's scary about censorship is Is they don't just silence what you're saying.
[00:13:10.450 --> 00:13:14.850]  They can then lie about you and build a straw man and misrepresent who you are.
[00:13:14.950 --> 00:13:16.110]  So they basically steal your identity.
[00:13:16.330 --> 00:13:21.870]  So it's been very refreshing to have Elon Musk bring me back on X despite all the attacks and demonization and boycotts.
[00:13:22.250 --> 00:13:26.549]  And now X is the most popular social media platform in the world and it's dominating.
[00:13:26.870 --> 00:13:36.700]  And so the worm's turning and humanity has a real hunger and quest for For the right of not just to say what you want, but the right to hear what somebody else is saying.
[00:13:36.980 --> 00:13:43.580]  And so I'm just very blessed to be part of this major global discourse and have a lot of hope and faith for humanity.
[00:13:45.350 --> 00:13:49.750]  Yeah, I've become a free speech absolutist, and thus you are here with me.
[00:13:50.129 --> 00:14:04.110]  And I noticed that the DOJ put something out today about what they want to do with Google and YouTube, which is essentially dismantle the whole thing, which I think will create an interesting reaction from a very powerful company.
[00:14:04.110 --> 00:14:05.529]  I can't imagine them doing that.
[00:14:05.590 --> 00:14:08.289]  But my question to you is, you mentioned Musk.
[00:14:08.450 --> 00:14:23.929]  What do you think about what Musk said about the We're good to go.
[00:14:35.559 --> 00:14:45.100]  Even before some of the first cases came up where he just literally was on house arrest, basically, would just check himself in a few hours a day there in Florida to the jail.
[00:14:45.940 --> 00:14:54.620]  And I was told that basically they were using classic honeypots, but it's not enough to have a guy cheating on his wife like 60 years ago.
[00:14:54.740 --> 00:14:56.879]  Or then the new thing was, oh, the person's gay.
[00:14:57.919 --> 00:15:07.789]  And so in a lot of these elite circles, like Bohemian Grove and things, Powerful people go there literally to be inducted into kind of the rite of passage so that they are in the club.
[00:15:07.990 --> 00:15:09.190]  Even Nixon talked about it.
[00:15:09.269 --> 00:15:14.649]  He didn't do it. But he said people basically go there, and the tapes are out there of Nixon, to be in that club.
[00:15:14.730 --> 00:15:17.370]  Then they think they can trust you. Well, it's not enough to be closeted gay now.
[00:15:17.529 --> 00:15:18.590]  That's not enough dirt on you.
[00:15:18.830 --> 00:15:22.230]  They want you to have sex with underage teenage girls and boys.
[00:15:22.710 --> 00:15:26.389]  And they've been very, very good at just keeping it to a few 16- and 17-year-olds.
[00:15:26.529 --> 00:15:40.669]  But what we know about I think?
[00:15:50.889 --> 00:15:58.590]  And he was running that famously, reportedly in the UK, and how they've got control of the UK government with pedophilia.
[00:15:59.009 --> 00:16:00.889]  And so Epstein...
[00:16:01.649 --> 00:16:09.289]  He's the most well-known person running one of these honeypot operations, but there's a lot of other organizations and groups that are doing it.
[00:16:09.730 --> 00:16:19.049]  In fact, my uncle on his deathbed 10 years ago told me in East Texas at the hospital, he's dying of pneumonia, and they got a really bad virus.
[00:16:19.129 --> 00:16:20.889]  He was a healthy guy, but it just looked like Popeye.
[00:16:20.970 --> 00:16:22.169]  He was in great shape, but it just killed him.
[00:16:22.610 --> 00:16:26.129]  And right before they put him on the ventilator, he'd already told me some of the stuff.
[00:16:26.210 --> 00:16:30.190]  He told my mom a lot more. I think?
[00:16:43.799 --> 00:16:45.159]  From Guatemala, little kids.
[00:16:45.320 --> 00:16:48.200]  And he didn't know what they were doing, but they wouldn't get specific.
[00:16:48.279 --> 00:16:49.480]  And he thought it was child trafficking.
[00:16:49.639 --> 00:16:51.440]  And so he quit and got out of it then.
[00:16:52.759 --> 00:16:54.159]  And that was in the late 80s.
[00:16:54.320 --> 00:16:59.799]  He did say that Reagan wasn't even aware of it because he was involved in communications and knew who was running it out of the White House.
[00:16:59.919 --> 00:17:01.419]  It was George Herbert Walker Bush, he told me.
[00:17:02.019 --> 00:17:03.980]  But that was that point for him.
[00:17:04.079 --> 00:17:05.960]  So this has been going on for a long time.
[00:17:06.000 --> 00:17:12.900]  I remember like 15 years ago, Russia banned orphans coming to the U.S. and Putin said they're somewhere in sex slavery.
[00:17:13.500 --> 00:17:17.240]  And so that sounds, those of us that aren't into that, unbelievable.
[00:17:17.519 --> 00:17:19.480]  But we see the sexualization of children.
[00:17:20.099 --> 00:17:30.880]  You know, the whole transgender thing is about, you know, sexualization of children and secret agreements in public schools where they don't tell the parents that they're convinced the kid to begin transitioning or believe they're transitioning.
[00:17:31.000 --> 00:17:34.400]  And they put secret files together and they have NGOs that come in.
[00:17:34.579 --> 00:17:39.019]  So this whole attack on our children and their innocence that Robert F. Kennedy Jr.
[00:17:39.079 --> 00:17:54.339]  is talking about is really massive and central to And so when Musk talks about that, he told, as you know, Tucker, he said, no, I know most of the people in the deep state, and I'm telling you, because we already know some of their names from the flights, like Bill Gates,
[00:17:54.500 --> 00:17:56.920]  the 30-something times, that...
[00:17:59.140 --> 00:18:00.240]  This is the deep state.
[00:18:00.440 --> 00:18:06.059]  And then you get into who basically was one of the biggest attendees there at Little St.
[00:18:06.160 --> 00:18:14.980]  John's Island. And of course, the Zorro Ranch and other groups is the widow of Steve Jobs and best friends with Ghislaine Maxwell.
[00:18:15.279 --> 00:18:17.660]  So when you look at this power structure...
[00:18:18.950 --> 00:18:20.190]  It's just insane.
[00:18:20.470 --> 00:18:28.650]  And Bill Gates, we know, is into giving money to the top scientists and others to control scientific thoughts, and he spends billions every few years on media.
[00:18:28.809 --> 00:18:38.710]  When you see a big piece on him in the newspaper or online in the London Guardian or ABC News, a lot of times at the end they'll say, underwritten by the Bella Melinda Gates Foundation.
[00:18:39.049 --> 00:18:44.269]  Now she's now left him and gotten out of the foundation, she said, mainly because of the Jeffrey Epstein thing.
[00:18:44.269 --> 00:19:00.880]  So we're waiting for the next big shoe to drop, but Clearly, they're using blackmail on scientists of the sexual nature, and that's why I believe the evidence shows that that's why Gates is so connected to that.
[00:19:01.480 --> 00:19:03.980]  And again, it's not like they even trick most of these people.
[00:19:04.500 --> 00:19:10.099]  Just like in the mafia, you've got to kill a few people in the Italian mafia to make your bones in La Cosa Nostra.
[00:19:11.059 --> 00:19:15.299]  Or the family. And then the Mexican Mafia and other mafias are, you know, Hell's Angels.
[00:19:15.839 --> 00:19:19.859]  You've got to commit some murders before you're really a made member because they can control you.
[00:19:20.000 --> 00:19:25.440]  They know that you'll do what you're told and they can destroy you anytime they want.
[00:19:25.779 --> 00:19:34.279]  Well, the rite of passage or the induction ceremony into this globalist cabal is generally pedophilia.
[00:19:35.430 --> 00:19:46.150]  I want to push back on the Bohemian Grove thing for a second, if you don't mind, because I've been practicing medicine here in Southern California for like 40, coming down to 40 years.
[00:19:46.289 --> 00:19:47.369]  Is it 40 years? Jesus.
[00:19:48.509 --> 00:20:00.970]  And maybe 20 years ago, I had a lot of 80 and 90-year-old patients who were former sort of part of the Reagan inner circle when he was governor of California.
[00:20:01.390 --> 00:20:03.890]  And they all used to go to Bohemian Grove.
[00:20:05.840 --> 00:20:11.000]  You know, right-leaning thing where they would go and hear lectures and stuff and just sort of hang out and smoke cigars.
[00:20:11.180 --> 00:20:12.680]  I don't know if it's been captured.
[00:20:12.680 --> 00:20:14.640]  I don't have any recent information about it.
[00:20:14.700 --> 00:20:19.660]  But I just want you to file that in your thinking that I actually had direct contact with a number of these guys.
[00:20:19.960 --> 00:20:22.420]  And they were not, as you described them, now.
[00:20:22.559 --> 00:20:23.859]  So it may be something different now.
[00:20:23.859 --> 00:20:26.380]  I don't know. But I want to circle.
[00:20:26.779 --> 00:20:29.920]  That's fascinating. So I can come back to it if you want to say something else now.
[00:20:29.980 --> 00:20:32.019]  But I would love to agree with you right now.
[00:20:33.109 --> 00:20:38.849]  I want to be clear. I'm the first person to ever successfully sneak into Bohemian Grove and get the Formation of Care ritual on tape.
[00:20:39.230 --> 00:20:41.609]  I saw Danny Glover when I was in there.
[00:20:41.769 --> 00:20:47.250]  I saw one of my, probably my favorite actor, one of my favorite, you know, actors, Clint Eastwood, when I was in there.
[00:20:47.710 --> 00:20:49.809]  There's a thousand members, a thousand guests.
[00:20:50.410 --> 00:20:58.430]  95% of it is just getting, you know, having fun, listening to music, and drinking in this beautiful old Redwood Grove there in Sedoma County on the Russian River.
[00:20:58.789 --> 00:21:09.470]  Richard Nixon, just type it in, Richard Nixon on Bohemian Grove, his famous tapes are on that, and he said it's the most GD, you know, faggy thing you've ever seen, and then...
[00:21:11.779 --> 00:21:27.599]  Helmut Schmidt wrote a book about it, talked about it, and so what I'm saying is, there is a group within that, and you can look up Bohemian Grove Homosexuality, and it's been news articles written about If you want to get in the club of the club there,
[00:21:27.859 --> 00:21:29.319]  a bunch of that is going on.
[00:21:29.480 --> 00:21:30.740]  And of course, Mark Twain founded it.
[00:21:30.819 --> 00:21:32.339]  It wasn't like that in the 1870s.
[00:21:32.859 --> 00:21:37.680]  And then William Howard Taft, who was a Skull and Bones member and a president, the railroad got there.
[00:21:37.940 --> 00:21:38.980]  The Republicans took it over.
[00:21:39.299 --> 00:21:43.140]  It was more of a Skull and Bones spinoff for adults, kind of ultramasonic.
[00:21:43.720 --> 00:21:49.039]  But I was specifically talking about About, you know, used to it, you're cheating on your wife, we got dirt.
[00:21:49.160 --> 00:21:52.960]  And then it's okay, you did a, you know, kind of a gay ritual like they do at Scull and Bones, that's come out.
[00:21:53.640 --> 00:21:56.220]  And they do it in like a vat of horse manure.
[00:21:56.460 --> 00:22:01.140]  I mean, you know, that's even in The Good Shepherd that was directed and produced by...
[00:22:01.779 --> 00:22:03.440]  Robert De Niro with Matt Damon.
[00:22:03.599 --> 00:22:05.259]  And they've said that's very accurate.
[00:22:05.619 --> 00:22:08.099]  Of course, Anthony Sutton was the head Senate archivist.
[00:22:08.240 --> 00:22:11.420]  He got the documents from Charlotte Iserby, whose dad was a member of it.
[00:22:11.539 --> 00:22:12.940]  So that's why we know all that.
[00:22:13.039 --> 00:22:18.440]  But absolutely, most people going to Bohemian Grove are not in homosexual cults.
[00:22:19.569 --> 00:22:22.730]  Sorry, go ahead. I want to cycle back.
[00:22:22.930 --> 00:22:29.089]  You said you used a phrase about what you were exposed to growing up, how the world works.
[00:22:29.269 --> 00:22:32.630]  And then you also talked about your love of history.
[00:22:33.130 --> 00:22:45.890]  Given those two experiences, you educated yourself about world events and the cycles of history, and you said something like, this always happens, or whatever.
[00:22:46.009 --> 00:22:47.109]  I don't know what you meant quite by that.
[00:22:47.390 --> 00:22:48.869]  And how the world works.
[00:22:49.319 --> 00:22:54.660]  Help me understand what your theory is about our present moment within the grand historical sweep.
[00:22:56.160 --> 00:23:01.000]  History does, maybe it doesn't exactly repeat itself, but it sort of echoes.
[00:23:01.839 --> 00:23:07.380]  To me, it feels like this kind of thing that's happening now happens every 80 or so years.
[00:23:07.900 --> 00:23:09.240]  It's different always.
[00:23:09.559 --> 00:23:12.640]  I noticed something yesterday when I was thinking about it.
[00:23:13.319 --> 00:23:16.880]  Is that this kind of thing never happened before the printing press.
[00:23:17.579 --> 00:23:24.960]  And so technology clearly plays a role in how these things are executed and sort of brought to bear on a mass scale.
[00:23:25.160 --> 00:23:29.039]  And now we've never had such an efficient mass technology.
[00:23:29.240 --> 00:23:31.700]  How do you understand what's happening in the present moment?
[00:23:49.800 --> 00:23:58.349]  That's a great question. We're good to go.
[00:24:12.829 --> 00:24:16.829]  They believe we're about to transcend, but that most of us won't basically transcend in that.
[00:24:16.930 --> 00:24:21.369]  So they know a major change is coming, and the establishment wants to stay in power.
[00:24:21.630 --> 00:24:27.410]  And power groups, whether it's in ancient China or Europe or Mesoamerica, anywhere...
[00:24:28.220 --> 00:24:34.640]  Always you see a civilization rise, and then it gets powerful, and then it becomes decadent, and then it declines and collapses.
[00:24:35.099 --> 00:24:37.259]  And that can happen in different ways.
[00:24:37.619 --> 00:24:44.299]  Of course, there's the saying that hard times make strong men, strong men make good times, good times make weak men, weak men make bad times.
[00:24:44.720 --> 00:24:51.339]  And so if you read a lot of what the top thinkers think in the establishment, they talk about the end of history.
[00:24:51.809 --> 00:25:03.509]  And they want to have kind of a breakaway civilization of technocracy and elites that keep most of that secret from the public on their government and corporate reservations, kind of city-states within city-states.
[00:25:03.710 --> 00:25:10.589]  And then the nation-state dissolves away into a kind of a global order that's controlled by three major power blocks and then separate...
[00:25:11.410 --> 00:25:12.569]  Sub-blocks in that.
[00:25:13.049 --> 00:25:15.369]  And they kind of want the public distracted with video games.
[00:25:15.710 --> 00:25:19.349]  But does history tell you that's a likely scenario?
[00:25:20.049 --> 00:25:24.349]  And does your understanding of the way the world works indicate to you that that's how it's going?
[00:25:24.809 --> 00:25:27.529]  It could also be going that way and not work out.
[00:25:27.650 --> 00:25:30.069]  You know what I mean? History could tell you, no, no, no, this won't happen.
[00:25:30.410 --> 00:25:34.029]  Well, how do you... Does history inform those perceptions you have?
[00:25:34.390 --> 00:25:35.529]  Well, I totally agree with you.
[00:25:35.549 --> 00:25:37.130]  The way you said it, I've never heard that.
[00:25:38.229 --> 00:25:40.009]  History repeats somewhat.
[00:25:40.430 --> 00:25:43.549]  It's been said history rhymes, but I agree history echoes.
[00:25:44.609 --> 00:25:47.109]  And so let's be clear.
[00:25:47.450 --> 00:25:52.849]  I'm stating what the general thought in the different thought thinkers from different angles is.
[00:25:52.950 --> 00:25:55.130]  And of course, you're informed. You already know that probably more than I do.
[00:25:55.410 --> 00:25:57.950]  But I totally agree with what you were just kind of hinting at.
[00:25:58.559 --> 00:26:04.380]  And the globalists now, their main mouthpiece is the Atlantic, the Financial Times of London.
[00:26:04.839 --> 00:26:10.660]  I mean, those are really kind of the establishment mouthpieces, the Club of Rome, the CFR, the Trilateral Commission.
