[00:00:00.000 --> 00:00:09.759]   *silence* *sad music*
[00:11:09.346 --> 00:11:24.595]  But then on Monday, the plaintiff's lawyers, Democratic Party, same group suing Trump, same group suing Giuliani, top law firm out of New York and Houston, they go in and file that Monday, now two weeks ago today, to shut me down.
[00:11:25.802 --> 00:11:31.604]  And their reason was, he's crazy, he claims he's being shut down, total gaslighting, so we're gonna shut him down right now.
[00:11:32.084 --> 00:11:34.344]  The judge said, no, we're gonna have a 14th meeting to decide.
[00:11:35.225 --> 00:11:47.808]  They then filed a 14th hearing to take my real Alex Jones and ex, that's AP Reuters, they filed to take the company over and close the doors last Friday, three days ago.
[00:11:48.548 --> 00:11:51.629]  So everybody's got that, okay, see, Alex Jones wasn't crying wolf.
[00:11:52.267 --> 00:11:53.928]  They wanted me kicked out, fired.
[00:11:54.308 --> 00:11:57.870]  And the judge said under federal law, it's an LLC, I'm the owner.
[00:11:58.490 --> 00:12:00.431]  He said, I can't even override that.
[00:12:01.011 --> 00:12:02.752]  If it goes into receivership, I can do it.
[00:12:02.792 --> 00:12:05.413]  But he goes, he told the CRO, who do you think you are?
[00:12:05.433 --> 00:12:06.754]  10 times.
[00:12:07.294 --> 00:12:10.856]  He said, under law, you do not control this company.
[00:12:11.276 --> 00:12:12.817]  And Mr. Jones acts in good faith.
[00:12:13.177 --> 00:12:14.818]  You've had two years to investigate him.
[00:12:15.278 --> 00:12:16.398]  You never filed a lawsuit.
[00:12:16.418 --> 00:12:17.199]  You never made a claim.
[00:12:17.219 --> 00:12:20.959]   because he's beginning the secret filings this guy files saying I'm a
[00:12:20.959 --> 00:12:24.459]   crook the judge has been giving my lawyers that even though this guy
[00:12:24.459 --> 00:12:27.459]   thought it would keep it secret so it's clear the Justice Department other
[00:12:27.459 --> 00:12:32.939]   groups are manipulating this and the US trustee the Justice Department works
[00:12:32.939 --> 00:12:37.098]   with him and and basically she also called for us to be closed Friday so
[00:12:37.098 --> 00:12:42.179]   they 100% did this and Judge Chris Lopez very respected top of the class you know
[00:12:42.179 --> 00:12:46.699]  top school, he said, "We're not doing that."
[00:12:46.733 --> 00:12:47.994]  I'm not shutting down InfoWars.
[00:12:48.754 --> 00:12:50.755]  I'm giving Mr. Jones back his company.
[00:12:51.336 --> 00:12:51.916]  And the U.S.
[00:12:51.956 --> 00:12:56.779]  trustee got up and the other lawyers and said, we pray your honor, which is the old way to say it.
[00:12:56.799 --> 00:12:58.821]  The old courts are a temple.
[00:12:58.841 --> 00:13:00.021]  They said, we pray to you.
[00:13:00.582 --> 00:13:01.863]  We pray to you, your honor.
[00:13:01.883 --> 00:13:03.624]  So they're really worshiping him.
[00:13:04.444 --> 00:13:07.546]  And they say, we pray to you to not give it back to him.
[00:13:07.606 --> 00:13:08.247]  He's a crook.
[00:13:08.307 --> 00:13:08.807]  He's evil.
[00:13:08.847 --> 00:13:09.347]  He's bad.
[00:13:09.788 --> 00:13:10.928]  And the judge says, sit down.
[00:13:10.968 --> 00:13:11.809]  I've heard enough from you.
[00:13:11.829 --> 00:13:13.270]  So this is all I was in the courtroom.
[00:13:14.033 --> 00:13:18.134]  And the federal courts aren't like state courts where there's cameras, but there's a transcript, it's public.
[00:13:18.594 --> 00:13:20.475]  He goes, I've heard enough from you, sit down right now.
[00:13:21.115 --> 00:13:24.055]  And he says, Pat McGill, I've got one more order to you, the CRO.
[00:13:24.796 --> 00:13:27.756]  He goes, you're to hand Mr. Jones' bank accounts back today.
[00:13:28.877 --> 00:13:30.737]  It's his company, you are removed.
[00:13:31.697 --> 00:13:38.919]  And so that was the real victory that I'd already liquidated all my assets the last two years, already sold extra stuff.
[00:13:39.505 --> 00:13:43.367]  So when they hear, oh, Jones had to liquidate, that's in my personal, that was already done.
[00:13:43.387 --> 00:13:44.468]  So the media spun that.
[00:13:44.928 --> 00:13:47.269]  I didn't care about a lake house and a little farm I had.
[00:13:47.289 --> 00:13:47.930]  I never even went there.
[00:13:48.190 --> 00:13:48.770]  I was too busy.
[00:13:49.610 --> 00:13:51.511]  So that, that was my move too.
[00:13:51.531 --> 00:13:53.733]  It's just, you get it all on the line, we're done.
[00:13:54.073 --> 00:13:55.213]  I'll give these plaintiffs the money.
[00:13:55.614 --> 00:13:57.355]  The plaintiffs got up and said, we don't want money.
[00:13:57.375 --> 00:13:58.795]  We want to shut him down again.
[00:13:58.815 --> 00:14:00.656]  And the judge says, that's outrageous.
[00:14:00.716 --> 00:14:02.817]  It's not in the federal government, not in the U.S.
[00:14:02.838 --> 00:14:05.279]  Constitution, not in Congress's laws to do that.
[00:14:05.699 --> 00:14:07.240]  So he excoriated them.
[00:14:07.944 --> 00:14:10.786]  No less than 10 times, because that's a real judge.
[00:14:11.626 --> 00:14:14.868]  That's why the media was attacking him and had him in my company back.
[00:14:15.569 --> 00:14:19.731]  Now they're going to attack me in the state courts and try to take control of the company.
[00:14:20.271 --> 00:14:26.095]  But he kept control through a new trustee he put in over my personal, because I'm the real owner of the company.
[00:14:26.635 --> 00:14:40.293]   And it just so happens, this amazing, respected special person, the term would be receiver, Uh, would be trustee was just showed up there.
[00:14:40.333 --> 00:14:40.834]  Never met him.
[00:14:41.254 --> 00:14:44.816]  Everybody's like, well, this guy's really respected and he'll actually follow law.
[00:14:45.177 --> 00:14:49.859]  And so now I don't have these low level people that got pushed up by the Justice Department put in.
[00:14:49.899 --> 00:14:52.781]  I've got a respected guy that's fair with the judge.
[00:14:52.821 --> 00:14:57.344]  He's retained control and I hate to sit there and kiss the judge's ass, but he's just following the law.
[00:14:57.844 --> 00:15:07.528]   And so this is a major devastating move against them because America, the judge even said during this, 30 minute closing statement, which he never does.
[00:15:08.508 --> 00:15:09.928]  It was like something out of Kill a Mockingbird.
[00:15:09.948 --> 00:15:10.549]  It was powerful.
[00:15:11.069 --> 00:15:14.850]  He said, hopefully this type of behavior changes with the election.
[00:15:15.350 --> 00:15:16.190]  He was appointed by Trump.
[00:15:16.991 --> 00:15:30.415]  He said, hopefully this type of behavior ends with the election because he's, they were crazy enough, guys, to introduce transcripts of my show two weeks ago, where I talked about the CRO calling me when he filed a secret report against me, saying I was stealing money.
[00:15:30.955 --> 00:15:32.736]  He calls me and denies he did it.
[00:15:32.776 --> 00:15:33.616]  So I record him.
[00:15:34.477 --> 00:15:35.258]  Saying he never did it.
[00:15:35.278 --> 00:15:36.399]  Well, the judge had that filing.
[00:15:37.260 --> 00:15:38.822]  And I recorded him doing all this stuff.
[00:15:38.882 --> 00:15:39.703]  I filed it in the court.
[00:15:40.423 --> 00:15:41.685]  The judge had never listened to it.
[00:15:42.085 --> 00:15:45.268]  They were dumb enough to demand over lunch he read the transcripts.
[00:15:46.049 --> 00:15:51.055]  So he read the transcripts and he came back and asked, is it true you tried to close his business two weeks ago?
[00:15:52.336 --> 00:15:53.457]  They said, yes, your honor.
[00:15:53.777 --> 00:15:55.199]  There were guns in the building.
[00:15:55.939 --> 00:15:57.100]  Well, we have concealed carry.
[00:15:57.360 --> 00:15:58.201]  We have private security.
[00:15:58.741 --> 00:15:59.842]  And the judge goes, what do you mean?
[00:15:59.862 --> 00:16:01.083]  They go, well, there was a crosshair.
[00:16:01.103 --> 00:16:02.924]  The judge said, did somebody threaten you?
[00:16:03.085 --> 00:16:03.325]  No.
[00:16:03.785 --> 00:16:04.906]  The judge said, I've heard enough.
[00:16:04.946 --> 00:16:05.466]  You're done.
[00:16:06.027 --> 00:16:10.410]  So they were literally acting like we had guns pointed at them.
[00:16:10.430 --> 00:16:12.912]  They were literally saying I was going to steal money.
[00:16:12.952 --> 00:16:15.354]  They were running around like chickens with their heads cut off.
[00:16:15.974 --> 00:16:23.020]  And for the first time in six years of me being under lawfare, a judge finally literally stomped on their tail.
[00:16:26.551 --> 00:16:37.467]  I'm going to ask you a few more questions, but I just want to let the audience know because I was like, you know when I heard you talking about the fact that people want to shut you down, I was like, really?
[00:16:37.487 --> 00:16:40.993]  And I know you were one of the four people that ADL didn't want back, right?
[00:16:43.622 --> 00:16:48.584]  Obviously I did a bit of journalism, you know, and I went to quite a few of the student encampments.
[00:16:48.905 --> 00:16:54.248]  And there's various encampments, some have a lot of people from the right, some have a lot of people from the left, some have a mixed bag.
[00:16:54.668 --> 00:16:58.270]  And one of the encampments I went to was very much people from the left.
[00:16:59.455 --> 00:17:03.498]  And they were asking me some questions like, you know, who have you, you know, who have you co-hosted before?
[00:17:03.538 --> 00:17:06.180]  And I said, look, like people like Alex Jones and Andrew Teh.
[00:17:06.460 --> 00:17:12.644]  And as soon as I mentioned, I mentioned a few other names as well, but as soon as I mentioned yours and Tate's name, they were literally, took me out of the camp.
[00:17:12.664 --> 00:17:16.066]  They didn't even let the boys ask the questions, even though they're part of the same team.
[00:17:16.426 --> 00:17:24.272]  So I get the fact that, like, I see the level of emotions that come from people who don't like you, Alex, as well as Andrew Teh.
[00:17:24.732 --> 00:17:28.975]  So, I mean, coming back to it, so now we understand what has happened up to now.
[00:17:30.255 --> 00:17:35.138]  Let me ask you a question before I ask what's going to happen next, and then I will bring some other people in as well.
[00:17:35.478 --> 00:17:37.739]  Who do you think specifically behind this?
[00:17:38.739 --> 00:17:40.900]  Well, that's a great question, but let me just segue for a moment.
[00:17:40.961 --> 00:17:50.485]  Anybody can search my name, and the headlines are fake, but buried in Reuters, AP, Bloomberg, they admit, okay, there was a plan to shut it down.
[00:17:50.525 --> 00:17:51.586]  They thought there was a threat.
[00:17:52.066 --> 00:17:54.567]  Okay, they did try to shut it down at this hearing and the next hearing.
[00:17:55.034 --> 00:17:57.156]  Three hearings, they tried to shut me down the last two weeks.
[00:17:57.536 --> 00:18:15.370]  And I get, to me, I didn't believe that the private security firm, bonded, that I'd used for seven years, armed guards, big company, you know, here in Austin, my personal security and some of my friends, were ordered to close the doors 16 days ago, two Fridays ago, without a court order.
[00:18:16.431 --> 00:18:18.213]  I get, that didn't seem real to me.
[00:18:18.233 --> 00:18:20.114]  I mean, the judge said, what are you doing?
[00:18:20.174 --> 00:18:21.976]  You can't, you can't shut his company down.
[00:18:22.296 --> 00:18:23.537]  He told them that Friday.
[00:18:24.116 --> 00:18:24.976]  Just three days ago.
[00:18:25.016 --> 00:18:28.318]  So I know who did this, okay?
[00:18:29.458 --> 00:18:37.222]  And it hid in plain view, because I didn't understand all this until they had the fake judgments by the judges who found me guilty, which you're not supposed to do in America or anywhere, really.
[00:18:37.782 --> 00:18:41.524]  And then the jury set up, you know, how guilty I was, hearings on damages.
[00:18:43.525 --> 00:18:56.571]   They have the head FBI agent in Connecticut at the time, who was the chief counsel of the FBI, so the head of the FBI in Connecticut, He got up in the Connecticut show trial two years ago in November in Connecticut.
[00:18:56.611 --> 00:18:58.051]  It's on video and I can pull it up.
[00:18:58.932 --> 00:19:03.933]  And he said to their own lawyer, how'd you get involved?
[00:19:03.953 --> 00:19:04.333]  What'd you do?
[00:19:04.353 --> 00:19:13.595]  And he said, well, I heard about people questioning Sandy Hook and I got one phone call asking if I was really an FBI agent.
[00:19:14.195 --> 00:19:20.056]  So I went to Toscoff and Koskoff, this big democratic firm, and I organized the families and we sued Alex Jones.
[00:19:21.135 --> 00:19:24.778]  He won $95,000,000.
[00:19:25.098 --> 00:19:26.479]  Look it up.
[00:19:27.600 --> 00:19:30.082]  FBI agent wins $95,000,000 against Alex Jones.
[00:19:30.482 --> 00:19:31.403]  Never said his name.
[00:19:31.843 --> 00:19:32.684]  Never knew who he was.
[00:19:32.724 --> 00:19:33.765]  None of my hosts said his name.
[00:19:34.125 --> 00:19:34.986]  Wasn't on my website.
[00:19:35.366 --> 00:19:36.587]  My lawyer said, did he ever say your name?
[00:19:36.807 --> 00:19:36.987]  No.
[00:19:37.428 --> 00:19:38.388]  His host ever say your name?
[00:19:38.428 --> 00:19:38.589]  No.
[00:19:38.649 --> 00:19:39.389]  Ever been on his website?
[00:19:39.429 --> 00:19:39.609]  No.
[00:19:40.310 --> 00:19:40.950]  Ever talked about him?
[00:19:40.990 --> 00:19:41.151]  No.
[00:19:41.891 --> 00:19:43.893]  So, this guy testifies.
[00:19:43.913 --> 00:19:48.456]  Just type in, FBI agent wins $95,000,000 against Alex Jones.
[00:19:48.476 --> 00:19:49.437]  You'll see his picture and everything.
[00:19:51.023 --> 00:19:52.403]  He organized it all.
[00:19:52.483 --> 00:20:01.006]  Then they get that undercover video, the Project Veritas spinoff, two months ago, three months ago, of them saying, former FBI, current CIA, we ran this.
[00:20:01.046 --> 00:20:01.786]  Well, I knew that.
[00:20:02.446 --> 00:20:06.147]  I mean, I have a family member that's in Asia this week on a trip, business trip.
[00:20:07.007 --> 00:20:09.648]  They were in Thailand and then in Japan.
[00:20:11.008 --> 00:20:13.229]  One morning they get up, front page of the paper's me.
[00:20:13.829 --> 00:20:16.870]  They go to Japan, front page of the paper's me the next day.
[00:20:17.370 --> 00:20:18.310]  This is just last week.
[00:20:20.013 --> 00:20:21.493]  It's like they're invading a country.
[00:20:21.593 --> 00:20:22.554]  I'm not that important.
[00:20:22.934 --> 00:20:34.662]  It's about destroying free speech, scaring everybody else off, and putting the fear of God into people of a billion and a half dollar judgment, if you question narratives, because they're planning new Jussie Smollett narratives, new things.
[00:20:35.082 --> 00:20:37.023]  Whether we're right or wrong, they don't want us questioning them.
[00:20:37.063 --> 00:20:39.725]  So then, here's the worst part.
[00:20:40.165 --> 00:20:43.207]  They said this in mediation two years ago, and again three months ago.
[00:20:43.867 --> 00:20:46.649]  And my lawyers told me, you can't talk about it, it's in mediation.
[00:20:46.669 --> 00:20:47.269]  So I didn't do it.
[00:20:47.309 --> 00:20:48.230]  Didn't violate the court rules.
[00:20:49.073 --> 00:20:56.474]  So the federal courthouse two months ago in Fort Worth, federal mediation in a courtroom, federal judge, like the most official type there is.
[00:20:57.134 --> 00:20:59.195]  This is a court mediation, this is not a regular mediation.
[00:20:59.735 --> 00:21:00.535]  This case is so big.
[00:21:02.515 --> 00:21:10.957]  They get up, and I can only talk about it now because they told my lawyers the next week in a non-mediation, the same stuff, they said, listen, we know Jones doesn't have all this money.
[00:21:11.717 --> 00:21:15.958]  If he just comes out against the Second Amendment and some other things, we will leave him alone.
[00:21:16.578 --> 00:21:17.778]  And my lawyer said, excuse me?
[00:21:18.516 --> 00:21:21.139]  So my lawyer calls me and says, Hey, you can talk about this now.
[00:21:21.780 --> 00:21:26.486]  They just admitted it on the telephone in a conference that it was about trying.
[00:21:26.927 --> 00:21:28.048]  They thought I was about the money.
[00:21:28.869 --> 00:21:32.734]  So they thought if they did this, they didn't want money at the courthouse steps.
[00:21:33.435 --> 00:21:35.918]  They literally thought I would finally become their creature.
[00:21:36.761 --> 00:21:39.023]  And now they're finding out there's no price tag on Alex Jones.
[00:21:39.083 --> 00:21:50.054]  So, this was 100% run by the State Department, the CIA, and the Justice Department as a beta test, just like the State Department, CIA is running the censorship, the control, the ADL is their lapdog.
[00:21:52.276 --> 00:21:54.538]  I'm the big target because they said, that's a big populace.
[00:21:55.854 --> 00:22:01.598]  He, just like the FBI agent, CIA agent said, he's the loudest voice, he was the lead elephant.
[00:22:02.079 --> 00:22:06.762]  It's not that I'm that important, it's just that I was the biggest up front six, seven years ago.
[00:22:07.242 --> 00:22:11.165]  Now it's Tucker Carlson, Joe Rogan, above that Elon Musk.
[00:22:11.605 --> 00:22:13.947]  So I'm kind of, you know, a backbencher now.
[00:22:14.007 --> 00:22:17.890]  I mean, I'm still reaching tens of millions a day, but nothing compared to Elon or, you know, Joe Rogan.
[00:22:18.490 --> 00:22:19.731]  But that's what happened.
[00:22:19.751 --> 00:22:24.555]  I was picked because I had 30 million viewers a day, every day, seven years ago.
[00:22:25.630 --> 00:22:28.332]  And so I did have the biggest show of political talk in the world then.
[00:22:28.732 --> 00:22:30.513]  I don't mean like 30 million had impressions.
[00:22:30.573 --> 00:22:36.637]  I mean, I had 30 million people on radio, TV, and dialing in, 10 million a day on my website.
[00:22:36.657 --> 00:22:37.678]  We could see their IP addresses.
[00:22:38.238 --> 00:22:40.520]  So they went, holy hell, this guy is popular.
[00:22:41.060 --> 00:22:42.121]  We better shut him down.
[00:22:42.161 --> 00:22:45.082]  But it didn't work because the emergency transmission already got out.
[00:22:45.102 --> 00:22:50.826]  But this was run by Obama's Stay Behind Network in the Defense Authorization Act of 2017.
[00:22:53.061 --> 00:22:58.505]  Which they, you know, funded the year before, before he left office, in the Countering Foreign Disinformation Propaganda Act.
[00:22:58.925 --> 00:23:00.646]  And I talked to a top U.S.
[00:23:00.686 --> 00:23:04.028]  Senator yesterday, in person, in Detroit, who pulled me aside.
[00:23:04.048 --> 00:23:05.349]  I won't say names.
[00:23:05.930 --> 00:23:07.150]  And said, tell me about this.
[00:23:07.230 --> 00:23:07.811]  And I explained it.
[00:23:07.831 --> 00:23:08.731]  He goes, yeah, we know that.
[00:23:09.172 --> 00:23:10.313]  We're getting ready to go after him.
[00:23:10.353 --> 00:23:11.413]  We understand the networks.
[00:23:12.214 --> 00:23:13.775]  And they just, they said, how did you know this?
[00:23:13.795 --> 00:23:14.956]  I said, well, I read the legislation.
[00:23:15.556 --> 00:23:18.398]  So the good news is, Trump is aware of this.
[00:23:19.011 --> 00:23:21.673]  Trump knows what's going on, and so they're in a lot of trouble now.
[00:23:22.014 --> 00:23:22.954]  That's why they're so scared.
[00:23:23.255 --> 00:23:28.339]  Not of retribution, not of prison, not of us trying to hurt them, but the fact that they committed this coup against America.
[00:23:31.822 --> 00:23:34.564]  So, one last question, then I will bring some more people in.
[00:23:35.946 --> 00:23:40.049]  You kind of explained it, and you've alluded to it, but where do you think this is going to go next?
[00:23:41.791 --> 00:23:44.953]  Well, they're totally desperate with 140 days left to the election.
[00:23:46.275 --> 00:23:46.415]  And...
[00:23:47.381 --> 00:23:48.242]  I'm not that important.
[00:23:48.462 --> 00:23:53.607]  They just chose me because I was popular and flamboyant and did some quirky stuff.
[00:23:54.207 --> 00:24:03.255]  They thought they could pull that out of context, you know, gay frog stuff, and then say this guy's a lunatic, and then once people accepted... There was a Wall Street Journal article six years ago.
[00:24:04.056 --> 00:24:10.302]  It was like a 30-page article, and it was a subscription article that said, we're going to shut down Julian Assange.
[00:24:11.062 --> 00:24:13.745]  When the left doesn't defend him, we'll have the left.
[00:24:14.454 --> 00:24:15.675]  And we're going to shut down Alex Jones.
[00:24:15.755 --> 00:24:17.355]  If they don't defend him, we'll have them all.
[00:24:17.876 --> 00:24:19.376]  And NATO was actually involved in the meeting.
[00:24:19.396 --> 00:24:20.257]  It was in the Wall Street Journal.
[00:24:21.097 --> 00:24:24.939]  And so that was their plan.
[00:24:25.879 --> 00:24:29.781]  And so I don't see this as me as being that important.
[00:24:30.541 --> 00:24:34.023]  I see it as I've been designated as a test case.
[00:24:34.683 --> 00:24:36.944]  And so they're like, well, we can't even get rid of the test case.
[00:24:37.084 --> 00:24:37.604]  Get him.
[00:24:39.045 --> 00:24:40.766]  They kind of see me as the first target.
