[00:00:08.158 --> 00:00:08.658]  That's right.
[00:07:29.213 --> 00:07:39.458]  The court filing was made on Wednesday, alleges that Hunter Biden and a business associate took more than $3 million from Gabriel Papaviciu, a Romanian oligarch who sought to influence U.S.
[00:07:39.498 --> 00:07:41.879]  policy when Joe Biden was vice president in 2015.
[00:07:41.920 --> 00:07:44.441]  Now, according to the prosecutors,
[00:07:44.901 --> 00:07:50.925]  Hunter Biden and his business associates were concerned that lobbying work might cause political ramifications for the defendant's father.
[00:07:51.285 --> 00:07:55.167]  So they structure the deal in order to conceal the true nature of the work he was performing.
[00:07:55.428 --> 00:08:02.072]  Now, this is clip number 80 of a small podcast that I did with Jack Maxey two years ago, where this information was revealed.
[00:08:02.152 --> 00:08:02.892]  Clip number 80 here.
[00:08:04.613 --> 00:08:10.597]  What happens is Hunter has a corrupt oligarch in Romania, a criminal.
[00:08:12.649 --> 00:08:23.039]  And the reason Hunter is friends with this guy and the reason Hunter has a business relationship with this guy, like very many of these criminals around the world, I believe the Chinese set it up.
[00:08:24.480 --> 00:08:30.126]  And this guy's going to help grease the skids for the sale of the Ploiești oil fields in Romania.
[00:08:31.027 --> 00:08:33.268]  Very small oil field by today's standards.
[00:08:34.049 --> 00:08:40.353]  But if you remember World War II, Ploiești oil fields were the last source of oil, gasoline, etc.
[00:08:41.033 --> 00:08:42.454]  for the Nazi regime.
[00:08:43.415 --> 00:08:51.820]  More, probably, Army Air Corps men were killed bombing that airfield than were killed bombing Berlin.
[00:08:53.061 --> 00:08:58.825]  American air power operating from North Africa made a daring but costly attack upon the Romanian refineries.
[00:09:03.657 --> 00:09:16.627]  Now this is the motif of leftist policy.
[00:09:17.468 --> 00:09:32.960]  This reoccurring theme that it's okay to sell out the interests of the American people regardless of how many American soldiers have died defending the interests of the American people, regardless of how many American soldiers have died defending literal oil fields that are now just for sale to the CCP apparently.
[00:09:33.442 --> 00:09:38.346]  Through Romanian oligarchs in order to monetize the influence peddling.
[00:09:39.927 --> 00:09:46.651]  That was possible when Joe Biden was vice president of the United States and his son Hunter was traveling all over the world making deals with corrupt oligarchs.
[00:09:46.671 --> 00:09:51.995]  This is just one example of that in exchange for meetings with the president of the United States with the vice president of the United States.
[00:09:53.236 --> 00:09:53.937]  This level of corruption.
[00:09:53.957 --> 00:10:00.882]  I know it's old news and I know that Joe Biden isn't running anymore, but if you think that there's a difference between Joe Biden and Kamala Harris, then you should really consider
[00:10:02.130 --> 00:10:03.411]  Your position again.
[00:10:03.692 --> 00:10:06.655]  You should really reconsider because they are exactly the same.
[00:10:06.695 --> 00:10:11.019]  The only difference is that Kamala Harris is not suffering from dementia or cognitive decline.
[00:10:11.059 --> 00:10:14.563]  She is every bit as stupid and corrupt as Joe Biden.
[00:10:14.603 --> 00:10:21.610]  Every bit as capable and willing to sacrifice the once interests and needs of the American people for the sake of her own political gain.
[00:10:21.630 --> 00:10:22.871]  And we're going to get into the clips today.
[00:10:23.812 --> 00:10:35.798]  Her bragging about how with the stroke of a pen, for example, she could charge anybody in the state of California with a misdemeanor and just wreck their lives, cause them humiliation, force them to be arrested, make them stand in line at court.
[00:10:35.818 --> 00:10:37.659]  She's bragging about her power.
[00:10:37.699 --> 00:10:40.020]  She's obviously drunk with her power.
[00:10:41.761 --> 00:10:50.646]  And though Joe Biden isn't running for office again, and though he's probably not even going to be president of the United States for very much longer, and though Hunter Biden is technically just the son of the president of the United States,
[00:10:51.636 --> 00:10:51.856]  I'm good.
[00:11:08.746 --> 00:11:10.927]  A fluke example of corruption among the left.
[00:11:11.167 --> 00:11:18.890]  This is something that leaders in the left and the right, members of our political class, this is the type of corruption that has been going on for decades.
[00:11:18.930 --> 00:11:21.651]  The only difference is we have all of the evidence.
[00:11:23.291 --> 00:11:27.774]  Proving the extent of this depravity with the Biden administration.
[00:11:28.114 --> 00:11:42.022]  And now it's gotten to a point where the leftists have succeeded to such an extent in their brainwashing of the American people that they can even admit their own corruption, admit their own political coups, without having any ramifications or accountability whatsoever.
[00:11:42.422 --> 00:11:46.104]  Without any pressure being brought to them by their own voters, by their own base.
[00:11:46.144 --> 00:11:49.587]  I mean, they stole the election in 2016 from Bernie, the primary election.
[00:11:50.407 --> 00:11:51.708]  Very little accountability there.
[00:11:52.898 --> 00:11:58.159]  And now they've stolen the election again from Joe Biden, who is technically supposed to be the nominee.
[00:11:59.320 --> 00:12:00.180]  No accountability there.
[00:12:00.200 --> 00:12:05.241]  Kamala Harris has zero votes to have supported her as the candidate based on this Democratic primary.
[00:12:05.781 --> 00:12:11.043]  And now we have Pelosi bragging about being responsible for this coup in clip number 22, which I'll call in a minute.
[00:12:11.983 --> 00:12:15.724]  And we have Joe Biden even admitting that he was forced out of the race himself.
[00:12:17.182 --> 00:12:33.712]  So the Democrats are even admitting that there was a blackmail conspiracy waged against the Biden administration in order to place Kamala in as the candidate despite the fact that she had no support in the primary, no votes in the primary, and Democrats are acting like this is just so exciting to have Kamala Harris as the candidate.
[00:12:33.952 --> 00:12:35.293]  This is just such great news.
[00:12:35.493 --> 00:12:41.276]  They are so brainwashed that they say yes daddy every time they get slapped in the face by their own leaders that they put into power.
[00:12:41.716 --> 00:12:42.017]  Clip number 22.
[00:12:44.119 --> 00:12:49.001]  I love him so much, I think he's been really a fantastic president of the United States.
[00:12:49.742 --> 00:12:54.924]  So I really wanted him to make a decision of a better campaign.
[00:12:56.145 --> 00:12:58.686]  Because they were not facing the fact of what was happening.
[00:12:58.946 --> 00:13:03.728]  Just a little background, I've never been that impressed with his political operation.
[00:13:04.549 --> 00:13:05.309]  Biden's operation?
[00:13:05.329 --> 00:13:05.929]  Yeah, I'm not.
[00:13:06.090 --> 00:13:07.710]  I mean, I just haven't been.
[00:13:07.910 --> 00:13:10.552]  They won the White House, bravo, right?
[00:13:13.180 --> 00:13:17.323]  So my concern was, this ain't happening.
[00:13:18.624 --> 00:13:22.146]  And we have to make a decision for this to happen.
[00:13:22.426 --> 00:13:25.488]  And the president has to make the decision for that to happen.
[00:13:25.828 --> 00:13:30.351]  Let me just say, I won't say necessarily I knew what I was doing at that time.
[00:13:30.911 --> 00:13:35.734]  I knew what I was doing in the whole thing, not just that show.
[00:13:35.834 --> 00:13:36.395]  And what was that?
[00:13:37.395 --> 00:13:41.298]  That Donald Trump would never set foot in the White House again.
[00:13:41.843 --> 00:13:47.105]  Now on clip number five, we have Joe Biden admitting that he was forced out of the 2024 race by top Democrats.
[00:13:47.945 --> 00:13:56.989]  In a Sunday interview, Joe Biden admitted that he was pressured to drop out of the 2024 election race by prominent Democrat colleagues.
[00:13:57.069 --> 00:14:02.011]  Obviously, Nancy Pelosi was among those colleagues because she just admitted that she forced him out in that interview there.
[00:14:02.071 --> 00:14:02.971]  But this is clip number five.
[00:14:05.097 --> 00:14:08.679]  The polls we had showed that it was a neck-and-neck race.
[00:14:08.699 --> 00:14:10.079]  We would have been down to the wire.
[00:14:11.280 --> 00:14:20.324]  But what happened was a number of my Democratic colleagues in the House and Senate thought that I was going to hurt them in the races.
[00:14:21.525 --> 00:14:27.750]  And I was concerned if I stayed in the race, that would be the topic you'd be interviewing me about.
[00:14:27.870 --> 00:14:30.692]  Why did Nancy Pelosi say, why did someone?
[00:14:31.773 --> 00:14:34.275]  And I thought it'd be a real distraction.
[00:14:34.856 --> 00:14:37.718]  Clip number six, Donald Trump says the same exact thing.
[00:14:38.218 --> 00:14:46.225]  Admits that this was a coup, that this was the subversion of the democratic process to elect a candidate.
[00:14:48.066 --> 00:14:51.547]  To represent the Democrats in this race for the general election for the President of the United States.
[00:14:51.567 --> 00:14:52.107]  Clip number six.
[00:14:52.687 --> 00:14:54.947]  The presidency was taken away from Joe Biden.
[00:14:55.528 --> 00:15:02.909]  And I'm no Biden fan, but I'll tell you what, from a constitutional standpoint, from any standpoint you look at, they took the presidency away.
[00:15:03.929 --> 00:15:06.710]  And people are saying he lost after the debate, he couldn't win.
[00:15:06.730 --> 00:15:08.790]  Well, I don't know that that's true necessarily.
[00:15:09.230 --> 00:15:12.211]  But whether he could win or he couldn't win, he had the right to run.
[00:15:13.092 --> 00:15:13.813]  And they took it away.
[00:15:13.853 --> 00:15:15.915]  They said they're going to use the 25th Amendment.
[00:15:15.935 --> 00:15:16.916]  They're going to hit you hard.
[00:15:16.976 --> 00:15:22.561]  Either we can do it the nice — I heard — I know exactly, because I know a lot of people on the other side, believe it or not.
[00:15:23.482 --> 00:15:27.726]  And they said, we'll do it the nice way, or we'll do it the hard way.
[00:15:28.767 --> 00:15:30.989]  And he said, all right.
[00:15:31.952 --> 00:15:36.434]  So it's abundantly clear that this was a coup.
[00:15:36.954 --> 00:15:49.401]  This was the entire compromise of our election process, our so-called democratic process in our constitutional republic, of selecting candidates to lead major parties in general elections for major offices, like the President of the United States.
[00:15:49.921 --> 00:16:00.486]  This is a political coup that is akin to, if not worse, much worse, frankly, than the January 6th insurrection that so many committees have been formed over
[00:16:00.486 --> 00:16:00.846]  We're good to go.
[00:16:18.228 --> 00:16:22.232]  Just sitting pleasantly with members of The View being photographed.
[00:16:22.252 --> 00:16:27.116]  He's just, he's delighted to be associated with these leftist hogs, which is exactly what they are.
[00:16:27.616 --> 00:16:39.126]  Delighted to be associated with the entire corruption and subversion of our nation, the undermining of the interests of the American people at the highest levels from the worst people in the world, perhaps even in the history of the world.
[00:16:40.207 --> 00:16:42.709]  All of this over these January 6th claims.
[00:16:43.690 --> 00:16:55.096]  And we've literally witnessed a coup right before our eyes, all in the context of an assassination attempt on the former president, Donald J. Trump, which everybody in the world seems to have forgotten about.
[00:16:55.116 --> 00:17:01.939]  And there are rumors circulating that Tim Walz and his staff have been bragging about the extent to which that news is already forgotten.
[00:17:03.669 --> 00:17:16.156]  How quickly it is that the American people lose focus on the key points that actually matter, the key details that actually matter, like, I don't know, selecting your candidate for your party to be the candidate for the President of the United States?
[00:17:16.476 --> 00:17:17.577]  That seems to be pretty important.
[00:17:17.617 --> 00:17:22.720]  Or the fact that the Deep State attempted to assassinate the former President of the United States, and if they didn't directly attempt
[00:17:24.008 --> 00:17:35.615]  To make this happen, they certainly stood down and watched as it happened intentionally because all of the interests of the political class are abundantly under threat at the notion that Donald Trump will have a second term as President of the United States.
[00:17:35.635 --> 00:17:40.298]  So everything is being done that can be done in order to get in the way of allowing this to happen.
[00:17:41.681 --> 00:17:57.656]  They're willing to kill him, they're willing to imprison him, they're willing to imprison you, they're willing to kill you, they're willing to totally compromise the interests of their own base by blackmailing the rightful candidates for their own races and just appointing a better candidate who can put a sentence together, barely, but put a sentence together, I mean...
[00:17:58.760 --> 00:18:15.640]  I can't believe that the likes of Jesse Ventura and others actually support this woman after all that she has done and failed to do, done in order to totally compromise the authenticity of this election, and all that she has failed to do as Vice President of the United States when she was the borders
[00:18:15.640 --> 00:18:15.880]  I don't know.
[00:18:33.638 --> 00:18:34.838]  I'm going to be selfish.
[00:18:35.419 --> 00:18:41.021]  A few years ago, I got the opportunity to see the United States elect its first black president.
[00:18:41.501 --> 00:18:43.122]  I didn't think that could ever happen.
[00:18:43.502 --> 00:18:44.962]  And they even reelected him.
[00:18:45.483 --> 00:18:48.244]  Well, now, I'm going to be selfish again.
[00:18:48.684 --> 00:18:50.605]  I've only got a few elections to go.
[00:18:50.705 --> 00:18:53.966]  I'm 73 years old now, so the window's closing.
[00:18:54.606 --> 00:19:05.135]  I want to be alive to see the first woman president of the United States of America and the first woman commander-in-chief, and we've got her right now.
[00:19:06.757 --> 00:19:10.320]  Governor, thank you so much for sharing your views on this issue.
[00:19:10.340 --> 00:19:14.183]  I think a lot of people have been very interested to hear what you have said.
[00:19:14.363 --> 00:19:18.207]  So you are officially endorsing the Harris-Waltz ticket, excuse me.
[00:19:19.286 --> 00:19:21.448]  Yes, I want to see a woman president.
[00:19:21.529 --> 00:19:23.270]  It's time for a woman president.
[00:19:23.651 --> 00:19:25.653]  We men have screwed it up enough.
[00:19:26.914 --> 00:19:30.238]  Okay, so you're going to vote for Kamala Harris just because she's a woman.
[00:19:30.739 --> 00:19:34.503]  That is the dumbest, most DEI BS ever.
[00:19:35.043 --> 00:19:38.247]  That's as dumb as not voting for her because she's a woman.
[00:19:39.445 --> 00:19:43.168]  Do you think that somehow women are morally superior to men?
[00:19:43.969 --> 00:19:52.417]  Do you think somehow that just by virtue of being women, that makes them morally more capable or morally superior in any way, shape, or form?
[00:19:52.897 --> 00:19:53.118]  Smart?
[00:19:54.078 --> 00:20:03.127]  One thing that we need to just understand as people of the earth, as human beings, regardless of any of our other immutable characteristics, is that we are all equally capable of incompetence and evil.
[00:20:04.107 --> 00:20:13.350]  Regardless of whether you're black, white, female, male, whatever religion, whatever other immutable characteristic that you've been bestowed with, we are all equally capable of doing terrible things.
[00:20:14.170 --> 00:20:16.991]  There is no group among us who is morally superior.
[00:20:17.031 --> 00:20:25.113]  There's no group among us who is more or less capable than any other group of doing terrible things, of screwing up the presidency of the United States of America.
[00:20:25.133 --> 00:20:28.475]  So to vote for her just because she's a woman is totally stupid.
[00:20:28.495 --> 00:20:32.916]  And frankly, you think women haven't been in control over the course of the last thousands of years?
[00:20:33.416 --> 00:20:42.921]  You think just because it's men that are written about in history books like Alexander the Great or Julius Caesar or others, that there wasn't a woman behind those people?
[00:20:42.961 --> 00:20:45.402]  That there weren't women behind these people manipulating?
[00:20:45.422 --> 00:20:48.924]  Have you ever read the book The Art of Seduction by Robert Greene?
[00:20:49.324 --> 00:20:49.964]  Brilliant book!
[00:20:50.004 --> 00:21:01.450]  Historical analysis of how seduction has been used for thousands of years and is well documented by women in order to manipulate men in power, whether it's business power or political power, to do things like wage wars.
[00:21:01.690 --> 00:21:02.851]  We're good to go.
[00:21:24.335 --> 00:21:33.604]  In the context of the political campaign and war that has gone on between factions of human beings over the course of thousands of years?
[00:21:34.204 --> 00:21:34.945]  Give me a break.
[00:21:34.985 --> 00:21:39.609]  Just because she's a woman doesn't mean that we're trying something new, folks.
[00:21:40.515 --> 00:21:43.459]  It's not us trying something new, doing things differently.
[00:21:43.499 --> 00:21:53.070]  She's exactly the same as Joe Biden and Bill Clinton and Hillary Clinton and all the other leftists who have been in power for decades and sought power for decades.
[00:21:53.110 --> 00:21:54.391]  She's exactly the same.
[00:21:55.367 --> 00:21:57.508]  The only thing is, she's maybe a little bit more arrogant about it.
[00:21:57.548 --> 00:21:58.448]  Maybe she's a little dumber.
[00:21:58.468 --> 00:21:59.649]  It has nothing to do with her being a woman.
[00:21:59.669 --> 00:22:00.649]  She's just kind of dumb.
[00:22:01.249 --> 00:22:02.990]  But she's not to be underestimated, folks.
[00:22:03.030 --> 00:22:12.874]  And she has found a way to climb the ladder of political influence using seduction, as I just mentioned, just like women have been doing for thousands of years.
[00:22:14.642 --> 00:22:16.764]  And this is the fake record that they have, both of them.
[00:22:16.804 --> 00:22:18.645]  This is according to Trump in clip number 13 here.
[00:22:18.865 --> 00:22:21.226]  Trump blasts Kamala and Waltz in Bozeman.
[00:22:21.387 --> 00:22:28.631]  Former President Donald Trump blasted Vice President Kamala Harris and her running mate Tim Waltz as phonies at his latest rally in Bozeman, Montana.
[00:22:28.651 --> 00:22:29.312]  Clip number 13.
[00:22:30.493 --> 00:22:31.974]  So don't take my word for it.
[00:22:32.054 --> 00:22:36.497]  Listen, Kamala Harris's agenda straight from her own mouth.
[00:22:36.517 --> 00:22:37.857]  Would anybody like to see her?
[00:22:37.877 --> 00:22:39.198]  Let's do it for a couple of seconds.
[00:22:39.459 --> 00:22:39.859]  Go ahead.
[00:22:41.345 --> 00:22:42.025]  Yeah, I am radical.
[00:22:42.265 --> 00:22:45.447]  We need to get radical about what we are doing and take it seriously.
[00:22:45.687 --> 00:22:54.852]  As President of the United States, I am prepared to get rid of the filibuster to pass a Green New Deal.
[00:22:54.872 --> 00:22:56.773]  There's no question I'm in favor of banning fracking.
[00:22:58.894 --> 00:23:02.436]  We have to have a buyback program and I support a mandatory buyback program.
[00:23:04.977 --> 00:23:07.298]  I believe it will totally eliminate private insurance.
[00:23:07.598 --> 00:23:08.679]  Let's eliminate all of that.
[00:23:10.418 --> 00:23:13.239]  But would you support changing the dietary guidelines?
[00:23:13.259 --> 00:23:13.519]  Yes!
[00:23:13.559 --> 00:23:14.780]  You know, the food pyramid.
[00:23:14.820 --> 00:23:15.680]  Yes, yes.
[00:23:15.740 --> 00:23:19.202]  To reduce red meat specifically.
[00:23:19.222 --> 00:23:19.862]  Yes, I would.
[00:23:20.102 --> 00:23:27.205]  Raise your hand if your government plan would provide coverage for undocumented immigrants.
[00:23:27.245 --> 00:23:30.087]  Where do you stand on defund the police?
[00:23:30.147 --> 00:23:35.069]  This whole movement is about rightly saying, we need to take a look at these budgets.
[00:23:36.681 --> 00:23:41.906]  Harris asserted that ICE is perceived as the modern-day Ku Klux Klan.
[00:23:42.166 --> 00:23:43.848]  Are you aware that there's a perception?
[00:23:43.868 --> 00:23:44.408]  I see no perception.
[00:23:44.929 --> 00:23:46.070]  Are you aware that there's a perception?
[00:23:46.090 --> 00:23:48.492]  That puts ICE in the same category as the KKK.
[00:23:48.572 --> 00:23:50.133]  Is that what you're asking me?
[00:23:50.474 --> 00:23:51.174]  I see no parallel.
[00:23:51.194 --> 00:23:51.855]  I'm not finished.
[00:23:51.875 --> 00:23:52.335]  I see none.
[00:23:53.997 --> 00:23:55.278]  Eddie, I am radical.
[00:23:55.318 --> 00:23:57.220]  We need to get radical about what we are doing.
[00:24:03.593 --> 00:24:04.534]  Absolutely unbelievable.
[00:24:04.554 --> 00:24:13.660]  And of course she brags about the fact that she's going to hire so many new ICE agents right after that ad where she's compared ICE agents to the KKK.
[00:24:14.480 --> 00:24:18.883]  And she tries to backpedal it and walk away from it a little bit by saying, are you aware that there's a perception?
[00:24:18.943 --> 00:24:29.851]  By not actually making the accusation herself, but just citing the perception, she's able to make the accusation without suffering the political accountability for such an outrageous accusation.
[00:24:29.891 --> 00:24:31.892]  But here she is in clip number 39 admitting
[00:24:34.493 --> 00:24:49.939]  That this immigration situation has been a disaster all after the fact that she has been, the immigrations are, all after the fact that she still is the Vice President of the United States of America, still a very influential member of this administration being, you know, number two and all.
[00:24:50.219 --> 00:24:52.700]  She could go to Joe and say, look, these are the policies I want to implement.
[00:24:52.740 --> 00:24:56.002]  Why does she have to wait to get elected to do the right thing for America?
[00:24:56.042 --> 00:24:56.342]  Here's clip 39.
[00:24:58.220 --> 00:25:05.664]  America has tried so many of those failed policies before, and like we all know, we're not going back.
[00:25:11.768 --> 00:25:17.991]  We will move forward and take on the biggest issues facing our nation.
[00:25:18.812 --> 00:25:21.954]  For example, the issue of immigration.
[00:25:23.291 --> 00:25:25.792]  So I was Attorney General of a border state.
[00:25:26.753 --> 00:25:31.876]  I went after the transnational gangs, the drug cartels, and human traffickers.
[00:25:32.716 --> 00:25:36.959]  I prosecuted them in case after case, and I won.
[00:25:36.979 --> 00:25:42.822]  So I know what I'm talking about.
[00:25:44.023 --> 00:25:49.446]  We know our immigration system is broken, and we know what it takes to fix it.
[00:25:51.371 --> 00:25:57.940]  Folks, we're going to get into more details about how full of it she is.
[00:26:07.737 --> 00:26:21.110]  And how urgent this is to undermine her campaign at every possible opportunity every possible level until November 5th because it felt after June 27th like this was going to be a walk in the park because that debate performance was terrible.
[00:26:21.150 --> 00:26:25.675]  It felt after July 13th when this assassination attempt took place.
[00:26:26.840 --> 00:26:29.502]  That this was going to be a walk in the park that Trump just won the election.
[00:26:29.782 --> 00:26:36.488]  But the fact of the matter is the leftists who are so brainwashed have forgotten the atrocities of this administration.
[00:26:36.788 --> 00:26:39.250]  They have forgotten the terrible performance on June 27th.
[00:26:39.270 --> 00:26:41.852]  They have forgotten the repeated failures of Kamala Harris.
[00:26:41.872 --> 00:26:51.059]  And they have forgotten the fact that the deep state attempted to take the life of the former president of the United States because he is the only one that is a threat to America's greatest enemy, our own
[00:26:52.318 --> 00:26:55.720]  Fourth unchecked branch of government that is the Deep State.
[00:26:56.420 --> 00:26:59.542]  And that's why it's more important now than ever that you support InfoWars.
[00:26:59.602 --> 00:27:15.731]  This is the most important election in the history of the United States of America, perhaps in the history of the world, and it cannot be won by the right candidate, by Donald Trump, if freedom of speech is not protected and the truth is not broadcast worldwide like it is on InfoWars.
[00:27:15.751 --> 00:27:17.852]  So please go to InfoWarsStore.com
[00:27:18.272 --> 00:27:22.993]  Right now, check out Vitamin C Plus Zinc with Rosehips to enhance bioavailability.
[00:27:23.293 --> 00:27:26.074]  An amazing product, a flagship product of InfoWars Store.
[00:27:26.094 --> 00:27:27.814]  You can get it right now at InfoWarsStore.com.
[00:27:27.934 --> 00:27:29.314]  And Bodies is back in stock.
[00:27:29.634 --> 00:27:32.615]  This product is absolutely amazing to reduce inflammation.
[00:27:32.675 --> 00:27:34.635]  It's helped me with my joint health so much.
[00:27:34.655 --> 00:27:35.615]  I highly recommend that you check it out.
[00:27:35.656 --> 00:27:42.997]  Not only are you investing in your health and getting great products, but you're keeping InfoWars on the air by going to InfoWarsStore.com right now and purchasing any of our products.
[00:27:44.924 --> 00:27:47.026]  Ladies and gentlemen, welcome back to the Alex Jones Show.
[00:27:47.046 --> 00:27:48.767]  I'm your host this evening, Chase Geiser.
[00:27:48.807 --> 00:27:51.029]  Alex Jones will be back in studio tomorrow at 11 a.m.
[00:27:51.049 --> 00:27:51.369]  Central.
