[00:00:03.001 --> 00:00:03.581]  We're live.
[00:02:33.984 --> 00:02:40.491]  I am not going to exploit, for political purposes, my opponent's youth and inexperience.
[00:02:44.431 --> 00:02:48.995]  Everything I see has no respect for this person.
[00:02:49.415 --> 00:02:52.699]  Well, that's because he'd rather have a puppet as president of the United States.
[00:02:52.719 --> 00:02:53.719]  No puppet, no puppet.
[00:02:54.200 --> 00:02:56.342]  It's pretty clear, it's pretty clear.
[00:02:56.362 --> 00:03:03.428]  My social security payroll contribution will go up, as will Donald's, assuming he can't figure out how to get out of it.
[00:03:04.169 --> 00:03:07.472]  But what we want to do is to replenish the Social Security Trust Fund.
[00:03:07.492 --> 00:03:08.133]  Such a nasty one.
[00:03:08.573 --> 00:03:13.799]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:03:14.280 --> 00:03:18.465]  Visit InfoWars.com forward slash show and share the link today.
[00:03:22.203 --> 00:03:26.985]  I have returned after three days off with the family, recharged and ready for war.
[00:03:27.525 --> 00:03:30.907]  It's an info war, and humanity's beginning to turn the tide.
[00:03:31.407 --> 00:03:33.568]  But the globalists have a lot of tricks up their sleeves.
[00:03:33.588 --> 00:03:35.369]  If we're aware of those tricks, we can beat them.
[00:03:35.629 --> 00:03:39.831]  If we're not, they'll win, we'll lose, and hell on earth will follow.
[00:03:40.591 --> 00:03:42.992]  It's Sunday, July 7th, 2024.
[00:03:43.072 --> 00:03:48.875]  I'm your host, Alex Jones, broadcasting from deep in the heart of Texas, broadcasting worldwide.
[00:03:51.391 --> 00:03:52.472]  We're going to hear four hours.
[00:03:54.634 --> 00:03:55.234]  I'm in for two.
[00:03:55.855 --> 00:03:57.776]  Chase Geyser is in for two after that.
[00:03:59.818 --> 00:04:02.020]  And we have got a ton to cover.
[00:04:02.080 --> 00:04:03.822]  He's got all the angles he wants to go at.
[00:04:03.922 --> 00:04:05.243]  I've got the angles I'm about to go at.
[00:04:06.701 --> 00:04:12.283]  He's in his office, right through that wall right there, beavering away, getting ready to do an amazing job like he did last Sunday.
[00:04:12.344 --> 00:04:13.564]  What a great show he did.
[00:04:13.584 --> 00:04:14.404]  I just want to point that out.
[00:04:14.424 --> 00:04:16.105]  People that missed it, I'm sure will do it again tonight.
[00:04:16.125 --> 00:04:21.207]  So be sure and tune in after I leave here in about, well, exactly one hour.
[00:04:23.308 --> 00:04:24.108]  55 minutes from now.
[00:04:24.308 --> 00:04:24.888]  56 minutes from now.
[00:04:25.729 --> 00:04:27.109]  Okay, we're going to go to break.
[00:04:27.469 --> 00:04:30.250]  People ask why I have a quick five-minute segment, and then I go to break for a minute.
[00:04:30.530 --> 00:04:37.251]  We're still on things called radio stations for all the folks out there on X. Over 300 of them, and all the folks watching at Infowars.com works like a show.
[00:04:37.671 --> 00:04:42.792]  So a lot of stations join us at six after, so we do this first five for people online, for everybody else on radio stations.
[00:04:43.132 --> 00:04:45.553]  The show kicks off in T minus 60 seconds.
[00:04:47.153 --> 00:04:48.714]  Remember, the way you override the A.I.
[00:04:48.754 --> 00:04:52.617]  and the sensors, you're taking the live links, or the telebooks from the local stations you're listening to.
[00:04:52.937 --> 00:04:54.958]  It's an info war, and you are the Paul Reveres.
[00:04:55.259 --> 00:04:56.019]  You're the resistance.
[00:04:56.039 --> 00:04:56.479]  Stay with us.
[00:05:01.383 --> 00:05:08.107]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:05:08.347 --> 00:05:10.409]  You better believe you've got one!
[00:05:12.425 --> 00:05:18.425]   From the front lines of the information war, it's Alex Jones.
[00:05:18.425 --> 00:05:43.425]  [Music]
[00:05:43.425 --> 00:05:48.425]  You are listening to an InfoWars.com front line report.
[00:05:48.425 --> 00:05:51.425]   If you are receiving this transmission, please contact the InfoWars.com front line.
[00:05:50.828 --> 00:05:52.168]  It's Sunday, July 7th, 2024.
[00:05:52.208 --> 00:05:53.889]  We are 120 days, 7 hours, 52 minutes, 57 seconds.
[00:05:54.870 --> 00:06:01.350]   We are live broadcasting worldwide from the M4 Studios in Austin, Texas. It's Sunday, July 7th,
[00:06:01.350 --> 00:06:10.149]   2024. We are 120 days, 7 hours, 52 minutes, 57 seconds. The most important election in world
[00:06:10.149 --> 00:06:15.350]   history. All right, folks, I'm going to give everybody from my perspective a 35.
[00:06:15.475 --> 00:06:22.440]  Then we're going to zoom in at point blank range on the ground and break it all down.
[00:06:22.940 --> 00:06:25.762]  What's happening here in America and around the world.
[00:06:27.984 --> 00:06:32.027]  But the first thing I want to talk about this evening is the big picture.
[00:06:33.228 --> 00:06:33.968]  I want to just be 100% clear.
[00:06:36.232 --> 00:06:49.275]  If we study the technocrats, the globalists, the mad scientists that President Eisenhower in 1961, in his farewell address in late January, gave a 21-minute speech.
[00:06:49.355 --> 00:06:51.655]  I've aired it many times, but not in years.
[00:06:51.675 --> 00:06:55.976]  We should air it again maybe next week or the week coming up and break it down.
[00:06:55.996 --> 00:06:57.676]  It takes about an hour to start and stop it.
[00:06:58.837 --> 00:07:03.577]  So important because he was in control of all the R&D, the nuclear weapons, everything.
[00:07:03.617 --> 00:07:05.458]  He was actually a president in full command.
[00:07:06.297 --> 00:07:10.802]  He said, look, there is a technological scientific elite trying to take full control of the U.S.
[00:07:11.963 --> 00:07:18.150]  and all research is to create a monopoly over everybody's minds and over the military and over society.
[00:07:18.851 --> 00:07:26.600]  So they call it the military-industrial complex speech, but it should have been the warning of the mad scientist takeover speech.
[00:07:28.396 --> 00:07:41.894]  But if you know what they're doing, and you know what the top 100 corporations are doing or so, and you actually read what they write and what they plan and what they do, you can read white papers the globalists put out in the 50s, 60s, 70s, they've done it all.
[00:07:43.596 --> 00:07:45.980]  And the stuff they talked about in the 80s, they've gotten basically all done.
[00:07:47.028 --> 00:07:56.732]  So that's why I can get on air and say they're going to release a virus and then they're going to create fear and make you wear masks and lock you in your houses and the first virus won't kill that many people.
[00:07:56.812 --> 00:08:03.655]  It'll just be a drill and a test, but then the shot they give you will actually be what slowly kills you and sterilizes you.
[00:08:04.536 --> 00:08:07.577]  And then they're going to release an even more deadly virus and have an even bigger response.
[00:08:08.917 --> 00:08:11.078]  People watch those videos from 15 years ago.
[00:08:12.899 --> 00:08:14.600]  They've got hundreds of millions of views on X alone.
[00:08:16.186 --> 00:08:18.447]  And they say, how the hell does this guy know all this?
[00:08:18.547 --> 00:08:23.110]  And again, it's not about me knowing it, it's about you understanding why I know it, because you can know it too.
[00:08:24.410 --> 00:08:29.633]  So once you start actually reading the globalists on admissions, they act like we're animals and can't read.
[00:08:30.534 --> 00:08:38.118]  And I get it, most of the public is just out having fun, go to the movies, go to Topgolf, you know, grill.
[00:08:38.598 --> 00:08:43.701]  Believe me, I want to go to Topgolf, and I want to grill, and I want to go to movies, and you know.
[00:08:46.904 --> 00:08:48.244]  I want to go scuba diving right now.
[00:08:50.565 --> 00:08:52.005]  I sneak in about once a year.
[00:08:52.025 --> 00:08:53.586]  I used to do it like every three months.
[00:08:54.206 --> 00:08:56.106]  Just go deep sea fishing three or four times a year.
[00:08:56.466 --> 00:08:57.447]  Do it every two years now.
[00:08:58.107 --> 00:08:59.767]  Because the whole world's in so much trouble.
[00:08:59.907 --> 00:09:01.708]  I'm not mad at you, you won't have a good time.
[00:09:01.928 --> 00:09:03.088]  I love it as much as you do.
[00:09:03.108 --> 00:09:03.688]  Probably more.
[00:09:04.348 --> 00:09:05.129]  I like enjoyment.
[00:09:06.069 --> 00:09:12.310]  But we're in such a global crisis that I just stay focused, focused, focused.
[00:09:12.330 --> 00:09:14.271]  80% of my waking time, the rest is with my children.
[00:09:15.601 --> 00:09:17.582]  And I've neglected them to a great extent.
[00:09:17.602 --> 00:09:19.904]  I couldn't have been a better father because I've been so focused on this.
[00:09:21.225 --> 00:09:24.467]  But what's frustrating is I know the enemy plan.
[00:09:25.207 --> 00:09:26.408]  And I know what they're doing.
[00:09:26.488 --> 00:09:27.929]  And I know what they're going to do next.
[00:09:28.489 --> 00:09:32.472]  Because they are basically been in control for 60 years.
[00:09:33.132 --> 00:09:34.333]  And they're getting greater control.
[00:09:34.373 --> 00:09:37.695]  So whatever they plan to do, baby, they get it done.
[00:09:39.582 --> 00:09:40.062]  Until now.
[00:09:40.963 --> 00:09:42.483]  The whole world's turning against them.
[00:09:42.823 --> 00:09:44.764]  They're getting way more resistance than they thought.
[00:09:44.804 --> 00:09:48.565]  I'd say a thousand percent more resistance than they predicted.
[00:09:49.126 --> 00:09:50.406]  They did not bet on humanity.
[00:09:51.666 --> 00:09:55.186]   So here's the 35,000 foot view, then I'll give you the big news and drill into it.
[00:09:55.186 --> 00:10:05.585]   They planned on the COVID scare basically still going on today.
[00:10:05.832 --> 00:10:07.853]  And they got people brainwashed for a while.
[00:10:08.769 --> 00:10:09.890]  Your mind control worked.
[00:10:13.093 --> 00:10:23.704]  Their psyops worked for a while, but then they weren't able to silence the citizens and the doctors and the good scientists and the good nurses, and so it backfired massively.
[00:10:24.565 --> 00:10:38.648]   And they've gone from 60% of the public taking all their poison shots So now they're getting 4% uptake on all their new shots and about 30% uptake all over the Western world on all their old ones that are just as bad.
[00:10:40.329 --> 00:10:46.034]  And if you go on from there, 80 plus percent of Americans, certainly Europeans, in all major polls are against these wars.
[00:10:46.454 --> 00:10:47.775]  They just try to hide that information.
[00:10:48.395 --> 00:10:49.576]  People aren't pro-war anymore.
[00:10:51.157 --> 00:10:56.321]  Folks, unified, I mean upwards of 70% of Hispanic Americans don't want open border.
[00:10:56.541 --> 00:10:57.502]  It's higher than white people.
[00:10:59.226 --> 00:11:00.747]  They've totally lost the Hispanics.
[00:11:01.667 --> 00:11:03.288]  Blacks triple the number supporting Trump.
[00:11:03.848 --> 00:11:19.254]  And I could go on for hours describing how, for the thinking public, and they come in all colors, shapes, and sizes, of beautiful people made by God, there is a irrevocable break with the system happening, and a global political realignment.
[00:11:19.714 --> 00:11:21.254]  And the globalists built the current system.
[00:11:21.274 --> 00:11:27.937]  They've got tricks and scams, and we'll get into the European elections and talk about what really happened there with the communists and socialists winning everywhere.
[00:11:28.874 --> 00:11:34.640]  In all the regional elections and all the primaries and all, oh my god, the populists were winning everywhere.
[00:11:34.660 --> 00:11:37.082]  They were winning by 50% in some cases, 40%.
[00:11:38.023 --> 00:11:43.449]  In parliamentary systems, that sounds like, where you see a two-party system, where they're winning by 40%.
[00:11:43.569 --> 00:11:46.132]  40% is like winning by 80% in a two-party system.
[00:11:46.352 --> 00:11:50.076]  You've got 15 parties and the conservative anti-globalist party gets 40%.
[00:11:51.457 --> 00:11:59.983]  In the case of Canada, or the case of Germany, you would think, or the case of France, 35%, you'd think, well, that's not a majority, how are they?
[00:12:00.463 --> 00:12:02.945]  The other parties are getting 5, 10, 15 points.
[00:12:04.066 --> 00:12:08.328]  But then they form coalitions in the parliaments to outvote that.
[00:12:08.448 --> 00:12:22.959]   So, when you see the Communists, or Labour in the UK winning, or you see the literal Communists winning in France, you're like, well, wait a minute, the Populist Party was Getting 35% of the vote a week ago?
[00:12:23.859 --> 00:12:24.419]  What happened?
[00:12:25.519 --> 00:12:32.742]  Well, again, they've got all these other parties that get their seats, they combine forces, and that's how the scam works.
[00:12:33.662 --> 00:12:34.362]  But I'm digressing.
[00:12:35.903 --> 00:12:40.038]   But on every front, The globalist agenda is all or nothing.
[00:12:40.118 --> 00:13:01.495]  If they can't keep knocking the dominoes down and keep the momentum going for the insane stuff, the transgenderism, the satanism, the communism, the so-called free-ride garbage, if all of that doesn't just keep falling in the way that they want it to go, they're going to lose because they're going for everything.
[00:13:03.096 --> 00:13:05.418]  But resistance is forming everywhere.
[00:13:06.138 --> 00:13:16.302]   We've gone from 3% resistance when I first got on there 30 years ago, to 30, 40, 50%, depending on the country you're in, resistance.
[00:13:16.343 --> 00:13:24.073]  And there's no way if 30 or 40% of us don't comply with just part of their system, it's going to go through.
[00:13:25.100 --> 00:13:40.547]  That's why they're so panicked, and that's why they're trying to catch up to get their global government in place, to get their cashless society in place, to get their central bank digital currencies and their social credit score in place, because they need that control when the world economy goes belly up.
[00:13:41.768 --> 00:13:45.530]  And, again, we're coming to the end of the Federal Reserve System, 1913, 100-plus years ago.
[00:13:46.530 --> 00:13:48.991]  What is that, 111 years ago?
[00:13:53.214 --> 00:13:55.895]  And similar systems were set up by the same families worldwide.
[00:13:56.335 --> 00:14:02.798]  So their bubble, and all their quadrillions in fake debt that they've put on us, is coming to an end.
[00:14:02.838 --> 00:14:18.744]  So they need crises to get us in line in the angrier, destabilized world the WDF talks about, so that we'll accept the answer, the lifeboat they're launching for us, of this cashless society, world government, market-based system.
[00:14:19.741 --> 00:14:26.923]  But if they can't get the public to go along with that, well, they don't get to build the new system, they go to prison.
[00:14:29.603 --> 00:14:37.245]  And so that's really the big takeaway, is that the world financial system is already collapsing.
[00:14:38.586 --> 00:14:40.026]  Inflation is everywhere.
[00:14:42.687 --> 00:14:43.947]  It's expanding radically.
[00:14:46.050 --> 00:14:48.732]  And the globalists talked about this a lot.
[00:14:48.772 --> 00:14:52.235]  We've read their quotes here, played the clips, but they were going to blame that on other things.
[00:14:52.675 --> 00:14:56.378]  Blame it on war, racism, or global warming.
[00:14:56.438 --> 00:14:57.419]  People don't buy that.
[00:14:57.539 --> 00:15:02.783]  They are learning about the WUF, the IMF, the World Bank, the private Federal Reserve.
[00:15:03.804 --> 00:15:17.318]   And as that process that's been going on since the Federal Reserve began, it was fought in Congress, barely snuck through, on December 23rd, 1913.
[00:15:17.578 --> 00:15:21.501]  No quorum call.
[00:15:21.521 --> 00:15:22.561]  Three senators passed it.
[00:15:23.782 --> 00:15:25.223]  Back then, there wasn't TV and radio.
[00:15:25.243 --> 00:15:27.124]  The public didn't even know what was going on until months later.
[00:15:30.646 --> 00:15:36.369]  And so now, all these decades and a century plus later, the learning curve is going straight up.
[00:15:37.790 --> 00:15:54.030]   And so, as negative as the news is, we cover and break down here daily and nightly at Infowars.com and Bandop Video and Real Alex Jones on X. And the links that don't get censored as much as like madmaxworld.tv takes you to banned on video.
[00:15:55.472 --> 00:15:58.474]  Whereas that link to banned on video is totally banned on places like Facebook.
[00:15:58.494 --> 00:16:00.876]  You can still get madmaxworld.tv out.
[00:16:00.916 --> 00:16:01.737]  But I digress.
[00:16:03.138 --> 00:16:12.206]  What I'm getting at here is that their system is coming down.
[00:16:14.511 --> 00:16:34.077]  And they need to get us to buy into their new system, but if they're exposed as the people running the old system, why do you put the same people in charge of a new system that's so totalitarian, so Orwellian, so obviously Big Brother on steroids and a healthy helping of PCP?
[00:16:35.751 --> 00:16:38.674]  Now that said, here's the big issue.
[00:16:39.514 --> 00:16:44.358]  There are millions of points and angles to talk about with this election and what's happening here in America.
[00:16:44.999 --> 00:16:47.121]  And I'm going to hit that first here in a moment, in detail.
[00:16:49.103 --> 00:16:53.066]  But you first have to understand what's happening here is part of a larger global realignment.
[00:16:54.065 --> 00:17:03.993]  And so people are politically trying to leave the party they were in, to go to another party, hoping for change, and most of the public's still not that educated on what's happening, so they're just randomly hitting panic buttons.
[00:17:04.453 --> 00:17:14.161]  But the fact that you're seeing such radical change in governments and systems so quickly, shows that it's a juggling game for the globalists, and that they, in the end, are in deep trouble.
[00:17:14.862 --> 00:17:16.003]  And they know that, and they admit that.
[00:17:17.349 --> 00:17:24.791]  Now that said, we can talk about Biden dropping out, we can talk about who's going to replace him all day, we can talk about all the angles of that, and we will.
[00:17:25.292 --> 00:17:26.612]  It's a very interesting soap opera.
[00:17:27.832 --> 00:17:37.016]  But in the larger equation, inside the federal government, inside Wall Street, Wall Street donated 95% to the Democrats against Trump.
[00:17:37.036 --> 00:17:37.856]  I've got articles right here.
[00:17:38.720 --> 00:17:47.184]  But suddenly, the Treasury notes and things are up again, and Wall Street is now saying, OK, we're going to prepare for a Trump presidency.
[00:17:47.224 --> 00:17:50.785]  Got Town Hall articles about that and New York Times articles.
[00:17:50.825 --> 00:17:56.168]  So Wall Street, in just the last week, is not shifting to support Trump.
[00:17:57.861 --> 00:18:03.523]  They are now changing their policies and what they're planning to do for Trump's presidency.
[00:18:03.884 --> 00:18:06.345]  And I don't want to sit here and say they won't try to steal it.
[00:18:06.605 --> 00:18:07.485]  They certainly will try.
[00:18:08.306 --> 00:18:09.606]  But a landslide they can't override.
[00:18:09.706 --> 00:18:10.326]  It's too big.
[00:18:10.607 --> 00:18:11.467]  That goes into the numbers.
[00:18:11.547 --> 00:18:13.008]  And I've talked about that a million times.
[00:18:13.028 --> 00:18:13.668]  I'm not going to repeat it.
[00:18:13.768 --> 00:18:14.248]  Well, I guess I will.
[00:18:14.768 --> 00:18:20.571]  They look at so many dead people and so many folks that have moved out of district with Zuckerberg's database to stop ballot boxes and fill out fake ballots.
[00:18:20.971 --> 00:18:22.412]  They only have so many bullets.
[00:18:23.507 --> 00:18:26.608]  It's like a video game and the final boss takes 100 missiles to kill.
[00:18:27.309 --> 00:18:30.590]  And you get to the final level and you got 80 missiles, they can't kill the boss.
[00:18:31.110 --> 00:18:32.071]  They don't have enough bullets.
[00:18:34.112 --> 00:18:34.412]  Okay?
[00:18:34.972 --> 00:18:37.793]  And that's why people just turn out and show up and get people to vote.
[00:18:38.894 --> 00:18:39.474]  Trump will win.
[00:18:40.434 --> 00:18:46.027]   And I had Rodger on last week and he's like, while you were watching, last Sunday actually, I love Roger.
[00:18:46.047 --> 00:18:46.528]  He's a great guy.
[00:18:46.548 --> 00:18:47.108]  Really smart.
[00:18:47.308 --> 00:18:48.949]  One of the best political analysts out there.
[00:18:49.169 --> 00:18:51.710]  He's like, listen, I don't want to talk about what Trump gets in.
[00:18:51.730 --> 00:18:54.451]  I want to worry about what's happening now and how we get him elected.
[00:18:54.491 --> 00:18:55.632]  And I said, Roger, that's great.
[00:18:56.652 --> 00:19:03.196]  This isn't a regular show where we're trying to, you know, we are reaching new audiences, but mainly we've got activists that know what's going on.
[00:19:03.256 --> 00:19:06.317]  They want to get the next level intel and see if they agree with it or not.
[00:19:06.337 --> 00:19:07.718]  Because a lot of our listeners are smarter than we are.
[00:19:07.738 --> 00:19:09.959]  In fact, on many subjects, you are smarter than I am.
[00:19:11.448 --> 00:19:14.529]  It's all about perspective and lifetime experience and training.
[00:19:14.969 --> 00:19:16.290]  So I learn from you, you learn from me.
[00:19:17.010 --> 00:19:21.152]  And I said, Roger, I believe he's going to be re-elected.
[00:19:21.472 --> 00:19:22.412]  The evidence is overwhelming.
[00:19:23.072 --> 00:19:28.574]  And then what are they going to do the 79 days when he's president-elect where he's the president but doesn't have the power?
[00:19:28.814 --> 00:19:32.916]  That's when they've admitted they're going to cause civil unrest, total hysteria, you name it.
[00:19:33.196 --> 00:19:34.737]  That's a huge discussion area.
[00:19:34.917 --> 00:19:35.977]  But let's move on from that.
[00:19:36.917 --> 00:19:38.238]  Because we're tomorrow's news today.
[00:19:40.043 --> 00:19:42.285]  You can get current analysis on what's going on everywhere.
[00:19:42.325 --> 00:19:42.985]  We'll do some of that.
[00:19:44.246 --> 00:19:48.209]  But people don't tune in here to get what's currently happening.
[00:19:48.229 --> 00:19:51.491]  Because we already told you what was going to happen a year ago.
[00:19:52.192 --> 00:19:52.552]  Literally.
[00:19:53.232 --> 00:19:53.953]  Or five years ago.
[00:19:57.135 --> 00:19:59.217]  Trump has said this five times I know of.
[00:20:00.378 --> 00:20:01.258]  In the last six months.
[00:20:02.039 --> 00:20:03.180]  He said it again two weeks ago.
[00:20:03.260 --> 00:20:06.882]  And the media spun it and said, Trump hopes there's a financial collapse.
[00:20:06.922 --> 00:20:07.583]  He didn't say that.
[00:20:08.680 --> 00:20:16.809]  He said, I'm really worried about the economy and this bubble and the inflation, and I think we're going to have a major correction and serious collapse.
[00:20:19.521 --> 00:20:31.386]  If I'm handed the baton, like Herbert Hoover, and the first week I get into office, in late January of 2025, five months from now, six months from now, I'm going to get the blame.
[00:20:31.746 --> 00:20:33.907]  That's how the public works, and I won't be able to fix it.
[00:20:34.227 --> 00:20:39.609]  If it collapses now, I'll be able to put policies in that will mitigate it, and he's always an optimist, and fix it.
[00:20:39.649 --> 00:20:40.589]  You're not going to fix this.
[00:20:40.929 --> 00:20:43.930]  You can, like, crash into the wall at 50 miles an hour or 100.
[00:20:45.251 --> 00:20:46.671]  With Trump, it's 50 miles an hour.
[00:20:46.692 --> 00:20:47.192]  With Biden, it's 150.
[00:20:49.310 --> 00:20:53.134]  Or use the plane landing, you know, the engine's out, the plane's out of control.
[00:20:53.555 --> 00:20:55.437]  Can the pilot land the plane?
[00:20:55.737 --> 00:21:03.105]  You still get a few broken bones, the landing gear breaks, slides into a building, you know, maybe kills a few people, but most people survive.
[00:21:03.865 --> 00:21:05.567]  Like crash landing, survivable.
[00:21:06.328 --> 00:21:08.150]  Let's not sit here and lie to people.
[00:21:10.913 --> 00:21:25.044]  Alright, we're either going to crash straight in the ground, and we explode into a total deep depression, crime wave, total insanity, food services breakdown, infrastructure disintegration, hell on earth, the globalists are planning on that.
[00:21:27.026 --> 00:21:38.515]  Or, we can come in with our nose up, wobble around them, landing gear breaks, and we slide into a hangar.
[00:21:41.348 --> 00:21:47.051]  And then the slides pop out on the side of the plane when we get off and the plane blows up.
[00:21:47.111 --> 00:21:52.394]  I mean, that's the good scenario versus just straight down on the ground.
[00:21:54.555 --> 00:22:01.358]  So, those are discussions I have with my parents, my wife, my family around the dinner table.
[00:22:01.738 --> 00:22:03.659]  I'm literally like, who cares?
[00:22:03.679 --> 00:22:04.600]  We don't have much money in the bank.
[00:22:04.840 --> 00:22:05.801]  We just eat storable food.
[00:22:05.861 --> 00:22:06.301]  Get more.
[00:22:07.902 --> 00:22:16.332]   And, you know, stock the cabin in the woods because This is going to, this runs from bad to nightmare level unspeakable.
[00:22:16.352 --> 00:22:16.732]  Okay?
[00:22:17.433 --> 00:22:19.815]  And again, I don't want to, I think all of you already know this.
[00:22:20.596 --> 00:22:23.819]  Most people can see the signs everywhere, but I'm just not going to lie to people.
[00:22:24.119 --> 00:22:26.401]  We need to get our asses ready.
[00:22:28.603 --> 00:22:31.766]  And I've spent 90% of your chance trying to save the country because that mitigates the crash.
[00:22:32.767 --> 00:22:35.589]  10% getting ready, which I've, I've never spent 10% of my time getting ready.
[00:22:35.709 --> 00:22:36.070]  I am now.
[00:22:36.929 --> 00:22:45.494]  Because it's that serious, it's that dangerous, and I'd be a liar if I didn't sit here and explain to you in my perspective, maybe you disagree, we are screwed.
[00:22:45.514 --> 00:22:48.896]  Because you know, a crash landing, you survive, it's still horrible.
[00:22:49.717 --> 00:22:53.579]  But that's what I'm looking for, and maybe out of a miracle the plane lands and everything's fine.
[00:22:54.994 --> 00:22:55.855]  Well, look around the world.
[00:22:56.635 --> 00:23:05.383]  Just the COVID lockdowns of three years in the third world, year and a half in the West, devastated supply lines, infrastructure, killed 80-plus million people from starvation.
[00:23:05.403 --> 00:23:07.805]  They're all flooding up here, being used as a UN weapon.
[00:23:08.085 --> 00:23:10.046]  I mean, they've started dominoes.
[00:23:10.267 --> 00:23:14.550]  They already cut off 30-something percent of the fertilizer production worldwide.
[00:23:14.790 --> 00:23:18.393]  They're already cutting off most of the pipelines and oil drilling permits, not just here around the world.
[00:23:18.814 --> 00:23:19.795]  Russia, up production.
[00:23:19.835 --> 00:23:21.156]  It's kind of saving a bunch of people.
[00:23:22.377 --> 00:23:24.321]  I mean, I'm not trying to lionize Russia.
[00:23:24.341 --> 00:23:24.942]  They just are.
[00:23:28.689 --> 00:23:31.835]  So... That's where we are.
[00:23:33.358 --> 00:23:33.478]  And...
[00:23:34.656 --> 00:23:41.122]  You can talk about the 79 days from Trump being re-elected in early November to January 21st where he's sworn in in D.C.
[00:23:41.403 --> 00:23:42.424]  And what are they going to do in that time?
[00:23:42.464 --> 00:23:43.965]  We should really be talking about that.
[00:23:44.045 --> 00:23:44.906]  Nobody else is.
[00:23:45.447 --> 00:23:48.089]  Remember last time I said 79 days to hell four years ago.
[00:23:48.409 --> 00:23:49.811]  I said they're going to try to steal the election.
[00:23:49.831 --> 00:23:51.012]  They're going to try to have civil unrest.
[00:23:51.032 --> 00:23:52.654]  They're going to try to have false flags.
[00:23:52.794 --> 00:23:54.836]  I had no idea I'd walk right into one in D.C.
[00:23:54.856 --> 00:23:55.877]  It'd be that obvious.
[00:23:57.267 --> 00:24:02.271]  And I'm just telling you, 79 days of hell are coming in 120 days.
[00:24:02.871 --> 00:24:04.553]  But that's a side issue!
[00:24:07.375 --> 00:24:10.898]  Compared to what they're going to do when Trump gets in.
[00:24:12.559 --> 00:24:17.923]  They are going to keep it propped up, or the illusion, here's how it works, the economy's already falling apart.
[00:24:18.824 --> 00:24:19.905]  Inflation's already out of control.
[00:24:20.665 --> 00:24:22.547]  People are spending their savings just to pay the bills.
[00:24:23.268 --> 00:24:23.688]  You know that.
[00:24:26.201 --> 00:24:30.943]  The minute Trump gets into office in January next year, just remember this, mark this down.
[00:24:30.963 --> 00:24:33.985]  That's why they want me off the air, because they don't want this to be played later.
