[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[00:10:08.700 --> 00:10:12.320]  Again, top scientists and experts are pointing out it's all a giant psyop.
[00:10:12.460 --> 00:10:18.960]  They're now admitting these so-called vaccines that they've got actually will cause leaky vaccine and cause deadly virus mutations.
[00:10:19.620 --> 00:10:23.080]  Everything's blowing up in their face as they try to launch this new operation.
[00:10:23.399 --> 00:10:25.860]  That's why this is so important, but they got tricks up their sleeve.
[00:10:26.440 --> 00:10:28.000]  Now I want to be very, very clear.
[00:10:29.159 --> 00:10:32.899]  Yes, it's good news that most people are not buying any of this garbage.
[00:10:34.039 --> 00:10:40.259]  And it's good news that it's coming out day one, that it's manmade, and of course, connected to our criminal federal government.
[00:10:41.519 --> 00:10:54.259]  And yes, it's great news that even mainline scientists are saying, how can you have a bunch of different companies with a bird flu vaccine that doesn't even cover some magic mutation we're not sure is even coming?
[00:10:56.389 --> 00:10:59.330]  And then give people a shot that won't even protect them from that.
[00:10:59.509 --> 00:11:03.490]  None of this even makes sense on its face, but it's not meant to.
[00:11:03.649 --> 00:11:06.269]  It's, again, a giant psyop.
[00:11:06.450 --> 00:11:27.179]  And what Dr. Peter McCullough and others have broken down, and we've shown these graphics, we'll show them again, and we posted them on Infowars.com and at Real Alex Jones on X, you can check it for yourself, is they have the history of these mutations, and we know that that was being researched at these labs, and then virologists were able to look at that and see that it's clearly been accelerated In its evolution.
[00:11:27.500 --> 00:11:40.120]  And then if you give people these experimental shots while the wild viruses are out there, it will cause them to have more accelerated evolution or the popular parlance leaky vaccine.
[00:11:40.419 --> 00:11:42.740]  So this is the worst thing they could do.
[00:11:43.940 --> 00:11:55.840]  Even if they weren't the ones that made this new H1N1 that they're now sitting back saying is about to jump into humans in a really bad way because they've got the next version clearly on the shelf, which they admit they have.
[00:11:56.019 --> 00:11:58.480]  I mean, these people aren't even hiding the stuff.
[00:11:58.600 --> 00:12:02.399]  And if they don't start going to prison, they're going to release something far worse on us.
[00:12:03.240 --> 00:12:04.220]  So let's recap.
[00:12:05.789 --> 00:12:07.429]  We've shot down their funding for this.
[00:12:07.629 --> 00:12:09.309]  We've shot down their global UN treaty.
[00:12:10.029 --> 00:12:18.370]  You've had their spokespersons like Tedros and Burks and Hotez running around saying, don't worry, a new pandemic's coming.
[00:12:19.009 --> 00:12:20.429]  That's how we'll keep control.
[00:12:20.629 --> 00:12:22.090]  It's going to come crashing in on Trump.
[00:12:22.250 --> 00:12:30.429]  They don't even hide the fact to their political minions that, hey, they're doing this for political power and, hey, wear the mask and keep America shut down.
[00:12:31.259 --> 00:12:40.500]  And that's a huge takeaway that the left, a lot of them are actually conscious of this and love the cult's power and enjoy being abused by it because they have Mass Stockholm Syndrome.
[00:12:40.899 --> 00:12:56.320]  Then you've got the fact that these new variants are clearly man-made of H5N1. Then you've got them wanting to give people all these new experimental shots they've got that don't even protect you but will mutate the wild virus on record to make it way worse.
[00:12:56.980 --> 00:13:00.240]  And then you've got all this coming out and the whole world seeing it.
[00:13:00.889 --> 00:13:03.409]  And Bill Gates running around saying, don't worry, a new virus is coming.
[00:13:03.529 --> 00:13:04.549]  It's going to kill a bunch of kids.
[00:13:04.669 --> 00:13:05.830]  So you better do what we say.
[00:13:06.009 --> 00:13:13.110]  I mean, they're openly got a gun to our head saying we're going to basically shut down society and kill you if you don't submit to us.
[00:13:13.269 --> 00:13:15.450]  But even if you submit to us, we're still going to do it anyway.
[00:13:15.470 --> 00:13:16.490]  So they give us no choice.
[00:13:17.220 --> 00:13:18.379]  So this is an epic moment.
[00:13:18.519 --> 00:13:19.100]  We are winning.
[00:13:19.600 --> 00:13:23.279]  But I just sit back and think, what are they gonna do now?
[00:13:23.580 --> 00:13:25.159]  And we still haven't defeated this yet.
[00:13:25.379 --> 00:13:26.720]  They're trying to roll it out.
[00:13:27.120 --> 00:13:30.240]  It's not working, but the blue cities and states are declaring their emergencies.
[00:13:30.580 --> 00:13:32.259]  It's also happening in Europe and Australia.
[00:13:32.500 --> 00:13:37.759]  And we just have to get this information out and take these big interviews with scientists like Dr. Robert Malone coming up later.
[00:13:38.639 --> 00:13:45.899]  Peter McCullough yesterday and shared them everywhere because this type of evil psyop cannot survive the light of truth.
[00:13:46.139 --> 00:13:48.340]  So this is your mission if you choose to accept it.
[00:13:48.379 --> 00:13:52.720]  If not, we are in for lockdowns, tyranny, way worse than we saw in the last five years.
[00:13:53.039 --> 00:13:56.820]  What should be happening in the Biden administration right now that isn't going on?
[00:13:57.220 --> 00:14:00.840]  Yeah, there are two main things that they should be doing in the days that they have left.
[00:14:01.019 --> 00:14:03.139]  The first is to get testing out there.
[00:14:03.360 --> 00:14:09.320]  I feel like we should have learned our lesson from COVID that just because we aren't testing, it doesn't mean that the virus isn't there.
[00:14:09.500 --> 00:14:11.039]  It just means that we aren't looking for it.
[00:14:11.159 --> 00:14:24.080]  We should be having rapid tests, home tests available to all farm workers, to their families, for the clinicians taking care of them so that we aren't waiting for public labs and CDC labs to tell us what's bird flu or not.
[00:14:24.320 --> 00:14:29.519]  And the second very important thing is this is not like the beginning of COVID where we were dealing with a new virus.
[00:14:29.639 --> 00:14:30.539]  We didn't have a vaccine.
[00:14:30.740 --> 00:14:40.600]  There actually is a vaccine developed already against H5N1. The Biden administration has contracted with manufacturers to make almost 5 million doses of the vaccine.
[00:14:40.879 --> 00:14:44.539]  However, they have not asked the FDA to authorize the vaccine.
[00:14:44.720 --> 00:14:45.980]  There's research done on it.
[00:14:46.080 --> 00:14:52.220]  They could get this authorized now and also get the vaccine out and to farm workers and to vulnerable people.
[00:14:52.679 --> 00:14:57.399]  I think that's the right approach because we don't know what the Trump administration is going to be doing around bird flu.
[00:14:57.639 --> 00:15:02.600]  If they have people coming in with anti-vaccine stances, could they hold up vaccine authorization?
[00:15:03.059 --> 00:15:08.000]  If they don't want to know how much bird flu is out there, could they withhold testing?
[00:15:08.360 --> 00:15:10.139]  I mean, that's a possibility.
[00:15:10.379 --> 00:15:18.759]  To me, the spring and the summer where we had all of the dairy cattle to farm worker exposure, we didn't have human flu circulating.
[00:15:19.330 --> 00:15:24.690]  So now we're entering a much more dangerous period, yet we're still not testing.
[00:15:24.950 --> 00:15:39.769]  And we should be providing tests free of charge to dairy farm workers so they can test anonymously weekly because they'll want to know if they have both cases of potential flu co-circulating in their own body to protect their families.
[00:15:39.929 --> 00:15:40.830]  People are very smart.
[00:15:40.970 --> 00:15:43.470]  I find the American public to be incredibly smart.
[00:15:43.470 --> 00:15:50.409]  If you tell them the risk and you give them the tools, They will utilize them to protect themselves and their family.
[00:15:51.090 --> 00:16:06.789]  Now, a lot of people ask me the question, if this whole biomedical system is being used by the globalists, as they admit it is, to try to bring in total control over society and depopulate and take control of our bodies, why, if it's been exposed,
[00:16:06.889 --> 00:16:08.269]  are they still running their operation?
[00:16:08.509 --> 00:16:26.240]  Because they built their whole globalist architecture at the UN and the WHO and these corporations To take control using a disease X. That's how I predicted it all decades ago and laid out the lockdowns and the six feet apart and the mask and the shots and the quarantine camps because they'd war-gamed it.
[00:16:26.279 --> 00:16:28.240]  They'd said they were going to use it for total control.
[00:16:28.580 --> 00:16:35.879]  And then when they collapsed the third world from the lockdowns, And people starve to death, and we get flooded by the third world, they say, oh, it's global warming causing it.
[00:16:36.039 --> 00:16:47.600]  And when they say, oh, about 2030, there'll be mass depopulation from global warming, no, that's because of their policies cutting off the resources, cutting off the energy, cutting off the fertilizers, and that causes a collapse.
[00:16:47.700 --> 00:16:50.639]  And they say, oh, look, global warming, man-made, you caused it.
[00:16:51.269 --> 00:16:52.389]  This is their plan.
[00:16:52.629 --> 00:17:01.289]  This is the Rio de Janeiro post-industrial 1992 meeting, and this is Limits to Growth and the Club of Rome and their own admissions.
[00:17:01.289 --> 00:17:12.609]  Go watch the WHO or the WEF. I mean, go to the World Economic Forum and all of them, and they admit all of this.
[00:17:13.930 --> 00:17:17.210]  And so finally people are going, wow, these people really are evil.
[00:17:17.309 --> 00:17:18.029]  They really are doing this.
[00:17:18.089 --> 00:17:18.789]  And I'm like, yeah!
[00:17:19.069 --> 00:17:20.809]  And let's organize and oppose it.
[00:17:20.890 --> 00:17:21.650]  And that's happening.
[00:17:22.349 --> 00:17:23.849]  So it's an amazing time to be alive.
[00:17:23.970 --> 00:17:24.890]  Back to the live broadcast.
[00:17:25.029 --> 00:17:26.289]  Dr. Robert Malone and others coming up.
[00:17:26.789 --> 00:17:27.809]  Last day of the year.
[00:17:28.009 --> 00:17:29.130]  So much more coming.
[00:17:29.289 --> 00:17:31.789]  Please stay with us and share the live links right now from Alex Jones.
[00:17:31.950 --> 00:17:35.049]  We reached tens of millions of new people yesterday because of you sharing the links.
[00:17:35.109 --> 00:17:36.630]  Let's do it again and let's stop these monsters.
[00:17:38.849 --> 00:17:40.990]  Ladies and gentlemen, welcome to the Alex Jones Show.
[00:17:41.130 --> 00:17:43.190]  I am Chase Geyser, your host today.
[00:17:47.430 --> 00:18:06.150]  So much is unfolding this New Year's Eve, the last day of 2024, a year which will never be forgotten because of what we did on November 5th, all these things that have unfolded this year in way of the escalations to World War III. Changes in freedom of speech.
[00:18:08.120 --> 00:18:09.940]  Astronomical Supreme Court rulings.
[00:18:11.460 --> 00:18:13.799]  Unbelievable failures from this administration.
[00:18:15.319 --> 00:18:21.019]  Finally acknowledged by the left on June 27th after this wretched debate.
[00:18:21.160 --> 00:18:23.240]  I mean, we've got so many whistleblowers and other reports.
[00:18:23.460 --> 00:18:24.259]  You guys already know.
[00:18:25.319 --> 00:18:36.460]  Biden's mind hasn't been working for at least four years and they covered it up and everybody in his staff knew and you guys already know and already knew, have known the whole time and they're just now admitting it.
[00:18:37.359 --> 00:18:39.920]  Because it's acceptable for the public to understand.
[00:18:41.799 --> 00:18:56.160]  But the latest development, which is the most shocking, probably the most alarming, maybe even the most dangerous story of the entire year of 2024, if not the entire administration of Joe Biden, is this bird flu.
[00:18:56.900 --> 00:19:03.759]  And I was just astounded with the conversations I had yesterday with Dr. Peter McCullough and Tom Renz.
[00:19:05.119 --> 00:19:15.619]  I didn't realize until I spoke to Dr. McCullough yesterday that this strand of the bird flu had been manipulated with gain-of-function research.
[00:19:15.900 --> 00:19:19.759]  And I was talking to Harrison Smith, of course, who hosts the American Journal from 8 a.m.
[00:19:19.779 --> 00:19:20.319]  to 11 a.m.
[00:19:20.359 --> 00:19:21.900]  on Infowars.com forward slash show.
[00:19:22.019 --> 00:19:41.789]  You should follow him on X. I said, it's crazy that they manipulated the bird flu virus so that it could transfer from poultry to mallard ducks so that the ducks could spread the virus across large swaths of geography.
[00:19:42.269 --> 00:19:44.369]  Basically the entire continent, if not the entire world.
[00:19:44.730 --> 00:19:46.170]  And he said, you know what's interesting about that?
[00:19:46.289 --> 00:19:51.170]  You know that Russian whistleblower who was just assassinated in Moscow?
[00:19:51.470 --> 00:19:52.529]  Forgive me, I can't remember his name.
[00:19:53.970 --> 00:20:09.750]  He was saying that the bio labs in Ukraine were doing gain of function research to figure out how to make viruses infect birds so that it could spread across large regions.
[00:20:12.170 --> 00:20:22.930]  And it's funny how all of these conspiracies, they all seem so isolated until they finally come together and you realize that it's really all connected in one deep state web.
[00:20:27.250 --> 00:20:29.289]  But we know so much about this virus.
[00:20:30.269 --> 00:20:39.130]  And if we just paid attention, if we just draw attention to the important details surrounding it, I don't think anybody would be afraid of anything.
[00:20:39.569 --> 00:20:44.890]  It was first identified in 1961. The first human case was 1997 in Hong Kong.
[00:20:47.210 --> 00:21:10.369]  Claims that the mortality rate for this virus among humans is 50 to 60 percent are Vastly exaggerated, not only because the virus is now simply less deadly than it used to be as viruses become over time as they mutate, as they don't want to kill their hosts, but also because those who have died of this virus over the course of the last 30 years have primarily been in third-world countries sleeping with their chickens with no access to good quality health care.
[00:21:12.789 --> 00:21:21.289]  If we look even closer, we realize that there's no human-to-human transmission yet, so you're only likely to get it if you're interacting with very ill chickens.
[00:21:22.970 --> 00:21:23.609]  Or livestock?
[00:21:24.029 --> 00:21:25.190]  Or dead livestock?
[00:21:27.089 --> 00:21:37.910]  And then when you dive even deeper and you realize that over the course of the last four years, poultry farm fires have gone up 200% compared to the four years prior.
[00:21:41.049 --> 00:21:42.650]  Let me put it to you another way.
[00:21:43.069 --> 00:21:52.309]  During Biden's term, there have been 200% more poultry farm fires than during Trump's term.
[00:21:54.509 --> 00:21:59.450]  Four years Trump was the President of the United States, there were approximately 500,000 chickens killed in poultry farm fires.
[00:22:00.250 --> 00:22:05.789]  Under Biden's administration, there have been 1.5 million chickens killed in these fires.
[00:22:05.970 --> 00:22:09.230]  Why is it that fires have suddenly gone up 200% in the last four years?
[00:22:09.329 --> 00:22:11.609]  You're telling me that there's not arson involved or this isn't orchestrated?
[00:22:11.849 --> 00:22:15.430]  Now, is it a manufactured shortage that they're trying to create here?
[00:22:15.829 --> 00:22:23.430]  Are they trying to justify the acquisition of farmland, livestock, cattle, the conglomeration of it so they can control the market?
[00:22:24.619 --> 00:22:30.000]  Or are they just quietly culling these flocks that they deem to be infected with a dangerous virus?
[00:22:31.079 --> 00:22:36.599]  Is the CIA or national security apparatus going into these farms and just culling the herds quietly?
[00:22:36.779 --> 00:22:40.880]  If they can't do it legally, if they do it discreetly, it's okay because the farmers are going to get an insurance payout.
[00:22:41.259 --> 00:22:42.599]  No harm, no foul.
[00:22:43.259 --> 00:22:44.200]  No pun intended.
[00:22:50.099 --> 00:23:02.680]  But you look at this and you see, all right, well, between 2010 and 2014, there were three times the number of human cases of bird flu than there have been this year as of October.
[00:23:04.240 --> 00:23:07.200]  According to the CDC's own data, according to the WHO's own data.
[00:23:07.319 --> 00:23:11.539]  So why is it then that it's every single mainstream media headline?
[00:23:11.779 --> 00:23:24.220]  Why is it that every single mainstream legacy media outlet is having expert on after expert on after expert on talking about the importance of vaccines, talking about the dangers of this flu, talking about how there's going to be a pandemic that starts on January 21st.
[00:23:24.279 --> 00:23:26.140]  We know about this virus.
[00:23:26.140 --> 00:23:28.140]  It's existed for at least 50 years.
[00:23:28.549 --> 00:23:31.369]  It's infected more humans in the past than it's infecting now.
[00:23:31.529 --> 00:23:34.450]  It was never a big issue then because they were so busy talking about Ebola.
[00:23:36.349 --> 00:23:40.869]  We just had to pick one, I guess, between 2010 and 2014. Should we hype up Ebola or should we hype up the bird flu?
[00:23:41.069 --> 00:23:50.990]  Well, the swine flu didn't turn out to be as deadly as we said a few years ago, so let's pivot to Ebola for a while, scare the hell out of a bunch of people about this, and then we can pivot back to the bird flu in the future and use that again to hype up everything.
[00:23:54.140 --> 00:23:55.519]  So the question is why?
[00:23:55.980 --> 00:23:57.539]  Why are they exaggerating this threat?
[00:23:57.599 --> 00:23:59.759]  And I think it's pretty obvious to this audience who pays attention.
[00:24:02.119 --> 00:24:09.279]  They learned so much from what happened in 2020 about the opportunity created from a public health crisis.
[00:24:11.200 --> 00:24:13.980]  And what's more, it doesn't even have to be really a crisis.
[00:24:14.140 --> 00:24:18.960]  I understand that COVID-19 is a real virus and it existed and that it was slightly more dangerous than the flu.
[00:24:20.059 --> 00:24:22.119]  Certainly not nearly as dangerous as they said it would be.
[00:24:22.460 --> 00:24:24.619]  Certainly not nearly as dangerous as getting the vaccines.
[00:24:24.960 --> 00:24:32.700]  Certainly not nearly as dangerous as any of the measures that we took to respond to this pandemic.
[00:24:35.210 --> 00:24:46.089]  But they understand that they can do an ad campaign, do a media blitz campaign, and they can convince at least half the population that there's a serious health problem, regardless of whether or not there is, and that everyone will simply comply.
[00:24:46.089 --> 00:24:50.910]  And not only will they comply, but they'll actually call and rat on their neighbors for not complying.
[00:24:51.009 --> 00:24:53.190]  We know that Tim Walls had a hotline in his state.
[00:24:55.009 --> 00:25:03.910]  We know that Tim Walls had soldiers, National Guard, marching down the street, shooting at people on their porches if they were supposed to be inside during the lockdown with rubber bullets and paintballs.
[00:25:04.329 --> 00:25:05.289]  We saw it all.
[00:25:06.369 --> 00:25:07.910]  Straight from the Maoist playbook.
[00:25:08.609 --> 00:25:10.190]  He's not the only Maoist, by the way.
[00:25:10.309 --> 00:25:14.230]  Half the leftists, if not all the leftists, are Maoists, whether they know it or not.
[00:25:14.369 --> 00:25:16.789]  Just like all the globalists are Satanists, whether they know it or not.
[00:25:20.789 --> 00:25:30.349]  But what this government learned from 2020 was not, oh my goodness, we shouldn't ever do that again or handle something like this this way again.
[00:25:30.349 --> 00:25:31.069]  This was terrible.
[00:25:31.230 --> 00:25:31.710]  So many died.
[00:25:31.769 --> 00:25:32.470]  It was so unnecessary.
[00:25:33.109 --> 00:25:33.349]  No, no, no.
[00:25:33.369 --> 00:25:42.230]  What they learned was, oh, if we scare the hell out of people, we can lie as much as we want to accomplish this, then they will get in line for anything.
[00:25:42.230 --> 00:25:43.789]  We can change all the election laws.
[00:25:44.190 --> 00:25:46.369]  We can change all the regulations around health care.
[00:25:46.529 --> 00:25:48.609]  We can force inoculate the entire military.
[00:25:50.809 --> 00:25:51.930]  All the major corporations.
[00:25:52.549 --> 00:25:54.869]  We can tighten controls on travel.
[00:25:55.710 --> 00:25:59.529]  We can shut down any businesses except for those that we deem essential.
[00:26:00.190 --> 00:26:08.589]  And we can conspire with major corporations to ensure that all of their small business competitors go out of business so that they can conglomerate more of the market share.
[00:26:10.950 --> 00:26:17.210]  There's kickback on the vaccine front, the big pharma front, from every major corporation and every major industry for this.
[00:26:18.329 --> 00:26:21.829]  And you're telling me that we can fix the elections and cheat on elections if we do this?
[00:26:21.990 --> 00:26:34.650]  And we can totally undermine the successes or policies of any administration, regardless of whether they're Democratic or Republican, by shutting down the engine that runs the world, the United States of America?
[00:26:34.849 --> 00:26:40.170]  What they are doing is 2.0, pandemic 2.0, plandemic 2.0.
[00:26:40.329 --> 00:26:59.809]  What they are doing is setting the stage to ensure that as soon as Donald Trump is inaugurated, within 24 hours, Or seven days, I think within 24 hours, they're going to try to escalate this crisis in the eyes of the people, in the minds of the people, so they can totally cripple anything that Donald Trump tries to accomplish.
[00:26:59.829 --> 00:27:02.150]  And I pray to God that he doesn't fall for it.
[00:27:02.930 --> 00:27:04.589]  I pray to God that he doesn't fall forward again.
[00:27:04.730 --> 00:27:09.190]  I pray to God that he refuses to shut down the economy.
[00:27:09.329 --> 00:27:20.410]  That he refuses to conduct an Operation Warp Speed 2.0 and fund the vaccine which they, for some reason, already have prepared for this virus, even though there's no human-to-human transmission of it.
[00:27:22.970 --> 00:27:25.269]  I pray to God that he knows better, and I think he does.
[00:27:26.049 --> 00:27:42.390]  I think with the likes of RFK Jr. and others in this administration, Coupled with the fact that we have something very close to freedom of speech on the internet again through X. It's very vulnerable, fragile, because it is based on the whim of a single man,
[00:27:42.630 --> 00:27:49.450]  Elon Musk, who owns 79% of X. I mean, God knows what's going to happen to the platform if he ever decides to retire or, God forbid, dies.
[00:27:52.789 --> 00:27:57.369]  We are one heartbeat away from having virtually no freedom of speech whatsoever on the internet.
[00:27:59.430 --> 00:28:06.410]  But because of this administration that's coming in, and you hear about Democrats and Republicans saying that they don't have enough votes for some of the nominees.
[00:28:07.529 --> 00:28:11.349]  They want to support Mike Johnson, but they don't have enough votes for some of these nominees.
[00:28:11.470 --> 00:28:12.230]  It's going to be real tight.
[00:28:12.769 --> 00:28:14.009]  Peg Seth, it's going to be real tight.
[00:28:15.130 --> 00:28:16.890]  Kash Patel, I'm sorry, it's going to be really tight.
