[00:00:59.-200 --> 00:00:03.799]  [MUSIC PLAYING]
[00:06:17.194 --> 00:06:20.975]  British PM has been in the meetings, says that they're actually at war with Russia.
[00:06:21.376 --> 00:06:23.436]  The public has not been told yet.
[00:06:25.117 --> 00:06:26.257]  That's all coming up.
[00:06:27.277 --> 00:06:35.440]  Let Ukraine freely strike Russia with Western arms deep inside Russia, says NATO chief Medvedev.
[00:06:35.780 --> 00:06:39.061]  Top Russian minister says that'll be the start of world war.
[00:06:40.741 --> 00:06:45.223]  Mandatory national service would get young people out of their bubble, says the BBC.
[00:06:47.421 --> 00:06:53.623]  Lawmakers want to automate selective service registration for military draft.
[00:06:55.543 --> 00:06:57.764]  America is actually preparing for war with China.
[00:06:59.924 --> 00:07:01.165]  Chinese nationals breach U.S.
[00:07:01.185 --> 00:07:02.925]  military bases at least 100 times.
[00:07:03.765 --> 00:07:04.666]  Pentagon reports.
[00:07:06.446 --> 00:07:08.867]  It goes on and on on that front.
[00:07:08.907 --> 00:07:10.287]  We'll be hitting that, obviously.
[00:07:11.267 --> 00:07:16.049]  Trump's speech at the Libertarian Convention that RFK didn't show up to to be nominated.
[00:07:16.428 --> 00:07:18.068]  Very bizarre.
[00:07:18.068 --> 00:07:24.228]   Did it virtually, like Biden says he's doing his convention, because RFK knew, and he admittedly
[00:07:24.228 --> 00:07:27.368]   paid a bunch of provocateurs to go in there and try to make Trump look foolish,
[00:07:27.368 --> 00:07:30.149]  but Trump knew he was walking into a lion's den.
[00:07:30.149 --> 00:07:32.068]  Did a fabulous job.
[00:07:32.068 --> 00:07:34.108]  He's not hiding in a basement like Biden.
[00:07:34.108 --> 00:07:40.308]   And RFK knew that he couldn't control that mob, so he didn't show up.
[00:07:40.308 --> 00:07:41.149]  Wow.
[00:07:41.149 --> 00:07:44.668]  That's a black mark on RFK Jr.
[00:07:44.945 --> 00:07:47.887]  The Democrats are announcing plans to pack the Supreme Court.
[00:07:48.027 --> 00:07:53.450]  That means adding a bunch of new positions to it, not making it 9 or making it 12 or 15 or 20.
[00:07:54.690 --> 00:08:08.557]  House Democrat leader Hakeem Jeffries threatens MAGA extremists on Supreme Court, warns Congress must get them under control, and they're continuing to go after Justice Alito's wife, who flew a flag upside down, saying she hates America.
[00:08:08.597 --> 00:08:10.018]  She said, no, America's in distress.
[00:08:10.378 --> 00:08:11.759]  That makes me like Alito.
[00:08:13.533 --> 00:08:15.716]  Even more, we'll be talking about that.
[00:08:15.896 --> 00:08:18.299]  Huge news on the open border front.
[00:08:18.739 --> 00:08:22.143]  40 Dem Mayors beg Joe Biden to create job programs for illegal aliens.
[00:08:23.064 --> 00:08:24.466]  In major cities across the U.S.
[00:08:24.486 --> 00:08:25.227]  the numbers are in.
[00:08:25.868 --> 00:08:28.511]  Over 90% of welfare going to illegal aliens.
[00:08:30.054 --> 00:08:32.536]  As veterans and citizens are kicked off.
[00:08:32.576 --> 00:08:34.457]  Boy, that's Cloward and Piven for you.
[00:08:35.158 --> 00:08:43.624]  A trans woman who identifies as trans went on a stabbing spree at two locations, stabbing little girls as well as women and men.
[00:08:43.984 --> 00:08:46.606]  The media then misgendered it and said a man did it.
[00:08:47.707 --> 00:08:48.788]  Isn't that convenient?
[00:08:48.808 --> 00:08:50.409]  We'll be getting to all of that.
[00:08:51.147 --> 00:08:54.428]  California testing car tracking as possible gas tax replacement.
[00:08:54.708 --> 00:08:57.029]  Now that all the magical chips are in all the cars by law.
[00:08:57.349 --> 00:08:58.389]  Told you that was always coming.
[00:08:58.429 --> 00:08:59.610]  You say, well, screw California.
[00:08:59.650 --> 00:09:01.630]  That means it's coming to Texas and everywhere else.
[00:09:02.151 --> 00:09:12.374]  Buttigieg went on national TV and said $7.5 billion that was earmarked to build tens of thousands of EV charging stations only built seven.
[00:09:13.514 --> 00:09:14.334]  First it was five.
[00:09:14.354 --> 00:09:15.715]  They said, no, actually we opened two more.
[00:09:16.355 --> 00:09:18.696]  So you're talking a couple hundred thousand dollars for seven.
[00:09:20.450 --> 00:09:30.077]  EV charging stations but so that means a billion dollars plus a billion dollars plus for each EV charging station.
[00:09:31.378 --> 00:09:40.024]  He also said the same interview that doors are falling off Boeing's not because of corruption and them not letting their inspectors do their jobs.
[00:09:40.664 --> 00:09:40.965]  No!
[00:09:41.545 --> 00:09:44.227]  Global warming is causing the planes to fall apart.
[00:09:45.328 --> 00:09:49.390]  And everybody's having heart attacks and strokes from global warming not from those loving shots.
[00:09:50.419 --> 00:09:51.800]  Also, I talked about this years ago.
[00:09:52.320 --> 00:09:58.022]  When they say they put fluoride in the water, they put hundreds and hundreds of chemicals, mainly toxic waste from China.
[00:09:58.443 --> 00:09:59.523]  They call it fluoride.
[00:09:59.783 --> 00:10:00.684]  Fluoride's one part of it.
[00:10:01.024 --> 00:10:02.885]  They put it in the water, then the water's toxic.
[00:10:03.225 --> 00:10:14.290]  Don't worry, the feds want to make you pay hundreds of billions of dollars total as taxpayers to upgrade water systems to filter out the forever chemicals they put in.
[00:10:15.953 --> 00:10:20.957]  That then bankrupts water systems and creates water scarcity, which they've been planning to do for decades.
[00:10:21.037 --> 00:10:21.978]  Now it's here.
[00:10:22.038 --> 00:10:29.944]  They're also officially hyping bird flu as the new pandemic and calling for shutdowns to come right before the election, right on time, as we predicted.
[00:10:30.004 --> 00:10:32.706]  Germany legalizes many forms of pedophilia.
[00:10:33.598 --> 00:10:44.830]  There's also multiple congressional hearings confirming the CIA developed COVID vaccine and COVID itself, and then only used Pfizer and Moderna as the front companies to put it out.
[00:10:45.271 --> 00:10:48.855]  It was the Rockefeller Foundation, Bill and Melinda Gates Foundation, with the CIA.
[00:10:48.875 --> 00:10:49.796]  It's in Congress.
[00:10:49.816 --> 00:10:52.439]  I have the congressional videos, reports, everything.
[00:10:53.445 --> 00:10:56.867]  And that the CIA developed it years before they even released COVID.
[00:10:56.887 --> 00:11:04.150]  Of course, Dr. Francis Boyle told you that in February of 2020 here on this show, but now it's mainstream news.
[00:11:04.611 --> 00:11:07.792]  Also, more CIA news in Congress.
[00:11:09.173 --> 00:11:12.234]  CIA's secret effort to seize control of social media.
[00:11:12.294 --> 00:11:14.996]  Big report up on InfoWars.com.
[00:11:15.476 --> 00:11:18.778]  Another headline, CIA involved in manufacturing COVID vaccines.
[00:11:18.818 --> 00:11:19.458]  Bombshell report.
[00:11:20.862 --> 00:11:24.524]  That's a powerful headline but it's not even as powerful as this.
[00:11:24.544 --> 00:11:36.691]  It's actually the CIA was involved from the beginning making it and then ordering the companies what they should produce and coming and telling Trump that they just developed it in a few days and they've been developing it as Fauci said for two decades.
[00:11:37.892 --> 00:11:44.176]  That's all coming up as well and so much more here today.
[00:11:45.680 --> 00:11:45.920]  Like?
[00:11:46.880 --> 00:11:52.542]  Oh, remember back during the 2020 election, the FBI and CIA said the Hunter Biden laptop was fake, even though it was confirmed to be real?
[00:11:53.202 --> 00:11:54.143]  They'd already admitted it was real?
[00:11:55.343 --> 00:12:02.625]  Well, now in federal court, the judge has okayed it to be used as evidence in his gun and tax cases.
[00:12:03.386 --> 00:12:04.606]  Isn't that interesting?
[00:12:05.959 --> 00:12:09.400]  Very, very important information on that front as well.
[00:12:10.000 --> 00:12:13.981]  And a very important statement by Steve Bannon, who is joining us on Tuesday's show.
[00:12:14.001 --> 00:12:16.962]  And by the way, I will be live tomorrow on Memorial Day.
[00:12:16.982 --> 00:12:18.682]  I appreciate the crew coming in for that.
[00:12:19.482 --> 00:12:23.523]  I'd love to be eating hamburgers and hanging out with my parents at a pool party, but they're having it tomorrow.
[00:12:23.563 --> 00:12:26.244]  But I'm going to be here instead because things are just too serious.
[00:12:27.790 --> 00:12:31.393]  The old folks and the children can play, but the men have got to fight, ladies and gentlemen.
[00:12:31.714 --> 00:12:36.018]  Bannon, conservative leaders lack the effing balls to stop cultural collapse in the West.
[00:12:36.078 --> 00:12:36.498]  That's true.
[00:12:36.839 --> 00:12:39.281]  People don't want to admit just how hardcore things are.
[00:12:39.321 --> 00:12:45.387]  It sounds too radical to admit we're in the middle of a takeover, so people won't admit how bad it is, so we can't mobilize to stop it.
[00:12:45.967 --> 00:12:49.871]  So the public knows the truth more and more and is ready to be rallied to stop it.
[00:12:50.771 --> 00:12:57.137]  So that's all coming up tonight in the next hour and 47 minutes we have left.
[00:12:57.217 --> 00:13:04.543]  And then Chase Geyser comes in doing Sunday Night Live, 6 to 8 p.m.
[00:13:05.244 --> 00:13:10.508]  And then of course, weekday mornings, American Journal, Harrison Smith, my show, 11 a.m.
[00:13:10.548 --> 00:13:16.794]  Central, The Alex Jones Show, 12 noon Eastern, and of course, Owen Schroyer and the War Room, 3 p.m.
[00:13:17.234 --> 00:13:17.575]  Central.
[00:13:18.876 --> 00:13:19.676]  Standard time.
[00:13:20.176 --> 00:13:20.457]  All right.
[00:13:21.237 --> 00:13:31.544]  I want to get into Trump and the speech, the Libertarian Convention that took place and the fireworks that came out of that over the weekend.
[00:13:31.564 --> 00:13:37.628]  Some of the amazingly important, powerful statements President Trump said that we'll be going over.
[00:13:37.688 --> 00:13:43.252]  But let me just slow down here for a minute and look right in the camera and talk to the viewers and listeners.
[00:13:44.593 --> 00:13:47.815]  I will keep InfoWars on the air if I have your support.
[00:13:49.065 --> 00:13:53.828]  And even if they shut down InfoWars, I will be back on the air very, very quickly.
[00:13:54.848 --> 00:14:01.372]  And in many ways, probably more effective, even though I don't want InfoWars to be shut down, because I've been tied down for two years with this bankruptcy.
[00:14:02.152 --> 00:14:16.580]  But on the 13th of June, or 14th of June, excuse me, the judge said last week in a conference hearing, he said, if the plaintiffs, the Democratic Party that runs all this, don't settle, he's not going to liquidate the company as they've asked him to do.
[00:14:16.620 --> 00:14:17.601]  He's going to give it back to me.
[00:14:19.261 --> 00:14:23.503]  That said, the state courts, and where we're based in Austin, might as well be D.C.
[00:14:23.543 --> 00:14:29.185]  or New York, they're going to swoop in here very, very quickly and try to put padlocks on the doors, and they've said that's their plan.
[00:14:29.666 --> 00:14:31.066]  We can probably hold them off for a while.
[00:14:31.246 --> 00:14:32.187]  Who knows what's going to happen?
[00:14:32.927 --> 00:14:33.387]  Pray about it.
[00:14:35.108 --> 00:14:38.509]  But if you order product now on InfoWarsStore.com, you will get it.
[00:14:39.390 --> 00:14:39.710]  Okay?
[00:14:40.590 --> 00:14:42.471]  And we ship within a day of you getting it.
[00:14:42.491 --> 00:14:46.353]  It'll be months and months, probably two, three months, until they're able to shut us down, even if they're able to.
[00:14:46.952 --> 00:14:48.113]  I'd say 50-50 right now.
[00:14:48.173 --> 00:14:50.615]  So it's important to support InfoWarsTore.com.
[00:14:50.675 --> 00:14:52.137]  Get a book, get a film, get a t-shirt.
[00:14:52.497 --> 00:14:53.878]  Get water filtration, air filtration.
[00:14:53.898 --> 00:14:56.000]  The best out there at the lowest prices.
[00:14:56.020 --> 00:14:56.541]  10% off right now.
[00:14:57.401 --> 00:15:01.205]  But regardless, support our outside sponsor.
[00:15:01.725 --> 00:15:03.567]  And man, I know this sponsor good.
[00:15:04.087 --> 00:15:06.950]  I've had a lot of great sponsors over the years, but I've never had one this good.
[00:15:08.791 --> 00:15:12.595]  I've never had one to be a little bit crude here that I swam out of the end of his dick.
[00:15:13.376 --> 00:15:15.137]  But it's my dad, okay?
[00:15:16.477 --> 00:15:17.297]  It's a little joke.
[00:15:17.697 --> 00:15:26.120]  Anytime my older kids are in my face or pissed off at me, which we get along really well, but I didn't make the joke till Rex was 18 and Charlotte was 18.
[00:15:26.220 --> 00:15:28.621]  She's 20, he's 21, probably 22.
[00:15:28.901 --> 00:15:32.743]  Anytime they get in my face by something, I'll say, don't forget what you swam out of the end of.
[00:15:32.763 --> 00:15:35.623]  All right, a little bit of crass Alex Jones humor.
[00:15:36.144 --> 00:15:37.224]  I never heard anybody make that joke.
[00:15:37.244 --> 00:15:39.185]  I think I invented it, but it's funny, isn't it?
[00:15:40.365 --> 00:15:42.846]  My dad, two years ago, thought we'd be shut down.
[00:15:45.151 --> 00:15:52.380]  And in the bankruptcy, they already started saying, oh, all these products he developed with InfoWars Life and all the great things he did, they weren't going to sell them anymore.
[00:15:52.400 --> 00:15:55.825]  They basically phased them out, even though that was what was funding the operation.
[00:15:56.866 --> 00:15:58.668]  So my dad said, I'm going to get in a warehouse.
[00:15:58.808 --> 00:15:59.990]  I'm continuing to make the products.
[00:16:00.611 --> 00:16:03.855]  They'll be available at a site you already had years ago, drjonesnaturals.com.
[00:16:05.205 --> 00:16:22.174]  And so, regardless of where we go in the future, it's critical for you to go to my sponsor, my dad, a great guy, with his warehouse in North Austin, or Georgetown, it's actually in Round Rock, North Austin, and to get amazing products at drjonesnaturals.com.
[00:16:24.375 --> 00:16:27.237]  They ship within a day of your order coming in, unless you order on Sunday.
[00:16:28.868 --> 00:16:50.028]  They've got all the great products like the Super Organic Multivitamin and the Fiber Greens and the Iodine and the Nano Silver Toothpaste and the Wound Gel and the Immune Gargle and the Rocket Rest and the Top Brain and the Cobra Chill and the Turmeric Toothpaste and the Tooth Whitening with no Fluoride and all the essential oils.
[00:16:50.529 --> 00:16:53.312]  It's all there at drjonesnaturals.com.
[00:16:54.483 --> 00:16:58.184]  And my dad will be a sponsor, whatever happens to InfoWars.
[00:16:58.625 --> 00:17:00.425]  That is something separate from this operation.
[00:17:00.845 --> 00:17:20.853]  So it's great products, you should get anyways, but if you support us and you like what we're doing and you want to keep us on the air and be in the center of the fight, when the globalists and the Democrats and the CIA and the deep state, above all, want us off the air, well, ladies and gentlemen, then you should support our sponsor, DRJonesNaturals.com.
[00:17:21.313 --> 00:17:22.774]  DrJonesNaturals.com.
[00:17:24.750 --> 00:17:28.072]  Up to 40% off right now, a whole bunch of products.
[00:17:28.092 --> 00:17:31.794]  12 products have been sold out for a long time because InfoWars stopped selling them.
[00:17:32.294 --> 00:17:35.616]  My dad took every bit of money he had and he went and did a limited run of those 12 products.
[00:17:36.296 --> 00:17:47.221]  2,000 Fizzy Magnesiums, 2,000 Super Mel Vitality, just 2,000 of each to try to then take the money from that and put it all into a larger ordering at 4,000 or 5,000 bottles of each.
[00:17:49.531 --> 00:17:53.832]  To then be able to supply everybody and get you the products you want, the products you love.
[00:17:53.952 --> 00:17:59.153]  Because my dad owns and controls all the products that are sold at InfoWars.
[00:17:59.213 --> 00:17:59.893]  All the supplements.
[00:18:00.233 --> 00:18:02.154]  He just has been letting, they've been selling them here.
[00:18:02.914 --> 00:18:04.234]  And you notice more and more they're not available.
[00:18:04.914 --> 00:18:08.495]  Whatever reason the decision was made not to re-empt those, not to have those, not to get some of those.
[00:18:08.995 --> 00:18:11.656]  But they're available at drjonesnaturals.com.
[00:18:11.676 --> 00:18:13.976]  Because for two years I've had a CRO in here.
[00:18:14.016 --> 00:18:15.997]  I've had appointed by the court other people.
[00:18:16.636 --> 00:18:20.918]  And all it was was a big by the court, not the judge himself, but by the system.
[00:18:21.518 --> 00:18:25.679]  And the Judge Department got involved and they said, well, you saw the headlines, we're going to put Jones in jail.
[00:18:26.840 --> 00:18:28.460]  We're going to find the hundreds of millions hidden.
[00:18:28.480 --> 00:18:30.041]  We're going to find the money laundering.
[00:18:30.181 --> 00:18:31.442]  Everything I said was true.
[00:18:31.602 --> 00:18:33.222]  Everything I said was documented.
[00:18:33.282 --> 00:18:34.743]  Nothing the left said was true.
[00:18:35.203 --> 00:18:36.003]  Just like with Trump.
[00:18:36.924 --> 00:18:43.663]   And because I mean, I'm like, quite frankly, it's I'm like, The Sheriff of Mayberry or something.
[00:18:43.704 --> 00:18:44.704]  That's how I live my life.
[00:18:44.804 --> 00:18:45.624]  I'm a straight shooter.
[00:18:46.285 --> 00:18:47.065]  Right down the middle.
[00:18:47.085 --> 00:18:48.125]  That's just how I've always been.
[00:18:48.145 --> 00:18:49.086]  It's how my family is.
[00:18:49.426 --> 00:18:51.007]  And they are so frustrated.
[00:18:51.387 --> 00:18:52.627]  And they're so pissed.
[00:18:53.608 --> 00:18:58.090]  That they have... And I'm knocking on wood here because they'll try to frame me.
[00:18:58.510 --> 00:18:59.910]  Have not been able to do that.
[00:19:00.010 --> 00:19:01.191]  So now they just want to shut down.
[00:19:01.731 --> 00:19:03.312]  And they've said in the news, we don't want money.
[00:19:03.352 --> 00:19:04.012]  We don't want to settle.
[00:19:04.572 --> 00:19:06.113]  We just want to shut Alex Jones down.
[00:19:06.473 --> 00:19:08.574]  But then separately they go, he won't pay us our money.
[00:19:10.731 --> 00:19:11.852]  You see both those headlines.
[00:19:11.952 --> 00:19:12.852]  They don't make sense, do they?
[00:19:12.892 --> 00:19:24.480]  So, it is critical to go to drjonesnaturals.com, drjonesnaturals.com if they shut down InfoWars and you want to see this show come back quickly.
[00:19:25.801 --> 00:19:35.428]  That's how it works because as long as I work for somebody else, it won't be Alex Jones owns the company anymore, whatever's going to be set up, they can't stop us.
[00:19:36.502 --> 00:19:41.285]  Okay, so I don't have any intention of letting them silence me during this election.
[00:19:41.785 --> 00:19:46.888]  And plus, they'll be literally, I could do 10 interviews a day if I wanted to, on the biggest shows there are.
[00:19:48.469 --> 00:19:58.994]  In that interim, while we're finding a new operation and somebody else that we can work under, if they're successful, I will be doing interviews every few hours.
[00:19:59.775 --> 00:20:06.830]   So, if their goal was to put me on the bench, if their goal was to silence me, I'm not just going to not go down without a fight.
[00:20:06.970 --> 00:20:07.751]  I'm going to win.
[00:20:07.971 --> 00:20:09.493]  But I need your backing.
[00:20:09.533 --> 00:20:10.494]  We can do this together.
[00:20:10.554 --> 00:20:13.617]  So mark it down in your heads, drjonesnaturals.com.
[00:20:14.738 --> 00:20:17.742]  And they may come to their senses and figure that out and settle with us.
[00:20:17.782 --> 00:20:18.643]  And that's what I want.
[00:20:18.703 --> 00:20:19.924]  Stay here in Austin and do that.
[00:20:20.324 --> 00:20:21.326]  People say, why do you live in Austin?
[00:20:21.366 --> 00:20:22.367]  It's a communist hellhole.
[00:20:22.507 --> 00:20:23.268]  It's a beautiful town.
[00:20:24.068 --> 00:20:26.131]  Well, I mean, I had a family living here when it was Waterloo.
[00:20:27.409 --> 00:20:33.651]  And on both sides of my parents' family, I never make a big deal about it, but literally the founders of Texas involved in all the major battles.
[00:20:34.231 --> 00:20:36.652]  Raised Colonel Travis's son on my mom's side of the family.
[00:20:37.672 --> 00:20:39.432]  Been here eight, nine generations.
[00:20:39.493 --> 00:20:41.313]  My children are ninth generation Texans.
[00:20:42.253 --> 00:20:44.934]  We've been here since the 1820s on my mom's side.
[00:20:45.954 --> 00:20:48.395]  Early 1820s, Baptist missionaries.
[00:20:49.815 --> 00:20:51.196]  We're wealthy from New York.
[00:20:52.521 --> 00:20:55.142]  And, uh, there was a big fight with the Catholics and all the rest of it.
[00:20:55.162 --> 00:21:00.085]  And they would ship in, ship loads of Bibles and have big shootouts in Galveston and Washington on the Brazos.
[00:21:00.325 --> 00:21:05.388]  My ancestors wrote the original documents and the whole nine yards.
[00:21:05.448 --> 00:21:06.768]  So people ask, why are you in Austin?
[00:21:07.989 --> 00:21:17.154]  Kind of still feel like it's home because my family's been here, here in Austin and in East Texas and in Gonzales for nine generations.
[00:21:18.815 --> 00:21:19.195]  Nine.
[00:21:20.536 --> 00:21:23.738]  You can't find really anybody from both sides.
[00:21:24.598 --> 00:21:25.478]  People are into Texas.
[00:21:25.579 --> 00:21:26.159]  I love Texas.
[00:21:26.199 --> 00:21:34.883]  I don't measure myself off of ancestors, but I do kind of, let's say this, I don't think of myself as powerful because of ancestors.
[00:21:34.983 --> 00:21:36.864]  I measure myself by my ancestors.
[00:21:37.485 --> 00:21:47.664]   So I actually do measure myself by ancestors, but I don't take what they did as my laurels I think about how would they feel about me today, am I measuring up?
[00:21:47.824 --> 00:21:55.911]  So, that's why I live in Austin, and I watched it become the new Los Angeles, and obviously if we set up something new, we have to, it will not be here.
[00:21:56.471 --> 00:22:00.074]  But I've not begun that, I've not started that, I just know there's a lot of opportunity.
[00:22:01.396 --> 00:22:04.598]  And so, they can't keep us down if you support us.
[00:22:04.658 --> 00:22:07.200]  So, follow me at RealAlexJones on X.
[00:22:09.568 --> 00:22:10.408]  I got a rumble-chamble.
[00:22:10.428 --> 00:22:11.549]  We don't promote enough.
[00:22:11.569 --> 00:22:12.889]  I'm going to start promoting that a lot more.
[00:22:13.990 --> 00:22:21.112]  And I'm going to work until the last minute they shut this place down, if they're able to do it, to keep us on air.
[00:22:21.232 --> 00:22:23.893]  But I just need you to go to drjonesnaturals.com.
[00:22:24.153 --> 00:22:26.474]  Next Level Foundational Energy is an incredible product.
[00:22:27.895 --> 00:22:30.376]  All the products there are really amazing.
[00:22:30.436 --> 00:22:30.876]  Go there.
