[00:00:00.229 --> 00:00:01.449]  The headlines everywhere.
[00:04:16.459 --> 00:04:22.910]  Now this particular chemical that's in over 80% of Americans bloodstream, men, women, children, old, young.
[00:04:24.281 --> 00:04:37.351]  goes in and makes the oat plant and other plants grow faster but stunted and shorter and produce more of what they're trying to extract the seeds or the oats or the wheat.
[00:04:38.091 --> 00:04:59.486]   In the case of glyphosate that's where you see starting in the late 1990s as soon as it was approved The explosion of people being intolerant to wheat and the huge explosion in restaurants and in grocery stores and in food production saying that things are gluten-free.
[00:05:00.047 --> 00:05:02.049]  It isn't that people are allergic to gluten.
[00:05:02.610 --> 00:05:15.109]   Starting in 1998, the federal government approved Spring glyphosate when the crops came in because a lot of times they would get fungus and it would destroy the wheat or the other crops.
[00:05:15.429 --> 00:05:21.453]  So they said, hey, when the wheat is basically two weeks from harvesting, you can spray glyphosate on it.
[00:05:21.953 --> 00:05:24.575]  The problem is the glyphosate is still in the plant.
[00:05:25.134 --> 00:05:31.675]   It's bad enough to spray glyphosate on soybean fields or corn fields when the corn is first coming up
[00:05:31.675 --> 00:05:33.274]  to kill any weeds around it.
[00:05:33.274 --> 00:05:37.675]   Then it just runs into the water table, and we drink it through the water supply.
[00:05:37.675 --> 00:05:39.153]  That was devastating enough.
[00:05:39.153 --> 00:05:44.954]   But when they started in the late 1990s, spraying it on crops right before harvest,
[00:05:44.954 --> 00:05:46.795]  we see the devastation.
[00:05:46.795 --> 00:05:51.194]   The corporate media, just like the cigarette makers back in the '80s and '90s, say, oh, there's
[00:05:51.194 --> 00:05:55.074]   no connection to tobacco and cancer, and covered up the real science.
[00:05:55.013 --> 00:05:55.813]  It's the same thing here.
[00:05:56.214 --> 00:06:01.015]  It's known what these things are doing, just like the experimental COVID shots.
[00:06:01.456 --> 00:06:09.659]  They'd secretly already experimented on mice and rats and other rodents, and they knew it was causing blood clots, myocarditis, heart attacks, strokes.
[00:06:10.099 --> 00:06:15.701]  That's why the FDA document in October 2000 predicted all the things that later happened.
[00:06:16.201 --> 00:06:24.806]  So what they're doing is hitting us with so many poisons, so many toxins, they believe we'll be overwhelmed and won't know what it was that made us sick.
[00:06:25.227 --> 00:06:41.377]  I've got a list of some of the things they're doing right now, but as I already mentioned, they're demonizing organic farming that doesn't use herbicides or pesticides and saying, oh, it produces more carbon dioxide, let's ban it and have everything be chemical laden.
[00:06:42.742 --> 00:06:55.935]  Basically big pharma run, not just big agro run, farming while they shut down the organic and independent farmers in Ireland and Sri Lanka and the Netherlands and cut fertilizer production worldwide.
[00:06:56.376 --> 00:07:05.324]  This is literally crashing the natural healthy food supply of the planet and then bringing in the WEF, Bill Gates, you will eat the bugs agenda.
[00:07:06.065 --> 00:07:15.608]  CNN and WF are even promoting cutting down trees because trees produce carbon dioxide, which again they claim is toxic.
[00:07:15.868 --> 00:07:23.090]  But all of these truly deadly herbicides and pesticides that bend our genders, they're saying are totally fine and are okay.
[00:07:23.570 --> 00:07:25.251]  People ask me all the time, when did this start?
[00:07:26.257 --> 00:07:48.486]  Well, it really got bad after World War II in 1945, when the federal government said, we're going to take all of this hydrofluorosilicic acid that's a byproduct of aluminum purification for World War II airplane manufacturing, and instead of having to pay to store it, we're going to dump it in the water supply and claim it's to make our teeth stronger.
[00:07:48.926 --> 00:07:54.949]  Now, it's true that calcium fluoride in small amounts is essential, and calcium fluoride does make your teeth stronger.
[00:07:55.729 --> 00:08:06.487]  But calcium fluoride is totally different than hydrofluorosilic acid that is a super concentrate acid form of fluoride.
[00:08:07.389 --> 00:08:10.191]  And you look at the studies, lowered fertility, lowered IQ.
[00:08:10.552 --> 00:08:11.653]  They know all of this.
[00:08:12.133 --> 00:08:19.439]  And when real scientists and heads of major universities, biology departments go public, they are simply silenced, ladies and gentlemen.
[00:08:19.720 --> 00:08:25.444]  So they're telling us carbon dioxide that plants breathe and then put off oxygen is bad, but fluoride is good.
[00:08:25.865 --> 00:08:26.966]  BPA is good.
[00:08:27.406 --> 00:08:28.507]  Glyphosate is good.
[00:08:28.927 --> 00:08:41.702]   And now this latest big news that almost all the Cheerios you eat Or Quaker Oats that you're told are so incredibly healthy for you just so happen to block fertility and bend gender.
[00:08:42.203 --> 00:08:44.947]  They made a big joke about this as you know 15 years ago.
[00:08:45.287 --> 00:08:49.333]  I was reading major scientific reports about chemicals in the food.
[00:08:50.293 --> 00:08:54.599]  And in the water running off and bidding the genders of frogs, humans, you name it.
[00:08:54.940 --> 00:09:00.547]  And they simply took a short clip out and said, Oh, I don't like them putting chemicals in the water that make the freaking frogs gay.
[00:09:01.108 --> 00:09:02.029]  It's way beyond that.
[00:09:02.410 --> 00:09:05.875]  It makes the humans and the frogs sterile.
[00:09:06.255 --> 00:09:11.356]  This is all about depopulation and this is a plan and it affects everyone.
[00:09:11.736 --> 00:09:16.698]  The globalists are carrying out mass sterilization in front of all of us.
[00:09:17.018 --> 00:09:22.839]  But the good news is the science continues to come out and people don't trust the system anymore.
[00:09:23.099 --> 00:09:24.880]  So there's a great awakening happening.
[00:09:25.220 --> 00:09:42.566]   We have incredibly clean systems to grow food, So in closing, carbon dioxide is bad that plants breathe.
[00:09:43.246 --> 00:09:44.467]  Organic farming is bad.
[00:09:45.287 --> 00:09:46.087]  Trees are bad.
[00:09:46.907 --> 00:09:47.768]  Carbon is bad.
[00:09:48.128 --> 00:09:49.628]  We are carbon-based life forms.
[00:09:51.389 --> 00:09:55.030]  What we put off, cow farts, you name it, helps create the atmosphere.
[00:09:55.111 --> 00:09:58.552]  It's part of what allows this planet to continue on.
[00:09:59.335 --> 00:10:02.598]  And the globalists claim that they're the guardians of the environment.
[00:10:02.618 --> 00:10:06.322]  They're the people that are protecting you from all these terrible things by running your life.
[00:10:06.582 --> 00:10:10.466]  But they're the ones involved in the genetic engineering, the human-animal hybrids.
[00:10:10.766 --> 00:10:13.849]  They're the ones involved with all the different leaking nuclear reactors.
[00:10:14.209 --> 00:10:17.753]  They're the ones, nine times out of ten, that are killing the Earth.
[00:10:18.133 --> 00:10:22.457]  But it's okay because they are self-appointed guardians of the planet.
[00:10:23.038 --> 00:10:29.000]  Well, they're a bunch of crazy, mad scientists, transhumanists that could care less about the planet in their own words.
[00:10:29.540 --> 00:10:32.361]  Please do your own research, because this affects every man, woman, and child.
[00:10:32.641 --> 00:10:33.622]  It transcends race.
[00:10:33.922 --> 00:10:36.243]  It transcends where you live, and it affects us all.
[00:10:37.063 --> 00:10:42.645]  Believe me, if you'll just start to research this, you'll find out I've only scratched the surface, and this rabbit hole goes extremely deep.
[00:10:42.965 --> 00:10:44.766]  The good news is, the Great Awakening's happening.
[00:10:45.066 --> 00:10:48.207]  Now it's up to you to research this, and then share this video with everyone you know.
[00:10:51.024 --> 00:10:56.225]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:10:56.686 --> 00:11:01.007]  Visit InfoWars.com forward slash show and share the link today.
[00:11:01.707 --> 00:11:02.647]  Hello Americans.
[00:11:03.428 --> 00:11:05.028]  I want to share with you a story.
[00:11:05.688 --> 00:11:11.930]  A story about inflammation, the silent menace that lurks within our bodies, affecting our health and well-being.
[00:11:13.010 --> 00:11:18.812]  Inflammation, the root cause of countless ailments, quietly wreaking havoc over time.
[00:11:19.867 --> 00:11:23.952]  Long-term exposure to inflammation has been linked to a myriad of health issues.
[00:11:24.412 --> 00:11:27.575]  From heart disease to arthritis, even cognitive decline.
[00:11:28.577 --> 00:11:32.581]  But fear not, for there's a beacon of hope found in the wisdom of nature.
[00:11:33.262 --> 00:11:36.165]  A remedy that has stood the test of time, turmeric.
[00:11:36.929 --> 00:11:50.238]  And now I present to you Baudis from InfoWarsStore.com, a powerful blend crafted with precision, boasting 95% curcuminoids extracted from turmeric.
[00:11:50.338 --> 00:11:52.340]  It's good for your heart, your brain, everything.
[00:11:52.480 --> 00:11:55.322]  It is 40% off, back in stock.
[00:11:55.422 --> 00:11:57.463]  Baudis Ultimate Turmeric Formula.
[00:11:58.004 --> 00:12:00.025]  InfoWarsStore.com.
