[00:00:07.543 --> 00:00:08.624]  ...government cover-ups.
[00:07:14.014 --> 00:07:18.777]  Ethos FR is easy to use, and works with any kind of fuel, including gasoline, diesel, and ethanol!
[00:07:18.958 --> 00:07:26.303]  Ethos FR works by reformulating the gas in your tank to burn more completely, resulting in a cleaner engine, better mileage, more power, and fewer emissions!
[00:07:26.563 --> 00:07:29.526]  So visit ctsafegas.com and start saving today!
[00:07:29.646 --> 00:07:31.367]  That's ctsafegas.com!
[00:07:32.961 --> 00:07:35.443]  Are your Federal Reserve notes looking for a safe haven?
[00:07:35.903 --> 00:07:37.844]  Mine found it in precious metals.
[00:07:38.544 --> 00:07:41.726]  Not paper promises, but actual gold in my possession.
[00:07:42.387 --> 00:07:48.890]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[00:07:49.671 --> 00:07:51.872]  Find your answer at Midas Resources.
[00:07:52.272 --> 00:07:52.713]  That's 1-800-686-2237.
[00:07:52.793 --> 00:07:54.194]  The answer is at 1-800-686-2237.
[00:08:03.610 --> 00:08:09.654]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:10.294 --> 00:08:13.336]  It's Alex Jones and the GCN Radio Network.
[00:08:17.179 --> 00:08:28.926]  Alright, again, it is October 17th on this Tuesday, 2006.
[00:08:31.087 --> 00:08:32.368]  I'm Alex Jones, your host.
[00:08:32.488 --> 00:08:38.912]  I was thinking this morning, getting ready for the broadcast, that all of this stuff's really happening.
[00:08:38.952 --> 00:08:40.713]  They've shut up the North American Union.
[00:08:40.753 --> 00:08:43.175]  They're having official governmental meetings in secret.
[00:08:43.595 --> 00:08:51.080]  It even comes out in the mainstream press that our new North American government is meeting in secret because we're not allowed to know.
[00:08:51.640 --> 00:08:55.723]  They're making agreements on toll roads, the taxes for the North American Union in secret.
[00:08:56.724 --> 00:08:59.085]  That's now even in the news here locally in Austin.
[00:08:59.105 --> 00:09:00.326]  The grid is going in.
[00:09:01.400 --> 00:09:07.787]  I saw him putting up more cameras and more face scanning, license plate scanning cameras about 200 yards from my house this morning.
[00:09:08.368 --> 00:09:15.556]  Wanted to go home and get a video camera and pull up and videotape the inside guts of the control terminals because the technician had it open.
[00:09:17.404 --> 00:09:22.105]  The cameras are going on and the microphones are standard on all the new computers.
[00:09:22.165 --> 00:09:23.666]  I was computer shopping this weekend.
[00:09:24.266 --> 00:09:25.166]  Everything has it now.
[00:09:25.486 --> 00:09:27.247]  Built-in cameras, built-in microphones.
[00:09:27.467 --> 00:09:33.708]  They're openly announcing the government and Google and everybody else is going to just listen to you and watch you in your home without asking.
[00:09:33.908 --> 00:09:35.148]  They just calmly announce it.
[00:09:35.188 --> 00:09:35.989]  It's no big deal.
[00:09:36.009 --> 00:09:41.010]  Alright, I'm already starting to rant.
[00:09:42.310 --> 00:09:45.191]  Web could be training camp, Chertoff says.
[00:09:45.211 --> 00:09:46.011]  This is in Reuters.
[00:09:47.259 --> 00:09:56.826]  Disaffected people living in the United States may develop radical ideologies, can't have that, and potentially violent skills over the internet that could present the next major U.S.
[00:09:56.846 --> 00:09:58.247]  security threat, U.S.
[00:09:58.267 --> 00:10:02.030]  Homeland Security Secretary Michael Chertoff said yesterday.
[00:10:02.050 --> 00:10:04.472]  Now, now, now, just think about that statement.
[00:10:04.492 --> 00:10:07.134]  He was speaking to a group.
[00:10:07.254 --> 00:10:08.234]  Think about that statement.
[00:10:09.836 --> 00:10:14.339]  The web could potentially teach people
[00:10:15.487 --> 00:10:18.628]  How to be dangerous or radicalize them.
[00:10:20.248 --> 00:10:21.768]  See, it could potentially.
[00:10:22.168 --> 00:10:24.529]  It's posing the new terror threat.
[00:10:25.669 --> 00:10:28.010]  And you're actually the terrorist, Mr. Chertoff.
[00:10:28.030 --> 00:10:33.631]  The people you work for carried out 9-11 and many other declassified terror attacks that are not debated.
[00:10:34.431 --> 00:10:41.632]  And you are busy robbing the Treasuries, robbing the Defense Department Treasury and pension funds publicly.
[00:10:41.652 --> 00:10:42.913]  Again, Associated Press.
[00:10:42.953 --> 00:10:43.693]  Trillions missing.
[00:10:43.733 --> 00:10:44.573]  Almost 4 trillion.
[00:10:45.496 --> 00:11:02.108]  You are busy butchering the entire country, and so of course terrorist criminals are going to set up a new secret police Gestapo to try to make sure that the good people of this country can't stop them, and of course they're going to call radical ideologies, ooh, a new threat!
[00:11:02.408 --> 00:11:04.350]  Oh, there's going to be a new threat emerging!
[00:11:04.830 --> 00:11:09.153]  It's called the American people getting wise to you, you little pinheaded crook!
[00:11:11.975 --> 00:11:13.176]  You slimebag lizard!
[00:11:16.116 --> 00:11:19.538]  Web could be terror training camp, Chertoff says.
[00:11:20.098 --> 00:11:25.381]  Disaffected people living in the United States may develop radical ideologies and potentially violent skills.
[00:11:25.781 --> 00:11:28.883]  See now, violent skills like learning how to shoot guns, that's evil too.
[00:11:30.344 --> 00:11:33.906]  We now have a capability of someone to radicalize themselves over the internet.
[00:11:34.306 --> 00:11:35.566]  Oh, they can get radicalized!
[00:11:35.807 --> 00:11:41.870]  Can't allow that, Chertoff said on the sidelines of a meeting of international associations of the chiefs of police.
[00:11:42.699 --> 00:11:44.520]  They can train themselves over the internet.
[00:11:44.900 --> 00:11:48.362]  They never have to necessarily go to a training camp or speak with anybody else.
[00:11:48.843 --> 00:11:56.507]  And that diffusion of a combination of hatred and technical skills and things like bomb making is a dangerous combination, Chertoff said.
[00:11:56.527 --> 00:12:01.770]  Those are the kind of terrorists that we may not be able to detect with spies and satellites.
[00:12:01.950 --> 00:12:03.051]  Oh yes, spies.
[00:12:03.932 --> 00:12:09.897]  All the spies that you really have out trying to provocateur idiots into blowing stuff up or shooting people.
[00:12:10.137 --> 00:12:13.861]  And when you can't, your spies just go ahead and do it most of the time themselves.
[00:12:13.921 --> 00:12:14.401]  Don't they?
[00:12:14.701 --> 00:12:15.922]  Don't they, demon boy?
[00:12:17.704 --> 00:12:20.466]  Chertoff, who in Russian literally translates... I thought it was an urban legend.
[00:12:20.486 --> 00:12:22.608]  I went and looked it up in a German dictionary.
[00:12:22.628 --> 00:12:24.089]  I mean, excuse me, Russian...
[00:12:25.563 --> 00:12:26.063]  I don't know.
[00:12:49.549 --> 00:13:08.083]  We've just had former top commandos from the British military on, the heads of IRA operations, telling you that British MI6 and MI5 and Army commandos ran the IRA and literally went out and ordered their underlings to carry out attacks and when they refused, they would kill them or kneecap them.
[00:13:08.883 --> 00:13:16.526]  And that over 70% of all terror attacks in the last 30 years in England and in Ireland have been purely carried out by British intelligence.
[00:13:16.826 --> 00:13:18.527]  It's all over major British news.
[00:13:18.827 --> 00:13:20.468]  It's a public secret!
[00:13:21.468 --> 00:13:23.569]  You are the killers and the terrorists!
[00:13:23.849 --> 00:13:25.390]  You need to be arrested, scum!
[00:13:25.410 --> 00:13:30.512]  And if you don't mind me getting fired up and upset, I'm sorry, people.
[00:13:30.912 --> 00:13:33.353]  I mean, we literally have terrorists running our government.
[00:13:33.815 --> 00:13:35.716]  And I'm letting it hit me square in the eye.
[00:13:36.076 --> 00:13:37.737]  I am consciously realizing it.
[00:13:38.217 --> 00:13:42.679]  Just like I recognize the beauty of this world and I have wonderment.
[00:13:44.500 --> 00:13:46.241]  Again, I'm not just tuned into this evil.
[00:13:46.281 --> 00:13:48.162]  I'm also tuned into the good stuff in this world.
[00:13:48.602 --> 00:13:50.543]  But here on this broadcast, we fight evil.
[00:13:51.043 --> 00:13:53.484]  And I'm tuned into how real this is.
[00:13:54.064 --> 00:13:55.785]  How wicked these people are.
[00:13:56.165 --> 00:14:00.007]  And how much danger we're all in while these terrorists are in control.
[00:14:00.965 --> 00:14:06.048]  And it takes desperate measures for desperate times to come right out with who they are!
[00:14:08.689 --> 00:14:09.609]  None of you are safe.
[00:14:09.709 --> 00:14:14.932]  Police, firemen, government workers, CIA, FBI, generals, all of you that serve this system.
[00:14:15.112 --> 00:14:17.713]  That's why a lot of you are waking up and going public, and I commend you.
[00:14:21.655 --> 00:14:24.196]  Chertoff pointed to the July 7th attacks in London.
[00:14:24.256 --> 00:14:25.457]  Give me a break, you terrorist.
[00:14:26.132 --> 00:14:36.896]  To help gather intelligence on possible homegrown attackers, Turkoff said Homeland Security would apply 20 field agents this fiscal year into intelligence fusion centers where they would work with local police agencies.
[00:14:36.976 --> 00:14:38.737]  It's more like tens of thousands.
[00:14:39.717 --> 00:14:43.839]  And these fusion centers were the FEMA emergency centers put in in 1999.
[00:14:44.899 --> 00:14:48.561]  By the end of the next fiscal year, he said the department aims to have 35 staffers.
[00:14:50.681 --> 00:14:51.762]  That's a lot more than that.
[00:14:54.821 --> 00:15:08.389]  By the way, CENTCOM openly has announced they have hundreds and hundreds of troops, and we already knew this, on the blogs, on the internet, lying and posting and quote, fighting the radicals that are against the war.
[00:15:08.709 --> 00:15:18.215]  He actually says that there are these radical bloggers that are hurting the war effort, and so the General of CENTCOM, I have his press release,
[00:15:19.896 --> 00:15:20.677]  Openly now!
[00:15:20.777 --> 00:15:21.778]  It's just... Yes!
[00:15:22.178 --> 00:15:28.083]  Yes, the Army is fighting the evil people lying on the blobs inside the U.S.
[00:15:28.123 --> 00:15:29.544]  That's totally criminal.
[00:15:30.124 --> 00:15:32.286]  The Congress has said it's totally illegal.
[00:15:32.546 --> 00:15:40.972]  Repeatedly, Governmental Accounting Office, GAO, Governmental Standards Offices, it's all... it's illegal.
[00:15:41.013 --> 00:15:46.617]  It violates a whole plethora, a string of laws, and here they are just openly throwing down the gauntlet going,
[00:15:48.533 --> 00:15:56.180]  ChimpCom is out engaging on the blogs, and they got fake blogs, and they're on the blogs, and you can tell it's the same guys.
[00:15:56.460 --> 00:16:03.786]  You can go to hundreds of sites that have TerrorStorm posted on it, the message boards, and it's the same thing shared, cut and paste, everywhere, attacking me.
[00:16:04.547 --> 00:16:07.810]  And it's un-American, Nazi traitors!
[00:16:08.090 --> 00:16:10.792]  I mean, these people are literal blackshirts, folks.
[00:16:11.213 --> 00:16:13.275]  Literal SS scum!
[00:16:14.207 --> 00:16:14.768]  I think so.
[00:16:30.842 --> 00:16:31.282]  Stinkers.
[00:16:31.342 --> 00:16:32.363]  They've got the stinkers.
[00:16:32.583 --> 00:16:35.446]  And so it's so stupid what they write.
[00:16:35.746 --> 00:16:38.068]  And everyone catches them cutting and pasting.
[00:16:38.368 --> 00:16:40.770]  And everyone already pointed out they're a bunch of feds.
[00:16:41.070 --> 00:16:47.615]  I mean, our military folks isn't supposed to be running around on the web posing and posting and lying and doing all of this.
[00:16:48.888 --> 00:16:49.548]  But they're doing it.
[00:16:50.329 --> 00:16:55.071]  Domestic propaganda no longer hidden in your face.
[00:16:55.411 --> 00:16:56.712]  And you know why they're having to do it?
[00:16:56.992 --> 00:16:58.913]  Because we're exposing these terrorists.
[00:16:59.373 --> 00:17:08.817]  And let me tell you, when somebody goes in there in our military and posts propaganda in newspapers and writes fake letters to the editor and attacks people like mine, I see these bastards all over the web.
[00:17:09.038 --> 00:17:10.238]  They're saying I should be killed.
[00:17:10.438 --> 00:17:10.958]  Go read it.
[00:17:11.058 --> 00:17:12.019]  Go to the message boards.
[00:17:12.339 --> 00:17:18.641]  They're saying, I need to go to prison, just like O'Reilly said, Fetzer needs to be grabbed and arrested before Limbaugh attacked me.
[00:17:18.661 --> 00:17:27.264]  He said these fake liberals need to be, this media, he said they need to be basic, when I say liberal, I say fake liberal.
[00:17:27.284 --> 00:17:32.906]  He said these liberal blogs and this new media, they need to be arrested as traitors!
[00:17:33.486 --> 00:17:34.907]  See, that's a talking point now.
[00:17:36.027 --> 00:17:37.587]  Good, show us who you are.
[00:17:37.667 --> 00:17:39.208]  Good, go ahead and arrest me.
[00:17:39.838 --> 00:17:41.139]  Go ahead, you bastards.
[00:17:41.179 --> 00:17:42.779]  Go ahead and grease me out on the street.
[00:17:43.139 --> 00:17:44.700]  That'll water the tree of liberty.
[00:17:44.780 --> 00:17:46.761]  All I care about is taking you down.
[00:17:46.781 --> 00:17:49.702]  And I mean taking you down in the Infowars, scum.
[00:17:50.182 --> 00:17:52.023]  Showing everybody what you are.
[00:17:54.564 --> 00:17:55.244]  We're gonna win.
[00:17:55.284 --> 00:17:55.644]  I smell blood.
[00:17:57.592 --> 00:17:58.052]  I do.
[00:17:58.132 --> 00:17:59.012]  I know we're going to win.
[00:17:59.032 --> 00:17:59.772]  We got you, man.
[00:17:59.853 --> 00:18:05.874]  Let me tell you, I'm like an octopus and a million more of us are like octopus or giant squid.
[00:18:05.894 --> 00:18:09.955]  We got our tentacles wrapped around your neck and all we care about is taking you down in the deep.
[00:18:10.295 --> 00:18:10.935]  We don't care.
[00:18:10.995 --> 00:18:11.895]  We go down with you.
[00:18:12.595 --> 00:18:16.716]  Because other meek and weak little people need to go on and live in freedom.
[00:18:16.956 --> 00:18:21.997]  And it's up to real men to stand in the gap and take you down no matter what!
[00:18:22.217 --> 00:18:25.238]  And with this fighting spirit, we can't be beat, scum!
[00:18:30.581 --> 00:18:34.786]  Amateur video bloggers under threat from EU broadcast rules.
[00:18:35.865 --> 00:18:43.730]  The government is seeking to prevent EU directive that could extend broadcast regulations to the Internet, hitting popular video sharing websites such as YouTube.
[00:18:44.070 --> 00:18:51.695]  The European Commission proposed would require websites and mobile phone services that feature video images to conform the standards laid down in Brussels.
[00:18:52.115 --> 00:18:58.859]  Ministers fear the directive could hit not only successful sites such as YouTube, but also amateur video bloggers who post material on their own sites.
[00:18:59.380 --> 00:19:03.202]  Personal websites would have to be licensed on a television-like service.
[00:19:04.231 --> 00:19:09.728]  And it says, Vivian Redding, the media counselor and commissioner, argues that the purpose is simply to set...
[00:19:10.609 --> 00:19:15.390]  Minimum standards on such areas as advertising, hate speech, and the protection of children.
[00:19:15.890 --> 00:19:18.150]  And all speech against these criminals is hate speech.
[00:19:18.670 --> 00:19:22.611]  And if you try to fight the pedophile rings running the government, then you're hurting the children.
[00:19:23.491 --> 00:19:28.312]  But Sean Woodward of the Broadcasting Minister described the draft proposal as catastrophic.
[00:19:28.772 --> 00:19:34.773]  He said, and he goes on to say in the section, it is criminal to post any video on the web, period.
[00:19:35.073 --> 00:19:39.234]  Brussels is announcing world government power right now over the entire internet.
[00:19:41.281 --> 00:19:48.345]  Justice Chertoff, the criminal, is saying they're going to have Homeland Security criminals over every command center in every major city.
[00:19:49.705 --> 00:19:53.107]  Brainwashing the moron police and moron emergency workers.
[00:19:53.907 --> 00:19:55.628]  Bunch of thumb-sucking fools.
[00:19:56.569 --> 00:19:57.809]  Alright, we'll be right back.
[00:19:59.390 --> 00:20:01.191]  Man, I'm so sick of these terrorists.
[00:20:01.671 --> 00:20:03.032]  We'll be right back.
[00:20:06.090 --> 00:20:09.695]  In Snow Falls in the majestic Rocky Mountains, it eventually melts.
[00:20:09.875 --> 00:20:15.742]  The water east of the Continental Divide travels downhill over 1,600 miles before reaching the Atlantic Ocean.
[00:20:15.762 --> 00:20:20.668]  On the western side, water travels downhill almost 1,000 miles to reach the Pacific Ocean.
[00:20:20.688 --> 00:20:23.452]  As you ponder this miracle, ask yourself this question.
[00:20:23.712 --> 00:20:28.075]  How many people and animals has that water passed through before it reaches my area?
[00:20:28.235 --> 00:20:32.258]  Berkey has revolutionized the way water is purified simply and naturally.
[00:20:32.418 --> 00:20:36.061]  At the heart of these portable systems are the black Berkey purification elements.
[00:20:36.241 --> 00:20:42.005]  So powerful, these elements extract pathogenic bacteria, cysts, parasites, chemicals, heavy metals, and yuck.
[00:20:42.225 --> 00:20:42.485]  I think so.
[00:21:04.944 --> 00:21:11.188]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[00:21:11.648 --> 00:21:19.473]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:21:19.793 --> 00:21:27.678]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:21:27.998 --> 00:21:32.780]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:21:33.100 --> 00:21:37.842]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:21:38.362 --> 00:21:42.224]  A gripping adventure into the secret world of international banking cartel.
[00:21:42.564 --> 00:21:43.744]  Hi, this is Ted Anderson.
[00:21:43.804 --> 00:21:47.926]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:21:48.346 --> 00:21:52.768]  Call 1-800-686-2237 and order a copy today.
[00:21:53.268 --> 00:21:55.789]  It's critical that the public be made aware of the system.
[00:21:56.269 --> 00:21:58.391]  Call and order your copy today at 1-800-686-2237.
[00:21:58.531 --> 00:22:01.494]  That's 1-800-686-2237.
[00:22:01.674 --> 00:22:06.919]  Admit it, the moral rot in America runs deep.
[00:22:07.279 --> 00:22:13.905]  Massive debt, rampant materialism, pedophilia by clergy, endless war, and yes, the sin of religious cannibalism.
[00:22:13.925 --> 00:22:20.611]  Communion was practiced by the Aztecs, Egyptians, Babylonians, and Gnostics of the mystery schools long before the Messiah was born.
[00:22:20.951 --> 00:22:25.553]  Due to carefully placed forgeries within the New Covenant texts, the worship of pagan gods prevailed.
[00:22:25.834 --> 00:22:31.336]  The Church's sacred cannibalism service, known as Communion, is based on words the Messiah never said.
[00:22:31.577 --> 00:22:32.877]  The Savior was no cannibal.
[00:22:33.137 --> 00:22:34.318]  He lived and taught the Torah.
[00:22:34.638 --> 00:22:35.138]  See proof?
[00:22:35.399 --> 00:22:35.899]  Get the book.
[00:22:36.159 --> 00:22:38.100]  Communion, the Bloodfest of Babylon today.
[00:22:38.420 --> 00:22:40.281]  Write to Two Witnesses Ministries, P.O.
[00:22:40.321 --> 00:22:41.182]  Box 2453, Abilene, Texas, 79604.
[00:22:41.222 --> 00:22:41.662]  Or call 325-572-3913.
[00:22:49.906 --> 00:22:54.894]  Yes, Gnostics did hijack the Antique to fulfill their devious plan to make abomination look holy.
[00:22:55.134 --> 00:22:59.161]  Gnostic conspiracy exposed in Communion, Bloodfest of Babylon.
[00:22:59.421 --> 00:22:59.602]  Call 325-572-3913.
[00:23:04.298 --> 00:23:07.942]  Are you looking for a one-stop shop to find all your favorite books and videos?
[00:23:08.183 --> 00:23:09.024]  Look no further!
[00:23:09.344 --> 00:23:11.927]  Northern Voice Bookstore has everything you need.
[00:23:12.368 --> 00:23:20.838]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[00:23:21.118 --> 00:23:21.758]  You can order today.
[00:23:38.743 --> 00:23:39.263]  I think so.
[00:24:15.242 --> 00:24:17.604]  You want to go read those kinds of London articles.
[00:24:19.685 --> 00:24:28.932]  It'll be criminal if you don't go through all the regulations and taxes and they're going to charge you to put video on the web because we're going to bring these terrorists to justice.
[00:24:29.892 --> 00:24:37.598]  They're scared of us and look I know a lot of police are patriots and love this show and I know a lot of emergency people do too but when I talk about the scum
[00:24:38.414 --> 00:24:41.537]  I mean the people that just are totally blind to what's going on.
[00:24:41.597 --> 00:24:42.618]  I mean this is real.
[00:24:42.918 --> 00:24:44.900]  The country is being dismantled.
[00:24:45.300 --> 00:24:46.681]  They've abolished the Bill of Rights.
[00:24:47.502 --> 00:24:56.089]  That terrorist, phony president who was never even elected both times just signed this unbelievable enabling act today.
[00:24:57.811 --> 00:25:01.654]  They are openly talking about restricting and shutting down areas of the web.
[00:25:02.775 --> 00:25:04.977]  They are getting rid of our borders and our sovereignty.
[00:25:05.057 --> 00:25:06.358]  It's all happening!
[00:25:07.856 --> 00:25:13.299]  Listen, I'm one of the saps who gets tears in his eyes when you're at a football game and they have the Star Spangled Banner.
[00:25:13.419 --> 00:25:14.479]  I love this country.
[00:25:15.340 --> 00:25:17.321]  And believe me, it's dying right now.
