[00:00:18.612 --> 00:00:19.312]  People of the day!
[00:05:51.332 --> 00:05:55.556]  They're not anything near conservatives, and it's time that that be exposed.
[00:05:55.816 --> 00:06:00.440]  By the way, that leads me to our second big story that I'll be detailing first.
[00:06:01.784 --> 00:06:12.767]  Bush, of course, two days ago was, he's now in South Korea, he was in Vietnam, there in Southeast Asia, the site of that war that went on from 1960 to 1975.
[00:06:14.128 --> 00:06:28.332]  Didn't officially get announced, well it never got officially announced, the war never got declared, but they didn't officially kick it off and start calling it a war until the staged Gulf of Tonkin incident where our government staged an attack on their own ships, now declassified to kick off the war in 64.
[00:06:29.662 --> 00:06:34.584]  And the LBJ tapes, of course, have been released right here in Austin, Texas from the LBJ Museum and Library.
[00:06:36.184 --> 00:06:42.346]  So, basically, Bush is in Vietnam, and I have the quotes here.
[00:06:42.386 --> 00:06:44.847]  He says, well, I've learned a lesson from Vietnam.
[00:06:45.227 --> 00:06:46.448]  We shouldn't have quit.
[00:06:46.808 --> 00:06:51.429]  We should have kept fighting like the North Vietnamese, and that's what we need to do in Iraq.
[00:06:51.830 --> 00:06:59.072]  He actually said that the lesson of Vietnam is, we didn't stay there long enough.
[00:07:01.268 --> 00:07:06.150]  58,000 dead Americans, a million-plus dead in the South, untold millions in the North.
[00:07:06.490 --> 00:07:20.874]  So we're talking about millions of people here who are dead, including 58,000 Americans, over 200-plus thousand seriously injured, many of them double and triple and quad amputees.
[00:07:20.894 --> 00:07:23.135]  That's when both your arms and legs are blown off.
[00:07:23.975 --> 00:07:25.676]  Agent Orange, all of it.
[00:07:26.457 --> 00:07:28.618]  The answer, Bush says, is continuing the course.
[00:07:28.658 --> 00:07:38.503]  And so, he has his daddy and the Iraq Study Group, and I predicted last week, I said they're going to issue their report mid-week, and I said this is what it's going to say.
[00:07:38.963 --> 00:07:52.730]  It's going to say, stay the course, but with a new spin, oh, we need to build up the Iraqi military, the Iraqi National Guard, as it's called, we need to build it up to battalions, but to do that, we first need to put 20,000 more troops in.
[00:07:54.272 --> 00:07:56.312]  That's exactly what they called for.
[00:07:56.493 --> 00:07:59.493]  That's exactly what Bush for three and a half years has been saying.
[00:07:59.533 --> 00:08:03.494]  It is the exact same course, but they act like in the media that Bush Sr.
[00:08:03.534 --> 00:08:13.376]  and James Baker came and spanked him, and now he's been defeated, and now we can work together, and John McCain calls for putting 20,000 more troops in, and stabilizing, and then pulling out.
[00:08:13.576 --> 00:08:15.497]  They've been saying that for three and a half years!
[00:08:15.977 --> 00:08:21.458]  And they'll be saying it next year, and another year, and when Hillary Clinton's in office, it'll be, boost the troops.
[00:08:22.549 --> 00:08:25.232]  Now, Mertha and others in Congress are trying to stop this.
[00:08:25.272 --> 00:08:37.464]  They may be successful, more power to them, but the Democratic leadership run by that intellectual prostitute, Nancy Pelosi, who lied to her constituents, and then as soon as she got in, no investigations, no nothing.
[00:08:37.504 --> 00:08:39.146]  She said a year ago there would be an impeachment.
[00:08:39.406 --> 00:08:41.648]  Two weeks before the election, she said that's now off the table.
[00:08:41.949 --> 00:08:44.171]  She's reading the same talking points with President Bush.
[00:08:44.651 --> 00:08:51.876]  The same agenda whether, again, whether it was Kennedy, or whether it was LBJ, or whether it was Nixon, the war continued.
[00:08:52.096 --> 00:08:55.818]  It's going to be the same thing here when a Democrat's in office.
[00:08:56.079 --> 00:08:57.279]  Because it's about big business.
[00:08:57.400 --> 00:09:05.625]  Over a hundred billion dollars a year is made by defense contractors in Iraq alone off this war.
[00:09:05.965 --> 00:09:07.486]  They just want to have a war!
[00:09:07.546 --> 00:09:09.768]  People say, oh, we can't cut and run.
[00:09:09.868 --> 00:09:11.469]  Oh, don't worry, there's no cut and running.
[00:09:11.669 --> 00:09:13.270]  And by the way, Iraq is not a disaster.
[00:09:14.321 --> 00:09:25.315]  The Pentagon plan from the 80s, another Pentagon plan from 2002, there's an Israeli plan from 1983, and my new film Terror Storm shows the plans, the documents, the admissions.
[00:09:25.656 --> 00:09:27.318]  That's just five minutes of a two hour film.
[00:09:28.259 --> 00:09:30.903]  It's an encyclopedia, an anthology.
[00:09:31.443 --> 00:09:40.051]  of government crime, they say we're going to go in, break it in three parts, have sectarian war, play them off against each other, de-industrialize the country, and build permanent bases in there to control the region.
[00:09:40.472 --> 00:09:42.073]  That's exactly what's happening.
[00:09:42.093 --> 00:09:43.034]  It's like the war on drugs.
[00:09:43.074 --> 00:09:43.775]  They say it's a failure.
[00:09:43.975 --> 00:09:44.736]  More drugs on the street?
[00:09:45.136 --> 00:09:45.597]  Uh-uh!
[00:09:45.637 --> 00:09:46.477]  More people in prison?
[00:09:46.497 --> 00:09:47.078]  More drugs?
[00:09:47.338 --> 00:09:48.119]  More corrupt cops?
[00:09:48.179 --> 00:09:49.260]  More paid-off politicians?
[00:09:49.640 --> 00:09:50.862]  That's the plan!
[00:09:51.742 --> 00:09:56.447]  Alright, we'll be right back to continue going over this and several other important, big, breaking stories.
[00:10:00.560 --> 00:10:06.386]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[00:10:06.486 --> 00:10:11.932]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[00:10:12.112 --> 00:10:19.360]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health, and your health is priceless.
[00:10:19.720 --> 00:10:26.845]  While online, sign up to receive the Herbal Healer Newsletter, which will keep you informed on the latest and greatest products in education.
[00:10:27.085 --> 00:10:39.174]  Did you know that Herbal Healer offers not only natural medicine, but also tension-relieving herbal teas, cookbooks, aromatherapy, products for pamphlet, and more great products to help you soothe and relax after a long day.
[00:10:39.614 --> 00:10:42.317]  Want to learn more for yourself and to help others in the future?
[00:10:42.537 --> 00:10:44.919]  Join the Herbal Healer Correspondent Program.
[00:10:45.040 --> 00:10:48.023]  You can work at your own pace from the comfort of your own home.
[00:10:48.123 --> 00:10:52.107]  This accredited, exciting program can help you gain skills and knowledge.
[00:10:52.267 --> 00:10:54.549]  Can you believe you can find all this at one stop?
[00:10:54.829 --> 00:10:56.351]  HerbalHealer.com.
[00:10:56.671 --> 00:10:59.294]  Celebrating 18 years of dedication.
[00:11:00.020 --> 00:11:01.121]  Ted Anderson for Midas.
[00:11:01.161 --> 00:11:02.061]  Today is November 17th, 2006.
[00:11:02.181 --> 00:11:05.983]  Gold opened at $614.40 an ounce and one ounce gold coins can be purchased for $634.84 and $319.97 for half ounce coins.
[00:11:06.003 --> 00:11:06.283]  That's $634.84 and $319.97.
[00:11:06.403 --> 00:11:13.166]  On June 4th, 1963, an unknown presidential decree, Executive Order 11110 was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interests.
[00:11:29.193 --> 00:11:32.434]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[00:11:32.534 --> 00:11:35.955]  The November assassination quieted the production of the new currency.
[00:11:36.035 --> 00:11:39.016]  However, the executive order still stands unrepealed.
[00:11:39.296 --> 00:11:42.157]  Midas has the Kennedy vs. Fed document.
[00:11:42.217 --> 00:11:42.517]  Call 800-686-2237.
[00:11:42.537 --> 00:11:44.518]  Unlike your liberty, the paper is free.
[00:11:44.538 --> 00:11:44.698]  Call 800-686-2237.
[00:11:50.720 --> 00:11:55.024]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[00:11:56.325 --> 00:11:57.506]  That's 800-686-2237.
[00:11:57.586 --> 00:11:59.908]  It's here.
[00:12:04.371 --> 00:12:09.155]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:12:09.516 --> 00:12:17.122]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:12:17.853 --> 00:12:24.895]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:12:25.296 --> 00:12:36.719]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:12:37.020 --> 00:12:40.941]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:12:40.981 --> 00:12:42.921]  It's an anthology of government crimes.
[00:12:43.242 --> 00:12:47.023]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:12:47.691 --> 00:12:55.014]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:13:00.538 --> 00:13:05.263]  For centuries, salt products have been known to help people stay well in body, mind, and spirit.
[00:13:05.543 --> 00:13:12.009]  Soleil Wellness is a unique company that scoured the world to find the best salt-based products to help you and your family.
[00:13:12.029 --> 00:13:20.497]  Safe, easy-to-use, environmentally-friendly products that fit into any lifestyle, decor, and can be used by anyone at any age.
[00:13:20.797 --> 00:13:24.041]  Soleil Wellness has a unique selection of salt-based products.
[00:13:24.261 --> 00:13:35.855]  Not only Himalayan gourmet salt and hilly bath salts, Soleil's simple natural cleaning products, ionizing salt crystal lamps, respiratory relieving salt pipes, pain relieving pillows and more.
[00:13:36.195 --> 00:13:39.279]  All designed to keep you and your family balanced and well.
[00:13:39.559 --> 00:13:40.901]  Visit Soleil Wellness today!
[00:13:41.321 --> 00:13:45.704]  Online at natural-salt-lamps.com.
[00:13:45.864 --> 00:13:47.245]  That's natural-salt-lamps.com.
[00:13:47.265 --> 00:13:47.565]  Or call 312-224-2710.
[00:13:47.765 --> 00:13:48.085]  That's 312-224-2710.
[00:13:48.165 --> 00:13:50.527]  Mention GCN Live for a free gift!
[00:13:50.607 --> 00:13:54.770]  Thank you for listening to GCN, the Genesis Communications Radio Network.
[00:14:10.780 --> 00:14:12.743]  It's not about right versus left.
[00:14:13.264 --> 00:14:15.386]  It's about right versus wrong.
[00:14:15.747 --> 00:14:17.690]  This is the Alex Jones Show.
[00:14:17.950 --> 00:14:19.172]  Call Alex now at 1-877-590-5525.
[00:14:19.192 --> 00:14:20.073]  Now, here's Alex Jones.
[00:14:31.542 --> 00:14:34.443]  And tonight, the man known for his mouth getting a new forum.
[00:14:34.583 --> 00:14:40.505]  Eric Mancow Muller hosting his own primetime special right here on the Fox News Channel here now in New York.
[00:14:40.605 --> 00:14:43.806]  Mancow, you're actually going to have a guy who doesn't believe in the 9-11.
[00:14:44.147 --> 00:14:45.887]  He thinks it's a whole conspiracy.
[00:14:46.167 --> 00:14:47.848]  He's going to go up against a firefighter.
[00:14:47.888 --> 00:14:48.388]  This has got to be great.
[00:14:48.408 --> 00:14:53.190]  You know these woodsy people that hang out in sheds and type a bunch of lies and they piecemeal things.
[00:14:53.890 --> 00:14:59.474]  And, uh, you know, maybe I've been fooled by the Fox News network myself that, uh, it was a bunch of crazies that brought down planes.
[00:14:59.494 --> 00:15:04.117]  He believes it was robots and computers and, uh, George W. Bush was planting bombs.
[00:15:04.397 --> 00:15:13.143]  And I had him, a couple of miles from here, go face-to-face, one of these conspiracy nuts, face-to-face with a firefighter who was there pulling his buddies out of the rubble at 9-11.
[00:15:13.443 --> 00:15:16.125]  It is the most, well, some of the most powerful TV you'll ever see in your life.
[00:15:16.385 --> 00:15:20.768]  If you speak, you can move mountains, and some big things are said one hour from now.
[00:15:24.630 --> 00:15:26.191]  Alright folks, welcome back.
[00:15:26.331 --> 00:15:32.154]  So, in the next segment after we take some calls, I'm going to play a few minutes of the real lies.
[00:15:32.234 --> 00:15:33.934]  Now, I've known Mankal for years.
[00:15:34.335 --> 00:15:47.360]  They know we're not backwoods living in shacks, but he thinks that his audience is stupid, and so we're these people living in shacks, putting lies on the internet, and then he does something that's really junior high.
[00:15:48.284 --> 00:15:51.106]  Oh, we're going to put them face-to-face with a firefighter.
[00:15:51.146 --> 00:15:55.709]  And then Mankow throughout the broadcast kept saying, well, you guys go ahead and fight with each other.
[00:15:56.089 --> 00:15:57.570]  So, you hate the firemen.
[00:15:57.590 --> 00:15:58.711]  You think they were part of it.
[00:15:59.071 --> 00:16:01.153]  We've never said the firemen were part of it.
[00:16:01.633 --> 00:16:05.476]  But the establishment continues to try this over and over again.
[00:16:06.511 --> 00:16:12.156]  But the incredible thing is the majority of the firefighters that we talked to, I'd have to say in New York it was 99%.
[00:16:13.277 --> 00:16:19.162]  One firefighter flipped us off and he was there at Ground Zero this year for the memorial on 9-11 from New Jersey.
[00:16:19.702 --> 00:16:26.508]  I mean I had police captains on video saying, thank you, keep it up, I'm out there bullhorning going, 9-11 is an inside job, what do you think police officers?
[00:16:26.728 --> 00:16:28.850]  They go, we know, we know, keep it up!
[00:16:29.130 --> 00:16:32.513]  I mean I'm making a film about it right now, literally!
[00:16:32.694 --> 00:16:33.054]  I've got
[00:16:33.911 --> 00:16:35.192]  Probably twenty police on tape.
[00:16:35.372 --> 00:16:36.212]  We weren't even looking for this.
[00:16:36.252 --> 00:16:37.232]  I should have been going after this.
[00:16:37.813 --> 00:16:38.873]  Twenty police on tape.
[00:16:38.993 --> 00:16:40.334]  Hundreds of firefighters on tape.
[00:16:40.574 --> 00:16:42.955]  Police captains in their full dress uniforms.
[00:16:43.295 --> 00:16:44.916]  When they're looking at me, I go, what do you think about this?
[00:16:45.216 --> 00:16:46.096]  Keep it up, Alex.
[00:16:46.136 --> 00:16:46.896]  We appreciate it.
[00:16:47.116 --> 00:16:48.497]  This is when I show up places.
[00:16:48.697 --> 00:16:49.537]  The cops know me.
[00:16:49.738 --> 00:16:50.858]  With thousands of protesters.
[00:16:50.898 --> 00:16:51.538]  Hi, Alex.
[00:16:51.778 --> 00:16:52.299]  Keep it up.
[00:16:52.319 --> 00:16:53.079]  Appreciate ya.
[00:16:54.798 --> 00:17:14.263]  I mean, so again, but Fox News tries to create the illusion that we're the minority and we're attacking the firefighters and we don't like them, and even the firefighter they had on the show refused to go along with that, but showing his ignorance, Kevin starts bringing up what's been all over national television, all over the major papers.
[00:17:14.403 --> 00:17:18.224]  It's now admitted that Christina Todd Whitman, the head of the EPA,
[00:17:19.102 --> 00:17:23.388]  Was ordered by the White House to lie and claim that the air was safe.
[00:17:23.428 --> 00:17:25.732]  That's now declassified public.
[00:17:25.772 --> 00:17:29.577]  They blocked the aid of the firemen, the policemen, the emergency workers.
[00:17:30.278 --> 00:17:31.520]  I've interviewed a lot of these people.
[00:17:31.780 --> 00:17:35.486]  The firemen didn't even know that and was defending the EPA head!
[00:17:36.078 --> 00:17:39.879]  I mean, literally, folks, this shows the ignorance of the general public.
[00:17:40.299 --> 00:17:43.460]  And then after the show, Kevin, because again, I couldn't go up to Fox Studios.
[00:17:43.480 --> 00:17:44.300]  They wanted me there.
[00:17:44.780 --> 00:17:45.260]  I couldn't go.
[00:17:45.320 --> 00:17:46.841]  I had a family arrangement.
[00:17:47.081 --> 00:17:51.462]  So I sent my radio producer, Hey, Trey, someday you can end up getting dispatched.
[00:17:52.522 --> 00:17:54.182]  I'll start sending you off, too.
[00:17:54.542 --> 00:17:57.223]  No, I mean, Kevin's very articulate, as you're going to hear.
[00:17:57.243 --> 00:17:58.603]  And they kept trying to make him mad.
[00:17:59.023 --> 00:18:00.844]  Mancow got really, really mad.
[00:18:00.864 --> 00:18:05.645]  But the reason we're talking about this today is because it illustrates
[00:18:06.232 --> 00:18:16.536]  To everyone that they can't argue with us, and they can't face us on the facts, and they have to build straw men, fake arguments, and lie about us.
[00:18:16.596 --> 00:18:21.277]  Now, my screen was full of calls here, and I still see them on the board, but my screen got wiped out somehow.
[00:18:21.697 --> 00:18:31.581]  And I know some of these callers wanted to talk about the Fox News special last night attacking us, so perhaps you can get that back up there for me, and I'll go to some of those calls.
[00:18:32.677 --> 00:18:34.658]  I'm still a baby in the studio, folks.
[00:18:35.478 --> 00:18:39.239]  For years, I've been doing a radio show out of my own office, or out of my own house, like Art Bell does.
[00:18:40.099 --> 00:18:49.762]  It's really the only way to fly, but it's always great to be back in a real radio studio, and they're doing a wonderful job, but I'm kind of like an astronaut orbiting the planet.
[00:18:49.882 --> 00:18:58.185]  I am up to their discretion down at the Houston command base, or down at the Cape Canaveral base there in Florida.
[00:18:59.102 --> 00:18:59.562]  Basically.
[00:18:59.902 --> 00:19:09.327]  Later, I also want to get into the toll roads here in Central Texas and nationwide and the propaganda and the media spin trying to sell this to the American people.
[00:19:09.647 --> 00:19:13.768]  But it's going to take more than a spoonful of sugar to get this cyanide down our throats.
[00:19:14.089 --> 00:19:16.910]  I want to talk about this sickening, what looks to be a serial killer.
[00:19:17.590 --> 00:19:36.922]  Here in Austin, Texas as well, Michael Keith Moore, just because it gets into the mindset of the type of people that are into butchering and torturing women, the very same mindset that's in our global leaders, but just like the women that get in the cars with these killers, the general public gets on the bus with the New World Order, it's the same criminology.
[00:19:36.942 --> 00:19:37.622]  I want to go over it.
[00:19:38.042 --> 00:19:39.563]  And there is some good news!
[00:19:40.184 --> 00:19:43.966]  Some of the Democratic leadership, and some of them are powerful committee chairmen,
[00:19:44.642 --> 00:19:46.684]  are moving to overturn H.R.
[00:19:46.704 --> 00:19:55.270]  6166 that fully abolished the Bill of Rights, that allows a secret arrest, secret torture, secret execution of American citizens.
[00:19:55.651 --> 00:20:01.075]  They are moving to repeal those subsections and the American people have got to get behind it.
[00:20:02.216 --> 00:20:11.683]  And the two other points I want to make, just right now before I forget, when I left here, the KLBJ studios, where we syndicate this program from, last Sunday night,
[00:20:13.121 --> 00:20:16.422]  I was driving to meet my family at that interesting European-style circus, by the way.
[00:20:16.442 --> 00:20:17.022]  It was pretty weird.
[00:20:17.502 --> 00:20:19.102]  But to make a long story short, I digress.
[00:20:19.662 --> 00:20:32.325]  I'm driving over there, and I'm listening to Beyond the Beltway, which is a very highly respected, great syndicated program that has both sides, multiple sides, sometimes four or five sides on it.
[00:20:32.485 --> 00:20:35.526]  It's also a TV program, but they simulcast it.
[00:20:36.186 --> 00:20:38.686]  And I'm listening to the Democratic and Republican strategists.
[00:20:38.706 --> 00:20:42.787]  In fact, I forgot to tell you, Trey, to grab clips of that from last week if we had a chance if you recorded it.
[00:20:43.927 --> 00:20:49.141]  Because I wanted to be able to play that here.
[00:20:49.402 --> 00:20:51.789]  And the Democratic and Republican strategists
[00:20:52.463 --> 00:21:01.729]  Both of them on the show said, there's a new movement in America, and if the Democrats don't do what this new movement wants, they'll be thrown out two in two years.
[00:21:02.049 --> 00:21:03.150]  And who is that new movement?
[00:21:03.390 --> 00:21:06.713]  They're the anti-New World Order movement.
[00:21:07.113 --> 00:21:10.015]  They're the anti-globalization movement.
[00:21:10.295 --> 00:21:13.917]  And the Republican agreed with the Chief Democratic Strategist.
[00:21:15.589 --> 00:21:34.723]  I'm driving home from the circus at like 10 o'clock at night, listening to Matt Drudge, who's also on this station, and many of the stations that carry this program, and he's got Pat Buchanan on, who's known what's going on for a while, but it doesn't... The point is, he's saying the American people are anti-North American Union, they're anti-open border, they're anti-one world government,
[00:21:35.103 --> 00:21:44.388]  The globalists control both parties, and I'm telling you, and you're sort of using the same polls that I used, the one from a month ago, 84% don't like either party.
[00:21:44.628 --> 00:21:45.689]  That's never happened before.
[00:21:45.709 --> 00:21:46.509]  Do you understand, folks?
[00:21:46.790 --> 00:21:48.110]  The globalists have blown it!
[00:21:48.631 --> 00:21:49.791]  They've shown us who they are!
[00:21:50.011 --> 00:21:56.735]  So the statesmen can write articles today here in Austin, telling us we all love the toll roads, and it makes us all money, and it's good.
[00:21:56.935 --> 00:21:59.777]  Hey, I'm sorry, 97% in major polls are against it.
[00:22:00.117 --> 00:22:04.420]  And no amount of your propaganda, no amount of your spin, and no amount of your outright lies.
[00:22:04.460 --> 00:22:07.101]  The Chronicle a few months ago said it's not Spanish-owned.
[00:22:07.482 --> 00:22:10.663]  I mean, everybody knows Cintra's Spanish-owned, you liar!
[00:22:10.904 --> 00:22:13.065]  Lewis Black, writing that editorial?
[00:22:13.225 --> 00:22:14.106]  You make me sick!
[00:22:14.126 --> 00:22:23.591]  I mean, how does Lewis Black think he gets away with writing his editorial comment in the front of the paper telling you that Cintra's not Spanish-owned?
[00:22:24.132 --> 00:22:27.894]  That is the equivalent of saying trees aren't green, water isn't blue,
[00:22:28.962 --> 00:22:32.003]  The sun isn't yellow, I mean... We gotcha!
[00:22:32.083 --> 00:22:32.683]  You understand?
[00:22:33.144 --> 00:22:33.904]  We gotcha!
[00:22:34.084 --> 00:22:40.266]  You told us to sit down, shut up, go along with your orders, don't get angry... No, we're gonna get angry!
[00:22:40.546 --> 00:22:41.447]  About things that matter!
[00:22:41.627 --> 00:22:43.688]  Not football, but the freedom in this country!
[00:22:43.888 --> 00:22:47.269]  We'll be right back, stay with us, your calls, tons of news, straight ahead!
[00:23:00.225 --> 00:23:08.751]  According to a recent report by the National Institute of Health, high blood pressure is a major risk factor for heart disease and the chief risk factor for stroke and heart failure.
[00:23:08.971 --> 00:23:10.792]  It affects about 50 million Americans.
[00:23:10.992 --> 00:23:12.133]  That's one in four adults.
[00:23:12.506 --> 00:23:18.610]  Because many people have high blood pressure for years without knowing it, the American Heart Association calls it the silent killer.
[00:23:18.870 --> 00:23:22.553]  At ResearchedHerbs.com, we recognize your concern for your well-being.
[00:23:22.833 --> 00:23:29.818]  As your online partner in health, we are committed to empowering you with the resources you need to make informed health decisions about high blood pressure.
[00:23:30.018 --> 00:23:34.021]  Visit us online at ResearchedHerbs.com to learn more about heart care.
