[00:00:26.592 --> 00:00:29.534]  It is Friday.
[00:03:23.360 --> 00:03:33.248]  In the meantime, there's an audio clip I want to play from CBS News in the 80s concerning the Bohemian Grove.
[00:03:34.328 --> 00:03:42.635]  Somebody with access to the CBS and ABC archives is posting on YouTube because it's got the internal time stamps
[00:03:44.460 --> 00:03:50.022]  From the tapes at the networks that are used just for their records, not for rebroadcast.
[00:03:51.123 --> 00:03:53.304]  And it's the same person posting all this stuff.
[00:03:53.324 --> 00:03:54.104]  I want to commend them.
[00:03:54.904 --> 00:04:02.848]  They've also plugged this website and put links to us, so they're obviously listeners who visit the websites, Infowars.com and PrisonPlanet.com.
[00:04:03.228 --> 00:04:10.971]  And they also posted a 2001, the now deceased Peter Jennings, talking about skull and bones.
[00:04:12.368 --> 00:04:21.892]  I had had the shorter clip just where he was showing the video that Ron Rosenbaum of the New York Observer, who we interviewed, the person that got the footage, but this is the whole newscast.
[00:04:21.972 --> 00:04:23.033]  It's like five minutes long.
[00:04:23.513 --> 00:04:27.255]  We're going to play that coming up in this first hour.
[00:04:27.975 --> 00:04:30.896]  We're also going to have wide open phones at 1-800-259-9231.
[00:04:30.916 --> 00:04:32.677]  And I will go to your calls in this first hour.
[00:04:32.697 --> 00:04:32.757]  1-800-259-9231.
[00:04:40.390 --> 00:04:44.093]  And then the really big news, the liberals have finally woken up to it.
[00:04:44.334 --> 00:04:47.496]  Privatized concentration camps in America.
[00:04:47.516 --> 00:04:48.457]  We're going to read that article.
[00:04:49.518 --> 00:04:52.861]  Also, Putin has seized dutiful shell fields.
[00:04:53.802 --> 00:04:57.825]  And the big news, they're gearing up for the national draft.
[00:04:57.865 --> 00:04:59.527]  We'll tell you about that first when we get back.
[00:05:03.715 --> 00:05:05.556]  It's here after a year in production.
[00:05:05.837 --> 00:05:07.458]  The statistics are heart-wrenching.
[00:05:07.758 --> 00:05:16.404]  According to the CWC, of the 43 million people who have served in the major wars, from the Revolutionary War to the Gulf War, 3 million never made it home alive.
[00:05:16.764 --> 00:05:22.508]  Most likely, each one of us can say we either knew someone who served, or know a brave soul who is currently serving our country.
[00:05:22.908 --> 00:05:30.392]  Now there is a unique way to pay tribute to the courageous men and women who spend their lives protecting our freedom, and to those who have lost their lives doing so.
[00:05:30.713 --> 00:05:36.096]  Davis Products is offering high quality, solid cast aluminum memorial markers for your American flag.
[00:05:36.396 --> 00:05:40.338]  Each memorial marker is specifically designed to represent one of 15 wars.
[00:05:40.638 --> 00:05:46.882]  All markers include a 3-8 inch pointed and threaded aluminum rod, painted and highlighted for an appearance that is unforgettable.
[00:05:47.162 --> 00:05:47.422]  That's 814-827-4946.
[00:05:47.542 --> 00:05:48.963]  Or visit davis-products.com.
[00:05:49.243 --> 00:05:50.944]  That's davis-products.com.
[00:06:05.916 --> 00:06:07.757]  Dad, can we stop?
[00:06:08.097 --> 00:06:09.638]  We need to go to the bathroom.
[00:06:10.058 --> 00:06:10.298]  What?
[00:06:10.658 --> 00:06:10.998]  Again?
[00:06:11.438 --> 00:06:13.079]  We just stopped two hours ago.
[00:06:13.139 --> 00:06:17.581]  Honey, let's stop, because I gave the kids their spark-burking water bottles.
[00:06:17.821 --> 00:06:19.102]  Why did you do that?
[00:06:19.322 --> 00:06:25.144]  Because they can't drink and talk at the same time, and that way we don't have to listen to them singing, Are we there yet?
[00:06:25.424 --> 00:06:26.485]  Are we there yet?
[00:06:26.585 --> 00:06:27.645]  for the entire trip.
[00:06:27.905 --> 00:06:30.106]  Hmm, I didn't think about that.
[00:06:30.586 --> 00:06:31.607]  Great idea.
[00:06:31.627 --> 00:06:34.468]  Yeah, and it's cheap entertainment for the kids.
[00:06:34.847 --> 00:06:37.352]  Bottled water costs around 75 cents a bottle.
[00:06:37.532 --> 00:06:41.941]  And using our Berkey Sport bottles, it costs us less than two and a half cents per refill.
[00:06:42.241 --> 00:06:42.562]  Honey?
[00:06:43.362 --> 00:06:44.623]  You're terrific!
[00:06:45.003 --> 00:06:46.504]  Oh, honey, so are you.
[00:06:46.624 --> 00:06:50.047]  You're the one that bought the family our sport Berkey water bottles.
[00:06:50.327 --> 00:06:51.128]  Now can we stop?
[00:06:51.628 --> 00:06:52.369]  I need to go, too.
[00:06:52.669 --> 00:06:57.132]  Get your Berkey Sport Purification Bottle for only $39 by calling New Millennium at 888-803-4438.
[00:06:57.192 --> 00:06:57.492]  That's 888-803-4438.
[00:06:57.532 --> 00:06:59.093]  Or order on the web at berkeywater.com.
[00:07:07.170 --> 00:07:12.631]  This is Jack Blood with the Genesis Radio Network, and I have an urgent message for our listeners.
[00:07:13.051 --> 00:07:17.812]  The mass media keeps telling us that we are the richest, most powerful economy in the world.
[00:07:18.212 --> 00:07:20.853]  If this is true, why can't we pay our bills?
[00:07:21.353 --> 00:07:24.773]  Why is the United States the world's largest debtor nation?
[00:07:25.553 --> 00:07:29.894]  The truth is that we are in the worst debt bubble in our nation's history.
[00:07:30.354 --> 00:07:33.495]  When the bubble bursts, will you be able to feed your family?
[00:07:34.116 --> 00:07:37.038]  When the inevitable crash occurs, will you be ready?
[00:07:37.779 --> 00:07:39.920]  Call Whitehurst International at 1-888-892-6238.
[00:07:39.960 --> 00:07:41.841]  That's 1-888-892-6238 for the following two free reports.
[00:07:41.941 --> 00:07:42.001]  U.S.
[00:07:42.021 --> 00:07:44.183]  Debt Bubble Red Alert and Real Estate Crash.
[00:07:44.203 --> 00:07:44.543]  Call 888-8-XANADU.
[00:07:44.923 --> 00:07:45.424]  That's 1-888-8-XANADU.
[00:08:01.628 --> 00:08:03.829]  He's the T-Rex of political talk.
[00:08:04.409 --> 00:08:07.170]  Alex Jones on the GCN Radio Network.
[00:08:34.186 --> 00:08:38.608]  All right, ladies and gentlemen, it of course is Friday the 22nd of December 2006.
[00:08:38.688 --> 00:08:45.951]  We do have Dr. Jerome Corsi coming up to join us in the second hour.
[00:08:46.591 --> 00:08:48.512]  I know that we're already loading up the phone lines at 1-800-259-9231.
[00:08:51.960 --> 00:08:56.122]  But let me first get into the draft news for you today.
[00:08:56.142 --> 00:08:58.604]  Of course, it's not going to be called a draft or conscription.
[00:08:58.644 --> 00:09:02.726]  It's called National Compulsory Service.
[00:09:02.766 --> 00:09:11.850]  And I've seen White House officials on Fox News, we've played the clips here, say, well, we're not for a draft, but we're for national service.
[00:09:13.311 --> 00:09:14.692]  It's like everything else they say.
[00:09:16.671 --> 00:09:21.073]  They perpetually lie, but they do it in a lawyerly way.
[00:09:21.634 --> 00:09:28.337]  And so they will deny it up until the minute they announce it, so that opposition can never form against it.
[00:09:29.778 --> 00:09:31.439]  Oh, we're not going to attack Iraq.
[00:09:31.479 --> 00:09:33.240]  We have no intention of attacking Iraq.
[00:09:33.640 --> 00:09:36.542]  We just are letting Saddam Hussein know we're serious.
[00:09:37.262 --> 00:09:41.865]  Then it turns out we now have all the memos where they planned to attack first day in the White House.
[00:09:43.295 --> 00:09:44.416]  We're good to go.
[00:10:04.326 --> 00:10:20.042]  Called for a commission to be set up by Congress, which was set up to study the draft, and their finding was a draft would be needed because of the expanding role that America was going to play as the guardian of global democracy.
[00:10:20.658 --> 00:10:27.423]  And that means bombed out cities, total enslavement, petty dictators put into power, genocidal operations, U.S.
[00:10:27.443 --> 00:10:28.483]  troops dying en masse.
[00:10:29.024 --> 00:10:30.124]  That's democracy.
[00:10:30.164 --> 00:10:31.325]  Again, it's always the opposite.
[00:10:31.345 --> 00:10:35.108]  It's like Bush calls for total blanket amnesty for all illegal aliens.
[00:10:35.428 --> 00:10:42.393]  It clearly says total blanket amnesty, unlimited skilled and unskilled workers being brought in, anyone who's here being legal.
[00:10:42.713 --> 00:10:46.055]  And he says in the State of the Union two years ago that it is not amnesty.
[00:10:46.595 --> 00:10:47.616]  It is total amnesty.
[00:10:49.037 --> 00:10:50.478]  I mean, imagine if you had a neighbor.
[00:10:51.418 --> 00:11:14.466]  Who had lied to you once, twice, three, four times, five times, ten times, a hundred times, a thousand times, and you still let them come water your plants, you still ask them to house sit for you, and every time they house sit, things come up missing, and you just, and then you've got another neighbor who says, you know, they've house sat for me, and they've asked permission to, and the stuff comes up missing, and then you say to them, oh, you're a conspiracy theorist.
[00:11:15.186 --> 00:11:18.267]  I don't care if they've lied to me hundreds of times, admittedly.
[00:11:19.125 --> 00:11:21.146]  I'm going to let them house shit.
[00:11:21.206 --> 00:11:21.606]  Or no, no, no.
[00:11:21.947 --> 00:11:24.468]  I'm going to sign over all my bank accounts to them.
[00:11:24.968 --> 00:11:30.030]  And I'm going to ask them to have a gun and protect me.
[00:11:30.090 --> 00:11:32.232]  I mean, that's basically what the government is.
[00:11:32.732 --> 00:11:33.552]  And that's what they've done.
[00:11:35.753 --> 00:11:39.375]  So Bush gets up there in Florida and says, there's going to be a draft.
[00:11:39.415 --> 00:11:40.576]  There will be a draft.
[00:11:40.696 --> 00:11:42.336]  I mean, no draft.
[00:11:42.396 --> 00:11:43.077]  No draft.
[00:11:44.538 --> 00:11:45.358]  See, you can't get...
[00:11:46.602 --> 00:11:54.025]  The real discussions he's having behind closed doors with the catapulting the propaganda, as he said, onto the public.
[00:11:54.645 --> 00:12:00.868]  It's like Rumsfeld three times has said on television that they shot down Flight 93 over Shanksville, Pennsylvania.
[00:12:01.288 --> 00:12:04.550]  He said twice a missile hit the Pentagon.
[00:12:05.930 --> 00:12:09.552]  These guys just... Well, it's really simple.
[00:12:09.612 --> 00:12:13.233]  They cannot get their lives straight in front of the American people.
[00:12:14.714 --> 00:12:14.874]  So...
[00:12:16.664 --> 00:12:18.225]  This is fresh out today.
[00:12:20.006 --> 00:12:32.996]  And when I'm on a show like Mike Gallagher, or I'm on a program like Lars Larson, these big national shows, and I raise this point, they say, that's not true, that's a conspiracy.
[00:12:35.157 --> 00:12:40.221]  Four years ago, the National Draft Boards had their funding roughly doubled.
[00:12:41.227 --> 00:12:43.349]  They set up the draft boards again.
[00:12:43.769 --> 00:12:51.596]  Selective service activated draft boards in every county and city in all 50 states and protectorates, holdings, possessions.
[00:12:53.378 --> 00:12:55.780]  And massive recruiting campaigns were launched.
[00:12:55.800 --> 00:13:01.265]  Did you know that in Mexico City, I've seen video of it, there are billboards everywhere recruiting.
[00:13:02.026 --> 00:13:03.888]  Openly recruiting foreign military now.
[00:13:04.088 --> 00:13:05.269]  Open mercenary forces.
[00:13:05.894 --> 00:13:12.681]  And then you go sign up, and then instantly when you sign up and then serve a tour, you are then allowed to become basically a U.S.
[00:13:12.702 --> 00:13:13.522]  citizen instantly.
[00:13:15.224 --> 00:13:16.145]  Isn't that just lovely?
[00:13:16.165 --> 00:13:18.448]  Maybe we'll have an old Russian military or something.
[00:13:18.768 --> 00:13:20.270]  Well, Russia doesn't border us.
[00:13:20.770 --> 00:13:23.053]  Mexico does, and so that will be our new military.
[00:13:23.373 --> 00:13:25.275]  But they're not getting even enough recruits there.
[00:13:25.535 --> 00:13:26.817]  They're like, I don't think so.
[00:13:28.976 --> 00:13:34.586]  You know, I can just walk up to America and become instantly legalized without even jumping through these hoops.
[00:13:34.626 --> 00:13:35.407]  So that's what's happening.
[00:13:35.788 --> 00:13:37.110]  So they have to have a draft.
[00:13:38.678 --> 00:13:39.799]  It isn't just Rangel.
[00:13:39.919 --> 00:13:42.761]  Republicans have introduced legislation for national drafts.
[00:13:42.881 --> 00:13:50.806]  And they're already drafting, they're already conscripting people in the military who have served, who've signed up for a 10-year stint.
[00:13:50.826 --> 00:13:51.827]  Their 10 years is up.
[00:13:52.167 --> 00:13:53.848]  They served the last two years in Iraq.
[00:13:53.889 --> 00:13:57.091]  And they say, sorry, you didn't read the fine print of your contract.
[00:13:57.551 --> 00:14:01.514]  We are doing a stop loss, automatic re-upping.
[00:14:01.914 --> 00:14:03.835]  You've now got to stay in another four years.
[00:14:04.296 --> 00:14:06.097]  And by the way, we're not going to give you a rest.
[00:14:07.107 --> 00:14:13.893]  You're going to serve tour after tour after tour after tour, something that's never happened.
[00:14:14.914 --> 00:14:21.339]  Even in the Revolutionary War, they would only make colonial soldiers serve one year.
[00:14:23.201 --> 00:14:26.723]  And there's Washington being beaten by the British over and over again.
[00:14:26.783 --> 00:14:34.770]  He gets out in front of his troops, and he begs them not to leave, but they have no shoes because the shoes fell apart marching forward.
[00:14:35.160 --> 00:14:40.324]  You know, thousands of miles in some cases over the year, up and down the East Coast.
[00:14:41.305 --> 00:14:43.387]  And their families are at home starving to death.
[00:14:43.407 --> 00:14:44.908]  They've got to go feed their family.
[00:14:45.228 --> 00:14:46.469]  By the way, they couldn't pay them.
[00:14:46.509 --> 00:14:48.791]  They paid them in many cases around a tenth.
[00:14:48.931 --> 00:14:50.012]  You can go read the history books.
[00:14:50.373 --> 00:14:52.514]  Very small percentages of what they said they'd pay them.
[00:14:52.754 --> 00:14:53.515]  They didn't have the money.
[00:14:54.016 --> 00:14:56.558]  And George Washington couldn't stop them, and most of them would leave.
[00:14:56.798 --> 00:15:03.003]  But then he would get a new crop in who had their families supplied and were volunteering.
[00:15:03.619 --> 00:15:07.900]  Mainly because of British butchery and war crimes.
[00:15:09.040 --> 00:15:15.702]  The British would have won, but they committed so many arrogant crimes against the population that Washington was sure to lose.
[00:15:15.722 --> 00:15:18.242]  He had been beaten in all the battles, fighting 6-1, 8-1.
[00:15:18.422 --> 00:15:23.963]  The most modern, mechanized military at that point.
[00:15:24.484 --> 00:15:26.484]  The, quote, British Invincible Redcoats.
[00:15:28.366 --> 00:15:34.350]  So, no one has ever forced our military men and women to start more than one tour.
[00:15:35.071 --> 00:15:40.515]  Folks, there are people about to start their fifth tour.
[00:15:40.535 --> 00:15:44.478]  And you're like, wait a minute, the war only started almost four years ago now.
[00:15:44.538 --> 00:15:50.943]  Yeah, but there were people who were already supposed to get out a year before the war who were stop-lost.
[00:15:51.464 --> 00:15:55.827]  So, they're about to start their fifth tour.
[00:15:56.644 --> 00:15:58.905]  Five years.
[00:15:59.565 --> 00:16:07.407]  Three and, what, three quarters, almost four years now, in front-line, house-to-house combat.
[00:16:09.868 --> 00:16:11.528]  And they're basket cases.
[00:16:11.908 --> 00:16:19.750]  Instead of one-third having post-traumatic stress disorder and falling apart, no matter how macho you are, your glands literally burn out.
[00:16:20.871 --> 00:16:25.192]  Okay, they're not meant to have sustained combat every day for years.
[00:16:27.279 --> 00:16:28.539]  This happens to professionals.
[00:16:28.859 --> 00:16:36.801]  Heart surgeons, dentists, lawyers, people who every day, people who are type A personalities, who stay at a high level.
[00:16:38.562 --> 00:16:39.242]  It's happened to me.
[00:16:39.542 --> 00:16:41.842]  You get to where you can only perform once you're on the air.
[00:16:41.862 --> 00:16:43.263]  You're exhausted when you're not.
[00:16:43.783 --> 00:16:45.183]  You have to hype yourself up.
[00:16:47.124 --> 00:16:50.264]  It's ten times worse when it's actual combat.
[00:16:50.565 --> 00:16:51.905]  Kicking down doors every day.
[00:16:51.985 --> 00:16:53.065]  Being shot at every day.
[00:16:53.365 --> 00:16:55.066]  Not knowing when a bomb is going to go off every day.
[00:16:55.286 --> 00:16:56.186]  You get hyped up.
[00:16:56.266 --> 00:16:56.566]  We've had...
[00:16:57.230 --> 00:17:05.055]  Selle Castillo, Colonel Craig Roberts, many others here in the studio who served as police officers, as snipers in Vietnam.
[00:17:05.335 --> 00:17:07.317]  And they'll tell you, you get addicted to it.
[00:17:08.217 --> 00:17:15.962]  And then you become SWAT team commanders and helicopter pilots and DEA agents because you get addicted.
[00:17:16.082 --> 00:17:17.123]  It is a drug.
[00:17:17.623 --> 00:17:20.485]  And then you get more and more burned out from it.
[00:17:23.247 --> 00:17:26.609]  Thrill-seeking because you now are addicted.
[00:17:28.078 --> 00:17:36.265]  But you take that, you put people in combat for four years, and folks, it just can't continue.
[00:17:37.025 --> 00:17:38.146]  It just can't go on.
[00:17:38.266 --> 00:17:50.456]  Record suicides, record deaths, and all the toxins, the DU, the toxic waste, the sand mites, all the spiders, the stuff that's over there.
[00:17:52.257 --> 00:17:54.359]  And they sleep down in these dank bunkers
[00:17:57.535 --> 00:18:10.778]  One of my cousins was in a base right by that big ammo depot that blew up, and he was down deep in the crown, and some horrible spotter bit him, and last time I heard, months later, pus was just pouring out every day of his head.
[00:18:10.798 --> 00:18:15.779]  And of course, he doesn't even ask for time off.
[00:18:15.819 --> 00:18:17.540]  He doesn't even ask to get a medical leave.
[00:18:17.560 --> 00:18:22.041]  He's got to fight Al-Qaeda with pus dripping out of his head for America!
[00:18:25.049 --> 00:18:27.851]  Because, you know, we're fighting for America over there.
[00:18:28.411 --> 00:18:30.572]  Just these well-meaning, good people.
[00:18:31.153 --> 00:18:32.974]  But the road to hell is paved with good intentions.
[00:18:32.994 --> 00:18:38.237]  You know, there were a lot of good Germans, folks, on the front lines fighting the Russians at Leningrad.
[00:18:40.198 --> 00:18:42.580]  And they thought that, you know, they believed it.
[00:18:43.440 --> 00:18:44.901]  These were Christian men.
[00:18:44.961 --> 00:18:46.942]  They thought they were good guys.
[00:18:48.743 --> 00:18:50.284]  You know, you'd meet them, they'd buy you dinner.
[00:18:50.825 --> 00:18:52.165]  Nice guys to have a drink with.
[00:18:53.206 --> 00:18:54.667]  But they were part of an evil army.
[00:18:55.504 --> 00:18:57.345]  And you can't explain that to them.
[00:18:58.066 --> 00:19:04.970]  I mean, 70% of them want to come home and know something's wrong, but there's that 30% who just, I mean, it's like cult member, folks.
[00:19:06.010 --> 00:19:07.551]  Absolute cult member.
[00:19:08.972 --> 00:19:10.373]  And you just can't get through to them.
[00:19:10.693 --> 00:19:12.014]  Hey, listen, they put Saddam in.
[00:19:12.034 --> 00:19:13.115]  Hey, they staged all this.
[00:19:13.415 --> 00:19:14.275]  They lied about it all.
[00:19:14.315 --> 00:19:15.136]  You're not meant to win.
[00:19:15.316 --> 00:19:21.280]  Here, let me show you official Pentagon documents where they said they want to keep the war going and break the country up so you're not meant to win.
[00:19:21.460 --> 00:19:22.160]  Now, I don't want to see that.
[00:19:22.180 --> 00:19:22.861]  I don't want to see that.
[00:19:22.881 --> 00:19:25.062]  I don't want to see that.
[00:19:26.149 --> 00:19:26.829]  I don't want to know.
[00:19:27.689 --> 00:19:28.590]  No, it's not true.
[00:19:28.610 --> 00:19:30.650]  Okay, fine.
[00:19:32.291 --> 00:19:35.311]  What has led me to this whole line of discussion today?
[00:19:35.391 --> 00:19:42.933]  Privatized immigrant detention facilities for families revealed to be modern-day concentration camps.
[00:19:43.833 --> 00:19:44.914]  Oh, that was another story, sorry.
[00:19:45.574 --> 00:19:48.194]  Selective service to test draft machinery.
[00:19:48.855 --> 00:19:50.275]  That's associated press.
[00:19:51.391 --> 00:19:55.934]  Oh, no, they're just setting it all up, oiling it, having their minions go, kind of puts into problems.
[00:19:56.154 --> 00:19:56.674]  Here's another one.
[00:19:56.714 --> 00:20:01.397]  VA head, this is AP, says draft beneficial to society.
[00:20:02.597 --> 00:20:04.178]  Oh, no, there's no plant.
[00:20:07.360 --> 00:20:09.321]  Do you know the truth about breast cancer?
[00:20:09.822 --> 00:20:12.203]  Do you realize that the race for the cure is over?
[00:20:13.021 --> 00:20:21.504]  The best-kept secret in the world today is that now it's possible to kill cancer without personal suffering, mutilation, and poisoning of your entire system.
[00:20:22.465 --> 00:20:27.387]  Now it's cancer's turn to die with LaysMed Incorporated's patented methodology.
[00:20:28.027 --> 00:20:38.051]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at a physician's office.
[00:20:38.551 --> 00:20:40.812]  Star War technology at its best.
[00:20:41.641 --> 00:20:43.001]  For more information, call 702-953-0267.
[00:20:43.021 --> 00:20:43.061]  702-953-0267.
[00:20:43.101 --> 00:20:44.382]  Or visit www.lazemedinc.com.
[00:20:44.442 --> 00:20:45.642]  That's www.lazemedinc.com.
[00:21:04.358 --> 00:21:07.240]  Are terrorist cells or prime terror targets located near you?
[00:21:07.601 --> 00:21:10.483]  Where are military bases and hazardous waste sites located?
[00:21:10.723 --> 00:21:16.928]  How do you find the best area for solar, average rainfall, fish contamination advisories, and major transportation routes?
[00:21:17.327 --> 00:21:24.651]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:21:24.851 --> 00:21:28.994]  Find everything from housing prices and taxes to brewing environmental catastrophes.
[00:21:29.254 --> 00:21:34.797]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much, much more.
[00:21:34.997 --> 00:21:43.942]  Complete with over 3 gigabytes of detailed information on each of the 3,000-plus counties in the U.S., including 550 high-resolution, full-color maps,
[00:21:44.963 --> 00:21:58.535]  Get this hard-to-find information by ordering Fruit and Places USA now for only $29 plus shipping and handling by calling New Millennium at 888-803-4438 or order on the web at berkeywater.com.
[00:22:03.971 --> 00:22:07.612]  When making important financial decisions, you should always know the facts.
[00:22:07.912 --> 00:22:11.433]  That's why Midas Resources is willing to pay you to read the facts.
[00:22:11.753 --> 00:22:20.636]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:22:20.976 --> 00:22:24.937]  Midas Resources offers a host of services and stands behind their products.
[00:22:25.237 --> 00:22:29.458]  In fact, if you call and order their free Midas report, Midas Resources will pay you.
[00:22:30.098 --> 00:22:35.521]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[00:22:35.781 --> 00:22:41.104]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[00:22:41.404 --> 00:22:42.504]  So what are you waiting for?
[00:22:42.725 --> 00:22:47.527]  Get the facts and call Midas Resources toll free at 888-292-2709.
[00:22:47.747 --> 00:22:51.589]  That's 888-292-2709.
[00:22:51.849 --> 00:22:57.212]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[00:23:04.013 --> 00:23:05.974]  The average savings for generic drugs was over 71%.
[00:23:19.998 --> 00:23:20.899]  We're good to go.
[00:23:36.018 --> 00:23:36.639]  We're good to go.
[00:24:05.896 --> 00:24:28.139]  Way up north, north to Alaska Way up north, north to Alaska North to Alaska, go north, the rush is on North to Alaska, go north, the rush is on Big Sam left Seattle in the year of ninety-two
[00:24:29.145 --> 00:24:57.008]  With George Pratt, his partner, and brother Billy, too They crossed the Yukon River and found the Bonanza Gold Below that old white mountain, just a little southeast of Nome Sam crossed the majestic mountains to the valleys far below He talked to his team of huskies as he mushed on through the snow
[00:24:57.828 --> 00:24:58.208]  Welcome back.
[00:24:58.228 --> 00:24:59.228]  Sounds good to me.
[00:24:59.288 --> 00:25:00.029]  Not the gold, folks.
[00:25:00.049 --> 00:25:02.369]  The river winding and the northern lights are running.
[00:25:02.509 --> 00:25:05.750]  Johnny, Omar, Jeff, Lewis, we're going to get to everybody.
[00:25:28.918 --> 00:25:31.479]  Some people have been emailing me going, Hey man, it's Christmas time.
[00:25:32.319 --> 00:25:34.500]  And fine, we'll dig up some Christmas music and play it for you.
[00:25:34.520 --> 00:25:35.460]  I like Christmas too.
[00:25:36.080 --> 00:25:41.801]  But it'd be like, let's say I lived in a little village and there were enemy barbarians pouring through the woods about to attack the village.
[00:25:42.181 --> 00:25:43.982]  And I looked out the window and saw them coming.
[00:25:44.242 --> 00:25:45.702]  I shouldn't ring the alarm bell.
[00:25:45.742 --> 00:25:49.023]  I should just go, Well, it's Christmas.
[00:25:49.083 --> 00:25:52.544]  And so I'm not going to warn people what's happening.
[00:25:53.895 --> 00:25:59.299]  I'll just, because I'm on all these talk shows doing interviews all week, and they're just, you be sure you have a good Christmas.
[00:25:59.319 --> 00:26:01.641]  Boy, you sure got a bad view on things.
[00:26:02.942 --> 00:26:07.485]  Well, yeah, we used to have 1 in 25,000 with autism, and now it's below 168.
[00:26:08.125 --> 00:26:11.568]  It's even worse than the numbers we got a few years ago.
[00:26:12.654 --> 00:26:13.775]  And all this stuff's happening...
[00:26:37.953 --> 00:26:45.519]  And there's a plan to send our troops to die in a war that's not meant to be won, but I should just be mindless and stick an American flag on my car and not really care about the troops.
[00:26:45.559 --> 00:26:48.241]  Just say I do, and then good old boys will pat me on the back.
[00:26:49.062 --> 00:26:51.444]  So, I mean, yeah, we'll just play.
[00:26:51.744 --> 00:26:54.126]  It's a holly jolly Christmas.
[00:26:54.466 --> 00:26:56.688]  It's the best time of the year.
[00:26:57.008 --> 00:26:59.010]  La la la, la la la.
[00:26:59.190 --> 00:27:01.391]  I mean, I would really like to do that, folks.
[00:27:03.693 --> 00:27:07.016]  I'd like to take off two weeks and, you know, drive out
[00:27:08.058 --> 00:27:08.438]  West.
[00:27:08.458 --> 00:27:10.079]  Go up the mountains and camp out.
[00:27:10.119 --> 00:27:18.304]  I like to go run an RV and let my kids run around in the woods and, you know, go fishing.
[00:27:18.484 --> 00:27:19.104]  But you know what?
[00:27:19.164 --> 00:27:20.205]  I'm not going to do that.
[00:27:20.225 --> 00:27:22.866]  I'm going to take off a few days next week, spend time with my family.
[00:27:23.606 --> 00:27:26.368]  But, you know, I'm not going to have a country.
[00:27:27.048 --> 00:27:27.268]  Okay?
[00:27:27.288 --> 00:27:28.309]  We're not going to have any freedom.
[00:27:28.329 --> 00:27:30.290]  We're going to be in a very deep depression.
