[00:00:00.069 --> 00:00:00.689]  Cover-ups.
[00:06:52.970 --> 00:06:56.132]  Hi, I'm Mark Craighead, founder of Crossbreed Holsters.
[00:06:56.352 --> 00:07:04.378]  I designed our top-selling holster, the SuperTuck Deluxe, to solve the problems of being poked, pinched, and gouged while carrying concealed.
[00:07:04.538 --> 00:07:09.661]  The SuperTuck Deluxe is the most comfortable, most concealable holster on the market today.
[00:07:09.841 --> 00:07:12.763]  We offer a two-week free trial and a lifetime warranty.
[00:07:12.843 --> 00:07:15.725]  Visit us at crossbreedholsters.com.
[00:07:16.746 --> 00:07:19.948]  Don't forget, crossbreedholsters.com.
[00:07:21.329 --> 00:07:22.410]  Hi, this is Ted Anderson.
[00:07:22.570 --> 00:07:26.953]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:07:27.133 --> 00:07:32.857]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:07:32.957 --> 00:07:36.359]  Gold has outperformed paper investments, yet no word about IRAs.
[00:07:36.599 --> 00:07:39.201]  If you would like to have gold for your retirement, call 800-686-2237.
[00:07:39.301 --> 00:07:44.224]  Don't get left behind by rising inflation and low returns.
[00:07:44.364 --> 00:07:44.605]  Call 800-686-2237.
[00:07:44.665 --> 00:07:46.006]  Secure your future and call 1-800-686-2237.
[00:07:53.852 --> 00:07:59.877]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:00.478 --> 00:08:03.641]  It's Alex Jones and the GCN Radio Network.
[00:08:05.683 --> 00:08:11.668]  Many times when Congressman Ron Paul is on Fox or CNN or MSNBC, they'll say, you're against the government.
[00:08:11.909 --> 00:08:12.849]  You hate the government.
[00:08:13.823 --> 00:08:15.364]  How are we supposed to fund our country?
[00:08:15.624 --> 00:08:21.227]  And many times he's standing in the Capitol or the Capitals behind him and he says, well, we built this Capitol.
[00:08:21.807 --> 00:08:26.549]  Our country had a 10% growth rate on average until 1913 when we got the income tax.
[00:08:26.889 --> 00:08:29.030]  That you will notice is in the Communist Manifesto.
[00:08:29.090 --> 00:08:31.271]  So is a private central bank.
[00:08:31.311 --> 00:08:32.952]  And we have been turned into serfs.
[00:08:33.312 --> 00:08:35.954]  Not just with the income tax, but property tax is a rent.
[00:08:36.334 --> 00:08:38.195]  Serfs paid a property tax.
[00:08:38.895 --> 00:08:44.377]  As well, and since 1913 it just expands and expands and expands and expands.
[00:08:44.457 --> 00:08:49.879]  Now the bankers, Volcker and others, want a value-added tax, sales taxes, carbon taxes.
[00:08:50.439 --> 00:08:51.760]  It's all being announced.
[00:08:51.900 --> 00:08:55.681]  Former Wall Street Journal editor, for those that just joined us, father of Reaganomics,
[00:08:56.261 --> 00:08:56.642]  Oh, Alex.
[00:09:17.398 --> 00:09:18.499]  My phone has started ringing.
[00:09:18.559 --> 00:09:19.740]  Can I get up and turn it off?
[00:09:20.000 --> 00:09:20.260]  I'm sorry.
[00:09:20.280 --> 00:09:20.740]  Sure, go ahead.
[00:09:21.501 --> 00:09:23.422]  You gotta love live TV here in radio.
[00:09:23.762 --> 00:09:26.984]  And for those that just joined us, we are live at PrisonPlanet.tv.
[00:09:27.004 --> 00:09:32.448]  You can see all the great awards Dr. Roberts has in the back, including the Legion of Merit from France.
[00:09:32.468 --> 00:09:33.489]  That's their highest award.
[00:09:33.529 --> 00:09:34.870]  He is something else.
[00:09:35.310 --> 00:09:36.391]  Never even knew he had that.
[00:09:37.311 --> 00:09:39.813]  But, gotta love live TV.
[00:09:40.033 --> 00:09:46.778]  Okay, Dr. Roberts, continuing, recapping our journey to serfdom, and now it's only accelerating deeper into bondage.
[00:09:47.677 --> 00:10:02.269]  Well, you know, the main point, Alex, was that a free person owns his own labor, and an income tax means the government has the first claim on your labor, just like feudal lords did, or a slave master.
[00:10:02.910 --> 00:10:06.813]  And so Americans are not free, and haven't been for almost a century now.
[00:10:07.173 --> 00:10:14.820]  We're three years short of a century of living as serfs, while the government tells us that we have freedom.
[00:10:16.347 --> 00:10:37.965]  You know, under the Constitution, the income tax is unconstitutional, and certainly nobody in the latter part of the 18th century was going to propose an income tax since it was so close to the time that serfs were becoming free labor, as opposed to serfs.
[00:10:39.306 --> 00:10:48.811]  The notion of having the government have a claim on your labor would have been seen as a step back into the dark ages, or into the medieval period.
[00:10:49.812 --> 00:10:52.693]  And so, how did we get the income tax?
[00:10:52.754 --> 00:10:56.556]  Well, the Democrats wanted it to get the rich.
[00:10:57.316 --> 00:11:02.279]  And they got one passed, and it was ruled unconstitutional, and they had to have a constitutional amendment.
[00:11:03.476 --> 00:11:14.166]  And the way they got it, if my memory serves, the Republicans wanted a higher tariff to protect the industries.
[00:11:14.987 --> 00:11:17.970]  During our great growth period, we had high tariffs.
[00:11:19.371 --> 00:11:22.854]  We did not develop on the basis of free trade.
[00:11:24.056 --> 00:11:26.978]  So, in order to get the tariff,
[00:11:27.990 --> 00:11:37.135]  The Democrats said, look, tariffs are like sales taxes, and they're regressive, and the people have to pay it who don't have a lot of money.
[00:11:37.175 --> 00:11:50.101]  And so if you will go along with letting us have a go at a constitutional amendment on the income tax, we'll let you have your tariffs.
[00:11:51.784 --> 00:11:59.293]  And the Republicans all said, well, you know, the states will never pass this, so let's make the deal so we can get a higher tariff.
[00:12:00.995 --> 00:12:04.880]  So they made the deal, and when it went out to the states,
[00:12:07.901 --> 00:12:18.104]  The states looked at it and said, well look, look how much money you have to have before you even hit a 1% income tax rate.
[00:12:18.424 --> 00:12:20.685]  Nobody in our state has that much money.
[00:12:21.325 --> 00:12:24.326]  We don't care if this passes, it doesn't affect us.
[00:12:26.127 --> 00:12:33.849]  And so, it passed because the majority of the states came to the conclusion that nobody in the state had an income that large.
[00:12:36.038 --> 00:12:40.686]  But of course, as soon as this ends, World War I starts.
[00:12:42.429 --> 00:12:44.974]  And of course, they want to finance the war.
[00:12:45.314 --> 00:12:46.516]  And so all of a sudden...
[00:12:47.765 --> 00:13:01.172]  The thresholds at which the tax comes in are lowered, the rates at which are charged are raised, and the whole population is almost subject to the income tax, which was only going to be for the rich.
[00:13:01.553 --> 00:13:03.714]  Well, that's how it happened.
[00:13:03.734 --> 00:13:06.976]  That's how it came into effect.
[00:13:07.636 --> 00:13:12.579]  It was a miscalculation as a part of a deal
[00:13:13.459 --> 00:13:26.389]  To be able to raise a tariff in exchange for giving the Democrats a go at a constitutional amendment to make income tax permissible.
[00:13:26.709 --> 00:13:29.331]  Well, Dr. Roberts, let me add a caveat before you continue.
[00:13:29.752 --> 00:13:35.956]  We notice in the same year, 1913, we get the income tax to now fund the new central bank.
[00:13:37.057 --> 00:13:39.139]  That so many of our forefathers had fought against.
[00:13:39.559 --> 00:13:48.987]  As Thomas Jefferson said, if you allow private corporations and banks to issue currency and credit, you will wake up homeless on the continent your forefathers conquered.
[00:13:49.667 --> 00:13:58.434]  And we also, that same year, got the 17th Amendment, taking the senators from the states, voted on by the legislatures, and making them federal creatures.
[00:13:58.815 --> 00:14:02.478]  So, further dominating the states.
[00:14:04.139 --> 00:14:23.812]  So the central banks and private banks that helped ram this through did it in the name of getting the rich guys, the robber barons, but really the robber barons that helped them vertically integrate the economy and now we see the super rich today vertically integrating the economy and waging war on the economy, economic warfare, through this system almost a hundred years later.
[00:14:25.394 --> 00:14:30.538]  That's true, and that's one of the subjects of my recent book, How the Economy Was Lost.
[00:14:31.179 --> 00:14:34.803]  You gave a very good summary of what happened.
[00:14:36.644 --> 00:14:38.586]  All of it in the name of reform.
[00:14:40.588 --> 00:14:46.694]  And of course, the reforms destroyed the federal structure and gave us the powerful central government.
[00:14:48.055 --> 00:14:56.499]  You know, the Civil War did a great job in destroying states' rights, but certain amounts of it remained until 1913.
[00:15:08.550 --> 00:15:12.632]  I want to talk more about the income tax and all the new taxes they want to pile on that are similar.
[00:15:13.052 --> 00:15:15.033]  But what about the states and property taxes?
[00:15:15.073 --> 00:15:19.455]  Many states didn't have property taxes until the last 20-30 years and they go up and up and up.
[00:15:19.796 --> 00:15:28.760]  That's another classic feudal serf tax where you didn't own the land you were on, you were the keeper of it, but you had to pay a percentage to the nobles.
[00:15:31.381 --> 00:15:33.422]  Yes, of course.
[00:15:35.719 --> 00:15:44.166]  Property taxes really aren't abortable, because even if you rent from a landlord, he has to pay the tax, so it goes into the rent.
[00:15:45.547 --> 00:15:54.334]  Property tax, the reason given for that, and what was used, was to fund public schools.
[00:15:55.427 --> 00:16:11.794]  So you find the public school system based on the property tax and therefore this made it free, so to speak, since property tax wasn't avoidable.
[00:16:13.485 --> 00:16:22.031]  And people paid the proper tax, so they used public schools, and this was a great setback to private education.
[00:16:22.231 --> 00:16:38.822]  And it was another mechanism for government to condition the thinking of people, to brainwash them through time, to make them think that they are free and have democracy, even though
[00:16:39.782 --> 00:16:40.422]  I think?
[00:16:55.656 --> 00:17:00.137]  There were slaves who had special skills.
[00:17:00.497 --> 00:17:01.978]  They were craftsmen.
[00:17:02.018 --> 00:17:07.939]  They were highly trained in some aspect of arts and crafts.
[00:17:08.659 --> 00:17:16.381]  And their labor was worth more than working in the cotton fields or working on the plantation.
[00:17:16.981 --> 00:17:19.982]  And so what would happen is the owners of the slave
[00:17:21.158 --> 00:17:48.231]  would lease the slave to a businessman in a city or town and the man who leased the slave would withhold half of the slave's earnings and send it back to the owner and give the other half to the slave which he used to maintain himself in town where he lived, you know, on his own resources after tax.
[00:17:49.500 --> 00:17:51.183]  Well, that's the way it works today.
[00:17:52.885 --> 00:17:56.511]  Most people cannot avoid income tax because they never get the money.
[00:17:56.591 --> 00:17:57.813]  It's withheld at the source.
[00:17:58.519 --> 00:18:09.043]  And by the way, we've seen this new hoax by AP and others, I see it all over the news, that 47% of Americans don't pay income tax after deductions, but what is FICA and Social Security?
[00:18:09.363 --> 00:18:16.526]  Don't they know that their employers are just paying them less because they have to pay all those other taxes and matching Social Security, FICA?
[00:18:16.546 --> 00:18:22.428]  I mean, this lie that 47% of the public are avoiding taxes is a hoax, is it not?
[00:18:22.788 --> 00:18:23.629]  Yes, it's a hoax.
[00:18:24.569 --> 00:18:27.651]  Most of the things they tell you are a hoax.
[00:18:27.671 --> 00:18:29.873]  They also tell you that the rich don't pay taxes.
[00:18:30.833 --> 00:18:37.938]  But the IRS statistics of income show that the rich pay almost all the taxes because they have most of the income.
[00:18:39.339 --> 00:18:46.444]  And so, just about everything people think they know about the income tax system is wrong.
[00:18:47.264 --> 00:18:52.968]  Well, there are some international corporations, though, in offshoring, they are avoiding a lot of taxes.
[00:18:56.583 --> 00:18:57.644]  Not necessarily.
[00:18:57.664 --> 00:19:00.445]  You see, you're taxed on your worldwide income.
[00:19:00.945 --> 00:19:16.613]  If you're paying, if you're a global corporation, say you're operating in the United States and say Europe, for example, and you're taxed in Germany and France, then that income is an offset to those earnings.
[00:19:17.814 --> 00:19:21.876]  And it is not, again, taxed by the United States government.
[00:19:22.975 --> 00:19:29.917]  So it's not really the case that they can avoid taxes.
[00:19:29.997 --> 00:19:30.637]  All right, stay there.
[00:19:30.677 --> 00:19:31.477]  We got a break then.
[00:19:31.677 --> 00:19:35.338]  Why then do we see the mega corporations always lobbying for more taxes?
[00:19:35.699 --> 00:19:38.999]  Or the big health care insurance companies lobbying for health care?
[00:19:39.740 --> 00:19:44.621]  We'll ask Dr. Roberts that question when we come back and talk about where he sees this nation going.
[00:19:45.221 --> 00:19:47.922]  As he said last week, the economy is being destroyed by design.
[00:19:47.942 --> 00:19:49.102]  We'll get him to expand on that.
[00:19:49.442 --> 00:19:50.423]  Stay with us, Dr. Roberts.
[00:19:50.743 --> 00:19:51.423]  I'm Alex Jones.
[00:19:52.782 --> 00:19:57.043]  We all know that the Berkey water purification systems are the most trusted name of water filtration.
[00:19:57.383 --> 00:20:04.925]  As an authorized Berkey dealer for over four years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water systems.
[00:20:05.185 --> 00:20:19.968]  The revolutionary Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and removes harmful chemicals such as herbicides and pesticides.
[00:20:20.288 --> 00:20:29.573]  Order the Berkey Light System today, complete with two black Berkey elements for only $209, and the Berkey Guy will include three Sport Berkey water bottles and ship everything to you free of charge.
[00:20:29.793 --> 00:20:36.476]  That's right, three Sport Berkey water bottles and free shipping, an $87 value, yours free, but only for a limited time.
[00:20:36.736 --> 00:20:38.437]  Just call the Berkey Guy at 1-877-886-3653 now to order.
[00:20:38.457 --> 00:20:40.118]  That's 1-877-886-3653, or order online now at GoBerkey.com.
[00:20:40.138 --> 00:20:40.958]  That's GoBerkey.com today!
[00:20:52.282 --> 00:20:57.564]  One major world crisis away from having a totalitarian type of system.
[00:20:57.644 --> 00:21:00.325]  The main event is the wholesale destruction of the world economy.
[00:21:00.345 --> 00:21:04.947]  The push for every nation on the globe to identify and number all of its citizens.
[00:21:05.747 --> 00:21:10.229]  Friends, I hope that you will order Shadow Government from InfoWars.com.
[00:21:10.249 --> 00:21:14.791]  We also have some specials when you get some of our other films half price when you order Shadow Government.
[00:21:15.271 --> 00:21:26.318]  A new level in production quality and in information exposes how a cashless society, surveillance beast grid of total control is being put into place.
[00:21:26.498 --> 00:21:28.079]  This film needs to be seen.
[00:21:28.359 --> 00:21:29.260]  Everybody needs to get it.
[00:21:29.500 --> 00:21:30.620]  So order yours today.
[00:21:30.700 --> 00:21:34.643]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[00:21:36.115 --> 00:21:37.677]  Shadow Government, ladies and gentlemen.
[00:21:37.717 --> 00:21:39.860]  Get your copy at InfoWars.com today.
[00:21:40.200 --> 00:21:40.921]  Shadow Government.
[00:21:41.221 --> 00:21:42.643]  It gives Big Brother a black eye.
[00:21:43.464 --> 00:21:46.728]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[00:21:52.202 --> 00:21:55.466]  Jim Newcomer with Midas Resources, talking today about change.
[00:21:55.706 --> 00:22:00.891]  Not the change we were promised by President Obama, but the reality that we must face in these changing economic times.
[00:22:01.112 --> 00:22:08.720]  With our national debt currently exceeding $12.5 trillion, and our unfunded liabilities totaling over $107 trillion, the value of the U.S.
[00:22:08.740 --> 00:22:10.642]  dollar continues its slide into oblivion.
[00:22:10.802 --> 00:22:15.263]  There's still time to ensure your financial security with precious metals, but you need to act today.
[00:22:15.544 --> 00:22:24.506]  Call me, Jim Newcomer, at 800-686-2237, extension 104, and we can explore how Midas Resources can help you secure your financial future.
[00:22:24.686 --> 00:22:32.929]  With our government continuing to find new ways to spend our money at the expense of our children and grandchildren, there's still time to acquire a true hedge against inflation with precious metals.
[00:22:33.169 --> 00:22:43.953]  Call me, Jim Newcomer, at 800-686-2237, extension 104, and we'll discuss how you can take physical possession or convert your IRA into precious metals before it's too late.
[00:22:43.973 --> 00:22:51.536]  800-686-2237, extension 104, and make the commitment today to retain the security you worked a lifetime to establish.
[00:22:52.336 --> 00:22:53.937]  Normal blood pressure, naturally.
[00:22:54.097 --> 00:22:55.217]  How would that make you feel?
[00:22:55.437 --> 00:22:56.818]  I'm Don from New Mexico.
[00:22:57.158 --> 00:22:59.458]  January of 2000, I had a heart attack.
[00:22:59.699 --> 00:23:06.981]  Then my real health began going downhill, and I had high blood pressure, high blood sugar, poor vision, and I really wasn't sleeping well.
[00:23:07.261 --> 00:23:08.622]  I was a mess, pretty much.
[00:23:08.762 --> 00:23:11.422]  Don reports dramatic improvements with heart and body extract.
[00:23:11.503 --> 00:23:16.564]  I started taking heart and body extract, and from within a few days, I started sleeping a lot better.
[00:23:16.824 --> 00:23:21.866]  My blood pressure normalized, my blood sugar normalized, and my sleep really did improve.
[00:23:22.046 --> 00:23:26.928]  Experience these benefits and more when your body gets what it needs with the assistance of Heart and Body Extract.
[00:23:27.148 --> 00:23:31.189]  Order at HBextract.com or call 866-295-5305.
[00:23:31.569 --> 00:23:36.591]  That's HBextract.com or call 866-295-5305.
[00:23:36.851 --> 00:23:39.612]  Folks, I did not expect this at all.
[00:23:39.632 --> 00:23:44.314]  By the 7th, 8th, and 9th day, I saw dramatic improvements from taking Heart and Body Extract.
[00:23:44.354 --> 00:23:48.915]  Details at HBextract.com or call 866-295-5305 for Heart and Body Extract.
[00:24:00.399 --> 00:24:04.182]  Dr. Paul Craig Roberts, again, our guest, joining us on April 15, 2010.
[00:24:04.303 --> 00:24:10.168]  I want to open the phones up for Dr. Roberts, 1-800-259-9231.
[00:24:10.188 --> 00:24:12.610]  We'll take a few calls before he leaves us.
[00:24:13.070 --> 00:24:14.391]  Okay, Doc, this is a short segment.
[00:24:14.852 --> 00:24:19.175]  Fleshing out, expanding on that point you're making, that they're destroying the economy by design.
[00:24:19.335 --> 00:24:19.736]  Why?
[00:24:20.236 --> 00:24:26.662]  Why are some of the biggest corporations in the world, with government, pushing to turn people into indentured servants?
[00:24:28.257 --> 00:24:37.924]  Yes, well, I think to make people aware of that fact is probably more important than to know all the reasons why.
[00:24:37.944 --> 00:24:50.833]  A lot of it is a result of unintended consequences and most of the rest is a result of short-term greed.
[00:24:52.734 --> 00:24:57.678]  The way the incentive structure for top management corporations is structured
[00:24:59.150 --> 00:25:01.712]  It gives them a very short-term horizon.
[00:25:02.833 --> 00:25:04.954]  They want to know what the profits are next quarter.
[00:25:05.274 --> 00:25:08.016]  The longest horizon they have is full quarters.
[00:25:09.557 --> 00:25:21.465]  And in the way these things are structured, their bonuses that they get for performance far, far exceeds their regular salaries.
[00:25:22.346 --> 00:25:26.329]  So they make themselves multi-million dollar incomes,
[00:25:26.969 --> 00:25:40.758]  By moving American jobs offshore, because they then replace American labor with very, very inexpensive foreign labor in countries where there's a huge surplus of unemployed labor.
[00:25:41.258 --> 00:25:48.263]  In China, for example, a couple hundred million unemployed people to draw on.
[00:25:49.984 --> 00:25:58.290]  By severely cutting their labor costs, the profits jump dramatically and they get enormous bonuses.
[00:25:58.771 --> 00:26:01.993]  And that's the basic source of it.
[00:26:02.053 --> 00:26:10.620]  And it's why the prospects, the economic prospects for millions of Americans are gone.
[00:26:10.900 --> 00:26:14.242]  And not just people alive today, but future generations.
[00:26:16.064 --> 00:26:21.387]  The kinds of jobs that college graduates used to get are simply disappearing.
[00:26:22.528 --> 00:26:31.174]  They're moved abroad, or they are filled with foreign guest workers on H-1B visas and L-1 visas.
[00:26:32.034 --> 00:26:36.557]  And so it's actually making the universities redundant.
[00:26:36.617 --> 00:26:47.883]  Why in the world did you go pursue university careers with the notion of some professional career that's been destroyed by the offshoring of the jobs?
[00:26:48.483 --> 00:26:52.966]  So it's having a tremendous adverse impact on the United States.
[00:26:53.266 --> 00:26:56.447]  And you and other economists talk about how these jobs aren't coming back.
[00:26:56.507 --> 00:27:01.008]  It took hundreds of years to build what we've got, now just a few decades to destroy it.
[00:27:01.988 --> 00:27:06.449]  There was open discussion by the IMF and World Bank now of the dollar going down.
[00:27:06.810 --> 00:27:11.251]  They're saying they need more bailouts, VAT taxes, sales taxes, carbon taxes.
[00:27:11.591 --> 00:27:19.413]  When any economist worth their salt knows in a stalling economy, you throw more taxes on, that will just accelerate the economy's implosion.
[00:27:20.791 --> 00:27:21.312]  That's right.
[00:27:21.352 --> 00:27:27.837]  You see, by wrecking the economy, they have worsened the trade deficit dramatically.
[00:27:27.877 --> 00:27:32.781]  They have worsened the federal budget deficit, which they can no longer finance.
[00:27:33.121 --> 00:27:38.626]  And that is a threat to the dollar as a reserve currency, which is a threat to their power of the United States.
[00:27:39.046 --> 00:27:42.589]  And so now it looks like the hard-pressed Americans
[00:27:43.670 --> 00:27:56.259]  Could be hit with new forms of oppressive taxation such as a value-added tax on top of the income and social security tax and state sales taxes and property taxes.
[00:27:57.019 --> 00:28:07.506]  So they have by putting the dollar into jeopardy and having to rescue the dollar in order to rescue the power of the American militarist super state.
[00:28:08.186 --> 00:28:11.609]  They have to drive the population or 96% of it.
[00:28:13.510 --> 00:28:13.790]  I think?
[00:28:28.869 --> 00:28:33.330]  In a way that people haven't experienced in the longest, longest time.
