[00:00:00.009 --> 00:00:00.489]  We're live, my friends.
[00:02:02.189 --> 00:02:05.356]  Only 1% see it as the top problem in the country.
[00:02:06.923 --> 00:02:07.624]  One percent!
[00:02:07.684 --> 00:02:09.005]  People really understand that.
[00:02:09.346 --> 00:02:15.933]  But 9-11 has been used to kill this country's liberties and freedoms that make the United States so special.
[00:02:16.353 --> 00:02:23.241]  So we're going to be breaking that down, the latest Ground Zero mosque distractions, the Koran burning distractions.
[00:02:23.261 --> 00:02:25.383]  We're going to be discussing it all today.
[00:02:25.884 --> 00:02:27.806]  And the New York Observer has now reported...
[00:02:28.306 --> 00:02:38.855]  Paul Watson and Curt Nemo and myself wrote about and spoke about in the last month that the Ground Zero Mosque is a Trilateral Commission CFR-CIA front.
[00:02:39.775 --> 00:02:48.483]  And here it is, New York Observer, today, today, with the headline that it's a CIA operation.
[00:02:50.064 --> 00:02:50.644]  Bin Laden.
[00:02:51.624 --> 00:02:58.709]  Saddam Hussein, Fidel Castro, how many of these people, how many of these groups are manufactured?
[00:02:59.349 --> 00:03:01.191]  We'll be discussing that today.
[00:03:01.231 --> 00:03:10.097]  We've got massive economic news, we've got the election news, now numbers showing that the Republicans will win the House conservatively, and may even win the Senate.
[00:03:10.717 --> 00:03:12.318]  What does that mean in the big picture?
[00:03:12.979 --> 00:03:16.862]  We've got the mainline GOP still targeting Tea Party, Patriot candidates.
[00:03:17.203 --> 00:03:20.145]  When they go after a Tea Party candidate, you know that's the seal of approval.
[00:03:20.746 --> 00:03:26.010]  You know they're really good, like Rand Paul when the GOP tried to shoot him down in the Republican primary.
[00:03:26.030 --> 00:03:29.233]  We're going to be talking about that as well today.
[00:03:30.672 --> 00:03:49.089]  After this quick break that is coming up, and Boehner, the Republican leader in the House, is saying that he will accept any tax cut from Barack Obama, any of the different groups that are having their taxes raised, he'll accept a middle class tax cut and allow the rich to be taxed.
[00:03:50.987 --> 00:03:57.893]  If you're making $250,000 a year in a couple, that's $125,000 a piece, your taxes are going way up.
[00:03:58.353 --> 00:04:01.856]  Let me tell you, somebody making $125,000 a year is not rich.
[00:04:02.376 --> 00:04:03.577]  They're lower middle class.
[00:04:03.958 --> 00:04:07.541]  It's people like that that make the entire economy go around.
[00:04:08.061 --> 00:04:10.863]  These billionaire elitists and the rest of them taking their money offshore.
[00:04:11.324 --> 00:04:28.177]  It's that tiny middle class making $100,000, $200,000 a year that goes to your cleaners, your restaurants, that buys cars, that buys boats, that buys clothes, that buys gasoline, that pays for people to have their house cleaned, and they're targeting them.
[00:04:28.517 --> 00:04:33.160]  And the Republicans are saying, okay, we'll accept the tax on the rich.
[00:04:33.821 --> 00:04:37.484]  The true rich, you got all the loopholes written, where they pay very low taxes.
[00:04:38.663 --> 00:04:41.465]  But you got the general dumbed-down public thinking if you make $125,000 a year, you're rich.
[00:04:41.485 --> 00:04:43.947]  Yeah, make $125,000 a year, pay $40,000, $50,000 of it in taxes, keep $60,000.
[00:04:44.347 --> 00:04:44.647]  That's not rich.
[00:04:44.667 --> 00:04:45.127]  We'll be right back.
[00:04:45.147 --> 00:04:45.468]  Stay with us.
[00:04:54.096 --> 00:04:58.019]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:04:58.259 --> 00:05:04.304]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:05:04.684 --> 00:05:11.770]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:05:12.070 --> 00:05:16.614]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:05:16.934 --> 00:05:25.423]  Get a free, detailed catalog by calling 800-340-7091 or see them online at 5starsoap.com or infowars.com.
[00:05:25.603 --> 00:05:29.327]  Let's talk to the owner of 5 Star Soap, Marty Schachter, and see what he has to say.
[00:05:29.847 --> 00:05:36.031]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:05:36.611 --> 00:05:40.033]  I'm happy to say our business is going down the drain.
[00:05:40.513 --> 00:05:46.797]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying a 1-2 month soap sampler.
[00:05:46.877 --> 00:05:48.098]  Thank you.
[00:05:55.014 --> 00:06:00.037]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:06:00.417 --> 00:06:02.759]  Because there's a war on for your mind.
[00:06:09.824 --> 00:06:14.767]  Ladies and gentlemen, while most Americans are watching football or getting drunk,
[00:06:16.272 --> 00:06:17.133]  I'm here live.
[00:06:17.473 --> 00:06:18.694]  I'm here six days a week.
[00:06:19.474 --> 00:06:20.955]  Monday through Friday 11 a.m.
[00:06:20.975 --> 00:06:21.575]  to 2 p.m.
[00:06:21.635 --> 00:06:22.056]  Central.
[00:06:22.376 --> 00:06:23.837]  Back Sundays 4 to 6 p.m.
[00:06:23.897 --> 00:06:24.297]  Central.
[00:06:24.777 --> 00:06:26.799]  It is the 12th day of September 2010.
[00:06:27.219 --> 00:06:30.941]  We're going to be live here for the next two hours.
[00:06:30.981 --> 00:06:37.285]  The websites are InfoWars.com and PrisonPlanet.com.
[00:06:37.726 --> 00:06:40.848]  And we're also simulcasting the entire radio transmission in a
[00:06:41.368 --> 00:06:50.532]  Full living color, four camera shoot so you can see the video clips we're going to play, so you can see all the different news articles and legislation and documents we're going to show.
[00:06:50.572 --> 00:07:00.436]  In fact, give me a document cam shot, please, crew, of the entire desk here of all the different stacks of news I have here in front of me.
[00:07:01.197 --> 00:07:07.960]  We have Boehner, the leader of the Republicans, saying he'll accept any tax cut from Obama instead of fighting
[00:07:08.800 --> 00:07:20.768]  To end the so-called tax on the rich, you make $125,000 a year individually, or $250,000 a year as a couple, you're going to see your taxes go up massively.
[00:07:21.129 --> 00:07:22.310]  But they call that the rich!
[00:07:22.770 --> 00:07:23.530]  And Boehner...
[00:07:24.671 --> 00:07:26.772]  Is saying that he's now going to accept that.
[00:07:27.112 --> 00:07:29.133]  I have his quotes here in the Associated Press.
[00:07:29.433 --> 00:07:34.435]  He's hoping Obama will not raise taxes on people making $50,000 a year.
[00:07:34.455 --> 00:07:41.237]  Of course Obama lied and said he wouldn't raise taxes unless you made $250,000 individually.
[00:07:41.677 --> 00:07:44.538]  And now he's raised taxes basically on everybody.
[00:07:44.958 --> 00:07:49.300]  And even the Associated Press has a fact check report today admitting that.
[00:07:49.780 --> 00:07:56.203]  Admitting that it's an overall 25% increase in insurance premiums on those that are already insured.
[00:07:57.203 --> 00:08:00.485]  Obama's now admitting that it doesn't cover pre-existing conditions.
[00:08:00.525 --> 00:08:08.108]  That it makes 30 plus million Americans go out and get insurance, overpriced insurance.
[00:08:08.648 --> 00:08:16.452]  This is slavery and it was written by the insurance companies, owned by the big mega banks, another banker bailout.
[00:08:17.403 --> 00:08:19.305]  But the Republicans wouldn't tell you that.
[00:08:19.725 --> 00:08:23.249]  No, that would have actually defeated the legislation.
[00:08:23.689 --> 00:08:28.655]  And you watch, when they get into power, they're not going to fully repeal this health care takeover.
[00:08:28.915 --> 00:08:29.956]  You just watch.
[00:08:30.476 --> 00:08:39.506]  Just like the Republicans could score major political points and defeat all of the tax increases that are coming up, they're not going to put up a fight.
[00:08:40.006 --> 00:08:42.208]  In fact, put that AP headline back up there for folks.
[00:08:42.228 --> 00:08:43.008]  Here's the headline.
[00:08:43.088 --> 00:08:47.832]  Boehner, that's the Republican leader of the House, says he'd support a middle-class tax cut.
[00:08:48.072 --> 00:09:01.463]  And he went on to say that, well, if he can't get Obama to get rid of the increase on people making $125,000 individually, or a quarter million per household, that he'll accept any tax cut and go along with that.
[00:09:03.665 --> 00:09:07.808]  You know, ladies and gentlemen, California massively raised taxes two years ago.
[00:09:08.188 --> 00:09:08.709]  And guess what?
[00:09:09.673 --> 00:09:11.594]  Tax receipts are way down two years later.
[00:09:12.135 --> 00:09:14.997]  You raise taxes, less money comes in.
[00:09:15.397 --> 00:09:19.960]  Kennedy cut taxes by 50% in 1961.
[00:09:20.320 --> 00:09:21.541]  Guess what happened to tax receipts?
[00:09:21.761 --> 00:09:24.443]  They more than doubled!
[00:09:24.943 --> 00:09:25.884]  Doubled!
[00:09:26.344 --> 00:09:27.825]  Ronald Reagan cut taxes.
[00:09:28.065 --> 00:09:31.067]  There was over a 30% increase in tax receipts.
[00:09:31.107 --> 00:09:34.349]  The government knows that, ladies and gentlemen.
[00:09:34.770 --> 00:09:37.852]  They know when you slap a tax on people making $125,000 a year,
[00:09:39.633 --> 00:09:41.835]  They know that when they raise taxes, that it destroys the economy.
[00:09:59.431 --> 00:10:01.013]  But they want the control.
[00:10:01.373 --> 00:10:03.455]  They want to eradicate the middle class.
[00:10:03.775 --> 00:10:08.520]  They want to bankrupt the American people with NAFTA and GATT and globalism.
[00:10:08.640 --> 00:10:10.262]  It's stated by the Club of Rome.
[00:10:10.582 --> 00:10:12.304]  It's stated by the United Nations.
[00:10:12.644 --> 00:10:16.769]  And Newt Gendrich, one of the main leaders of the Republican Party, supports global government.
[00:10:17.089 --> 00:10:18.891]  He supports global carbon taxes.
[00:10:19.131 --> 00:10:20.532]  He supports all of this.
[00:10:20.933 --> 00:10:22.775]  And if you think he's going to save you,
[00:10:23.135 --> 00:10:24.655]  You've got another thing coming.
[00:10:24.695 --> 00:10:28.076]  They're going to take over this Republican revolution, just like they did in 1994.
[00:10:28.276 --> 00:10:34.678]  They're going to have globalist CFR types take it over and run it straight into the ground.
[00:10:34.698 --> 00:10:36.058]  And remember you were told this.
[00:10:36.398 --> 00:10:45.060]  Two, three years from now, when the depression's even deeper, and the Republicans have done nothing but put window dressing on what Obama rammed through, just remember that.
[00:10:45.640 --> 00:10:51.905]  And all you Democrats, five, six years from now, who are getting ready to vote a Democrat back into the presidency.
[00:10:52.346 --> 00:10:54.608]  And getting ready to give the House and Senate back to the Democrats.
[00:10:55.128 --> 00:10:57.610]  Now right now the Democrats have got it, the Republicans are about to get it.
[00:10:58.291 --> 00:11:00.673]  You just remember down the road that I told you.
[00:11:00.953 --> 00:11:02.114]  You just remember that.
[00:11:02.434 --> 00:11:06.118]  Because these globalists are on record how they finance both sides.
[00:11:06.378 --> 00:11:08.480]  How they control our society.
[00:11:08.520 --> 00:11:09.561]  So I'm hopping mad.
[00:11:09.581 --> 00:11:12.763]  I'm going to be going over that as well today.
[00:11:13.764 --> 00:11:19.966]  And obviously we're going to talk about all of the sideshows that went on over the weekend.
[00:11:20.566 --> 00:11:28.469]  The burning Korans, and the Ground Zero mosque, and the protests, and the demonstrations, and all of it.
[00:11:29.049 --> 00:11:39.393]  Over a month ago, I did research, and so did my other in-house researchers, Paul Watson, Steve Watson, Curt Nemo, Aaron Dykes, and we published article, after article, after article,
[00:11:39.813 --> 00:11:43.115]  Pointing out that the CIA was funding the Ground Zero mosque.
[00:11:43.436 --> 00:11:46.037]  Pointing out that the Trilateral Commission was funding it.
[00:11:46.278 --> 00:11:48.279]  Pointing out that the CFR was involved.
[00:11:48.419 --> 00:11:49.840]  That this imam's a globalist.
[00:11:50.020 --> 00:11:58.746]  That the second biggest shareholder in News Corp, that owns Fox, I talked about it last weekend, was funding this stinking diversion.
[00:11:59.507 --> 00:12:01.829]  Well, what's the New York Observer reporting today?
[00:12:01.849 --> 00:12:04.571]  A well-known, respected, conservative publication.
[00:12:06.127 --> 00:12:13.550]  Here's the headline, New York Observer, untangling the bizarre CIA links to the Ground Zero Mosque.
[00:12:16.731 --> 00:12:33.778]  You know, a week and a half ago we published the secret FBI document that was leaked to us about how they were worried about violence and worried about reprisals to Christians worldwide and ABC News finally quoted us and reported on this yesterday.
[00:12:34.790 --> 00:12:46.300]  Just like we broke the MIAC and Homeland Security reports, where almost all of the anti-terror training that's going on in this federal government is for conservatives and gun owners and libertarians.
[00:12:46.980 --> 00:13:03.494]  So, while they finance radical Muslims to scare Americans to accept naked body scanners in the courthouses, and the airports, and the public schools, and the mobile scanners, and while they sell you on this police state, and you're like, yeah, I'll give my rights up because men in turbans might
[00:13:03.874 --> 00:13:08.537]  You know, come out of my closet at night and rip my head off, or come out from under the bed and kill me.
[00:13:09.038 --> 00:13:11.419]  Meanwhile, who created the Taliban and Al Qaeda?
[00:13:11.680 --> 00:13:12.360]  CIA.
[00:13:12.540 --> 00:13:13.001]  On record.
[00:13:13.281 --> 00:13:15.222]  Who put Saddam Hussein into power?
[00:13:15.542 --> 00:13:16.343]  CIA.
[00:13:17.684 --> 00:13:18.124]  Oh yes.
[00:13:18.565 --> 00:13:22.207]  Who overthrew secular governments in the Middle East over and over again?
[00:13:22.427 --> 00:13:23.528]  Like Operation Ajax, 1953, Iran.
[00:13:23.548 --> 00:13:23.628]  CIA.
[00:13:23.668 --> 00:13:23.888]  On record.
[00:13:28.132 --> 00:13:30.074]  And who's funding that mosque?
[00:13:30.594 --> 00:13:33.916]  You think this whole thing just got announced coming up on the ninth anniversary?
[00:13:34.197 --> 00:13:39.501]  You think these people burning Korans just popped up because they're loonies or they're crazies?
[00:13:40.001 --> 00:13:41.082]  No, ladies and gentlemen.
[00:13:41.482 --> 00:13:55.152]  This is staged, staged, staged, staged, so that they can hype the Muslims up, the radical Muslims, to go out and burn and beat people up, which is now happening in the West Bank and in Indonesia.
[00:13:56.087 --> 00:14:04.292]  From far Asia to the Middle East, I've got the news articles here, mainstream news today, beating up Christians, burning buildings down.
[00:14:04.972 --> 00:14:09.615]  It's going on all over the place and people then go, my gosh, those Muslims are scary.
[00:14:09.975 --> 00:14:12.317]  We better give our rights up to the government to protect us.
[00:14:12.577 --> 00:14:23.584]  Meanwhile, the homeland security documents that were leaked to us by a federal marshal and by a state police officer that made national news a year and a half ago, last year, because they're concerned,
[00:14:24.204 --> 00:14:27.845]  Reports that it's almost all going on for you.
[00:14:28.205 --> 00:14:31.965]  Returning veterans, gun owners, conservatives, libertarians.
[00:14:32.205 --> 00:14:47.348]  So while you're running around getting your knickers all tied up in a knot, worried about Al-Qaeda gonna get you, you better remember that these wind-up toy Muslim extremists are being funded and financed and protected.
[00:14:48.348 --> 00:14:51.569]  You remember the underwear bombing on Christmas Day?
[00:14:53.240 --> 00:14:58.345]  And the media came out and announced, we are just now decided to put the naked body scanners in.
[00:14:58.545 --> 00:15:03.409]  And I showed you mainstream reports from a year before when the feds ordered these hundreds and hundreds of scanners.
[00:15:03.770 --> 00:15:04.310]  They were lying.
[00:15:04.330 --> 00:15:06.112]  They didn't make the decision last Christmas.
[00:15:07.393 --> 00:15:17.482]  Then, a lawyer and another woman who were on the plane contacted us and said, look, we were there and watched a smart-dressed man get him on the plane without a passport.
[00:15:18.749 --> 00:15:23.574]  They called those gentlemen liars in the news.
[00:15:23.914 --> 00:15:28.318]  And then the head of the State Department came out and said, no, it's true.
[00:15:28.759 --> 00:15:30.641]  An unnamed government U.S.
[00:15:30.721 --> 00:15:34.965]  agency ordered the State Department to get him on the plane without a passport or visa.
[00:15:36.437 --> 00:15:37.518]  And it was confirmed.
[00:15:37.778 --> 00:15:42.781]  They took that lunatic nutcase, protected him, and stuck him on the airplane!
[00:15:43.541 --> 00:15:45.142]  So they can take your rights!
[00:15:45.563 --> 00:15:46.963]  Do you understand that?
[00:15:47.204 --> 00:15:48.204]  Do you get that?
[00:15:48.464 --> 00:15:50.426]  The CIA runs that mosque!
[00:15:50.746 --> 00:15:51.506]  This is the truth!
[00:15:51.746 --> 00:15:53.087]  You'll get it nowhere else!
[00:15:53.367 --> 00:15:54.128]  We'll be right back!
[00:15:55.390 --> 00:15:59.212]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[00:15:59.472 --> 00:16:05.194]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[00:16:05.454 --> 00:16:09.256]  Go to HomeGain.com and see what I'm talking about.
[00:16:09.636 --> 00:16:15.979]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[00:16:16.359 --> 00:16:19.260]  This is a great way to be able to monitor the value of your home.
[00:16:19.680 --> 00:16:21.181]  And again, it's absolutely free.
[00:16:21.781 --> 00:16:23.422]  There are tons of tools to help you.
[00:16:23.822 --> 00:16:27.285]  For instance, if you want to remodel your home, go to HomeGain.com.
[00:16:27.605 --> 00:16:34.169]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[00:16:34.390 --> 00:16:37.492]  For 10 years, these folks have been helping home sellers and buyers.
[00:16:37.952 --> 00:16:39.895]  Visit their link at InfoWars.com.
[00:16:40.316 --> 00:16:45.384]  Look for Max, the Orange Home Gain Gorilla, to help you with any real estate needs you might have.
[00:16:45.725 --> 00:16:46.746]  You'll love this site.
[00:16:46.967 --> 00:16:48.369]  It's HomeGain.com.
[00:16:48.830 --> 00:16:51.394]  H-O-M-E G-A-I-N.com.
[00:16:51.714 --> 00:16:52.476]  Check them out today.
[00:16:54.827 --> 00:16:57.590]  Listen up friends, this is Alex Jones with key information.
[00:16:57.971 --> 00:17:01.475]  The mainstream media is now admitting that we're going into a depression.
[00:17:01.755 --> 00:17:04.398]  Don't be dependent on the government for you and your family.
[00:17:04.638 --> 00:17:09.584]  You need to get your own supply of high quality storable foods from efoodsdirect.com.
[00:17:10.004 --> 00:17:15.627]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[00:17:15.947 --> 00:17:21.310]  It's all fresh, made on a monthly basis, not some old cruddy food they're selling you like some of the other guys.
[00:17:21.630 --> 00:17:25.892]  Try their new evacuation pack, a two-week supply of delicious, easy-to-fix food.
[00:17:26.152 --> 00:17:34.296]  It comes with all the equipment you need to prepare it, with open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[00:17:34.656 --> 00:17:36.437]  Get yourself and your family ready today.
[00:17:36.857 --> 00:17:38.900]  The place to go is efoodsdirect.com.
[00:17:39.220 --> 00:17:46.730]  Go to their website online right now, efoodsdirect.com forward slash Alex, or call 800-409-5633.
[00:17:47.071 --> 00:17:52.097]  Again, on the web, efoodsdirect.com forward slash Alex, or give them a call at 800-409-5633.
[00:17:55.307 --> 00:18:00.752]  When you're out on the road, the last place you want to be is on the road.
[00:18:01.953 --> 00:18:06.717]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:18:07.097 --> 00:18:13.903]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:18:15.825 --> 00:18:18.147]  They sew pride in every stitch.
[00:18:19.909 --> 00:18:22.231]  Guarantee you'll love the way they fit.
[00:18:24.315 --> 00:18:28.196]  They put a Diamond Gusset in the crotch, where you need it most.
[00:18:28.896 --> 00:18:32.017]  Blue Diamond Gussets, got it.
[00:18:32.737 --> 00:18:33.557]  Others don't.
[00:18:33.977 --> 00:18:35.858]  We turn jeans inside out.
[00:18:36.118 --> 00:18:37.638]  Diamond Gusset Jeans.
[00:18:37.898 --> 00:18:40.459]  Made in the USA with unparalleled quality.
[00:18:40.799 --> 00:18:47.040]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:18:47.420 --> 00:18:49.621]  Order yours at gusset.com.
[00:18:50.121 --> 00:18:52.142]  Diamond Gusset Jeans, got it.
[00:18:52.482 --> 00:18:52.902]  Others don't.
[00:18:54.534 --> 00:18:58.758]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:18:59.078 --> 00:18:59.698]  Number one.
[00:18:59.999 --> 00:19:03.141]  New climate legislation could easily double or triple your electric bill.
[00:19:03.422 --> 00:19:03.982]  Number two.
[00:19:04.282 --> 00:19:08.826]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:19:09.166 --> 00:19:09.627]  It's true.
[00:19:09.907 --> 00:19:14.471]  Total government control of electricity in the name of smart grid technology is coming.
[00:19:14.791 --> 00:19:15.332]  Number three.
[00:19:15.612 --> 00:19:18.895]  In some areas of the country, the power grid is dangerously overloaded.
[00:19:19.195 --> 00:19:22.898]  And now, new socialist legislation is only compounding the problem.
[00:19:23.098 --> 00:19:23.638]  Number 4.
[00:19:23.899 --> 00:19:26.260]  Dangerous weather is always a threat to local grids.
[00:19:26.661 --> 00:19:30.043]  Every year, thousands of families lose their power from weather-related outages.
[00:19:30.343 --> 00:19:30.543]  Number 5.
[00:19:31.124 --> 00:19:35.046]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:19:35.267 --> 00:19:40.030]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:19:40.310 --> 00:19:44.352]  You can get more information at www.mysolarbackup.com.
[00:19:44.492 --> 00:19:46.072]  That's mysolarbackup.com.
[00:19:46.272 --> 00:19:48.373]  Remember, the government doesn't own the sun.
[00:19:48.513 --> 00:19:51.114]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:19:51.134 --> 00:19:57.236]  Coast to Coast.
[00:19:57.597 --> 00:19:59.017]  Direct from Austin.
[00:19:59.657 --> 00:20:02.859]  You're listening to the Alex Jones Broadcasting Network.
[00:20:09.534 --> 00:20:15.818]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:18.559 --> 00:20:24.743]  Coming up, I'm going to get into all the economic developments, and they're big as the depression intensifies by design.
[00:20:26.004 --> 00:20:33.466]  We're going to look at the Republicans getting ready to sell out the American people, working with the Democrats to allow most of Obama's tax increases.
[00:20:33.546 --> 00:20:36.867]  It'll completely shut down what's left of the economy to go through.
[00:20:36.887 --> 00:20:41.489]  We're going to discuss it all, but I want to quantify what I was getting into in the last segment.
[00:20:43.391 --> 00:20:48.054]  It is a fact that in 1958 Saddam Hussein was hired by the U.S.
[00:20:48.094 --> 00:20:52.757]  government, trained for four years in Egypt, used as an assassin against the Ba'ath Party.
[00:20:53.117 --> 00:20:56.659]  Then they made a deal with the Ba'ath Party to make him the head of security in 69.
[00:20:56.979 --> 00:20:58.640]  Then he staged a coup in 79.
[00:20:59.061 --> 00:21:04.344]  Then $35 billion was given to him by our own government to launch a war against Iran.
[00:21:04.584 --> 00:21:07.646]  Then they told him, go ahead and invade Kuwait in 1990.
[00:21:07.886 --> 00:21:09.187]  That was all a big setup.
[00:21:09.527 --> 00:21:12.129]  And women weren't wearing burqas in Iraq a few years ago.
[00:21:12.549 --> 00:21:13.210]  Now they are.
[00:21:13.630 --> 00:21:19.555]  Our government's job is to put Islamic regimes in, so they can then go in and have a war with them afterwards.
[00:21:19.615 --> 00:21:21.336]  They don't want secular governments.
[00:21:21.677 --> 00:21:27.281]  Go back to 1953, Mohammed Mozadek, Time Magazine Man of the Year, pro-US, anti-Soviet.
[00:21:27.822 --> 00:21:30.464]  They went in, hired a bunch of Muslim extremists to overthrow him.
[00:21:30.744 --> 00:21:31.705]  Declassified.
[00:21:32.486 --> 00:21:34.728]  Then they double-crossed those guys and put the Shah in.
[00:21:36.018 --> 00:21:37.399]  This is how they operate.
[00:21:37.739 --> 00:21:44.102]  And remember, the intelligence agencies and those running our Pentagon on record do not represent this country.
[00:21:44.682 --> 00:21:50.285]  They've had the head of the Naval War College a few years ago come out and say they represent Wall Street and the mega banks.
[00:21:50.785 --> 00:21:52.626]  Who's stolen tens of trillions of dollars?
[00:21:52.886 --> 00:21:54.067]  Who's destroying our dollar?
[00:21:54.767 --> 00:21:56.428]  Who's taking our jobs overseas?
[00:21:57.049 --> 00:21:58.410]  Who controls our Congress?
[00:21:58.770 --> 00:22:00.051]  Who passed NAFTA and GATT?
[00:22:00.671 --> 00:22:01.592]  These are globalists.
[00:22:01.632 --> 00:22:02.592]  They want globalism.
[00:22:02.612 --> 00:22:07.155]  And now they openly announce an IMF plan for a world currency called the Bancorp.
[00:22:07.175 --> 00:22:09.197]  It's a digital currency.
[00:22:09.357 --> 00:22:14.740]  We'll still have our regional currencies, but it'll be based and controlled on these systems that they're developing.
[00:22:14.961 --> 00:22:16.081]  And what will back it up?
[00:22:16.161 --> 00:22:17.242]  What will finance it?
[00:22:17.542 --> 00:22:18.423]  Your tax money.
[00:22:18.783 --> 00:22:21.245]  Hundreds and hundreds of new carbon taxes.
[00:22:21.525 --> 00:22:22.666]  And what's the EPA doing?
[00:22:24.278 --> 00:22:25.340]  What's Sebelius doing?
[00:22:25.600 --> 00:22:27.883]  She doesn't care if Congress has said no.
[00:22:28.164 --> 00:22:32.169]  She doesn't care if national polls show 80 plus percent of people are against carbon taxes.
[00:22:32.550 --> 00:22:36.936]  She's going ahead with it via the EPA, outside of law.
[00:22:38.348 --> 00:22:44.852]  And China and India and 160 plus other third world countries don't have to make one cut in carbon.
[00:22:45.132 --> 00:22:45.952]  But you do!
[00:22:46.253 --> 00:22:47.633]  What's that going to do to your jobs?
[00:22:48.114 --> 00:22:52.876]  What's massive tax increases on people making $125,000 a year and above going to do?
[00:22:53.157 --> 00:22:56.238]  It's going to put more nails in the coffin of our economy.
[00:22:57.059 --> 00:22:58.740]  And what does the UN say?
[00:22:58.820 --> 00:23:01.181]  They want a post-industrial society.
[00:23:01.681 --> 00:23:05.904]  They want to bankrupt our society to make us dependent on government.
[00:23:07.145 --> 00:23:15.111]  But continuing, if you go to understand how these globalists, these big banks, I don't mean your corner bank, your local bank, they're a good part of our economy.
[00:23:15.692 --> 00:23:30.823]  And the Texas Banking Association, what, four months ago, put a big article out by their president saying mega offshore banks, the ones that created the derivatives crisis, the ones that got rid of Glass-Steagall, have written this banking reform bill to be able to shut down credit unions and healthy regional banks.
[00:23:31.163 --> 00:23:32.684]  They control the federal regulators.
