[00:00:00.849 --> 00:00:05.891]  Rosalind Peterson is an environmental impact analyst and founder of California Skywatch.
[00:03:43.584 --> 00:03:54.994]  And that day, I had never seen so many jets flying in so many directions, leaving so many huge plumes that turned into the, you know, small trails that turned into these huge plumes in my life.
[00:03:55.074 --> 00:03:56.596]  And I knew that something was wrong.
[00:03:57.216 --> 00:04:01.220]  And that started me investigating what was going on.
[00:04:02.000 --> 00:04:07.885]  In the beginning, when I first began to see, you know, notice the jets, I would see one and then I would see some white haze.
[00:04:08.005 --> 00:04:14.451]  But I never did take notice of really any notice other than some irritation when we hazed out.
[00:04:15.091 --> 00:04:27.561]  However, I can say that when I saw this particular day and I began to pay attention, I could hardly drive straight and I had to pull over all the time just to be able to look at these jets and say, look, this is not normal.
[00:04:28.542 --> 00:04:34.845]  I think that there were a lot of jets flying that day because there were many going in the same direction leaving parallel lines.
[00:04:35.505 --> 00:04:45.510]  And in subsequent days I would see many jets flying where the lines were parallel and there would be five or six or seven or eight all leaving trails at one time.
[00:04:46.090 --> 00:04:49.372]  And I thought that that was really peculiar that there would be so many.
[00:04:50.200 --> 00:05:08.580]  Later I think that there were fewer jets but that they would circle the county and they go up one side of the county on the east side and they go down the west side and then they go up the east side and so they would move around the county in kind of a clock-like, moving around a clock.
[00:05:09.562 --> 00:05:18.504]  Later we discovered from talking to people in different counties that they were looping out over the Pacific Ocean and then coming back in and they were doing these huge loops.
[00:05:18.524 --> 00:05:29.747]  We discovered that from the size of one plume and watching one plume expand that they could cover our skies in solid cloud cover in about three hours here in Mendocino County.
[00:05:30.387 --> 00:05:35.188]  So that became my initiation and then I started to watch before work
[00:05:35.768 --> 00:05:45.130]  During lunch hour, after work, I started taking pictures and I started documenting what I was seeing because I thought that there was something wrong with this picture.
[00:05:45.370 --> 00:05:48.291]  I'd never seen anything like this in my entire lifetime.
[00:05:48.931 --> 00:05:56.053]  My mother, who was in her 80s at the time, I showed her and she said, I've never seen anything like that in all the years I've lived here.
[00:05:56.433 --> 00:05:56.733]  Nothing.
[00:05:57.916 --> 00:06:23.656]  I went to look at NASA studies and NASA in their school program and also in their terminology and their research began to realize that there was a brand new phenomenon that was occurring in which jet contrails, instead of dissipating relatively quickly if you saw them in a few seconds, began to persist and grow and NASA studies proved that they turned into man-made clouds
[00:06:24.497 --> 00:06:30.140]  That would change the climate, exacerbate global warming, impact natural resources.
[00:06:30.941 --> 00:06:38.745]  And they began to show pictures on their website of clouds that look like these in the pictures next to me.
[00:06:39.245 --> 00:06:40.586]  They would show these pictures.
[00:06:41.426 --> 00:06:46.169]  And in showing these pictures, they were like what I was photographing in the skies above us.
[00:06:47.029 --> 00:07:07.152]  So I realized that there was a great deal of interest by many agencies and universities into looking at these and what effect they were having on the climate, what effect they were having on raising humidity, what effect they were having on, in other words, what was going on with these that had changed.
[00:07:08.214 --> 00:07:34.194]  why they were persisting but what happened was that they never did in any of their investigations most of the time they only looked at commercial airlines they didn't look at military uh... emissions and plumes the second thing that they never did is they never took into account that that there might be something environmentally unsound about having our skies covered over with these clouds in the beginning they just noted them
[00:07:34.654 --> 00:07:42.941]  But they never addressed if anything was being sprayed or what changes in the jet or jet fuel or anything else was causing them.
[00:07:43.442 --> 00:07:48.546]  They scrubbed all that documentation so all they did was identify them as persistent jet contrails.
[00:07:49.447 --> 00:07:59.475]  In order to gain some sort of credibility and be able to speak at the United Nations and speak at other areas, if I had used the word, for example, chemtrail,
[00:08:00.416 --> 00:08:12.665]  The United Nations would not have invited me as a keynote speaker because then I would have been talking about something that was listed on all these websites and by the Air Force by NOAA and NASA as a hoax.
[00:08:13.306 --> 00:08:20.051]  So you don't gain the credibility of anyone or any group or agency when you just use the term.
[00:08:20.511 --> 00:08:23.713]  So it didn't behoove me to use it and so I refused to do so.
[00:08:24.574 --> 00:08:31.496]  NASA, first of all, in the late 1980s initiated a schools program for children K through 12.
[00:08:32.717 --> 00:08:37.298]  And they started in some foreign countries and then they brought the program to the United States.
[00:08:38.018 --> 00:08:47.461]  And NASA began to have children starting to count contrails because they said that they're satellites and also that they couldn't count them from the ground.
[00:08:48.081 --> 00:08:53.003]  So therefore they needed school children to do this as part of a kind of like a game.
[00:08:54.023 --> 00:08:58.444]  I think that they really began to want children to think that this was a normal phenomenon.
[00:08:58.665 --> 00:09:02.346]  And so, in the late 1980s, this program started to go through.
[00:09:03.126 --> 00:09:17.270]  When we offered to give our videotapes and our pictures and called up NASA and said, look, we'll provide this because we've done day-to-day, time, date, everything on the pictures and on the videotapes.
[00:09:17.811 --> 00:09:22.072]  And NASA turned us down because school children, as they put it, were more reliable.
[00:09:24.099 --> 00:09:29.221]  Now, the other thing that was odd, I kid you not, this is what I was told.
[00:09:29.301 --> 00:09:33.663]  I mean, I was speechless at this point, but that's what I was told.
[00:09:33.743 --> 00:09:43.647]  So then, the second thing I found out, by calling the National Weather Service, and I would ask them, are you on, you know, online, are you looking at the satellite?
[00:09:43.667 --> 00:09:44.427]  And they said, yes.
[00:09:44.507 --> 00:09:46.868]  And I said, can you look over Ukiah?
[00:09:46.928 --> 00:09:47.949]  And they said, yes.
[00:09:48.049 --> 00:09:50.830]  And I said, well, can you see a jet, you know, leaving a plume?
[00:09:52.009 --> 00:10:04.611]  And so I was on the phone with them and I found that within a few seconds, if a jet leaves the plume and it starts to get a little bit larger, not real small, but a little bit larger, they can see the plume expanding.
[00:10:05.271 --> 00:10:10.352]  And we were talking about the same one that was going right over Ukiah and the plume was expanding.
[00:10:10.792 --> 00:10:16.934]  And I said, well how come in your weather reports you don't talk about this as man-made clouds or persistent jet contrails?
[00:10:17.014 --> 00:10:18.874]  How come you're talking about this
[00:10:20.355 --> 00:10:25.279]  As being a front, a weather front, and they said, well, that's the way we deal with it because it's clouds.
[00:10:25.700 --> 00:10:31.365]  So we look at it that this is being, you know, a weather front is coming through and this would produce these clouds.
[00:10:32.086 --> 00:10:35.188]  Well, I said, but it's not being produced by a weather front.
[00:10:35.229 --> 00:10:37.190]  The barometer is not dropping.
[00:10:37.230 --> 00:10:38.391]  There's nothing going on.
[00:10:38.932 --> 00:10:41.755]  I said, how come you don't just use the terminology?
[00:10:42.415 --> 00:10:43.816]  And he said, well, we just don't.
[00:10:44.517 --> 00:11:01.644]  So it was an odd dichotomy of having your weather reporters who could see these on satellite, which told me that the argument that school children could do better and that they couldn't see the contrails from satellite, they can see them and they can see the cloud cover.
[00:11:02.064 --> 00:11:06.146]  I even found out from the National Weather Service that they can see haze.
[00:11:06.886 --> 00:11:10.047]  They can actually, it's so good, they can identify haze.
[00:11:11.648 --> 00:11:17.314]  So, I begin to think to myself, well, if they're seeing all this, why isn't it being reported?
[00:11:18.195 --> 00:11:31.830]  And it's curious because, now weathermen will talk about it, if the cloud, if Ukiah was, the sun was occluded and all these man-made clouds appeared over Ukiah and covered the whole thing, after three hours,
[00:11:32.911 --> 00:11:39.215]  They would say, well, it was a front, but you could look to the west and there was no cloud and the barometer hadn't dropped.
[00:11:39.775 --> 00:11:42.216]  There was no cloud front coming in from the Pacific.
[00:11:42.276 --> 00:11:43.857]  There was none from any direction.
[00:11:44.377 --> 00:11:48.299]  And yet we were covered over in this man-made clouds and haze.
[00:11:48.960 --> 00:11:51.521]  And they were saying that this was part of a weather front.
[00:11:51.561 --> 00:11:58.185]  So I began to find that I was not happy with what was being said about what we were seeing in the skies.
[00:11:59.185 --> 00:12:10.210]  So then it became identifying how long these trails persisted, filming them over time to see how much they expanded, how large someone got.
[00:12:10.570 --> 00:12:18.274]  We looked at the black con trails, we looked at the jets themselves and odd behavior of jets.
[00:12:18.474 --> 00:12:27.358]  The configuration on the jets was absolutely terrible because all these agencies were saying it was increasing jet traffic
[00:12:28.098 --> 00:12:35.102]  And yet we could tell from the flight patterns that we got from the FAA that a lot of the flights were not, were military.
[00:12:35.142 --> 00:12:38.644]  They weren't normal flight patterns.
[00:12:39.605 --> 00:12:46.309]  My Congressman Mike Thompson from California First District, due to several inquiries,
[00:12:48.181 --> 00:12:49.142]  We're good to go.
[00:13:06.079 --> 00:13:09.002]  So, he gave me three separate maps.
[00:13:09.382 --> 00:13:17.390]  One is incoming air traffic to Oakland, San Francisco, and San Jose.
[00:13:17.810 --> 00:13:22.395]  One is outgoing flights to those same locations.
[00:13:22.895 --> 00:13:26.438]  And then a third one was what they call intra-flights.
[00:13:27.039 --> 00:13:29.501]  And this is designated on the map in yellow.
[00:13:30.462 --> 00:13:37.465]  What we discovered was in Mendocino County there weren't many commercial flights flying over Mendocino County.
[00:13:38.245 --> 00:13:51.351]  So in not having many commercial flights flying over Mendocino County, we discovered that it was the intraflights that we were seeing looping the loop around the county and making the X's in the cross hatchings.
[00:13:51.931 --> 00:13:55.393]  And from these maps I first learned about intraflights
[00:13:56.253 --> 00:14:00.476]  And I also figured out that commercial airlines were in trouble.
[00:14:01.177 --> 00:14:16.007]  So when you have commercial airlines, if you'll note in the green and the red and the blue areas, all of these flights leave the airport, they take a trajectory and they fly in a straight line to wherever their destination is.
[00:14:16.047 --> 00:14:18.448]  They don't have extra fuel to loop.
[00:14:19.429 --> 00:14:30.100]  The yellow ones, however, they do the loop around the county and they have a few planes, not very many, but they can do many, many loops and back and forth crisscrossing.
[00:14:30.600 --> 00:14:34.544]  So you'll see the loops and that's how we begin to figure out that the jets
[00:14:35.365 --> 00:14:46.596]  Leaving the persistent contrails, which turned into these heavy plumes and cross-hatching, were actually the ones that were the intraflights that were moving around.
[00:14:47.117 --> 00:14:55.204]  But we had very few that flew over Mendocino County itself, so the commercial airline impact for our county is so small here.
[00:14:56.045 --> 00:15:05.350]  Absolutely so small that there wouldn't be the type of impact from seeing many persistent jet contrails from them and they fly straight.
[00:15:05.491 --> 00:15:06.131]  They never loop.
[00:15:06.511 --> 00:15:16.677]  The jets around us look like racetracks sometimes where they're going in an oval around the county or they're going over the Pacific Ocean, over to Lake County and back.
[00:15:16.757 --> 00:15:21.340]  So they're traveling across many counties in these circular patterns.
[00:15:22.000 --> 00:15:27.508]  And this was the first time I had the FAA representation to show this particular endeavor.
[00:15:28.504 --> 00:15:36.151]  Okay, this area here, right here, is Mendocino County, Sonoma County on one side, and Humboldt County on the other side.
[00:15:36.871 --> 00:15:46.300]  But this area here, you can see that the majority of the jet traffic in the green and the red is not covering and not going across our county.
[00:15:47.000 --> 00:15:49.883]  So it's mostly free of commercial air traffic.
[00:15:50.423 --> 00:15:53.966]  Now, the yellow here are what they call intraflights.
[00:15:54.947 --> 00:15:57.748]  And this is where they go in all directions.
[00:15:57.888 --> 00:16:05.292]  Now, there are no flights which leave Sacramento to the east of us that fly out over the Pacific.
[00:16:06.072 --> 00:16:07.092]  No commercial flights.
[00:16:07.593 --> 00:16:10.974]  So therefore, the intra-flights go in this direction.
[00:16:11.314 --> 00:16:12.915]  They go towards Sacramento.
[00:16:13.355 --> 00:16:14.676]  They go in all directions.
[00:16:14.876 --> 00:16:23.980]  But you can see the big loop pattern here, which would give you, if they were leaving persistent jet controls that persisted, then you would see these different loops.
[00:16:25.433 --> 00:16:28.357]  Other jet patterns loop around the county like this.
[00:16:29.078 --> 00:16:42.476]  So we started to see that from this map we learned that intraflights couldn't possibly be commercial airlines because they'd be using so much fuel and they'd be off their schedule.
[00:16:43.217 --> 00:16:46.980]  And so because when you get on a flight they say so much time and you go straight.
[00:16:47.040 --> 00:16:51.644]  You don't loop and loop and loop unless there's a weather problem at an airport or something.
[00:16:51.984 --> 00:16:57.489]  But this is way too far away for them to be looping into the San Francisco Bay Area which is way down here.
[00:16:58.089 --> 00:17:06.316]  So, and these loops are way out of their range for being in any type of feeding pattern to San Francisco, Oakland or San Jose.
[00:17:06.936 --> 00:17:12.441]  So this is when I first learned about inter-flights but this is also when I confirmed that there wasn't much
[00:17:12.961 --> 00:17:15.823]  Air traffic over Mendocino County.
[00:17:15.963 --> 00:17:26.370]  So this made us unique in being able to look at the phenomenon of persistent jet contrails and know that when the jets were going in certain directions, it wouldn't be any type of commercial patterns.
[00:17:27.051 --> 00:17:38.158]  So that's why we know that the big jets flying and the big ones we really saw all of the time, many of them unmarked or not clearly marked, were a part of this inter-flight pattern that you can see on this map.
[00:17:39.079 --> 00:17:44.761]  Persistent geochondrials that persist and stay in the environment for up to 20 hours.
[00:17:44.861 --> 00:17:46.362]  This is like geoengineering.
[00:17:46.402 --> 00:17:52.304]  It means that you're artificially, man-made in some way, changing our environment.
[00:17:52.444 --> 00:18:01.527]  You're adding particulates, you're adding something to the atmosphere, and it's more deliberate than not, but what you can add is you can add particles and chemicals.
[00:18:02.107 --> 00:18:07.029]  Weather modification is geoengineering, making it rain somewhere where it normally wouldn't.
[00:18:07.689 --> 00:18:12.272]  So we have all of these things where we talk about geoengineering.
[00:18:13.032 --> 00:18:25.759]  The interesting part of geoengineering is that it's now being proposed as a way to put particulates in the atmosphere so that we can stop the direct sunlight from reaching the Earth.
[00:18:26.759 --> 00:18:27.160]  I think?
[00:18:44.597 --> 00:18:45.238]  Thank you for watching!
[00:18:59.953 --> 00:19:23.189]  However, when you start taking and talking about, as Holdren is, he's Obama's science advisor, talking about taking care of global warming, in other words, by putting particles in the air, like sulfur or some other particles, then that means that we're going to take some action where we're going to try to interfere with some normal processes that are going on.
[00:19:24.049 --> 00:19:28.852]  And the problem with this, for example, with sulfur, is that sulfur
[00:19:29.975 --> 00:19:43.321]  In the sense of it, we took it out of diesel fuel in California in 2006 and we said we have to clean it up because kids get asthma from sulfur, lots of health problems associated with too much sulfur and diesel fuel.
[00:19:43.841 --> 00:19:55.046]  We take it out of diesel fuel and then someone comes along like Paul Crutzen and he says, we're going to put it up in the atmosphere to obscure the sunlight
[00:19:55.566 --> 00:19:58.788]  So less sunlight reaches the earth and therefore that will cool us down.
[00:19:59.089 --> 00:20:00.329]  But what about the health effects?
[00:20:00.790 --> 00:20:10.737]  If you have to take it out of diesel fuel, then my question is, why are you going to put up something that's not helpful into the atmosphere and try to change the process that we live under?
[00:20:11.277 --> 00:20:12.798]  And that's what geoengineering is.
[00:20:12.858 --> 00:20:20.284]  It's taking something and you're going to artificially induce something into our environment that's going to change for some reason.
[00:20:20.484 --> 00:20:23.046]  For example, stopping global warming or slowing it down.
[00:20:24.150 --> 00:20:26.571]  Let me go back to 2006 in November.
[00:20:28.031 --> 00:20:33.053]  NASA Ames in California had a meeting of geoengineers from all over the world.
[00:20:33.293 --> 00:20:34.253]  It was a big meeting.
[00:20:35.114 --> 00:20:39.275]  It went on for a week, and it was not open to the public.
[00:20:40.015 --> 00:20:46.358]  During the course of this meeting, they were talking about these different geoengineering projects that they were studying.
[00:20:46.858 --> 00:20:53.020]  These were university professors, different people, and there were many proposals that were put forward at this meeting.
[00:20:54.000 --> 00:21:06.817]  I was lucky enough to be present at the one day public event that they had on this meeting where several of the scientists and college professors spoke at this meeting with regard to geoengineering.
[00:21:07.578 --> 00:21:09.701]  One of the things we have on tape
[00:21:10.642 --> 00:21:39.285]  because it was allowed to be videotaped is that they were talking about the word geoengineering and many of the geoengineering people in 2006 said that they had kept the word out of the public realm because they knew that if the public would find out about some of their schemes of putting chemicals into the air, to shooting salt into the air, all kinds of different experiments that the public might say no.
[00:21:40.066 --> 00:21:45.751]  So they actually admitted that they kept the word geoengineering out of text.
[00:21:46.631 --> 00:21:57.560]  You can't find it in a lot of college textbooks at any lower level in high school or you can't find it in undergraduate classes a lot of times in colleges.
[00:21:58.160 --> 00:22:00.602]  I found that to be true because I went back and looked.
[00:22:01.543 --> 00:22:11.506]  So, what happened was, the phrase was taken out, but a lot of scientists were getting money to study how they could interfere with the normal atmospheric conditions.
[00:22:12.086 --> 00:22:23.870]  So, there was weather modification, there was planning to put chemicals or particles in the air, and so these schemes had been around for a long time, but they weren't really discussed in any public forum.
[00:22:24.390 --> 00:22:28.451]  They were discussed within their own clicky group, essentially.
[00:22:29.696 --> 00:22:39.004]  I think that they're trying to begin to put it out to the public because they've been experimenting on it for a long time and they want to do more experiments and they need the funding.
[00:22:39.645 --> 00:22:51.875]  And one of the things that these geoengineers were talking about at their meeting that we heard is that they wanted to be able to take these programs forward and make them public so that they got more funding for experiments with these programs.
[00:22:53.076 --> 00:23:00.301]  This is the curiosity, though, is that they were talking about shooting up ocean water into the atmosphere.
[00:23:00.561 --> 00:23:02.182]  In other words, in salt particulates.
[00:23:02.763 --> 00:23:06.886]  And they knew from some experiments that salt particulates rain out quickly.
[00:23:07.546 --> 00:23:19.074]  Well, if you shoot salt particulates into clouds as a particulate to make it rain, when that cloud rains out over land, you're going to salt up your soils and make it unproductive for agriculture.
[00:23:19.394 --> 00:23:21.496]  You're going to salt up your drinking water sources.
[00:23:22.406 --> 00:23:31.376]  What they wanted to do was add other programs that they wanted to experiment on into the atmosphere to test their different hypotheses.
[00:23:32.637 --> 00:23:33.618]  About their studies.
[00:23:34.138 --> 00:23:44.227]  And in this way they would gain more university funding through the US government, the Pentagon, whoever wanted to know, you know, in other words, sponsor these studies.
[00:23:44.787 --> 00:23:47.109]  Private individuals could also contribute as well.
[00:23:47.669 --> 00:23:53.874]  So a whole culture had built up about how we can put things into the atmosphere to cool us down.
[00:23:53.894 --> 00:23:55.656]  And this is one of them.
[00:23:57.378 --> 00:24:17.881]  I went back and I knew from previous experience working within the California State Government that all drinking water tests for every drinking water source in the state of California, now anything that's a winery, anything that's used for public consumption with so many people except for private wells,
[00:24:19.342 --> 00:24:33.769]  All drinking water sources, every district, every well, every producer of grapes who had a winery on his place and used well water, whatever it was, all had to test their water.
[00:24:34.029 --> 00:24:38.591]  And they have to do the tests that are required, hundreds of them, under the EPA.
[00:24:39.597 --> 00:24:48.781]  It occurred to me that if anything was being sprayed at any one time, if I could identify it, it might be showing up in drinking water tests.
[00:24:49.561 --> 00:24:53.783]  So there's a CD that's public, it's free of charge, anyone can buy it.
[00:24:53.943 --> 00:24:56.945]  It's got about 18 million bytes of data on it.
[00:24:57.865 --> 00:25:01.766]  And you can go up and you can get one or you can email the state.
[00:25:01.806 --> 00:25:05.227]  They'll send you one immediately within three or four days.
[00:25:06.067 --> 00:25:12.989]  And you can look at every drinking water test taken since 1972 in the state of California.
[00:25:14.190 --> 00:25:26.193]  I cannot tell you how many tests this amounts to because every month, every week, they're taking tests all the time, all over the state, different utilities, different districts.
[00:25:27.293 --> 00:25:39.662]  I went back and looked at spreadsheets of every county, city, state, whatever, and I tried to determine from looking at all this data if there was anything that looked unusual.
[00:25:40.463 --> 00:25:46.848]  I found herbicides and pesticides were expected to find them in the Central Valley where they use a lot of herbicides and pesticides.
[00:25:47.488 --> 00:25:49.310]  So I kind of took those out.
[00:25:50.090 --> 00:25:54.474]  I looked at everything that I thought you would normally find downwind of a factory.
[00:25:55.558 --> 00:26:05.161]  After I got rid of all of those, I began to look at was there anything showing up in all the drinking water spikes across California on a pretty consistent level.
[00:26:05.961 --> 00:26:12.843]  Initially, I looked for things like barium, aluminum, manganese, magnesium, calcium.
[00:26:14.804 --> 00:26:20.526]  I looked at what the pH of the water was to see if I could find any blips in pH.
[00:26:21.604 --> 00:26:33.744]  But what I discovered was that during the course of the year starting in 1990, no less, that the water sources were all registering unusual spikes.
[00:26:34.864 --> 00:26:37.726]  Now they weren't spiking just alone.
[00:26:38.486 --> 00:26:46.152]  Almost every water test in the state of California was showing spikes in a certain year, in a certain month, for certain of these chemicals.
[00:26:47.112 --> 00:26:56.238]  And I have a list of them and I will be able to give them to you, but I was absolutely amazed and surprised about these spikes.
[00:26:56.318 --> 00:26:57.719]  And I said, what's going on?
[00:26:58.340 --> 00:27:03.984]  Why are these spikes occurring in almost all the drinking water sources all at the same time?
[00:27:04.804 --> 00:27:06.325]  Across the state of California.
[00:27:06.345 --> 00:27:19.495]  Now sometimes wells would spike in a time distance if they had any type of... the water that would come down in rainfall or flooding would get into the well systems.
[00:27:19.675 --> 00:27:24.699]  Then you would show spikes later and not as high because of percolation problems.
[00:27:24.819 --> 00:27:26.500]  But we began to find these spikes.
[00:27:27.541 --> 00:27:28.102]  Thank you.
[00:27:45.496 --> 00:27:46.737]  Spiking at the same time.
[00:27:46.837 --> 00:28:02.589]  How can you have them spiking in the same time across the entire state of California when prior to the 1990s, and they were testing for these chemicals prior to the 1990s, that they weren't showing up in water systems at all, or they weren't spiking.
[00:28:03.189 --> 00:28:06.672]  And all of a sudden, way over state and federal standards, we found this data.
[00:28:06.692 --> 00:28:09.294]  A friend of mine took and graphed
[00:28:10.165 --> 00:28:11.066]  We're good to go.
[00:28:32.131 --> 00:28:36.754]  Monumental chore to do but we now have it and we can show you the graphs.
[00:28:37.335 --> 00:28:41.497]  We can show you the actual water data from the state and show that these are unusual spikes.
[00:28:42.278 --> 00:29:01.551]  My job then began to go and look at graphs that were provided by the California Air Resources Board and what we discovered is that the spiking from the California Air Resources Board air tests were also spiking in the same years and at the same time and coordinated with the spikings in the water supply which led us to believe
[00:29:02.987 --> 00:29:07.550]  That this was something that was airborne and had to be hitting us from the air.
[00:29:08.391 --> 00:29:23.922]  Now the California Air Resources Board did do a number of tests to see if any of these chemicals over time, and they weren't doing it because of us, they were doing it out of curiosity, but they did run some tests to see if any of these chemicals were coming over from China.
[00:29:24.542 --> 00:29:34.192]  And what they found is, if it was, it wasn't in any great quantity, and for the most part here in Mendocino County where they had one test site, there wasn't anything coming over.
[00:29:34.312 --> 00:29:37.815]  So, that led me to believe that it had to be over us.
[00:29:38.876 --> 00:29:44.042]  Something had to be happening that was happening here versus maybe somewhere else coming in from the Pacific.
[00:29:45.299 --> 00:29:49.640]  So that sent me off to look at government documents on these chemicals.
[00:29:49.800 --> 00:29:54.182]  How dangerous they were, where they were being used, factories, everything.
[00:29:54.402 --> 00:30:04.264]  And what I found out was that we were having these spikes here and we have no industry between the Pacific Ocean and Hawaii and where we are here in Mendocino County.
[00:30:04.624 --> 00:30:08.786]  There wasn't any industry and the few industries that were small and
[00:30:10.146 --> 00:30:10.527]  Thank you.
[00:30:23.673 --> 00:30:32.458]  In 2006 was on KNBC and interviewed on television in Burbank, California.
[00:30:32.498 --> 00:30:37.521]  And what happened is he said that you can mix aluminum and barium and you can make clouds.
[00:30:38.282 --> 00:30:44.806]  And that he saw it coming that they would be able to put these clouds where they wanted them to do what they wanted to with them.
[00:30:45.506 --> 00:30:51.410]  And he's part of the geoengineering group that I was present at when they had that meeting at NASA Ames.
[00:30:52.540 --> 00:31:09.474]  The second thing is that I started to look at other programs that the government was doing, atmospheric testing programs, other things, not related to the jets, and I began to find that these chemicals were being shot up on the space shuttle and shot up on rockets.
[00:31:10.214 --> 00:31:31.921]  And that they would send canisters packed with sulfur hexafluoride, which is a man-made chemical which exacerbates global warming, barium, aluminum, trimethylaluminum, strontium, lithium, and they would send the canisters up, release them at different levels in the atmosphere, and to do ionospheric testing they would superheat them until they exploded.
[00:31:32.461 --> 00:31:32.681]  Thank you.
[00:31:46.337 --> 00:31:55.962]  So, the barium, I begin to think that were these coordinating, these atmospheric tests, were they coordinating with the spikes in California and other areas?
[00:31:56.322 --> 00:32:12.850]  And I believe that from some of the data that I looked at, trying to correspond the dates of the tests, when they were done, and also the water data, and the air data, I think that some of these could have actually added to the water pollution in the state of California, airborne, because this would come down.
[00:32:13.630 --> 00:32:18.113]  Now, a lot of people have associated the jets with releasing different types of chemicals.
[00:32:18.653 --> 00:32:23.677]  I do know from the EPA that there's a whole host of chemicals, jet fuel emissions.
[00:32:24.297 --> 00:32:26.919]  And they're highly polluting, just like automobile exhaust.
[00:32:27.039 --> 00:32:28.760]  Carcinogens are involved in them.
[00:32:30.481 --> 00:32:33.964]  They deplete beneficial atmospheric ozone.
[00:32:34.964 --> 00:32:38.287]  They have crop damage associated with them.
[00:32:38.787 --> 00:32:42.970]  Some of the chemicals are involved in short-term memory loss, other things.
[00:32:43.770 --> 00:32:48.913]  So, we do know that in this plume, it's not benign water vapor and ice crystals.
[00:32:49.733 --> 00:32:54.676]  But I could never find any documentation which would say that anything else was being sprayed.
[00:32:55.156 --> 00:33:03.721]  And with all these other chemicals being used in other government programs, it would be very hard to make a correlation unless you actually got into the plume and took a test.
[00:33:04.281 --> 00:33:08.644]  But since most of the planes that are leaving these big, huge plumes
[00:33:09.384 --> 00:33:12.288]  Our military airplanes, you can't fly in that airspace.
[00:33:12.908 --> 00:33:22.460]  Pilots would be arrested and it would be extremely dangerous to get into that airspace under Homeland Security rules and regulations to be able to take the test.
[00:33:22.900 --> 00:33:28.887]  So having to take a test at altitude and in other areas, it makes it very difficult.
[00:33:29.488 --> 00:33:37.773]  The government has not expressed any interest nor have elected officials in actually putting the subject to rest by testing these plumes either.
[00:33:38.413 --> 00:33:46.859]  So what they do is NASA, NOAA, a lot of studies, university studies, they look at these plumes and say yes, these are man-made clouds.
