[00:00:00.709 --> 00:00:03.691]  On that number, 1-800-409-5633.
[00:03:46.207 --> 00:03:54.333]  Thank you for making this show one of the fastest growing radio programs in the world and the number one alternative radio show on the planet.
[00:03:54.613 --> 00:04:10.904]  We have the number one and number two, respectively, biggest alternative news websites according to Alexa.com and other major statistical algorithms out there on the web, Google Analytics, and we are doubling our web presence every year.
[00:04:11.644 --> 00:04:12.805]  So very, very exciting.
[00:04:12.845 --> 00:04:13.946]  Again, thank you for joining us.
[00:04:14.226 --> 00:04:15.507]  Okay, without further ado,
[00:04:16.647 --> 00:04:21.210]  I just want to point out, you made it possible, folks, and I commend you, and we're trying to go to the next level.
[00:04:21.570 --> 00:04:22.791]  And we can do it with your support.
[00:04:23.671 --> 00:04:27.013]  Dr. John Coleman, Coleman300.com is the website.
[00:04:27.434 --> 00:04:32.797]  His 35 years of investigative study of 37,000 pages of the Annals of Congress, the Congressional
[00:04:33.497 --> 00:04:42.905]  Uh, Globe and the, uh, Congressional Records has given Dr. Coleman a unique in-depth understanding of the layer upon layer of complexities which go to make up the United States Constitution.
[00:04:43.305 --> 00:04:47.228]  Very few of any constitutional scholars can claim such a unique, uh, distinction.
[00:04:47.789 --> 00:04:49.690]  And he also is the big researcher on the Committee of 300.
[00:04:50.951 --> 00:04:59.895]  A political science economist, Dr. Coleman, on location, hands-on experience in the field of different countries, makes him a writer, scholar, and lecturer of distinction.
[00:05:00.355 --> 00:05:07.538]  The Committee of 300, The Vanishing Middle Class, Apocalypse Waiting to Happen, Obama's America, Beyond the Conspiracy, and many more.
[00:05:07.858 --> 00:05:14.761]  Check out his books and more at Coleman 300 and his other materials at Coleman300.com.
[00:05:15.061 --> 00:05:18.283]  Dr. Coleman, great to have you with us today, sir.
[00:05:18.851 --> 00:05:19.551]  Thank you so much.
[00:05:20.111 --> 00:05:24.633]  All right, in the 46 minutes we've got left now, time is flying, you've got the floor.
[00:05:24.773 --> 00:05:29.394]  What is the Committee of 300, what is the world government, and where is it taking us?
[00:05:30.494 --> 00:05:32.555]  The Committee of 300 is the world government.
[00:05:32.615 --> 00:05:38.557]  It's one of your previous programs, there was a gentleman asking about the New World Order.
[00:05:38.597 --> 00:05:39.257]  How is it run?
[00:05:39.277 --> 00:05:40.497]  Well, it's run through the Committee of 300.
[00:05:40.577 --> 00:05:46.879]  They're also known as the Olympians in the early days, and men spoke about them under their breath, for fear of them.
[00:05:47.645 --> 00:05:57.747]  This is a massive organization which in the beginning was run by, mainly by the royalty in Europe, but now of course it's spread all over the world.
[00:05:58.167 --> 00:06:07.468]  The American Eastern Liberal Establishment was allowed in to join it and several of the other countries came in as lower echelon members.
[00:06:08.469 --> 00:06:14.810]  And this committee was the group that was begun actually by the drug trade with China.
[00:06:15.390 --> 00:06:17.010]  That's where they've amassed their fortunes.
[00:06:17.805 --> 00:06:19.465]  And that's where they got their beginning.
[00:06:19.525 --> 00:06:25.927]  But of course, they've gone from that to every level of society, every facet of our civilization.
[00:06:26.707 --> 00:06:35.849]  And they have people who have introduced population control and a wide variety of devices to keep control of everything that's happening.
[00:06:36.609 --> 00:06:44.811]  Now you can say that this is like a huge corporation where you have the CEO at the head, you have
[00:06:45.868 --> 00:06:47.309]  We're good to go.
[00:07:15.589 --> 00:07:16.150]  Yeah, I think so.
[00:07:28.319 --> 00:07:47.673]  And by the way, you're a political scientist and economist, and I've read your work for more than 15 years, so I vouch for what you're saying, but perhaps you should give people a few dates, because you went and got source documents from the Office of Naval Intelligence, from retired admirals, from retired commander of the Office of Naval Intelligence.
[00:07:48.564 --> 00:08:09.596]  from government documents, and explain when it got its name, Committee of 300, and how it nexuses in with the Bilderberg Group, with the Roundtable, Royal Institute of International Affairs in England, with the CFR in the United States, how these other globalist groups tie in to the Committee of 300.
[00:08:10.516 --> 00:08:18.639]  Well, these organizations that you mentioned, like the Burgers and the Council on Foreign Relations, these are mere cogs in the big machinery.
[00:08:19.059 --> 00:08:21.900]  They're not the preeminent bodies that we have to deal with.
[00:08:22.540 --> 00:08:36.225]  They are cogs in this giant organization called the Committee of 300, and they took this name from a family of 300 very powerful merchants living in England, and it began with a charter
[00:08:37.048 --> 00:08:42.490]  From the Queen to give them the right to go and invade countries and make war against them.
[00:08:43.331 --> 00:08:45.952]  And it all, of course, was based on the Chinese Okium Trade.
[00:08:45.992 --> 00:08:51.715]  They had a huge treasury of money gained from the Chinese Okium Trade.
[00:08:51.735 --> 00:08:56.497]  They even got a charter from the British government to go to war against China.
[00:08:56.757 --> 00:08:58.978]  That gives you some idea of the power of these people.
[00:08:59.873 --> 00:09:03.475]  It's like a private organization that really is the government of the world.
[00:09:03.676 --> 00:09:18.405]  And of course even MSNBC admits that in 1832, this same committee of opium merchants, British, Dutch, East India that had merged hundreds of years before, set up just skull and bones to take over the elite of the United States.
[00:09:18.465 --> 00:09:24.049]  So this is really the oldest continually operating private intelligence operation.
[00:09:24.520 --> 00:09:30.283]  Absolutely, and they co-opted the best available brains in the world at that time.
[00:09:30.844 --> 00:09:40.729]  And all the old Eastern Liberalist establishment families, like John Andeside Perkins and so on, they were all co-opted into this committee.
[00:09:41.469 --> 00:09:48.153]  And today the CFR takes its orders from the Royal Institute of International Affairs in Chatham House in London.
[00:09:48.760 --> 00:09:49.820]  That's a daily affair.
[00:09:50.300 --> 00:09:53.541]  The orders are relayed through one of the brokerage houses.
[00:09:53.821 --> 00:09:56.182]  I don't want to name them in case they file suit against me.
[00:09:56.542 --> 00:10:00.563]  But they are the ones who convey the message to the Secretary of State.
[00:10:01.243 --> 00:10:04.984]  And then it becomes government policy.
[00:10:05.564 --> 00:10:07.484]  And foreign policy, monetary policy.
[00:10:07.945 --> 00:10:14.186]  In fact, very little that is enacted is not originally from the Royal Institute of International Affairs.
[00:10:15.037 --> 00:10:20.380]  Which is the foreign, which is the international arm of the Committee of 300.
[00:10:22.582 --> 00:10:30.106]  It's amazing, and of course they use the drug war as a way to break up China, and they're doing the same thing today here.
[00:10:30.907 --> 00:10:38.871]  They make the drugs illegal and then take over all the criminal networks and mass all the secret wealth through the drug war.
[00:10:39.492 --> 00:10:41.253]  Exactly, that's as I said, that's how they
[00:10:42.242 --> 00:10:44.024]  And he's just one of their agents here in the U.S., correct?
[00:10:44.064 --> 00:10:44.824]  That's correct.
[00:10:44.844 --> 00:10:45.044]  Oh, yes.
[00:10:45.064 --> 00:10:49.808]  And of course, I also believe that there are a few others in the U.S.
[00:10:49.828 --> 00:10:50.569]  who are agents as well.
[00:11:11.716 --> 00:11:13.417]  Al Brzezinski played a big role.
[00:11:13.977 --> 00:11:19.880]  He was one of their Foreign Arms Specialists, and he wrote many of the policies for the U.S.
[00:11:20.880 --> 00:11:21.720]  that were carried out.
[00:11:22.301 --> 00:11:25.982]  And especially weak, I think, in this regard, was the Carter administration.
[00:11:26.903 --> 00:11:32.505]  They were like just servants to this committee, and James Earl Carter did exactly what he was told.
[00:11:32.745 --> 00:11:34.066]  He never deviated from that.
[00:11:35.612 --> 00:11:40.016]  Well, we've only got 40 minutes left, and it's clear I'm going to have to get you back up for two hours in the near future.
[00:11:40.096 --> 00:11:41.357]  Coleman300.com.
[00:11:41.757 --> 00:11:43.659]  A short segment coming up, then a long segment.
[00:11:43.679 --> 00:11:45.540]  I'm going to try to shut up when we get back.
[00:11:45.580 --> 00:11:47.261]  It's so intriguing.
[00:11:47.301 --> 00:11:57.109]  Go over your research of the Committee of 300, what their goals are, how they tie into these other groups that serve them, and where this is going in the future.
[00:11:58.250 --> 00:12:04.996]  With our guest, Dr. John Coleman, I'm Alex Jones, and of course we cover this group's eugenics aims in Endgame.
[00:12:05.865 --> 00:12:10.088]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:12:10.409 --> 00:12:11.029]  Number one.
[00:12:11.329 --> 00:12:14.472]  New climate legislation could easily double or triple your electric bill.
[00:12:14.752 --> 00:12:15.333]  Number two.
[00:12:15.613 --> 00:12:20.176]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:12:20.517 --> 00:12:20.957]  It's true.
[00:12:21.257 --> 00:12:25.801]  Total government control of electricity in the name of smart grid technology is coming.
[00:12:26.101 --> 00:12:26.642]  Number 3.
[00:12:26.942 --> 00:12:30.225]  In some areas of the country, the power grid is dangerously overloaded.
[00:12:30.525 --> 00:12:34.249]  And now, new socialist legislation is only compounding the problem.
[00:12:34.449 --> 00:12:34.990]  Number 4.
[00:12:35.230 --> 00:12:37.612]  Dangerous weather is always a threat to local grids.
[00:12:37.993 --> 00:12:41.356]  Every year, thousands of families lose their power from weather-related outages.
[00:12:41.656 --> 00:12:46.378]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[00:12:46.598 --> 00:12:51.379]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:12:51.659 --> 00:12:55.681]  You can get more information at www.mysolarbackup.com.
[00:12:55.821 --> 00:12:57.381]  That's mysolarbackup.com.
[00:12:57.621 --> 00:13:02.223]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[00:13:10.194 --> 00:13:11.155]  Tyranny is here.
[00:13:11.455 --> 00:13:15.058]  The grim future foretold in 1984 has become reality.
[00:13:15.078 --> 00:13:17.600]  It really says that the state is God.
[00:13:17.620 --> 00:13:23.064]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:13:23.484 --> 00:13:29.729]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:13:30.149 --> 00:13:35.691]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:13:36.091 --> 00:13:39.832]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:13:40.312 --> 00:13:44.313]  Prepare to enter the secretive world of emergency dictatorship.
[00:13:44.593 --> 00:13:50.155]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:13:50.535 --> 00:13:53.556]  It's only the beginning of the New World Order's hellish plan.
[00:13:54.096 --> 00:13:55.497]  The police state isn't coming.
[00:13:56.057 --> 00:13:56.497]  It's here.
[00:13:57.177 --> 00:14:03.982]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv
[00:14:06.621 --> 00:14:08.583]  Are you wondering about your retirement portfolio?
[00:14:08.983 --> 00:14:14.947]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:14:15.208 --> 00:14:19.131]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:14:19.351 --> 00:14:26.196]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:14:26.516 --> 00:14:32.041]  Who needs sugar-coated excuses when you can get the cold, hard facts and proven investment leads you can't get anywhere else?
[00:14:32.421 --> 00:14:41.903]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:14:43.323 --> 00:14:44.423]  Experience the difference.
[00:14:44.784 --> 00:14:49.725]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:14:50.025 --> 00:14:50.985]  Don't wait another minute.
[00:14:51.245 --> 00:14:54.886]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:14:54.946 --> 00:14:55.146]  That's 877-479-8178.
[00:15:05.026 --> 00:15:05.667]  Fatigue.
[00:15:06.187 --> 00:15:06.647]  Headaches.
[00:15:07.288 --> 00:15:08.288]  Allergies and asthma.
[00:15:08.628 --> 00:15:09.529]  Chronic disease.
[00:15:10.049 --> 00:15:11.450]  Is your home making you sick?
[00:15:11.911 --> 00:15:12.491]  Here's a fact.
[00:15:12.831 --> 00:15:14.652]  Our indoor air quality is getting worse.
[00:15:14.893 --> 00:15:20.496]  And the causes include chemicals, toxic gases, dust, pollen, dander, and even chemtrail particulates.
[00:15:20.817 --> 00:15:27.641]  To rid your home of these contaminants, get the best-priced air purifiers in the industry at airfiltersandpurifiers.com.
[00:15:28.021 --> 00:15:30.743]  Our air purifiers are specialized to fit your needs.
[00:15:30.943 --> 00:15:34.186]  From allergy sufferers, to the sleep-deprived, to the chemically sensitive.
[00:15:34.926 --> 00:15:35.366]  I think so.
[00:16:08.806 --> 00:16:13.854]  Now let's remember that 30 years ago the mainstream media said the Bilderberg Group didn't exist.
[00:16:14.796 --> 00:16:18.662]  But Dr. John Coleman from Deep Research has found the documents about the Committee of 300.
[00:16:20.245 --> 00:16:23.186]  And he believes it's the overall control grid.
[00:16:23.226 --> 00:16:36.449]  Now the group he describes certainly exists and we know that's the power nexus through these letter of marks that were given by the British Crown to these families that then merged with the Dutch and others and of course took control of this nation.
[00:16:36.909 --> 00:16:38.589]  You've got the floor, sir.
[00:16:39.269 --> 00:16:41.110]  So what is the Bilderberg Group?
[00:16:41.150 --> 00:16:42.610]  Just one of the key meeting groups?
[00:16:43.870 --> 00:16:46.851]  The Bilderbergers was founded at a place called
[00:16:47.945 --> 00:16:55.269]  Bilderberg is in Holland, and that was under the control of the old Dutch prince.
[00:16:55.949 --> 00:17:00.011]  It was there that they had their first meeting, in the town of Bilderberg.
[00:17:01.192 --> 00:17:02.752]  Yeah, Oosterbeek, Holland.
[00:17:02.772 --> 00:17:05.514]  But my question is, how does it tie in?
[00:17:05.574 --> 00:17:13.978]  Because then when you research Bilderberg, you find out it was a group that had been meeting for hundreds of years, and just ties into the Dutch and German arm of this same committee.
[00:17:14.454 --> 00:17:21.659]  Yes, well what these people do, they take names that date back hundreds of years and then they go up those names for their societies today.
[00:17:22.459 --> 00:17:30.504]  And, you know, what you're looking at is a loosely knit group of people, as I said in my book, with commonly held goals.
[00:17:30.624 --> 00:17:35.368]  It's not the case that there's some just group meeting socially.
[00:17:36.488 --> 00:17:40.551]  In fact, the Committee of 300 has 150 year old history.
[00:17:41.488 --> 00:17:53.374]  And they have some of the most brilliant and intellectual assembled to form a complete, totalitarian, absolutely controlled new society, like the New World Order inside a one world government.
[00:17:53.754 --> 00:17:54.635]  Yeah, let's talk about that.
[00:17:54.675 --> 00:17:59.417]  So when did you first discover the term Committee of 300 in the power structure, and what is their goal?
[00:18:01.158 --> 00:18:06.061]  Their goals are... They want to have an open... H.G.
[00:18:06.101 --> 00:18:10.403]  Wells, who was an earlier member of their elite coterie,
[00:18:11.297 --> 00:18:21.501]  He wrote a work called, The Open Conspiracy's Plan for a World Revolution, and it was a bold statement of intent, which nobody believed, of course.
[00:18:22.682 --> 00:18:40.249]  Wells accepted this, and he brought the conspiracy, and it says that, I'll quote you some of it, I can't do it all, The Open Conspiracy will appear first, I believe, as a conscious organization of intelligent, in some cases wealthy men, as a movement having
[00:18:40.771 --> 00:19:04.522]  Distinct social and political reigns, complicitly ignoring most of the existing apparatus of political control, or using it only as an incidental implement in the stages, a mere movement of a number of people in a certain direction, prepared to discover, with a sort of surprise, the common object to which they are all moving, and all sorts of ways they will be influencing and controlling the governance of the world.
[00:19:06.163 --> 00:19:09.245]  And, you know, George Orwell mentioned something about this in his book, 1984.
[00:19:11.127 --> 00:19:13.007]  So that's really what they plan to do.
[00:19:15.448 --> 00:19:16.848]  And I remember reading that H.G.
[00:19:16.908 --> 00:19:28.571]  Wells quote, because he wanted this global world government, and talked about how they would exterminate most of the people, and of course he was one of their top thinkers, but that particular quote you just gave, where does that come from again?
[00:19:28.591 --> 00:19:32.692]  That comes from his paper, I'll read it to you.
[00:19:33.332 --> 00:19:37.253]  The Open Conspiracy Plans for a World Revolution.
[00:19:37.953 --> 00:19:38.693]  That's what it's called.
[00:19:39.557 --> 00:19:44.722]  Yeah, plans for a world revolution.
[00:19:44.742 --> 00:19:46.944]  We've got to do another paper on that.
[00:19:47.164 --> 00:19:53.910]  I found this document in the British Museum in London, which is one of the greatest repositories of information in the world.
[00:19:54.711 --> 00:19:59.195]  I was privileged, of course, having special access to certain areas that are closed to the public.
[00:19:59.916 --> 00:20:04.260]  But that's where I found most of this work that I've written about.
[00:20:06.189 --> 00:20:09.351]  Well, he was quite open about a lot of it in books like The New World Order.
[00:20:09.872 --> 00:20:11.113]  Oh yes, he was.
[00:20:11.873 --> 00:20:15.776]  But I mean, what I'm talking about is the formation of it in the beginning was kept very secret.
[00:20:18.659 --> 00:20:21.080]  And of course, Cecil Rhodes tied into this, didn't he?
[00:20:21.661 --> 00:20:26.705]  Oh yes, he was financed by the Lord Alfred Milner.
[00:20:26.885 --> 00:20:32.930]  Lord Alfred Milner was an autocrat who'd made huge fortunes in Russia.
[00:20:34.190 --> 00:20:35.952]  And he sent Rhodes out, actually,
[00:20:36.658 --> 00:20:36.898]  Yes.
[00:20:55.814 --> 00:21:02.499]  Small beginning and they still have this all centred in the City of London which is a private preserve, financial preserve of the Committee of 300.
[00:21:03.480 --> 00:21:07.463]  The City of London is totally different from London itself.
[00:21:07.563 --> 00:21:18.532]  It's a financial centre and Rhodes was of course set up with unlimited money and he bought up most of the claims of the small miners and when the opportunities came
[00:21:19.218 --> 00:21:24.562]  To start mining on a big scale, they were there and waiting and had all of the appropriate wealth to back it up.
[00:21:24.622 --> 00:21:28.645]  And today, of course, the mines in South Africa are the biggest in the world.
[00:21:29.125 --> 00:21:32.748]  They have a gold seam that stretches for 200 miles east to west.
[00:21:33.509 --> 00:21:35.350]  And it's not just some small couple of nuggets.
[00:21:35.430 --> 00:21:36.871]  It's driving down those mines.
[00:21:36.911 --> 00:21:40.554]  You go down 6,000 feet in a cage that drops like a stone.
[00:21:41.417 --> 00:21:43.839]  And if you don't have a strong stomach, don't try it.
[00:21:44.579 --> 00:21:52.944]  And you get down to these places where they're working, the places, and they've got enormous credit for hiring.
[00:21:53.025 --> 00:21:54.145]  Stay there, stay there, doctor.
[00:21:54.165 --> 00:21:55.366]  We're gonna come right back to you.
[00:21:55.986 --> 00:21:56.907]  We're on the march.
[00:21:57.387 --> 00:21:58.988]  The Empire's on the run.
[00:21:59.929 --> 00:22:02.611]  Alex Jones and the GCN Radio Network.
[00:22:05.342 --> 00:22:10.205]  The question is, where should the American people draw their line in the sand?
[00:22:10.305 --> 00:22:11.066]  What have we got?
[00:22:11.306 --> 00:22:13.427]  A republic or a monarchy?
[00:22:13.747 --> 00:22:14.468]  A republic.
[00:22:14.748 --> 00:22:17.329]  It's based on a constitution which protects minority rights.
[00:22:17.410 --> 00:22:19.311]  Not democracy, not mob rule.
[00:22:19.671 --> 00:22:21.572]  Two wolves and a sheep voting on what's for dinner.
[00:22:21.692 --> 00:22:22.973]  So they think they own our land?
[00:22:23.373 --> 00:22:24.494]  They think they own our water?
[00:22:24.694 --> 00:22:25.094]  Children?
[00:22:25.294 --> 00:22:26.095]  Our education?
[00:22:26.415 --> 00:22:27.015]  Our money?
[00:22:27.256 --> 00:22:30.898]  We have to define who we are and what we will tolerate.
[00:22:31.258 --> 00:22:35.902]  Somebody's gonna ask you what you did during the Patriot Uprising.
[00:22:36.242 --> 00:22:37.063]  We have the facts.
[00:22:37.263 --> 00:22:38.384]  We have the Constitution.
[00:22:38.424 --> 00:22:39.304]  We have the Bill of Rights.
[00:22:39.324 --> 00:22:40.145]  We have common law.
[00:22:40.225 --> 00:22:42.467]  Knowledge is power, ladies and gentlemen.
[00:22:42.727 --> 00:22:46.510]  And I'm so excited to be able to offer you Don't Tread on Me, Rise of the Republic.
[00:22:46.630 --> 00:22:51.415]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[00:22:51.575 --> 00:22:52.957]  A new tool in the Info War.
[00:22:53.077 --> 00:22:53.918]  Don't tread on me.
[00:22:54.158 --> 00:23:01.025]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[00:23:05.222 --> 00:23:09.184]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:23:09.404 --> 00:23:15.447]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:23:15.807 --> 00:23:22.910]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:23:23.190 --> 00:23:27.772]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:23:28.072 --> 00:23:29.553]  Get a free, detailed catalog.
[00:23:29.693 --> 00:23:36.559]  By calling 800-340-7091 or see them online at 5starsoap.com or infowars.com.
[00:23:36.739 --> 00:23:40.523]  Let's talk to the owner of 5 Star Soap, Marty Schachter, and see what he has to say.
[00:23:40.983 --> 00:23:47.209]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:23:47.729 --> 00:23:51.171]  I'm happy to say our business is going down the drain.
[00:23:51.651 --> 00:23:57.915]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[00:23:58.015 --> 00:23:58.816]  Thank you!
[00:24:06.226 --> 00:24:14.332]  With the implementation of Codex Alimentarius, it is clear that we must act quickly to avoid losing our freedom of choice where personal health preferences are concerned.
[00:24:14.712 --> 00:24:25.160]  As of January 1, 2010, Codex Alimentarius was implemented within the European Union, resulting in the restricted sale of many natural supplements, including colloidal silver.
[00:24:25.601 --> 00:24:31.025]  We must take immediate steps to assure a continuing supply of colloidal silver for ourselves and our families.
[00:24:31.585 --> 00:24:36.068]  Act now to acquire the means of producing this beneficial supplement in the privacy of your own home.
[00:24:36.468 --> 00:24:45.194]  Colloidal Silver is a powerful antipathogenic used for more than 200 years as a natural alternative to costly drugs and their dangerous, unpredictable side effects.
[00:24:45.534 --> 00:24:55.361]  Go to www.silverlungs.com for more information on how to secure your freedom of choice by producing your own Colloidal Silver right from home.
[00:24:55.661 --> 00:24:58.823]  That's www.silverlungs.com.
[00:24:59.344 --> 00:25:00.344]  Silverlungs.com.
[00:25:01.305 --> 00:25:01.425]  Yeah.
[00:25:25.563 --> 00:25:30.130]  Well I tell ya, ten years ago you never saw news headlines about the Bilderberg Group.
[00:25:30.170 --> 00:25:31.212]  Here's the Times of London.
[00:25:31.613 --> 00:25:34.096]  Secretive Bilderberg Club ready for protest.
[00:25:35.868 --> 00:25:42.289]  And it's a high-powered meeting of Committee of 300 members, but it's not as secretive as the overall Committee of 300.
[00:25:42.589 --> 00:25:51.671]  And I've researched this, and our guest is dead on and has the documents, and he has the book, which you could call the Bible of conspiracy theories, but it's not theories, it's fact.
[00:25:52.351 --> 00:25:53.731]  And of course, that's the Committee of 300.
[00:25:53.831 --> 00:26:03.313]  Coleman300.com is the website, and we cover their endgame eugenics agenda in, of course, my film, Endgame, Blueprint for Global Enslavement.
[00:26:03.573 --> 00:26:04.713]  And folks, this isn't a joke.
[00:26:05.413 --> 00:26:18.205]  You know, they stalled you and said there's no secret groups, there's no world government, there's no derivatives, the bankers aren't engaged in fractional reserve banking, the government's not shipping in narcotics, everything's fine, go back to sleep.
[00:26:18.626 --> 00:26:21.128]  Now they admit all that's happening, but saying it's good.
[00:26:21.929 --> 00:26:24.432]  Fox TV says we're growing opium, it's good.
[00:26:25.633 --> 00:26:27.575]  Yes, world government's real, but it's good.
[00:26:29.076 --> 00:26:36.683]  Well, from my research, this ends with an authoritarian world government with one-child policy at the bare minimum.
[00:26:37.203 --> 00:26:45.571]  Now, you were finishing up, going down the diamond mines, and of course the De Beers Oppenheimer Global Diamond Monopoly set up by the Milner Group.
[00:26:45.891 --> 00:26:49.314]  I've read documents from Milner at the end of World War I in 1919.
[00:26:49.494 --> 00:26:50.075]  These are public.
[00:26:52.876 --> 00:26:57.899]  Saying, we've got to get some type of thug dictator in in Germany and set them up for the next war.
[00:26:57.919 --> 00:27:00.841]  I mean, that's the wide-reaching, long-term view.
[00:27:01.201 --> 00:27:10.848]  So they get Wall Street and the general public in a quarterly mindset, only thinking about the present and profits now, but they're all positioned for the long-term win.
