[00:00:05.455 --> 00:00:08.937]  Bruce Levine is a clinical psychologist living in Cincinnati, Ohio.
[00:07:16.254 --> 00:07:34.644]  Why is it that, for example, you had an election in 2000 where, regardless of the fact of how you feel about Al Gore, regardless of the fact that you think the guy was not much different than George W. Bush, regardless of that fact, this was this guy who had 51 million votes,
[00:07:36.105 --> 00:07:36.525]  Roughly.
[00:07:36.545 --> 00:07:39.586]  500,000 more than George W. Bush.
[00:07:39.626 --> 00:07:44.288]  They were going to have a recount in Florida, you know, to see if he actually won that state.
[00:07:44.308 --> 00:07:49.330]  The politicized Supreme Court comes in, stops that recount.
[00:07:49.350 --> 00:07:52.791]  51 million Al Gore voters are totally screwed.
[00:07:52.991 --> 00:07:54.252]  They're disenfranchised.
[00:07:54.592 --> 00:07:55.272]  What happens?
[00:07:55.332 --> 00:07:57.833]  Are the streets filled with people protesting?
[00:07:57.853 --> 00:08:02.135]  Eh, there's a handful here, there's a hundred here, maybe a thousand here in front of the Supreme Court.
[00:08:02.675 --> 00:08:06.716]  Compare that to Mexico in 2006.
[00:08:07.456 --> 00:08:17.039]  They also had a similar kind of election where a slightly more progressive guy got, you know, screwed out of election by a slightly more conservative guy.
[00:08:17.239 --> 00:08:19.260]  He had almost 3 million people on the streets.
[00:08:19.620 --> 00:08:21.862]  In Iran, 2009, okay?
[00:08:22.884 --> 00:08:23.564]  Same deal.
[00:08:23.825 --> 00:08:28.610]  Again, those people are facing a death if they get out there on the streets.
[00:08:28.710 --> 00:08:31.613]  Literally, people died and got arrested and had lives ruined.
[00:08:31.793 --> 00:08:35.877]  You had anywhere by estimates a million to three million people out on the streets in Iran.
[00:08:36.157 --> 00:08:38.099]  What is it about the United States?
[00:08:38.780 --> 00:08:39.100]  Okay?
[00:08:39.321 --> 00:08:45.586]  That when people get disenfranchised in their elections, that they are more helpless, more hopeless, they just give up.
[00:08:45.986 --> 00:08:57.576]  Well, there's a lot of reasons, and one of them, it seems clear to me in this generation, is the issue of a broken population of people on student loans.
[00:08:57.976 --> 00:08:58.917]  One big difference.
[00:08:59.858 --> 00:09:02.320]  Years back, when I was growing up in America here,
[00:09:02.740 --> 00:09:05.642]  You know, if you were rich, you went to these wealthy institutions.
[00:09:05.702 --> 00:09:08.004]  If you were working class, you go to public institutions.
[00:09:08.244 --> 00:09:08.844]  They were free.
[00:09:09.305 --> 00:09:27.037]  When you walked out when you were in your 20s, which is the time in life where you're most likely to rebel and protest and demonstrate, you walk out, maybe you have no job, you have nothing to lose, but you're not worried about being saddled with a $25,000, $50,000, $100,000 debt, which is what young people are saddled with in our society.
[00:09:27.278 --> 00:09:27.878]  Average debt.
[00:09:28.138 --> 00:09:30.060]  Average just for undergraduates is over $20,000.
[00:09:31.001 --> 00:09:34.864]  Any kind of professional training, it moves closer to $100,000 a year.
[00:09:35.364 --> 00:09:42.670]  Well, let me tell you, if I walked out, okay, when I was in my 20s with that kind of debt, it would have broken me.
[00:09:42.891 --> 00:09:43.791]  I wouldn't have resisted.
[00:09:43.831 --> 00:09:44.612]  I wouldn't have rebelled.
[00:09:44.692 --> 00:09:51.318]  I just would have went along with the program, been terrified of not having a job, been terrified of everything being taken away from me.
[00:09:51.738 --> 00:09:54.821]  And so, we've allowed, we've done two things in our culture.
[00:09:55.501 --> 00:10:05.589]  We've pushed shamed parents to make them feel like they're horrible parents if all their kids not only don't go to school, they don't go to prestigious school, they don't go get masters, they don't get their professional training.
[00:10:05.870 --> 00:10:10.894]  We've got a president who's shaming, you know, whole society because they're not graduating from college.
[00:10:11.474 --> 00:10:24.498]  And then on the other hand, we have allowed these young people to lose all their grants, all their support, or low tuition, and have them pay these ridiculous rates and student loans.
[00:10:24.778 --> 00:10:25.979]  And debt breaks people.
[00:10:26.659 --> 00:10:32.181]  It's one of the ways that people have historically known that you will get broken when you're in debt.
[00:10:32.201 --> 00:10:34.081]  So that's one way that they're broken.
[00:10:34.321 --> 00:10:37.682]  Historically, there's other ways that you break a population, too.
[00:10:38.603 --> 00:10:39.243]  And I would say
[00:10:40.303 --> 00:10:46.509]  That there's three major ways that young people have been broken for many years in our society.
[00:10:47.890 --> 00:10:55.337]  One is television, two is schools, not necessarily in this order, and the third is my profession, the mental health profession.
[00:10:55.857 --> 00:11:09.231]  If you take a look at your average young person and their 24-hour school day, if you get rid of their whatever six to nine hours in bed and their couple hours of, you know, eating meals and personal hygiene, what are they doing in that day?
[00:11:09.511 --> 00:11:10.993]  You know, what's their socialization?
[00:11:11.073 --> 00:11:15.617]  Well, seven hours of school, you know, one or two hours of homework.
[00:11:16.178 --> 00:11:16.438]  Alright?
[00:11:16.498 --> 00:11:20.123]  And then the rest of their day is filled with television and video games.
[00:11:20.583 --> 00:11:23.747]  I mean, that's the major socializing forces in their lives.
[00:11:24.087 --> 00:11:24.368]  Alright?
[00:11:24.728 --> 00:11:26.050]  So, what does that teach them?
[00:11:26.090 --> 00:11:27.211]  What's going on for them?
[00:11:27.511 --> 00:11:30.154]  Well, there's a lot of horrible things that happen in school.
[00:11:30.595 --> 00:11:34.639]  One is, kids lose their interest in reading, which is great for an authoritarian society.
[00:11:34.679 --> 00:11:35.641]  We have research
[00:11:36.061 --> 00:11:45.984]  That shows that the difference between kids who are in first grade versus when they move up to third and fourth grade is they're less likely to want to read books independently.
[00:11:46.244 --> 00:12:02.349]  So school, naturally, by forcing kids to read things that they're not really interested in, and a whole bunch of other things like that, school actually makes it less likely people really are critical thinkers, curious, interested in reading, all those kinds of things.
[00:12:02.509 --> 00:12:06.392]  Overall, there's always exceptional teachers, but in general, that's what happens.
[00:12:06.673 --> 00:12:14.519]  Kids internalize the idea that the only way that you get an education is through some authority granting it to you.
[00:12:14.620 --> 00:12:20.765]  Some authority's lectures, some authority's degrees, which is the opposite of the way people really get educated.
[00:12:20.885 --> 00:12:25.229]  Real education is through your own curiosity, through your peers.
[00:12:25.569 --> 00:12:29.911]  So, school is an authoritarian-based pacifier in many, many ways.
[00:12:30.231 --> 00:12:34.893]  Then you move to the whole video game television area, especially television.
[00:12:34.953 --> 00:12:40.876]  Nowadays, kids on average are spending four or five hours a day in front of a television.
[00:12:41.276 --> 00:12:44.958]  They can watch it many different ways now besides just watching on a television set.
[00:12:45.178 --> 00:12:49.200]  There's alternative mediums to be able to watch it on their laptop, on their phone.
[00:12:49.500 --> 00:12:51.881]  You know, so they're watching as much and more as ever TV.
[00:12:52.481 --> 00:12:53.281]  What are they learning there?
[00:12:53.301 --> 00:13:00.544]  Well, besides their seeing shows, the vast majority of their programming is on stations that are owned by six corporations in America.
[00:13:01.684 --> 00:13:02.804]  You know, the News Corp.
[00:13:02.844 --> 00:13:05.365]  Murdoch's and Viacom and all these.
[00:13:05.565 --> 00:13:08.226]  Besides the content, they're learning something even worse.
[00:13:08.466 --> 00:13:14.068]  They're learning through these things that the only way that you get entertained is through some authority.
[00:13:15.051 --> 00:13:17.472]  Alright, and they're learning that in their video games as well.
[00:13:17.752 --> 00:13:22.835]  Now, the video games are not quite as pacifying, at least if they're doing it with their friends.
[00:13:23.015 --> 00:13:27.517]  They're not in that kind of total zombie brainwave state that they are watching television.
[00:13:27.797 --> 00:13:34.080]  But either way, they're learning that the way you entertain yourself is through some authority.
[00:13:34.540 --> 00:13:45.182]  Here you've got television and you've got schools, both teaching kids that your education and your entertainment is via some authority, not through yourselves.
[00:13:45.582 --> 00:13:47.663]  For years, kids knew that you entertained yourself.
[00:13:47.803 --> 00:13:51.824]  After school, you'd go out and play with your friends and you'd figure out stuff to have some fun.
[00:13:51.844 --> 00:13:53.524]  You didn't need any authority to entertain you.
[00:13:53.984 --> 00:13:58.345]  The third area that kids, not all kids, are exposed to
[00:13:59.130 --> 00:14:05.737]  But the kids who are most rebellious, they get exposed to my business, the mental health profession.
[00:14:06.277 --> 00:14:11.783]  And here in my profession, increasingly, the pacifying force is medication, right?
[00:14:11.823 --> 00:14:21.873]  Any kid who has got oppositional defiant disorder, which you get by often arguing with adults and often refusing to comply with adults, those are the official symptoms.
[00:14:22.702 --> 00:14:38.469]  You get treated with behavior modification manipulations, or medication, or any kid with attention deficit hyperactivity disorder, which means they're not paying attention to some teacher because they're boring, but they are willing to pay attention to things that are interesting for them, or if they're getting paid for it.
[00:14:38.910 --> 00:14:40.010]  These research shows that.
[00:14:40.050 --> 00:14:46.053]  That's most of these kids who are diagnosed with ADHD can pay attention to things that they are actually interested in.
[00:14:46.273 --> 00:14:49.114]  They just rebel against things that they're not interested in.
[00:14:50.555 --> 00:15:12.672]  What our society, parents, children, media, accept the authority of these mental health professionals as being able to be the ones in our society to designate what personality types, what temperaments are mentally ill, disorders, and which temperaments are good, are healthy.
[00:15:13.092 --> 00:15:22.337]  And so I could tell you in 25 years of being in practice, no parent has ever dragged their kid into my office because the kid was too compliant.
[00:15:22.577 --> 00:15:24.558]  They were listening to teachers too well.
[00:15:24.899 --> 00:15:26.299]  Or they were too conformist.
[00:15:26.640 --> 00:15:32.343]  Well, a society that would care about excessive compliance or fascism would care about something like that.
[00:15:32.423 --> 00:15:34.444]  But our society certainly doesn't care about that.
[00:15:34.864 --> 00:15:40.731]  Our society cares about making sure that we don't have kids creating tension, rebelling against the status quo.
[00:15:41.131 --> 00:15:43.293]  So, that's what my profession does.
[00:15:43.333 --> 00:15:52.803]  It sort of functions as a sort of interpersonal police force in terms of designating certain temperaments, certain personalities as mentally ill or disordered.
[00:15:53.024 --> 00:15:56.548]  So again, we have a situation where you have us parents
[00:15:57.068 --> 00:15:57.468]  We're good.
[00:16:17.006 --> 00:16:21.389]  You know, television, and they see mental health professionals.
[00:16:21.529 --> 00:16:34.176]  These are the major socializing forces in their lives, and they're all teaching them to succumb to an authority's definition of education, of entertainment, of, in fact, their abnormality of mental health.
[00:16:34.956 --> 00:16:45.560]  DSM, which stands for the Diagnostic and Statistical Manual of Mental Illnesses, this is the bible, the psychiatric bible of mental diagnoses.
[00:16:46.480 --> 00:16:51.722]  And this first came into being in 1952 when the book was like this, this thick.
[00:16:52.162 --> 00:16:54.703]  And nowadays we're in what we call the DSM-IV.
[00:16:56.083 --> 00:16:57.584]  You know, it's the fourth edition.
[00:16:57.624 --> 00:16:58.644]  Actually, there's been five.
[00:16:59.264 --> 00:17:03.446]  And the book is like this big, and they're planning another one that's going to be coming out in a few years.
[00:17:03.926 --> 00:17:14.169]  Now, historically in the DSM, which is the publication of the American Psychiatric Association, that very few diagnoses are taken out.
[00:17:15.543 --> 00:17:16.764]  They are at it.
[00:17:17.004 --> 00:17:18.424]  Lots of diagnoses are at it.
[00:17:18.865 --> 00:17:28.590]  And so 1980 was a real interesting year because that was the year of a real gigantic childhood expansion of diagnosis.
[00:17:28.610 --> 00:17:38.675]  So prior to 1980, which was the DSM-III, there was no such thing as oppositional defiant disorder, which is one of these diagnoses that I often talk about with
[00:17:39.235 --> 00:17:44.819]  People from the media, they think I'm being sarcastic because they ask me, is that for juvenile delinquents?
[00:17:45.199 --> 00:17:48.101]  Is that for kids who are really getting into trouble with the law?
[00:17:48.121 --> 00:17:50.263]  And I said, no, that's a whole other diagnosis.
[00:17:50.383 --> 00:17:51.523]  That's conduct disorder.
[00:17:51.884 --> 00:17:55.786]  Oppositional Defiant Disorder kids are doing nothing illegal for the most part.
[00:17:56.006 --> 00:17:57.728]  They're just arguing with adults.
[00:17:58.108 --> 00:17:59.709]  They're refusing to comply with adults.
[00:17:59.969 --> 00:18:01.110]  They're angry with adults.
[00:18:01.130 --> 00:18:02.311]  They're resentful with adults.
[00:18:02.431 --> 00:18:03.732]  Those are the official symptoms.
[00:18:04.532 --> 00:18:06.375]  And that's what's added in 1980.
[00:18:06.915 --> 00:18:10.259]  Tension Deficit Hyperactivity Disorder, that was thrown in in 1980.
[00:18:10.439 --> 00:18:15.886]  The interesting thing was in 1980, there was one famous diagnosis that was taken out.
[00:18:16.306 --> 00:18:20.091]  And it actually had been taken out a few, in the 1970s it had been taken out.
[00:18:20.391 --> 00:18:21.393]  But it had been in the DSM-II.
[00:18:22.674 --> 00:18:26.357]  And it's very telling how it was put in and why it was taken out.
[00:18:26.737 --> 00:18:31.620]  Up until the DSM-III, homosexuality was a mental illness.
[00:18:32.041 --> 00:18:39.106]  In the early 1970s, there was gay rights activists who got very upset about being called mentally ill because they were gay.
[00:18:39.526 --> 00:18:42.028]  And so they became politically active.
[00:18:42.488 --> 00:18:48.933]  And one year there was actually the APA, the American Psychiatric Association, it wasn't that bright, they had their convention in San Francisco.
[00:18:49.793 --> 00:18:52.758]  And they got protested in major ways.
[00:18:53.378 --> 00:18:54.320]  And they got scared.
[00:18:54.340 --> 00:18:58.886]  They literally, these psychiatrists really got scared of these gay guys and these gay women.
[00:18:59.287 --> 00:19:04.374]  And they were gay psychiatrists who were in the closet afraid to say anything, but they were kind of root-informed.
[00:19:05.596 --> 00:19:17.630]  And politically, through lots of political processes and demonstrations, homosexuality was kicked out as a mental illness in the 70s, and it wasn't in the DSM-III in 1980.
[00:19:18.271 --> 00:19:20.193]  And the important thing for people to remember
[00:19:20.934 --> 00:19:21.315]  I think so.
[00:19:36.369 --> 00:19:37.289]  We're good to go.
[00:19:56.775 --> 00:20:08.942]  But I would tell you that almost all of these things, there's very few conditions in that DSM that are actually organic conditions that you can see with a lab test or an x-ray.
[00:20:09.142 --> 00:20:13.445]  And most of those are not really psychiatric conditions, they're neurological conditions.
[00:20:14.025 --> 00:20:19.629]  The vast majority of the things in the American Psychiatric Association's DSM
[00:20:20.229 --> 00:20:27.234]  ...are just behaviors that people have decided they don't like, because they create havoc within a family, within a school, within a society.
[00:20:27.554 --> 00:20:34.118]  Nowadays, the most common so-called mental illness, mental disorder, is depression.
[00:20:34.479 --> 00:20:38.181]  Depression, 25-30 years ago, it was very, very rare.
[00:20:38.481 --> 00:20:48.428]  Anti-depressants, the most famous being Prozac and Paxil and Zoloft, these are handed out by, not just psychiatrists, but by general practitioners, like aspirin almost.
[00:20:49.208 --> 00:20:49.349]  And...
[00:20:50.429 --> 00:20:55.111]  There's skyrocketing rates of depression in the United States over the last 50 years.
[00:20:55.391 --> 00:21:05.355]  So if you do take a look at epidemiological studies, epidemiological surveys, you'll find that there's a tenfold, maybe twentyfold increase in the rate of depression in the last 50 years.
[00:21:05.835 --> 00:21:06.695]  Well, why is that?
[00:21:07.175 --> 00:21:08.676]  Well, some people who are
[00:21:09.376 --> 00:21:16.202]  Critics of psychiatry, of which I'm one, they say that it's just all about these people making much to do about nothing.
[00:21:16.422 --> 00:21:24.228]  That they're taking normal human sadness, normal human grief, that people are going through, and labeling it as a disease and labeling it as depression.
[00:21:24.568 --> 00:21:25.729]  That certainly is the case.
[00:21:26.070 --> 00:21:36.418]  We have actual studies that show that happens all the time, that people who are going through just normal human loss, you know, kick off these depressive symptoms, which are, you know, which they have
[00:21:36.818 --> 00:21:37.419]  We're good to go.
[00:21:53.658 --> 00:22:00.445]  But, but, I think there are other reasons why you have these skyrocketing depression rates that have to do with our culture as well.
[00:22:00.865 --> 00:22:12.157]  So, for example, we know, and this is common sense, but lots of research shows that social isolation, lack of support, lack of community is highly associated with depression.
[00:22:12.717 --> 00:22:20.838]  Real scientists will ask the question, well, does depression cause social isolation, or does social isolation cause depression?
[00:22:20.978 --> 00:22:23.539]  Well, the answer is both.
[00:22:23.559 --> 00:22:25.699]  There's a kind of vicious interactional cycle.
[00:22:26.299 --> 00:22:31.440]  But what we also know in our society is that, remember, depression rates are going through the roof.
[00:22:31.780 --> 00:22:40.642]  We also know that, besides that social isolation is related and associated with depression, we know that there's a dramatic increase of social isolation in America.
[00:22:40.962 --> 00:22:42.403]  So, last U.S.
[00:22:42.423 --> 00:22:49.087]  Census showed that we now have far more people living alone than there were 10 years, 20 years before.
[00:22:49.327 --> 00:22:51.889]  Almost 25% of the population living alone.
[00:22:52.229 --> 00:23:10.320]  But even more significant than that, okay, because maybe some of these people who are alone have friends and they're not socially isolated, more significant than that was a study that came out a few years ago, which got a lot of attention, was that it talked about the number of confidants people had in their life, the number of people who they really trusted.
[00:23:10.720 --> 00:23:30.472]  And what we know now in America is that as of 2004, 25% of Americans say they have zero, no confidence at all in their life, compared to 1985 when only 10% of people said there was nobody in their life that they could talk about the serious, most important things that are going on for them.
[00:23:30.812 --> 00:23:39.177]  So, lots of reasons why we have this kind of social isolation and why people have been decimated in terms of community.
[00:23:39.657 --> 00:23:54.566]  But part of it is when you have a society that only is controlled by corporations, that only cares about bottom line, you know, most money for shareholders, and you don't care about human needs, you do things all the time that break up
[00:23:55.246 --> 00:23:55.906]  Well, we're good to go.
[00:24:24.617 --> 00:24:29.279]  That's not the only reason why we've got increasing rates of depression, but that's one major one.
[00:24:39.942 --> 00:24:46.828]  You almost never see, 25, 30 years ago, any kind of kid, any child taking any kind of psychiatric medication.
[00:24:47.368 --> 00:24:48.529]  Now this is common, right?
[00:24:48.890 --> 00:24:57.436]  I mean, I talk to kids all the time, and they tell me the statistics that they hear 10% or so of them are on psychiatric medication is totally wrong.
[00:24:57.637 --> 00:24:58.197]  They laugh.
[00:24:58.477 --> 00:25:05.383]  And most of the kids that I talk to, they tell me 25 to 30% of the kids in their schools are taking some kind of a ADD medication.
[00:25:05.803 --> 00:25:06.904]  We're good to go.
[00:25:22.100 --> 00:25:22.781]  We're good to go!
[00:25:46.101 --> 00:25:48.782]  Many reasons why you have obese kids out there.
[00:25:48.822 --> 00:25:51.103]  More and more of American children are obese.
[00:25:51.163 --> 00:26:00.747]  Lots of reasons for that, but one of the least talked about ones is that so many of them are on these antidepressants, on these antipsychotics, which make it more likely that they're going to be obese.
[00:26:01.567 --> 00:26:07.049]  So, all of these kids are being diagnosed with depression, with bipolar.
[00:26:08.830 --> 00:26:15.374]  The idea of any kind of kid being diagnosed with bipolar 25-30 years ago was absurd.
[00:26:15.694 --> 00:26:16.834]  Kids were moody, right?
[00:26:16.895 --> 00:26:17.975]  Kids went up and down.
[00:26:18.255 --> 00:26:25.159]  Kids, you know, would talk about feeling like suicidal one day and talking about like they're gonna be, you know, the President of the United States the next day.
[00:26:25.379 --> 00:26:35.508]  This was a kid kind of thing, but somewhere along the way, the psychiatry, pharmaceutical, industrial establishment, and make no mistake, they're proud partners.
[00:26:35.548 --> 00:26:36.328]  They don't hide this.
[00:26:36.368 --> 00:26:45.196]  There's a proud partnership between pharmaceutical companies and the American Psychiatric Association and the National Institute of Mental Health, the National Alliance for the Mentally Ill.
[00:26:45.216 --> 00:26:48.799]  They're proud partners with one another financially.
[00:26:49.199 --> 00:26:51.201]  And between them, they decided
[00:26:51.601 --> 00:27:11.386]  That all kinds of kids wore disorder, attention deficit disorder, oppositional defiant disorder, and a whole bunch of other kids were mentally ill, seriously mentally ill, and so now you have literally two-year-olds, three-year-olds, four-year-olds being diagnosed with bipolar disorder and given major heavyweight drugs, anti-psychotic drugs.
[00:27:12.026 --> 00:27:18.393]  It's problematic enough that all these kids who weren't paying attention to boring schools were given speed amphetamines, which is what Adderall is.
[00:27:18.793 --> 00:27:27.142]  Now, they're given these heavy, sedating, zombifying, anti-psychotic drugs like Risperdal, like Zuprexil, like Seroquel.
[00:27:27.502 --> 00:27:30.806]  When you talk about diagnoses in psychiatry,
[00:27:32.427 --> 00:27:45.976]  There's almost zero reliability in any kind of diagnosis because when you take a kid, I've seen many, many kids who've come in here diagnosed by some other doctor with Attention Deficit Disorder, Hyperactivity Disorder.
[00:27:46.417 --> 00:27:50.179]  You know, I've seen many, many kids and I ask, well, how is this diagnosis made?
[00:27:50.719 --> 00:27:58.385]  And it turns out, always, that these diagnoses are made by these questionnaires that were handed out to parents to fill out or teachers to fill out.
[00:27:59.025 --> 00:28:06.448]  And routinely, I'll look at these questionnaires and I'll tell a kid, before I even meet them, I'll say, I bet you I know which teacher that you really like.
[00:28:07.208 --> 00:28:12.010]  And of course it's the one teacher that didn't diagnose the kid with attention deficit hyperactivity disorder.
[00:28:12.270 --> 00:28:13.811]  So what determines often
[00:28:14.451 --> 00:28:24.517]  You know, whether an adult perceives a kid with ADHD or any of these other diagnoses is, you know, how much trouble that kid is giving them.
[00:28:24.617 --> 00:28:26.658]  How much they like or dislike that kid.
