[00:00:02.970 --> 00:00:03.511]  We've got him.
[00:08:41.654 --> 00:08:55.021]  We're doing a show on the murder of John F. Kennedy, and apparently the Army doesn't like it, and they're in charge of Arlington National Cemetery, and the gentleman's name is Ken Hawes, spelled H-A-W-E-S.
[00:08:56.081 --> 00:09:01.184]  For those listeners out there that were as outraged as I am, I'll give you his phone number.
[00:09:01.204 --> 00:09:01.284]  310-235-7621.
[00:09:01.304 --> 00:09:02.104]  Again, 310-235-7621.
[00:09:14.770 --> 00:09:15.250]  We're good to go.
[00:09:33.903 --> 00:09:38.906]  That's not true because Kevin Costner got filmed there for the movie JFK with Oliver Stone.
[00:09:39.346 --> 00:09:40.287]  You see it in the film.
[00:09:40.747 --> 00:09:47.751]  Additionally, Mr. Hawes stated that you were denied in part because of the nature of your television program.
[00:09:48.171 --> 00:10:03.179]  Specifically, he stated, the topic of your particular episode, which alleges that the United States government was directly involved in the assassination of President John F. Kennedy, is contrary to the mission of the United States Army.
[00:10:06.440 --> 00:10:11.182]  So now the Army bureaucrats are deciding what Americans can do inside the country.
[00:10:11.443 --> 00:10:15.124]  Apparently, they have control over what you can film.
[00:10:15.785 --> 00:10:19.086]  I was a governor, a mayor, I'm a U.S.
[00:10:19.226 --> 00:10:20.847]  Navy Vietnam veteran.
[00:10:22.028 --> 00:10:23.929]  John Kennedy was a Navy man.
[00:10:24.329 --> 00:10:30.192]  I'll bet you if President Kennedy could speak out on this, he would be more than happy to let me film at his eternal flame.
[00:10:31.069 --> 00:10:54.036]  Well the issue is I've seen the news many times filmed there and as you mentioned it's in many films and documentaries and the film JFK which is saying it was a government operation so they're clearly discriminating against you and it just shows this atmosphere of government control where the government's involved in productions of movies where the army will try to block people even interviewing people in the military.
[00:10:54.056 --> 00:10:56.877]  You know what the bottom line is Alex?
[00:10:57.917 --> 00:11:00.279]  These people are supposed to work for us.
[00:11:00.919 --> 00:11:02.360]  We pay their salaries.
[00:11:02.440 --> 00:11:04.122]  It's called paying your taxes.
[00:11:06.143 --> 00:11:22.475]  That's what irks me a great deal, is the fact that I pay this guy's salary, and yet he has the ability to deny me from getting photographed by whom I consider the greatest president in my lifetime at his eternal flame?
[00:11:23.437 --> 00:11:26.999]  Because he happens to not like the content of my program?
[00:11:27.499 --> 00:11:28.459]  And where we're going?
[00:11:28.819 --> 00:11:32.621]  Because some of us believe the Warren Commission's a crock of you-know-what?
[00:11:33.842 --> 00:11:34.262]  You know?
[00:11:35.422 --> 00:11:38.524]  And we still seek the truth, even today?
[00:11:38.544 --> 00:11:48.588]  By the way, on another subject, she wouldn't go on air with me, it's kind of the same subject, but I did sit down with Marina Oswald for two and a half hours.
[00:11:49.437 --> 00:11:50.598]  Wow, tell us about that.
[00:11:50.878 --> 00:11:55.840]  Well, you know, she wouldn't go on the air, but I think the most dynamic thing was this.
[00:11:55.860 --> 00:11:57.241]  She said this to me, Alex.
[00:11:57.281 --> 00:11:59.622]  She said, nobody cares anymore.
[00:11:59.662 --> 00:12:03.965]  And I tried to convince her that yes, we do, because this is the cornerstone of corruption.
[00:12:03.985 --> 00:12:08.087]  If they can kill the president and get away with it, then they can do anything.
[00:12:08.647 --> 00:12:15.451]  And I said, it's important that history and we learn the truth, no matter how delayed it is, if indeed that we've been lied to.
[00:12:16.233 --> 00:12:21.893]  And she looked me right in the eye and she said, would you sacrifice your children for the proof?
[00:12:23.058 --> 00:12:24.579]  And I looked at her and said, no.
[00:12:24.920 --> 00:12:27.762]  And she said, neither will I. That means she's being threatened.
[00:12:28.322 --> 00:12:42.254]  Well, it doesn't mean she's necessarily being threatened, but it means that certainly she feels that there is still a threat out there that if maybe she spoke out and said what she really felt, that her children could come in some type of danger.
[00:12:42.314 --> 00:12:45.256]  At least that's, you know, the way it was intimated to me.
[00:12:45.316 --> 00:12:47.038]  And that's what I took from it was that
[00:12:47.438 --> 00:12:51.720]  She's still very protective of her children, and she's 69 years old now.
[00:12:52.560 --> 00:12:59.063]  She speaks pretty good English, and she's been married to her husband, Mr. Porter, since two years after the killing.
[00:13:01.266 --> 00:13:04.687]  Of course, the wife of Lee Harvey Oswald, her husband clearly set up.
[00:13:04.747 --> 00:13:12.309]  It's now admitted that he was CIA at that airbase in Japan and that they had him infiltrate Russia and then brought him back.
[00:13:12.329 --> 00:13:17.391]  Of course, the film JFK covers all of that with historical accuracy.
[00:13:18.051 --> 00:13:24.793]  Governor, off air you said, boy, the government sure is acting guilty, not just with this JFK thing, but everything.
[00:13:25.660 --> 00:13:30.682]  Everything we look into, Alex, the government behaves like they're guilty in hiding something.
[00:13:31.582 --> 00:13:39.304]  Let me put it to you this way, and I won't say where I was, but I've now been tailed and put on by Homeland Security.
[00:13:39.324 --> 00:13:42.225]  I've been tailed by the Coast Guard.
[00:13:43.105 --> 00:13:45.427]  And we don't do anything illegal, Alex.
[00:13:46.128 --> 00:13:48.510]  Everything we do on the show is above board.
[00:13:48.550 --> 00:13:59.940]  We try to go through proper channels, and we simply, if something requires us to go on the water, we do it in international waters, or waters that are supposed to be free to the public.
[00:14:00.460 --> 00:14:06.986]  But yet, we tried to hire a boat, and when they found out what we wanted to do, none of the fishermen would take us out.
[00:14:07.006 --> 00:14:07.567]  You know why?
[00:14:08.835 --> 00:14:17.300]  Because anybody on the coast now, their licenses fall under Homeland Security, and Homeland Security can pull their license if they don't like what they're doing.
[00:14:18.301 --> 00:14:21.383]  I like to refer to Homeland Security today as the Gestapo.
[00:14:23.587 --> 00:14:24.468]  Oh, absolutely.
[00:14:24.508 --> 00:14:26.952]  You've got almost every major federal agency under it.
[00:14:26.992 --> 00:14:33.600]  And now under the REAL ID Act, they want you to have to have a federally licensed through the state ID card to even be able to work.
[00:14:33.660 --> 00:14:36.204]  It's a total tracking system.
[00:14:36.284 --> 00:14:40.630]  And you also went somewhere where you were threatened to be shot.
[00:14:41.812 --> 00:14:51.039]  Well, yeah, they have areas in the country where they have signs up that say lethal force is authorized, which I find unbelievable.
[00:14:51.380 --> 00:14:52.941]  Whatever happened to a trial?
[00:14:52.981 --> 00:14:55.703]  Whatever happened to going to court?
[00:14:55.783 --> 00:14:59.446]  You know, how can you be judged purely in execution or one fails fruit?
[00:15:00.567 --> 00:15:09.294]  Now, I'm not saying that they necessarily have or did, but there's areas in this country where they've posted that lethal force is authorized, if you cross this line.
[00:15:10.373 --> 00:15:14.970]  And there's not even a fence, it's just you cross some magical line on a dune buggy, you're dead.
[00:15:16.269 --> 00:15:17.130]  Well, you could be.
[00:15:17.370 --> 00:15:22.674]  It's not saying that you are, but they're authorized to take you out with lethal force if they desire.
[00:15:22.955 --> 00:15:42.251]  Well, Governor, I mean, as you know, in 1947, the CIA got unlimited money, funding, and secrecy, and if you've got 60 years of a group being able to operate with unlimited funds and power, I mean, they've been caught shipping in narcotics, they've been caught engaging in assassinations, and they just think this country is their own private whorehouse.
[00:15:42.691 --> 00:15:48.514]  Well, you know, and unfortunately our elected officials are allowing them to get away with it.
[00:15:48.554 --> 00:15:57.938]  You know, we need to, you know, get back our country and remember always, Alex, that we the people, when this country was formed, we were supposed to be the priority.
[00:15:58.938 --> 00:16:02.363]  It was supposed to be a country of citizens first, government second.
[00:16:02.864 --> 00:16:04.205]  But it's not that way today.
[00:16:04.306 --> 00:16:12.877]  Government is number one, and we citizens fall by the wayside because everything is directed towards the government and the survival of the government.
[00:16:13.649 --> 00:16:18.572]  Governor, I know you've been busy shooting, but earlier in the week, Top Secret USA came out.
[00:16:18.892 --> 00:16:25.255]  Two-year Washington Post investigation, 850-plus thousand private corporate chiefs.
[00:16:25.915 --> 00:16:30.058]  That's close to a million, with the highest level security clearance there is.
[00:16:30.798 --> 00:16:34.080]  And the Washington Post described it as a complete takeover of society.
[00:16:34.120 --> 00:16:37.882]  So we have a private corporate system that's giving itself government power.
[00:16:38.582 --> 00:16:40.124]  Oh, I wouldn't doubt it.
[00:16:40.184 --> 00:16:42.807]  I said that probably about 10 years ago.
[00:16:42.867 --> 00:16:54.980]  I said, the internet right now is the only thing where you can, you know, have total freedom on there.
[00:16:55.000 --> 00:17:00.226]  But I said, rest assured, the government will put high priority on getting control of the internet.
[00:17:00.906 --> 00:17:06.827]  Because that's the one place you can go to, supposedly, and have freedom, and they're not going to allow that.
[00:17:07.307 --> 00:17:21.010]  You know, more and more I'm seeing our country becoming under the thumb of corporate America, not even... Well, it's like, you know, it came out in the article that I said, I now am very clear on why we're in Afghanistan, Alex.
[00:17:22.290 --> 00:17:26.511]  It has nothing to do with terrorism and Bin Laden, that's all a big red herring.
[00:17:27.151 --> 00:17:28.611]  We're there for the lithium.
[00:17:29.696 --> 00:17:34.738]  Did you see that story a month ago where they found $8 billion of lithium over there?
[00:17:35.138 --> 00:17:36.198]  I mean, think about it.
[00:17:36.258 --> 00:17:40.900]  That runs every cell phone, computer, and soon-to-be electric cars.
[00:17:40.920 --> 00:17:45.702]  The only way to get to Afghanistan is to get the lithium.
[00:17:45.762 --> 00:17:48.403]  Now, why won't they just be honest and say that?
[00:17:50.213 --> 00:17:57.715]  Well, they went on to admit that it could be potentially a trillion dollars, and that they knew this in reports before they invented it.
[00:17:57.735 --> 00:18:01.435]  It's also about the trillions in oil in that region as well.
[00:18:01.916 --> 00:18:04.556]  Right, you know, and that's the reason we're there.
[00:18:04.996 --> 00:18:11.058]  All this stuff on terrorism, you know, put it this way, terrorists are like a motorcycle gang.
[00:18:11.618 --> 00:18:17.259]  You know, they're out there, yes they do exist, and there is a possibility that you could run into them very minute.
[00:18:18.254 --> 00:18:22.237]  But they are not what this government is making us believe.
[00:18:22.778 --> 00:18:24.859]  They are not like the Nazi Army.
[00:18:24.879 --> 00:18:28.362]  They are not like the Japanese Army of World War II.
[00:18:28.382 --> 00:18:29.843]  They're not a country out there.
[00:18:29.883 --> 00:18:35.468]  They're just small groups of criminals that are involved in criminal activity and you have to deal with them.
[00:18:36.068 --> 00:18:41.833]  But to put our country under lock and key and take our rights away from us.
[00:18:43.169 --> 00:18:50.673]  Absolutely, and every major technology firm out there is getting massive government contracts to spy on the American people.
[00:18:51.093 --> 00:18:53.695]  They've completely butchered the Bill of Rights and Constitution.
[00:18:54.215 --> 00:18:56.897]  All these groups have the motive for the terror.
[00:18:56.977 --> 00:18:58.117]  They stand to gain from it.
[00:18:58.137 --> 00:19:11.545]  Did you see the Financial Times of London with one of Obama's advisors, Robert Shapiro, saying of if, in fact guys print that quote for me, that if Obama doesn't have an Oklahoma City or 9-11 soon, his political
[00:19:12.705 --> 00:19:16.529]  Well, how would Oklahoma City or 9-11 help him?
[00:19:16.569 --> 00:19:17.109]  Well, okay.
[00:19:17.149 --> 00:19:31.862]  Well, all I know, Alex, is that, you know, I fully expect within ten years that we're going to have to have national ID cards and you're going to have to show them to go state to state.
[00:19:39.688 --> 00:19:43.593]  Oh, they're already saying that we've got a national ID card and they do want you to have it for anything.
[00:19:43.934 --> 00:19:49.682]  Governor Jesse Ventura is our guest host of the hit television program Conspiracy Theory.
[00:19:49.742 --> 00:19:50.423]  I'm Alex Jones.
[00:19:50.463 --> 00:19:52.826]  Infowars.com and PrisonPlanet.com are our websites.
[00:19:52.846 --> 00:19:53.707]  We'll be right back.
[00:19:53.727 --> 00:19:54.108]  Stay with us.
[00:20:00.578 --> 00:20:09.664]  Global meltdowns, massive unemployment, endless wars, a new currency crisis, financially and morally bankrupt, a great and terrible storm is approaching.
[00:20:09.784 --> 00:20:13.106]  So what's the best way to get ready to get prepared for hard times ahead?
[00:20:13.126 --> 00:20:22.792]  In producing Off The Grid News, a weekly newsletter for independent patriots who want practical advice on how to survive and prosper in an increasingly dangerous world.
[00:20:22.933 --> 00:20:28.176]  It's the best way to get a black belt in emergency preparedness, survival skills, and off-the-grid living.
[00:20:28.476 --> 00:20:43.748]  Off the Grid News is fiercely independent, all about self-reliance and packed with helpful information on survival gardening, food preparation, alternative energy, herbal medicines, privacy and security, as well as God, gold and guns, with absolutely no apologies.
[00:20:43.928 --> 00:20:48.432]  And the best part, this $100 a year service is now free of charge for our listeners.
[00:20:48.552 --> 00:20:52.635]  That's right, free for our listeners who sign up at OffTheGridNews.com.
[00:20:52.735 --> 00:20:54.717]  That's OffTheGridNews.com.
[00:20:54.917 --> 00:20:55.938]  You can sign up free.
[00:20:58.520 --> 00:21:07.549]  The economy is crumbling, debt soaring, and the possibility of World War III is increasing.
[00:21:08.430 --> 00:21:19.521]  I started SurvivalistSeeds.com from my dining room table with a small bucket of seed and a single rotating banner ad on PrisonPlanet.com.
[00:21:20.501 --> 00:21:28.043]  Two years later, we've sold over 40,000 pounds of heirloom seeds, becoming the largest bulk seed seller to the public.
[00:21:28.763 --> 00:21:32.484]  The majority of our customers are Alex Jones listeners.
[00:21:33.324 --> 00:21:48.508]  Now I'm offering 50 all-organic garden varieties, 10,000 heirloom seeds, garden planner, and a CD teaching you how to save seeds, so your children's children will always have healthy food.
[00:21:49.502 --> 00:21:51.287]  Don't wait until it's too late.
[00:21:52.210 --> 00:21:57.665]  I'm Vic John Lipscomb and my company is survivalistseeds.com.
[00:22:01.852 --> 00:22:05.014]  Hi, I'm Mark Craighead, founder of Crossbreed Holsters.
[00:22:05.234 --> 00:22:13.258]  I designed our top-selling holster, the SuperTuck Deluxe, to solve the problems of being poked, pinched, and gouged while carrying concealed.
[00:22:13.418 --> 00:22:18.540]  The SuperTuck Deluxe is the most comfortable, most concealable holster on the market today.
[00:22:18.740 --> 00:22:21.622]  We offer a two-week free trial and a lifetime warranty.
[00:22:21.722 --> 00:22:24.583]  Visit us at crossbreedholsters.com.
[00:22:25.624 --> 00:22:28.805]  Don't forget, crossbreedholsters.com.
[00:22:30.206 --> 00:22:31.287]  Hi, this is Ted Anderson.
[00:22:31.447 --> 00:22:35.850]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:36.010 --> 00:22:41.734]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:41.834 --> 00:22:45.236]  Gold is outperformed paper investments, yet no word about IRAs.
[00:22:45.476 --> 00:22:48.078]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:50.340 --> 00:22:53.101]  Don't get left behind by rising inflation and low returns.
[00:22:53.241 --> 00:22:53.482]  Call 800-686-2237.
[00:22:53.502 --> 00:22:54.883]  Secure your future and call 1-800-686-2237.
[00:23:00.787 --> 00:23:01.087]  We're good.
[00:23:21.786 --> 00:23:26.090]  Refinishing, trigger repair, and much, much more for rifles, pistols, and shotguns.
[00:23:26.370 --> 00:23:29.112]  Courses available for both the hobbyist and the professional.
[00:23:29.333 --> 00:23:35.798]  You can even get certified as a gunsmith and make money part-time, full-time, or as a retirement income doing what you love.
[00:23:35.998 --> 00:23:37.940]  Call 1-800-247-5032 to order your free sampler DVD and catalog.
[00:23:37.960 --> 00:23:38.180]  That's 1-800-247-5032.
[00:23:38.220 --> 00:23:39.922]  Call now and get a bonus $10 saving coupon.
[00:23:48.430 --> 00:23:58.904]  1-800-247-5032 or go to AmericanGunSmithDVD.com Learn how, learn now with AmericanGunSmithDVD.com your source for how-to gunsmithing videos!
[00:24:04.517 --> 00:24:07.239]  Alright folks, final segment with Governor Jesse Ventura.
[00:24:07.259 --> 00:24:09.780]  Don't forget, the film's now being censored online.
[00:24:10.000 --> 00:24:15.644]  The Obama Deception, and of course, Fall of the Republic, available at InfoWars.com.
[00:24:16.784 --> 00:24:20.206]  Since I mentioned it, top Clinton official, only a terror attack can save Obama.
[00:24:20.507 --> 00:24:25.390]  Financial Times of London, the bottom line here is that Americans don't believe in Obama's leadership.
[00:24:25.550 --> 00:24:32.034]  Sid Shapiro adding, he has to find some way between now and November of demonstrating that he is a leader who can command confidence in short of an
[00:24:32.654 --> 00:24:37.118]  9-11 event, or an Oklahoma City bombing, I can't think of how he can do that.
[00:24:37.178 --> 00:24:38.519]  Governor Ventura, is that chilling?
[00:24:39.200 --> 00:24:40.841]  Well, unbelievable.
[00:24:40.901 --> 00:24:48.929]  I mean, that they talk about that an event has to take place to have confidence in your president, what, that he can fight a war, that we have the strongest military in the world?
[00:24:49.809 --> 00:24:50.990]  We've already proven that.
[00:24:51.011 --> 00:24:57.817]  You know, I just find it outrageous that someone would say that, and what they'll do for political gain.
[00:24:58.715 --> 00:24:59.676]  Well, it's very brazen.
[00:24:59.716 --> 00:25:02.160]  They think we're a bunch of idiots to be talking like that openly.
[00:25:02.660 --> 00:25:09.209]  Governor, in closing, let's talk about the issue of the First Amendment and give out that number one more time.
[00:25:13.875 --> 00:25:14.775]  We're good to go.
[00:25:41.767 --> 00:25:43.669]  Take pictures of it and live with it?
[00:25:44.509 --> 00:25:52.637]  And then it goes on to say, uh, additionally, Mr. Hall stated that you were denied in part because of the nature of your television program.
[00:25:52.997 --> 00:26:06.469]  Specifically, he stated the topic of your particular episode, which alleges the United States government was directly involved in the assassination of President John F. Kennedy, is contrary to the mission of the United States Army.
[00:26:07.643 --> 00:26:11.784]  Now, first of all, Alex, they didn't know what's in my show.
[00:26:11.824 --> 00:26:15.965]  My show hasn't aired yet, so they're simply assuming what's in there.
[00:26:16.445 --> 00:26:19.565]  And then they're denying me because of the content of the show.
[00:26:20.205 --> 00:26:28.887]  John Kennedy was looted in Dallas, and if you don't go along with the official story, you are not allowed to film at his eternal flame.
[00:26:29.147 --> 00:26:33.348]  I guess if you do go along with the official story, maybe then they'll let you.
[00:26:33.368 --> 00:26:34.328]  We didn't ask that.
[00:26:34.828 --> 00:26:36.750]  But again, his name is Ken Hawes.
[00:26:36.770 --> 00:26:43.034]  His phone number is 310-235-7621.
[00:26:43.154 --> 00:26:44.015]  Once again, 310-235-7621.
[00:26:44.115 --> 00:26:55.003]  And I'd love for all real Americans to give this guy a call and give him a piece of your mind on who in the hell he thinks he is.
[00:26:55.943 --> 00:27:01.928]  Well, Governor Jesse Ventura, if we don't hang together, we'll certainly hang separate, as Benjamin Franklin said.
[00:27:03.835 --> 00:27:09.259]  Separately on this issue, though, you said that Michelle Bachman, the Congresswoman from your state, is very upset about this.
[00:27:09.940 --> 00:27:16.965]  We need to have an investigation or, I mean, pretty soon the military will tell us how to wipe our noses.
[00:27:16.985 --> 00:27:21.829]  Exactly, and what's the military doing inside our country telling us things like that?
[00:27:21.849 --> 00:27:23.290]  The U.S.
[00:27:23.490 --> 00:27:25.352]  military is supposed to protect us.
[00:27:25.992 --> 00:27:27.233]  Not from ourselves.
