[00:00:03.733 --> 00:00:06.276]  I'm Paul Craig Roberts.
[00:08:57.323 --> 00:09:00.103]  The government is one thing and the people are another.
[00:09:00.763 --> 00:09:04.964]  And we see that creeping back in in the United States.
[00:09:08.186 --> 00:09:16.752]  In a gun club, which I'm a member, where we shoot at paper targets, the police are allowed to use it as a courtesy.
[00:09:17.726 --> 00:09:25.015]  And, you know, the local county police and then others are allowed as well.
[00:09:25.695 --> 00:09:28.959]  And on some days there will be 25, 35, 40 squad cars and scores of
[00:09:36.327 --> 00:09:36.727]  We're good to go.
[00:09:57.337 --> 00:10:01.300]  And I stopped once and I asked him, I said, what are you doing?
[00:10:01.360 --> 00:10:04.762]  Are you practicing for some kind of competition?
[00:10:04.822 --> 00:10:11.026]  You know, you've got some big tournament coming up.
[00:10:11.106 --> 00:10:15.088]  And they said, oh no, we're practicing to win the shootout.
[00:10:16.509 --> 00:10:21.552]  And the shootout, and it was a small mountain-type town area.
[00:10:21.632 --> 00:10:23.093]  And I said, there?
[00:10:23.113 --> 00:10:26.015]  Who are you going to have a shootout with?
[00:10:27.793 --> 00:10:29.675]  And he said, them terrorists, terrorists.
[00:10:31.776 --> 00:10:33.518]  Well, who are the terrorists?
[00:10:33.538 --> 00:10:36.540]  There'll clearly never be any in that locale.
[00:10:38.802 --> 00:10:46.849]  And I think they're just preparing to put down any kind of public opposition or protest that might arise.
[00:10:47.690 --> 00:10:50.993]  And I think that's the reason the police are being militarized.
[00:10:51.433 --> 00:10:56.057]  They now are equipped by the Department of Defense with military weapons.
[00:10:57.671 --> 00:11:03.720]  Some jurisdictions apparently even have helicopter gunships and tanks.
[00:11:04.581 --> 00:11:07.545]  And they've got rocket-propelled grenades.
[00:11:08.507 --> 00:11:11.151]  It's an amazing array of weapons.
[00:11:12.608 --> 00:11:25.054]  For police, which are essentially supposed to be an investigative force to solve crimes and make a case against whoever committed a crime and present it to the prosecutor.
[00:11:25.074 --> 00:11:27.315]  That's what the police are supposed to do.
[00:11:27.795 --> 00:11:30.636]  But they're becoming like an occupation force.
[00:11:31.877 --> 00:11:36.899]  And they're undergoing military training with military weapons.
[00:11:38.642 --> 00:11:45.447]  This is an enormous departure from the role of police in the United States, or in any democracy.
[00:11:46.988 --> 00:11:52.012]  What we can say about the G20 is that it showed two things.
[00:11:52.192 --> 00:12:03.940]  One, that the rest of the world is losing faith in the dollar as a reserve currency, because this was what was on the minds of most of the people there, whatever the agenda was.
[00:12:05.161 --> 00:12:07.924]  The real agenda on everyone's mind was the dollar.
[00:12:08.684 --> 00:12:16.891]  We're holding all our reserves in dollars and you're inflating it away and we have to do something about this.
[00:12:16.952 --> 00:12:21.636]  We need some alternative way of settling international transactions.
[00:12:22.276 --> 00:12:31.984]  So I think that was an indication of the rest of the world is losing confidence in the United States and in the dollar as a reserve currency.
[00:12:32.905 --> 00:12:49.071]  Now the behavior of the police shows again the militarization of the police because they were very aggressive toward people who weren't causing any trouble and I believe the police were frankly disappointed
[00:12:50.571 --> 00:13:05.921]  That there wasn't more trouble for them to beat up on and so they on their own went into neighborhoods with their new weapons or protest suppression systems and just sort of arbitrarily abused people.
[00:13:06.001 --> 00:13:16.327]  So it's a further indication that the police agencies of the government are now separate from people that they're supposed to protect.
[00:13:19.946 --> 00:13:21.827]  It's taken many blows.
[00:13:22.308 --> 00:13:32.735]  It began probably with Abraham Lincoln and what's called the Civil War, because this destroyed the notion of a republic and states' rights.
[00:13:34.416 --> 00:13:47.686]  And it took another heavy blow in the Depression with Franklin Roosevelt and the New Deal, because that essentially took away the legislative power of Congress.
[00:13:48.507 --> 00:14:04.000]  You see, it used to be when Congress passed a law, they dotted every I, they crossed every T, and the regulatory agencies, that is, there really weren't any, the executive agencies had to enforce the law as Congress wrote it.
[00:14:04.640 --> 00:14:13.788]  But during the New Deal, the executive branch gained the power to write the regulations that implement the law.
[00:14:13.848 --> 00:14:16.070]  And so, in effect, they gained the power to write the law.
[00:14:16.770 --> 00:14:32.618]  So that when Congress passes a bill today or a statute, what it really is is it gives some executive agency the right to write the law by how it interprets it with its regulations.
[00:14:33.438 --> 00:14:39.201]  So Congress has lost essentially its legislative power back in the New Deal.
[00:14:39.961 --> 00:14:43.403]  And then what we've seen recently with the Bush regime
[00:14:44.463 --> 00:15:07.398]  Is how Congress just acquiesced time and again into executive claims that it was the superior branch of government and that Congress was there but it wasn't really on an equal basis and that the power of the President exceeded that of the power of the Congress and of the judiciary.
[00:15:08.258 --> 00:15:16.144]  So that you had an executive making claims that they were above the law and not bound by the law.
[00:15:16.925 --> 00:15:29.014]  And we saw the memos that came from the Department of Justice, John Yu and the others, that basically said the President is not bound by the United States statutory law against torture.
[00:15:30.175 --> 00:15:36.702]  Noisy bound by the Geneva Conventions that we've signed and essentially originated against torture.
[00:15:37.663 --> 00:15:41.927]  He's not bound by the Foreign Intelligence Surveillance Act.
[00:15:41.967 --> 00:15:45.631]  He can spy on Americans without a warrant, even though the law says he can't.
[00:15:47.633 --> 00:15:49.495]  These kinds of claims elevate.
[00:15:50.495 --> 00:16:05.025]  And then they use signing statements and various executive orders and directives to accumulate more and more power.
[00:16:06.186 --> 00:16:15.211]  And it's true, no president yet has tried to exercise all these powers at once, but they're there.
[00:16:16.824 --> 00:16:37.010]  And anytime there's a crisis that they can hide behind to use as a justification, then you now have enormous powers that the President can claim that were totally foreign to the Constitution, to the Founding Fathers, and to most of our experience.
[00:16:37.890 --> 00:16:38.931]  The American Empire
[00:16:42.332 --> 00:16:56.660]  took on new meaning after the collapse of the Soviet Union because even though there was a form of empire prior to that, any notion of U.S.
[00:16:56.700 --> 00:16:58.461]  hedge enemy was checked by
[00:16:59.381 --> 00:17:00.401]  By the Soviet Union.
[00:17:00.501 --> 00:17:03.503]  It was a formidable military force.
[00:17:03.523 --> 00:17:08.444]  It had huge amounts and numbers of nuclear weapons, you know.
[00:17:08.464 --> 00:17:15.867]  The Red Army had defeated Germany and Europe was still terrified.
[00:17:16.807 --> 00:17:27.051]  So the notion that we had an empire was somewhat different compared to what was possible when the Soviet Union
[00:17:27.811 --> 00:17:38.900]  Collapse because we very quickly broke all our agreements that Reagan had made with them and began behaving aggressively and it let the neoconservatives
[00:17:40.325 --> 00:17:47.769]  start preaching uh... empire in a new way and by which it means to them the U.S.
[00:17:47.830 --> 00:18:07.041]  hedge enemy over the whole world that we simply rule the world and they had not just a military justifications for that but they had these justifications that we are an exceptional people and that uh...
[00:18:07.481 --> 00:18:11.103]  We are the virtuous people.
[00:18:12.063 --> 00:18:21.408]  And so we not only had the right, we had the responsibility, the obligation to impose ourselves on the world.
[00:18:21.448 --> 00:18:24.829]  So this form of empire is new.
[00:18:25.650 --> 00:18:28.431]  The funny thing about this new empire is
[00:18:30.274 --> 00:18:37.230]  It's coinciding with the beginning of large-scale jobs offshoring.
[00:18:38.374 --> 00:19:00.473]  So while we are telling ourselves, hey look, we are this new world empire, there's nobody to block us, we're sending all the manufacturing jobs to China, all the middle class engineering jobs, the software engineering jobs, the information technology jobs, everything that people were using to rise up, to have upward mobility.
[00:19:03.442 --> 00:19:06.443]  And to have a strong middle class, we start destroying that.
[00:19:06.523 --> 00:19:14.306]  So we are destroying one of the bases for being powerful, at the same time that we get this notion that we are.
[00:19:16.186 --> 00:19:17.307]  And the same with the dollar.
[00:19:17.347 --> 00:19:23.449]  We start then, because of all the offshoring, the trade deficit explodes.
[00:19:24.209 --> 00:19:29.911]  You see, if you take production that you're making in the United States, and you move it abroad,
[00:19:31.291 --> 00:19:34.253]  You've destroyed it here and you've created it to wherever you moved it.
[00:19:34.273 --> 00:19:35.775]  It's now Chinese, for example.
[00:19:36.215 --> 00:19:37.937]  When it comes back, it's an import.
[00:19:39.538 --> 00:19:43.121]  And so the offshoring creates huge trade deficits.
[00:19:45.683 --> 00:19:47.805]  And that then puts the pressure on the dollar.
[00:19:49.967 --> 00:19:57.633]  So that's the funny thing about this new neocon version of empire.
[00:19:58.803 --> 00:20:08.707]  That it rose up right while we were destroying the middle class, the manufacturing base, the engineering jobs, the middle class jobs, and the dollar!
[00:20:09.047 --> 00:20:11.308]  We were destroying the dollar in the process.
[00:20:12.228 --> 00:20:20.511]  Well, the only real reason that we were a superpower was that the dollar is a reserve currency.
[00:20:21.735 --> 00:20:24.457]  Which means we can pay our bills on our own currency.
[00:20:25.497 --> 00:20:30.381]  We don't have to earn enough from exporting.
[00:20:30.441 --> 00:20:34.283]  We don't have to earn enough foreign exchange to pay for our imports.
[00:20:34.843 --> 00:20:39.546]  So we can run huge trade deficits because we just hand them dollars.
[00:20:41.248 --> 00:20:49.413]  We have simultaneously expanded our military ventures, which are also very costly and have to be financed.
[00:20:50.982 --> 00:20:57.447]  In fact, you could say, essentially, that our wars are financed by China.
[00:20:58.888 --> 00:21:06.134]  The trade surplus that the Chinese have with the United States, recycled back into the United States, covers the cost of our wars.
[00:21:08.216 --> 00:21:16.002]  So, how are you a superpower if your foreign creditors can cut you off just by not financing your deficit anymore?
[00:21:17.724 --> 00:21:20.406]  You've got no way to conduct war
[00:21:22.516 --> 00:21:23.938]  We don't have the money to pay for it.
[00:21:23.978 --> 00:21:30.345]  The current operating budget of the United States government is 50% of the rent.
[00:21:34.389 --> 00:21:36.191]  I mean, we probably can't even pay the President.
[00:21:37.179 --> 00:21:48.589]  The Chinese wasn't financing it, or the Japanese, or the Arab oil emirates, Saudi Arabia, the people who have substantial trade surpluses.
[00:21:49.390 --> 00:21:56.716]  It's the recycling of those surpluses that finance the government, or that has been financing the government.
[00:21:58.337 --> 00:22:11.110]  You know, as we said earlier, the annual budget deficit is getting much larger than the trade surpluses, so there is a growing financing problem.
[00:22:11.650 --> 00:22:18.277]  So, in that sense, the American empire that the neocons
[00:22:19.522 --> 00:22:29.374]  had in mind, which was a bigger, a different kind of empire than previously, an unchecked empire.
[00:22:31.637 --> 00:22:34.441]  That was undermined even as the ideas
[00:22:35.281 --> 00:22:37.323]  We're being put into their heads.
[00:22:37.964 --> 00:22:46.652]  It was undermined by the loss of the jobs, the manufacturing base, and the beginning of serious erosions on the dollar.
[00:22:46.992 --> 00:22:57.883]  You know, on December the 3rd of 2009, I think it's the first time in history that one Swiss franc is now worth more than one U.S.
[00:22:57.923 --> 00:22:58.163]  dollar.
[00:23:01.214 --> 00:23:09.197]  When I was a young man, there were 4.2 Swiss francs to the dollar.
[00:23:14.339 --> 00:23:28.925]  A number of years ago, I guess maybe four or five years ago, I predicted at a Brookings Institution conference in Washington that the United States would be a third world country in 20 years.
[00:23:31.750 --> 00:23:32.690]  I think I'm sticking.
[00:23:34.170 --> 00:23:35.591]  I think I'm sticking to that.
[00:23:37.171 --> 00:23:40.572]  Now, what could we possibly do?
[00:23:41.552 --> 00:23:45.972]  Here's a possible scenario to solve it.
[00:23:47.193 --> 00:23:54.374]  First of all, you would abolish the corporate income tax and not tax corporations on their profits.
[00:23:54.434 --> 00:24:00.015]  You would tax them according to where the value is added to their product.
[00:24:01.286 --> 00:24:13.193]  If they're producing abroad for American markets and the value to their product is being added in China, for example, you would have a very high tax rate.
[00:24:14.974 --> 00:24:22.358]  But if they are producing in the United States and the value added to their product is in the United States, they'd have a low tax rate.
[00:24:24.198 --> 00:24:36.688]  That might offset the huge labor cost advantage of jobs offshoring and may bring them back while there's still enough knowledge here to do the job.
[00:24:37.669 --> 00:24:40.992]  Ralph Gomory has made that proposal and I support it.
[00:24:42.353 --> 00:24:46.837]  And the other thing you would have to do is you would have to save the dollar as reserve currency.
[00:24:48.135 --> 00:24:51.298]  And so how can they save the dollar as a reserve currency?
[00:24:51.338 --> 00:24:56.684]  What they would have to do is get both the trade and the budget deficits under control.
[00:24:58.686 --> 00:25:00.608]  How could they get the budget deficit under control?
[00:25:01.569 --> 00:25:03.631]  Well, obviously they'd have to stop the wars.
[00:25:05.421 --> 00:25:10.004]  They'd have to bring back everybody from the 700 military bases.
[00:25:11.265 --> 00:25:14.047]  They would have to slash the military budget.
[00:25:15.287 --> 00:25:19.490]  We don't need a military budget that's as large as the rest of the world put together.
[00:25:19.530 --> 00:25:22.712]  We have vast oceans on our east, on our west.
[00:25:22.752 --> 00:25:25.274]  We have puppet states on our north and our south.
[00:25:25.294 --> 00:25:26.475]  There's nobody can invade us.
[00:25:29.335 --> 00:25:30.136]  It can't happen.
[00:25:31.377 --> 00:25:33.519]  The Canadians are an American puppet state.
[00:25:33.759 --> 00:25:35.981]  The Mexicans are an American puppet state.
[00:25:38.383 --> 00:25:44.468]  You couldn't possibly bring an invading army across the Atlantic or the Pacific.
[00:25:44.789 --> 00:25:50.994]  It's just not... So, we don't have that huge budget for defense.
[00:25:52.375 --> 00:25:54.277]  We have it for hegemony.
[00:25:57.009 --> 00:25:58.671]  And we can't afford the head's enemy.
[00:25:59.372 --> 00:26:03.838]  It's costing us our reserve currency status.
[00:26:04.339 --> 00:26:06.882]  So, we could get that under control.
[00:26:06.902 --> 00:26:13.811]  And the very fact that we changed the form of taxation in order to stop offshoring,
[00:26:14.901 --> 00:26:16.562]  And then we cut the defense budget.
[00:26:16.602 --> 00:26:22.504]  This would show people and the rest of the world, hey, they are getting their act in place.
[00:26:22.604 --> 00:26:24.464]  They're going to save the dollar.
[00:26:24.505 --> 00:26:26.265]  Oh, wow, isn't that great?
[00:26:26.305 --> 00:26:29.946]  We don't have to worry about it anymore because they don't really know what to do.
[00:26:30.007 --> 00:26:36.729]  It's not like there's another powerful country there that wants their currency to be the reserve currency.
[00:26:37.503 --> 00:26:38.843]  They don't really know what to do.
[00:26:38.943 --> 00:26:55.127]  So if we showed sense and intelligence and that we were taking definite steps to get both the trade and budget debits under control, then the world, I think, would continue supporting the dollar and give us time.
[00:26:55.768 --> 00:26:57.028]  It would take years, of course.
[00:26:57.848 --> 00:27:01.433]  And give us time to get our act back into balance.
[00:27:01.493 --> 00:27:06.460]  You'd have to get the budget back into balance, and you'd have to get the trade balance back into balance.
[00:27:07.361 --> 00:27:12.748]  And instead of getting the budget that was under control, we've blown it up by four times.
[00:27:13.189 --> 00:27:15.252]  It's four times greater this year than last year.
[00:27:17.478 --> 00:27:23.382]  Instead of dealing with the wars and saying, hey, what are we doing this for?
[00:27:23.402 --> 00:27:24.283]  We're expanding it!
[00:27:24.563 --> 00:27:27.725]  We're putting more troops into Afghanistan.
[00:27:27.745 --> 00:27:30.568]  We're putting more pressure on Iran.
[00:27:31.949 --> 00:27:45.719]  So we're sending the signals that we're going to continue the extravagance that has put the dollar under so much pressure and made it decline in value even against the Botswana pool.
[00:27:49.318 --> 00:27:56.465]  The United States dollar over the course of its life has become a fiat currency.
[00:27:57.846 --> 00:27:58.947]  It didn't start out that way.
[00:27:58.967 --> 00:28:12.140]  It started out backed by gold and to some extent in different times by silver and it therefore was commodity money.
[00:28:12.240 --> 00:28:12.800]  It actually
[00:28:13.961 --> 00:28:16.283]  Could be redeemed in precious metals.
[00:28:17.344 --> 00:28:32.157]  Americans could still exchange paper currency for gold and silver in the early part of the 1930s until President Roosevelt made them turn in the gold.
[00:28:33.716 --> 00:28:54.666]  And therefore he took the domestic economy off of gold and made it a fiat currency except there were still a few Federal Reserve notes that were silver certificates and were backed by silver and the coinage remained silver.
[00:28:55.666 --> 00:28:56.046]  As the
[00:28:57.687 --> 00:29:00.108]  Fiat, part of the currency, expanded.
[00:29:00.748 --> 00:29:05.370]  It put pressure on the ability to maintain a silver coinage and they got rid of that in 1968.
[00:29:07.271 --> 00:29:09.872]  And so that was the last of our silver coinage.
[00:29:09.912 --> 00:29:14.474]  They also got rid of the silver certificates that were Federal Reserve notes.
[00:29:15.154 --> 00:29:16.214]  And then in the early 70s, Nixon
[00:29:18.816 --> 00:29:23.779]  Ended any gold connection to the dollar in international transactions.
[00:29:24.899 --> 00:29:35.967]  So between the early 30s and the early 70s, foreigners still had the right to exchange paper dollars for gold.
[00:29:36.952 --> 00:29:46.398]  And that was the basis on which the dollar became a reserve currency, taking the place of the British Pound after World War II.
[00:29:48.219 --> 00:29:51.701]  But as the supply of
[00:29:52.742 --> 00:29:54.004]  Paper dollars grew and grew.
[00:29:55.225 --> 00:30:00.030]  The rest of the world began to see that they couldn't be converted into gold.
[00:30:00.111 --> 00:30:13.065]  And when the French made an effort to convert their holdings of dollars into gold and asked the United States government to take the dollars back and give them the gold equivalent, Nixon closed the gold window.
[00:30:13.766 --> 00:30:22.170]  And so since the early seventies there's been no connection between the currency of the United States and precious metals.
[00:30:23.351 --> 00:30:24.532]  We still had a copper penny.
[00:30:26.533 --> 00:30:34.477]  The penny was still a commodity money and that ended in the early years of the Reagan administration.
[00:30:35.177 --> 00:30:40.120]  I can still remember the Treasury meeting when they said they were going to take the copper out of the penny.
[00:30:40.801 --> 00:30:46.284]  And I protested and I said, well, you mean we can't even have an honest penny?
[00:30:46.704 --> 00:30:49.626]  What kind of country have we become?
[00:30:50.707 --> 00:30:52.208]  This is the situation today.
[00:30:52.328 --> 00:30:55.850]  It's a paper that can be printed endlessly.
[00:30:57.643 --> 00:31:01.026]  And yet there has been a certain amount of discipline.
[00:31:01.066 --> 00:31:12.534]  They have not really run the presses because they've been able to finance their budget deficits through issuing bonds and people buy the bonds.
[00:31:13.354 --> 00:31:28.000]  And when the American saving rate evaporated, the trading partners of the United States, who had large trade surpluses with the United States, used their trade surpluses to buy the Treasury's bonds.
[00:31:28.380 --> 00:31:33.362]  And so the money that we would pay out to them for imports
[00:31:34.362 --> 00:31:39.546]  Would recycle and then come back and finance the government's budget.
[00:31:39.606 --> 00:31:53.615]  So we haven't really had to print money on the level of a banana republic in order to finance the current operating expenditures of the government until recently.
[00:31:53.675 --> 00:31:58.018]  It's coming upon us because the fiscal year deficit in 2009
[00:32:00.119 --> 00:32:19.777]  is four times larger than the fiscal deficit of 2008 and it's much larger than the trade surpluses of our trading partners and therefore there's not enough dollars to recycle to finance
[00:32:21.147 --> 00:32:21.808]  The deficit.
[00:32:21.868 --> 00:32:25.071]  And the same thing is occurring in 2010.
[00:32:25.891 --> 00:32:29.034]  The deficit again is huge.
[00:32:29.955 --> 00:32:37.502]  And the government itself forecasts it's going to be a trillion dollars a year for the next decade.
[00:32:37.682 --> 00:32:41.045]  So that's two and a half times for ten years the size.
[00:32:42.896 --> 00:33:01.524]  Of the 08 deficit and the rest of the world doesn't have this kind of surplus savings or surplus from their trade with the United States to buy all these bonds so there's no way to finance them in my view except to print the money.
[00:33:02.265 --> 00:33:04.986]  One exception would be another decline in the stock market.
[00:33:05.126 --> 00:33:11.709]  If the stock market busts again, which it's likely to do, then people fleeing for safety
[00:33:12.450 --> 00:33:13.240]  We'll buy the bonds.
[00:33:14.997 --> 00:33:16.958]  Because that's traditional.
[00:33:17.078 --> 00:33:19.200]  I mean, it's habit.
[00:33:19.280 --> 00:33:20.481]  It's the way people behave.
[00:33:20.521 --> 00:33:24.223]  When they get scared of stocks, they run and get into government bonds.
[00:33:24.283 --> 00:33:28.807]  And they still think the Treasury is a safe place to be.
[00:33:29.387 --> 00:33:33.550]  So that could finance a near-term deficit.
[00:33:33.570 --> 00:33:34.771]  But that'll only work once.
[00:33:35.511 --> 00:33:43.137]  Because, you know, after the stock market crashes again, it's not likely to have a whole lot of people going back into it.
[00:33:43.857 --> 00:33:45.642]  So that's what we face.
[00:33:45.722 --> 00:33:52.420]  We face these very large deficits for which there's no obvious way of financing them.
[00:33:53.726 --> 00:33:56.447]  Except to create new money.
[00:33:56.968 --> 00:34:21.759]  And the way that happens is when the Treasury takes a bond, takes its new debt to auction, it says, okay, this year we've got X billion, this quarter, we've got X billion of Treasuries in cementure bids, and there are not enough bids to take the bonds, then the Federal Reserve steps in.
[00:34:22.978 --> 00:34:23.338]  We're good.
[00:34:40.537 --> 00:34:41.097]  In a book.
[00:34:42.418 --> 00:34:45.500]  And it takes the bonds and creates the money to pay for them.
[00:34:45.540 --> 00:34:49.843]  Now, when you start doing that, you're telling the whole world that you're printing money.
[00:34:49.863 --> 00:34:56.887]  And if the whole world is still holding dollars and they see that's going on, they're going to try to get out of them pretty quickly.
[00:34:58.428 --> 00:35:01.070]  And as they get out of them, then who's going to buy those?
[00:35:02.591 --> 00:35:03.792]  They're trying to sell them.
[00:35:04.592 --> 00:35:06.133]  Everybody's trying to sell.
[00:35:06.213 --> 00:35:07.354]  What happens to the price?
[00:35:08.752 --> 00:35:14.578]  The exchange value of the dollars, the price, relative to other currencies, and it starts dropping, dropping, dropping.
[00:35:14.638 --> 00:35:17.421]  And so who buys them?
[00:35:19.063 --> 00:35:25.670]  The Fed creates more money to redeem the bonds that nobody wants.
[00:35:26.330 --> 00:35:29.473]  And this is why some people see hyperinflation.
[00:35:30.554 --> 00:35:36.698]  In our near to intermediate term future, sometime within the next five years.
[00:35:37.698 --> 00:35:40.620]  Once hyperinflation starts, it moves very quickly.
[00:35:42.541 --> 00:35:50.785]  And if it coincides with high unemployment, you have a crisis that we've never experienced.
[00:35:50.825 --> 00:35:57.049]  You know, the Great Depression, when everyone was unemployed, you had high unemployment, but prices were stable or falling.
[00:35:58.991 --> 00:36:04.994]  To have high unemployment and rabidly rising prices when people have no way of getting income.
