[00:00:07.276 --> 00:00:08.583]  We are simulcasting.
[00:10:01.158 --> 00:10:03.740]  That clearly violates the Constitution.
[00:10:03.780 --> 00:10:18.329]  We give the article sections in Fall of the Republic, and clearly he's trying to cede authority unconstitutionally, and then that is the definition of treason, is to swear an oath and then sell your country out to foreign interest.
[00:10:18.763 --> 00:10:20.705]  No, you're absolutely right about that, no doubt about that.
[00:10:21.345 --> 00:10:29.192]  And that's perhaps a more grievous one, because then the insidiousness of actually doing that and conspiring with other nations.
[00:10:30.113 --> 00:10:36.498]  So he would have had to have started on this process quite some time ago, not during the election cycle.
[00:10:36.998 --> 00:10:47.167]  But those who are pulling the strings on his presidency and him as a puppet would have had to have thought about this years ago more than just recently.
[00:10:48.866 --> 00:10:49.508]  Absolutely.
[00:10:51.013 --> 00:10:55.748]  Expanding along those lines, Obama has the lowest approval rating of any president
[00:10:56.824 --> 00:11:05.031]  One year in office in history, and he got that record eight months in, but it continues to slide at record levels.
[00:11:05.051 --> 00:11:12.297]  I mean, he's plunging in freefall right now, and everything he's doing is falling apart, but he doesn't care.
[00:11:12.337 --> 00:11:18.762]  And now he has announced, and his former head of cybersecurity resigned and said, the Pentagon is covertly taking over the Internet.
[00:11:19.263 --> 00:11:20.303]  And then Obama came out.
[00:11:20.504 --> 00:11:20.964]  It was CNET News.
[00:11:22.285 --> 00:11:30.153]  You name it, and said, we may shut the web down to protect it, and we are feeding everything through these NSA hubs now.
[00:11:30.633 --> 00:11:34.857]  I mean, that's treason against the Constitution, and dwarfs George Bush's illegal spying.
[00:11:34.897 --> 00:11:39.481]  But again, it's just the progression of these puppets carrying out this agenda.
[00:11:40.142 --> 00:11:46.808]  And I remember you a year ago saying that the government and Obama were going to go after free speech, and now Cass Sunstein
[00:11:47.509 --> 00:11:47.629]  The
[00:12:09.381 --> 00:12:10.142]  Outrageous.
[00:12:11.143 --> 00:12:12.064]  I'm even blown away.
[00:12:12.544 --> 00:12:12.944]  You're right.
[00:12:12.984 --> 00:12:23.614]  You know, you first started this segment, we're talking about his popularity ratings are in the toilet, if you will, and going deeper.
[00:12:24.835 --> 00:12:28.219]  But Alex, I have to tell you, I don't believe he cares about his ratings right now.
[00:12:28.319 --> 00:12:34.765]  I think there has been such a conspiracy to control this nation and other
[00:12:35.507 --> 00:12:36.408]  No, you're right.
[00:12:36.448 --> 00:12:37.468]  I mean, he's on a mission.
[00:12:37.528 --> 00:12:39.229]  They are sprinting for the finish line.
[00:12:39.529 --> 00:12:40.210]  Right, right.
[00:12:40.590 --> 00:12:42.231]  So his popularity is not an issue with him.
[00:12:42.291 --> 00:12:45.613]  It may be an issue with someone who's naive about what's happening, but not with him.
[00:12:45.953 --> 00:12:48.935]  They are in control and they're going to shut down.
[00:12:49.735 --> 00:12:51.656]  I expect, I know that I'm tapped.
[00:12:51.716 --> 00:12:53.137]  I know that I'm listening to everything.
[00:12:53.237 --> 00:12:56.259]  I think the reason why, and I didn't make that clear earlier,
[00:12:57.003 --> 00:12:59.244]  That the Secret Service came to visit me.
[00:12:59.284 --> 00:13:01.445]  They wanted me to know you were being watched, boy.
[00:13:01.545 --> 00:13:03.726]  And we've got you on our line.
[00:13:04.487 --> 00:13:06.968]  And everything you say and do, we're monitoring.
[00:13:07.008 --> 00:13:08.349]  I think they wanted me to know that.
[00:13:09.049 --> 00:13:11.050]  And they're doing that with a whole lot of people.
[00:13:13.371 --> 00:13:16.613]  And it's completely unconstitutional and it's outrageous.
[00:13:16.693 --> 00:13:21.716]  I mean, you've always called for nonviolence and you're not calling for any violence against anybody.
[00:13:22.076 --> 00:13:23.977]  You're simply saying this is treason.
[00:13:24.835 --> 00:13:25.375]  Absolutely.
[00:13:26.035 --> 00:13:28.996]  And I think the American people need to wake up.
[00:13:29.596 --> 00:13:46.680]  We still have a slither of a chance to regain this nation, and we can go after the Illuminati, we can go after the Bilderbergs, we can go after the power sources that are controlling our planet right now.
[00:13:48.300 --> 00:13:51.321]  We can go after them if we wake up, but if we don't,
[00:13:52.807 --> 00:14:00.494]  I think right now the internet is perhaps the most powerful tool that can be used to stop what's happening in our nation.
[00:14:00.554 --> 00:14:03.937]  And we better appreciate it and we better use it right now while we still got it.
[00:14:04.578 --> 00:14:05.199]  We certainly better.
[00:14:05.659 --> 00:14:11.084]  But you know, waking up the American people is a major task, as I'm sure you are very much aware of.
[00:14:11.665 --> 00:14:14.407]  We're going to need the support and the awakeness of the American people.
[00:14:14.427 --> 00:14:15.669]  Do you know who Mark Dice is?
[00:14:17.745 --> 00:14:24.358]  Well, we'll go to InfoWars.com or PrisonPlanet.com and I believe the headline is... What's our headline on our article about that?
[00:14:25.560 --> 00:14:30.028]  It's... Mark Dice... What's the headline?
[00:14:31.260 --> 00:14:35.262]  Clueless in California, Mark Dice gets people to sign a petition to ban the First Amendment.
[00:14:35.523 --> 00:14:40.165]  And he said, we want to ban free speech, ban people's right to criticize Obama in any way.
[00:14:40.465 --> 00:14:44.067]  And the majority of them signed the petition and read it and signed it.
[00:14:44.468 --> 00:14:47.830]  I mean, now that's Southern California, but that is zombie-like.
[00:14:47.890 --> 00:14:50.131]  I mean, that is the opposite of freedom.
[00:14:50.171 --> 00:14:51.532]  These people are dangerous.
[00:14:51.952 --> 00:14:53.214]  No, you're absolutely right.
[00:14:53.774 --> 00:14:55.476]  And it's only going to get worse.
[00:14:56.537 --> 00:15:06.429]  And then I've got you guys, what I refer to as the dunghead media, others refer to them as mainstream media, who also are part of this process, whether or not they're being
[00:15:07.509 --> 00:15:09.050]  We're good to go.
[00:15:31.499 --> 00:15:32.560]  Well, it's worse than that.
[00:15:33.260 --> 00:15:50.190]  In Vermont, of all places, in Illinois, in Missouri, and we have clips of it in Fall of the Republic, Dr. Manning, and I don't know if you've seen the film, I should send you a copy, where they said we're truth squads and that state officials and
[00:15:51.812 --> 00:15:56.455]  Local DAs were on TV saying, if you lie about Obama, we're going to indict you.
[00:15:56.835 --> 00:16:00.497]  Not, Obama can sue you if it's proven to be a lie later.
[00:16:00.537 --> 00:16:12.885]  They said, if we see ads questioning him, and they said, he's a Christian, he wants to cut your taxes, and that's a quote, and if you disagree with that, you're going to go to jail.
[00:16:13.105 --> 00:16:17.448]  They really were testing to see if they could just say, sit down and shut up.
[00:16:17.508 --> 00:16:19.249]  And people need to take this seriously.
[00:16:19.569 --> 00:16:21.070]  I mean, these people mean business.
[00:16:21.795 --> 00:16:22.455]  Oh, absolutely.
[00:16:22.495 --> 00:16:23.375]  There's no doubt about it.
[00:16:24.716 --> 00:16:29.417]  Perhaps more so than the average person can fathom, and that's one of the reasons why people still wait.
[00:16:29.457 --> 00:16:30.017]  Yeah, I'm aware.
[00:16:30.037 --> 00:16:31.038]  I follow the Republican.
[00:16:31.058 --> 00:16:33.398]  I'm aware of that statement.
[00:16:34.899 --> 00:16:38.700]  They not only mean business, Alex, but they're in control.
[00:16:39.440 --> 00:16:43.321]  They're riding this wave of power that they have, and they are not intimidated.
[00:16:43.341 --> 00:16:45.381]  I mean, who are you going to send to stop them?
[00:16:45.902 --> 00:16:46.182]  You know?
[00:16:46.202 --> 00:16:49.683]  I mean, who are you going to call the Marines and tell them to go after these people?
[00:16:49.703 --> 00:16:50.703]  Who are you going to send?
[00:16:51.437 --> 00:16:53.319]  Well, that's the issue, is that you're right.
[00:16:53.700 --> 00:16:54.841]  They know they've got power.
[00:16:54.941 --> 00:16:55.582]  They don't care.
[00:16:55.622 --> 00:16:56.322]  They're robbing us.
[00:16:56.342 --> 00:16:57.704]  They're setting up a police state.
[00:16:58.605 --> 00:17:00.707]  And it's just getting worse and worse and worse.
[00:17:01.788 --> 00:17:06.393]  Well, I think there is, as you stated, the Internet is a powerful tool right now.
[00:17:06.413 --> 00:17:10.398]  They can be at least stopped.
[00:17:11.534 --> 00:17:11.754]  I think?
[00:17:41.894 --> 00:17:42.515]  It's stunning.
[00:17:42.555 --> 00:17:43.115]  Stay there.
[00:17:44.035 --> 00:17:46.537]  Reverend Manning, we're going to give you his website and more.
[00:17:46.837 --> 00:17:50.579]  He of course has a radio show as well on the other side of this quick break.
[00:17:50.599 --> 00:17:51.459]  He has a lot of courage.
[00:17:51.479 --> 00:17:52.559]  You've got to admire that.
[00:17:52.580 --> 00:17:55.861]  We're going to come back after this break with Reverend Manning.
[00:17:55.881 --> 00:17:56.241]  Stay with us.
[00:17:58.533 --> 00:17:59.794]  Hi, this is Alex Jones.
[00:17:59.834 --> 00:18:05.159]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:18:05.419 --> 00:18:10.043]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:18:10.444 --> 00:18:15.508]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:18:16.029 --> 00:18:20.713]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:18:21.226 --> 00:18:28.152]  They call it a Survival Seed Bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:18:28.352 --> 00:18:29.253]  And here's the best part.
[00:18:29.473 --> 00:18:35.838]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:18:36.158 --> 00:18:39.000]  So visit them today at survivalseedbank.com.
[00:18:39.341 --> 00:18:41.222]  That's survivalseedbank.com.
[00:18:41.562 --> 00:18:42.423]  Or give them a call at 877-327-0365.
[00:18:42.443 --> 00:18:42.643]  That's 877-327-0365.
[00:18:42.663 --> 00:18:42.924]  Remember,
[00:18:51.277 --> 00:18:54.879]  In a real crisis, non-hybrid seeds are the ultimate barter item.
[00:18:55.199 --> 00:18:57.640]  This is Alex Jones for survivalseedbank.com.
[00:18:59.060 --> 00:19:06.223]  For the first time ever, the makers of Alpine Air Foods have approved an incredible sale with savings only available through ready-made resources.
[00:19:06.243 --> 00:19:11.265]  For a limited time, save 25% off all cases of freeze-dried foods by Alpine Air.
[00:19:11.305 --> 00:19:14.807]  Yes, 25% off on case lots only of Alpine Air Foods.
[00:19:14.927 --> 00:19:17.328]  Only available at readymaderesources.com.
[00:19:17.348 --> 00:19:19.829]  Mix and match as much as you want to best suit your needs.
[00:19:20.009 --> 00:19:20.429]  But hurry!
[00:19:20.829 --> 00:19:27.233]  This 25% off sale on Alpine Air Freeze Dried Foods is only until January 30th and only from readymaderesources.com.
[00:19:27.293 --> 00:19:31.515]  Quality Alpine Air Freeze Dried Foods have a 10-year shelf life and are easy to prepare.
[00:19:31.575 --> 00:19:33.937]  Just add water for great tasting snacks or meals.
[00:19:34.057 --> 00:19:37.819]  Remember, this sale on Alpine Air Foods only lasts through January 30th.
[00:19:37.839 --> 00:19:38.159]  Hurry!
[00:19:38.239 --> 00:19:41.321]  Go to readymaderesources.com or call toll-free 1-800-627-3809.
[00:19:44.142 --> 00:19:45.084]  We're good to go!
[00:19:58.132 --> 00:20:00.454]  You have a mortgage and a load of other debt.
[00:20:00.574 --> 00:20:02.295]  Wouldn't it be great if it all just went away?
[00:20:02.455 --> 00:20:04.237]  No More Mortgage can change your life.
[00:20:04.317 --> 00:20:05.658]  We paid off all of our bills.
[00:20:05.758 --> 00:20:08.500]  All your debt, including your mortgage, in as little as nine years.
[00:20:08.540 --> 00:20:14.104]  With No More Mortgage, we will have saved over $313,000 in interest payments.
[00:20:14.184 --> 00:20:15.785]  Even have more money left over each month?
[00:20:15.865 --> 00:20:18.427]  It lowered our monthly payments by a little over $500.
[00:20:18.467 --> 00:20:18.928]  No More Mortgage.
[00:20:20.969 --> 00:20:22.189]  Where have they been all of our life?
[00:20:22.249 --> 00:20:24.670]  If you knew about something like that, you'd want to tell everybody.
[00:20:24.750 --> 00:20:28.371]  Whenever I have a friend or someone that needs this service, I give them the number.
[00:20:28.631 --> 00:20:30.751]  I'm Larry Ruff, president of No More Mortgage.
[00:20:30.791 --> 00:20:36.012]  This is unlike anything you have ever seen before, and it will absolutely not harm your credit.
[00:20:36.112 --> 00:20:37.332]  Call for your free CD.
[00:20:37.632 --> 00:20:42.713]  Learn how you can eliminate all your debt, including your mortgage, much sooner than you ever dreamed possible.
[00:20:42.853 --> 00:20:44.734]  The more debt you have, the more we can help.
[00:20:44.814 --> 00:20:45.574]  Call for your free CD now.
[00:20:45.594 --> 00:20:45.634]  800-578-6279.
[00:20:45.674 --> 00:20:46.074]  This works.
[00:20:46.214 --> 00:20:46.514]  Call the number.
[00:20:50.655 --> 00:20:51.876]  Call now for your free CD.
[00:20:51.896 --> 00:20:51.996]  800-578-6279.
[00:20:52.016 --> 00:20:52.156]  800-578-6279.
[00:20:52.256 --> 00:20:53.757]  Day after day.
[00:20:53.777 --> 00:20:55.238]  Alone on a hill.
[00:20:55.258 --> 00:21:03.422]  The man with the foolish dream.
[00:21:03.442 --> 00:21:10.186]  Alright, here's the deal.
[00:21:10.366 --> 00:21:15.109]  Reverend Manning's gonna be with us 30 minutes into the next hour.
[00:21:15.149 --> 00:21:17.491]  You'll get a chance to talk to him, and I'm in a news blitz.
[00:21:18.410 --> 00:21:23.874]  Play a bunch of audio and video clips and break down a whole bunch of really important news we haven't gotten to yet.
[00:21:23.894 --> 00:21:27.356]  I've spoken some about it, but I want to spend more time about the Supreme Court ruling.
[00:21:27.376 --> 00:21:42.406]  I wanted to actually go read the ruling, and it says, I thought, let's corporations give all the money they want, but it appears that the limitations, because they write these vague so they can expand their power, are still on private individuals giving money, but not on corporations.
[00:21:42.426 --> 00:21:44.027]  I mean, this is a perfect storm of evil.
[00:21:44.948 --> 00:21:45.749]  That is coming up.
[00:21:45.769 --> 00:21:46.649]  The latest on Haiti.
[00:21:49.207 --> 00:21:55.831]  Now listen, every time I have a special guest on and I say it's specifically for questions for them, people call in about anything but.
[00:21:56.311 --> 00:21:58.092]  We do this maybe once or twice a week.
[00:21:58.112 --> 00:22:04.396]  I say, for this guest, if you want to talk to them, specifically questions about what they're doing or questions to them, 1-800-259-9231.
[00:22:04.416 --> 00:22:04.496]  1-800-259-9231.
[00:22:04.516 --> 00:22:07.438]  We'll have open phones later on whatever issues you want to talk about.
[00:22:07.458 --> 00:22:09.299]  But right now it's for Reverend Manning.
[00:22:09.379 --> 00:22:10.120]  Reverend Manning,
[00:22:19.325 --> 00:22:23.868]  Looking at this country and all the lies, and we've really got 20 plus percent unemployment.
[00:22:23.888 --> 00:22:24.268]  They say it's 10.2.
[00:22:24.829 --> 00:22:27.631]  They tell us the economy's getting better when it's clearly getting worse.
[00:22:27.731 --> 00:22:34.575]  They are just openly attacking the Second Amendment on every front, while then saying, we don't want your guns.
[00:22:34.635 --> 00:22:37.997]  But then all these White Houses are saying they want a total ban on guns.
[00:22:38.477 --> 00:22:40.979]  All these White Houses are openly saying they like Mao.
[00:22:42.580 --> 00:22:43.581]  But they're not communists.
[00:22:44.741 --> 00:22:45.922]  They're just a bunch of crooks.
[00:22:49.097 --> 00:22:55.558]  And then meanwhile you're getting demonized in the media calling this treason, but you are seeing an awakening out there.
[00:22:55.919 --> 00:23:01.700]  Are you worried though that Republicans are co-opting the Tea Parties and basically defanging them?
[00:23:02.800 --> 00:23:04.640]  Let me ask you a last question first.
[00:23:04.660 --> 00:23:15.083]  I am convinced that the Tea Party is a controlled opposition, perhaps more conspiratorial than the puppet masters that are pulling Obama's string.
[00:23:15.323 --> 00:23:16.003]  I mean, it is
[00:23:17.000 --> 00:23:28.222]  It is horrendous to watch Americans go down the primrose path of thinking somehow or another the Tea Party group is going to change Washington in any way whatsoever.
[00:23:29.167 --> 00:23:42.337]  But the other thing I think that I'm also noticing in America, and a lot of criticism has been leveled at me, that I am a person that's advocating overthrow the government through violent means.
[00:23:42.477 --> 00:23:48.142]  Of course, the Constitution does provide under the right circumstances to overthrow tyranny.
[00:23:48.162 --> 00:23:50.304]  Declaration of Independence, sure.
[00:23:50.664 --> 00:23:52.245]  Yes.
[00:23:52.846 --> 00:23:58.110]  But a number, because I have been stating that I sense in America
[00:23:58.852 --> 00:24:03.013]  A number of people feel that they have been pushed to the limits.
[00:24:03.747 --> 00:24:06.028]  Of their sense of being an American.
[00:24:06.048 --> 00:24:07.549]  They've been pushed to the limits.
[00:24:07.569 --> 00:24:12.232]  Their freedoms are being curtailed, if not being taken completely, and being marginalized.
[00:24:12.412 --> 00:24:21.177]  Big business is being given the slogan, too big to fail, while poor people are failing, or everyday working people are failing and being foreclosed.
[00:24:21.637 --> 00:24:29.282]  And I've been stating that the only way that we can clean house, not only must we remove Obama,
[00:24:29.949 --> 00:24:37.034]  But we must remove the power system and the structure that allows him to function, and the puppet masters.
[00:24:37.154 --> 00:24:39.275]  And that requires a revolution.
[00:24:39.415 --> 00:24:41.657]  I mean, it isn't just about moving Obama.
[00:24:41.977 --> 00:24:45.900]  You take out George Bush and put in Obama, and you've got the same problems going on.
[00:24:45.940 --> 00:24:50.583]  You take out Obama and put in anybody else, unless the entire system is clean.
[00:24:51.123 --> 00:24:52.344]  And that takes a revolution.
[00:24:52.844 --> 00:24:57.527]  And people have stated, well, I'm advocating violence, that I'm about a violent spirit.
[00:24:57.748 --> 00:24:59.669]  And therefore, people like the Tea Party people,
[00:25:00.898 --> 00:25:06.440]  I was invited to speak at the Tea Party event on 9-12 in Washington, D.C.
[00:25:06.460 --> 00:25:07.721]  a couple of weeks before the event.
[00:25:08.141 --> 00:25:16.764]  They called me up and canceled me and stated that I'm too incendiary, I'm too fiery, that I'm advocating violence and overthrow of the government.
[00:25:17.264 --> 00:25:18.665]  And on and on and on they went.
[00:25:19.845 --> 00:25:22.306]  But that's where we are with that process right now.
[00:25:22.446 --> 00:25:26.808]  And the truth of the matter is, the House, America must be clean.
[00:25:26.848 --> 00:25:29.029]  There must be a revolution in this nation, Alex.
