[00:00:02.152 --> 00:00:04.660]  I'm good.
[00:04:16.972 --> 00:04:18.873]  That is some of the other news we'll be covering.
[00:04:19.213 --> 00:04:24.016]  Also, Attorney General Holder floats possibility of racial profiling suit against Arizona.
[00:04:25.217 --> 00:04:35.703]  We have some new climate change news and a lot of news from the front lines of the Afghanistan war and a lot of Republicans breaking ranks and saying they're against that war now and against the Iraq war.
[00:04:36.564 --> 00:04:41.287]  So that's really confusing a lot of people, as it was the neocons that started this war.
[00:04:41.808 --> 00:04:48.993]  But it looks like they know it's going to be lost, so they want to blame it on their newest puppet, Barack Obama, real name Barry Sitaro of Indonesia.
[00:04:49.373 --> 00:04:50.614]  It's all coming up straight ahead.
[00:04:50.654 --> 00:04:53.956]  We are live on this important World Cup Sunday.
[00:04:54.537 --> 00:04:55.037]  Stay with us.
[00:04:55.077 --> 00:04:55.758]  We'll be right back.
[00:05:00.097 --> 00:05:04.320]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:05:04.640 --> 00:05:05.260]  Number one.
[00:05:05.560 --> 00:05:08.722]  New climate legislation could easily double or triple your electric bill.
[00:05:08.983 --> 00:05:09.563]  Number two.
[00:05:09.843 --> 00:05:14.406]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:14.726 --> 00:05:15.187]  It's true.
[00:05:15.487 --> 00:05:20.030]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:20.350 --> 00:05:20.890]  Number three.
[00:05:21.170 --> 00:05:24.452]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:24.753 --> 00:05:28.455]  And now, new socialist legislation is only compounding the problem.
[00:05:28.655 --> 00:05:29.216]  Number 4.
[00:05:29.456 --> 00:05:31.819]  Dangerous weather is always a threat to local grids.
[00:05:32.219 --> 00:05:35.603]  Every year, thousands of families lose their power from weather-related outages.
[00:05:35.903 --> 00:05:36.444]  Number 5.
[00:05:36.704 --> 00:05:40.608]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:40.849 --> 00:05:45.614]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:45.874 --> 00:05:49.920]  You can get more information at www.mysolarbackup.com.
[00:05:50.060 --> 00:05:51.622]  That's mysolarbackup.com.
[00:05:51.842 --> 00:05:53.925]  Remember, the government doesn't own the sun.
[00:05:54.105 --> 00:05:56.449]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:05.973 --> 00:06:10.157]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:06:10.817 --> 00:06:11.618]  You want answers?
[00:06:12.399 --> 00:06:13.300]  Well, so does he.
[00:06:13.940 --> 00:06:17.563]  He's Alex Jones on the GCN Radio Network.
[00:06:18.124 --> 00:06:22.188]  And now, live from Austin, Texas, Alex Jones.
[00:06:25.592 --> 00:06:28.334]  We're live, my friends, on this Sunday edition.
[00:06:28.354 --> 00:06:30.075]  We're going to be here for the next two hours.
[00:06:30.275 --> 00:06:31.936]  It is the 11th day of July, 2010.
[00:06:32.516 --> 00:06:42.382]  And of course, what you've all been waiting for, four years in the making, Spain has defeated the Netherlands 1-0 in South Africa.
[00:06:43.923 --> 00:06:49.127]  And of course, LeBron James is going to the Miami Heat, leaving the pathetic Cleveland
[00:06:50.325 --> 00:06:55.168]  Cavaliers, and I watched grown men crying on ESPN.
[00:06:55.289 --> 00:07:02.333]  I witnessed photos of people getting very angry, video of them crying on the news.
[00:07:02.474 --> 00:07:07.357]  I saw the governor, the mayor, the head of the team said it was despicable and evil and horrible.
[00:07:08.238 --> 00:07:13.882]  I witnessed, of course, last week the governor and many other people there in Ohio.
[00:07:15.879 --> 00:07:20.281]  Serenading LeBron James and saying, we are LeBron.
[00:07:20.321 --> 00:07:21.241]  We are the world.
[00:07:21.301 --> 00:07:22.822]  No one loves you as much as we do.
[00:07:22.922 --> 00:07:23.862]  Oh, please stay here.
[00:07:23.922 --> 00:07:30.145]  And giant buildings having huge murals painted on them, calling him King James.
[00:07:30.805 --> 00:07:38.608]  I guess some form of blasphemy because the term King James is tied to one of the oldest versions of the printed Bible.
[00:07:41.477 --> 00:08:08.859]  Imagine if the people in Ohio, or any other state for that matter, actually would care about the Bill of Rights and Constitution, or would care about understanding the fact that in 1913 a private banking coup happened in this nation, or that $600 trillion conservatively, that's what the Washington Post admits, derivatives have been produced by offshore banks and sold to governments to destroy them financially and bankrupt them to this offshore group.
[00:08:09.700 --> 00:08:16.431]  I wonder what would happen if the public was concerned about their children's test scores, like they are about worshipping LeBron James.
[00:08:17.847 --> 00:08:22.129]  We would probably have a lot better society and wouldn't be on the verge of collapse.
[00:08:22.829 --> 00:08:24.410]  But that is not the case.
[00:08:25.410 --> 00:08:38.055]  Now, I'm going to get into a lot of important news here today dealing with the Internet and free speech, dealing with Big Brother and police state, the economy, what's happening with the political realignment in this nation.
[00:08:38.095 --> 00:08:40.756]  Obama spokesman says Democrats could lose the House.
[00:08:41.856 --> 00:08:47.640]  The latest developments on the oil spill, well over 80 days into that crisis.
[00:08:48.101 --> 00:09:00.069]  We'll also look at multiple states moving to follow suit with Arizona and to try to start arresting illegal aliens after they've committed other crimes for being illegal aliens.
[00:09:01.090 --> 00:09:13.680]  But the government is engaged in treason against the sovereignty of this country because the federal government is run by globalists who openly want to abolish the nation-state and on its ashes build this planetary regime.
[00:09:14.080 --> 00:09:21.346]  So that is all coming up today, but I do want to go back to something I covered Thursday and Friday.
[00:09:21.946 --> 00:09:26.110]  Just briefly, and then later when we open the phones up, I'd like to get your take on this specifically.
[00:09:26.130 --> 00:09:28.672]  Of course, you're welcome to call about whatever issue you'd like.
[00:09:29.252 --> 00:09:31.895]  In fact, we'll just open the phones up now, but it'll be a while until I get to you.
[00:09:31.915 --> 00:09:32.355]  888-201-2244.
[00:09:32.375 --> 00:09:32.415]  888-201-2244.
[00:09:32.435 --> 00:09:33.816]  On this live Sunday, July 11th edition.
[00:09:33.836 --> 00:09:33.876]  888-201-2244.
[00:09:44.787 --> 00:10:05.416]  But I really am heartened and buoyed and encouraged by the fact that we shoot videos every week specifically for PrisonPlanet.tv and we simulcast the radio show here with a full TV production and so we simulcast a multicast of the radio show as a television show as well for PrisonPlanet.tv members.
[00:10:06.136 --> 00:10:16.046]  But I also shoot videos specifically designed to go mega-viral, as I call it, or supernova-viral, as some of my films and video clips have done.
[00:10:16.086 --> 00:10:25.056]  I mean, I've had some videos we've produced, short videos and long, full-feature films, that have been seen more than 25 million times apiece conservatively.
[00:10:27.008 --> 00:10:38.373]  But more and more I'm realizing that I need to go out and assault not just government lies and disinformation and propaganda, but also expose just flat-out distractions and diversions.
[00:10:38.994 --> 00:10:47.058]  This false petty world that has pulled up over our eyes to blind us from the real things that are happening in our society.
[00:10:47.598 --> 00:10:49.899]  This radio show, more than anything,
[00:10:52.051 --> 00:11:12.310]  is about not getting you to see things my way or not getting you to agree with everything Alex Jones says but to simply realize that there are important agendas going on by large global corporations and governments and individuals and racial groups and religious organizations a lot of people out there that have agendas
[00:11:12.850 --> 00:11:26.596]  They're using high-tech brainwashing propaganda and manipulation and wordsmithing and spin to manipulate you and to simply get conscious of the fact that people are trying to run game on you.
[00:11:27.296 --> 00:11:30.137]  To use a popular hip-hop term.
[00:11:30.678 --> 00:11:35.039]  And that you need to become a little more wily and learn the tricks that are being used.
[00:11:36.420 --> 00:11:53.446]  If you simply become aware of what's happening and you become aware of the ruling class, the ruling criminal class's agenda, then I believe you will become upset and involved and start engaging the globalists at every level, local, state, and federal, and international.
[00:11:53.786 --> 00:11:54.707]  And that is happening.
[00:11:55.507 --> 00:11:56.188]  That is happening.
[00:11:56.569 --> 00:12:12.769]  This radio show and InfoWars.com and PrisonPlanet.com have been instrumental, along with a lot of other great people's work, in shifting the paradigm and expanding the paradigm where we're able to have a wider debate now and many people worldwide are having an awakening.
[00:12:13.530 --> 00:12:30.372]  And I've noticed the Council on Foreign Relations, one of the top global corporate crime syndicates, and the Club of Rome, and Zbigniew Brzezinski, and many others, Rand Corporation, you name it, in the last two years have all been putting out white papers and giving speeches, as Brzezinski did about two months ago.
[00:12:32.125 --> 00:12:49.200]  saying that for the first time in world history the entire planet is awake and and and the and the awakening is accelerating against the world government and that the ruling class who's been operating from the shadows and who are authoritarian who buy and sell politicians you know like
[00:12:50.001 --> 00:12:50.241]  I don't
[00:13:10.091 --> 00:13:14.713]  And so the parties do fight over who's in control, but they're still beholden to the same interests.
[00:13:14.753 --> 00:13:19.776]  It's kind of like a Don King fight, where both boxers, both heavyweight boxers, are owned by Kings.
[00:13:19.796 --> 00:13:25.759]  So it doesn't matter who really wins at the end, because it's all rigged, and because Don King wins, either way you slice it.
[00:13:26.119 --> 00:13:30.822]  Or famous horse races, where you learn the mafia basically owned or controlled all the horses.
[00:13:33.163 --> 00:13:53.064]  Once you understand that and once you begin to identify the actual establishment and what their agenda is, then there's no way they can get their agenda completed if you're aware of that because it's so authoritarian, so dictatorial, unelected, tyrannical, oppressive, arrogant, abusive.
[00:13:56.149 --> 00:14:14.188]  is the first issue that people have to understand and then we can have a debate about what type of world we want to build as individual humans but what we watch on television the dramas the sitcoms the movies the sports icons the
[00:14:15.998 --> 00:14:16.218]  I think
[00:14:35.794 --> 00:14:50.558]  Both just feed off of each other until you see the test scores dropping, you see the creativity imploding, you see the amount of inventiveness and individualism being eradicated, and we're all losing our cultures.
[00:14:50.598 --> 00:14:53.659]  We're all losing what our forebearers passed down to us.
[00:14:53.699 --> 00:15:03.221]  We're all losing that true grit, that individualism, and it's being replaced by a type of global corporate borg that is completely shallow.
[00:15:04.517 --> 00:15:11.524]  And so when we come back I'm going to briefly talk about LeBron James and the World Cup because on Thursday I shot a five and a half minute video.
[00:15:12.793 --> 00:15:14.694]  That the Drudge Report linked to on Friday.
[00:15:14.714 --> 00:15:18.357]  That a lot of other newspapers I noticed over the weekend actually reported on.
[00:15:18.757 --> 00:15:19.618]  And they were positive.
[00:15:19.658 --> 00:15:21.860]  They said Mr. Jones really hits the nail on the head.
[00:15:21.880 --> 00:15:26.723]  And has pointed out that our society is in decline.
[00:15:27.223 --> 00:15:28.264]  We are collapsing.
[00:15:29.145 --> 00:15:38.652]  And this is a ridiculous spectacle in Ohio with the governor and these mayors and everybody worshipping and begging LeBron James to stay there.
[00:15:39.292 --> 00:15:41.053]  And then he totally pimped them and just left.
[00:15:41.493 --> 00:15:45.115]  This Florida has no income tax, state income tax mainly.
[00:15:45.155 --> 00:15:50.437]  But it just illustrates how their priorities are completely screwed up.
[00:15:50.737 --> 00:15:57.200]  They won't go out and demonstrate or protest or go to the state house or go to a tea party event for liberty and freedom and their children's future.
[00:15:57.440 --> 00:16:00.402]  But they will go out and have mass protests for months begging for LeBron James.
[00:16:03.246 --> 00:16:04.588]  You're subject to other police action.
[00:16:05.429 --> 00:16:06.350]  Tyranny is here.
[00:16:06.691 --> 00:16:10.456]  The grim future foretold in 1984 has become reality.
[00:16:10.516 --> 00:16:12.839]  It really says that the state is God.
[00:16:12.859 --> 00:16:18.026]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:16:18.707 --> 00:16:24.990]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:16:25.371 --> 00:16:30.914]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:16:31.354 --> 00:16:35.036]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:16:35.536 --> 00:16:39.518]  Prepare to enter the secretive world of emergency dictatorship.
[00:16:39.819 --> 00:16:45.742]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:16:45.762 --> 00:16:48.704]  It's only the beginning of the New World Order's hellish plan.
[00:16:49.324 --> 00:16:50.725]  The police state isn't coming.
[00:16:51.305 --> 00:16:51.785]  It's here.
[00:16:52.426 --> 00:16:59.230]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:17:01.189 --> 00:17:01.910]  Listen up, folks.
[00:17:01.950 --> 00:17:02.690]  This is important.
[00:17:02.890 --> 00:17:03.691]  Alex Jones here.
[00:17:03.991 --> 00:17:12.097]  Now you can get free shipping on the storable, easy-to-fix, delicious food from efoodsdirect.com from July 4th through July 14th.
[00:17:12.337 --> 00:17:17.921]  We have looming evacuations in the Southeast, unemployment insurance running out, and predictions of huge inflation.
[00:17:18.161 --> 00:17:20.203]  So we all need to get as much food as we can.
[00:17:20.503 --> 00:17:23.485]  Every one of you needs to buy as much storable food as possible.
[00:17:23.665 --> 00:17:28.529]  This is the perfect time to do just that with eFoodsDirect and take advantage of their free shipping special.
[00:17:28.809 --> 00:17:38.514]  When you order from eFoodsDirect.com from July 4th through July 14th, every dollar you spend will buy the food and eFoodsDirect will pay for the shipping in the continental United States.
[00:17:38.974 --> 00:17:48.899]  This is Alex Jones wishing you and your family true independence this 4th of July with great food and free shipping through July 14th from eFoodsDirect.com.
[00:17:49.059 --> 00:17:51.060]  You can order on the website eFoodsDirect.com.
[00:17:51.320 --> 00:17:52.201]  Or simply call 800-409-5633.
[00:17:52.221 --> 00:17:52.421]  That's 800-409-5633.
[00:17:52.441 --> 00:17:54.362]  Or on the web at efoodsdirect.com forward slash ship free.
[00:18:02.059 --> 00:18:07.801]  The Fall of America and the Western World is an all-new 10-hour documentary and survival guide rolled into one.
[00:18:08.522 --> 00:18:12.964]  In this film, you will see the reasons why our government is failing and what you can do to prepare.
[00:18:13.764 --> 00:18:27.330]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Icke, Naomi Wolf, G. Edward Griffin, Doug McIntyre, Mark Crispin Miller, Mickey Zee, Doug Casey, David McIlvaney, and myself, Alex Jones.
[00:18:28.090 --> 00:18:32.533]  Protect yourself and get the tools you need to protect your family from these difficult times.
[00:18:33.113 --> 00:18:42.738]  The Fall of America and the Western World at www.thefallofamerica.net or click on the banners at infowars.com and prisonplanet.com.
[00:18:43.339 --> 00:18:48.621]  Again, that website www.thefallofamerica.net or call 800-655-1577.
[00:18:48.682 --> 00:18:51.343]  Prepare yourself and the ones you love today.
[00:18:51.383 --> 00:18:52.724]  fallofamerica.net
[00:19:00.748 --> 00:19:04.570]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[00:19:04.850 --> 00:19:10.532]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[00:19:10.832 --> 00:19:14.614]  Go to HomeGain.com and see what I'm talking about.
[00:19:14.994 --> 00:19:21.337]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[00:19:21.717 --> 00:19:24.618]  This is a great way to be able to monitor the value of your home.
[00:19:25.038 --> 00:19:26.539]  And again, it's absolutely free.
[00:19:27.139 --> 00:19:28.761]  There are tons of tools to help you.
[00:19:29.181 --> 00:19:32.644]  For instance, if you want to remodel your home, go to HomeGain.com.
[00:19:32.965 --> 00:19:39.531]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[00:19:39.771 --> 00:19:42.894]  For 10 years, these folks have been helping home sellers and buyers.
[00:19:43.335 --> 00:19:45.257]  Visit their link at InfoWars.com.
[00:19:45.677 --> 00:19:46.378]  Look for Max
[00:19:46.658 --> 00:19:50.700]  The Orange Home Gain Gorilla to help you with any real estate needs you might have.
[00:19:51.080 --> 00:19:52.101]  You'll love this site.
[00:19:52.301 --> 00:19:53.682]  It's HomeGain.com.
[00:19:54.182 --> 00:19:56.744]  H-O-M-E-G-A-I-N.com.
[00:19:57.064 --> 00:19:57.884]  Check them out today.
[00:20:02.247 --> 00:20:03.407]  Coast to Coast.
[00:20:03.767 --> 00:20:05.168]  Direct from Austin.
[00:20:05.829 --> 00:20:09.030]  You're listening to the Alex Jones Broadcasting Network.
[00:20:14.775 --> 00:20:16.596]  Monday through Friday from 11 a.m.
[00:20:16.616 --> 00:20:17.216]  to 3 p.m.
[00:20:17.256 --> 00:20:18.457]  Central, we are live.
[00:20:18.537 --> 00:20:23.580]  Back Sundays with an abbreviated two-hour transmission, 4 to 6 p.m.
[00:20:23.620 --> 00:20:32.184]  Okay, let me finish up with the sports and Hollywood television distractions, fashion, all of it.
[00:20:33.045 --> 00:20:40.689]  And then I'm going to get into the news, because first we'll talk about the distraction itself, what it's distracting us from, the serious issues that are happening.
[00:20:42.250 --> 00:20:43.931]  I've read propaganda by
[00:20:45.323 --> 00:20:50.689]  The father of modern advertising and propaganda, Edward Bernays, written more than 80 years ago.
[00:20:51.730 --> 00:20:54.032]  I have read the writings of Joseph Goebbels.
[00:20:54.212 --> 00:20:58.217]  I have studied the rise and decline of the Roman Empire by Gibbon.
[00:20:59.098 --> 00:21:05.624]  And the Romans knew over 2,000 years ago to use sports and gladiatorial diversions and horse races
[00:21:06.798 --> 00:21:07.619]  As a distraction.
[00:21:08.119 --> 00:21:19.006]  And whenever the economy in Rome was having a problem, or whenever people were starving, the imperial government would just fund more sports, more fairs, more distractions.
[00:21:19.166 --> 00:21:20.647]  I mean, it's very elementary.
[00:21:20.687 --> 00:21:22.168]  They knew thousands of years ago.
[00:21:22.588 --> 00:21:23.369]  And that's the issue.
[00:21:23.469 --> 00:21:26.811]  I'm not here saying you're lazy, you're stupid, you're bad.
[00:21:27.131 --> 00:21:29.853]  You need to be focused on things that Alex Jones thinks is important.
[00:21:30.788 --> 00:21:34.272]  I'm trying to explain to you that the establishment is on record.
[00:21:34.752 --> 00:21:37.655]  I mean, I remember reading Edward Bernays, stuff he wrote in the 20s.
[00:21:38.196 --> 00:21:45.483]  This was an advisor to the Department of War, before it was the Department of Defense, this is the guy, this is the reason you eat bacon and eggs.
[00:21:46.384 --> 00:21:47.585]  They couldn't get rid of pork bellies.
[00:21:47.605 --> 00:21:48.626]  They couldn't get rid of bacon.
[00:21:48.666 --> 00:21:50.267]  It was a product that really nobody wanted.
[00:21:50.287 --> 00:21:52.308]  It was only used for flavoring and cooking.
[00:21:52.728 --> 00:21:59.173]  And so he ran ads nationwide as part of a PR operation to say, you've got to have bacon with your eggs.
[00:21:59.693 --> 00:22:02.015]  And I'm just giving you an example of how they engineer everything.
[00:22:02.315 --> 00:22:03.416]  That was a PR stunt.
[00:22:03.736 --> 00:22:06.538]  They wanted to get women smoking cigarettes back in the 20s.
[00:22:07.598 --> 00:22:11.321]  And women saw it as uncouth and dirty and bad to smoke.
[00:22:11.801 --> 00:22:15.384]  And the cigarette makers wanted another 50% of the market open to them.
[00:22:16.344 --> 00:22:31.718]  And so, Bernays wrote about this in Bragg, so he was hired, and they would pay the feminist movement, the flappers, they would pay the suffrage movement to smoke cigarettes in the front lines of their marches, and to say that was an act of rebellion.
[00:22:31.758 --> 00:22:35.061]  But the leaders were being paid to do this.
[00:22:36.104 --> 00:22:41.246]  And because women saw it then as rebellious, they all went out and bought cigarettes and got lung cancer 40 years later, basically.
[00:22:41.566 --> 00:22:44.747]  And again, another example of manipulation.
[00:22:44.827 --> 00:22:57.011]  And you fast forward to 2010, they don't even deny that tens of billions of dollars are spent by the federal government every year now buying messages in ads on television and radio.
[00:22:57.691 --> 00:23:00.853]  Not just overt messages, but covert messages in other ads.
[00:23:01.333 --> 00:23:08.698]  Or that they pay sometimes tens of millions per season to top sitcoms and dramas and cop shows to have messages.
[00:23:09.238 --> 00:23:14.882]  I mean, when you see a show and the cop's beating somebody up going, you darn gun owners, you're causing problems.
[00:23:14.982 --> 00:23:20.185]  Or almost every show out there, homeschooling families or pedophiles or criminals.
[00:23:20.825 --> 00:23:24.868]  That's not true, but the government is paying to put that message out.
[00:23:25.448 --> 00:23:26.329]  I mean, how creepy.
[00:23:27.469 --> 00:23:29.730]  How creepy is that?
[00:23:30.231 --> 00:23:36.135]  How creepy is it that they pay for these anti-liberty, anti-freedom messages to program you?
[00:23:36.615 --> 00:23:43.840]  And that's my point, is that humans model after what they see as heroes, what they idolize.
[00:23:44.853 --> 00:23:46.495]  And the psychologists understand this.
[00:23:46.995 --> 00:23:53.281]  And this country had 4% of the world's population and half the world's wealth by 1950, conservatively.
[00:23:53.301 --> 00:23:55.543]  4% of the world's population, half the wealth.
[00:23:55.923 --> 00:23:58.485]  We had almost all of the world's most important patents.
[00:23:59.406 --> 00:24:05.912]  We had the most creative, most inventive, most individualistic population on earth.
[00:24:06.032 --> 00:24:07.493]  That's why we were so great.
[00:24:08.214 --> 00:24:10.035]  And now, look at this Newsweek headline today.
[00:24:10.396 --> 00:24:11.797]  The Creativity Crisis.
[00:24:11.817 --> 00:24:15.399]  For the first time, research shows that American creativity is declining.
[00:24:15.700 --> 00:24:16.520]  What went wrong?
[00:24:17.021 --> 00:24:18.182]  And how do we fix it?
[00:24:18.602 --> 00:24:19.823]  And it goes over the statistics.
[00:24:19.863 --> 00:24:21.444]  And you've heard the statistics.
[00:24:21.464 --> 00:24:22.024]  You've heard the...
[00:24:23.407 --> 00:24:23.607]  Go ahead.
[00:24:42.250 --> 00:24:57.444]  They can't tell you what the First Amendment is, what the Fourth Amendment is, and so if people don't know what their liberties and freedoms are, if people don't know what their history is, how can they ever have any expectation of the next generation having it better than the last?
[00:24:58.490 --> 00:25:03.452]  And with all of this decadence, with all of this focus on pettiness, we see society falling apart.
[00:25:04.292 --> 00:25:08.534]  In Nazi Germany, they were obsessed with sports, obsessed with their Hollywood.
[00:25:09.294 --> 00:25:13.456]  The same thing in Rome, the same thing in any society that's declining.
[00:25:14.436 --> 00:25:17.838]  The country with the second highest rate of television watching is Greece.
[00:25:18.678 --> 00:25:19.098]  The U.S.
[00:25:19.178 --> 00:25:19.678]  is number one.
[00:25:19.718 --> 00:25:22.439]  Look how Greece has been overtaken by these private bankers.
[00:25:22.959 --> 00:25:25.640]  And it's not just Alex Jones making this observation.
[00:25:26.081 --> 00:25:39.925]  When you actually read the Council on Foreign Relations bragging about this, when you read Edward Bernays bragging about this, when you read about Goebbels talking about using film to control the German people and to program them, it's amazing.
[00:25:39.965 --> 00:25:42.906]  So all of this is going on around us.
[00:25:43.186 --> 00:25:47.308]  And the United States in the 1950s, when we hit our peak,
[00:25:48.288 --> 00:25:48.488]  I don't
[00:26:08.434 --> 00:26:17.778]  Twenty-something industrialized countries, we were behind 20 plus additional third world countries that were under the industrialized world, or the first world, the West.
[00:26:18.498 --> 00:26:19.939]  The United States is a joke.
[00:26:20.439 --> 00:26:25.021]  I mean, I look at many adults and I hear them in shops or at the mall or at a restaurant.
[00:26:25.101 --> 00:26:26.382]  They don't even have language.
[00:26:26.762 --> 00:26:30.984]  I saw a study just a few months ago where the language in the United States and England
[00:26:31.909 --> 00:26:34.030]  is being restricted, is being reduced.
[00:26:34.090 --> 00:26:36.431]  People are using a lot less words than they were.
[00:26:36.732 --> 00:26:41.114]  Their vocabularies are much smaller, to where you can't even communicate.
[00:26:41.194 --> 00:26:44.776]  Many people listening right now can't even understand what I'm talking about.
[00:26:45.646 --> 00:26:51.128]  And, you know, I see them commenting on my YouTube videos going, listen to this guy, he be using fancy language.
[00:26:51.628 --> 00:26:53.149]  No, I'm not using fancy language.
[00:26:53.429 --> 00:26:58.050]  Have you read a newspaper from the 1770s, 1780s, 1820s, 1830s?
[00:26:58.110 --> 00:26:59.231]  I have.
[00:26:59.871 --> 00:27:03.372]  I've bought many books that are compendiums of just newsprint of the time.
[00:27:04.152 --> 00:27:05.933]  And I can't understand it.
[00:27:06.733 --> 00:27:10.474]  I am a moron compared to somebody in 1800 reading the newspaper.
[00:27:10.935 --> 00:27:13.956]  I have to get an encyclopedia out just to understand these people.
