# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:13.279 --> 00:00:17.519]  The Alex Jones Network is tomorrow's news today.
[00:02:18.960 --> 00:02:30.159]  We kicked off the live transmission at 11.30 a.m. Central Standard Time, and we'll be here as long as we need be to get to all the news and information.
[00:02:30.719 --> 00:02:32.800]  Again, thank you so much for joining us today.
[00:02:32.879 --> 00:02:43.360]  I'm your host, Alex Jones, coming to you from the Alex Jones Network Backup Studios, because the bad guys are still intensely in federal court and state court trying to shut us down.
[00:02:44.879 --> 00:02:45.520]  All right.
[00:02:46.479 --> 00:02:48.080]  Obviously, things are in high gear.
[00:02:48.240 --> 00:02:50.240]  Massive change happening on so many fronts.
[00:02:50.319 --> 00:02:54.640]  We have the huge Supreme Court rulings yesterday.
[00:02:54.960 --> 00:02:56.240]  Two of them are excellent.
[00:02:56.400 --> 00:03:01.039]  One of them looks like it's good on the surface, but has serious pitfalls.
[00:03:01.280 --> 00:03:05.200]  And that's the Internet ID that you think is just for kids so they can't see porn.
[00:03:05.520 --> 00:03:09.680]  But really, it's how they're pushing the internet ID from Australia to Europe to the United States.
[00:03:09.840 --> 00:03:11.120]  It's all globalists done.
[00:03:11.759 --> 00:03:16.319]  A lot of legislatures are passing laws well-meaningly, but at the end of the day, it's not about keeping kids away from porn.
[00:03:16.480 --> 00:03:18.879]  It's about the internet ID to track everything you do.
[00:03:18.960 --> 00:03:26.400]  And ultimately, with a social credit score, shut you off the internet banking, you name it, if you don't submit to the globalist program.
[00:03:26.480 --> 00:03:27.759]  And they've all admitted that.
[00:03:28.080 --> 00:03:28.960]  But that's another issue.
[00:03:29.039 --> 00:03:35.120]  We'll be getting into all of that, the rulings and more, the total panic of the left.
[00:03:36.159 --> 00:03:46.800]  In the last year, the Democrats in even mainline scientific polling that still skews towards them have continued to break new records and dropped all-time lows.
[00:03:47.120 --> 00:03:50.400]  The party itself is in free fall, has flatlined.
[00:03:50.719 --> 00:03:52.400]  It's basically game over.
[00:03:53.439 --> 00:04:07.439]  If the Republicans continue in a populist, pro-freedom, anti-war, pro-job, anti-division direction, we're promoting something that's common sense.
[00:04:07.520 --> 00:04:10.000]  It's very popular, classic Americana.
[00:04:10.960 --> 00:04:21.199]  I'm not even a Republican, though I am a populist slash common sense conservative, but I've said for decades the best party to take over that we had a best shot with would be the Republican Party.
[00:04:21.680 --> 00:04:30.079]  From a bunch of neocon bluebloods to what it is today, more and more Donald Trump, the American People's Party, but we are far from finishing that reform or reformation.
[00:04:30.399 --> 00:04:34.400]  The Democrats have really split into two camps.
[00:04:34.560 --> 00:04:41.040]  One that's trying to reform and say they're not anti-human, anti-child, anti-family, anti-God communist.
[00:04:41.360 --> 00:04:43.840]  And you're seeing more and more of the course correction.
[00:04:44.160 --> 00:04:46.480]  Though it's not a lot of course correction, but more than that was.
[00:04:47.519 --> 00:04:55.040]  Even a lot of top Democrats calling out the mayoral Democrat primary winner who's an open communist, anti-white, anti-Western Islamicist.
[00:04:57.040 --> 00:05:02.319]  But the real dominant force of the party is the hardcore communists, the left, the Sorosites.
[00:05:03.280 --> 00:05:12.079]  And they're behind this candidate that's horrified people so bad, Zoran in New York.
[00:05:12.240 --> 00:05:13.439]  I call him Soron.
[00:05:14.720 --> 00:05:16.720]  So we'll be getting to all of that today.
[00:05:17.600 --> 00:05:30.879]  And the first big story I want to hit, and I'm going to mention some others first, is the near hysteria that I started seeing start yesterday afternoon on X and everywhere else.
[00:05:31.199 --> 00:05:33.199]  It's not just the left, the Krazentine brothers doing it.
[00:05:33.280 --> 00:05:34.319]  It's a lot of other people.
[00:05:34.959 --> 00:05:37.920]  And I'm not criticizing people for saying, because we're in a crazy climate.
[00:05:38.000 --> 00:05:38.959]  I mean, who knows?
[00:05:39.280 --> 00:05:47.120]  But they started putting up barricades and fences yesterday, evening, afternoon, around the White House, around the Treasury, and now other buildings have had them put up.
[00:05:47.360 --> 00:05:50.319]  This is done on a routine basis when there's big demonstrations coming.
[00:05:50.800 --> 00:05:53.040]  But the White House has not yet said why they're doing it.
[00:05:53.199 --> 00:05:56.319]  So now, oh, Trump's about to make a huge announcement on the economy.
[00:05:56.639 --> 00:05:58.319]  It's going to be something very controversial.
[00:05:58.959 --> 00:06:02.240]  It's going to be something that's going to cause the left to riot.
[00:06:04.319 --> 00:06:08.160]  I will tell you 100% that's not true.
[00:06:08.639 --> 00:06:10.319]  All of Trump's policies are transparent.
[00:06:10.480 --> 00:06:12.000]  He telegraphs everything he's going to do.
[00:06:12.319 --> 00:06:15.680]  You know exactly what he's going to do when it comes to policy on economics.
[00:06:16.000 --> 00:06:18.000]  He does exactly what he says he will do.
[00:06:18.319 --> 00:06:28.319]  And we're seeing the left and the Q people on the other angle, you know, that Trump's about to declare martial law and arrest all the Democrats, you know, sometime next week.
[00:06:28.879 --> 00:06:33.040]  Remember, Joe Biden was Going to be executed in 2021 when he was sworn in.
[00:06:33.360 --> 00:06:34.639]  All of that stuff's going on.
[00:06:34.879 --> 00:06:40.800]  But there's a lot of people like Dom Luker, who's a great journalist and pundit.
[00:06:41.120 --> 00:06:44.000]  And he said, hey, something big might happen because it might.
[00:06:44.399 --> 00:06:47.199]  They may know terror attacks are coming or sleeper cells.
[00:06:47.360 --> 00:06:57.040]  I mean, in this climate, and they got helicopters flying all around, military helicopters and grids that that's what they do when they've got scanners looking for nuclear material.
[00:06:58.079 --> 00:07:07.759]  So is it some big economic announcement from Trump or some martial law announcement from Trump like the Democrats and the Q-Tards are saying?
[00:07:08.079 --> 00:07:12.399]  The Democrats are saying like it's a horrible thing and the Q-Tards are saying, oh, it's so wonderful.
[00:07:12.720 --> 00:07:13.920]  No, that's not what it is.
[00:07:14.160 --> 00:07:15.360]  You just watch.
[00:07:15.680 --> 00:07:18.399]  This will pass in a week and that will not be what it is.
[00:07:19.279 --> 00:07:34.159]  But because of all the helicopters flying around the Treasury Building and around the Capitol and around the White House in these square grids, and according to witnesses, the footage is blurry, but I've seen some of the witnesses see it up close.
[00:07:34.319 --> 00:07:35.199]  They're military veterans.
[00:07:35.439 --> 00:07:38.480]  These helicopters have big sensor pods hanging off the bottom.
[00:07:38.800 --> 00:07:42.560]  That's what you've got when you're looking for nuclear material or other things.
[00:07:42.879 --> 00:07:45.920]  So I'm not saying this couldn't be some big emergency.
[00:07:46.240 --> 00:07:53.680]  I'm not saying that the executive branch and the Pentagon isn't gearing up and DHS for some type of terror attack.
[00:07:54.000 --> 00:07:55.439]  They've got a lot of intelligence on that.
[00:07:55.519 --> 00:07:58.319]  As you know, they raised the threat level a few weeks ago.
[00:07:58.639 --> 00:08:12.480]  But it's definitely not going to be some big, unpopular announcement from Trump on the economy or on some treasury policy because he understands you've got to be very clear about economics.
[00:08:12.639 --> 00:08:14.000]  You've got to put out your plan.
[00:08:14.240 --> 00:08:18.960]  You've got to steadfastly promote it or it creates instability, even if you've got a good plan.
[00:08:19.279 --> 00:08:24.639]  And that's what the Democrats, even before he got into office, when he was president-elect, said, oh, look, his tariff plan will fail.
[00:08:24.720 --> 00:08:25.600]  It'll be terrible.
[00:08:25.920 --> 00:08:32.320]  And then he had his National Day of Independence that he announced about three, four months ago.
[00:08:32.639 --> 00:08:39.920]  And he laid out the numbers of each country, what they had done the numbers on and what the tariff would be that they thought was fair.
[00:08:40.720 --> 00:08:43.360]  He even dialed back some from what should have been done, they said.
[00:08:43.600 --> 00:08:44.639]  And I agreed with it.
[00:08:44.960 --> 00:08:52.399]  And that they warned these countries, if you retaliate to us retaliating to your one-sided trade deals, this is not us attacking you.
[00:08:52.720 --> 00:08:58.240]  This is us standing up and our long surrender to globalists and the World Trade Organization scams being over.
[00:08:58.319 --> 00:08:59.519]  The surrender is over.
[00:08:59.840 --> 00:09:01.840]  Trump will escalate tariffs as high as he needs to.
[00:09:01.920 --> 00:09:05.279]  And he went over 150% on China because they went up over 100.
[00:09:05.440 --> 00:09:06.319]  Now they've backed off.
[00:09:06.399 --> 00:09:07.279]  Now they've done the deal.
[00:09:07.519 --> 00:09:08.399]  Now that's moving forward.
[00:09:08.559 --> 00:09:13.279]  Looks like they're going to actually capitulate, but that's still to be seen.
[00:09:14.240 --> 00:09:20.319]  And the Democrats continued to announce now since then, oh, look, he lowered it from 150 back to 30.
[00:09:20.639 --> 00:09:22.319]  Oh, look, he backed off.
[00:09:22.480 --> 00:09:23.120]  He failed.
[00:09:23.440 --> 00:09:24.159]  He blinked.
[00:09:24.399 --> 00:09:28.960]  Trump always said, it's 10% on this country.
[00:09:29.039 --> 00:09:29.759]  It's 20% on that.
[00:09:29.920 --> 00:09:30.639]  It's 30% on that.
[00:09:30.720 --> 00:09:32.000]  It's 40% on that.
[00:09:32.480 --> 00:09:41.920]  He said, if you don't end all your blocking of our dairy and poultry and the rest of it with 300% tariffs, the 400% tariffs in Canada, we will match that.
[00:09:42.240 --> 00:09:49.120]  And Canada has not capitulated and just escalated a bunch of retaliatory actions to our retaliation.
[00:09:49.680 --> 00:09:52.159]  So that's how they misrepresent.
[00:09:52.799 --> 00:10:03.279]  Exactly what he said on Independence Day against the globalist one-sided deal is what he's now stood by.
[00:10:03.600 --> 00:10:06.480]  So he never said 150% tariffs out of the gate.
[00:10:06.720 --> 00:10:09.840]  Those were retaliatory to China going up over 100%.
[00:10:10.080 --> 00:10:10.960]  It was like 120%.
[00:10:12.240 --> 00:10:18.319]  So that's how they misrepresent that he's choked and that his plan failed.
[00:10:18.639 --> 00:10:21.039]  And it's only because he backed off the tariffs.
[00:10:21.120 --> 00:10:22.559]  There's the stock market up.
[00:10:24.159 --> 00:10:29.279]  Most countries, the vast majority have already signed agreements to exactly what he first proposed.
[00:10:29.519 --> 00:10:33.600]  Some right away agreed, like Vietnam and many others.
[00:10:33.920 --> 00:10:36.080]  England, the UK, others didn't.
[00:10:36.240 --> 00:10:39.440]  But now most have at least signed the agreements.
[00:10:39.600 --> 00:10:42.559]  Now we'll see if they try to weasel around.
[00:10:43.519 --> 00:10:46.319]  But again, that's how they misrepresent.
[00:10:46.559 --> 00:10:48.000]  So I know Trump policy.
[00:10:48.160 --> 00:10:49.920]  I understand how he operates.
[00:10:50.799 --> 00:10:58.160]  Because last night it was the White House and then the Treasury announcement, other buildings, you're like, oh my God, that's some big financial announcement.
[00:10:58.480 --> 00:11:00.160]  And that's people trying to create hysteria.
[00:11:00.240 --> 00:11:01.680]  That's not what it's going to be.
[00:11:02.319 --> 00:11:13.440]  I'm not saying all this stuff's being put up because they've got intelligence threats that are coming in and they believe that there could be an Iranian truck bomb or some sleeper cell or something along those lines.
[00:11:13.759 --> 00:11:21.759]  Now, that said, I don't believe that's what it is, but I'm still saying it could be that because we don't know right now.
[00:11:22.400 --> 00:11:50.400]  But they announced two weeks ago a big Soros, classic NGOs, all the same groups, the No Kings groups, the whole move on Democrat Party pussy hat mob being bussed in was going to have massive demonstrations today in D.C. Now, again, bureaucracy moves slowly.
[00:11:50.720 --> 00:11:56.720]  So they just, a few days ago, canceled the march because of the ceasefire.
[00:11:57.600 --> 00:12:02.879]  And of course, they were just using anti-war sentiment as just the cover for their anti-Trump sentiment.
[00:12:03.039 --> 00:12:04.879]  But that's their right to do it.
[00:12:05.519 --> 00:12:11.759]  So I believe these barricades were being put up last night in anticipation for today's march because the orders had already been given.
[00:12:12.000 --> 00:12:16.480]  And they already know, even though it's officially canceled, so a lot of people are still going to show up.
[00:12:17.360 --> 00:12:33.600]  This is, I'd say, a 95% chance, and I'll show you an overhead shot right here, that everything you're seeing in D.C. right now is in response to the national march on Washington, stop the war on Iran, Saturday, June 28th, 1 p.m., which we're coming up on in just a few minutes.
[00:12:33.759 --> 00:12:37.120]  But it was canceled a few days ago.
[00:12:37.279 --> 00:12:41.759]  But just in case you're wondering why the barricades and physicists are being put up around the White House tonight, here's your answer.
[00:12:42.000 --> 00:12:45.440]  There's a march tomorrow to protest the Iran war.
[00:12:45.600 --> 00:12:47.440]  Yes, they're protesting the war that's already over.
[00:12:47.680 --> 00:12:50.079]  Well, actually, they canceled it, but that didn't get any attention.
[00:12:50.400 --> 00:12:53.759]  I believe that is what this is.
[00:12:54.079 --> 00:13:08.879]  Not some big economic announcement, not a terror attack, but You throw the helicopters in that are just, again, flying in these square patterns around each building and up the streets and everything.
[00:13:09.039 --> 00:13:11.600]  And they don't just do that to burn gasoline.
[00:13:11.919 --> 00:13:15.360]  And it's jet fuel.
[00:13:15.679 --> 00:13:16.639]  It's not.
[00:13:18.240 --> 00:13:19.279]  Let's be gasoline.
[00:13:19.600 --> 00:13:20.159]  It's not.
[00:13:21.919 --> 00:13:24.399]  I guess some use jets and some use, it doesn't matter.
[00:13:24.559 --> 00:13:35.679]  The point is, is that this is how you analyze things instead of just hysterically putting something out because it's a headline.
[00:13:36.000 --> 00:13:46.480]  You know, I get accused of that all the time, but 99 times out of 100, it turns out my analysis was dead on because I actually have a large, wide spectrum understanding.
[00:13:47.440 --> 00:13:58.960]  Okay, so that's some of what we're going to be hitting coming up and how the Democrats are planning to counter and where this country's going.
[00:14:00.480 --> 00:14:17.440]  But the first thing I want to do now is play a clip from the White House press secretary pointing out the incredible lies of CNN.
[00:14:18.639 --> 00:14:24.080]  But this has really become a question for me, and I'm not saying I know the answer to it.
[00:14:24.720 --> 00:14:27.120]  At what point do we stop responding to CNN?
[00:14:28.399 --> 00:14:31.840]  Because they literally have about 55,000 viewers an hour on average.
[00:14:32.159 --> 00:14:33.039]  It's being sold off.
[00:14:33.200 --> 00:14:34.159]  It's collapsing.
[00:14:34.480 --> 00:14:38.000]  They're suddenly, at least part of the time, telling the truth.
[00:14:38.080 --> 00:14:39.279]  It's bizarre.
[00:14:39.919 --> 00:14:50.320]  And admitting Trump's trade deals are working and admitting that he was right about these lower courts being out of control, becoming little emperors, and that was the real tyranny, not him.
[00:14:50.799 --> 00:14:52.399]  But it's still like a paradox.
[00:14:52.480 --> 00:14:57.120]  You'll have total lies with one show and a group of pundits, and then you'll tune to CNN.
[00:14:57.519 --> 00:15:06.159]  I mean, I haven't seen stuff like this in decades because CNN used to be 80% left as BS, but they still had some people on panels and stuff that would tell the truth.
[00:15:06.399 --> 00:15:08.960]  But it's been like 95% lies for so long.
[00:15:09.279 --> 00:15:14.480]  So they're trying to make a turn to try to keep some viewers, but I predict that's not going to work.
[00:15:14.879 --> 00:15:18.879]  I mean, CNN is a joke, absolute joke.
[00:15:19.039 --> 00:15:34.480]  I mean, there are tens of thousands of influencers on Facebook and X and YouTube that each one of them individually, every show they do is bigger than five or six hours of shows on CNN.
[00:15:34.799 --> 00:15:44.319]  I mean, there are tens of thousands of influencers that are doing political news and analysis that have hundreds of thousands of viewers per show.
[00:15:44.879 --> 00:15:48.159]  So the average CNN show is about 54,000, 55,000 viewers.
[00:15:48.639 --> 00:15:51.039]  Their top show is maybe 300,000 now.
[00:15:51.840 --> 00:15:52.879]  That is a flat line.
[00:15:53.039 --> 00:16:05.840]  But the reason Trump still has to counter it is CNN will put out a fake story, and it's still seen as a trusted source in the fact-checking databases, an authoritative source is what it's called.
[00:16:06.159 --> 00:16:16.480]  And so the New York Times, the Washington Post, the Wall Street Journal, and every other corporate mouthpiece around the world, not just here, will then repeat it as if it's God's word.
[00:16:17.440 --> 00:16:20.159]  And that's why just last week, pretty big deal.
[00:16:20.240 --> 00:16:35.440]  I should have covered it more, Elon Musk came out and said, no, Grok is infected with fake authoritative sources, and we're about to reprogram it to go to other more balanced authoritative sources, whatever that means.
[00:16:35.680 --> 00:16:48.240]  But that's why Grok will basically just tell you the official Democrat Party line is authoritative sources for it are CNN and the Southern Poverty Law Center, and it will just cite them.
[00:16:48.480 --> 00:16:56.000]  Well, the New York Times says that NATO wasn't involved blowing up the Nord Stream pipeline, so Putin did it.
[00:16:56.080 --> 00:16:58.240]  I mean, it's just pure crap.
[00:16:58.559 --> 00:17:01.279]  And there's Elon saying, I'm about to reprogram you, Grock.
[00:17:01.920 --> 00:17:04.319]  So that's good news.
[00:17:05.599 --> 00:17:12.480]  But all the other AI is purposely been programmed to tell massive lies.
[00:17:14.319 --> 00:17:16.559]  And there's so much misrepresentation that goes on.
[00:17:16.720 --> 00:17:17.759]  We all know that.
[00:17:18.319 --> 00:17:34.240]  But in a moment, I'm going to give you my take five, six days into the Iran-Israel ceasefire and my critique on what President Trump did with the strikes on Iran, because now hindsight is 2020.
[00:17:34.400 --> 00:17:46.480]  But here's the press secretary on just some of the incredible lies of not just CNN, but this particular reporter who is known for hoax after hoax after hoax after hoax.
[00:17:46.559 --> 00:17:48.079]  I want to be clear.
[00:17:49.360 --> 00:17:52.240]  Two of the nuclear sites are above ground and were obliterated.
[00:17:52.400 --> 00:17:53.840]  In fact, annihilated is the word.
[00:17:54.079 --> 00:17:55.840]  Obliterated just means blowing a bunch of pieces.
[00:17:55.920 --> 00:17:57.759]  Annihilated means gone.
[00:17:59.039 --> 00:18:00.240]  So the president's wrong.
[00:18:00.400 --> 00:18:01.360]  It wasn't obliterated.
[00:18:01.440 --> 00:18:02.319]  It was annihilated.
[00:18:02.559 --> 00:18:05.920]  The deeper big nuclear site was heavily damaged, no doubt.
[00:18:06.079 --> 00:18:11.599]  I mean, you can go down there and look at it, but you got to get through hundreds and hundreds and hundreds of feet of rubble.
[00:18:11.920 --> 00:18:15.680]  When you drop giant bombs down a hole, it doesn't matter how far back the stuff is.
[00:18:15.759 --> 00:18:17.759]  It sends a huge concussion blast through.
[00:18:18.000 --> 00:18:27.519]  And I'm, yeah, it's, it's very, people go, wait a minute, but you said before the strikes, there's going to be a controversy because they're going to say the fissile material was taken out.
[00:18:29.680 --> 00:18:32.720]  And the information we have is that that's true, but it still did knock it back.
[00:18:32.799 --> 00:18:34.559]  But that's apples and oranges.
[00:18:35.119 --> 00:18:36.079]  That's apples and oranges.
[00:18:36.319 --> 00:18:37.519]  The assessment, I believe, is accurate.
[00:18:37.599 --> 00:18:38.559]  What Trump is saying is accurate.
[00:18:38.720 --> 00:18:47.360]  What Hag says is saying accurate about the sites and ongoing enrichment being knocked back hell four or five years probably is what most of the analysts are saying.
[00:18:47.840 --> 00:18:51.039]  The question is, how much fiscal material did they get out?
[00:18:51.920 --> 00:18:57.599]  And I was simply pointing out that will be the controversy because Iran has said they've gotten it out over the years.
[00:18:58.240 --> 00:19:03.039]  And I don't just believe anything the mullahs say, but Trump's like, well, it's really heavy and it's hard to get out of there.
[00:19:03.279 --> 00:19:03.599]  What?
[00:19:04.880 --> 00:19:05.680]  Uranium?
[00:19:05.920 --> 00:19:06.079]  Okay.
[00:19:06.319 --> 00:19:07.200]  Weighs like lead.
[00:19:07.360 --> 00:19:09.840]  You can't get containers of lead out.
[00:19:09.920 --> 00:19:11.519]  You can't get containers of uranium out.
[00:19:11.599 --> 00:19:12.559]  Well, it's really dangerous.
[00:19:12.720 --> 00:19:14.480]  Well, how do we ship it around?
[00:19:14.799 --> 00:19:17.200]  I mean, you'll be driving around nuclear power plants around the country.
[00:19:17.279 --> 00:19:17.840]  I've seen it many times.
[00:19:17.920 --> 00:19:23.599]  You'll see a big armored 18-wheeler and it's got all this special extra thick caging around it.
[00:19:23.680 --> 00:19:24.559]  And it's a really heavy truck.
[00:19:24.720 --> 00:19:28.559]  It's kind of like a big cross between a trash truck and a cement truck.
[00:19:28.799 --> 00:19:31.279]  You'll see danger, radiation With all the symbols on it.
[00:19:31.599 --> 00:19:35.359]  And I've looked it up before and I've seen these and go, God, there's a nuclear plant that's moving nuclear waste.
[00:19:35.599 --> 00:19:38.079]  I mean, you move this stuff around, folks.
[00:19:38.240 --> 00:19:41.599]  So, I mean, the idea, and again, I'm not attacking Trump.
[00:19:41.759 --> 00:19:46.480]  I'm just not ever going to sit there when I hear something I think's wrong and say, oh, that's right.
[00:19:46.640 --> 00:19:47.839]  Overall, support Trump.
[00:19:48.000 --> 00:19:49.200]  I think he's doing a great job.
[00:19:49.519 --> 00:19:58.240]  But it's our job as his constituency that got him into office that when we individually think something's wrong or we have a concern, we're supposed to voice it because we're not in a cult.
[00:19:59.119 --> 00:20:01.119]  Every time I say that, they run headlines around the country.
[00:20:01.200 --> 00:20:02.559]  Jones says MAGA's a cult.
[00:20:02.640 --> 00:20:03.599]  He's not in the cult anymore.
[00:20:03.759 --> 00:20:05.200]  No, Trump's not a cult.
[00:20:05.359 --> 00:20:06.400]  He doesn't want a cult.
[00:20:06.640 --> 00:20:14.480]  Some of his followers want a cult and think whatever he's saying or anybody's administration's saying, we're not supposed to wargame or discuss.
[00:20:14.799 --> 00:20:15.119]  No.
[00:20:16.640 --> 00:20:18.640]  The essence of freedom is debate and discussion.
[00:20:18.799 --> 00:20:20.240]  Science is debate.
[00:20:20.559 --> 00:20:22.480]  The only thing constant about science is change.
[00:20:22.720 --> 00:20:23.759]  And that goes for everything else.
[00:20:24.000 --> 00:20:25.279]  And I'm wrong about stuff too.
[00:20:25.440 --> 00:20:26.240]  I love taking calls.
[00:20:26.400 --> 00:20:27.440]  I love having guests on.
[00:20:27.680 --> 00:20:29.440]  I love having people disagree with me.
[00:20:30.319 --> 00:20:34.079]  You know, Michael Savage came on, agreed with a lot of stuff I said yesterday, disagree with some.
[00:20:34.160 --> 00:20:34.880]  I loved it.
[00:20:35.200 --> 00:20:36.559]  I try to get leftists on.
[00:20:36.640 --> 00:20:38.799]  That's some of the hottest radio TV there is.
[00:20:39.119 --> 00:20:41.440]  They won't come on because they can't defend their ideas.
[00:20:41.680 --> 00:20:43.759]  We are not like the left.
[00:20:44.079 --> 00:20:54.240]  Now, that said, there was a lot of misrepresentation about what I said in the lead up to the strikes in the last 600-day war Israel had.
[00:20:54.400 --> 00:20:55.279]  It's not 12 days.
[00:20:55.359 --> 00:20:56.240]  That was the end of it.
[00:20:56.559 --> 00:20:59.599]  That was the days that Israel started striking.
[00:20:59.680 --> 00:21:01.599]  The U.S. joined them in the middle of it.
[00:21:02.240 --> 00:21:07.759]  There's been a lot of misrepresentation about what I said, what I did, what I stood for on this.
[00:21:08.079 --> 00:21:14.480]  I said Trump was rolling the dice and it was very dangerous if Iran retaliated intensely.
[00:21:14.559 --> 00:21:15.440]  It was stupid.
[00:21:15.759 --> 00:21:17.119]  And then we'd have to go to full war.
[00:21:17.279 --> 00:21:18.559]  And that's what would happen.
[00:21:18.880 --> 00:21:20.559]  And that that was a roll of the dice.
[00:21:21.519 --> 00:21:25.759]  And I simply said, like Steve Mannon, hey, let's think about this.
[00:21:26.079 --> 00:21:30.160]  That turned into you're a moolah, you're an agent, you're on Qatari payroll.
[00:21:30.880 --> 00:21:32.880]  No, that's ridiculous.
[00:21:33.519 --> 00:21:36.400]  I simply said, this is a dangerous roll of the dice.
[00:21:36.559 --> 00:21:46.240]  Now, that said, when they did the strikes, all these people said, oh, look, see, it got the war ended.
[00:21:46.319 --> 00:21:47.200]  You've been proven wrong.
[00:21:48.480 --> 00:21:51.519]  No, I simply said we should look at all the angles of this.
[00:21:52.480 --> 00:22:05.360]  And you notice now the left and through Israel talking points, not Netanyahu, but the Surrogates are saying they didn't get the physical material to keep the crisis going so he can become stay a war leader.
[00:22:05.680 --> 00:22:08.400]  His emergency powers are up in a little under six months.
[00:22:08.720 --> 00:22:10.559]  So I don't think this is over yet.
[00:22:10.880 --> 00:22:17.920]  But so far, and I said hindsight would be 2020, it's working.
[00:22:18.559 --> 00:22:23.279]  So far, Trump's gamble is working like it seems to always do.
[00:22:24.240 --> 00:22:30.799]  But I don't want to get in some position of hubris here where we just say, well, then let's not question what he decides to do because I know he listens to the public.
[00:22:30.960 --> 00:22:32.400]  He listens to a bunch of advisors.
[00:22:32.480 --> 00:22:33.279]  He listens to me.
[00:22:33.519 --> 00:22:34.640]  He listens to Steve Bannon.
[00:22:34.720 --> 00:22:40.000]  And we're all going to put in our two cents so that he can come to the right decision, as Roger Stone has said many times.
[00:22:40.240 --> 00:22:46.079]  He's never seen Trump make a wrong decision on a big issue if he's given all the information.
[00:22:46.400 --> 00:22:47.759]  But there's been times he didn't.
[00:22:47.920 --> 00:22:54.319]  Remember, Trump has said many times the campaign trail the last few years and recently, I didn't know how bad it was.
[00:22:54.480 --> 00:22:56.240]  I didn't know how corrupt it was when I first came in.
[00:22:56.400 --> 00:22:57.599]  I didn't understand the deep state.
[00:22:57.920 --> 00:22:59.200]  I wasn't from inside government.
[00:22:59.279 --> 00:23:00.000]  I knew a lot of it.
[00:23:00.240 --> 00:23:01.279]  He understood policy.
[00:23:01.519 --> 00:23:02.799]  He understood sovereignty.
[00:23:02.880 --> 00:23:12.799]  He understood trade, borders, understood business, but he didn't understand how duplicitous and how manipulative and how the deep state is bipartisan.
[00:23:14.000 --> 00:23:17.119]  So remember, Trump has said he's learned a lot and is learning a lot.
[00:23:17.440 --> 00:23:22.960]  So for those of us that understand things and know things, and when we have a concern, we need to go ahead and voice it.
[00:23:23.279 --> 00:23:29.519]  So I'm very honored to be on the air and be able to have a big effect putting out my concerns.
[00:23:30.079 --> 00:23:31.519]  And again, I never said it was going to fail.
[00:23:31.599 --> 00:23:33.200]  I never said it was going to create World War III.
[00:23:33.360 --> 00:23:35.279]  We're already in World War III, according to most analysts.
[00:23:35.360 --> 00:23:36.240]  It's expanding.
[00:23:36.559 --> 00:23:38.880]  I'll explain that later for people that don't seem to understand that.
[00:23:39.039 --> 00:23:40.720]  I don't want to go nuclear.
[00:23:41.279 --> 00:23:44.720]  But I simply said it was a roll of the dice.
[00:23:44.880 --> 00:23:47.599]  And so far, it looks like it's going well.
[00:23:48.400 --> 00:23:50.240]  But time will tell.
[00:23:50.559 --> 00:23:54.160]  And overall, he is an anti-war president, and that's why I support him.
