[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[00:05:01.360 --> 00:05:04.180]  And golly, is there a lot of news being uncovered now.
[00:05:04.339 --> 00:05:06.779]  We're having Ian Carroll in for the last hour of the show this evening.
[00:05:06.879 --> 00:05:08.180]  He'll be on at 7 o'clock central.
[00:05:08.180 --> 00:05:14.180]  We're going to talk about his conversation with Joe Rogan, his Epstein breakdown with Alex Jones, and so much more.
[00:05:14.759 --> 00:05:17.779]  I spent some time with him earlier today at the range shooting.
[00:05:17.779 --> 00:05:19.899]  My wife actually fired a weapon for the first time today.
[00:05:19.920 --> 00:05:22.579]  I know it sounds ridiculous that her first time would be today, but...
[00:05:22.699 --> 00:05:26.800]  It was the first time we had a chance to get it done and have her properly taught how to do it.
[00:05:27.540 --> 00:05:28.420]  It was an awesome time.
[00:05:28.519 --> 00:05:37.540]  So I asked Ian, I said, hey, you got to come on, because he was telling me about some of the other developments that he's been going over, looking into, totally unrelated to previous conversations and topics of this week.
[00:05:37.939 --> 00:05:39.379]  And he's going to come in again tonight.
[00:05:42.199 --> 00:05:49.920]  But the reason I mention that is, despite all the hubbub that was going on this week, my feed on X was completely loaded.
[00:05:51.379 --> 00:05:55.959]  With just Joe Rogan, Ian Carroll, Joe Rogan, Ian Carroll, Joe Rogan, Ian Carroll over and over again.
[00:05:56.040 --> 00:05:57.759]  And it's great because I love Joe Rogan and I love Ian Carroll.
[00:05:58.240 --> 00:06:05.800]  But there has been so much news and there is so much going on in addition to just the Israel conversation that it's just unbelievable.
[00:06:05.860 --> 00:06:07.660]  And it's been a couple of weeks since I've hosted this show.
[00:06:07.819 --> 00:06:13.060]  And so I have to keep myself from going back and talking about old news.
[00:06:13.379 --> 00:06:15.680]  But just this, which I teased a little bit in the last segment.
[00:06:16.700 --> 00:06:17.699]  Direct line.
[00:06:17.879 --> 00:06:22.800]  Democrats are freaking out that FBI Director Kash Patel has a direct line to President Trump.
[00:06:22.939 --> 00:06:27.399]  They insist he should have to relay any messages to the President through Attorney General Pam Bondi.
[00:06:28.319 --> 00:06:37.360]  And I am not ready to come out in full bore offense against Pam Bondi yet because I want to give her the benefit of the doubt and I really trust Trump and I really trust Musk.
[00:06:37.560 --> 00:06:42.019]  Both of them had said glowing things about her and not tongue-in-cheek.
[00:06:42.399 --> 00:06:46.360]  And not in some obviously politically correct way or for some political gain.
[00:06:46.639 --> 00:06:53.759]  When I heard Musk and Trump come out and say positive things about Mike Johnson, I figured that now it's just the time for them to do that, but they don't really feel that way.
[00:06:53.839 --> 00:06:59.019]  I think they understand after what he attempted to do with the $1.2 trillion omnibus bill that he's not going to be a long-term solution.
[00:07:00.259 --> 00:07:17.040]  That being said, when they come out and talk about Pam Bondi and they encourage her and they support her, I'm going to encourage her and support her for as long as is remotely But every day that goes by that we don't have the Epstein files, it becomes less reasonable to support her.
[00:07:17.800 --> 00:07:27.459]  And she could come out this week and just prove us all wrong or just comfort us and eradicate all of our doubts in one fell swoop by doing the right thing.
[00:07:27.560 --> 00:07:33.399]  It turns out, oh great, they were actually just taking their time going through thousands of pages of documents and they really did need to redact these victims' names.
[00:07:33.459 --> 00:07:41.300]  But I have a feeling that what's going to happen over the course of the next weeks Is we're going to see releases and they're not going to be satisfying.
[00:07:41.300 --> 00:07:44.579]  I think they're going to be better than the phase one BS that we were faced with.
[00:07:44.779 --> 00:07:47.180]  That was only information we all already had.
[00:07:47.279 --> 00:07:53.319]  In fact, some of the information that was redacted in the phase one release was information that had been previously released unredacted.
[00:07:53.439 --> 00:07:57.000]  So in a way, it was even more hidden and covered up than what we already knew.
[00:07:57.660 --> 00:08:00.759]  But I think that we are going to see some information come out over the coming weeks.
[00:08:00.839 --> 00:08:09.939]  And I think that's one of the reasons that we've seen head prosecutors, leaders at SDNY. Being forced to resign.
[00:08:11.620 --> 00:08:13.139]  Potentially even facing charges.
[00:08:14.800 --> 00:08:25.600]  But that being said, that disclaimer that I just gave you about my position on Pam Bondi does come with this concern of this last sentence of this tweet from At A Muse, who is an awesome account to follow.
[00:08:25.720 --> 00:08:26.839]  I highly recommend you do if you don't already.
[00:08:26.959 --> 00:08:31.839]  They insist he should have to relay any messages to the president through Attorney General Pam Bondi.
[00:08:31.959 --> 00:08:34.100]  Why is it that the Democrats love Pam Bondi now?
[00:08:35.409 --> 00:08:41.950]  I've said it before and I'll say it again that the best way to know that you're supporting the right person is that all the world's supervillains oppose that person.
[00:08:42.169 --> 00:08:48.309]  It's one of the reasons why I'm incredibly proud to work for Alex Jones because all of the world's supervillains oppose Alex Jones.
[00:08:48.450 --> 00:08:57.509]  It's one of the reasons why I voted for Donald Trump without a shred of a doubt because all of the world's supervillains, at least the vast majority of them, oppose Donald Trump.
[00:08:58.879 --> 00:09:10.399]  And then when you have these supervillains, these same entities, this globalist, woke, mind-virus, cult, NPC, legion of demons, coming out and saying, hey, hey, hey, Kash Patel should have to have everything filtered through Pambani.
[00:09:10.500 --> 00:09:11.659]  I'm like, why do you want...
[00:09:11.659 --> 00:09:14.779]  If Pambani's good, then why are you saying that he should have to go through her?
[00:09:14.860 --> 00:09:19.240]  I mean, if she's just as bad for the left as Kash Patel, then wouldn't you be appalled either way?
[00:09:20.580 --> 00:09:24.200]  And what's more, it begs the question, why is there a direct line at all?
[00:09:24.240 --> 00:09:27.860]  I mean, if Pambani is so good, then why does Trump feel like he needs to have a direct line with Kash Patel?
[00:09:28.960 --> 00:09:40.620]  Now, it's possible that with this second administration, this second attempt at being the president of the United States, Donald Trump has just decided that he wants more direct communication with the heads of all the major departments than the first time that he was in office.
[00:09:40.620 --> 00:09:42.159]  And it has nothing to do with Pam Bundy whatsoever.
[00:09:42.419 --> 00:09:43.820]  It's totally possible, even likely.
[00:09:44.799 --> 00:09:49.320]  But it's something to note and keep in the back of your mind as this story continues to develop.
[00:09:49.789 --> 00:09:53.950]  The FBI Director Cash Patel has ordered direct phone lines from his home and office to President Trump.
[00:09:54.350 --> 00:10:00.950]  Democrats insist that Patel should have to relay any messages through Attorney General Pam Bondi and avoid direct contact with the president.
[00:10:02.409 --> 00:10:08.690]  So what we have here is an unprecedented presidential administration.
[00:10:09.730 --> 00:10:17.090]  We have a president who for the first time really in probably 50 years is actually being the president of the United States.
[00:10:17.190 --> 00:10:18.710]  And Ronald Reagan did some of that.
[00:10:19.240 --> 00:10:35.139]  Bill Clinton even did some of that for the left, for the CIA. But if you're looking at the Bushes, if you're looking at the Obamas, if you're looking at the Bidens, even much of Trump's first term, inadvertently, not because of a lack of character or intelligence or competence, but just a lack of, I think, experience, frankly, his first time around.
[00:10:36.480 --> 00:10:43.740]  We have seen presidential administrations run by the bureaucracy, run by the deep state, and now we're seeing it the other way around.
[00:10:43.899 --> 00:10:54.759]  We're actually seeing the White House take control of the executive branch and Not allow for opportunities of subversion to take place in the administration against the American people.
[00:10:57.519 --> 00:11:03.620]  And there's a lot of talk going on right now about Iran and terrorism and threats to national security.
[00:11:04.019 --> 00:11:14.559]  I've grown to hate the word or expression national security because virtually everything terrible that's happened in the United States of America in a very formal and explicit way has been done in the name of national security.
[00:11:15.049 --> 00:11:17.610]  The war on terror, yes, of course, terrorism is real.
[00:11:17.710 --> 00:11:18.789]  9-11 really did happen.
[00:11:19.110 --> 00:11:33.110]  But the response to it was so disproportionate, resulting in the Patriot Act and such violations as Edward Stone revealed, that national security was the excuse used for a great incursion, an invasion of government into the lives of the American citizens.
[00:11:34.490 --> 00:11:45.889]  National security was used as an excuse, and health and safety of course, used as an excuse to justify all of the regulations and lockdown policies that took place after the fake COVID-19 pandemic.
[00:11:46.429 --> 00:11:48.769]  And by fake, I don't mean that COVID-19 wasn't real.
[00:11:48.950 --> 00:11:50.730]  By fake, I mean that it was manufactured.
[00:11:50.730 --> 00:11:51.529]  It was artificial.
[00:11:51.850 --> 00:12:05.029]  It was made in a lab and orchestrated intentionally and then weaponized by the left and the globalist elites to subvert and undermine the integrity of the Trump administration and steal the election in 2020. So we lived in a fake republic for four years.
[00:12:06.529 --> 00:12:17.960]  And so immediately when I hear from leaders, whether they're Republicans or whether they're Democrats, That something needs to be censored or something needs to be done or something needs to be redacted in the name of national security.
[00:12:18.139 --> 00:12:20.460]  My spidey sense begins to tingle.
[00:12:20.600 --> 00:12:23.299]  The hair on the back of my neck begins to stand up.
[00:12:24.940 --> 00:12:38.000]  And so when we have the situation with Pam Bondi, who over the course of the last several weeks, she has spent an abundant amount of time on major news outlets, particularly Fox News, saying things like, I have the files on my desk.
[00:12:38.000 --> 00:12:38.980]  That was the first tease.
[00:12:39.560 --> 00:12:44.700]  Then the second tease was, tomorrow you're going to be shocked by what you see in these documents, and then we weren't shocked.
[00:12:45.799 --> 00:12:51.559]  Then we saw that there was no documents even really provided to her to begin with, so it's like, why did she say that she had the documents on her desk?
[00:12:51.740 --> 00:12:59.259]  And now there's truckloads of documents that she has, but they're going through them and redacting them to protect the victims, and now they're redacting even more information in the name of national security.
[00:12:59.519 --> 00:13:00.580]  That's very concerning to me.
[00:13:02.129 --> 00:13:03.230]  We'll see what happens.
[00:13:03.389 --> 00:13:04.330]  I hope that I'm proven wrong.
[00:13:04.529 --> 00:13:10.929]  I hope that my intuition about this is incorrect because, after all, I do want this Trump administration to be full of nothing but success.
[00:13:11.429 --> 00:13:15.110]  But trust is the currency of leadership.
[00:13:16.409 --> 00:13:19.129]  And Pam Bondi is running very low on trust.
[00:13:19.870 --> 00:13:25.450]  I'm not about to claim that she's a bad person or that she's malicious or that she's controlled opposition or anything like that.
[00:13:25.490 --> 00:13:26.149]  I don't think so.
[00:13:27.789 --> 00:13:33.669]  But she hasn't done anything yet to prove That she is to be trusted.
[00:13:34.149 --> 00:13:37.070]  And I don't mean that she shouldn't be trusted because she's dishonest.
[00:13:37.450 --> 00:13:42.809]  It's also the case that you shouldn't trust somebody who just isn't ready for the job that they're given.
[00:13:42.889 --> 00:13:53.669]  If you're working on an oil rig, for example, and it's a very dangerous job, a lot of heavy machinery, you're out in the ocean, you're dealing with an incredibly flammable substance being pumped out of the ocean.
[00:13:54.939 --> 00:14:05.279]  And the new guy on the job is right next to you and he's supposed to do something in a very specific order, in a very specific way, while you do something in order to keep you safe, maybe you don't trust that person.
[00:14:06.120 --> 00:14:10.559]  It's not because they want you to be injured or they want to kill you or they want to harm you.
[00:14:10.659 --> 00:14:22.019]  It's just like, look, this guy's only been doing this job for three days and you want me to go under this huge piece of machinery and trust that he's going to flip all the switches and pull all the levers in the right order at the right time so that this machine doesn't just slam down on top of me?
[00:14:22.590 --> 00:14:27.330]  That's what I'm talking about when I'm talking about concerns around trust for Pam Bondi.
[00:14:27.470 --> 00:14:32.929]  I don't think that she's a bad actor, but I'm not yet convinced that she is astounding at the job.
[00:14:34.149 --> 00:14:38.049]  And I don't even know what happened with Matt Gaetz, who was the first person who was appointed to do her position.
[00:14:38.049 --> 00:14:51.429]  I don't know why that fell apart, whether it was always designed to fall apart from the beginning, whether it was some kind of intentional way to get Gaetz out of Congress so that he could pursue a different career that he wanted at OAN or whatever network he's on now.
[00:14:51.899 --> 00:14:55.480]  I don't know what happened there, but you've got this person who's coming out.
[00:14:55.580 --> 00:14:59.179]  We've got clips years in the past of her talking about red flag laws and how she supports them.
[00:14:59.379 --> 00:15:07.620]  You've got clips of her in the past talking about how they were going to go over all the January 6th cases case by case instead of doing a blanket pardon, and they pretty much did end up doing a blanket pardon.
[00:15:09.360 --> 00:15:18.799]  And then the teases that didn't come through last week and these just continued delays, it's like, come on, lady, just kick a field goal for once.
[00:15:19.000 --> 00:15:20.659]  You need a win right now.
[00:15:21.399 --> 00:15:23.399]  Otherwise, I think that she's going to be out.
[00:15:24.179 --> 00:15:37.120]  But we saw Trump in the context of the fact that Russia and China and the world right now is practically admitting that the globalist institutions have all collapsed right in front of our eyes and that America is in a new imperial stage, for lack of a better term.
[00:15:37.220 --> 00:15:40.860]  I don't mean imperial like Donald Trump is dictator, but imperial in that.
[00:15:41.370 --> 00:15:44.909]  What the British Empire once was, now the United States is becoming again.
[00:15:45.090 --> 00:15:54.909]  Instead of being controlled by globalists, we now are the ones controlling total international global economics and politics in a more sophisticated and intentional, overt way.
[00:15:55.769 --> 00:15:59.629]  Without all the subversion in place that existed before this administration.
[00:16:01.309 --> 00:16:05.610]  But we've got Trump coming out this week and giving an amazing address to Congress.
[00:16:05.750 --> 00:16:08.549]  It wasn't technically a State of the Union, but they were kind of calling it a State of the Union.
[00:16:11.689 --> 00:16:12.990]  Joint congressional address.
[00:16:13.169 --> 00:16:14.970]  Had the Senate and the congressman there in the Supreme Court.
[00:16:15.850 --> 00:16:19.529]  And he just listed everything that he accomplished in the first month of his presidency.
[00:16:19.830 --> 00:16:22.210]  And it was as if he had been the president for a year.
[00:16:22.409 --> 00:16:24.750]  The accomplishments were so astounding.
[00:16:25.490 --> 00:16:27.909]  And the Democrats really embarrassed themselves.
[00:16:29.149 --> 00:16:31.490]  What with the guy with the cane, I forget his name, Al Green.
[00:16:32.490 --> 00:16:36.909]  Getting kicked out, obviously intentionally so, so that he could use the marketing tactic of it.
[00:16:37.009 --> 00:16:39.250]  It was just political showmanship at its worst.
[00:16:39.850 --> 00:16:46.629]  Then you have examples of children with cancer standing up and being honored and the Democrats not even recognizing that.
[00:16:46.730 --> 00:17:05.809]  I mean, I tell you what, if I was sitting in that hall and I was hearing Joe Biden speak, and he brought a kid with cancer in and told an inspiring story about the kid with cancer, even if I disagreed with all the conclusions that he drew from that anecdote, even if I disagreed with all of the points that he was trying to make with that anecdote.
[00:17:06.349 --> 00:17:12.569]  I'm not gonna sit down and have a kid see me sit down after he's just been celebrated for surviving cancer.
[00:17:14.349 --> 00:17:16.309]  That's the difference between the left and the right.
[00:17:16.430 --> 00:17:20.710]  The Democrats are happy to throw children under the bus if it's for the sake of their own political agenda.
[00:17:20.970 --> 00:17:29.069]  They're happy to allow human trafficking or bombings all over the world or the slaughter of Christians or Jews or Palestinians all over the world.
[00:17:29.349 --> 00:17:32.990]  Ukrainians, Russians, they don't care whatsoever about any other human being.
[00:17:33.170 --> 00:17:40.430]  They only care about the party, about the establishment, because they have sacrificed the ideology of individualism for the ideology of collectivism.
[00:17:40.569 --> 00:17:46.809]  And they fundamentally at their core believe that individuals serve no purpose other than to be sacrificed for the sake of the masses.
[00:17:47.049 --> 00:17:49.730]  That is the inversion of God's creation.
[00:17:50.549 --> 00:17:54.829]  After all, God did start by creating one man, not a group of men and women.
[00:17:56.670 --> 00:18:00.470]  And it is important that we have relationships with one another and that we have community with one another.
[00:18:00.630 --> 00:18:01.890]  That's after all why he created Eve.
[00:18:01.930 --> 00:18:03.289]  It is not good for man to be alone.
[00:18:03.410 --> 00:18:10.849]  I'm not saying that we should sacrifice our sense or our empathy for any collective group whatsoever, but he created man and saw that it was good.
[00:18:11.009 --> 00:18:19.990]  So the individual from the very beginning of Genesis all the way through the story of Christ is absolutely pivotal to Christian ideology and Western civilization.
[00:18:21.130 --> 00:18:40.170]  This idea of one man, this idea of one woman, this idea of one person, regardless of any of their other immutable characteristics, but the leftist has, in its satanic form, gone totally against the grain, against the current of all that Christian and Western values stand for, primarily individualism.
[00:18:40.589 --> 00:18:49.730]  The righteousness of one man, the success and ambition of one man, the goodness of what one man is capable to do, the self-actualization of one person.
[00:18:49.829 --> 00:18:53.670]  They would rather have no one successful so long as everyone is equal.
[00:18:53.849 --> 00:19:01.309]  And so that's why they're totally comfortable with sacrificing children to the sake of their collectivist ideology.
[00:19:02.640 --> 00:19:22.819]  I mean, after all, it's exactly what they've been doing with the woke idealism that they've instilled in all of our institutions for many decades that have manifest themselves in some asinine way over the course of the last several years because of their virality on social media and the fact that parents are now realizing their children are coming home, having been given puberty blockers without even being informed by the school.
[00:19:23.680 --> 00:19:30.500]  And I've got clip after clip after clip of example after example after example.
[00:19:31.160 --> 00:19:41.279]  Of how this leftism is totally eradicating any semblance of sanity in the United States of America.
[00:19:45.099 --> 00:19:54.579]  But first I want to get into Democrats blaming Trump and Republicans, Trump's party, for the asinine behavior of their party after his address this week.
[00:19:54.720 --> 00:19:59.319]  Let's go to clip number five, please, and unpack it on the other side.
[00:20:01.879 --> 00:20:03.180]  Senator, thanks for joining us.
[00:20:03.319 --> 00:20:17.579]  Senate Democrats face a big decision this week, voting for a Republican spending bill that makes no concessions for what Democrats want or vote no and block it and likely be part of a vote that will shut down the federal government.
[00:20:18.019 --> 00:20:19.420]  How do you plan to vote?
[00:20:22.359 --> 00:20:30.039]  Well, let's look at what we actually want to see get done, which is that, first of all, the Republicans are in charge of this process right now.
[00:20:30.160 --> 00:20:34.460]  And what we've seen with Speaker Johnson is that he walked away from the bipartisan talks.
[00:20:34.640 --> 00:20:36.460]  We have talks ongoing right now.
[00:20:36.579 --> 00:20:51.210]  And what I support is an effort that's the same thing that the Republican chair of Appropriations Cole supports, which he says that a bipartisan deal would be better than a CR. What we see with Chairwoman Susan Collins, she wants to be able to move forward.
[00:20:51.410 --> 00:21:08.349]  So what I want to see get done is a 30-day extension for us to be able to continue these bipartisan talks and then to actually be able to come up with a congressional deal rather than just kick the can down the road with a CR for the rest of the year, which is what Speaker Johnson wants because, again, he's abdicating his responsibility.
[00:21:08.349 --> 00:21:10.069]  And it just goes on and on and on.
[00:21:10.109 --> 00:21:13.289]  And I have to show you what the mainstream media is saying.
[00:21:13.640 --> 00:21:16.980]  Because the mainstream media is the propaganda arm of the deep state.
[00:21:17.119 --> 00:21:18.640]  And it is collapsing right before us.
[00:21:18.720 --> 00:21:23.880]  And it is becoming totally moot, totally irrelevant, because frankly, no one listens to them.
[00:21:23.940 --> 00:21:28.240]  But they still have some semblance of credibility just by virtue of the logo that they have.
[00:21:28.339 --> 00:21:31.859]  They've got this momentum from the legacy tradition.
[00:21:32.559 --> 00:21:42.660]  Whether it's the New York Times or CNN or MSNBC or ABC or NPR, all these institutions, which we as info warriors are totally aware are just lies for the deep state.
[00:21:42.960 --> 00:21:50.339]  They have momentum, despite the fact that they have no viewers or listeners, because of what was once perceived as the credibility of their brand.
[00:21:51.139 --> 00:22:00.920]  But he's saying that what the Democrats did at that congressional hearing, at that congressional address, that joint congressional address, was because this is the party of the Republicans, which made absolutely no sense.
[00:22:00.920 --> 00:22:02.299]  He's obviously a total dumbass.
[00:22:02.460 --> 00:22:07.599]  But let's see what a Democrat had to say after seeing that address and how the Democrats behaved.
[00:22:07.680 --> 00:22:22.400]  This is clip number 33. I cannot tell you how refreshing it was to wake up this morning and hear from other Democrats and see on my post other Democrats who are just as furious and ready to friggin jump ship as I am.
[00:22:22.640 --> 00:22:39.049]  I do not, I'm not buying into what they're selling because after what we saw yesterday, I'm actually glad that they pulled that yesterday because people like me who have Been disillusioned by the Democratic Party for a long time.
[00:22:39.309 --> 00:22:42.609]  Got to see an evilness there.
[00:22:42.910 --> 00:22:51.650]  Got to see a diabolical side of the Democratic Party who's basically saying, we want you to fail.
[00:22:51.769 --> 00:22:53.230]  We don't care if you fail.
[00:22:53.630 --> 00:22:59.710]  It's like the scene in The Wizard of Oz when they finally go back to see the great Oz and they pull the curtain back.
[00:23:00.109 --> 00:23:04.650]  And it's just a little old man just standing there like that doesn't have a...
[00:23:08.319 --> 00:23:11.180]  I'm not gonna be afraid to voice my opinion anymore.
[00:23:11.180 --> 00:23:11.740]  I'm done.
[00:23:12.000 --> 00:23:12.819]  I am done.
[00:23:13.099 --> 00:23:13.819]  I am done.
[00:23:13.940 --> 00:23:19.559]  And you're not gonna bully me off my own page by thinking logical thoughts.
[00:23:19.559 --> 00:23:22.700]  I'm not gonna be gas lit by my own party.
[00:23:23.450 --> 00:23:24.750]  Not one day more.
[00:23:25.009 --> 00:23:26.150]  Not one day more.
[00:23:26.190 --> 00:23:28.950]  And it's possible that she's faking it just for the views, but I don't think so.
[00:23:29.009 --> 00:23:29.569]  I think that's real.
[00:23:29.730 --> 00:23:33.529]  I think that's somebody who was formerly a Democrat finally waking up to the insanity.
[00:23:33.670 --> 00:23:36.809]  And I've got literally on the list today, I have 140 clips.
[00:23:37.009 --> 00:23:39.190]  It was frankly irritating for the crew to get them already.
[00:23:39.190 --> 00:23:43.670]  I understand, but I've got so much in my bookmarks on X and I'm doing four hours tonight.
[00:23:43.869 --> 00:23:46.789]  I just couldn't stop adding clips to the list.
[00:23:48.429 --> 00:23:50.730]  Because it is absolutely insane what the leftists are doing.
[00:23:50.730 --> 00:23:53.509]  There is so much going on, and I think they really are waking up.
[00:23:53.670 --> 00:24:06.009]  And now we're starting to see somehow, in the context of USAID getting totally caught, all the funding being totally cut, we're starting to see real polls on even leftist media outlets.
[00:24:06.130 --> 00:24:11.690]  I think there was a poll on ABC or some mainstream media outlet this week that 75% of people who saw Trump's address liked it.
[00:24:12.170 --> 00:24:13.109]  75% now.
[00:24:13.230 --> 00:24:16.109]  I believe that the majority of Americans supported Trump.
[00:24:16.720 --> 00:24:17.039]  Absolutely.
[00:24:17.240 --> 00:24:19.660]  I think that he won by an even greater margin than is reported.
[00:24:19.779 --> 00:24:21.259]  I'm sure there was fraud in this last election.
[00:24:21.339 --> 00:24:22.180]  They did try to steal it.
[00:24:22.279 --> 00:24:24.119]  We've seen the ballots that came in at 4 a.m.
[00:24:24.119 --> 00:24:24.839]  in major swing states.
[00:24:25.000 --> 00:24:25.779]  It just wasn't enough.
[00:24:27.940 --> 00:24:32.259]  But now that the polls are starting to be accurate again, and it's not a lot, it's 75%.
[00:24:32.259 --> 00:24:38.039]  I mean, that is an astounding, overwhelming, popular number right there.
[00:24:39.740 --> 00:24:40.940]  But it's because of stuff like this.
[00:24:40.940 --> 00:24:45.019]  Look at clip number 39. I love you so much.
[00:24:47.459 --> 00:24:48.279]  At the altar.
[00:24:48.440 --> 00:24:52.819]  I've always wanted a partner to be on the same wavelength.
[00:24:55.099 --> 00:24:56.579]  And so today I can't.
[00:24:59.000 --> 00:24:59.400]  Boo!
[00:25:03.299 --> 00:25:05.279]  I'm sorry, but I don't want that to be misunderstood.
[00:25:05.279 --> 00:25:07.180]  I still love you and everything about me is amazing.
