# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:31.280 --> 00:00:32.859]  Tomorrow's news today.
[00:06:45.360 --> 00:06:46.720]  Will not be forgotten.
[00:06:47.680 --> 00:06:48.879]  Hulk Hogan.
[00:06:51.759 --> 00:06:56.639]  And this two days after Ozzie Osborne made the jump into hyperspace.
[00:06:58.160 --> 00:06:58.480]  Okay.
[00:06:59.680 --> 00:07:04.399]  I have an extremely full play today on so many fronts.
[00:07:05.040 --> 00:07:16.959]  And I told listeners and viewers that as I got a better approximation of what's going on with this Epstein firestorm, that I would tell you what my view of it is.
[00:07:17.600 --> 00:07:24.000]  And my views and my research is never clouded by what I want something to be.
[00:07:24.319 --> 00:07:27.519]  I always go with what the research information points to.
[00:07:27.840 --> 00:07:31.519]  Now, normally when we're covering policies and issues, it's cut and dry.
[00:07:31.840 --> 00:07:40.399]  Carbon taxes are a scam to control all human activity and track us with AI computers to build a post-industrial world for deindustrialization and depopulation.
[00:07:41.279 --> 00:07:47.279]  Now, the idea that two men can have a baby and there's no difference between men and women, you know, stuff like that is cut and dry.
[00:07:47.439 --> 00:07:51.199]  The fact that communism is a nightmare enslavement system, that's cut and dry.
[00:07:52.720 --> 00:08:19.600]  When you start getting into issues like what's really going on with this ongoing Epstein scandal, and there's all these different layers and all these different people involved and this long history and all these different cases, all these different leaks, it's its own world.
[00:08:21.680 --> 00:08:26.399]  Like somebody's an expert on football because they've been watching it for 30 years and love it.
[00:08:27.680 --> 00:08:36.000]  Well, just knowing about Epstein becomes its own world.
[00:08:37.279 --> 00:08:40.399]  And I have been covering it for decades.
[00:08:40.960 --> 00:08:42.319]  It's decades now.
[00:08:43.279 --> 00:08:52.080]  And it's paradoxical because you learn a lot about how the globalists operate.
[00:08:53.600 --> 00:08:57.039]  And you learn how the Justice Department operates by studying it.
[00:09:00.159 --> 00:09:22.319]  And so even though at a certain point it becomes a distraction because it takes over so much of the bandwidth of research, it's still extremely informative because if you've actually studied it, you know who the different factions are inside the DOJ and the intelligence agencies, and you get a very good idea of exactly what's going on.
[00:09:22.639 --> 00:09:38.159]  But this case itself is just a small piece of this larger underground human trafficking, child trafficking, pedophile, satanic empire or network.
[00:09:39.120 --> 00:09:43.840]  And I've forgotten more about the Epstein case than most of the so-called experts know.
[00:09:46.080 --> 00:10:12.720]  So the corporate media, but also the alternative media, have all had a field day with the fact that I will lay out the bad facts against Trump, then I will lay out the good facts, and then people will just take the good facts I lay out for five minutes and say, look, he's mindlessly defending him.
[00:10:13.600 --> 00:10:20.879]  Or they will take, and I then spend five minutes with the bad facts and say, oh, he's mindlessly just attacking Trump.
[00:10:21.200 --> 00:10:24.879]  And that's an issue with the people that are doing that.
[00:10:26.720 --> 00:10:38.559]  That's an issue of them for whatever reason, whether it's CNN or whether it's some right-wing commentator or whoever they are that want to have a particular narrative, they do that.
[00:10:39.200 --> 00:10:50.720]  But anyone actually listening to this show would know exactly where I stand and that I show you the facts in all the cases.
[00:10:51.039 --> 00:11:10.079]  And that I've also, since this giant fiasco broke 18 days ago, have been the most accurate upfront on who was behind this, who was behind that, what's coming next, what's going to unfold.
[00:11:11.279 --> 00:11:13.200]  I mean, we've nailed it.
[00:11:14.079 --> 00:11:17.360]  And I've been telling people, you know, the first week of it, I'm not sure exactly what's going on.
[00:11:17.519 --> 00:11:19.519]  Then I started to get a good idea.
[00:11:21.120 --> 00:11:26.480]  And I've had so many people from the White House, high-level, call me to get my opinion of what's going on.
[00:11:27.039 --> 00:11:35.600]  So when I say I have sources in the FBI and the White House and intelligence, they just give me pieces of things, but mainly call me to ask what I think.
[00:11:35.920 --> 00:11:38.240]  So people ask, oh, you've got these sources.
[00:11:38.799 --> 00:11:41.440]  Yeah, though, the sources call me.
[00:11:41.920 --> 00:11:43.759]  Let's just be clear about that.
[00:11:44.240 --> 00:11:50.879]  So, and they're really calling me now because I've nailed exactly what's going on.
[00:11:53.120 --> 00:12:05.279]  So people got a really bad taste in their mouth when Trump came out over a week ago, a few days into this, and said, you're not MAGA if you keep talking about this.
[00:12:05.440 --> 00:12:12.960]  This is all a Democrat hoax and people need to just move on from it because it's a distraction, just like RussiaGate, the important work we're doing.
[00:12:13.279 --> 00:12:14.480]  That was pretty ham-fisted.
[00:12:14.559 --> 00:12:16.160]  He later elaborated, and his surrogates did.
[00:12:16.240 --> 00:12:18.240]  No, no, he's not saying Epstein didn't do bad stuff.
[00:12:18.559 --> 00:12:20.480]  He's saying the Democrats have had the files.
[00:12:20.720 --> 00:12:23.759]  They're only going to put recycled BS in there.
[00:12:24.559 --> 00:12:28.879]  And Trump was the one that sent him to get the files.
[00:12:28.960 --> 00:12:31.519]  And they came back to him and said, sir, you're in it.
[00:12:31.840 --> 00:12:33.279]  And then he heard the crap that was in it.
[00:12:33.440 --> 00:12:37.039]  Nothing substantive, but recycled BS.
[00:12:37.279 --> 00:12:39.759]  And then he blew up and said, shut it down.
[00:12:40.079 --> 00:12:41.440]  Well, you can't do that.
[00:12:41.759 --> 00:12:45.120]  And now you've seen Speaker Johnson come out and say that was the case.
[00:12:45.200 --> 00:12:47.600]  And you've seen Trump surrogates come out and say it.
[00:12:47.920 --> 00:12:50.319]  And you've seen the Wall Street Journal come out and say, yeah.
[00:12:50.960 --> 00:12:53.279]  Trump learned he was in the files back in May.
[00:12:53.600 --> 00:13:05.680]  And it was clear when they got those files and clear when they reported back to him that like a record skipping, they went from, we're going to release all this to there are no files.
[00:13:06.000 --> 00:13:12.399]  First the surrogates, Bongino, Pattell, then Bondi, and then Trump himself.
[00:13:13.360 --> 00:13:18.080]  So definitely Trump is in there.
[00:13:18.720 --> 00:13:22.080]  And then that's a whole other discussion of what the files are.
[00:13:22.720 --> 00:13:27.120]  The public acts like it's some magic little black book, and then that's all there is.
[00:13:27.279 --> 00:13:38.399]  And then you, you know, no, no, it's the product of a whole bunch of different, quote, federal investigations run by Comey and his daughter and the rest of them at damage control.
[00:13:38.480 --> 00:13:40.720]  And there were civil lawsuits bringing stuff out.
[00:13:41.039 --> 00:13:53.440]  They would then indict the people to limit the investigation, control it, and then have lesser convictions, which then they end up getting out of prison later because they deliberately put major errors in the prosecution.
[00:13:54.320 --> 00:14:00.159]  Just like you saw with P. Diddy, run again by the cleanup expert, Maureen Comey.
[00:14:02.720 --> 00:14:12.799]  So I'm sorry for the general internet and other folks that just see clips of the show or people that tune in and this is just too complex for you.
[00:14:13.120 --> 00:14:15.120]  This is not the show for you.
[00:14:15.600 --> 00:14:15.919]  Okay?
[00:14:17.680 --> 00:14:34.639]  You see, I understand in a one-dimensional mindset, you just need to be told some simplistic stuff, and then you can decide whether you still support Trump or you don't, or you've always hated Trump and now you just want to believe he's bad,
[00:14:35.200 --> 00:14:47.840]  or you're a rabid, mindless Trump supporter that wants to be in a cult who says anybody even asking questions or saying Trump really stepped in it by ordering this cover-up makes me look very suspicious.
[00:14:48.000 --> 00:14:49.279]  It's going to be a firestorm.
[00:14:49.600 --> 00:14:55.360]  And then I was massively attacked the first day it broke as a traitor and a Democratic Party operative.
[00:14:56.240 --> 00:14:58.960]  And this was part of Trump's 8 trillion DHS.
[00:15:00.240 --> 00:15:01.600]  Well, at first they just said, you're wrong.
[00:15:01.680 --> 00:15:02.799]  Trump's not behind it.
[00:15:03.120 --> 00:15:07.360]  But within 48 hours, he came out and said, no, he was behind it because it's absolute crap.
[00:15:07.600 --> 00:15:09.279]  It's another setup.
[00:15:10.159 --> 00:15:13.680]  And I said, yeah, Comey and the rest of them have had control of the files.
[00:15:13.920 --> 00:15:20.639]  And whatever they left in there is going to take out bad stuff about them and obviously leave bad stuff in or add bad stuff about Trump.
[00:15:20.799 --> 00:15:33.680]  And people accused me of covering up for Trump there and saying, oh, look, you're agreeing with him with the preposterous idea that Comey, Clapper, Brennan, and the Democrats were in control of the file.
[00:15:33.840 --> 00:15:36.080]  They were in control of the file.
[00:15:36.399 --> 00:15:38.720]  And they go, no, no, no, he was in eight years ago.
[00:15:39.039 --> 00:15:40.480]  And they didn't give it to him then.
[00:15:40.559 --> 00:15:41.600]  That's come out.
[00:15:42.799 --> 00:15:44.799]  And they've added all this new stuff.
[00:15:45.120 --> 00:15:47.440]  And I predicted the type of stuff that would be in it.
[00:15:47.759 --> 00:15:52.960]  And now they're leaking out what's in it and whatever they left in that stuff in New York.
[00:15:53.120 --> 00:15:59.200]  And it's all the exact recycled, already debunked stuff that came out before.
[00:16:00.480 --> 00:16:07.920]  Because even if Trump really was involved, they're involved.
[00:16:08.000 --> 00:16:14.720]  So they're not going to bring something out that connects it to them with all the Democrats and Bill Gates and the rest of it and Steve Jobs' wife and all of it.
[00:16:16.240 --> 00:16:24.960]  No, it's going to be the same innuendo and same garbage that they ran in the campaign eight and a half, nine years ago.
[00:16:25.279 --> 00:16:25.840]  I was there.
[00:16:26.000 --> 00:16:27.279]  I covered it all.
[00:16:27.600 --> 00:16:31.360]  So again, I'm teaching you how this works if you're a new listener or viewer.
[00:16:31.600 --> 00:16:38.960]  And I'm sorry if it makes your head hurt, but this is how the real world is, okay?
[00:16:41.460 --> 00:16:45.440]  Now, I mean, I could give everybody a very simple approximation here.
[00:16:51.600 --> 00:16:58.720]  And I will do that at about 45 after.
[00:16:59.360 --> 00:17:02.399]  And by simple, I mean, it doesn't mean it's not accurate, in my view.
[00:17:02.639 --> 00:17:05.599]  Just a simple boil down, and then I can give you some of the latest information.
[00:17:05.920 --> 00:17:12.000]  But if you are a regular listener, you know I've predicted in the last 18 days basically everything that's now happened.
[00:17:13.839 --> 00:17:16.799]  And then what's going to happen next, I'll get into that.
[00:17:17.440 --> 00:17:20.720]  But this is going to be the new Democrat issue going into the fall.
[00:17:20.880 --> 00:17:26.480]  They're going to kick it all off when Congress comes back in in late August.
[00:17:26.799 --> 00:17:30.960]  And you saw the spin in the media, corporate media.
[00:17:31.200 --> 00:17:35.840]  Oh, the Republicans canceled Congress so there couldn't be a hearing on this.
[00:17:37.039 --> 00:17:47.200]  Congress always leaves in late July and then comes back in late August for hundreds of years to go back to their constituency.
[00:17:48.160 --> 00:17:54.720]  And that's because we were mainly an agrarian society and it's a farming society.
[00:17:55.039 --> 00:17:58.480]  And that's when the harvest is back in their district.
[00:17:58.639 --> 00:18:00.319]  So it was an important time to be back there.
[00:18:01.519 --> 00:18:06.000]  So George Washington had a hand in that, obviously.
[00:18:06.079 --> 00:18:12.639]  He was the biggest farmer in the United States at that time, richest man in the United States, even before he was president.
[00:18:14.480 --> 00:18:21.680]  So that's an example of how you got to go through all these Democrat lies.
[00:18:22.960 --> 00:18:28.799]  And then you've got to actually look at what Trump's being deceptive about and then what they're being deceptive about.
[00:18:29.119 --> 00:18:31.680]  But it was so easy to call it.
[00:18:33.599 --> 00:18:36.799]  I said, you watched a lot of congressional hearings a few weeks ago and this broke.
[00:18:37.039 --> 00:18:39.279]  And everybody said, no, the Democrats won't be in for a year and a half.
[00:18:39.360 --> 00:18:43.440]  And I said, no, the Republicans are going to have them because their constituents are going to demand it.
[00:18:43.599 --> 00:18:44.880]  Well, now they're doing it.
[00:18:45.200 --> 00:18:48.559]  Now they're subpoenaing the Clintons and Trump, everybody else.
[00:18:49.200 --> 00:19:01.200]  And then it wasn't hard to predict, as I did a couple of weeks ago with Roger Stone, when we said he needs to tell the AG to go in and have all these court files and grand jury information released, which he ordered.
[00:19:01.519 --> 00:19:05.440]  I said, you watch, the federal judges in New York and Florida will block it.
[00:19:05.599 --> 00:19:06.960]  They're all Democrat judges.
[00:19:07.039 --> 00:19:12.880]  And an Obama judge in Florida blocked the original Epstein case from almost two decades ago.
[00:19:13.200 --> 00:19:20.319]  And I predict they will block the files being released on Ghislaine Maxwell and on Epstein in the New York cases.
[00:19:20.960 --> 00:19:26.960]  And you now have a Democrat lawmaker saying, no, no, no, no, they don't want any of it released unless it has Trump's name on it.
[00:19:28.880 --> 00:19:31.759]  So Trump's Like, no release at all.
[00:19:33.279 --> 00:19:39.200]  So at first, he learned that they'd said his wife was a prostitute that worked for Epstein, which they did before.
[00:19:39.359 --> 00:19:39.920]  It's not true.
[00:19:40.079 --> 00:19:40.880]  He got mad.
[00:19:41.200 --> 00:19:46.720]  And that they had these fake Jane Does that turn out to be fake that they said he raped with Epstein that weren't even real women.
[00:19:47.039 --> 00:19:52.720]  He saw that, and they came and they told him and had a bunch of other so-called handwritten notes and garbage and the rest of it.
[00:19:53.039 --> 00:19:56.480]  And he just blew up and said, move on then, shut the damn thing down.
[00:19:57.039 --> 00:19:58.000]  The guys did.
[00:19:58.640 --> 00:19:59.759]  And it was Trump who gave the orders.
[00:19:59.839 --> 00:20:01.119]  And I've confirmed with the White House.
[00:20:01.359 --> 00:20:02.319]  I'll just leave it at that.
[00:20:02.640 --> 00:20:08.240]  Talked directly to people that were there last few days, two days ago and yesterday.
[00:20:08.880 --> 00:20:10.240]  And of course it was Trump.
[00:20:10.799 --> 00:20:12.559]  He later came out and said it was him.
[00:20:13.119 --> 00:20:18.000]  And you saw him say in press conferences, hey, this is all Comey, Brennan, Clapper, same people, Obama.
[00:20:18.160 --> 00:20:19.440]  They're in the Russia hoax.
[00:20:20.160 --> 00:20:24.720]  If you like what's happening in the country and you believe what I'm doing, then trust me and let's move forward.
[00:20:25.920 --> 00:20:28.319]  That was a little better than what he did before, just saying, shut up.
[00:20:28.400 --> 00:20:28.880]  You're my enemy.
[00:20:28.960 --> 00:20:31.920]  If you talk about this, you're not MAGA.
[00:20:33.440 --> 00:20:38.559]  And now the Democrats don't want any of it released, and Trump does.
[00:20:38.720 --> 00:20:44.000]  So that tells you everything you need to know.
[00:20:44.240 --> 00:20:44.720]  Oh, yeah.
[00:20:44.880 --> 00:20:48.799]  That's why Epstein really got mad at Trump originally.
[00:20:49.359 --> 00:20:52.880]  Epstein came to believe, and then this is written by Trump's enemies, by the way.
[00:20:53.200 --> 00:21:00.319]  Epstein came to believe that it was Trump who had first caused him to be investigated by law enforcement in Florida in 2005.
[00:21:00.640 --> 00:21:07.839]  And by the way, before that was ever in Yahoo News years ago, Roger Stone was there in Palm Beach, lives there.
[00:21:08.640 --> 00:21:19.440]  And it was Trump came to him even before Epstein ever got indicted and said, we better stay away from this guy.
[00:21:19.759 --> 00:21:30.559]  And he told him the story of he goes to a dinner party at a big mansion and he sees all these, you know, looks like 14-year-old girls in the pool wearing bikinis and stuff.
[00:21:30.720 --> 00:21:34.960]  And Trump goes, hey, aren't they nice to let the neighbor's kids swim here at this party?
[00:21:35.200 --> 00:21:36.799]  And they went, no, no, they're part of the party.
[00:21:37.119 --> 00:21:38.799]  And Trump literally ran out.
[00:21:39.119 --> 00:21:40.720]  And Trump told him about that.
[00:21:41.039 --> 00:21:42.480]  And then Roger talked to people.
[00:21:42.720 --> 00:21:44.640]  And then Trump dropped a dime on his ass.
[00:21:44.960 --> 00:21:45.920]  And that's when it all started.
[00:21:46.000 --> 00:21:48.079]  And that's come out in federal court documents.
[00:21:48.160 --> 00:21:50.240]  We just, you know, there's news articles about it.
[00:21:50.799 --> 00:21:59.360]  So, I mean, if you think Trump would go get implicated with a child trafficking ring so they could blackmail and control him, you're nuts.
[00:22:01.119 --> 00:22:04.000]  All the globalists go to these things to get in the club.
[00:22:04.319 --> 00:22:06.960]  Trump has never been in the club.
[00:22:08.160 --> 00:22:11.920]  He came and basically got elected the first time he ever ran to president.
[00:22:12.160 --> 00:22:13.119]  He's been an outsider.
[00:22:13.200 --> 00:22:14.079]  He built his own system.
[00:22:14.240 --> 00:22:15.119]  It's very well known.
[00:22:15.200 --> 00:22:16.720]  He is a lone wolf.
[00:22:17.039 --> 00:22:21.039]  Is there footage at big parties at Mar-Lago and things?
[00:22:21.200 --> 00:22:25.039]  And in comes Epstein and Trump's at the door greeting people and saying, look at these women.
[00:22:25.119 --> 00:22:26.400]  And look at the women.
[00:22:26.720 --> 00:22:31.200]  30-year-old in their prime going wild.
[00:22:33.039 --> 00:22:34.480]  That's Trump.
[00:22:35.119 --> 00:22:36.720]  Playboy, yes.
[00:22:37.279 --> 00:22:37.920]  What do you got?
[00:22:38.000 --> 00:22:40.079]  His daughter sitting on his lap in a bathing suit?
[00:22:40.240 --> 00:22:42.559]  Plenty of photos of my daughters in my lap with bathing suits.
[00:22:42.799 --> 00:22:48.640]  It's you people that have sick thoughts in your minds when you see things like that and say that's what that is.
[00:22:50.240 --> 00:22:52.880]  So I said I'd get to it.
[00:22:53.039 --> 00:23:00.160]  I mean, there's a lot, but it would have already come out if Trump did anything substantive.
[00:23:00.480 --> 00:23:03.680]  They spiked a bunch of made-up stuff, a bunch of recycled garbage.
[00:23:04.000 --> 00:23:12.960]  Trump blew up, took the bait, told him shut it down, ordered him to go out and tell people there's nothing to see, move along, because he knew it was their new Russia gate.
[00:23:13.599 --> 00:23:16.319]  And then by doing that, blew it up 100 times bigger.
[00:23:16.680 --> 00:23:21.680]  But now the Democrats are scared because they were desperate and they're playing with fire.
[00:23:21.680 --> 00:23:29.909]  And now the federal judges and the Obama judges and the congresspeople are like, oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no.
[00:23:36.799 --> 00:23:37.519]  No, no, no.
[00:23:38.480 --> 00:23:43.360]  But now you got the Republicans, because their constituents are on their ass, going, well, we want it all.
[00:23:43.440 --> 00:23:48.240]  And they are subpoenaing the Clintons, Trump's records, everything.
[00:23:49.840 --> 00:23:52.160]  So we are now off to the races on this.
[00:23:52.240 --> 00:23:57.680]  And what Trump feared, a new Russiagate is here, run by the same people.
[00:23:57.759 --> 00:23:58.960]  That's all true.
[00:23:59.599 --> 00:24:15.039]  But now if he handles it well and attacks it each piece at a time and now changes course and goes ahead and tells the Justice Department, take the gloves off, start arresting the real Epstein perpetrators.
[00:24:15.360 --> 00:24:17.200]  They'll turn tail and run so fast.
[00:24:17.519 --> 00:24:20.079]  Remember Trump said a couple days ago in a speech or a press conference.
[00:24:20.240 --> 00:24:29.599]  He said, you know, I told the Justice Department not to indict Hillary because I just thought we need to move on politically and hopefully they'd stop attacking, but they didn't.
[00:24:29.680 --> 00:24:36.960]  And now after all they've done and all the rushing aid and trying to destroy me and the country, I don't have any choice whether it's good or bad.
[00:24:37.039 --> 00:24:37.680]  They deserve it.
[00:24:38.000 --> 00:24:39.920]  So yeah, we're going to, they're treasonous.
[00:24:40.000 --> 00:24:41.680]  Obama, all of them, we're coming after him.
[00:24:41.920 --> 00:24:59.599]  And now they've created a conspiracy of treason, a treason conspiracy, task force, strike force is what it's called, to go after all these people.
[00:24:59.840 --> 00:25:01.200]  And they have open and shut stuff.
[00:25:02.160 --> 00:25:03.759]  So Trump stopped the locker up.
[00:25:04.160 --> 00:25:11.279]  Right before he won, if you remember, in 2016, he started saying, come on, come on, let's not say that anymore.
[00:25:11.920 --> 00:25:21.440]  Because he was going to try to come in and make deals with the establishment and get his policies through and just let them still keep the stuff they stole, but just move on.
[00:25:21.759 --> 00:25:23.599]  He was letting them sue for peace.
[00:25:23.920 --> 00:25:25.519]  They didn't do that.
[00:25:26.480 --> 00:25:32.319]  And so, and I told you this months ago, the word is, no, they're being told, and it's green lit, and they got all the evidence.
[00:25:32.400 --> 00:25:41.840]  I mean, Gabbard released just absolute, pure proof of our best-selling Hillary for prison shirt.
[00:25:42.160 --> 00:25:44.960]  That is the all-time best-selling t-shirt we ever put out.
[00:25:45.920 --> 00:25:52.639]  Oh, we ought to put that back out and have a Comey for prison, Obama for prison.
[00:25:54.160 --> 00:25:55.759]  Send that over to Bigley, our sponsor.
[00:25:55.840 --> 00:26:06.480]  I want an Obama for prison 2026, and we'll bring back the Hillary for Prison too.
[00:26:07.599 --> 00:26:08.400]  Limited edition.
[00:26:09.680 --> 00:26:09.920]  All right.
[00:26:10.160 --> 00:26:12.240]  I already said I'd get to it, but there's just so much here.
[00:26:12.480 --> 00:26:13.359]  I got a lot of clips.
[00:26:15.279 --> 00:26:16.240]  Let me do this.
[00:26:16.880 --> 00:26:17.839]  Let me do this.
[00:26:19.119 --> 00:26:22.720]  I'm going to hit that start of the next hour with all the clips and all the information.
[00:26:23.039 --> 00:26:27.519]  I want to come back and get into the meat and potatoes, what we know is going on.
[00:26:28.400 --> 00:26:37.200]  Obama and the deep state, with all the documents out now, that they ordered the fake intelligence, used the fake intelligence for a coup.
[00:26:37.359 --> 00:26:40.799]  And then now they're saying, oh, no, we knew right away it wasn't real 2016, 2017.
[00:26:40.880 --> 00:26:41.519]  We stopped.
[00:26:41.680 --> 00:26:49.839]  Then we have Obama, Clapper, Brennan, and Comey in 2017, 18, 19, and 20, and 21 saying the evidence says he's a Russian agent.
[00:26:50.160 --> 00:26:52.000]  And he takes orders from Putin.
