# Transcription model: large-v3
[00:00:27.980 --> 00:00:30.780]  InfoWars. InfoWars.
[00:04:08.419 --> 00:04:12.099]  Finally, a president delivering on all of his promises.
[00:04:12.280 --> 00:04:16.199]  This is what the information war is all about, and it wouldn't have happened without.
[00:04:16.730 --> 00:04:20.149]  My crew and this broadcast and all of you that aren't just supporters.
[00:04:20.290 --> 00:04:22.410]  You are men and women in the arena.
[00:04:22.529 --> 00:04:32.850]  That Teddy Roosevelt talked about it and has been your stalwart support against the bullying and the lawfare and the attacks and the demonization and not abandoning me and President Trump and others that has done this.
[00:04:33.009 --> 00:04:34.310]  So I salute you all.
[00:04:34.370 --> 00:04:36.290]  I salute Elon Musk, Tucker Carlson, everybody.
[00:04:36.449 --> 00:04:38.170]  This is so exciting.
[00:04:38.410 --> 00:04:39.910]  The Great Awakening is here.
[00:04:40.050 --> 00:04:41.529]  Full broadcast straight ahead.
[00:04:42.009 --> 00:04:46.170]  Alright, ladies and gentlemen, I am Chase Geiser, your host today of the Alex Jones Show.
[00:04:46.209 --> 00:04:48.189]  Alex Jones is with Tucker Carlson right now.
[00:04:48.209 --> 00:04:50.790]  That interview will be airing sometime in the coming days.
[00:04:50.850 --> 00:04:52.009]  We're very much looking forward to it.
[00:04:52.050 --> 00:05:01.230]  We've got more reports from Alex Jones on the other side of this break and throughout the entire broadcast today, as well as I will be joined by Harrison Smith at noon in studio.
[00:05:02.060 --> 00:05:08.680]  To cover all of this groundbreaking stuff, what's happening with the tariffs and everything else, please stay with us and don't forget to visit thealexjonesstore.com.
[00:05:08.899 --> 00:05:10.800]  Kevin O'Leary is absolutely right.
[00:05:10.980 --> 00:05:14.399]  America still holds all the cards, but the window is closing.
[00:05:14.579 --> 00:05:20.339]  If we don't get behind Trump's plan to stand up for communist China economically and militarily, it's over for our republic.
[00:05:20.439 --> 00:05:22.560]  We're going to completely collapse because of our debt.
[00:05:22.720 --> 00:05:28.399]  We have to innovate and expand our way out of this, and Trump's plan is already working, so it's up to us to lose.
[00:05:28.579 --> 00:05:29.720]  We can't be pussies.
[00:05:29.720 --> 00:05:30.839]  We've got to stand with Trump.
[00:05:31.410 --> 00:05:34.050]  104% tariffs on China are not enough.
[00:05:34.290 --> 00:05:36.110]  I'm advocating 400%.
[00:05:36.110 --> 00:05:37.730]  I do business in China.
[00:05:38.389 --> 00:05:39.589]  They don't play by the rules.
[00:05:39.810 --> 00:05:41.290]  They've been in the WTO for decades.
[00:05:41.589 --> 00:05:45.129]  They have never abided by any of the rules they agreed to when they came in.
[00:05:48.569 --> 00:05:50.990]  Kevin O'Leary is absolutely right.
[00:05:51.129 --> 00:05:52.910]  We're about to play the full clip from CNN.
[00:05:53.769 --> 00:06:08.968]  China was positioned by the globalists starting in the 80s to be given all their earth minerals, to be able to put all their internal tariffs on us, to not just dominate America, but to dominate the entire world for the globalist middlemen who would then extract most of the
[00:06:08.968 --> 00:06:13.168]  wealth from the West, not even transferring that much to communist China.
[00:06:13.168 --> 00:06:20.548]  But again, starting about 15 years ago, communist China began to break those middleman deals and deploy their military around the world.
[00:06:20.548 --> 00:06:23.608]  I promised they'd made the globalists that they wouldn't do.
[00:06:23.608 --> 00:06:27.329]  Communist China would be given dominance of industry and production,
[00:06:31.420 --> 00:06:36.019]  When you see China's numbers of 5% growth rates and all the rest of it, it's pure crap.
[00:06:36.139 --> 00:06:39.379]  They have the fakest economy in the world.
[00:06:39.579 --> 00:06:41.100]  All their numbers are garbage.
[00:06:41.560 --> 00:06:45.620]  Currency manipulation, internal tariffs, the list goes on and on.
[00:06:46.000 --> 00:06:49.360]  So, Trump is simply ending our long surrender.
[00:06:49.540 --> 00:06:55.459]  But what O'Leary says that's most important, you'll see the full clip, is that America still holds the cards.
[00:06:55.930 --> 00:06:57.389]  We're still the biggest market in the world.
[00:06:57.470 --> 00:06:58.769]  We still have the biggest military in the world.
[00:06:58.850 --> 00:07:01.910]  We still have the world reserve currency, but that was all draining away.
[00:07:02.269 --> 00:07:05.350]  We have to make this move right now.
[00:07:05.769 --> 00:07:13.290]  The Council on Foreign Relations and other globalist groups have been bragging about the new China century, how it was over for us, and how they positioned us to that.
[00:07:13.449 --> 00:07:18.310]  But in the last minute, China stabbed them in the back, so their system failed.
[00:07:18.550 --> 00:07:22.509]  The only way out of this is what President Trump is doing.
[00:07:23.560 --> 00:07:25.459]  The other way is global collapse.
[00:07:25.560 --> 00:07:27.819]  If the U.S. collapses, it's going to collapse China as well.
[00:07:27.879 --> 00:07:28.639]  But they're so greedy.
[00:07:28.800 --> 00:07:29.920]  They want that power.
[00:07:30.220 --> 00:07:33.759]  And a lot of people like Soros in the past were totally for China.
[00:07:33.879 --> 00:07:37.680]  Now it says, oh, China's the greatest evil because Xi Jinping double-crossed him.
[00:07:37.759 --> 00:07:41.899]  People like Bill Gates are still completely in bed with communist China.
[00:07:42.160 --> 00:07:43.839]  So China's allied with the EU.
[00:07:44.139 --> 00:07:46.839]  The U.K., as I told you weeks ago, was in alliance with us.
[00:07:46.879 --> 00:07:47.540]  That's now public.
[00:07:47.699 --> 00:07:48.600]  I don't trust them.
[00:07:48.660 --> 00:07:51.160]  The point is the old international order is over.
[00:07:51.600 --> 00:07:55.100]  And the left here, still fighting Trump, they're headless horsemen.
[00:07:55.420 --> 00:07:56.879]  They don't have any command and control.
[00:07:57.139 --> 00:08:00.879]  They're following the old script, running around, trying to burn down the country and have insurrection.
[00:08:01.120 --> 00:08:07.019]  They still think they're the enforcers of the globalist order when their globalist order is gone.
[00:08:07.540 --> 00:08:08.480]  That's the facts.
[00:08:09.240 --> 00:08:11.079]  The globalists destroyed their own system.
[00:08:11.459 --> 00:08:12.459]  It was a fraud.
[00:08:12.500 --> 00:08:12.939]  It was a lie.
[00:08:13.160 --> 00:08:14.819]  And people don't want austerity.
[00:08:14.839 --> 00:08:15.779]  They don't want to eat the bucks.
[00:08:16.540 --> 00:08:20.579]  And especially if the globalists have been identified and people know who is causing the pain.
[00:08:20.800 --> 00:08:22.399]  Here's the full O'Leary clip.
[00:08:22.480 --> 00:08:23.540]  This is so important.
[00:08:23.680 --> 00:08:24.639]  Share with everybody you know.
[00:08:24.920 --> 00:08:26.180]  I do business in China.
[00:08:26.879 --> 00:08:28.079]  They don't play by the rules.
[00:08:28.300 --> 00:08:29.759]  They've been in the WTO for decades.
[00:08:30.040 --> 00:08:34.159]  They have never abided by any of the rules they agreed to when they came in for decades.
[00:08:34.559 --> 00:08:35.279]  They cheat.
[00:08:35.379 --> 00:08:35.919]  They steal.
[00:08:36.000 --> 00:08:36.659]  They steal IP.
[00:08:36.860 --> 00:08:38.120]  I can't litigate in their courts.
[00:08:38.559 --> 00:08:40.299]  They take product, technology.
[00:08:41.019 --> 00:08:42.200]  They steal it.
[00:08:42.220 --> 00:08:44.139]  They manufacture it and sell it back here.
[00:08:45.580 --> 00:08:48.460]  Can Americans withstand 400% tariffs?
[00:08:48.500 --> 00:08:49.379]  What would that look like?
[00:08:49.500 --> 00:08:54.240]  I want Xi on an airplane to Washington to level the playing field.
[00:08:54.419 --> 00:08:56.139]  This is not about tariffs anymore.
[00:08:56.659 --> 00:09:01.840]  Nobody has taken on China yet, not the Europeans, no administration for decades.
[00:09:02.059 --> 00:09:05.720]  As someone who actually does business there, I've had enough.
[00:09:05.799 --> 00:09:11.059]  I speak for millions of Americans who have IP that have been stolen by the Chinese.
[00:09:11.200 --> 00:09:12.519]  I have nothing.
[00:09:13.289 --> 00:09:14.570]  Against the Chinese people.
[00:09:14.730 --> 00:09:18.990]  They brought great literacy, art, and tech to the world.
[00:09:19.070 --> 00:09:22.190]  The government cheats and steals.
[00:09:22.409 --> 00:09:27.690]  And finally, an administration, you may not like Trump, you may not like his style or his rhetoric.
[00:09:28.330 --> 00:09:33.070]  Finally, an administration that puts up and says, enough.
[00:09:34.029 --> 00:09:36.110]  400% tariffs tomorrow morning.
[00:09:36.809 --> 00:09:37.889]  He'll tell you why.
[00:09:38.110 --> 00:09:42.370]  Xi can only stay the supreme leader if people are employed.
[00:09:43.070 --> 00:09:55.389]  If we wipe out any business there, because we are still 39% of all consumables on Earth and 25% of the world's GDP, America is the number one economy on Earth with all the cards.
[00:09:55.509 --> 00:09:56.429]  We will not have that forever.
[00:09:56.769 --> 00:10:00.750]  It's time to squeeze Chinese heads into the wall now.
[00:10:01.070 --> 00:10:01.830]  Well, hold on.
[00:10:01.830 --> 00:10:03.690]  I hear you, but hold on.
[00:10:03.909 --> 00:10:08.330]  If we're talking about people, the average consumer, not necessarily...
[00:10:08.940 --> 00:10:11.120]  The head honchos of businesses all across the globe.
[00:10:11.299 --> 00:10:16.620]  Can they withstand the pressure of that sort of tax on the goods?
[00:10:16.620 --> 00:10:17.320]  It's short-lived.
[00:10:17.600 --> 00:10:19.860]  But yeah, but what's your timeline?
[00:10:19.940 --> 00:10:23.759]  You don't know the average American's timeline, what they can actually survive.
[00:10:23.899 --> 00:10:25.700]  There's people right now who can't survive.
[00:10:25.700 --> 00:10:29.379]  400% tomorrow morning, cheese on an airplane to Washington to cut a deal.
[00:10:31.019 --> 00:10:32.620]  Kevin O'Leary is absolutely right.
[00:10:32.679 --> 00:10:33.779]  Brilliant business mind.
[00:10:33.879 --> 00:10:36.580]  This trade war is really something to behold.
[00:10:37.450 --> 00:10:41.730]  We've got more reports from Alex Jones coming up after the next break.
[00:10:41.850 --> 00:10:44.850]  But in the next 17 minutes, there's just so much to unpack.
[00:10:45.029 --> 00:10:48.350]  I can't even believe all the things that are being accomplished by this administration.
[00:10:48.450 --> 00:10:53.110]  First, it was Doge making us abundantly aware of all the corruption in a very explicit way.
[00:10:54.789 --> 00:10:58.470]  And now with this trade war with China, it's absolutely amazing to witness.
[00:10:58.529 --> 00:11:01.110]  Now, the Chinese are very smart.
[00:11:01.210 --> 00:11:01.929]  They're very astute.
[00:11:02.009 --> 00:11:10.639]  And we've heard Trump in the past say, and I'm paraphrasing, things like, The problem with Americans and the way that they think is, definitely paraphrasing here, he didn't frame it like this.
[00:11:10.779 --> 00:11:12.539]  We think in terms of quarterly returns.
[00:11:13.419 --> 00:11:15.559]  Whereas the Chinese think in terms of 100 years.
[00:11:15.639 --> 00:11:16.700]  They're a much older culture.
[00:11:16.879 --> 00:11:18.019]  They have a 100-year plan.
[00:11:18.259 --> 00:11:20.700]  They strategize over decades after decades after decades.
[00:11:20.860 --> 00:11:25.120]  They don't have elections all the time that totally switch and swap administrations.
[00:11:27.779 --> 00:11:29.820]  And so the Chinese are not to be underestimated.
[00:11:29.860 --> 00:11:30.679]  They're very smart.
[00:11:32.120 --> 00:11:41.929]  But that being said, One of the earliest rules of war and Sun Tzu's art of war is never attack a stronger enemy head on.
[00:11:42.490 --> 00:11:45.970]  And that's what President Xi Jinping has decided to do.
[00:11:46.669 --> 00:11:47.970]  And it's what Trump's done too.
[00:11:48.070 --> 00:11:50.269]  But Trump is actually the stronger enemy.
[00:11:50.330 --> 00:11:51.549]  We are the stronger economy.
[00:11:51.610 --> 00:11:53.070]  I know that we don't make anything here.
[00:11:54.149 --> 00:11:58.370]  But without us, they've got no business over in China whatsoever.
[00:11:58.889 --> 00:12:00.210]  What is it that Hillary said?
[00:12:00.269 --> 00:12:01.710]  We're like 40% of all their consumables?
[00:12:02.149 --> 00:12:04.169]  Or 40% of all the consumables in the world?
[00:12:04.960 --> 00:12:06.820]  Probably a greater proportion of that in China.
[00:12:08.220 --> 00:12:20.159]  And when their stock market tanks, the CCP itself tanks because the CCP owns 60% of all of the stocks in China, in the Chinese stock market.
[00:12:20.279 --> 00:12:24.519]  When our stock market tanks, people just move money around and then it bounces right back.
[00:12:24.740 --> 00:12:25.820]  It's not government owned.
[00:12:25.899 --> 00:12:28.600]  It doesn't cripple the federal budget whatsoever.
[00:12:29.769 --> 00:12:31.389]  And so we've got all the leverage here.
[00:12:31.409 --> 00:12:31.929]  We're the customer.
[00:12:31.990 --> 00:12:33.129]  The customer is always right.
[00:12:33.210 --> 00:12:34.129]  I'm sorry, Xi Jinping.
[00:12:34.350 --> 00:12:50.929]  And the beauty of it is, the Affordable Care Act is so corrupt, so abundantly corrupt, that even if the prices of all the drugs and pharmaceuticals that we import from the CCP, from China, go way up as a result of these tariffs,
[00:12:51.129 --> 00:12:56.579]  the pharmaceutical companies stand to make an astronomical sum of money
[00:12:56.908 --> 00:12:59.577]  But specifically, the insurance companies love it.
[00:12:59.768 --> 00:13:00.788]  That's what's so weird about it.
[00:13:01.298 --> 00:13:07.847]  Because after the Affordable Care Act passed, insurance companies are only allowed to make 10 to 20% above the cost of care.
[00:13:07.847 --> 00:13:14.447]  So they're always trying to find ways to make the cost of care go up as much as possible so they can raise your premiums and build their overall top of line revenue.
[00:13:14.447 --> 00:13:15.568]  it. Thank you.
[00:13:17.690 --> 00:13:21.870]  Health insurance providers love this idea of the cost of health care going up.
[00:13:21.870 --> 00:13:26.809]  But what this is going to do is it's going to catalyze the inevitable before the inevitable arrives.
[00:13:27.029 --> 00:13:30.210]  And what I mean to say is the Chinese demographic is totally imploding.
[00:13:30.230 --> 00:13:33.789]  They have one child per woman in that country.
[00:13:34.070 --> 00:13:37.649]  You need at least a 2.1 per woman rate in order to sustain.
[00:13:37.710 --> 00:13:39.110]  2.3 is ideal.
[00:13:40.460 --> 00:13:55.700]  And so their entire labor force is aging out, dying out, and they do not have enough people to actually operate these manufacturing facilities to meet the demand of the world's market, specifically the US market, into the future.
[00:13:56.058 --> 00:14:04.817]  And they're frantically trying to do things like threaten Taiwan and develop artificial intelligence and robotics like the Japanese have done, but they simply cannot do it quickly enough.
[00:14:05.788 --> 00:14:06.477]  you.
[00:14:06.480 --> 00:14:09.409]  their innovation is not outpacing their
[00:14:14.359 --> 00:14:22.279]  inevitably going to happen, regardless of whether we have any tariffs with China or not, is by 2032, they're not going to be able to supply the U.S. market.
[00:14:22.379 --> 00:14:26.859]  Or there's going to be six or eight-week delays on what was once two to four-week delays on product orders.
[00:14:26.859 --> 00:14:32.300]  And see, President Trump understands this because he's done international business for a long period of time.
[00:14:32.300 --> 00:14:34.509]  He understands how to do international business deals.
[00:14:53.289 --> 00:14:57.350]  not from within the system, and he's got so much money, similar to Elon Musk, that nobody can pay him off.
[00:14:57.429 --> 00:14:58.269]  It's like Joe Rogan.
[00:14:58.409 --> 00:15:01.950]  You can't pay him off to talk about specific talking points.
[00:15:03.929 --> 00:15:05.090]  He's got F you money.
[00:15:05.210 --> 00:15:06.289]  That's the whole definition of it.
[00:15:06.409 --> 00:15:07.429]  Trump's got the same thing.
[00:15:07.490 --> 00:15:14.230]  And frankly, the United States has the same thing relative to all the other economies, despite the fact that we have an atrocious overspending problem and national debt issue.
[00:15:14.250 --> 00:15:14.710]  We'll fix it.
[00:15:18.009 --> 00:15:29.710]  And so what we have to do is we have to diversify where we supply all of our products in the United States, not just because the CCP is communist and because they're brainwashing our kids and because they totally ruined Hollywood.
[00:15:29.809 --> 00:15:30.690]  I mean, if you think...
[00:15:31.389 --> 00:15:33.470]  1958 to 1962 was a great leap forward.
[00:15:33.509 --> 00:15:43.250]  Everything that's come out of Hollywood the last 20 years has been a great fast forward because it's all been made to be compatible with the CCP's ideology so that they can release these movies in the Chinese market.
[00:15:44.149 --> 00:15:45.570]  Nobody wants to watch that crap.
[00:15:45.769 --> 00:15:48.710]  Look what the Chinese did to Star Wars.
[00:15:51.049 --> 00:15:57.350]  I mean, we've been talking about World War III all year with Russia, Ukraine, Israel, Palestine, Iran, China, Taiwan.
[00:15:58.889 --> 00:16:03.470]  I think the fact that the CCP ruined Star Wars is enough of a reason for us to go to World War III right now.
[00:16:03.909 --> 00:16:04.889]  Of course, I'm kidding.
[00:16:05.029 --> 00:16:08.950]  I oppose war in almost all circumstances.
[00:16:11.909 --> 00:16:18.190]  But this collapse of Chinese supply to the United States is inevitable because of their demographic implosion.
[00:16:18.330 --> 00:16:23.809]  And by putting these tariffs on them now, we undermined all their efforts.
[00:16:24.669 --> 00:16:46.110]  To sabotage the dollar as the global reserve currency, to steal more of our intellectual property, to make headway in artificial intelligence, to threaten Taiwan, to fund terrorism through Iran while catalyzing the market to figure out different ways to source our goods.
[00:16:46.559 --> 00:16:48.000]  Now, India is going to be a major player.
[00:16:48.120 --> 00:16:54.980]  I showed reports yesterday, report after report about how India might be the new China, and its population is actually growing while China's is imploding.
[00:16:55.820 --> 00:16:59.279]  And they've drastically increased their manufacturing capacity in India.
[00:16:59.340 --> 00:16:59.980]  And you know what?
[00:17:00.019 --> 00:17:01.179]  They actually speak English.
[00:17:02.220 --> 00:17:07.680]  I don't know if you've ever done business, anyone in the audience, with Chinese manufacturers, but they do not speak English.
[00:17:08.299 --> 00:17:12.859]  And it's a pain in the ass to deal with them because half the apps that you would use to communicate with them are illegal in the CCP.
[00:17:13.140 --> 00:17:19.500]  I mean, it is a nightmare to do business with the Chinese and they are dishonest and they send faulty products and they send them late and they lie about shipping deadlines.
[00:17:19.640 --> 00:17:22.019]  I mean, I've seen it time and time again.
[00:17:22.079 --> 00:17:29.220]  I was in social media advertising for eight years before I started working at InfoWars and I dealt with a lot of businesses that imported products from China.
[00:17:30.000 --> 00:17:36.559]  One time specifically, I had a client that was selling $100,000 worth of bicycle helmets.
[00:17:37.180 --> 00:17:46.200]  Every single month to second world and third world countries because in second world and third world countries people ride their bikes to work and they ride them around their carriers.
[00:17:47.160 --> 00:17:52.420]  And these helmets had flashlights on and then Bluetooth capabilities so you could listen to music while you're on your bicycle.
[00:17:52.500 --> 00:17:53.359]  I mean, they were fancy helmets.
[00:17:53.480 --> 00:17:54.880]  We were selling a lot of them.
[00:17:56.700 --> 00:18:01.660]  But this Hong Kong stuff broke out where the CCP took over Hong Kong before it was supposed to.
[00:18:03.640 --> 00:18:06.039]  Another example of Chinese treachery.
[00:18:07.799 --> 00:18:18.680]  And China stopped exporting the helmets from my client that he was selling to South American countries and African nations because they were afraid that those helmets were being diverted to protesters in Hong Kong.
[00:18:19.140 --> 00:18:24.299]  I mean, this is the type of depravity and authoritarianism of the CCP.
[00:18:25.019 --> 00:18:26.920]  And so we have to diversify to Mexico.
[00:18:27.140 --> 00:18:32.660]  You know, the labor cost to Mexico is like one third the labor cost to China right now because their labor force is shrinking.
[00:18:32.799 --> 00:18:36.839]  So you have to pay them more in order to get them to come to work and to prioritize your projects.
[00:18:37.349 --> 00:18:46.390]  I know Mexico doesn't have the same tooling technology or infrastructure or experience as China, but in terms of just sheer labor, labor in Mexico is one-third the cost of the CCP.
[00:18:46.490 --> 00:18:50.490]  Don't you think that we could probably establish some infrastructure in Mexico to have them develop products for us?
[00:18:51.930 --> 00:18:53.829]  Labor in India, even cheaper than that.
[00:18:56.809 --> 00:18:58.750]  Like a dollar an hour or something in India.
[00:18:58.789 --> 00:19:00.930]  I can't remember what the actual numbers are.
[00:19:01.009 --> 00:19:02.589]  I was looking at all these details last night.
[00:19:02.930 --> 00:19:05.029]  Now the problem is, a lot of...
[00:19:05.210 --> 00:19:08.890]  The raw materials that are used to make products still come from China.
[00:19:09.049 --> 00:19:15.490]  So even if we diversify our manufacturing into India or Mexico or domestically, we're going to have to find different ways to source the raw materials.
[00:19:15.569 --> 00:19:18.910]  But this is the kind of thing that can all be accomplished over the course of like 10 years.
[00:19:21.009 --> 00:19:30.970]  I mean, keep in mind, it wasn't really until the 70s, in large due to Joe Biden's leadership, that we made the executive decision at some point, somehow someone did.
[00:19:31.740 --> 00:19:38.839]  To totally transition the U.S. economy from a product-based economy to a service-based economy.
[00:19:39.599 --> 00:19:40.619]  We used to manufacture.
[00:19:40.619 --> 00:19:41.119]  It's crazy.
[00:19:41.200 --> 00:19:42.619]  I have some heirlooms from my grandfather.
[00:19:42.720 --> 00:19:43.480]  He was in World War II.
[00:19:43.559 --> 00:19:44.779]  I've got his World War II helmet.
[00:19:44.880 --> 00:19:48.119]  I've got his 1945-issue Navy K-Bar knife.
[00:19:49.599 --> 00:19:51.599]  It was an old giant fan that he had.
[00:19:51.720 --> 00:19:57.079]  I mean, it was like a floor fan that would stand up, and it was this giant fan, and it was so loud, but it was amazing.
[00:19:57.160 --> 00:19:59.119]  It was made just of solid metal.
[00:20:00.559 --> 00:20:06.180]  And every once in a while I encounter one of these old objects from like 50, 60, or 70 years ago made in America.
[00:20:06.200 --> 00:20:07.480]  Actually made in America.
[00:20:07.519 --> 00:20:12.000]  It's got the aesthetic of an old Captain America comic.
[00:20:13.359 --> 00:20:17.079]  It's just classic and clean and polished and geometric and perfect.
[00:20:17.099 --> 00:20:21.839]  Almost like Art Deco meets some vision for the future.
[00:20:25.118 --> 00:20:32.207]  And then what happened is we had the organized labor unions and we had all the politicians get involved and sell out all of our interests.
[00:20:32.218 --> 00:20:34.048]  And we decided, you know what?
[00:20:34.278 --> 00:20:37.398]  Why don't we just outsource all manufacturing to China?
[00:20:37.398 --> 00:20:38.499]  It'll be so much cheaper.
[00:20:38.499 --> 00:20:40.158]  They're not a threat now.
[00:20:40.158 --> 00:20:42.398]  They're a totally struggling economy.
[00:20:42.398 --> 00:20:47.398]  50 to 100 million of them starved to death between 58 and 62 during the Great Leap Forward.
[00:20:47.398 --> 00:20:56.078]  And if we bolster up our relationship with China, then it will keep them from joining the Soviet Union against us because we'll be their most important customer.
[00:20:56.078 --> 00:20:57.078]  Bye.
[00:21:10.579 --> 00:21:11.700]  Not for Bloomington, Illinois.
[00:21:12.119 --> 00:21:16.200]  Even driving through small towns in Illinois, every once in a while you'll see a factory.
[00:21:16.259 --> 00:21:19.440]  There's an ethanol plant in Decatur, Illinois that smells, makes the whole city smell.
[00:21:19.519 --> 00:21:20.200]  That's still operational.
[00:21:21.059 --> 00:21:22.859]  But I see empty factories all the time.
[00:21:22.900 --> 00:21:24.559]  I lived in Nashville, Tennessee for seven years.
[00:21:24.720 --> 00:21:25.759]  There was an old...
[00:21:26.200 --> 00:21:27.000]  Snuff factory.
[00:21:27.099 --> 00:21:28.119]  Like snuff tobacco.
[00:21:29.720 --> 00:21:30.900]  Totally dilapidated.
[00:21:30.920 --> 00:21:31.980]  This old sign.
[00:21:32.460 --> 00:21:41.619]  Some parts of the United States of America as a result of what we did outsourcing everything to China over the last 50 years look like a drone video flying through Chernobyl.
[00:21:42.059 --> 00:21:44.759]  Where there's plants like growing out of the buildings.
[00:21:44.920 --> 00:21:46.539]  No people to be found anywhere.
[00:21:46.859 --> 00:21:48.559]  Giant amounts of square footage.
[00:21:48.900 --> 00:21:50.700]  Maybe some graffiti here and there.
[00:21:52.900 --> 00:21:58.460]  And it feels like we're walking Like within a lost civilization.
[00:21:59.839 --> 00:22:07.400]  When I was in college, I was in some medieval world class and I had to read Beowulf and some of the early Anglo-Saxon writings.
[00:22:07.859 --> 00:22:13.079]  And I can't remember which one it was because I was too busy chasing tail and making music.
[00:22:14.680 --> 00:22:28.369]  But there's a specific poem in some of those early Anglo-Saxon works where whoever the writer was came across An old, abandoned Roman town.
[00:22:28.970 --> 00:22:30.170]  Small city town.
[00:22:30.609 --> 00:22:33.009]  It wasn't Rome itself, but it was a Roman town.
[00:22:34.569 --> 00:22:43.509]  And he writes about it, and he says, who were these gods among men who built such structures?
