# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: e88e4929dc3fcfc98d92524c7c7cd4d1
[00:00:07.759 --> 00:00:08.240]  Christmas.
[00:05:05.280 --> 00:05:07.840]  Man, once you're tired, focus slow.
[00:05:07.920 --> 00:05:10.319]  By the crack the code, now the voltage flow.
[00:05:10.720 --> 00:05:12.800]  Clean energy, no crush, no fade.
[00:05:12.960 --> 00:05:17.280]  My shot pocket blade when the sister plays games from the gym to the grind to the warp.
[00:05:17.360 --> 00:05:18.720]  Where your mind is ain't locked.
[00:05:19.088 --> 00:05:47.789]  This is turbo force filled with incredible ingredients, ladies and gentlemen.
[00:05:48.080 --> 00:05:49.120]  Ultimate power.
[00:05:49.360 --> 00:05:53.840]  Ignites mental clarity and focus, clean, sustained energy, enhanced blood flow, and endurance.
[00:05:54.000 --> 00:05:55.840]  Supports daily cognitive function.
[00:05:56.160 --> 00:05:59.579]  Ultimate pal at theoutshowstore.com.
[00:05:59.760 --> 00:06:20.730]  You are receiving this transmission.
[00:06:21.010 --> 00:06:22.530]  You are the resistance.
[00:06:24.240 --> 00:06:27.279]  Live from theinfowars.com studios.
[00:06:27.600 --> 00:06:29.360]  It's Alex Jones.
[00:06:34.320 --> 00:06:43.040]  Well, 2000, 200 plus years ago, the father of philosophy, Plato, said that Atlantis was a real place.
[00:06:43.680 --> 00:06:44.879]  He even said where Troy was.
[00:06:44.960 --> 00:06:45.600]  They thought he was wrong.
[00:06:45.680 --> 00:06:47.120]  They found it a decade ago.
[00:06:47.440 --> 00:06:49.040]  He said it existed out in the Atlantic Ocean.
[00:06:49.120 --> 00:07:00.160]  They had some free energy source, flying ships, automaton robots, and that the power source blew up and darkened the skies for many years and caused a mini ice age.
[00:07:00.720 --> 00:07:04.000]  Now, whether Atlantis existed or not, we're there now.
[00:07:04.879 --> 00:07:11.680]  We have the power to blow the surface of the planet up 50 to 100 times and kill everybody.
[00:07:12.960 --> 00:07:16.960]  And so, whether Atlantis existed or not, it exists now and we're in.
[00:07:17.920 --> 00:07:20.160]  And are we going to blow ourselves up?
[00:07:22.000 --> 00:07:24.800]  NATO started the war in the last 15 years.
[00:07:24.960 --> 00:07:25.920]  It was part of their plan.
[00:07:26.160 --> 00:07:32.639]  Victoria Newlands testified they pushed the Russians into responding by encircling them.
[00:07:32.960 --> 00:07:36.240]  The United States would never have put up with 10% of this crap.
[00:07:36.560 --> 00:07:38.560]  So we have the headlines on Drudge.
[00:07:38.720 --> 00:07:42.399]  Everywhere, oh, Trump sides with Russia.
[00:07:43.040 --> 00:07:46.480]  Zelensky arrogantly said he won't even read the peace plan.
[00:07:49.200 --> 00:07:57.120]  Even though Russia could take Ukraine anytime it wants, But they don't want to give NATO the excuse to go in.
[00:07:58.959 --> 00:08:01.199]  They made a deal to turn it over.
[00:08:01.439 --> 00:08:05.120]  And the United States will police it and have a deal to not have NATO expansion.
[00:08:05.439 --> 00:08:06.079]  They don't want that.
[00:08:06.159 --> 00:08:08.879]  Now, Zelensky, Trump said, you're a dictator two days ago.
[00:08:09.039 --> 00:08:11.679]  He said, final have elections if NATO comes in and oversees it.
[00:08:11.759 --> 00:08:13.279]  So under martial law, have elections.
[00:08:13.359 --> 00:08:13.919]  Yeah, right.
[00:08:15.120 --> 00:08:16.159]  This is a nightmare.
[00:08:16.399 --> 00:08:18.799]  But the good news is Trump is fed up.
[00:08:18.959 --> 00:08:20.399]  He's been fed up.
[00:08:23.039 --> 00:08:25.599]  He's tried to pressure Zelensky.
[00:08:25.679 --> 00:08:28.159]  Russia has gone a long way with what Trump wanted.
[00:08:28.479 --> 00:08:32.879]  This is a good strategic deal for everybody, a great business deal for everybody.
[00:08:34.159 --> 00:08:37.600]  And it's all come to a head.
[00:08:38.559 --> 00:08:40.879]  Zelensky has until Christmas.
[00:08:43.439 --> 00:08:54.000]  Just 15 days to accept this deal, or the United States is going to basically pull all its support out of NATO, which needs to happen.
[00:08:54.319 --> 00:09:05.199]  NATO is the political military arm of the globalists, of the unelected EU, of Ursula Vanderladen, with all their police state and arresting women that complain about Muslims raping them.
[00:09:05.360 --> 00:09:05.919]  You name it.
[00:09:06.240 --> 00:09:07.759]  It is a nightmare.
[00:09:08.079 --> 00:09:10.159]  It is the new evil empire.
[00:09:10.480 --> 00:09:12.079]  And so this is great what's happening.
[00:09:12.240 --> 00:09:15.199]  The problem is they're going to stage false flags, NATO.
[00:09:15.759 --> 00:09:18.399]  Starmer, Macron, all of them, the Northern Group.
[00:09:18.639 --> 00:09:20.159]  So this is a very dangerous time.
[00:09:20.240 --> 00:09:23.360]  I said the most dangerous time in all the analysts agree the world's ever been in.
[00:09:23.519 --> 00:09:31.279]  Now I'm going to shut up and go to Victor Boot, who has been a very successful businessman and run all sorts of operations around the world.
[00:09:31.600 --> 00:09:34.399]  He's been a former political prisoner here in the United States.
[00:09:35.039 --> 00:09:36.559]  And we really appreciate him coming on.
[00:09:36.720 --> 00:09:40.079]  He's also an elected regional leader.
[00:09:40.720 --> 00:09:49.679]  And so we're honored to have him on with us at this time as this potentially world-ending crisis hopefully can be dialed back.
[00:09:51.279 --> 00:09:55.120]  And it's the EU's business plan, they've said, to have war with Russia.
[00:09:55.679 --> 00:09:57.679]  It is just beyond tyrannical.
[00:10:00.240 --> 00:10:02.639]  And so, Victor Boot, I really appreciate you joining us.
[00:10:02.799 --> 00:10:03.919]  Also, open the phones up.
[00:10:04.240 --> 00:10:08.079]  So we're going to take some calls and questions coming up after the break in about 20 minutes.
[00:10:08.720 --> 00:10:12.399]  But I want to get your unfiltered, obvious, take on where we are.
[00:10:12.480 --> 00:10:14.399]  Did I say anything you think is inaccurate?
[00:10:14.720 --> 00:10:32.240]  And what can people in Europe, Russia, America, the UK, what can we do to really get people, I think, out of this malaise that think Ukraine and Russia's on Mars or something, when really it's affecting the whole planet?
[00:10:32.559 --> 00:10:34.399]  You've got all the nuclear submarines deployed.
[00:10:34.639 --> 00:10:37.919]  You got the DEFCOM right up at the highest level with both nations.
[00:10:38.240 --> 00:10:42.159]  You have NATO openly trying to drag us into this war completely.
[00:10:44.879 --> 00:10:48.000]  Give us your overall analysis of what you think we should do.
[00:10:48.559 --> 00:11:00.799]  And what do you think NATO and the Northern group and the unelected EU dictatorship are going to do when their demographics, their numbers show that they're collapsing if they don't have this war in their own words?
[00:11:01.120 --> 00:11:04.639]  That's why this is so dangerous, obviously, is because this is all they've got.
[00:11:04.799 --> 00:11:06.639]  Victor Boot, thanks for being here.
[00:11:08.399 --> 00:11:09.120]  Hi, Alex.
[00:11:09.679 --> 00:11:10.879]  Nice to be again with you.
[00:11:11.200 --> 00:11:23.759]  You know, for the past, what, one and a half years, I've been talking about this, how, you know, all common sense people on the planet can prevent this catastrophe, this, you know, all-out nuclear war.
[00:11:24.079 --> 00:11:30.559]  And what's really going on, it's not eventually a, you know, for war, Russia with Ukraine.
[00:11:30.879 --> 00:11:35.679]  It's basically war with the globalists for the future of entire humanity.
[00:11:36.000 --> 00:11:38.480]  Now the old mask is off.
[00:11:39.120 --> 00:11:54.639]  And for us, it's very good news and hope that at least, you know, Trump got enough courage and enough, you know, stamina and enough balls, you know, to go through and really understood the core of this issue.
[00:11:54.960 --> 00:12:06.000]  And now I would say, you know, overestimate, but I think we have not only light in the end of the tunnel, now we have a concrete solution.
[00:12:06.320 --> 00:12:26.160]  And this is now the fight, basically with the Trump's sword in staunch enemies of globalist Democratic Party, who actually now using London is their main headquarters to plotting against not only America future, against the future of entire humanity.
[00:12:26.480 --> 00:12:28.480]  And now what is happening last day?
[00:12:28.639 --> 00:12:30.400]  Look, today was very interesting news.
[00:12:30.560 --> 00:12:33.840]  I just noticed there was a camp on the life of the Mendic.
[00:12:34.160 --> 00:12:46.160]  This is a guy who was in epicenter, in ground zero of this corruption scandal with Zelensky, who apparently left just a couple hours before he's been arrested to Israel.
[00:12:46.240 --> 00:12:48.320]  And apparently somebody tried to kill him.
[00:12:50.560 --> 00:12:52.720]  Who is somebody who tried to kill him?
[00:12:52.960 --> 00:12:54.080]  Zelensky himself.
[00:12:54.320 --> 00:12:55.280]  And this is why.
[00:12:55.600 --> 00:13:00.800]  Because if Mendic start talking about all the corruption scheme, then it's over.
[00:13:01.600 --> 00:13:06.240]  Not only for Delensky as a regime, but eventually for his personal life.
[00:13:06.560 --> 00:13:12.400]  But this is a domino effect because after Zelensky, you guess who going to come next?
[00:13:12.640 --> 00:13:14.640]  It's all Democratic Party.
[00:13:14.960 --> 00:13:30.560]  Starting with the Biden family, getting to the old European leaders, we're talking about Macron, we're talking about Steiner, we're talking about every leader who came to Kiev for what?
[00:13:30.800 --> 00:13:34.879]  Just to grab the cash, just to get their cut of money they've been sending there.
[00:13:35.200 --> 00:13:42.720]  So Ukraine was existing for past 12 years minimum, is the biggest in a history laundry machine.
[00:13:43.040 --> 00:13:54.080]  And we know for well that Democratic Party used to launder money through as an assistant to the Ukraine, getting a kickback, a huge kickback.
[00:13:54.400 --> 00:13:57.680]  On my opinion, Zelensky was just operator.
[00:13:57.759 --> 00:13:59.759]  He was getting a small portion of it.
[00:14:00.080 --> 00:14:14.960]  And believe me, soon we will know who was a mastermind of this laundry machine, the biggest corruption scheme, which is stolen, embezzled, misused, misspent, the huge amount.
[00:14:15.279 --> 00:14:15.680]  Think of this.
[00:14:15.840 --> 00:14:26.080]  If Trump's saying it's already cost to American taxpayer over $350 billion, about $200 billion spent in Europe.
[00:14:26.400 --> 00:14:30.320]  Can you imagine what kind of the money was spent?
[00:14:30.640 --> 00:14:31.920]  But they've been not spent.
[00:14:32.000 --> 00:14:33.279]  Actually, they've been launderers.
[00:14:33.440 --> 00:14:34.960]  And it's crazy.
[00:14:35.360 --> 00:14:36.320]  Don't even hide it.
[00:14:36.640 --> 00:14:46.720]  Hundreds of top officials, generals have bought 30 million, 50 million, 60 million dollar mansions in LA and Miami and New York and huge estates.
[00:14:46.880 --> 00:14:51.600]  And then Zelensky's got like a billion dollar luxury ski resort and they're expanding.
[00:14:51.840 --> 00:14:53.200]  He openly owns it himself.
[00:14:53.519 --> 00:14:55.279]  I mean, gosh almighty.
[00:14:55.519 --> 00:14:57.200]  I mean, it's just the arrogance.
[00:14:57.840 --> 00:14:59.360]  It's crazy.
[00:15:00.960 --> 00:15:02.080]  You're absolutely right.
[00:15:02.240 --> 00:15:15.840]  And this is so many facts that we already sick and tired, you know, to watch that in Monaco, the biggest, you know, most expensive luxury cars apparently have an Ukrainian number plates, correct?
[00:15:16.400 --> 00:15:27.040]  We now know, no, oh, Ukraine apparently selling all the weapons which is America and the allies was sending to them, including the Mexican cartels and the money.
[00:15:27.120 --> 00:15:27.680]  So listen to this.
[00:15:29.120 --> 00:15:30.800]  I know some of the richest people in the world.
[00:15:31.279 --> 00:15:38.799]  And they tell me in these certain areas of Italy alone that they're all being outbid by Ukrainians that literally don't just all have Ferraris.
[00:15:38.879 --> 00:15:44.000]  They've got 20 million, 50 million, $100 million palaces, castles in Italy.
[00:15:44.320 --> 00:15:49.519]  I mean, and then Don Jr. talked about it.
[00:15:50.320 --> 00:15:58.080]  He goes to these big global events and he's literally almost every car is Ukrainian and they're like million, $3 million cars.
[00:15:58.159 --> 00:16:00.240]  It's just a giant sick joke.
[00:16:01.200 --> 00:16:04.399]  Yeah, it's not only a giant sick joke, but think of this.
[00:16:04.720 --> 00:16:18.240]  Since, I guess what, initial Trump campaign on his first term, you know, all scandals either originated or was sponsored or was executed by Ukraine, correct?
[00:16:18.559 --> 00:16:31.120]  And now, till now, Ukraine is a, you know, incentive in front of all troubles we're going through because they've been a very useful operators for these global elites.
[00:16:31.200 --> 00:16:33.200]  It's again the fight with the globalists.
[00:16:33.519 --> 00:16:40.720]  And the Trump, because he decided now and declared the open out, all out war with the globalists.
[00:16:41.039 --> 00:16:43.039]  You know, now there is no turning point back.
[00:16:43.360 --> 00:16:54.720]  Now we see even how big difference happened for past several days when the Trump openly declared, which we put in his national, you know, security strategy.
[00:16:55.039 --> 00:17:00.080]  This is basically, for me, I'm reading this as a declaration of war to the globalists.
[00:17:00.320 --> 00:17:21.759]  And this is maybe the biggest hope humanity have for the past 60 years to really get rid of this cabal who was trying and destroying humanity, impeding our progress, always staging the coups, always starting the wars, bringing on people, different financial crises.
[00:17:22.160 --> 00:17:25.599]  And Ranger, let me just stop you and back you up because you said something so important here.
[00:17:25.920 --> 00:17:33.759]  In the last 48 hours, every major globalist publication in the U.S., Europe, the U.K. says Trump is our enemy.
[00:17:33.920 --> 00:17:35.119]  Trump is a Russian agent.
[00:17:35.360 --> 00:17:36.400]  Trump betrayed us.
[00:17:36.559 --> 00:17:37.759]  Trump has flipped sides.
[00:17:38.000 --> 00:17:42.640]  They are in full panic mode right now because they won't have any negotiations.
[00:17:42.799 --> 00:17:44.480]  They say they want an endless war.
[00:17:44.960 --> 00:17:46.319]  Trump's done a real negotiation.
[00:17:46.480 --> 00:17:47.279]  So has Russia.
[00:17:47.599 --> 00:17:48.880]  And it's very reasonable.
[00:17:49.119 --> 00:17:53.039]  In fact, this is a great deal for Ukraine and all sorts of deals.
[00:17:53.360 --> 00:17:54.400]  So absolutely.
[00:17:55.039 --> 00:17:57.519]  So now that the Rubicon's been crossed, I totally agree.
[00:17:57.839 --> 00:18:01.519]  And Europe and the deputy head of the EU is literally saying Trump is an enemy now.
[00:18:01.680 --> 00:18:03.839]  They call him an enemy Sunday night.
[00:18:04.160 --> 00:18:08.079]  What does that signify when they're now calling America the enemy?
[00:18:08.319 --> 00:18:09.680]  What the hell is this?
[00:18:10.880 --> 00:18:11.440]  That's right.
[00:18:11.680 --> 00:18:12.960]  And I would be not surprised.
[00:18:13.039 --> 00:18:29.839]  You remember once we've been discussing with you that, you know, maybe very soon United States of America and Russian Federation will join forces and start commonly fighting European nests of this globalist.
[00:18:30.559 --> 00:18:32.880]  It's not Ukraine who is a problem.
[00:18:33.200 --> 00:18:35.440]  It's a globalist who've been in on the problem.
[00:18:35.759 --> 00:18:44.319]  This is a globalist who not only enemy of the Russia, but they are most staunch enemies of the America, of the future America.
[00:18:44.640 --> 00:18:52.960]  They've been behind of the denuclearization, of the deindustrialization of America to bringing as much drugs.
[00:18:53.519 --> 00:18:55.599]  Who sponsored illegal immigration?
[00:18:55.920 --> 00:18:58.880]  Who sponsored the trade deficits?
[00:18:59.200 --> 00:19:04.880]  Who was sending all the industrial might of United States to China?
[00:19:05.200 --> 00:19:06.079]  You know the answer.
[00:19:06.400 --> 00:19:06.799]  Absolutely.
[00:19:06.960 --> 00:19:09.759]  We've been totally, and they admit we've been sabotaged.
[00:19:10.079 --> 00:19:12.480]  And it's all out in the open.
[00:19:12.799 --> 00:19:18.720]  And I've seen numbers of up of 80% of the Europeans say when they try to conscription, they're just going to flee or refuse.
[00:19:19.038 --> 00:19:21.138]  So also, Europe's a paper tiger.
[00:19:21.949 --> 00:19:23.078]  Europe can only...
[00:19:23.078 --> 00:19:24.597]  Go ahead.
[00:19:26.080 --> 00:19:38.240]  Not only this, you know, they committed basically, you know, economical suicide by destroying opportunity to get the cheap Russian resources of energy.
[00:19:38.560 --> 00:19:56.480]  Now, look, if Germany four years ago was a really one of the industrial superpower, which is a high-tech, you know, expert capacities with the machinery amazing, with the automotive sector in the industry, you know, strong enough to compete with everybody now.
[00:19:56.800 --> 00:20:04.000]  Right now, they are losing every couple months, you know, thousands and thousands of businesses.
[00:20:04.240 --> 00:20:05.200]  And that's another key point.
[00:20:05.440 --> 00:20:14.160]  Not only do they blow up Nord Stream and then refuse the Russian oil and gas, but they cut off basically all their coal plants where Mercedes can't even run but a few hours a day.
[00:20:14.400 --> 00:20:16.640]  They're literally committing suicide.
[00:20:17.519 --> 00:20:18.160]  Correct.
[00:20:18.480 --> 00:20:32.480]  But you see, if this is a cult, you know, satanic cult who want to commit suicide, but first, you know, sacrifice entire humanity, what heck we have to do with them is the only way, you know, for us to join the forces and get rid of them.
[00:20:32.640 --> 00:20:40.720]  And believe me, we will liberate again, you know, Europe because now they under the tight control of the non-elected official.
[00:20:40.800 --> 00:20:42.320]  Who elected von der Leyen?
[00:20:42.480 --> 00:20:42.800]  Nobody.
[00:20:43.440 --> 00:20:45.759]  Who appointed European commissars?
[00:20:46.000 --> 00:20:46.480]  Nobody.
[00:20:46.800 --> 00:20:55.519]  So this is exactly, you know, communist plot, you know, but now, you know, re resurface in Europe.
[00:20:55.759 --> 00:20:59.279]  And we need to do something because look on their core ideology.
[00:20:59.600 --> 00:21:04.960]  This is nothing short of Trotsky's, you know, the military communism style.
[00:21:05.200 --> 00:21:07.120]  Well, let's be clear, show your astuteness.
[00:21:07.279 --> 00:21:20.000]  For people that don't know, when Russia kicked out Trotsky, he ran to Mexico, he got killed there, and then they literally sent in their operatives to take over the key universities and the conservative movement and the left.
[00:21:20.160 --> 00:21:21.360]  And it is the neocons.
[00:21:21.840 --> 00:21:22.960]  You said we're going to find who's behind it.
[00:21:23.039 --> 00:21:35.600]  It's the neocons, you know, going back to John McCain and Lindsey Graham, who are the who are the masterminds with British intelligence, who, for those that don't know, have been trying to take down Russia for 400 years, that are literally running all of this.
[00:21:35.920 --> 00:21:39.120]  And it's just, it's absolutely outrageous.
[00:21:40.000 --> 00:21:40.560]  Correct.
[00:21:40.880 --> 00:22:00.560]  And now we know this, you know, all the international elites, you know, all their, you know, secretive societies, whether it's Bilderberg Group, whether it's, you know, Committee at 300, Tri-Party Commission, you know, Commission for International Affairs, Tavistock Institute, or Illuminati, whoever you name this.
[00:22:00.800 --> 00:22:04.640]  For us, this is a real enemy of the humanity.
[00:22:04.960 --> 00:22:12.720]  This is those who, you know, put on us, you know, their aiming devices and they don't want to negotiate.
[00:22:12.880 --> 00:22:16.000]  They want to either destroy us or enslave us.
[00:22:16.320 --> 00:22:18.560]  And this is true for the people of America.
[00:22:18.720 --> 00:22:20.400]  This is true for people of Russia.
[00:22:20.640 --> 00:22:24.160]  This is true for entire humanity who do not buy the idea.
[00:22:24.480 --> 00:22:24.960]  And let's be clear.
[00:22:25.120 --> 00:22:25.440]  Let's be clear.
[00:22:27.280 --> 00:22:38.240]  Soros and all the globalists, everybody knows this as long as we repeat it, have come to Russia and said, look, just let us teach transgenderism and LGBT pedophilia.
[00:22:38.480 --> 00:22:42.640]  Let us have control and we'll let you into the markets and leave you alone and stop trying to overthrow you.
[00:22:43.120 --> 00:22:46.560]  And even the Hollywood elites say, no, Russia is back to its Christian roots.
[00:22:46.880 --> 00:22:48.000]  That's why it must be destroyed.
[00:22:48.080 --> 00:22:49.920]  So they pressure Russia to have the open borders.
[00:22:50.080 --> 00:22:52.560]  They pressure Poland, which was getting on board.
[00:22:52.720 --> 00:22:54.400]  And so now they've put in their people there.
[00:22:54.640 --> 00:22:55.360]  It's the same thing.
[00:22:55.600 --> 00:22:57.680]  It's the same globalists attacking us all.
[00:22:58.000 --> 00:23:00.720]  And this is a cultural, religious, historic issue.
[00:23:00.800 --> 00:23:01.360]  And you're right.
[00:23:01.680 --> 00:23:04.240]  We should absolutely have a cultural alliance.
[00:23:04.320 --> 00:23:09.200]  That's what's beautiful about Victor Orban in Eastern Europe banning Soros, kicking them out.
[00:23:09.280 --> 00:23:10.480]  They're outside powers.
[00:23:11.440 --> 00:23:12.240]  This is happening.
[00:23:12.480 --> 00:23:13.680]  And we're so close.
[00:23:14.000 --> 00:23:15.280]  But the enemy's dangerous.
[00:23:15.440 --> 00:23:17.200]  If they're cornered, Victor Boot, what are they going to do?
[00:23:17.360 --> 00:23:18.720]  I'm really worried about false flags.
[00:23:18.960 --> 00:23:21.280]  Even a nuclear false flag to blame Russia.
[00:23:21.920 --> 00:23:22.400]  Correct.
[00:23:22.880 --> 00:23:52.400]  now it's really most dangerous period we ever eventually come in the recent you know 100 years uh you know history or when we've got you know nuclear arms era and this is and this is why because look the elites now in really in a panic mode and they understand this is end of it because all their crimes now coming to the surface people not stupid you cannot you know forever fool them up and now they see for for real face who they are,
[00:23:52.480 --> 00:23:55.760]  these globalists, what they're doing, all their plans.
[00:23:56.080 --> 00:24:12.480]  And most important, when the life of the normal Europeans, whether it's in France, whether it's in Britain, whether it's in Germany, whether it's in Belgium, become really very, very noticeably dropped for last five years, tremendously.
