# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.470 --> 00:00:17.250]  Tomorrow's news today.
[00:03:54.379 --> 00:04:12.120]  So this is a major escalation, and I pray for peace, and I pray that both sides can come to the table and wisely shut this meat grinder, this bloodbath, this senseless killing down that NATO and the EU admit they want as their business plan for the next 20 years.
[00:04:12.479 --> 00:04:17.579]  They openly say at the EU Commission elected that they want to collapse Russia with a long-term war.
[00:04:18.629 --> 00:04:23.329]  And Putin's basically already won the war on his objectives, so the EU plan has failed.
[00:04:23.569 --> 00:04:53.420]  And so all they're doing is just extending this- We'll be broadcasting some outrageous, astoundingly amazing interviews for the following two hours of Sunday Night Live.
[00:04:53.560 --> 00:04:55.279]  Stay with us for news on the other side.
[00:04:57.810 --> 00:04:59.889]  Ladies and gentlemen, welcome to the Alex Jones Show.
[00:05:00.029 --> 00:05:02.350]  I am Chase Geiser, your host this evening.
[00:05:02.709 --> 00:05:13.449]  Major escalations are taking place right now between Russia and Ukraine as we've had groundbreaking announcement after groundbreaking announcement over the course of the last 7 to 14 days, especially this week.
[00:05:14.529 --> 00:05:26.269]  We have Trump famously establishing this new economic deal with Saudi Arabia and then Qatar, while the Mark Levins, the neoconservatives of the world, just come out and say that, oh, Qatar is the number one funder of terrorism.
[00:05:27.400 --> 00:05:28.519]  But I thought it was Iran.
[00:05:29.639 --> 00:05:46.500]  And they're trying to shut down the fact that, frankly, Donald Trump has discovered a way to establish longstanding peace with all of those nations and entities and organizations, peoples and leaders that have every single incentive to go to war, war, war, war, war, war, war, war, war around oil and the dollar and the oil and the dollar and oil and the dollar.
[00:05:46.639 --> 00:05:47.699]  We've seen it a million times.
[00:05:48.139 --> 00:05:58.920]  And now we're seeing it unravel because we have somebody who's actually intentional about solving the problem in office, not somebody who's in the midst of, I don't know, prostate cancer stage, whatever, going to die soon.
[00:05:59.180 --> 00:06:00.100]  And cognitive decline.
[00:06:02.019 --> 00:06:09.279]  Now that we finally have a president of the United States, we can just see how pissed off all the entities are at the notion that we have a leader actually making decisions.
[00:06:10.220 --> 00:06:27.139]  After years and years and years of the bureaucracy coming out and just running administration after administration, FBI directors, CIA directors, members of the deep state committees, conglomerates, special interests, military industrial complex, political industrial complex.
[00:06:29.290 --> 00:06:36.490]  The private political press, they just hate the fact that now we have a president of the United States who's actually doing the job of president of the United States.
[00:06:37.949 --> 00:06:46.629]  Well, we see these reports now of Kamala Harris snapping on Anderson Cooper because this mother effer doesn't treat me like I'm the vice president.
[00:06:46.889 --> 00:06:56.189]  Honey, you were the token POC to get a man elected with dementia and prostate cancer.
[00:06:57.839 --> 00:07:07.660]  And you accomplished absolutely nothing as the vice president, and frankly nothing in your entire career whatsoever other than the subjugation of people in California.
[00:07:08.279 --> 00:07:14.620]  I mean, among Kamala Harris' accomplishments is arresting single mothers because their children are a truant from school.
[00:07:16.840 --> 00:07:29.240]  Prosecuting the hell out of non-violent marijuana offenders in California, and then famously keeping people imprisoned beyond the length of their sentence so that you could profit from the slave labor that is the private prison system.
[00:07:30.040 --> 00:07:32.579]  That's like the only thing she's ever accomplished ever.
[00:07:35.379 --> 00:07:36.660]  And that cackle.
[00:07:38.019 --> 00:07:43.980]  But now we have a VP that actually does things, that attends meetings, that makes points, that pushes back, that helps.
[00:07:44.019 --> 00:07:45.399]  It's a wingman that assists.
[00:07:46.620 --> 00:07:49.199]  Now we have a president of the United States who does things like, you know what?
[00:07:49.319 --> 00:07:51.120]  I'm going to go talk to Saudi Arabia myself.
[00:07:51.319 --> 00:07:52.540]  I'm going to talk to Qatar myself.
[00:07:53.120 --> 00:07:56.779]  And you can talk all day long about how Qatar is a major funder of terrorism.
[00:07:58.519 --> 00:08:00.800]  85% of that country is expatriates.
[00:08:02.699 --> 00:08:11.620]  Saudi Arabian crown prince was virtually on the verge of tears as he took Donald Trump back to the airport to fly away.
[00:08:12.040 --> 00:08:17.600]  Because he was so touched by the fact that the future of his entire nation has been saved by Donald Trump.
[00:08:17.920 --> 00:08:22.899]  And $600 billion in investment in the United States of America was the least he could do.
[00:08:24.420 --> 00:08:43.879]  For this salvation, given that oil is going to be totally eradicated in the 21st century, it's not going to be eradicated by the globalists, it's not going to be eradicated by the environmentalists, who in the name of saving the planet, establish wind farm after wind farm all across the Midwest of the United States, or solar farm after solar farm all across the deserts of California.
[00:08:44.000 --> 00:08:45.340]  It's going to be established.
[00:08:46.359 --> 00:08:55.960]  By a populist Trump administration who is going to couple solar power from space with total global military dominance from space.
[00:08:56.080 --> 00:08:57.120]  And it's a double-edged sword.
[00:09:01.779 --> 00:09:03.700]  And I'll explain it to you as best as I can.
[00:09:04.009 --> 00:09:09.389]  It is so fantastic, so amazing what is being done that it's hard to believe.
[00:09:09.639 --> 00:09:14.708]  I mean, even Peter himself...
[00:09:21.120 --> 00:09:26.379]  So not only did he see someone else do it, but he saw himself able to do it with faith.
[00:09:26.519 --> 00:09:34.179]  And then even after seeing it, witnessing it, experiencing it, feeling the ocean beneath his feet, still began to sink.
[00:09:34.639 --> 00:09:42.559]  After seeing miracle after miracle after miracle after miracle of Jesus Christ, he still denies Christ three times before the cock crows in the morning.
[00:09:46.500 --> 00:09:48.519]  Similar to what we're experiencing from Donald Trump.
[00:09:48.759 --> 00:09:53.679]  Miracle after miracle, literally divine providence just coming down and interfering, moving the head, moving the bullet.
[00:09:54.200 --> 00:09:55.860]  You've seen the video a million times.
[00:09:56.019 --> 00:09:57.879]  You've seen all the accomplishments a million times.
[00:09:58.200 --> 00:10:08.559]  Everything that is evil in the world came at him with direct force time and time again, whether it was to silence him and get him censored from every social media platform, whether it was attempts to imprison him through all these bogus charges.
[00:10:08.559 --> 00:10:10.740]  They tried to impeach him multiple times.
[00:10:11.320 --> 00:10:13.159]  And then they finally tried to assassinate him.
[00:10:13.299 --> 00:10:14.519]  They stole one election from him.
[00:10:14.580 --> 00:10:20.360]  They tried to steal a second one, but it was too big to read because everybody knew that Joe Biden was a lunatic and that everything was in just total decline.
[00:10:22.120 --> 00:10:33.679]  I mean, after the COVID-19 pandemic, this government had the audacity to say that we need to give mRNA vaccines to the chickens of the United States of America because this bird flu was a threat.
[00:10:35.340 --> 00:10:37.960]  And now you have the United States withdrawing from WHO.
[00:10:39.340 --> 00:10:45.460]  And within weeks of that, China has come in and just established total dominance over the WHO.
[00:10:45.480 --> 00:10:47.539]  They always controlled it, but now they totally control it.
[00:10:47.639 --> 00:10:54.720]  And you've got the WHO coming out and warning of new COVID strands from China that are incredibly dangerous.
[00:10:55.420 --> 00:10:58.240]  New diseases coming into India that are totally dangerous.
[00:10:58.419 --> 00:10:59.600]  What does India have to do with any of this?
[00:10:59.700 --> 00:11:06.139]  I mean, why is India coming up in the context of this new dangerous disease that they're trying to prop up as a last-ditch effort?
[00:11:06.139 --> 00:11:10.080]  I guess some Hail Mary against populism worldwide, namely Donald Trump.
[00:11:11.240 --> 00:11:15.779]  But why is it coming up in the context of this war that they tried to break out between Pakistan and India?
[00:11:16.779 --> 00:11:22.779]  Well, it's because we put tariffs on China and we're diverting our manufacturing away from China into India at large.
[00:11:23.980 --> 00:11:28.559]  And China's doing whatever it can to subvert or undermine India.
[00:11:29.299 --> 00:11:31.019]  Oh, they got a disease problem.
[00:11:31.820 --> 00:11:33.879]  Oh, they got a war problem with Pakistan.
[00:11:34.279 --> 00:11:36.740]  And they're trying to start a war between Iran and Israel.
[00:11:37.240 --> 00:11:43.759]  Because all these wars that take place basically anywhere now are proxy wars.
[00:11:44.589 --> 00:11:49.850]  Now that we've entered the age of superpowers, superpowers in a way that there have never been superpowers before.
[00:11:50.009 --> 00:11:51.330]  I mean, Rome was sort of a superpower.
[00:11:51.610 --> 00:11:53.529]  The British Empire was kind of a superpower.
[00:11:53.710 --> 00:11:59.370]  But we have superpowers now that make other superpowers throughout history look like minor league baseball.
[00:12:01.710 --> 00:12:06.289]  And now that we've gone into the age of superpowers, we have also entered the age of supervillains.
[00:12:06.409 --> 00:12:11.789]  And basically every war that takes place that isn't directly between a superpower is a proxy war between superpowers.
[00:12:12.190 --> 00:12:15.850]  Whether it's Iran and Israel, that's a proxy war between China and the United States.
[00:12:15.950 --> 00:12:19.210]  Whether it's Pakistan and India, that's a proxy war between China and the United States.
[00:12:19.350 --> 00:12:24.970]  Whether it's Russia and Ukraine, that's a proxy war between the United States and Russia.
[00:12:25.909 --> 00:12:48.409]  And now that the United States is the United States of America instead of the United States of the European Union or the United States of NATO or the United States of the WHO or the United States of globalism, now that it's simply the United States of America again, USA, We see that Russia is emboldened and understands that this war is coming to an end.
[00:12:49.149 --> 00:12:56.889]  And Zelensky in all of his disrespect has come to the table time and time again and begged for money in his crappy clothes and just sent his own men to the meat grinder.
[00:12:56.889 --> 00:13:05.029]  I've shown you video after video after video of men literally being kidnapped by the government in Ukraine and forced to go to the front.
[00:13:05.929 --> 00:13:25.129]  It is disgusting what you see from these dilapidated cities with these dilapidated leaders and their dilapidated coke problems as they just mine and skim and mine and skim billions upon billions upon billions of dollars in aid sent to them and weapons sent to them for their own enrichment as they buy vineyards in France or yachts all over.
[00:13:25.230 --> 00:13:27.029]  I mean, you want to talk about Russian oligarchs.
[00:13:27.090 --> 00:13:30.290]  Just look at what you've been seeing from the leadership in Ukraine.
[00:13:30.290 --> 00:13:48.929]  Those Nazis, literally 250,000 people in Ukraine who volunteered to And they're still Nazis.
[00:13:51.350 --> 00:14:01.029]  And we gave them, what was it, $61 billion on Hitler's birthday last year under leadership of Mike Johnson as Congress waved Ukrainian flags in the halls of our own institutions.
[00:14:01.029 --> 00:14:02.649]  But were the insurrectionists?
[00:14:03.000 --> 00:14:13.879]  When virtually every flag is being flown, except for ours, whether it's the pride flag, or the Israeli flag, or the Ukrainian flag, they just love to act like they love the little guy.
[00:14:14.159 --> 00:14:19.259]  All these small countries, where they don't represent the littlest of little guys, which is the American individual whatsoever.
[00:14:19.960 --> 00:14:25.759]  Where they compromise all of your interests time and time again, and they exploit all of your production time and time again.
[00:14:25.779 --> 00:14:27.480]  You want to talk about oppressor versus oppressed.
[00:14:27.720 --> 00:14:30.360]  I don't think it's the bourgeois versus the proletariat.
[00:14:30.889 --> 00:14:35.629]  I think it's the political class versus the class of the people, the American working class.
[00:14:35.970 --> 00:14:43.669]  Whether rich or poor, both exploited alike by those who would wield political power, which in and of itself is really just violent power.
[00:14:44.529 --> 00:14:47.990]  Political power, all it is is force, the ability to send in the feds.
[00:14:48.669 --> 00:14:50.889]  James Comey famously, oh, I sent a few guys over.
[00:14:51.090 --> 00:14:52.730]  Don't think I would have been able to get away with it.
[00:14:53.629 --> 00:14:54.970]  When he framed Flynn.
[00:14:56.250 --> 00:14:59.610]  And when they sent the SWAT teams in to get the Roger Stones.
[00:15:01.000 --> 00:15:09.759]  Or when they do nothing to follow up with the fact that SWAT teams have been sent in basically to harass anyone who is identified as a political dissident in any meaningful way or influential way on the internet.
[00:15:11.899 --> 00:15:20.779]  But here we are seeing a massive escalation between Russia and Ukraine where 50,000 troops have amassed outside the city of Kharkiv.
[00:15:20.940 --> 00:15:22.059]  It's called Fortress City.
[00:15:22.299 --> 00:15:24.080]  Second largest city in Ukraine.
[00:15:24.440 --> 00:15:28.879]  Sits in the northeast corner of Ukraine right on the border of Russia.
[00:15:30.600 --> 00:15:36.240]  There's a famous scene from the movie Braveheart where Longshank says if he can sack York, he can sack London.
[00:15:36.779 --> 00:15:40.159]  Well, if you can sack Kharkiv, you can sack Kiev.
[00:15:43.460 --> 00:15:55.019]  And so Zelensky, he's just tit-for-tat, pitter-pattering around, scuffling around, shaking hands with the Stormers, leaving blow for the Macron's, insulting the Trumps.
[00:15:55.279 --> 00:16:00.100]  Flying everywhere except for to his own front to try to fight a war everywhere except for where it's happening.
[00:16:00.580 --> 00:16:03.960]  And to have everyone else fight it except for him and his own ilk.
[00:16:06.080 --> 00:16:09.480]  Refusing to come to the table for any settlement, any peace negotiations.
[00:16:09.759 --> 00:16:11.799]  Bro, you lost the war.
[00:16:12.419 --> 00:16:14.600]  I mean, he's even more of a Nazi than Hitler.
[00:16:14.740 --> 00:16:16.259]  At least Hitler knew when he lost.
[00:16:19.399 --> 00:16:22.539]  But it's always late for these arrogant, narcissistic cucks.
[00:16:25.620 --> 00:16:26.960]  They're always in denial.
[00:16:27.120 --> 00:16:28.820]  Denial isn't just a river in Egypt.
[00:16:29.000 --> 00:16:34.379]  They always just let thousands of people die every single day while they deny the fact that they have no leverage.
[00:16:34.539 --> 00:16:35.519]  They don't have the cards.
[00:16:35.679 --> 00:16:37.399]  They even deny the fact that they're playing cards.
[00:16:37.519 --> 00:16:38.960]  I'm not playing cards.
[00:16:39.340 --> 00:16:40.799]  Right in that very conversation.
[00:16:41.779 --> 00:16:43.399]  I'm not playing cards!
[00:16:45.500 --> 00:16:47.139]  You want to build roads?
[00:16:47.379 --> 00:16:48.279]  Don't do it.
[00:16:48.720 --> 00:16:50.539]  Spend all your money to the weapon.
[00:16:50.700 --> 00:16:51.940]  He literally said that.
[00:16:52.350 --> 00:16:55.389]  On national television in the United States of America.
[00:16:55.929 --> 00:16:57.769]  He says, you want to build roads?
[00:16:58.389 --> 00:16:59.230]  Don't do it.
[00:16:59.809 --> 00:17:01.509]  Spend all your money to the weapon.
[00:17:03.509 --> 00:17:04.750]  And so Russia's like, alright.
[00:17:05.190 --> 00:17:06.630]  You're not going to surrender.
[00:17:06.849 --> 00:17:08.089]  You're not going to accept a mineral deal.
[00:17:08.369 --> 00:17:10.869]  Their parliament accepted it 100%.
[00:17:10.869 --> 00:17:13.089]  Apparently they're saying that they're going to do it.
[00:17:13.289 --> 00:17:29.069]  He's just going to position himself, alright, well, until you actually sign something, instead of flying around everywhere, dropping off eight ball after eight ball for world leader after world leader, We're going to position ourselves to take your second largest city and we're going to take it and it's going to be bloodshed if you don't just sign this.
[00:17:29.250 --> 00:17:30.829]  Because we're ready for this war to be over.
[00:17:31.049 --> 00:17:33.450]  We don't want these escalations with NATO to take place.
[00:17:33.609 --> 00:17:35.289]  We don't want World War III to take place.
[00:17:35.369 --> 00:17:37.329]  And look, I'm not saying that Vladimir Putin is a hero.
[00:17:37.490 --> 00:17:38.450]  Not saying that at all.
[00:17:38.750 --> 00:17:42.230]  All I'm saying is that Voldemort Zelensky is definitely a villain.
[00:17:42.549 --> 00:17:44.450]  Macron is definitely a villain.
[00:17:45.230 --> 00:17:45.589]  Starmer?
[00:17:47.149 --> 00:17:48.089]  Villain is hard to say.
[00:17:48.190 --> 00:17:50.410]  I think he's just weak, which is almost worse.
[00:17:50.549 --> 00:17:59.210]  I mean, if you're scared about what a strong man will do in a position of leadership, like a Mussolini or a Hitler, just wait until you see what a weak man will do in leadership.
[00:17:59.950 --> 00:18:01.009]  Like a Starmer.
[00:18:02.109 --> 00:18:03.369]  Or a Chamberlain.
[00:18:04.719 --> 00:18:05.489]  Or a Mao.
[00:18:05.489 --> 00:18:10.688]  Or a Mao.
[00:18:10.700 --> 00:18:17.259]  And so we finally have a president of the United States of America who is endeavoring to establish peace by any means necessary.
[00:18:21.200 --> 00:18:25.299]  And all of the warmongers are really just coming out of the woodwork.
[00:18:27.299 --> 00:18:30.759]  All of the warmongers are making it abundantly clear, explicitly clear.
[00:18:30.779 --> 00:18:32.359]  We don't have to intuit it anymore.
[00:18:32.400 --> 00:18:33.940]  We can now blatantly see it.
[00:18:34.119 --> 00:18:34.819]  They love it so much.
[00:18:34.900 --> 00:18:37.900]  And my favorite part of this whole thing is when Zelensky came in.
[00:18:38.859 --> 00:18:48.480]  And just totally embarrassed himself in front of the President of the United States, J.D. Vance, Secretary of State, frankly, the whole world, the United States of America, and the Oval Office.
[00:18:49.420 --> 00:18:51.200]  Lindsey Graham comes out to criticize Zelensky.
[00:18:51.339 --> 00:18:54.480]  He's wearing a tie that is the Ukrainian colors.
[00:18:55.579 --> 00:19:00.160]  I am just so proud of Donald Trump, the way he handled himself.
[00:19:00.539 --> 00:19:02.839]  Zelensky was absolutely atrocious.
[00:19:02.839 --> 00:19:03.579]  He pivoted.
[00:19:03.680 --> 00:19:07.400]  He was going to come out wearing his Ukraine tie, talking about how great everything is.
[00:19:08.400 --> 00:19:12.140]  But he pivoted because he saw that he'd never attack a stronger enemy head-on.
[00:19:12.240 --> 00:19:15.460]  And despite the fact that he's a closet homosexual, he understands that.
[00:19:15.579 --> 00:19:17.579]  That's why he's been in power for as long as he's been in power.
[00:19:17.740 --> 00:19:28.420]  These people who are just infinitely dumb in every aspect of everything you can possibly imagine are actually fairly competent at the one thing they understand, which is power, which is you don't attack a stronger enemy head-on.
[00:19:28.539 --> 00:19:33.480]  And so you have the Lindsey Graham's up there like, all right, well, if we're going to have to stop this war with Ukraine, then maybe we'll have to have a war with Iran.
[00:19:34.710 --> 00:19:38.190]  Okay, well, if we're not going to have a war with Iran, then maybe we'll have to have a war with Qatar.
[00:19:38.750 --> 00:19:42.690]  Oh, okay, if we're not going to have a war with Qatar, then maybe we're going to have to have a war with India and Pakistan.
[00:19:43.890 --> 00:19:44.829]  That's what's going on.
[00:19:46.369 --> 00:19:47.450]  And the Tom Cotton's and everything.
[00:19:47.509 --> 00:19:50.990]  I don't know why it is that so many of these neoconservatives are quasi-homosexuals.
[00:19:50.990 --> 00:19:52.789]  I know the audience is like, what are you talking about, Chase?
[00:19:52.910 --> 00:19:54.190]  Trust me, I know things.
[00:19:56.029 --> 00:20:04.509]  I'm not a very important person, but I am often in the same room with very important people having conversations or at least witnessing conversations among very important people.
[00:20:04.670 --> 00:20:08.789]  And I can tell you for one thing, half the Republican Party is just a closet of homosexuals.
[00:20:08.869 --> 00:20:12.789]  I mean, you go to the RNC, you might as well be going to a gay club in Florida.
[00:20:15.970 --> 00:20:21.150]  And look, I understand that the Republicans are necessary and that they're better than the Democrats, at least in rhetoric.
[00:20:21.150 --> 00:20:26.710]  But ultimately, when push comes to shove, this is the unit party and they both expand the debt every single time, no matter who's in power.
[00:20:26.869 --> 00:20:36.890]  And then when we finally have the House and the Senate and the White House, for some reason, we still have the Mike Johnson's proposing $1.2 trillion on a bus bills that fund biolabs all over the country, all over the world.
[00:20:37.500 --> 00:20:48.480]  And expand the federal government's ability to respond to pandemics when every organization that is responsible for declaring when a pandemic has taken place is owned, run, and operated by the CCP or some other globalist entity.
[00:20:48.680 --> 00:20:50.339]  So yeah, I don't really like the Republicans.
[00:20:50.339 --> 00:20:51.000]  I'm sorry.
[00:20:51.240 --> 00:21:00.900]  They let buildings fall down when planes fly into them, likely explosives inside, in order to justify Patriot Acts which violate my rights.
[00:21:04.400 --> 00:21:07.059]  In war after war after war, which is for what?
[00:21:07.720 --> 00:21:08.619]  For what?
[00:21:09.039 --> 00:21:10.460]  To save the dollar?
[00:21:10.740 --> 00:21:25.779]  War is with strangers, among strangers, for strange reasons, while you protect the opiate exports from Afghanistan so big pharmaceutical companies can get all of our people here in the United States of America addicted to opiates off of Afghani opium?
[00:21:27.409 --> 00:21:29.410]  And then you want to blame it on China?
[00:21:29.609 --> 00:21:33.450]  I mean, yeah, China's complicit in it, I guess, but maybe it's your own damn fault.
[00:21:33.549 --> 00:21:35.650]  It's just like everybody who blames AIPAC for everything.
[00:21:36.289 --> 00:21:38.809]  Is it AIPAC's fault that they bought our politicians?
[00:21:39.049 --> 00:21:41.809]  Or is it our politicians' fault for selling out to AIPAC?
[00:21:42.289 --> 00:21:45.430]  You want to argue about who's really morally inferior here?
[00:21:46.369 --> 00:21:52.490]  Because I guarantee none of you would have a problem with us sending lobbyists to other countries to lobby on behalf of our interests.
[00:21:52.529 --> 00:21:53.809]  So why are you blaming AIPAC?
[00:21:54.230 --> 00:21:55.910]  Oh, it's because you just hate the Jews.
[00:21:57.789 --> 00:21:58.470]  I understand.
[00:21:58.470 --> 00:21:59.710]  I got problems with Israel.
[00:22:00.289 --> 00:22:08.849]  But I'm much more pissed off at the notion that Dan Crenshaw is selling out to foreign lobbyists than I am at the foreign lobbyists who are just trying to represent the interests of their own country.
[00:22:09.410 --> 00:22:10.990]  Do I like Bibi Netanyahu?
[00:22:11.190 --> 00:22:11.549]  No.
[00:22:11.869 --> 00:22:12.930]  Do I think he's a warmonger?
[00:22:13.049 --> 00:22:13.450]  Yes.
[00:22:13.670 --> 00:22:17.589]  Do I think he's abused the relationship with the United States to get us into war after war after war?
[00:22:17.710 --> 00:22:18.089]  Yes.
[00:22:21.930 --> 00:22:28.750]  But what I really hate is when our own Congress or our own presidency of the United States for administration after administration after administration just vote to send aid.
[00:22:28.910 --> 00:22:29.589]  Vote to send aid.
[00:22:29.730 --> 00:22:30.309]  Iron Dome.
[00:22:30.410 --> 00:22:30.950]  Iron Dome.
[00:22:31.049 --> 00:22:31.509]  More bombs.
[00:22:32.849 --> 00:22:33.210]  Go in.
[00:22:33.309 --> 00:22:33.829]  Clean it up.
[00:22:34.329 --> 00:22:41.250]  And now we've allowed it to escalate to such a point that the Trump administration is negotiating with Libya of all places.
[00:22:41.369 --> 00:22:42.089]  Remember Gaddafi?
[00:22:42.289 --> 00:22:43.730]  Libya of all places.
[00:22:44.910 --> 00:22:48.789]  Where we're going to unfreeze money of theirs that we froze 10 years ago.
[00:22:49.619 --> 00:22:54.819]  In exchange for them accepting 1 million refugees from Gaza.
[00:22:55.220 --> 00:22:56.740]  The Neo Trail of Tears.
[00:22:58.440 --> 00:23:08.099]  You got Andrew Jackson to the first Trail of Tears, one of the best presidents of all time, famously hung up in the Oval Office under the Trump administration for the first term, and now you got a new Trail of Tears happening right before Eisen.
[00:23:08.099 --> 00:23:09.759]  Look, I'm not blaming Trump.
[00:23:10.019 --> 00:23:10.640]  I get it.
[00:23:12.220 --> 00:23:13.380]  What's he supposed to do?
[00:23:13.660 --> 00:23:30.549]  He can either facilitate moving them to safety, Or we can just let Bibi Netanyahu occupy them, to which it'll become even more of a ghetto and an open-air prison than it ever was before.
[00:23:32.529 --> 00:23:42.809]  So because of this conflict in the Middle East over oil and the dollar and the Lindsey Graham's and the Tom Cotton's, I mean, if you look at Lindsey Graham's office, you can see that he's got a little placard hanging up behind his little couch.
[00:23:42.890 --> 00:23:44.269]  Why don't you come sit down next to me?
[00:23:44.750 --> 00:23:53.029]  With the pen that George Bush used to sign the legislation that escalated those conflicts, means, modes, and methods of interrogation.
[00:23:54.549 --> 00:23:56.869]  I just think we're going to need some boots on the ground.
[00:23:59.869 --> 00:24:02.990]  But really, it's not this Ukraine stuff that's even news.
[00:24:02.990 --> 00:24:04.990]  This is just another development and an old story.
[00:24:05.750 --> 00:24:08.230]  The news is the Golden Dome.
[00:24:08.369 --> 00:24:11.869]  The news is the space-based solar power.
[00:24:12.440 --> 00:24:13.200]  Through SpaceX.
[00:24:13.640 --> 00:24:20.880]  The news is how that can be reverse engineered or immediately used, transferred as a directed energy weapon from space.
[00:24:21.059 --> 00:24:28.000]  And the news is how that's a major escalation between China and the United States in the AI wars, which are simultaneously the space wars.
[00:24:30.939 --> 00:24:36.359]  The 21st century is going to be the culmination of the AI and space wars simultaneous.
[00:24:36.960 --> 00:24:39.859]  It's Terminator meets Star Wars at the same time.
[00:24:39.859 --> 00:24:47.539]  It is the most epic science fiction that is not fiction that you have ever experienced, dreamed of, thought of, or mused.
[00:24:51.579 --> 00:24:53.319]  And it's unfolding right before our eyes.
[00:24:53.460 --> 00:24:55.599]  So I'm going to get into those details on the other side of this break.
[00:24:59.050 --> 00:25:02.190]  Before we go to break, I need to remind you to go to theallyshownstore.com.
[00:25:03.650 --> 00:25:05.230]  Now, we've got this new product.
[00:25:05.809 --> 00:25:07.710]  I thought I had a bottle of it laying around here.
[00:25:08.369 --> 00:25:09.309]  In fact, I think I did.
[00:25:09.390 --> 00:25:11.069]  I swear, I'm becoming more like Alex.
[00:25:12.650 --> 00:25:13.250]  Here it is.
[00:25:15.108 --> 00:25:16.568]  Ultimate life force.
[00:25:16.568 --> 00:25:19.847]  This is the newest product at the Alice Jones store.com.
[00:25:19.847 --> 00:25:30.240]  And it's the best thing I think that we've ever come out with in terms of It's got all the ingredients in it.
[00:25:30.319 --> 00:25:35.960]  You can do your own research and figure it out that are designed to help your body's engines responsible for cleaning it out.
[00:25:36.279 --> 00:25:37.160]  Just purify it.
[00:25:37.440 --> 00:25:41.539]  Now, we talk about iodine a lot on this network because we've sold several different iodine products.
[00:25:41.680 --> 00:25:43.460]  We used to have the Survival Shield X3.
[00:25:43.599 --> 00:25:44.519]  It's a great iodine product.
[00:25:44.799 --> 00:25:47.619]  The CMOS gummies and the CMOS capsules on the AlexJonesStore.com.
