# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.580 --> 00:01:04.030]  Tomorrow's news today.
[00:07:54.199 --> 00:08:09.160]  So, I told you a month ago that I talked to multiple high-level individuals that had directly talked to Trump in the last day.
[00:08:11.120 --> 00:08:37.309]  I mean, you've got People that are in the room and talking to Trump on the phone and Trump's telling them, can't say who he told, that he's completely done with Netanyahu and that Netanyahu is a criminal and a psychotic and wants to start a nuclear war and that Iran and China and Russia,
[00:08:37.309 --> 00:08:46.440]  if he attacked Iran, are going to come into it and it's going to cause a total Expansion of the World War III scenario we've already entered.
[00:08:47.399 --> 00:08:55.919]  And that Iran is ready to give up the ballistic missiles, ready to do everything, but that Netanyahu does not want that.
[00:08:56.480 --> 00:09:07.440]  And then Trump caught Netanyahu through Jeffrey Goldberg at the Atlantic working with Waltz, who was either a useful idiot, but probably not.
[00:09:08.559 --> 00:09:10.000]  Probably blackmailed or something.
[00:09:11.149 --> 00:09:12.750]  Bringing Goldberg into the chat.
[00:09:14.590 --> 00:09:21.389]  And then the target was Hegseth because he's not anti-Israel, but he's anti-nuclear war and attacking Iran.
[00:09:22.750 --> 00:09:29.269]  And so Trump knows that Israel's up to its old tricks that never stopped spying on U.S. administrations.
[00:09:29.429 --> 00:09:30.830]  They're not the only government that does it, obviously.
[00:09:31.309 --> 00:09:32.690]  But they do it very well.
[00:09:33.129 --> 00:09:38.090]  And the whole manipulation of our government and AIPAC and all the rest of it.
[00:09:39.940 --> 00:09:45.399]  So Netanyahu in the last three, four months has tried to muscle Trump behind the scenes and publicly.
[00:09:46.139 --> 00:09:47.759]  And Trump doesn't like that.
[00:09:49.139 --> 00:09:58.639]  And he'd already forgiven Netanyahu when he was the first foreign leader to call and congratulate and endorse Biden when he stole the election four and a half years ago.
[00:10:00.440 --> 00:10:04.279]  And then wouldn't even talk to Trump after that for years.
[00:10:05.500 --> 00:10:07.759]  But you think Donald Trump forgets that?
[00:10:10.509 --> 00:10:19.269]  And then he's still nice to Netanyahu, and Netanyahu lies to him and spies on him and tries to set up his administration.
[00:10:20.110 --> 00:10:22.769]  Netanyahu has a 16% approval rating.
[00:10:23.110 --> 00:10:25.090]  Netanyahu has been indicted for real stuff.
[00:10:25.570 --> 00:10:28.649]  Netanyahu had the military stand out on October 7th.
[00:10:33.210 --> 00:10:35.330]  Trump knows Israel founded Hamas.
[00:10:35.950 --> 00:10:37.090]  Trump knows...
[00:10:38.330 --> 00:10:45.649]  Netanyahu was Israeli Prime Minister when 9-11 happened, and that they were involved with the neocons again.
[00:10:47.029 --> 00:10:52.090]  One group of neocons running that attack.
[00:10:52.649 --> 00:10:56.970]  Trump knew that 23 years ago, 24 years ago.
[00:10:58.110 --> 00:10:59.850]  He knew there were bombs in the buildings.
[00:10:59.850 --> 00:11:01.470]  He said it the day after on TV.
[00:11:02.269 --> 00:11:03.509]  He didn't know.
[00:11:05.090 --> 00:11:06.750]  Everybody knows in Congress.
[00:11:06.950 --> 00:11:07.889]  Everybody knows.
[00:11:08.049 --> 00:11:09.250]  Every top general knows.
[00:11:09.370 --> 00:11:10.049]  All of them know.
[00:11:10.210 --> 00:11:11.090]  They've always known.
[00:11:12.529 --> 00:11:19.789]  If you think some 20-something-year-old, what was I, like 27, 28 when 9-11 happened?
[00:11:21.629 --> 00:11:32.149]  If I knew that day and called it with precision that day while it happened, well, do you think professional military people, you think they know?
[00:11:33.860 --> 00:11:35.340]  Hell, they know who did it.
[00:11:35.519 --> 00:11:36.600]  And so do we.
[00:11:40.679 --> 00:11:41.960]  And it's all coming out.
[00:11:42.159 --> 00:11:45.840]  Like I told you, Building 7. All of it.
[00:11:47.279 --> 00:11:49.779]  Because the globalist plan is psychotic.
[00:11:49.980 --> 00:11:52.519]  The globalist plan would make Hitler blush.
[00:11:55.919 --> 00:12:00.740]  The Bill Gates plan is so satanic.
[00:12:02.059 --> 00:12:05.299]  It's the most evil thing ever done on the planet.
[00:12:08.519 --> 00:12:12.980]  And so Netanyahu isn't getting his Iran war right now.
[00:12:13.940 --> 00:12:24.580]  So he's trying to stir up the Muslims and he's using all the words that they're going to obliterate Gaza and drive who's left into the sea.
[00:12:24.580 --> 00:12:32.190]  and...
[00:12:32.200 --> 00:12:33.500]  I mean, look at these headlines.
[00:12:35.539 --> 00:12:38.659]  Israel's military to enter Gaza with full force in coming days.
[00:12:40.720 --> 00:12:46.860]  Netanyahu must now work for support of U.S. as Trump tries tires of Israel's war on Gaza.
[00:12:47.200 --> 00:12:47.240]  Oh.
[00:12:48.519 --> 00:12:49.000]  London Guardian.
[00:12:49.639 --> 00:12:53.220]  Israel's PM Benjamin Netanyahu says army entering Gaza with full force in coming days.
[00:12:54.519 --> 00:12:56.860]  Israel denying food to Gaza's weapon of war.
[00:12:59.210 --> 00:13:02.970]  Israel expects 50% of Gaza people to flee during full-scale assault.
[00:13:05.070 --> 00:13:09.129]  And it is all meant to overshadow Trump's peace initiative.
[00:13:09.230 --> 00:13:21.190]  It is all meant to inflame the Houthis and the Iranians and the people in Gaza and the people in Lebanon and the West Bank.
[00:13:23.490 --> 00:13:26.889]  And it's the perfect time for the neocons.
[00:13:31.279 --> 00:13:34.299]  To stage a false flag and blame Iran.
[00:13:34.879 --> 00:13:39.659]  Just like the main threat to derailing peace in Ukraine is a false flag.
[00:13:40.519 --> 00:13:43.399]  Just like the Russian foreign ministry and defense ministry said.
[00:13:44.100 --> 00:13:47.759]  But they're not giving me those talking points.
[00:13:47.960 --> 00:13:57.039]  I've been saying it since the escalation of the war started three years and three months ago.
[00:13:59.269 --> 00:14:00.789]  That's how this works.
[00:14:01.230 --> 00:14:09.309]  When the bad guys are all losing, they will inflict a wound on themselves to pose as the victims.
[00:14:09.789 --> 00:14:12.769]  Jussie Smollett scaled up a bit.
[00:14:14.070 --> 00:14:24.830]  And I told you, building up in the summer, Antifa would start taking over buildings, they'd start burning things down, Black Lives Matter would show back up, you'd have members of Congress and mayors storming ice facilities.
[00:14:25.110 --> 00:14:27.429]  I told you over and over again, and it's...
[00:14:28.500 --> 00:14:29.639]  Right up into the summer.
[00:14:30.539 --> 00:14:46.320]  And now someone has convinced Trump to pardon Chauvin, the innocent cop, the George Floyd thing, which I think should happen, but Trump's going to do that reportedly.
[00:14:46.379 --> 00:14:47.460]  The local police department's already been told.
[00:14:49.700 --> 00:14:52.299]  That's perfect timing to get the Democrats rioting.
[00:14:52.639 --> 00:14:53.879]  And look, Trump's not stupid.
[00:14:55.139 --> 00:15:03.909]  I think he's getting ready to do that to Have them go ahead and have their fit now before they've really built it up to the hottest part of the summer.
[00:15:04.389 --> 00:15:11.950]  Remember, Red Adair invented the famous oil field firefighter over 100 years ago in Texas.
[00:15:13.169 --> 00:15:27.769]  He just had the idea to roll a wheelbarrow of dynamite into a well that's on fire, because it'll burn for months, sometimes for years, and blow it up, and that knocks all the oxygen out in the explosion, and it...
[00:15:28.299 --> 00:15:29.460]  Basically works every time.
[00:15:30.080 --> 00:15:42.080]  I mean, look, if Trump really pardons the cop that didn't kill George Floyd, and he was given a fake trial, the autopsy said that he died of fentanyl, I mean, that's all on record.
[00:15:42.259 --> 00:15:44.659]  And the prosecutors hid that information, that's all come out.
[00:15:44.820 --> 00:15:48.159]  It's the right thing to do, but why would Trump do that right now?
[00:15:50.220 --> 00:15:51.360]  It's actually smart.
[00:15:51.580 --> 00:15:56.779]  See, before they mowed out a bunch of illegal aliens in a demonstration and blame it on us.
[00:15:57.000 --> 00:15:57.679]  Because that's coming.
[00:15:58.519 --> 00:15:59.919]  Because they've already pre-programmed it everywhere.
[00:16:00.320 --> 00:16:03.740]  Trump and Tom Homan are going to kill all the illegal aliens.
[00:16:04.259 --> 00:16:06.019]  They're going to kill the migrants in a protest.
[00:16:06.200 --> 00:16:08.080]  Well, they're telling you the plan.
[00:16:08.879 --> 00:16:12.860]  So, that's what they're going to do.
[00:16:12.919 --> 00:16:14.779]  It's not going to work because people are aware of it.
[00:16:15.798 --> 00:16:24.577]  And I think it's cute that Trump is, according to our sources, at least all the local departments all over the country, get ready that that pardon is coming.
[00:16:24.577 --> 00:16:30.577]  And...
[00:16:31.079 --> 00:16:35.399]  And I haven't been told by the administration that that's for sure what they're doing, but it fits.
[00:16:36.059 --> 00:16:41.820]  So I'm just kind of giving you the wargaming and the inside baseball the way real people think.
[00:16:43.840 --> 00:16:48.200]  Because this is a broadcast for adults and serious people that actually want to know what's going on.
[00:16:50.779 --> 00:16:56.679]  So when I got up here a month ago and I said, Trump is about to cut off Netanyahu.
[00:16:56.840 --> 00:16:57.720]  Doesn't even communicate with him.
[00:16:58.100 --> 00:16:59.279]  Told Hegseth not to go meet with him.
[00:17:00.539 --> 00:17:01.759]  Hegseth canceled that visit.
[00:17:04.720 --> 00:17:06.279]  Be lucky to make it out of there alive.
[00:17:08.500 --> 00:17:18.720]  Because Israel, and when I say Israel, the Likudniks that have been, in one way or another, having a lot of control over the Pentagon and Congress, it's not all of Israel, it's the Likudniks.
[00:17:21.079 --> 00:17:22.460]  They think they run.
[00:17:23.079 --> 00:17:24.460]  U.S. foreign policy.
[00:17:24.740 --> 00:17:31.839]  They think that this country belongs to their agenda.
[00:17:33.640 --> 00:17:41.619]  And they are hopping mad that people are saying no to them.
[00:17:43.000 --> 00:17:52.990]  So all of the idiots that I've had to listen to on The left wing and the fake populist right wing.
[00:17:53.470 --> 00:17:56.730]  I'm not saying there's a, not a real populist right wing.
[00:17:56.849 --> 00:17:58.009]  I'm just saying the fake one.
[00:17:58.250 --> 00:18:00.769]  Oh, that Trump's a puppet of Israel.
[00:18:01.450 --> 00:18:03.130]  You don't know what you're talking about.
[00:18:04.670 --> 00:18:06.049]  Trump's not an enemy of Israel.
[00:18:06.809 --> 00:18:08.349]  And he wants success for everybody.
[00:18:08.509 --> 00:18:16.750]  But he's definitely not worshipping at the altar of AIPAC.
[00:18:18.410 --> 00:18:25.869]  Because if AIPAC wants to blow the world up, that's not good for everybody's businesses and lives and families.
[00:18:26.069 --> 00:18:38.109]  And so you have to take the keys away to nuclear doomsday from the megalomaniac lunatics.
[00:18:38.529 --> 00:18:40.509]  And there's plenty of them to go around.
[00:18:41.690 --> 00:18:45.250]  The EU and the globalists and all their megalomaniac behavior.
[00:18:48.169 --> 00:18:49.569]  We got too many weapons.
[00:18:49.950 --> 00:18:50.910]  The world's too dangerous.
[00:18:52.069 --> 00:18:54.269]  This type of garbage has to stop.
[00:18:57.109 --> 00:19:04.789]  So, Netanyahu doesn't just want to steal Trump's thunder and the big peace deals he's getting and the big economic deals.
[00:19:04.950 --> 00:19:05.190]  No, no.
[00:19:07.569 --> 00:19:12.650]  Netanyahu needs this because, remember, he said on October 7th, once this war is over, it'll be over in a year or so, he said.
[00:19:13.329 --> 00:19:15.829]  We'll be able to have an investigation of the standout and what happened.
[00:19:16.009 --> 00:19:20.130]  And he blamed the military leaders and they blamed him and said he basically did it.
[00:19:22.910 --> 00:19:30.029]  Well, obviously, he stood to gain from it and I would say Netanyahu was in charge.
[00:19:30.210 --> 00:19:31.329]  That's what the military said.
[00:19:33.150 --> 00:19:34.990]  So, he is the Prime Minister.
[00:19:35.410 --> 00:19:38.950]  So his attempt to blame them and then they said, no, buddy, it was you.
[00:19:39.089 --> 00:19:40.049]  He goes, okay, I apologize.
[00:19:40.049 --> 00:19:40.609]  Remember that?
[00:19:41.650 --> 00:19:42.650]  And now here we are.
[00:19:50.710 --> 00:19:54.230]  And Netanyahu says, this war is total.
[00:19:54.529 --> 00:19:55.970]  This war is full commitment.
[00:19:56.569 --> 00:19:58.829]  And there's quotes, this isn't going to stop.
[00:19:59.230 --> 00:20:00.529]  This is going to continue.
[00:20:00.529 --> 00:20:05.789]  We're going to take all the land and kick them all out, which he said they weren't going to do before.
[00:20:07.769 --> 00:20:13.130]  So basically, Netanyahu is becoming Ramses II.
[00:20:13.870 --> 00:20:20.210]  Trying to drive the Jews into the Red Sea.
[00:20:23.470 --> 00:20:25.390]  Now, let's be 100% clear.
[00:20:25.529 --> 00:20:34.269]  I'm not in a love affair with the Palestinians and the left and all there, but it's all just a set piece for global destabilization.
[00:20:34.670 --> 00:20:37.190]  And Netanyahu's even proposed sending them here.
[00:20:37.369 --> 00:20:38.450]  How about you keep them?
[00:20:38.710 --> 00:20:51.039]  My point is, is that Israel has defeated its enemies and the Iranian proxies all around it.
[00:20:51.440 --> 00:20:57.079]  And Trump got the Houthis to agree a week and a half ago to stop missiling the ships.
[00:20:57.180 --> 00:20:58.799]  But they're still at war with Netanyahu.
[00:20:59.799 --> 00:21:02.099]  And now they've been hitting the airport and everything else.
[00:21:02.240 --> 00:21:08.859]  And that's just a small taste of what the Iranians would do with tens of thousands of them.
[00:21:09.019 --> 00:21:09.839]  It's ridiculous.
[00:21:10.480 --> 00:21:12.859]  With conventional weapons, they will level Israel.
[00:21:13.079 --> 00:21:22.420]  Oh, and then great, Israel will nuke them, and then India and Pakistan and almost every war game are going to kick off a nuclear war, and there goes everything, people.
[00:21:23.700 --> 00:21:27.720]  Let's say they just contain it to a nuclear war between India and Pakistan, and China doesn't get involved.
[00:21:30.819 --> 00:21:32.579]  The world economy will crash.
[00:21:32.740 --> 00:21:34.660]  There'll be nuclear radiation in the sky.
[00:21:36.519 --> 00:21:40.380]  It will be a global meltdown disaster, bare minimum.
[00:21:44.519 --> 00:21:47.099]  But people have a normalcy bias.
[00:21:48.200 --> 00:21:49.960]  Well, we've had nuclear weapons.
[00:21:50.099 --> 00:21:52.220]  They've been proliferated for 60, 70 years.
[00:21:52.940 --> 00:21:57.460]  But they've been around for 80. That'll never happen.
[00:21:58.259 --> 00:22:00.759]  Bull.
[00:22:00.759 --> 00:22:05.089]  Thank you.
[00:22:05.099 --> 00:22:18.480]  We're that close, according to every major war game, think tank, defense ministry, and I make my own decisions and study war and history, and I concur with that 100%.
[00:22:18.480 --> 00:22:20.880]  And Trump says that, because it's true.
[00:22:22.519 --> 00:22:34.440]  You've got these little slime bag people like Macron and Starmer, and you've got the big black rocks behind them, and all because they...
[00:22:34.441 --> 00:22:37.461]  Have committee systems that they set policy by.
[00:22:37.500 --> 00:22:40.299]  They all feel insulated from the actions they take.
[00:22:40.480 --> 00:22:43.240]  Well, nobody's insulated from a full-born nuclear war.
[00:22:43.700 --> 00:22:44.259]  Okay?
[00:22:45.920 --> 00:22:59.119]  And it's just fitting that it's a bunch of weird, creepy, insectoid-looking bureaucrats, degenerates.
[00:23:01.980 --> 00:23:03.420]  I mean, look at those people.
[00:23:06.809 --> 00:23:09.210]  Trying to get us all killed.
[00:23:13.509 --> 00:23:15.329]  And of course that's cocaine on the table.
[00:23:15.650 --> 00:23:20.990]  Look how guilty they look like the cat getting caught with a canary in its mouth and how bombed out of their mind are.
[00:23:22.529 --> 00:23:24.769]  You've been around somebody on methamphetamine or cocaine.
[00:23:25.009 --> 00:23:25.890]  That's what they look like.
[00:23:27.950 --> 00:23:30.910]  And Keira Starmer is so desperate and so unpopular right now.
[00:23:31.190 --> 00:23:35.130]  He says, we risk becoming an island of strangers on a nation that walks forward together.
[00:23:35.599 --> 00:23:43.900]  Sir Keir Starmer announces measures which he says will help control the number of immigrants coming into the country to live and work when his party is the main group behind it.
[00:23:46.539 --> 00:23:49.579]  That's like Satan saying he'll keep his demons under control.
[00:23:54.140 --> 00:23:57.019]  Settlement in the UK is a privilege that is earned, not a right.
[00:23:58.819 --> 00:23:59.660]  That's today.
[00:24:00.880 --> 00:24:02.880]  Oh, he's a populist now.
[00:24:03.620 --> 00:24:09.759]  That's just why they arrest people that criticize the hordes of illegal aliens running around raping and killing.
[00:24:14.339 --> 00:24:17.380]  So, they're hitting the panic button.
[00:24:17.859 --> 00:24:19.420]  Here they are, kicking people's door down.
[00:24:19.599 --> 00:24:22.160]  You criticized open borders and Muslims raping people.
[00:24:22.319 --> 00:24:23.900]  You're going to jail for three years.
[00:24:24.019 --> 00:24:24.400]  Goodbye.
[00:24:24.859 --> 00:24:25.500]  No jury.
[00:24:25.900 --> 00:24:27.099]  The judge says guilty.
[00:24:27.859 --> 00:24:28.460]  Guilty.
[00:24:29.338 --> 00:24:35.168]  So...
[00:24:36.970 --> 00:25:05.960]  So, Netanyahu gets to be the center of the tension and the big war leader and you can't investigate him and he's got to stay in power because he's going to keep the war going and just repeat over and over again about how vicious and evil and animalistic and horrible the Muslims are and how the Hamas and Hamas Are lightweights compared to Al-Qaeda and ISIS and
[00:25:05.960 --> 00:25:13.259]  who has all come out, I told you about 25 years ago, but it's all come out in the documents, the USAID money, it's come out of Israel.
[00:25:13.579 --> 00:25:14.819]  Israel doesn't even deny it.
[00:25:16.700 --> 00:25:33.140]  Netanyahu, since he first got in office off and on 25 years ago, openly funds Al-Qaeda and then ISIS all over the Middle East and funded them and gave them air cover to take over Syria This year.
[00:25:37.779 --> 00:25:41.319]  And then put the global head of al-Qaeda in as their president.
[00:25:41.640 --> 00:25:46.940]  And I played CNN saying, well, he wasn't even al-Qaeda, but now he's reformed.
[00:25:49.420 --> 00:25:58.740]  So, we had our CIA and our neocons running and controlling and protecting al-Qaeda the whole time.
[00:26:00.969 --> 00:26:07.309]  Using them as the pretext to be able to invade and take over any country they wanted and take our rights.
[00:26:07.710 --> 00:26:16.150]  When George Lucas rewrote episode 3 of Star Wars that came out of Furious after 9-11, he was on the news and said, no, I think 9-11 is basically an inside job.
[00:26:16.529 --> 00:26:18.130]  And this is an allegory of that.
[00:26:18.210 --> 00:26:19.769]  And what's the senator do?
[00:26:19.890 --> 00:26:27.650]  He keeps hiring people to attack his own planet so that he gets elevated as a victim, and then he attacks the main imperial planet.
[00:26:28.009 --> 00:26:30.029]  When he's already the chancellor to become the emperor.
[00:26:32.769 --> 00:26:35.269]  And George Lucas said, yeah, that's Al-Qaeda.
[00:26:35.750 --> 00:26:36.170]  Exactly.
[00:26:36.809 --> 00:26:42.970]  I mean, Star Wars Episode III had a whole new script written for it and a whole new book because he originally wrote those books back in the 70s.
[00:26:43.009 --> 00:26:45.309]  He wrote all the stories first.
[00:26:47.308 --> 00:26:50.848]  He went and rewrote it for the allegory of Al-Qaeda.
[00:26:50.848 --> 00:26:57.067]  So, so, um, up.
[00:26:57.067 --> 00:26:58.228]  Bye.
[00:26:58.250 --> 00:27:00.369]  A space opera can explain it to you.
[00:27:00.470 --> 00:27:01.730]  Because you've been living it.
[00:27:02.750 --> 00:27:03.869]  Well, guess what?
[00:27:04.829 --> 00:27:07.670]  We're throwing Emperor Palpatine down the reactor shaft.
[00:27:08.809 --> 00:27:09.930]  No thank you.
[00:27:10.210 --> 00:27:13.670]  We'll be right back with Trump in Saudi Arabia and the giant developments there.
[00:27:13.829 --> 00:27:14.369]  Stay with us.
[00:27:18.470 --> 00:27:27.750]  So, Americans have gotten used in the last 25 years.
[00:27:28.170 --> 00:27:57.309]  To the neocons, and Benjamin Netanyahu's been in power off and on the whole time, attacking all these countries and invading all these countries and basing it all on lies and turning much of the world against us and taking the goodwill this country had and flushing it down the toilet, getting millions of people killed, including tens of thousands of our soldiers, and trillions that we've spent in Afghanistan, Iraq, all of it.
[00:27:58.990 --> 00:28:01.890]  But that's not what America was like before.
[00:28:02.109 --> 00:28:09.910]  Yeah, we fought communism, and the wars had their issues, but you claim there was some moral basis to it.
[00:28:11.029 --> 00:28:17.690]  And still, they were scams to make the military-industrial complex a lot of money and build up the industrial complex here.
[00:28:19.250 --> 00:28:26.210]  But now, the last 40 years, it's been de-industrialized America, but use us and use us up in these Middle East wars.
[00:28:27.470 --> 00:28:31.710]  While the country rotted out from the inside, positioning China for the takeover.
[00:28:33.380 --> 00:28:37.220]  Trump is going down the line, reversing every aspect of that.
[00:28:37.269 --> 00:28:43.270]  Thank you.
[00:28:43.349 --> 00:28:50.130]  And all the globalists have left is crisis creation.
[00:28:51.150 --> 00:28:56.250]  Domestic, unrest, economic calamity.
[00:28:56.940 --> 00:28:57.500]  Sabotage.
[00:28:57.640 --> 00:28:58.019]  War.
[00:28:59.160 --> 00:29:15.900]  And Netanyahu is running around doing the very best job he can to blow the Middle East sky high a month after Trump quit taking his phone calls.
[00:29:18.960 --> 00:29:26.660]  About three weeks ago, and I told you when he was at the White House with Netanyahu almost a month ago, I said, That's it.
[00:29:26.740 --> 00:29:27.359]  He's cut him off.
[00:29:28.039 --> 00:29:30.640]  And, of course, it came out last week.
[00:29:30.759 --> 00:29:31.339]  That was the case.
[00:29:31.720 --> 00:29:32.740]  Kind of a big issue.
[00:29:34.920 --> 00:29:46.579]  Just like when I told you Kennedy will announce on a Monday, this Friday, with Trump, that he's endorsing Trump.
[00:29:48.339 --> 00:29:49.500]  And, of course, it was true.
[00:29:50.000 --> 00:29:50.960]  People said that's crazy.
[00:29:51.180 --> 00:29:53.220]  You saw it happen right like I said.
[00:29:55.349 --> 00:29:56.630]  At a rally, I said.
[00:29:57.509 --> 00:30:00.150]  It wasn't going to be L.A. They moved it to Tucson.
[00:30:02.569 --> 00:30:08.589]  And when I tell you that Trump was done, it wasn't the big news that I got a big story.
[00:30:08.710 --> 00:30:18.410]  It's the big news that he totally woke up and said, Netanyahu's trying to control our policy with war and trying to stay in power, and I'm done.
