[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[00:02:10.719 --> 00:02:20.139]  Helicopters, the articles on Infowars.com, scanned for nuclear irregularities over D.C. as Secret Service prepares for worst-case scenario at the inauguration.
[00:02:21.550 --> 00:02:24.129]  Trump inauguration potential target of threats.
[00:02:24.550 --> 00:02:26.490]  Agency warns Politico.
[00:02:27.229 --> 00:02:30.009]  Nancy Pelosi is skipping Trump's inauguration.
[00:02:31.129 --> 00:02:35.949]  Kid Rock teased off on angry Michelle Obama for blowing off Trump's inauguration.
[00:02:36.210 --> 00:02:39.349]  Got a full list of Democrats that are skipping it.
[00:02:39.490 --> 00:02:40.169]  It's big.
[00:02:41.030 --> 00:02:50.289]  Pastor who precisely prophesied Trump getting shot in the ear three months before it happened, warns of orchestrated attacks on Trump's inauguration with truck bombs.
[00:02:53.229 --> 00:02:57.270]  So we're gonna be obviously going over all of that here today.
[00:02:57.550 --> 00:02:59.810]  Here is a clip from CBS News.
[00:03:00.189 --> 00:03:04.870]  An exclusive look at how security officials are prepared after months of planning.
[00:03:06.169 --> 00:03:07.389]  So, crane to your left.
[00:03:07.569 --> 00:03:07.909]  Got it.
[00:03:08.310 --> 00:03:12.689]  From only 150 feet in the air, pilots dodge buildings.
[00:03:12.909 --> 00:03:13.930]  Head tower to your left side.
[00:03:15.179 --> 00:03:22.599]  Flying in a grid over the National Mall to scan for radiological or nuclear irregularities, threats like dirty bombs.
[00:03:22.759 --> 00:03:28.539]  So you're trying to create a blueprint of what the radiation in Washington, D.C. looks like ahead of the inauguration?
[00:03:28.639 --> 00:03:28.800]  Correct.
[00:03:29.199 --> 00:03:36.680]  Department of Energy scientist Jacqueline Brandon calls this low-flying helicopter, one of just two of its kind, her office.
[00:03:36.939 --> 00:03:40.379]  If we find a radiological irregularity, we'll investigate it even further.
[00:03:40.840 --> 00:03:44.060]  Highly sensitive technology sets off alarms in the air.
[00:03:44.259 --> 00:03:45.020]  That's an alarm.
[00:03:45.180 --> 00:03:45.960]  That is an alarm.
[00:03:47.039 --> 00:03:50.199]  It's a slight variation in our spectra is what it's saying.
[00:03:51.000 --> 00:03:51.780]  All right.
[00:03:52.300 --> 00:03:58.330]  Now that's a standard procedure, but we've got the FBI saying they're worried about Terror attacks.
[00:03:58.569 --> 00:03:59.590]  They've got an alert going.
[00:03:59.969 --> 00:04:04.990]  They're worried about copycat attacks of what we saw three weeks ago in New Orleans with the truck attack.
[00:04:05.990 --> 00:04:12.050]  You've got the Antifa leftist groups on their main websites, their main groups, funded by Soros saying they're planning something.
[00:04:12.509 --> 00:04:19.410]  And the left, though, overall has been pretty quiet, and that concerns me, but I really don't think they're going to hit Trump at the inauguration.
[00:04:20.149 --> 00:04:21.170]  That's too obvious.
[00:04:21.810 --> 00:04:25.790]  They're going to wait until he's president.
[00:04:26.439 --> 00:04:30.360]  And then they're going to stage attacks on migrants and blame it on Trump.
[00:04:30.540 --> 00:04:31.720]  They've already telegraphed that.
[00:04:31.879 --> 00:04:32.620]  That's their next move.
[00:04:33.079 --> 00:04:37.298]  That doesn't mean we shouldn't be frosty right now and watching R6.
[00:04:37.319 --> 00:04:37.918]  Stay with us.
[00:04:37.968 --> 00:04:48.747]  It's Friday, January 17th, 2025.
[00:04:48.747 --> 00:04:53.437]  Trump's inaugurated in three days and big things are going down.
[00:04:53.449 --> 00:04:55.730]  InfoWars, tomorrow's news, today.
[00:04:56.689 --> 00:05:01.089]  Just like this silver flare coming back to the...
[00:05:01.089 --> 00:05:07.470]  Once again, we are standing by for attempting to catch the booster at the tower.
[00:05:07.769 --> 00:05:10.230]  This would be the second tower catch.
[00:05:10.529 --> 00:05:11.329]  Booster landing fire.
[00:05:13.110 --> 00:05:14.250]  CN13 engines.
[00:05:18.250 --> 00:05:22.110]  Booster now hovering as it aligns with the tower for catch.
[00:05:23.529 --> 00:05:24.970]  Booster coming in.
[00:05:25.370 --> 00:05:26.810]  Get ready for that boom.
[00:05:26.929 --> 00:05:28.929]  Down to three engines.
[00:05:28.929 --> 00:05:52.288]  You heard it here.
[00:05:52.329 --> 00:05:56.409]  Maxzilla has caught the booster.
[00:05:56.410 --> 00:06:01.569]  Once again, for the second time, a successful catch by the launch tower.
[00:06:01.590 --> 00:06:08.509]  This is the same tower, the launch pad, where that booster took off from just seven and a half minutes ago.
[00:06:08.509 --> 00:06:20.690]  It is Friday, January 17th, 2025.
[00:06:20.690 --> 00:06:30.750]  We are two and a half days out from the inauguration of the comeback king, Donald John Trump.
[00:06:30.750 --> 00:06:34.629]  you Thank you.
[00:06:34.639 --> 00:06:45.720]  Humanity's never had a clear choice with Trump and Elon Musk and the American people and populist movements exploding in their popularity across the world.
[00:06:46.300 --> 00:06:51.519]  Do you want the new great renaissance, the great awakening, or do you want...
[00:06:52.040 --> 00:06:54.319]  Neo-feudalism and the Great Reset.
[00:06:54.819 --> 00:07:02.860]  Do you want Bill Gates and Klaus Schwab and King Charles with their death cult cutting off the resources and waging war against humanity?
[00:07:05.500 --> 00:07:14.420]  Or do you want optimism and innovation and maverick exploration that inspires humanity?
[00:07:16.610 --> 00:07:41.569]  That is the clear fork in the road that we have been at for the last few years, and we have chosen, humanity has chosen overwhelmingly, despite all the bullying and attacks and lawfare and intimidation and threats of nuclear war and economic warfare against the people and the energy being cut off.
[00:07:42.110 --> 00:07:46.509]  Globalists financing criminal gangs to run wild and human trafficking and the pedophile rings.
[00:07:47.389 --> 00:07:56.129]  Despite all of that, humanity's come back strong everywhere, demanding control of their free will and their destiny.
[00:07:58.089 --> 00:08:03.250]  Now, we have an incredibly important transmission lined up for you today.
[00:08:03.250 --> 00:08:08.009]  You can cut the suspense and everything that's happening around us with a knife.
[00:08:09.089 --> 00:08:10.470]  Do we want the...
[00:08:10.810 --> 00:08:15.449]  Bureaucratic arson and sabotage of the Great Reset and Agenda 2030?
[00:08:16.589 --> 00:08:19.769]  And the servile minions of Satan in control?
[00:08:20.370 --> 00:08:23.569]  Or do we want innovation?
[00:08:24.389 --> 00:08:26.810]  Do we want human expansion?
[00:08:27.610 --> 00:08:40.110]  Do we want to believe in humanity and have competition and celebrate the great things we've done and oppose and wage cultural and economic and spiritual war?
[00:08:40.759 --> 00:08:41.559]  Against evil.
[00:08:43.360 --> 00:08:48.820]  You've got John Lennon's famous song, and I like John Lennon and know the family and the rest of it.
[00:08:48.879 --> 00:08:57.779]  I don't think he was a bad guy, but if you listen to the lyrics of his song, imagine you guys get a chance to put that up on screen just to start of it.
[00:08:59.340 --> 00:09:03.440]  It's pure moral relativism.
[00:09:05.220 --> 00:09:09.240]  Imagine there's no heaven, no hell, no good, no bad.
[00:09:10.570 --> 00:09:12.070]  We're just floating around.
[00:09:12.610 --> 00:09:14.429]  There's no point to any of it.
[00:09:15.769 --> 00:09:17.509]  There's no rules of the universe.
[00:09:17.669 --> 00:09:19.190]  That's a lie.
[00:09:19.669 --> 00:09:23.710]  And every time you have that attitude, evil fills the vacuum.
[00:09:25.909 --> 00:09:31.070]  But organized evil was making its move to fully enslave humanity.
[00:09:31.629 --> 00:09:34.009]  And all it did was wake up our species.
[00:09:34.789 --> 00:09:36.330]  Imagine there's no heaven.
[00:09:36.830 --> 00:09:38.309]  It's easy if you try.
[00:09:38.909 --> 00:09:40.490]  No hell below us.
[00:09:41.529 --> 00:09:43.049]  Above us only sky.
[00:09:43.950 --> 00:09:48.490]  Imagine all the people living for today.
[00:09:49.669 --> 00:09:51.169]  Imagine there's no countries.
[00:09:51.570 --> 00:09:52.909]  It isn't hard to do.
[00:09:54.029 --> 00:09:55.789]  Nothing to kill or die for.
[00:09:56.009 --> 00:09:57.149]  And no religion too.
[00:09:57.929 --> 00:10:00.789]  Imagine all the people living in peace.
[00:10:01.009 --> 00:10:01.250]  You.
[00:10:01.789 --> 00:10:03.590]  You may say I'm a dreamer.
[00:10:03.769 --> 00:10:05.370]  But I'm not the only one.
[00:10:05.730 --> 00:10:07.649]  I hope someday you'll join us.
[00:10:08.039 --> 00:10:09.700]  And the world will be as one.
[00:10:11.399 --> 00:10:12.580]  Where have I heard this before?
[00:10:12.720 --> 00:10:14.419]  Oh, the WEF, you'll own nothing and be happy.
[00:10:15.019 --> 00:10:20.419]  Imagine no possessions, even your own soul, even your own will, even your children, your property, everything.
[00:10:20.740 --> 00:10:22.279]  I wonder if you can.
[00:10:22.799 --> 00:10:24.360]  No need for greed or hunger.
[00:10:24.980 --> 00:10:26.279]  A brotherhood of man.
[00:10:26.580 --> 00:10:28.720]  Imagine all the people sharing all the world.
[00:10:30.139 --> 00:10:32.679]  You may say I'm a dreamer, but I'm not the only one.
[00:10:33.139 --> 00:10:35.980]  I hope someday you'll join us and the world will be as one.
[00:10:40.740 --> 00:11:00.600]  Pelham is like the anglerfish's lantern, that it hangs out thousands of feet under the water in the cold darkness, and fish are attracted to the light, and they come to it, but right behind it in the dark is the giant long black things.
[00:11:04.840 --> 00:11:12.169]  If you don't have a compass, if you don't stand for something, Well, you know the stanza from Aaron Tippin.
[00:11:12.809 --> 00:11:16.850]  You've got to stand for something or you'll fall for anything.
[00:11:17.309 --> 00:11:21.409]  You've got to be your own man, not a puppet on a string.
[00:11:22.029 --> 00:11:26.250]  Never compromise what's right and uphold your family name.
[00:11:26.450 --> 00:11:30.590]  You've got to stand for something or you'll fall for anything.
[00:11:31.470 --> 00:11:33.370]  Now, Daddy, he didn't like trouble.
[00:11:35.350 --> 00:11:44.559]  But if it came around, Everyone that knew him knew which side that he'd be on.
[00:11:47.639 --> 00:11:57.659]  He was never a hero or this county's guiding light, but you could always count on him standing up for what he thought was right.
[00:12:00.080 --> 00:12:05.360]  Those two songs are the polar opposites of what we deal with.
[00:12:10.090 --> 00:12:13.889]  You've got to stand for something or you'll fall for anything.
[00:12:15.129 --> 00:12:31.870]  And take science, take mathematics, take Elon Musk a decade ago from nothing, goes and builds SpaceX that now has launched more rockets and more exploration in just a decade than all other space exploration in the last 90 years.
[00:12:34.070 --> 00:12:37.629]  Because of pushing and driving and innovating.
[00:12:39.960 --> 00:12:41.720]  There are rules to the universe.
[00:12:42.879 --> 00:12:46.039]  NASA couldn't get anything done anymore because there's a bunch of bureaucrats sitting around.
[00:12:48.960 --> 00:12:57.940]  But you've got to believe in humanity and believe in humanity going interplanetary and believe in us becoming a type 1 civilization, meaning we can survive without the Earth, to save the Earth.
[00:12:59.240 --> 00:13:05.379]  And so today, we have a massive transmission.
[00:13:06.039 --> 00:13:08.620]  We have a former member of parliament and major whistleblower.
[00:13:09.600 --> 00:13:25.379]  Joining us to expose the government-run pedophile rings and how they're even killing the children and harvesting their organs.
[00:13:25.379 --> 00:13:26.519]  That's in the second hour.
[00:13:27.720 --> 00:13:30.039]  You want to know how deep the rabbit hole goes?
[00:13:32.299 --> 00:13:36.820]  You'll definitely want to stay with us for hour number two.
[00:13:39.559 --> 00:13:42.899]  Because that whole system is coming down.
[00:13:43.840 --> 00:13:46.539]  Andrew Bridgeton will be joining us.
[00:13:48.740 --> 00:13:54.500]  Now, here's what I have on the table, and let's put that live show headline back up.
[00:13:55.539 --> 00:13:57.580]  Nuclear Terrorism Alert.
[00:13:59.299 --> 00:14:06.320]  Federal helicopters are searching D.C. for signs of radioactive material three days before the inauguration of President Trump.
[00:14:06.860 --> 00:14:10.320]  The FBI has also issued a warning that terrorists may be planning an attack.
[00:14:12.960 --> 00:14:17.240]  If you go to X at Real Alex Jones, it's the same headline I wrote it five minutes before I went live.
[00:14:18.460 --> 00:14:19.100]  Take it.
[00:14:19.779 --> 00:14:20.399]  Share it.
[00:14:22.080 --> 00:14:25.100]  I'll give you my breakdown on it, the different angles and what we face.
[00:14:25.740 --> 00:14:31.980]  I will tell you point blank, I do not believe that there will be a globalist organized attack.
[00:14:32.360 --> 00:14:36.919]  There are a lot of lunatics and crazies out there, so something I think there will be some type of violence.
[00:14:37.240 --> 00:14:39.379]  I know Trump supporters will get attacked and beat up.
[00:14:39.799 --> 00:14:40.840]  That always happens.
[00:14:41.340 --> 00:14:42.480]  I've been there and seen it.
[00:14:46.460 --> 00:14:48.960]  They'll also...
[00:14:48.960 --> 00:14:56.820]  Probably be some other events around the country, some rioting.
[00:14:57.580 --> 00:14:59.600]  But I think it'll be limited.
[00:15:00.740 --> 00:15:07.320]  No, it's too obvious if the globalists hit Trump in D.C. They're going to hit him once he's in.
[00:15:08.899 --> 00:15:10.899]  Or before he gets inaugurated.
[00:15:11.080 --> 00:15:13.840]  The next two and a half days is so critical.
[00:15:14.019 --> 00:15:14.779]  What a danger zone.
[00:15:15.360 --> 00:15:19.559]  But at that event, a lot of factors go into it.
[00:15:19.720 --> 00:15:24.039]  I don't think there's going to be a tactical nuke or something go off.
[00:15:24.200 --> 00:15:36.259]  But I'm the one months before Trump won and said he would win in a landslide that would be a smaller landslide because There was so much fraud, he had to have a huge landslide to overpower it.
[00:15:37.000 --> 00:15:38.179]  That exactly happened.
[00:15:38.879 --> 00:15:42.360]  And I saw the pre-programming that Iran could be smuggling nukes in.
[00:15:43.539 --> 00:15:48.179]  And they could nuke D.C. with a small nuke.
[00:15:48.299 --> 00:15:49.500]  They'll kill a bunch of their own people.
[00:15:49.720 --> 00:15:50.720]  They're just puppets.
[00:15:50.899 --> 00:15:53.899]  But they would take out the Trump leadership and some of the best people we've got.
[00:15:58.759 --> 00:15:59.159]  Now...
[00:15:59.690 --> 00:16:03.129]  Looking at that, they would not get away with it and no one would buy it.
[00:16:04.629 --> 00:16:09.549]  But they're crazy enough to do that.
[00:16:10.769 --> 00:16:13.769]  That's still a super wild gamble.
[00:16:14.970 --> 00:16:25.049]  And our enemies are off balance, discredited, in shambles right now, badly coordinated.
[00:16:25.960 --> 00:16:34.039]  And they've already pre-prepared and pre-programmed and already run this before in 2020, but a test case to create some pretext.
[00:16:34.240 --> 00:16:36.799]  I mean, they use George Floyd, for heaven's sakes, for all that carnage.
[00:16:37.320 --> 00:16:40.539]  Burning cities, billions destroyed, dozens killed.
[00:16:42.679 --> 00:16:44.620]  The Democrats, Soros, funding it all.
[00:16:45.120 --> 00:16:52.899]  They've said they're going to have uprisings once Trump's in because, quote, he's going to attack and kill the migrants and the black people.
[00:16:53.639 --> 00:16:55.299]  And, of course, that's...
[00:16:55.179 --> 00:17:08.759]  Idiotic, and there's no evidence of that in the real world, but they're going to provide the events in a big illegal alien Democrat protest in L.A. or in Denver or in Austin or in Chicago or in New York.
[00:17:09.279 --> 00:17:11.420]  And then somebody truck bombs a bunch of them.
[00:17:11.559 --> 00:17:13.400]  Somebody shoots a bunch of people.
[00:17:13.799 --> 00:17:14.759]  The patsy gets killed.
[00:17:16.440 --> 00:17:17.819]  He's a Trump supporter.
[00:17:19.259 --> 00:17:23.220]  And notice Iran's been coming out saying, hey, look, we're not going to nuke you.
[00:17:23.500 --> 00:17:24.839]  We're not trying to kill Trump.
[00:17:25.640 --> 00:17:28.900]  Your deep state may kill him and blame us, which is absolutely true.
[00:17:32.079 --> 00:17:37.940]  And I said before they started scapegoating that Iran would try to kill Trump, that they were going to start pre-programming that.
[00:17:38.640 --> 00:17:42.160]  A few days after they tried to kill Trump and Butler, I said, watch, they'll try to pin this on Iran.
[00:17:42.380 --> 00:17:45.519]  They'll try to pin their next attempts on him, and damn, I wasn't dead on.
[00:17:46.380 --> 00:17:55.390]  So again, I've looked at every angle of this, and I don't see that happening.
[00:17:56.329 --> 00:18:11.150]  Now, that said, I get a little concerned when a whole bunch of top Democrats, including Nancy Pelosi and Big Mike, aka Michelle Obama, and others are not going.
[00:18:14.569 --> 00:18:18.930]  So, it's creepy.
[00:18:23.369 --> 00:18:27.930]  I have more to say on that coming up, and we'll go through it, the different scenarios.
[00:18:28.490 --> 00:18:30.409]  That's a very important stack.
[00:18:30.470 --> 00:18:53.519]  Then we have what the incoming Trump administration is already getting done with Putting the pressure on to shut down the Ukraine war.
[00:18:54.640 --> 00:18:56.720]  Announcing they're going to ban men and women's sports.
[00:18:58.000 --> 00:19:00.579]  The FBI dumping its DEI program.
[00:19:00.859 --> 00:19:03.279]  I mean, I've got a huge stack of amazing things happening.
[00:19:03.640 --> 00:19:06.160]  The Border Patrol already is acting like Trump's in charge.
[00:19:06.319 --> 00:19:10.799]  It's already rounding up illegal aliens and smugglers all over the country.
[00:19:10.940 --> 00:19:11.960]  I've got tons of that happening.
[00:19:12.200 --> 00:19:17.440]  Local news freaking out in Texas, freaking out in Colorado, freaking out in California.
[00:19:18.829 --> 00:19:42.910]  We also have even more just piles of evidence of the absolute bureaucratic stand-down and sabotage and institutionalized arson with the Los Angeles fires and how it's set up to give the Democrat Party hundreds of billions of dollars of emergency relief rebuilding funds that they'll then hand out to their buddies.
[00:19:42.910 --> 00:19:44.569]  So there's your motive right there as usual.
[00:19:45.069 --> 00:19:55.250]  Gavin Newsom doing interviews, just bobbing and weaving and having an orgasm and just so happy about how he's going to have his commission that's suspended all the laws and property rights, going to take everybody's land.
[00:19:56.029 --> 00:19:59.390]  I mean, he's such a villain and he can't even hide it.
[00:19:59.569 --> 00:20:01.170]  It's like pure evil on display.
[00:20:02.410 --> 00:20:06.789]  I mean, in his case, the cover matches the interior of the content.
[00:20:07.950 --> 00:20:09.869]  The cover matches the book.
[00:20:09.990 --> 00:20:11.309]  They say, don't judge a book by its cover.
[00:20:11.430 --> 00:20:13.910]  Well, in the case of him, I mean, it's just...
[00:20:14.579 --> 00:20:15.019]  Creepazoid.
[00:20:15.180 --> 00:20:16.039]  Makes my skin crawl.
[00:20:17.539 --> 00:20:20.160]  And just, oh, yes.
[00:20:20.400 --> 00:20:22.980]  We're going to stop any people taking advantage.
[00:20:23.319 --> 00:20:26.339]  We'll be in full control of the money and who can keep what.
[00:20:26.559 --> 00:20:27.880]  Oh, the money will go through me.
[00:20:28.220 --> 00:20:31.799]  I don't know where I've launched an investigation independent that I run of myself.
[00:20:34.059 --> 00:20:35.480]  Oh, there was plenty of water.
[00:20:35.579 --> 00:20:36.180]  Trump's lying.
[00:20:36.559 --> 00:20:37.900]  The reservoirs are full.
[00:20:38.180 --> 00:20:40.859]  Yeah, you blocked the water coming in.
[00:20:40.858 --> 00:20:54.809]  I mean it's just cuckoo And I want to get into the fact that America's back Trump's ready for war to dismantle the deep state.
[00:20:57.650 --> 00:20:59.269]  And the people are ready for war.
[00:20:59.569 --> 00:21:07.529]  And the attitude of his incoming people is 97% where they should be, in my view.
[00:21:07.930 --> 00:21:09.569]  Just disregard the Democrats.
[00:21:09.849 --> 00:21:10.849]  Don't even respond to them.
[00:21:10.950 --> 00:21:11.690]  They're discredited.
[00:21:11.950 --> 00:21:14.349]  The only places they're still in control is because of election fraud.
[00:21:14.490 --> 00:21:15.410]  That's all coming out.
[00:21:16.119 --> 00:21:17.880]  Don't even pay them lip service.
[00:21:18.140 --> 00:21:21.660]  Just know we're banning men in women's bathrooms and in women's sports.
[00:21:21.940 --> 00:21:28.740]  No, we're banning surgeries, cutting people's genitals off until they're 18. You want to get your genitals cut off when you're 18?
[00:21:28.960 --> 00:21:29.700]  It's a free country.
[00:21:29.819 --> 00:21:30.660]  We ain't paying for it.
[00:21:30.799 --> 00:21:32.700]  Just no, no, no, no.
[00:21:32.900 --> 00:21:37.940]  No, we're not embarrassed of coal and oil and natural gas, and it's the best.
[00:21:38.160 --> 00:21:44.759]  And China's building hundreds of new plants a year and kicking our ass, and we're turning it all on and just shut up.
[00:21:48.619 --> 00:21:50.059]  And that is the attitude.
[00:21:50.380 --> 00:21:54.539]  The spell has been 98% broken.
[00:21:55.140 --> 00:21:58.099]  And I love J.D. Vance.
[00:21:58.240 --> 00:22:01.000]  Super smart, amazing, great guy.
[00:22:01.140 --> 00:22:04.180]  Defended me back when nobody was when he first got in the Senate when it wasn't cool.
[00:22:05.359 --> 00:22:09.079]  But, you know, oh, well, if somebody attacked the cops, well, they need to stay in prison.
[00:22:09.599 --> 00:22:10.839]  It was a setup.
[00:22:11.299 --> 00:22:12.980]  Every case I've looked at is a lie.
[00:22:13.220 --> 00:22:14.279]  No, release them all.
[00:22:17.009 --> 00:22:18.758]  Stop paying lip service.
[00:22:18.758 --> 00:22:27.357]  Bunch of feds attack the riot cops.
[00:22:28.759 --> 00:22:33.900]  And the riot cops started shooting rubber bullets and tear gas at a bunch of people.
[00:22:34.119 --> 00:22:35.000]  The crowd got pissed.
[00:22:35.140 --> 00:22:35.880]  Provocateurs were in it.
[00:22:36.259 --> 00:22:40.920]  Pushed a bunch of mainly women and people up to the front who couldn't even get out of there.
[00:22:41.359 --> 00:22:45.099]  Shoved them in the police who beat them to death and shot them in the face and shot them in the neck.
[00:22:48.779 --> 00:22:53.460]  Then the cops staged arrest of the feds, took them inside, high-fived them, took their handcuffs off.
[00:22:53.619 --> 00:22:55.819]  I want those people indicted.
[00:22:56.619 --> 00:23:02.539]  I want the coup orchestrators, because they meant to set us up for an attempted coup.
[00:23:02.880 --> 00:23:04.700]  It wasn't an insurrection, nobody brought guns.
[00:23:04.900 --> 00:23:05.720]  It was a setup.
[00:23:07.319 --> 00:23:08.500]  Release them all!
[00:23:10.079 --> 00:23:15.599]  My God, Biden's pardoning murderers and child molesters.
[00:23:19.569 --> 00:23:22.670]  Bowing to any of their crap.
[00:23:22.950 --> 00:23:24.210]  Pay them no lip service.
[00:23:24.509 --> 00:23:26.970]  Except tell the left, fuck you.
[00:23:27.829 --> 00:23:28.750]  You want my response?
[00:23:29.289 --> 00:23:34.730]  I have the New York Times, Washington Post, Bloomberg, every day, inboxes, hundreds of media requests.
[00:23:35.470 --> 00:23:38.430]  Started about six, seven years ago, I would just send back F you to them.
[00:23:38.450 --> 00:23:39.250]  I don't even do that now.
[00:23:39.789 --> 00:23:40.890]  That's what Tucker sends them.
[00:23:40.890 --> 00:23:41.650]  He goes, F you.
[00:23:44.890 --> 00:23:46.410]  Because they never actually quote you.
[00:23:46.609 --> 00:23:48.410]  They pretend they talk to you so they can twist.
[00:23:49.069 --> 00:23:50.230]  They're not media.
[00:23:50.769 --> 00:23:52.130]  They're frauds.
[00:23:52.470 --> 00:23:53.589]  They're liars.
[00:23:53.789 --> 00:23:59.309]  And no one that has two brain cells they can rub together buys any of their horse crap.
[00:23:59.490 --> 00:24:00.309]  We have the initiative.
[00:24:00.529 --> 00:24:01.390]  We have the ball.
[00:24:01.549 --> 00:24:02.549]  We tell the truth.
[00:24:02.869 --> 00:24:07.069]  We want justice, freedom, prosperity, innovation, competition, inspiration.
[00:24:09.230 --> 00:24:10.549]  And we're done!
[00:24:12.150 --> 00:24:14.609]  All over the world, populists are winning.
[00:24:14.829 --> 00:24:15.529]  And what are they doing?
[00:24:15.829 --> 00:24:18.029]  Canceling elections, suspending elections.
[00:24:18.579 --> 00:24:26.039]  arresting the opposition leaders, shooting people, stabbing people, killing people, prime ministers, presidents.
[00:24:26.039 --> 00:24:36.868]  That's all coming up.
[00:24:36.838 --> 00:24:38.758]  and then something I'm going to hit.
[00:24:38.758 --> 00:24:46.937]  I'm going to do this now.
[00:24:46.958 --> 00:24:48.768]  Thank you.
[00:24:48.779 --> 00:24:49.660]  When we come back.
[00:24:54.019 --> 00:25:01.480]  I just did a short little breakdown yesterday and said in Biden's farewell address, he declared war on Elon Musk.
[00:25:04.079 --> 00:25:08.180]  And it got like, you know, 18 million views or something as of this morning.
[00:25:08.420 --> 00:25:16.519]  And I saw a community note saying, Alex Jones took one clip of Biden's farewell address in another clip, and you can notice it's two different dates.
[00:25:18.270 --> 00:25:21.250]  And pretended like they declared war on Elon Musk.
[00:25:24.369 --> 00:25:24.930]  No.
[00:25:25.630 --> 00:25:37.569]  I talked about in the clip that Biden said two years ago, I want the federal agencies to go after Musk, particularly the Securities and Exchange Commission, which has now done that.
[00:25:38.890 --> 00:25:45.690]  And when he talks about tech oligarchs, he's talking about Elon Musk being the main threat to America because he stood up to him.
[00:25:46.509 --> 00:25:48.690]  Obviously, they've declared war on Elon Musk.
[00:25:49.470 --> 00:25:50.869]  And we need to understand that.
[00:25:51.410 --> 00:26:01.430]  So I decided this morning, and the problem is there's too much, to just get some of the declaration of war against him for you.
[00:26:01.609 --> 00:26:05.609]  Since the community notes, which is generally good, it's way better than fake fact checkers.
[00:26:06.250 --> 00:26:08.369]  But, I mean...
[00:26:08.410 --> 00:26:18.569]  There's not a war declared on Elon Musk by all these governments in the EU and Keira Starmer and all of them and Kremlin investigations and fines and seizing Starlink in Brazil.
[00:26:19.349 --> 00:26:20.869]  I mean, give me a break.
[00:26:22.470 --> 00:26:30.009]  But it's just like when they really started deplatforming me and suing me and attacking me and trying to indict me eight years ago.
[00:26:30.230 --> 00:26:32.369]  At first, they'd be like, Jones claims he's being censored.
[00:26:32.490 --> 00:26:34.730]  Sure, he's been taking off everything, but that's not really censorship.
[00:26:37.379 --> 00:26:40.720]  They attack you and they want to gaslight you and tell you you're not being attacked.
[00:26:41.519 --> 00:26:49.299]  So my defense of Musk is because he is, other than Trump, the number one weapon we've got that's burning our enemies down, annihilating them.
[00:26:50.079 --> 00:26:51.599]  And then we have to ask why.
[00:26:51.740 --> 00:26:54.519]  Well, let's look at what he's doing that we should get behind.
[00:26:55.059 --> 00:26:56.019]  Because here's the deal.
[00:26:56.680 --> 00:26:59.599]  Elon Musk has come over to my position on the compass exactly.
[00:27:00.400 --> 00:27:02.660]  So I'm not being caught by Elon Musk.
[00:27:02.839 --> 00:27:04.140]  Elon Musk is awake.
[00:27:04.490 --> 00:27:07.549]  And is our number one most valuable player in the fight against the death cult.
[00:27:08.089 --> 00:27:11.670]  We've put out five previous collectible...
[00:27:12.409 --> 00:27:13.210]  Infowars coins.
[00:27:13.490 --> 00:27:15.690]  And they're all amazing and people love them.
[00:27:15.869 --> 00:27:19.970]  And folks are buying them on the collectible market, in many cases, three times what we sold them for.
