# Transcription model: large-v3-turbo
[00:00:05.099 --> 00:00:06.759]  You're now entering.
[00:02:09.659 --> 00:02:10.979]  Huge developments there.
[00:02:11.340 --> 00:02:26.659]  Then more on Chief Justice Roberts and this secret private corporate intelligence operation with the DOJ and others where they can basically run deep state operations and pay off operations behind the scenes.
[00:02:26.800 --> 00:02:28.639]  New big developments on that.
[00:02:29.379 --> 00:02:36.919]  Huge developments on Trump accelerating the containment of the border.
[00:02:37.199 --> 00:02:42.840]  95% now shut down compared to what was happening just a few months ago.
[00:02:43.080 --> 00:02:43.740]  Huge success.
[00:02:43.939 --> 00:02:47.419]  More successful just in 61 days than he...
[00:02:47.580 --> 00:02:49.840]  Got to in four years in his first administration.
[00:02:50.020 --> 00:02:51.340]  He got 94% containment there.
[00:02:51.860 --> 00:02:58.360]  Huge deportations now ramping up as ICE finds its legs.
[00:02:58.680 --> 00:03:10.500]  We also have DOJ opens probe into Intel leak related to what's happening with all the different leaks that have been taking place inside the DOJ to the media.
[00:03:10.500 --> 00:03:15.379]  There's also a criminal investigation that has been opened up.
[00:03:15.599 --> 00:03:30.139]  Into the New York Times leaking all of the fake news that Musk yesterday was supposedly going to get a briefing on the secret U.S. war plans with Russia.
[00:03:30.139 --> 00:03:41.060]  Just totally made up, but it's still an illegal leak for those sources inside the Pentagon to give classified information and then to lie about classified information.
[00:03:41.060 --> 00:03:42.199]  So that's...
[00:03:42.199 --> 00:03:43.679]  Very, very important.
[00:03:43.919 --> 00:03:59.340]  We have Trump revoking the security clearances of Hillary Clinton, Kamala Harris, and a whole bunch of other globalist leftists, pulling more national security clearances being pulled from these big Democratic Party law firms,
[00:03:59.500 --> 00:04:02.840]  Musk threatening to sue for Democrat ex-Rep Jamal Bowman.
[00:04:03.080 --> 00:04:11.460]  They got to pull the fire alarm, calls him a Nazi and a thief during TV news appearances with absolutely no proof.
[00:04:11.800 --> 00:04:27.160]  Of that, all this and more coming up today, we have boxing legend George Foreman passes away.
[00:04:27.319 --> 00:04:28.519]  I love George Foreman.
[00:04:28.720 --> 00:04:39.199]  At 76, he had been in great cardiovascular health, but he reportedly took eight of the Pfizer shots and was a big proponent of it and a big promoter of it and a big...
[00:04:39.550 --> 00:04:40.410]  Pusher of it.
[00:04:40.529 --> 00:04:41.290]  Be a hero.
[00:04:41.449 --> 00:04:42.129]  Protect other people.
[00:04:42.250 --> 00:04:42.790]  Take the shot.
[00:04:42.870 --> 00:04:43.589]  You can't get COVID.
[00:04:43.850 --> 00:04:44.970]  You can't share it.
[00:04:45.230 --> 00:04:47.589]  And it worked so good he had to take eight shots.
[00:04:47.730 --> 00:04:49.529]  And of course, we all know it's a lie.
[00:04:49.629 --> 00:04:50.689]  It makes you spread COVID.
[00:04:50.790 --> 00:04:52.290]  It makes you get sick from COVID easier.
[00:04:52.509 --> 00:04:56.449]  It erases your immune system and attacks your cardiovascular system.
[00:04:57.750 --> 00:04:58.750]  That's coming up.
[00:05:00.889 --> 00:05:06.529]  But I first want to get into the zombie Democrat Party.
[00:05:07.120 --> 00:05:11.399]  Now, for decades in the blue cities and blue states, they've been getting voted out.
[00:05:11.699 --> 00:05:22.560]  But because of the systemic fraud in those areas, it's been well detailed, people just stopped voting at record levels in blue states and blue cities because everybody knows it doesn't matter what you do.
[00:05:23.519 --> 00:05:39.120]  But because of landslides in, quote, battleground states, Trump won every battleground state, and now blue states have become purple, and more counties in places like California, Washington State, Oregon, New York,
[00:05:39.279 --> 00:05:51.139]  the list goes on and on, are slipping to Republicans because when you get 60-70% of the voters coming in, they've only got 10-12, depending on the state, baked-in fraud.
[00:05:51.519 --> 00:05:54.959]  Dead people, people out of district, the mail-in ballots.
[00:05:55.120 --> 00:05:58.660]  They've only got a certain amount of ammo to steal.
[00:05:58.920 --> 00:06:00.079]  Here's an example.
[00:06:00.319 --> 00:06:06.540]  If 90% of people voted, and it's on record that they're Republican, It's too big to rig.
[00:06:06.660 --> 00:06:09.420]  Well, it's too big to rig when you hit about 60, 65%.
[00:06:09.420 --> 00:06:12.939]  And I explain this to everybody, and a lot of listeners are like, we don't get it.
[00:06:14.420 --> 00:06:17.540]  If they're stealing elections, it doesn't matter what you do.
[00:06:17.779 --> 00:06:22.139]  No, because when it's such a big landslide, you can't hide the fraud.
[00:06:22.620 --> 00:06:32.779]  And when Trump, in thousands of key battleground counties, thousands, went in and had...
[00:06:32.779 --> 00:06:48.040]  Lawyers involved and poll watchers that had to file all these suits, hundreds and hundreds of suits, sometimes more than 100 per state, that had to file over and over again on the same county to battle, to have the poll watchers, to have the lawyers in the tabulation areas,
[00:06:48.040 --> 00:06:50.620]  to have access to see as things are being counted.
[00:06:50.620 --> 00:07:01.700]  And you saw that on election night when in Pennsylvania, Michigan, Georgia, and other key battleground states, they kept waiting to announce that she'd lost, though the evidence was there.
[00:07:03.120 --> 00:07:11.180]  And then these trucks were all pulling up in Pennsylvania, in Michigan, in Georgia, and there were all the lawyers waiting with the authorization to be inside.
[00:07:11.360 --> 00:07:18.779]  They couldn't just kick you out this time and put up paper and cardboard over the windows so you couldn't see, and they just gave up.
[00:07:20.079 --> 00:07:26.339]  So now Trump is setting up his Election Integrity Commission to go in with the states, and it's the end of the Democratic Party.
[00:07:26.740 --> 00:07:30.139]  And on every issue, they're 80-20 or 90-10.
[00:07:32.079 --> 00:07:49.339]  Whether it's the Ukraine war, whether it's open borders, whether it's bringing manufacturing back to America, whether it's transgenderism and targeting the children, on every issue, and they won't stand up at Trump's first address to Congress three weeks ago, when the valiant little black boy that survived five years,
[00:07:49.439 --> 00:07:52.319]  13 brain surgeries, they just wouldn't stand up, not one of them.
[00:07:52.480 --> 00:07:55.579]  They wouldn't stand up for Lake and Riley's family when she was kidnapped, tortured, murdered.
[00:07:55.819 --> 00:07:58.839]  They wouldn't stand up when Trump talked about America being back in success.
[00:07:59.579 --> 00:08:00.759]  They wouldn't stand up.
[00:08:01.120 --> 00:08:03.379]  And they went down a couple points from that.
[00:08:03.579 --> 00:08:07.879]  So three weeks ago, they were the lowest ever polled in polling history over 80 years.
[00:08:08.199 --> 00:08:15.699]  They dropped two and three and four points in big national polls that are even skewed towards Democrats still, down to the mid-20s.
[00:08:15.879 --> 00:08:19.379]  Only 7% have high approval of them.
[00:08:20.660 --> 00:08:22.439]  So that's a dead party.
[00:08:22.439 --> 00:08:26.139]  And I wanted to show you just some of the headlines that we're going to be drilling through here.
[00:08:26.319 --> 00:08:26.800]  Look at this.
[00:08:27.339 --> 00:08:28.879]  Who actually leads?
[00:08:29.449 --> 00:08:30.290]  Their party.
[00:08:30.529 --> 00:08:36.370]  Soros Group pushing for Schumer to retire at the same time as funding anti-Musk protests.
[00:08:37.190 --> 00:08:38.669]  Soros comes for Schumer.
[00:08:38.769 --> 00:08:43.429]  Dem leaders face end of his career as Soros back-ord marks him for elimination.
[00:08:44.649 --> 00:08:46.190]  Could the Dem splinter?
[00:08:46.389 --> 00:08:49.909]  Party faces historic discontent from their base.
[00:08:49.929 --> 00:08:57.830]  So they'll have a total Satanism commie pedophile party and then kind of the just regular socialist un-American party.
[00:08:58.930 --> 00:09:00.830]  So that's what you see happening.
[00:09:02.210 --> 00:09:03.809]  And that's the end of their party.
[00:09:04.370 --> 00:09:08.230]  Dim state clear-out.
[00:09:08.389 --> 00:09:11.929]  Trump revoked security clearances to Clinton, Harris, Lincoln, Bragg, the Bidens, and others.
[00:09:12.269 --> 00:09:14.090]  And look at who they say is going to save them.
[00:09:14.350 --> 00:09:17.250]  They came out Friday and today and said Kamala Harris is our leader.
[00:09:17.389 --> 00:09:20.950]  She's the highest polled when they asked registered Democrats across the country.
[00:09:22.830 --> 00:09:28.769]  We crossed the Rubicon six months ago where there are now, for the first time in U.S. history, more registered Republicans than Democrats.
[00:09:28.950 --> 00:09:30.090]  That number has only expanded.
[00:09:30.309 --> 00:09:40.889]  And their savior, Kamala Harris, Gavin Newsom, and, of course, Bernie Sanders and his little communist rallies.
[00:09:41.090 --> 00:09:42.809]  Oh, look, tens of thousands are showing up.
[00:09:42.889 --> 00:09:49.210]  Oh, look, any time a Republican has a town hall, they have a Soros Renamob go get in their face to make it look like there's all this discontent.
[00:09:50.009 --> 00:09:54.549]  But it's still the discontent of an unpopular Insane, satanic minority.
[00:09:55.570 --> 00:10:14.629]  But let's look at the details of the Soros NATO MI6 deep state arm that is now blaming some of their most evil and ardent defenders.
[00:10:15.809 --> 00:10:17.850]  Chuck Schumer?
[00:10:19.069 --> 00:10:26.110]  I mean, when you look at Soros, who's basically a vegetable, hasn't been seen in about a year, and then his son, who I've seen many of his speeches.
[00:10:27.230 --> 00:10:27.970]  I've seen them all.
[00:10:28.070 --> 00:10:28.549]  I say there's many.
[00:10:28.649 --> 00:10:30.110]  I've seen him speak about 10 times.
[00:10:30.769 --> 00:10:37.029]  And they are all these disastrous, bumbling, gibbering, incoherent.
[00:10:37.090 --> 00:10:43.309]  He looks like he's on seven or eight, you know, 300 milligrams of Adderall, enough to give a horse a heart attack.
[00:10:47.120 --> 00:10:58.019]  The Democrat Party itself, their pundits, most of them are saying, well, we probably should back off being, you know, transgender and cutting kids' penises off and we should take our pronouns off our ex-accounts.
[00:10:58.539 --> 00:11:00.320]  That's what Booty Juice and others have done.
[00:11:00.559 --> 00:11:03.500]  We need to camouflage ourselves like we've always done and kind of pull back.
[00:11:03.659 --> 00:11:04.500]  We made our main move.
[00:11:04.580 --> 00:11:05.000]  It backfired.
[00:11:05.159 --> 00:11:08.139]  But the Soros globalist arm wants communist uprising.
[00:11:08.320 --> 00:11:09.100]  The Raskin arm.
[00:11:09.320 --> 00:11:10.379]  The Carbo arm.
[00:11:10.559 --> 00:11:15.639]  They want to go full violence like you see with the swattings now of Owen Schroeder's family yesterday.
[00:11:16.350 --> 00:11:19.529]  Or overnight yesterday in a whole other state.
[00:11:20.129 --> 00:11:21.809]  It's happening to hundreds and hundreds of people now.
[00:11:21.889 --> 00:11:24.090]  Most people don't want to talk about it, which I think is a mistake.
[00:11:25.090 --> 00:11:35.509]  And then you've got all the Tesla things getting burned down and Soros groups promising even more violence this weekend.
[00:11:35.509 --> 00:11:36.610]  And we're now here.
[00:11:36.730 --> 00:11:38.110]  They're having them all over Austin right now.
[00:11:38.690 --> 00:11:43.950]  And so instead of the party reforming itself and course correcting, they've made the decision to get even worse.
[00:11:44.870 --> 00:11:46.210]  And that's what a cult does.
[00:11:46.730 --> 00:11:47.850]  They won't face reality.
[00:11:47.950 --> 00:11:48.830]  They get more and more angry.
[00:11:48.929 --> 00:11:49.830]  They get more and more violent.
[00:11:50.009 --> 00:11:52.509]  They get more and more deranged.
[00:11:53.269 --> 00:11:55.169]  And you see the videos that are emblematic of this.
[00:11:55.250 --> 00:11:58.429]  The people wearing MAGA hats and a woman chases him and tries to grab it.
[00:11:58.690 --> 00:12:01.029]  And he wisely didn't want to get in a fight with her, so he ran from her.
[00:12:01.509 --> 00:12:09.490]  I mean, quite frankly, if three thugs with me and my family walked up to me on a street corner and said, we're going to attack you, I told my kids, we all just scatter in different directions.
[00:12:10.269 --> 00:12:13.769]  Even though I have a firearm in my pocket, I'm not looking for the confrontation.
[00:12:15.320 --> 00:12:17.139]  Because that's the safest thing to do.
[00:12:17.399 --> 00:12:23.059]  If I'm in my home and can't run and thugs come, it's my riot shotgun and people are going to die.
[00:12:23.179 --> 00:12:23.960]  I've got to defend myself.
[00:12:24.539 --> 00:12:29.460]  But the toughest guys I know, I say, what do you do if people come and confront you?
[00:12:29.620 --> 00:12:30.460]  You run.
[00:12:31.519 --> 00:12:34.360]  That is, you want to keep yourself alive.
[00:12:35.379 --> 00:12:37.299]  And, you know, so he ran.
[00:12:37.539 --> 00:12:38.240]  I mean, she chased him.
[00:12:38.320 --> 00:12:39.000]  She got in his face.
[00:12:39.100 --> 00:12:41.159]  He got off the subway wisely.
[00:12:41.629 --> 00:12:43.190]  Because he's in a Soros-controlled area.
[00:12:43.330 --> 00:12:45.409]  If he defended himself, he'd probably get 10 years in prison.
[00:12:46.230 --> 00:12:51.250]  And she chased him and fell flat on her face, which is emblematic of these people.
[00:12:52.450 --> 00:12:55.830]  So I've told my children, I've told my family, and that's what we're going to do.
[00:12:55.929 --> 00:12:59.870]  If we're on the hiking bike trail and somebody comes up and pulls a gun out, we all scatter in different directions.
[00:13:00.490 --> 00:13:04.889]  And then I get behind a tree, I pull out this right here.
[00:13:05.710 --> 00:13:11.230]  I relax, but with speed and precision, boom.
[00:13:13.290 --> 00:13:15.170]  Thank you.
[00:13:15.199 --> 00:13:16.500]  Boom. That's what you do.
[00:13:17.179 --> 00:13:18.659]  But I'm not looking for the trouble.
[00:13:18.940 --> 00:13:23.139]  People say, why don't you have a cool handgun with 18 rounds or whatever?
[00:13:23.259 --> 00:13:24.120]  I got those too.
[00:13:24.399 --> 00:13:25.879]  But this doesn't fail.
[00:13:26.799 --> 00:13:29.039]  One out of 5,000 times.
[00:13:29.399 --> 00:13:36.240]  Even the very most expensive badass handgun will occasionally jam or I don't usually like to keep one in the chamber.
[00:13:37.379 --> 00:13:40.440]  Because there's safety issues, but a revolver is very, very, very, very safe.
[00:13:40.659 --> 00:13:42.259]  A child can't pull this trigger.
[00:13:42.519 --> 00:13:49.399]  You just, as you're extending, you cock the hammer, and I can shoot somebody between the eyes at 50 feet with this.
[00:13:49.460 --> 00:13:50.279]  Of course, I won't be shooting them.
[00:13:50.340 --> 00:13:51.440]  I'll be shooting in the chest.
[00:13:51.980 --> 00:13:56.600]  That's going to guarantee a direct hit in the vital organs, because you can also hit the skull sometimes.
[00:13:56.600 --> 00:13:59.100]  They turn their head, it deflects, things like that.
[00:13:59.279 --> 00:14:01.019]  So that's what this is all about.
[00:14:01.620 --> 00:14:05.740]  But it doesn't matter if I've got a gun in my pocket at all times, whether it's sweatpants or whatever.
[00:14:07.399 --> 00:14:15.700]  It's that, or in a little side pocket, holster.
[00:14:16.820 --> 00:14:19.759]  It's that you want to get away from them.
[00:14:20.480 --> 00:14:21.679]  They don't have any value.
[00:14:21.759 --> 00:14:23.519]  If you can, you don't want to hurt them.
[00:14:24.039 --> 00:14:25.500]  You want to destroy their ideas.
[00:14:26.899 --> 00:14:33.340]  So, emblematic of all of this, before I drill into it, I want to play you a clip of Fartgate.
[00:14:34.159 --> 00:14:41.139]  And of course, this is AOC, famously yesterday now, the fart heard around the world, the fart heard around the web, saying we've got to fart harder.
[00:14:42.299 --> 00:14:45.279]  And she's got a point, though.
[00:14:45.399 --> 00:14:46.879]  You know, they say now they do want to tax humans.
[00:14:46.980 --> 00:14:48.159]  I told you that was coming, New York Times.
[00:14:48.639 --> 00:14:50.220]  They want to tax cows for farting.
[00:14:50.299 --> 00:14:52.600]  They're already doing Canada and the UK and the Netherlands.
[00:14:52.600 --> 00:14:54.200]  And their answer is just get rid of the cows.
[00:14:54.220 --> 00:14:55.000]  You will eat the bugs.
[00:14:55.940 --> 00:14:59.179]  And now they're saying breathing is bad and farting is bad.
[00:14:59.940 --> 00:15:01.320]  And so...
[00:15:01.320 --> 00:15:05.260]  She is violating their Paris Accord if she farts harder.
[00:15:05.759 --> 00:15:14.080]  Now they want to genetically engineer, they are, the cows, Bill Gates is, and others, so they have a new type of flora and don't produce as much methane.
[00:15:14.340 --> 00:15:15.759]  Of course, methane is good for the atmosphere.
[00:15:15.759 --> 00:15:16.960]  It helps hold in the atmosphere.
[00:15:17.220 --> 00:15:23.600]  We've always had bovine, the wild bovine, the water buffalo of Africa, and the yaks of the North Pole, and the...
[00:15:24.120 --> 00:15:25.059]  Buffalo, the plains.
[00:15:25.240 --> 00:15:29.779]  If you look at the amount of buffalo that were there 200 years ago, it's more than there are cows in America today.
[00:15:29.960 --> 00:15:30.879]  And a buffalo is a cow.
[00:15:30.980 --> 00:15:31.539]  It's a wild cow.
[00:15:31.620 --> 00:15:32.620]  You can breed a buffalo with a cow.
[00:15:32.740 --> 00:15:33.200]  It's bovine.
[00:15:33.740 --> 00:15:36.019]  Bovine are all over the world, except in Antarctica.
[00:15:37.179 --> 00:15:38.299]  And they're not bad.
[00:15:38.299 --> 00:15:47.860]  But remember, when they want to get rid of cows because they release methane, they want to get rid of you because what do you think gets produced by the bacteria that process and eat the food in your upper and lower intestine?
[00:15:48.080 --> 00:15:49.480]  Your stomach breaks it down with acid.
[00:15:49.600 --> 00:15:50.820]  It goes in the upper and lower intestine.
[00:15:51.230 --> 00:15:54.629]  The bacteria process it all and help break it down into amino acids and things.
[00:15:54.830 --> 00:15:55.370]  The good bacteria.
[00:15:55.470 --> 00:15:56.570]  That's why you take good probiotics.
[00:15:57.370 --> 00:15:59.990]  Because there's so many chemicals and stuff with the food and water, it kills a lot of the good bacteria.
[00:16:00.070 --> 00:16:02.090]  You've got to keep replacing them or the bad ones get in there.
[00:16:03.269 --> 00:16:05.029]  And I'm just doing a little science lesson here.
[00:16:05.169 --> 00:16:06.950]  But AOC has a point.
[00:16:07.090 --> 00:16:08.769]  According to her, the world's going to end in 2030.
[00:16:09.370 --> 00:16:15.309]  If we don't ban the cows, well, ma'am, if you fart harder, the ocean levels are going to rise.
[00:16:15.370 --> 00:16:17.049]  I mean, she farts so hard.
[00:16:17.649 --> 00:16:20.950]  It's going to cause an earthquake, and California's going to fall off in the Pacific Ocean.
[00:16:21.950 --> 00:16:37.029]  In fact, the truth is, she's a well-known secret superhero, and that's the only weapon the Japanese can use to defeat Godzilla when he occasionally attacks Tokyo, is they fly her there on a supersonic jet in the Wonder Woman plane, you know, the see-through one, and she just flies over and farts on Godzilla.
[00:16:37.389 --> 00:16:43.470]  She farts so hard that it just crushes him and knocks him out, and he falls back in the ocean for another hundred years.
[00:16:44.409 --> 00:16:45.970]  But they're worried, though, you know.
[00:16:47.089 --> 00:16:50.929]  That if she doesn't keep farting hard, we're going to have a big problem.
[00:16:51.309 --> 00:16:55.490]  But getting serious here, here's a little compilation of fart harder.
[00:16:55.870 --> 00:16:59.450]  And then Swalaswell famously really did follow her order.
[00:17:00.129 --> 00:17:03.529]  Was at a time machine and gone into the future and saw her say fart harder.
[00:17:03.629 --> 00:17:05.470]  That's probably going to be the official Democrat slogan now.
[00:17:05.569 --> 00:17:11.630]  So a few years ago, as you know, he famously blasted a big carbon violation of methane out on television.
[00:17:11.950 --> 00:17:15.349]  And we've got the crazy lady chasing the guy and falling flat on her face.
[00:17:15.430 --> 00:17:15.769]  Here it is.
[00:17:16.750 --> 00:17:20.670]  We need a democratic party that fights harder for us today.
[00:17:21.329 --> 00:17:27.970]  The evidence is uncontradicted that the president used taxpayer dollars to ask the Ukrainians to help him cheat an election.
[00:17:28.410 --> 00:17:44.410]  And the complaint that I've heard from- Well, there you go.
[00:17:46.679 --> 00:17:48.279]  These people are out of their minds.
[00:17:48.460 --> 00:17:49.539]  They're pooping on Teslas.
[00:17:49.680 --> 00:17:50.579]  They're attacking them everywhere.
[00:17:50.839 --> 00:17:56.039]  They're stopping at red lights and jumping out and running and screaming at a woman with her children that, you know, how dare you drive that?
[00:17:56.440 --> 00:17:58.119]  They're putting letters on everybody's cars.
[00:17:58.279 --> 00:18:03.119]  Major university student groups are openly saying, we're going to burn your car down next week if we still see it parked here.
[00:18:03.380 --> 00:18:05.319]  I mean, this is terrorism.
[00:18:06.220 --> 00:18:07.740]  AOC, Wolfe, and Wu.
[00:18:07.920 --> 00:18:11.180]  These nuts are the future of the Democrats.
[00:18:12.299 --> 00:18:23.460]  So, the Soros Combine, He is openly coming out now and saying they want Senate Majority Leader Schumer to retire.
[00:18:24.059 --> 00:18:37.700]  They want to be given the leadership of the Democratic Party in the Senate and nationwide to complete the Soros dictatorship where they have a lot of the judges and 800-plus jurisdictions, DAs and county attorneys and many of the state attorney generals.
[00:18:38.259 --> 00:18:41.720]  Senate Minority Leader Chuck Schumer is facing a...
[00:18:41.720 --> 00:18:51.780]  Determined push from the Soros-backed group to step down after he helped pass a six-month spending bill to avert a federal shutdown, which would have been blamed on the Democrats because it would have been their fault when they crashed the economy.
[00:18:52.369 --> 00:19:07.569]  Individual, an activist organization that has received $8 million from George Soros Open Society Foundation, is now in a lot more than that hidden, is now calling for Schumer to resign and is hosting an event tonight in which attendees will encourage to write happy retirement cards to the veteran loveless criminal.
[00:19:07.849 --> 00:19:33.369]  The group's co-executive director, Ezra Levin, He added that the wrangling over the spending bill should have been used by Democrats as a rare precious point of leverage.
[00:19:34.170 --> 00:19:35.690]  But Schumer did the opposite.
[00:19:35.890 --> 00:19:38.390]  He led the charge to wave the white flag and surrender.
[00:19:41.179 --> 00:19:42.720]  Not done that spending bill.
[00:19:42.960 --> 00:19:45.900]  All the polls showed 90% of people would have blamed them, of course.
[00:19:46.160 --> 00:19:48.640]  And then the economy would have crashed and it'd be blamed on them.
[00:19:48.960 --> 00:19:51.299]  They're trying to crash it to blame it on Trump.
[00:19:51.299 --> 00:19:54.200]  And I said that I thought that Schumer would blink.
[00:19:55.940 --> 00:19:57.299]  So that's happening.
[00:19:57.440 --> 00:20:02.019]  Now, let's talk about who is the leadership of the Soros Criminal Combine.
[00:20:02.119 --> 00:20:02.960]  And I've looked into it.
[00:20:03.980 --> 00:20:09.000]  We got secret documents that were so bombshell about 14 years ago that are on Infowars.com where...
[00:20:09.000 --> 00:20:15.720]  Alexander Soros is literally the commander of Antifa around the country, when they go out and attack, how they attack, what targets they hit.
[00:20:15.859 --> 00:20:32.900]  And in all these documents, they talk about how they want to try to trick inner-city blacks to be violent so that Antifa doesn't go to jail, but they do, and so they can call the communist attacks racially motivated so that it sounds legitimate like baby Byrne,
[00:20:33.059 --> 00:20:37.279]  in their view, back in the 1960s.
[00:20:37.869 --> 00:20:47.950]  So I thought I'd just play you one excerpt of Alexander Soros at the World Economic Forum a year ago.
[00:20:48.930 --> 00:20:57.410]  And this is him talking about how horrible Trump is and how Trump came in and just destroyed their system.
[00:20:57.410 --> 00:20:59.190]  He talks about like the legitimate democracy.
[00:20:59.190 --> 00:21:05.450]  You mean the people voted for him eight years ago and then he stole the election and kicked him out and tried to put him in prison and all the lawfare?
[00:21:06.119 --> 00:21:13.099]  And then now, he said this before Trump got back in, imagine how he feels now that Trump is back in.
[00:21:13.279 --> 00:21:17.059]  So they're fighting for their political lives.
[00:21:17.700 --> 00:21:34.000]  But you have to understand, if we think we've already won all this, well, then they've still got a shot of never really getting back into power globally because people are waking up to them everywhere and pushing back and it's exponential, but causing a lot of headaches and wars and unrest and taking a lot of us with them.
[00:21:34.640 --> 00:21:37.619]  Literally into their financial and physical graves, potentially.
[00:21:38.240 --> 00:21:40.599]  And they could end up causing World War III and getting us all killed.
[00:21:40.960 --> 00:21:50.279]  Soros, of course, was the key to the CIA operation, bragged about it on CNN, overthrowing the elected government 15 years ago in Ukraine and then doing it again and then starting a war with Russia and moving weapons in.
[00:21:50.500 --> 00:21:53.819]  So they're really the political arm of this globalist deep state.
[00:21:53.980 --> 00:21:56.180]  And they're emblematic of it.
[00:21:56.240 --> 00:21:57.140]  They're just one tentacle.
[00:21:57.700 --> 00:22:01.039]  But particularly nasty people who...
[00:22:01.909 --> 00:22:06.730]  Their folks ran the coup against the new president of Romania with the EU and bragged about it.
[00:22:06.910 --> 00:22:09.890]  And now they're saying they'll do it again in Poland if they elect patriots.
[00:22:10.170 --> 00:22:20.970]  And so this is a serious situation, but Soros offices got raided, eight of them last week in India by the federal government there, for illegal money laundering operations and foreign illegal political manipulation.
[00:22:21.410 --> 00:22:23.269]  And America's doing what we should do.
[00:22:23.369 --> 00:22:24.329]  Russia's doing what they should do.
[00:22:24.450 --> 00:22:25.369]  India's doing what they should do.
[00:22:25.630 --> 00:22:30.190]  All over the world, they're raiding Soros offices of his Open Society Foundation.
[00:22:30.720 --> 00:22:45.500]  Because they are a global corporatist intelligence bureau that again comes in and puts their people in power in your area that attaches to the government funding systems to then expand their operations.
[00:22:45.700 --> 00:22:52.440]  So they put in seed money, literally $100,000 in some of the cases we've gone over that Musk has talked about, and then they get $10 million back for $100,000.
[00:22:52.720 --> 00:22:57.920]  I mean, that's the usual calculation is we're talking about put in tens of millions, get a billion.
[00:22:58.240 --> 00:22:59.799]  Put in $100,000, get $10 million.
[00:23:00.329 --> 00:23:16.910]  And so billions and billions out of the USAID, billions and billions every month, I mean, to these different systems out of the EPA of $375 billion of the fake Green New Deal thing they passed three years ago that John Podesta was put over.
[00:23:16.990 --> 00:23:20.190]  And I said, oh, he's going to steal all that and use the political power.
[00:23:20.309 --> 00:23:22.309]  And Stacey Abrams got $2 billion of it.
[00:23:22.390 --> 00:23:24.130]  Oh, yeah, we're getting people to vote with it.
[00:23:24.170 --> 00:23:24.849]  What's wrong with that?
[00:23:25.049 --> 00:23:27.309]  That's how we fight climate change is getting good people elected.
[00:23:28.089 --> 00:23:31.630]  Fight climate change, meaning cutting off your resources to make you poor so they can control you.
[00:23:31.970 --> 00:23:33.089]  She's up there on TV.
[00:23:33.089 --> 00:23:35.950]  I played it like five times a few weeks ago, just bragging about it.
[00:23:36.089 --> 00:23:53.470]  So they've gone to the phase now of doubling down, engaging in terrorism, swatting, the Soros people are on record funding the Tesla terror, economic terrorism, physical terrorism, intimidation, bullying, and they're just hiding it in plain view.
[00:23:53.630 --> 00:23:55.190]  Yeah, you bet.
[00:23:56.150 --> 00:23:57.049]  Of course.
[00:23:57.549 --> 00:23:59.930]  We're using this money to get Democrats elected.
[00:24:02.150 --> 00:24:03.430]  Now, that's another headline.
[00:24:03.549 --> 00:24:04.049]  Yeah, FCC.
[00:24:04.049 --> 00:24:05.069]  Let's put that back up.
[00:24:05.450 --> 00:24:22.170]  FCC, to brief lawmakers on George Soros' investigation and closed-door meeting, how with no oversight, no laws passed, no regulations followed, 240-something biggest radio stations were bought by Soros right before the election.
[00:24:22.210 --> 00:24:26.430]  And now they're using them to phone illegal aliens and protest and...
