# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: a23bf4b0a482f14c0e2864bd70b6756b
[00:00:03.040 --> 00:00:04.240]  It's Sunday night.
[00:11:22.960 --> 00:11:30.160]  So Dave Chappelle used to have the joke decades ago of, you know, the black KKK, the grand dragon or whatever, because he was blind or whatever.
[00:11:30.480 --> 00:11:32.560]  No, folks, it's so sick.
[00:11:32.879 --> 00:11:38.800]  So when you ask how they have such high levels of crime, you ask why they're so mean, why they're so arrogant.
[00:11:38.879 --> 00:11:39.519]  I'm going to play the clips.
[00:11:39.600 --> 00:11:40.640]  They're incredible, new ones.
[00:11:41.040 --> 00:11:42.080]  They're like, yeah, we're taking over.
[00:11:42.160 --> 00:11:42.720]  We're rulers.
[00:11:42.960 --> 00:11:46.000]  By the way, we founded America 3,000 years ago.
[00:11:46.320 --> 00:11:48.000]  This land was founded by Somalis.
[00:11:51.520 --> 00:11:55.280]  Because there's some lake that has an Indian name similar to a Somali word.
[00:11:57.760 --> 00:12:14.960]  It's because this is the ruling royalty they believe of that slave hub for 1,500 years under Islam.
[00:12:19.979 --> 00:12:22.219]  So, again, I'm already getting into it.
[00:12:22.320 --> 00:12:23.360]  The problem is I did so much research.
[00:12:23.520 --> 00:12:23.920]  Oh, my God.
[00:12:24.000 --> 00:12:25.360]  I did five hours just on this.
[00:12:25.680 --> 00:12:27.120]  The clips I have are just insane.
[00:12:27.440 --> 00:12:30.400]  But it all ties into Elon as well.
[00:12:31.040 --> 00:12:34.720]  When you go to Europe, 80 plus percent of the rapes are Muslims.
[00:12:35.680 --> 00:12:38.320]  Upwards of 90% are on welfare.
[00:12:38.640 --> 00:12:41.120]  90% plus coming in are all military-age men.
[00:12:41.360 --> 00:12:53.200]  And you know, just as you've seen top ministers in the Jordanian government and the Saudi government, everything say, listen, you know where you're getting our trash.
[00:12:53.759 --> 00:12:55.040]  They're trying to not export America.
[00:12:55.120 --> 00:13:01.280]  They're trying to get Europe to ship them back for decades saying, do not let this give us a bad name.
[00:13:01.440 --> 00:13:04.320]  Literally, I've played you the clips of ministers in government.
[00:13:06.800 --> 00:13:10.240]  That's why none of the countries over there will take any of the Palestinians in.
[00:13:10.320 --> 00:13:12.000]  They act basically the same.
[00:13:12.880 --> 00:13:14.080]  What you call a Palestinian.
[00:13:14.240 --> 00:13:16.000]  They come in your country, even your Muslim country.
[00:13:16.080 --> 00:13:17.360]  They try to overthrow it.
[00:13:19.600 --> 00:13:21.520]  It's like the cliche of, quote, gypsies.
[00:13:21.840 --> 00:13:26.320]  Well, hire some gypsies, some real gypsies, and see what Romanov, see how that goes for you.
[00:13:26.480 --> 00:13:27.680]  They'll rob your ass in two seconds.
[00:13:27.840 --> 00:13:29.120]  That's the culture.
[00:13:29.759 --> 00:13:32.880]  And so you can say, oh, the Italian mafia, and then all Italians get blamed for it.
[00:13:33.680 --> 00:13:35.360]  Oh, the worst is the Sicilians or whatever.
[00:13:35.600 --> 00:13:47.040]  Those people are like cupcakes when it compared to the certain Pakistani tribes, certain Indian tribes, certain Somali tribes.
[00:13:47.680 --> 00:13:50.080]  Yeah, countless top imams warning people.
[00:13:50.400 --> 00:13:53.280]  Because you understand in India, they had the thuggy.
[00:13:54.160 --> 00:14:00.000]  And by the way, that's the main district the thuggy came out of, that is the main district controlling what Indians can come in.
[00:14:00.320 --> 00:14:01.519]  And these corporations love them.
[00:14:01.600 --> 00:14:05.040]  I'm not saying all the Indians are like this, but any Indians listening know about this.
[00:14:05.680 --> 00:14:12.480]  70% of the people coming in the U.S., period, globally, the H-1BB visas, are from one province.
[00:14:12.800 --> 00:14:16.720]  And it's its own mafia that doesn't work with any of the other Indians.
[00:14:16.880 --> 00:14:24.160]  That's why once they got control 30 years ago, and they greased Congress's kids, they don't let anybody in but their group.
[00:14:24.800 --> 00:14:26.720]  You're not letting Indians in in general.
[00:14:26.960 --> 00:14:29.040]  You're letting one clan in.
[00:14:30.000 --> 00:14:31.120]  That's how the world works.
[00:14:31.280 --> 00:14:39.440]  You heard of Scotland, and they got the clans, and the British could never capture them or defeat them because they wouldn't give up.
[00:14:40.960 --> 00:14:43.440]  And they all fought with each other until the British came around.
[00:14:46.560 --> 00:14:49.520]  So it's a mafia, folks.
[00:14:50.160 --> 00:14:51.520]  But everybody's been programmed.
[00:14:51.680 --> 00:14:53.680]  The only racial mafia is Italians.
[00:14:54.000 --> 00:14:58.320]  The truth is, every group forms into these in civilization and society.
[00:14:58.560 --> 00:15:01.200]  And then you've got some of the worst clans in the world.
[00:15:02.080 --> 00:15:10.240]  And if you got to say who's the most out of control, I mean, the Somalis, I have all these clips of them bragging about, yeah, we're crooks, we're criminals.
[00:15:10.400 --> 00:15:11.040]  Yeah, big deal.
[00:15:11.120 --> 00:15:11.680]  You deserve it.
[00:15:11.920 --> 00:15:12.800]  I'm a king.
[00:15:13.280 --> 00:15:18.560]  And that's why, you know, they have that famous song I sang that got hundreds of millions of views, top of Spotify till they took it down.
[00:15:19.520 --> 00:15:20.560]  We love our Somalis.
[00:15:20.640 --> 00:15:21.440]  We love our Muslims too.
[00:15:21.520 --> 00:15:22.080]  Oh, they're so good.
[00:15:22.160 --> 00:15:23.440]  Oh, they're so sweet.
[00:15:23.759 --> 00:15:25.440]  And the Somalis loved it and played it.
[00:15:26.240 --> 00:15:30.240]  And before it kicked off Twitter when it first came out, you still go, they said, we agree.
[00:15:30.400 --> 00:15:31.680]  We are going to stab and kill your ass.
[00:15:31.840 --> 00:15:33.120]  We are the rulers.
[00:15:34.960 --> 00:15:41.040]  Because they're brought up that they are the royalty and everybody else is subhuman.
[00:15:43.759 --> 00:15:45.120]  So it's a mafia.
[00:15:48.560 --> 00:15:50.080]  And they get involved with the government.
[00:15:50.240 --> 00:15:52.240]  There's all these other Somali clans complaining.
[00:15:52.320 --> 00:15:53.040]  And I'm not just believing them.
[00:15:53.120 --> 00:15:53.680]  I know about the clans.
[00:15:53.759 --> 00:15:59.680]  I've studied them who are actually nice people who are like the outskirts Africans that were actually there before that have been enslaved.
[00:16:00.000 --> 00:16:02.159]  And they're not all inbred and they're like nice.
[00:16:02.800 --> 00:16:04.080]  And they're like, listen, you don't understand.
[00:16:04.240 --> 00:16:05.120]  They don't think they're black.
[00:16:05.200 --> 00:16:06.080]  They're not even African.
[00:16:06.320 --> 00:16:08.560]  They think they're Arabs, even though they really are black now.
[00:16:08.879 --> 00:16:09.759]  They're here to enslave us.
[00:16:09.920 --> 00:16:11.680]  It's like in India, the caste system.
[00:16:12.320 --> 00:16:22.720]  2,000 years ago, probably about 5,000 actually, but two, 3,000 years ago, white people came in with their culture, whatever it was, and boosted India.
[00:16:23.039 --> 00:16:26.960]  And India became advanced and it became a caste system.
[00:16:27.600 --> 00:16:32.000]  And so it went from the different shades of white down, whatever reason.
[00:16:33.279 --> 00:16:42.800]  But even though the Indians basically, you know, are just a mix of Asian and white now, Central Asia, it doesn't matter.
[00:16:42.960 --> 00:16:44.160]  It's still a caste system.
[00:16:44.480 --> 00:16:48.240]  And it's what family you come from and your elite bloodline.
[00:16:48.720 --> 00:16:49.920]  That's how the world's always worked.
[00:16:50.000 --> 00:16:50.800]  Look at the British over there.
[00:16:50.960 --> 00:16:52.480]  I'm not attacking these people.
[00:16:53.440 --> 00:16:59.600]  I'm just saying America under Christianity and about the melting pot and meritocracy, how good you are at something.
[00:17:00.240 --> 00:17:07.279]  We don't say, sorry, you know, we got to put more Hispanics or Asians or whites in the NFL because the NFL is 80% black.
[00:17:07.599 --> 00:17:09.440]  Meritocracy, you're better at it.
[00:17:09.759 --> 00:17:10.799]  NFL's black.
[00:17:11.120 --> 00:17:14.000]  Basketball, NBA's black.
[00:17:17.120 --> 00:17:21.039]  But other people that genetically are good at other things, now they get to have their spot too.
[00:17:21.680 --> 00:17:28.400]  And of course, you're going to have people in all groups who are good at everything, but you're going to have particular groups that have particular gifts that the Bible tells us about, like Kenya.
[00:17:28.559 --> 00:17:31.039]  They got all the top long-distance runners in the world.
[00:17:32.319 --> 00:17:35.680]  By the way, the Kenyans historically are very nice, smart, friendly people.
[00:17:36.319 --> 00:17:40.000]  And the Africans will all tell you about the different tribes, different well-known things about people.
[00:17:40.240 --> 00:17:42.480]  This is just the way it is, folks.
[00:17:42.799 --> 00:17:45.279]  We all have our stereotypes for a reason.
[00:17:48.160 --> 00:17:49.519]  They're stereotypes because they're true.
[00:17:55.179 --> 00:18:03.509]  And the ruling class of Somalia are about as the most evil thing I've ever seen.
[00:18:04.240 --> 00:18:07.759]  And you can look at them and go, man, they look like zombies out of a horror movie.
[00:18:07.920 --> 00:18:12.319]  Them crazy eyes, them crazy teeth, the crazy ass look, and then everything they do.
[00:18:12.400 --> 00:18:13.599]  It's like, what's wrong with these people?
[00:18:13.920 --> 00:18:25.200]  Well, when you've been pirates for thousands of years and slavers, and your job is kidnapping, murder, and death, and you inbreed, you're going to be some evil mothers.
[00:18:28.960 --> 00:18:31.759]  And all over Africa, they'll tell you they're funding terrorists all over Africa.
[00:18:31.840 --> 00:18:36.000]  People are like, oh, God, that clan that runs Somalia is the devil.
[00:18:38.160 --> 00:18:44.640]  And then our government goes over there and saves them when they get overthrown and brings their evil asses over here.
[00:18:46.880 --> 00:18:47.279]  You know what?
[00:18:47.360 --> 00:18:48.799]  I said I'd hit Elon Musk.
[00:18:49.120 --> 00:18:51.519]  Let's just do the Somalis now because it all ties in.
[00:18:51.599 --> 00:18:53.680]  But I mean, this Musk thing is huge.
[00:18:54.559 --> 00:18:57.039]  People say, well, I don't trust Elon Musk.
[00:18:57.120 --> 00:18:57.759]  He's rich, whatever.
[00:18:57.920 --> 00:18:59.360]  It isn't even about Elon Musk.
[00:18:59.519 --> 00:19:03.840]  The moves he's made have irrevocably devastated the globalists.
[00:19:04.799 --> 00:19:11.039]  So in the last few years, I was already cheerleading Musk before he even brought me back because the moves he was making.
[00:19:13.920 --> 00:19:19.279]  But you better believe I don't bite the hand that feeds me if I agree with everything he's doing, basically.
[00:19:21.120 --> 00:19:24.079]  Thank God he put us back on everybody else.
[00:19:25.039 --> 00:19:32.880]  But the point is, he's got all these governments, Brazil, the unlucky EU, the UK, all coming after him.
[00:19:33.039 --> 00:19:34.240]  And people are like, okay, whatever.
[00:19:34.559 --> 00:19:41.759]  If they can shut him down, if they can cow him, if they can stop him being able to allow us to have free speech, we are directly affected.
[00:19:42.000 --> 00:19:45.599]  The EU is claiming it has jurisdiction over everything we do.
[00:19:47.119 --> 00:19:55.599]  And we now know, I already knew this, but said at the time, Biden was, Obama was funding them to run all these censorship attacks on us, even during their administration.
[00:19:55.920 --> 00:19:58.480]  And they're continuing to do it for the deep state right now.
[00:19:58.720 --> 00:20:01.519]  And that's coming out with Mike Benz, everybody else.
[00:20:04.400 --> 00:20:13.839]  Remember Crossfire Hurricane and the PP Gate and the Steel dossier, all British intelligence and funded out of NATO.
[00:20:15.440 --> 00:20:21.599]  And now NATO and the head of the EU have come out and said, really, America and Trump are our enemy.
[00:20:22.240 --> 00:20:31.599]  When they saw this new national security strategy that's so huge, I'll get to that next hour.
[00:20:31.839 --> 00:20:32.400]  This is big.
[00:20:32.559 --> 00:20:34.079]  And people say, oh, it's just words.
[00:20:34.160 --> 00:20:35.839]  No, Trump's already doing it.
[00:20:36.160 --> 00:20:40.160]  Trump's national security strategy opposes NATO expansion, warns massive immigration.
[00:20:40.319 --> 00:20:41.359]  It's one of the main threats.
[00:20:41.519 --> 00:20:43.200]  I mean, this is a big deal.
[00:20:43.839 --> 00:20:44.480]  It's all coming up.
[00:20:44.559 --> 00:20:46.960]  But let's just get into the Somalis now, okay?
[00:20:50.400 --> 00:20:52.160]  Let's just get into that now.
[00:20:56.400 --> 00:20:59.759]  I have over 60 clips on them, but I'm going to behave myself.
[00:21:00.079 --> 00:21:01.759]  Let's just get to some of them here.
[00:21:02.400 --> 00:21:12.559]  And again, coming up, I'm going to play you just a small sampling of new clips of Somalis saying Minnesota was discovered 3,000 years ago by us.
[00:21:12.720 --> 00:21:13.759]  We've been here 3,000 years.
[00:21:14.000 --> 00:21:21.119]  We were actually, we actually created in the Revolutionary War, Minneapolis, St. Paul.
[00:21:21.680 --> 00:21:22.160]  I'm serious.
[00:21:22.240 --> 00:21:23.039]  It's straight faced.
[00:21:23.119 --> 00:21:24.240]  I'm not joking.
[00:21:25.839 --> 00:21:27.599]  And you're all scum.
[00:21:28.240 --> 00:21:30.559]  And we are going to capture you.
[00:21:32.480 --> 00:21:34.240]  And we are going to take you over.
[00:21:34.559 --> 00:21:39.119]  I love how the Somalis they've got in Blackhawk down, though, look like they're from like West Africa.
[00:21:39.359 --> 00:21:40.559]  I mean, I can tell you where Africans are funny.
[00:21:40.720 --> 00:21:41.039]  Look at them.
[00:21:41.119 --> 00:21:42.319]  Those guys are like Nigerian.
[00:21:42.400 --> 00:21:43.519]  Those are not Somalis.
[00:21:43.680 --> 00:21:45.440]  Anyways, let's go back just a minute.
[00:21:45.920 --> 00:21:48.880]  You know the guy in Captain Phillips that says, I'm the captain now?
[00:21:50.240 --> 00:21:51.279]  That's not a Somali.
[00:21:51.360 --> 00:21:55.039]  That's the ruling slave master royalty clan.
[00:21:56.240 --> 00:22:03.200]  Now, they may be in shacks and driving pirate boats and shooting RPGs at people, but the point is they're the rulers.
[00:22:03.360 --> 00:22:05.119]  They're very proud of themselves.
[00:22:07.279 --> 00:22:08.799]  It's not even fair to call them Somalis.
[00:22:08.880 --> 00:22:16.799]  Ilhan Omar is a slave master, hated in her own country.
[00:22:19.599 --> 00:22:22.960]  So let's go first.
[00:22:23.599 --> 00:22:25.200]  Let's just get the fraud out of the way.
[00:22:25.519 --> 00:22:32.880]  They've now discovered just a few weeks in, 8 billion stolen in Minnesota, with, of course, Tim Walz and all of them over it.
[00:22:36.400 --> 00:22:42.559]  So we don't just want to blame the Somalis as Democrats above it, you know, using these groups they bring in to be their low-level organized crime operation.
[00:22:42.880 --> 00:22:44.960]  Play clips 64 and 65.
[00:22:45.279 --> 00:22:48.000]  One's Stephen Miller, the other's a local newscast about it.
[00:22:48.160 --> 00:22:58.559]  It's up to 8 billion they've discovered now, stolen from food for kids, medical stuff for homeless people, and a bunch of other crap.
[00:22:58.640 --> 00:22:59.599]  Here it is.
[00:23:00.160 --> 00:23:19.119]  With all the scams with pretending that children have autism who are not, in fact, autistic, with pretending to enroll people in food programs when, in fact, nobody was ever enrolled, and engaging in massive fraud, lying, and theft, and grift on a scale we've never seen before in American history.
[00:23:19.440 --> 00:23:24.880]  The total bill, the total tap for this is going to be far beyond the numbers we've already seen reported.
[00:23:25.200 --> 00:23:34.079]  We believe the state government is fully complicit in this scheme, and we believe that what we are going to uncover is going to shock the American people.
[00:23:34.400 --> 00:23:39.440]  Look, based on the records that we already have, this is a significant undercount, by the way.
[00:23:40.000 --> 00:23:44.960]  75% of the Somali population in Minnesota is on welfare.
[00:23:45.119 --> 00:23:53.519]  But that's likely a significant undercount of just how much of a financial burden the Somali refugee population is imposing.
[00:23:53.680 --> 00:23:54.799]  Well, let me tell you.
[00:23:55.359 --> 00:23:59.039]  Fraud investigators are finding in Minnesota is growing by the day.
[00:23:59.359 --> 00:24:10.559]  Kelly Leffler, who leads the Small Business Administration, says in the two days her agency has been investigating the state, they've uncovered at least a million dollars in PPP fraud.
[00:24:10.799 --> 00:24:11.759]  Just two days in.
[00:24:12.319 --> 00:24:21.440]  Several of the whistleblowers in Minnesota have also told lawmakers they believe the total amount of fraud could total up to more than $8 billion.
[00:24:22.400 --> 00:24:27.759]  Governor Tim Walz, who is up for re-election, is under fire for all of this happening under his watch.
[00:24:28.000 --> 00:24:30.240]  But he says they have paused these programs.
[00:24:30.480 --> 00:24:34.400]  They've brought in outside auditors to get an idea of how far-reaching this fraud was.
[00:24:34.720 --> 00:24:36.880]  They're taking steps to keep it from happening again.
[00:24:37.200 --> 00:24:44.079]  And he's defending his management of the state while also taking shots at Republicans and the president.
[00:24:45.359 --> 00:24:59.599]  And in spite of the headwinds we're up against, Minnesota ranks economically, economic growth, happiness, number of people insured, education levels near the very top.
[00:24:59.920 --> 00:25:05.279]  So I'll tell you what, I have no interest in having this state look like Oklahoma or Mississippi.
