# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:04.320 --> 00:00:10.160]  It's Saturday, August 2nd, 2025.
[00:09:05.200 --> 00:09:06.879]  And we're basically never at DEFCON 5.
[00:09:06.960 --> 00:09:08.240]  It's always at least DEF CON 4.
[00:09:08.480 --> 00:09:14.320]  DEFCON 3, roundhouse, Air Force, 15 minutes of mobilization, force readiness increased above normal levels.
[00:09:14.559 --> 00:09:22.400]  DEFCON 2, fast-paced, armed forces of six hours or less to deploy and engage near-nuclear war.
[00:09:22.720 --> 00:09:24.960]  We are definitely at least at DEFCON 2.
[00:09:25.120 --> 00:09:33.840]  And most of the callers who worked in the nuclear forces and nuclear detection agreed that we're at least at DEFCON 2, probably at DEFCON 1.
[00:09:34.080 --> 00:09:38.799]  DEFCON 1, cocked pistol, maximum readiness, nuclear war imminent.
[00:09:39.759 --> 00:09:55.360]  Well, the submarines, and I said this, but I said, how many people that are on submarines, nothing classified, but I said, you know, I've forgotten more than most people know, but I said, I need people that have been in the ground-based and air-based and sea-based, particularly sea-based is really the tip of the spear.
[00:09:56.159 --> 00:09:58.399]  And there's some space-based stuff that's secret.
[00:09:58.720 --> 00:10:06.000]  I need you to call in and explain to me: am I wrong that we're at least at DEF CON 2, probably DEF CON 1, and that the submarines were already off their coast.
[00:10:06.159 --> 00:10:10.080]  That's just policy, that the Russians are off our coast too.
[00:10:10.720 --> 00:10:17.039]  And that basically this announcement was letting Russia know the U.S. has gone to DEF CON 1.
[00:10:17.360 --> 00:10:19.679]  And so the safety's off, fingers on the trigger.
[00:10:19.919 --> 00:10:22.799]  And the callers were like, Yeah, that's you know, we're not in right now.
[00:10:22.879 --> 00:10:24.799]  That's classified, but that's what that's what they believe.
[00:10:25.039 --> 00:10:26.480]  We're probably at DEF CON 1 right now.
[00:10:26.799 --> 00:10:38.879]  And I got a chill when I said that because from historical sources comes out later when we've been at the DEF CON 1, it happens very rarely, extremely rarely.
[00:10:39.519 --> 00:10:52.879]  And when they're at DEF CON 1, they get them in the silos or they get them at their terminals, they get them at their missile launchers, they load the bombs on planes, planes take off.
[00:10:53.200 --> 00:10:55.120]  And routinely, they're flying around with bombs on them, anyways.
[00:10:55.279 --> 00:11:01.680]  But the professionals doing this, very professional, this is a really hard job, obviously.
[00:11:02.240 --> 00:11:12.480]  The keys to total destruction, they have these drills, and they're not told when it's really DEF CON 1 because they drill as if they're already on DEF CON 1.
[00:11:12.960 --> 00:11:14.240]  So they never know.
[00:11:15.279 --> 00:11:24.720]  But there's been times they later learned that they were at DEF CON 1 and they were being transmitted the launch codes, the real thing, the whole deal, because they do test to see if they'll do it.
[00:11:25.360 --> 00:11:27.840]  So that's all highly classified.
[00:11:27.919 --> 00:11:29.039]  I don't even know the exact specifics.
[00:11:29.200 --> 00:11:33.039]  It changes from time to time, but this is a big deal.
[00:11:33.680 --> 00:11:36.159]  And I've really thought about it, had time to sleep on it.
[00:11:36.480 --> 00:11:42.559]  It is Menedev making the extremely insinuary, if this keeps going, you're going to have a nuclear war.
[00:11:42.879 --> 00:11:51.759]  But you also have Zelensky saying he wants nukes, NATO saying eight months ago, we might just strike Russia first in a first strike.
[00:11:52.080 --> 00:12:04.399]  And then Russia said, if we see a large aeronautical group coming in, not just a few of these heavy missiles they were shooting in when Biden was doing that, the Attackums and Storm Shadows, it could be nuclear tipped.
[00:12:04.960 --> 00:12:10.559]  If we see a bunch of those coming in, we're going to have to consider that's a sneak attack and we're going to nuke you, which is our same doctrine.
[00:12:10.960 --> 00:12:21.840]  If we saw a bunch of submarines pop up and 100 missiles coming in, the president's going to order a nuclear attack on Russia and on their subs and everything.
[00:12:21.920 --> 00:12:23.360]  It's going to be totally, it's going to be boomed.
[00:12:23.680 --> 00:12:28.000]  The doctrine is the war games, sir, planned such and such has now been engaged.
[00:12:28.319 --> 00:12:30.159]  We've got 127 incomings.
[00:12:30.240 --> 00:12:31.759]  It looks like more launches now.
[00:12:32.399 --> 00:12:39.600]  And because they could have conventional on those, but that's not what they would do because they know they're going to get nuked when those are coming in.
[00:12:39.680 --> 00:12:40.559]  We don't know what's on them.
[00:12:41.200 --> 00:12:45.600]  And so the Russians have said, all right, you're already shooting missiles in here and a bunch of drones and stuff.
[00:12:46.240 --> 00:12:47.360]  And NATO's, you know, careful.
[00:12:47.759 --> 00:12:54.159]  Back when they were peaking, you know, maybe five storm shadows, you know, attack them's going a few hundred miles in, blowing up bases.
[00:12:54.240 --> 00:12:58.080]  They're like, all right, now we see a whole bunch of those coming in.
[00:12:58.240 --> 00:12:59.120]  You know what you do?
[00:12:59.279 --> 00:13:10.960]  You start, you flush the bombers and load them, you know, the missiles and have them at the ready.
[00:13:11.120 --> 00:13:13.680]  I mean, it's not good.
[00:13:15.279 --> 00:13:36.480]  And Putin, if you remember, last year in November, because of all the weapons being moved to the border, they upped their doctrine to be more ready to go because before he would have to get the Security Council's agreement to launch.
[00:13:38.399 --> 00:13:48.080]  So they even had a, let's say, more dovish posture than us because even the Russian government and people didn't totally trust their president.
[00:13:48.399 --> 00:13:51.440]  And that doctor was there before Putin to be able to nuke people.
[00:13:52.080 --> 00:13:58.240]  So they wanted to have at least seven, eight, nine, ten people in a room to make the decision.
[00:13:58.559 --> 00:14:04.879]  That way, if the leader went crazy or somebody could hypnotize them, I mean, who knows?
[00:14:05.200 --> 00:14:10.799]  They'd have to, of course, obviously when their DEF CON goes up, they've all got to be all together and in bunkers ready because they got to be able to agree.
[00:14:11.039 --> 00:14:13.840]  They changed it where Putin can do whatever he wants, just like Trump can.
[00:14:14.799 --> 00:14:20.559]  So all of this is just gearing up and getting right to the edge and getting ready.
[00:14:21.519 --> 00:14:27.519]  And if somebody jumps the gun or some terror group detonates a smuggled nuke, I mean, it just goes from bad to worse.
[00:14:28.079 --> 00:14:29.920]  We've never been closer to a nuclear war.
[00:14:30.000 --> 00:14:31.039]  That's what all the experts say.
[00:14:31.200 --> 00:14:32.480]  I agree with them.
[00:14:33.360 --> 00:14:38.079]  And so I don't want to be alarmist here, but I'm not even saying Trump's right.
[00:14:40.000 --> 00:14:47.039]  It might have been better just to not respond to Mededyev's threats because the West has been making really threatening actual moves.
[00:14:47.360 --> 00:14:49.920]  The West is the thing making the real threatening moves.
[00:14:50.240 --> 00:14:54.879]  We don't need to make the saber-rattling comments.
[00:14:55.439 --> 00:14:56.959]  The real thing's been done.
[00:14:58.000 --> 00:15:00.399]  But Trump's come out and explained why he did it.
[00:15:00.559 --> 00:15:05.600]  He says he wants Medvedev to shut up and to stop making these statements, which I do think is smart.
[00:15:06.079 --> 00:15:14.159]  And since Trump made these statements yesterday morning on True Social, now he's made some video statements, interview statements, the Russians have shut up.
[00:15:14.480 --> 00:15:18.559]  Medvedev has stopped, which is very good.
[00:15:20.159 --> 00:15:22.399]  So I want to go over this.
[00:15:22.720 --> 00:15:31.839]  And then we've been seeing flurries of activities and now really a big buildup of criminal investigations and other things into the deep state.
[00:15:31.919 --> 00:15:41.039]  And from my sources, I've been telling you for months, they do intend to start indicting people for Crossfire Hurricane and the rolling coups and all the rest of it.
[00:15:41.120 --> 00:15:42.720]  So there's a bunch of developments.
[00:15:43.039 --> 00:16:03.600]  And then just today on that, just since yesterday, and then I'll get into what happened yesterday because it's, it's, I'm not holding my breath, but I'm seeing hundreds and hundreds of times more rhetoric about indicting the deep state than we heard here and there in the first administration.
[00:16:03.919 --> 00:16:09.600]  And Trump's got a lot better people in there now compared to what he had, like Ed Martin and others.
[00:16:10.240 --> 00:16:18.720]  And then the activity I'm seeing and what Trump's saying, remember Trump before, when everybody's like, lock Hillary up, we got elected.
[00:16:18.799 --> 00:16:21.600]  He said, no, no, no, let's give her a chance just to go away.
[00:16:22.240 --> 00:16:34.079]  A few weeks ago in a press conference, he said, you know, I we could have indicted her, but I just thought it was best to move on politically and not look like we were persecuting people, but they won't stop.
[00:16:34.399 --> 00:16:38.079]  Well, now he's come out and been very specific with what I've told you.
[00:16:38.159 --> 00:16:39.600]  I heard behind the scenes in meetings with Trump.
[00:16:39.839 --> 00:16:40.639]  People have had him.
[00:16:40.960 --> 00:16:42.240]  He's like, look, they're too dangerous.
[00:16:42.319 --> 00:16:42.960]  They're not going away.
[00:16:43.039 --> 00:16:44.240]  They're going to destroy the country.
[00:16:44.559 --> 00:16:45.839]  We have to do this.
[00:16:46.159 --> 00:16:48.000]  And so we can show no mercy to any of them.
[00:16:48.159 --> 00:16:51.679]  And I've told the Justice Department, the evidence is there and died all their asses.
[00:16:52.000 --> 00:16:59.039]  And they are getting ready retroactive impeachment of Obama to strip him of his presidential powers, indict him.
[00:16:59.360 --> 00:17:01.759]  And they've got David Schoen, who's not a lightweight.
[00:17:02.000 --> 00:17:03.039]  He's probably the best lawyers in the country.
[00:17:03.120 --> 00:17:04.240]  He doesn't run his mouth.
[00:17:04.480 --> 00:17:07.519]  And he's one of the top advisors of Trump on this.
[00:17:08.079 --> 00:17:21.839]  And he says, no, have an impeachment, put all their crimes on TV so the public understands it because it knows the media won't cover the fact that Russia gets a total hoax and proven to be a fraud and strip him and strip Biden.
[00:17:22.079 --> 00:17:23.440]  And we have the auto pin.
[00:17:23.839 --> 00:17:25.519]  We can impeach him on that.
[00:17:25.839 --> 00:17:27.279]  And then null and void everything they did.
[00:17:27.440 --> 00:17:34.240]  I mean, this is what they did was a multi-layered coup with the auto pin and switching candidates last year.
[00:17:34.559 --> 00:17:37.920]  And I told you crossfire hurricane type stuff.
[00:17:38.559 --> 00:17:41.119]  They just called their criminal activity crossfire hurricanes.
[00:17:41.279 --> 00:17:41.920]  They knew it might come out.
[00:17:42.278 --> 00:17:43.138]  just a bunch of lawlessness.
[00:17:43.138 --> 00:17:55.197]  They, they said, and I, and I talked to, I told you months ago, I said, no, they're going to go after the Mar-a-Lago Ray.
[00:17:55.359 --> 00:17:57.680]  They're going to go after the 2020 election theft.
[00:17:58.559 --> 00:18:05.039]  The CIA and FBI being involved with China, helping them ship the ballots in, filled out for Biden, helping cover it up.
[00:18:05.200 --> 00:18:07.920]  We had the whistleblowers then, the people at the Postal Service that saw it.
[00:18:08.159 --> 00:18:09.440]  FBI came and threatened them.
[00:18:09.680 --> 00:18:10.319]  We have all that.
[00:18:10.400 --> 00:18:13.119]  And see, the statute of limitations isn't over on that stuff.
[00:18:14.000 --> 00:18:17.680]  People always say, oh, yeah, we got Brendan Clapper and Comey committing perjury cut and dry.
[00:18:17.839 --> 00:18:18.400]  Oh, we didn't leak.
[00:18:18.879 --> 00:18:19.599]  We weren't investigating.
[00:18:19.680 --> 00:18:20.480]  There was no investigation.
[00:18:20.960 --> 00:18:22.799]  It didn't come from Obama.
[00:18:24.000 --> 00:18:26.319]  But that statute of limitations is over five years.
[00:18:26.480 --> 00:18:28.159]  Well, all this other stuff's not.
[00:18:28.480 --> 00:18:32.400]  And notice they're not even talking about the latest perjury and things.
[00:18:32.720 --> 00:18:34.879]  They're talking about seditious conspiracy.
[00:18:35.200 --> 00:18:36.879]  They're talking about treasonous conspiracy.
[00:18:37.039 --> 00:18:39.039]  And that's the name of the strike force.
[00:18:39.599 --> 00:18:41.440]  And they're not just counting on the Justice Department.
[00:18:41.759 --> 00:18:43.920]  They got all the agencies involved.
[00:18:44.559 --> 00:18:49.519]  And that's what General Flynn said six months ago.
[00:18:49.680 --> 00:18:58.240]  And he said, as soon as she gets approved, Trump should put Gabbard because she's shown she'll execute.
[00:18:59.119 --> 00:19:08.400]  And so is Roger Stone in charge of leading the task force.
[00:19:08.799 --> 00:19:10.000]  This is beyond the Justice Department.
[00:19:10.079 --> 00:19:11.920]  This is an intelligence operation.
[00:19:12.639 --> 00:19:16.000]  This is a party engaged in espionage and a coup against the country.
[00:19:16.319 --> 00:19:19.599]  People always keep thinking about the Russians, the Chinese, and that's a real issue.
[00:19:19.839 --> 00:19:22.400]  But you always hear about third world countries.
[00:19:22.559 --> 00:19:23.279]  What overthrows it?
[00:19:23.359 --> 00:19:28.639]  Its own security services, Rome with the Praetorian Guards and all of that.
[00:19:29.839 --> 00:19:33.200]  So normally powerful countries fall from within.
[00:19:33.519 --> 00:19:34.639]  It's not normally from without.
[00:19:34.720 --> 00:19:36.480]  So it's not like this is some new thing.
[00:19:36.799 --> 00:19:45.680]  People just, through Hollywood and culture, are conditioned to think that the Justice Department and the agencies are like good guys or something.
[00:19:47.279 --> 00:19:49.599]  And certainly the rank and foul are out just doing regular jobs.
[00:19:49.680 --> 00:19:54.240]  But no, historically, the leadership is very political and goes from bad to worst.
[00:19:55.840 --> 00:19:57.519]  So it's all going down.
[00:19:57.680 --> 00:19:59.279]  So I'm going to get into all that coming up.
[00:19:59.600 --> 00:20:06.160]  But just to show the receipts here, I don't like to mention something and not show it, like corporate media does.
[00:20:06.799 --> 00:20:10.799]  Jones says, kill illegal aliens crossing the border, ADL.
[00:20:11.680 --> 00:20:14.880]  I had my lawyer years ago, send him a letter, saying, We're going to sue you, retract it.
[00:20:14.960 --> 00:20:15.759]  Where did I say it?
[00:20:16.080 --> 00:20:17.840]  Didn't say it, didn't say anything close to it.
[00:20:18.000 --> 00:20:19.840]  They just pulled it out of their butt.
[00:20:20.799 --> 00:20:22.799]  And that's what they do.
[00:20:23.440 --> 00:20:25.840]  Well, when we tell you something, we like to show it to you.
[00:20:26.160 --> 00:20:34.640]  So here is Trump in the Rose Garden, and then here's Trump in the TV interview talking about why he did what he did.
[00:20:34.960 --> 00:20:38.080]  And then I want to respond to Bolton and his ridiculous lies.
[00:20:38.400 --> 00:20:39.120]  Here it is.
[00:20:40.080 --> 00:20:41.440]  No, Dave, nuclear coming.
[00:20:42.240 --> 00:20:42.640]  Oh, yeah.
[00:20:42.800 --> 00:20:44.000]  Well, we had to do that.
[00:20:44.480 --> 00:20:46.240]  We just have to be careful.
[00:20:46.560 --> 00:20:49.680]  And a threat was made, and we didn't think it was appropriate.
[00:20:50.000 --> 00:20:51.200]  So I have to be very careful.
[00:20:51.360 --> 00:20:55.120]  So I do that on the basis of safety for our people.
[00:20:55.440 --> 00:21:01.120]  A threat was made by a former president of Russia, and we're going to protect our people.
[00:21:03.519 --> 00:21:13.600]  A former president of Russia, who's now in charge of one of the most important councils, Medvedev, said some things that are very bad talking about nuclear.
[00:21:13.920 --> 00:21:21.680]  And when you mention the word nuclear, I say, you know, my eyes light up and I say, we better be careful because it's the ultimate threat.
[00:21:21.840 --> 00:21:22.559]  Shouldn't have said it.
[00:21:22.720 --> 00:21:24.080]  He's got a fresh mouth.
[00:21:24.240 --> 00:21:25.920]  He said things in the past too.
[00:21:26.559 --> 00:21:29.600]  And so we always want to be ready.
[00:21:29.920 --> 00:21:34.000]  And so I have sent to the region two nuclear submarines.
[00:21:34.080 --> 00:21:38.960]  I just want to make sure that his words are only words and nothing more than that.
[00:21:39.600 --> 00:21:41.519]  And again, they were already there.
[00:21:41.680 --> 00:21:43.759]  He's letting them know they're at DEF CON 1.
[00:21:46.960 --> 00:21:47.279]  All right.
[00:21:47.440 --> 00:21:50.080]  Russia is staying quiet on Trump's nuclear move.
[00:21:50.240 --> 00:21:51.360]  The BBC is reporting.
[00:21:51.519 --> 00:21:52.880]  That is good news.
[00:21:53.200 --> 00:21:55.120]  We just need to de-escalate this.
[00:21:55.440 --> 00:21:59.039]  And then you've got this information.
[00:21:59.360 --> 00:22:00.720]  Very risky business.
[00:22:01.039 --> 00:22:04.720]  John Bolton reacts to Trump's nuclear suborder.
[00:22:05.680 --> 00:22:17.279]  Now, Bolton, big neocon national security advisor, both under Bush, W, and then Trump, total traitor, leaks, fake info, fake intelligence briefings of Trump.
[00:22:17.360 --> 00:22:19.920]  That's all come out now in documents released last week.
[00:22:20.800 --> 00:22:22.320]  Total piece of garbage.
[00:22:22.640 --> 00:22:23.759]  He is such a fraud.
[00:22:24.000 --> 00:22:28.320]  Maybe he doesn't even understand nuclear doctrine, but I find it hard to believe he doesn't.
[00:22:29.600 --> 00:22:32.800]  Saying it's risky to move submarines up.
[00:22:35.680 --> 00:22:37.920]  I said yesterday the submarines are always there.
[00:22:38.480 --> 00:22:39.440]  That's just a fact.
[00:22:39.759 --> 00:22:44.320]  I mean, they rotate in and out, but when they're on deployment, they're out there and then others will leave them.
[00:22:45.279 --> 00:22:56.800]  And then if there's a really wartime situation going on or pre-wartime, which is now, they're not letting, I guarantee you, those folks on those subs are having their deployments extended unless the submarine's having malfunctions.
[00:22:57.039 --> 00:22:59.519]  And they run back to port, fix it, and run back back.
[00:22:59.840 --> 00:23:10.160]  So that's all classified, but I guarantee you, those of you that have submariners in the nuclear fleet and also in the Hunter-Killer ones, kill the other subs.
[00:23:10.800 --> 00:23:14.480]  Guarantee, if you've got families supposed to be back in the last few months, I bet they're on deployment.
[00:23:14.640 --> 00:23:18.720]  You're not even hearing from them because they're down at the bottom of the ocean sneaking around.
[00:23:19.360 --> 00:23:30.880]  So again, Bolton just does this to criticize Trump and act like Trump did some wild, you know, unusual thing.
[00:23:32.080 --> 00:23:37.519]  No, Trump just reminded him we have nuclear submarines and I've deployed them.
[00:23:37.840 --> 00:23:53.440]  And again, I haven't looked at the latest numbers in years, but I'd imagine there's last time there's probably 30 or 40 subs around Russia, just the one, you know, the ones that launched the nukes and a whole bunch of other ones sneaking around, hunting Russian subs.
[00:23:53.759 --> 00:23:58.559]  And then there's going to be probably 20 or 30 off the coast of China, maybe even more.
[00:24:00.160 --> 00:24:06.160]  And little, little, the point is, is that this is going on.
[00:24:06.800 --> 00:24:10.079]  And I can assure you, the United States has got other stuff nobody knows about.
[00:24:10.400 --> 00:24:12.079]  I'll just stop right there.
[00:24:12.400 --> 00:24:16.880]  But I mean, just listen to Bolton for yourself.
