# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.000 --> 00:00:32.320]  InfoWars, tomorrow's news.
[00:02:38.879 --> 00:02:44.479]  I'm not going to just jump to conclusions, but I will give you my analysis even when it happens.
[00:02:44.800 --> 00:02:46.400]  But it is a very serious situation.
[00:02:46.640 --> 00:02:49.599]  I sense something as big or bigger than 9-11.
[00:02:49.920 --> 00:02:52.240]  I feel a disturbance in the force.
[00:02:52.719 --> 00:02:57.280]  The last time I felt it was in the presence of my old master.
[00:02:58.560 --> 00:03:02.000]  So, Yeah.
[00:03:02.639 --> 00:03:03.919]  And I think you can feel it too.
[00:03:04.000 --> 00:03:05.840]  You can see it as well intellectually.
[00:03:07.439 --> 00:03:10.240]  So there's all these different angles in the economy.
[00:03:10.560 --> 00:03:18.240]  There's also giant PR talking points going out that a lot of people are picking up on and buying into.
[00:03:19.439 --> 00:03:29.840]  And even though there are people I really like and respect who are right most of the time, when they, in my opinion, are wrong, I will talk about it.
[00:03:30.479 --> 00:03:32.879]  And I'm not cherry-picking Joe Rogan.
[00:03:33.039 --> 00:03:34.560]  It's a whole bunch of people doing it.
[00:03:35.439 --> 00:03:39.520]  And I know he's just repeating what he hears on the street because I hear it too.
[00:03:40.719 --> 00:03:43.280]  And I understand it's painful for a lot of people.
[00:03:43.920 --> 00:03:49.920]  But, you know, Joe's like, this is just crazy how many innocent people Trump is deporting.
[00:03:51.120 --> 00:03:52.800]  I thought he was just going to deport the criminals.
[00:03:52.960 --> 00:03:54.400]  Well, that was in round one.
[00:03:55.039 --> 00:03:57.520]  But everybody here illegally is a criminal.
[00:03:58.400 --> 00:04:00.560]  And this is part of a globalist invasion.
[00:04:00.879 --> 00:04:03.120]  They're the ones that did all this lawlessly and illegally.
[00:04:03.280 --> 00:04:05.519]  And now I have the Article III judges working against Trump.
[00:04:05.840 --> 00:04:14.960]  So when they bring you into a martial law system they created, martial law just means not governance of the Constitution.
[00:04:15.199 --> 00:04:18.720]  Well, what did you have with the Democrats and the NGOs?
[00:04:18.800 --> 00:04:20.560]  They're the ones that brought us here.
[00:04:20.879 --> 00:04:26.079]  So yeah, you bet when they're death threatening and attacking the ICE people, they're going to wear a mask.
[00:04:26.399 --> 00:04:30.800]  That normally, normal police doing that, not in a total crisis, I'd be against it.
[00:04:30.879 --> 00:04:31.680]  I've always been against.
[00:04:31.920 --> 00:04:39.759]  But when they bring us into that, you better damn believe we're in an emergency and we didn't start it, but we're going to finish it.
[00:04:40.079 --> 00:04:40.720]  Stay with me.
[00:04:40.879 --> 00:04:41.920]  I'm Alex Jones.
[00:04:42.079 --> 00:04:43.120]  This is the Infowar.
[00:04:43.279 --> 00:04:44.720]  Share the live feed now.
[00:04:45.040 --> 00:04:48.720]  It is Thursday, June 26, 2025.
[00:04:49.920 --> 00:04:51.840]  And I'm your host, Alex Jones.
[00:04:52.480 --> 00:05:14.399]  Well, I overall would say the Trump administration in its first 150-something days is overperforming as we enter day 157 from what I thought they could get done, knowing the obstacles and knowing how deep the bureaucracy, both corporate and governmental, is.
[00:05:15.680 --> 00:05:26.879]  That said, I enthusiastically criticize every misstep I believe the president and the people I know that are good and loyal make because that's my job.
[00:05:27.200 --> 00:05:28.960]  And it doesn't mean I'm always right either.
[00:05:29.120 --> 00:05:35.120]  And I welcome criticism of myself that is legitimate and in many cases helps me make better decisions.
[00:05:35.439 --> 00:05:42.399]  We are not the Democratic Party that's a cult that receives the messages from on high and then chirps them out like a bunch of parrots.
[00:05:43.680 --> 00:05:46.960]  But overall, I would give Trump an A-plus.
[00:05:48.879 --> 00:05:52.879]  Veering into this expansion of war in the Middle East, very dangerous.
[00:05:53.519 --> 00:06:10.160]  But as Victor Arband said at the NATO summit, everything he sees with Trump is dialing everything back, and he's got the deep state military-industrial complex by the tail, but it's a tiger.
[00:06:10.800 --> 00:06:16.879]  And Trump legitimately doesn't like war, he legitimately understands it's incredibly dangerous.
[00:06:17.519 --> 00:06:23.279]  And now he's seeing the pitfalls that I predicted, where they would say it was a big scandal that you didn't take out the nuclear material.
[00:06:23.600 --> 00:06:29.519]  When they say they took out the sites, yeah, they damaged them very badly and obliterated some.
[00:06:30.480 --> 00:06:33.840]  That's true, but it's an argument about terms.
[00:06:34.480 --> 00:06:37.840]  And now they're making it a huge scandal at congressional hearings and all the rest of it.
[00:06:38.000 --> 00:06:44.160]  And I was the only person in the last few weeks, last month before this even started, saying it every day.
[00:06:45.040 --> 00:06:46.879]  And now you see it.
[00:06:47.759 --> 00:06:50.480]  Now, out of this, a lot of good has happened.
[00:06:50.800 --> 00:07:16.399]  The acceleration of the American people understanding that the Israel lobby, when it comes to our foreign policy, has more power than the populist Republican grassroots and controls more members of the House and Senate than the president does.
[00:07:18.560 --> 00:07:25.360]  Netanyahu can get more votes on issues pertaining to the Middle East and our military.
[00:07:25.680 --> 00:07:26.879]  That's on record.
[00:07:27.199 --> 00:07:28.800]  Than Trump can pull.
[00:07:30.720 --> 00:07:36.480]  And that's because Trump's not sitting there putting campaign money into these people's pockets.
[00:07:37.439 --> 00:07:39.360]  So I don't hate Israel.
[00:07:39.680 --> 00:07:41.759]  I don't want Israel blown off the map.
[00:07:42.079 --> 00:07:44.720]  I don't fetishize hating Jews.
[00:07:45.600 --> 00:07:52.079]  But I also don't lionize Israel and just take everything that Israel does as, oh, it's our little ally, a gallant ally.
[00:07:52.159 --> 00:07:53.120]  We got to do whatever they say.
[00:07:53.439 --> 00:07:54.480]  Bullcrap.
[00:07:56.319 --> 00:08:02.159]  Criticism of Israel is always fair game or anybody else or any other country.
[00:08:02.720 --> 00:08:21.840]  And I am disgusted by the manipulation of even our domestic policies by the Israel lobby and then denials by Ted Cruz and others in that ridiculous interview last week with Dick Carlson, where he goes, AIPAC has no influence.
[00:08:22.720 --> 00:08:26.960]  I mean, it's like saying the ocean doesn't have any water in it.
[00:08:28.800 --> 00:08:42.879]  And so those of us that have been critical of this, that it needs to be our president and the American people and what we voted for needs to be our policy, not what NATO wants, not what the UK wants, not what Israel wants.
[00:08:44.399 --> 00:08:49.120]  That needs to be our guiding North Star.
[00:08:49.440 --> 00:08:55.200]  So Steve Bannon is this very smart person, and he's been proven right about everything.
[00:08:55.519 --> 00:08:58.879]  And that's why he's been consistently targeted by the deep state.
[00:08:59.759 --> 00:09:03.279]  And he's been really coming out hard yesterday and today.
[00:09:06.480 --> 00:09:21.679]  And he was the only other major media figure that talked about what I predicted and had me on and agreed that they're going to make it a major scandal and claim that they didn't destroy the fissile material, which obviously the Iranians got out of there.
[00:09:22.000 --> 00:09:25.279]  But it does knock them back that they can't produce more.
[00:09:26.480 --> 00:09:38.240]  And so it does mitigate it, but it's not really true that it's completely removed.
[00:09:38.559 --> 00:09:43.600]  And so that keeps the crisis on the table.
[00:09:44.159 --> 00:10:02.399]  And Netanyahu's emergency powers elapsed in about five and a half months, he will definitely cook something up to try to continue the policy of regime change.
[00:10:02.720 --> 00:10:11.200]  And Ayatollah, the supreme leader, claims victory over U.S. and Israel in first statement since strikes on nuke facilities.
[00:10:11.519 --> 00:10:18.080]  And he went on to say, what this really shows us is it was always about regime change because Trump actually said that.
[00:10:20.559 --> 00:10:23.919]  Well, if Trump wanted regime change, there's a good chance he could get it.
[00:10:24.559 --> 00:10:30.559]  But he understands it's a real roll of the dice and China and Russia are already coming into it, as well as North Korea.
[00:10:30.799 --> 00:10:32.799]  So he wisely pulled back.
[00:10:34.639 --> 00:10:40.000]  Before I get into banning the criticism of Israel, let me just give you my educated opinion on this.
[00:10:42.159 --> 00:10:49.039]  Israel, in the last 600-day war against Iran, with Iran, it's not a 12-day war.
[00:10:49.200 --> 00:11:00.399]  That was just the climax, the finale so far, at least of this act, has dominated and defanged Iran.
[00:11:01.600 --> 00:11:03.919]  And again, people go, we hate Israel.
[00:11:04.000 --> 00:11:04.720]  No, they lost.
[00:11:04.960 --> 00:11:08.559]  You don't make a statement off what you want to be true.
[00:11:08.720 --> 00:11:12.960]  And I don't want Israel to, quote, lose this war.
[00:11:13.120 --> 00:11:16.399]  I want this war to stop because it's so dangerous.
[00:11:16.480 --> 00:11:19.519]  It's rolling nuclear dice here, geopolitically.
[00:11:20.080 --> 00:11:25.680]  But to say that Israel and the U.S. lost this war is crap.
[00:11:26.879 --> 00:11:44.960]  Now, Israel was running the tables with legendary precision mixed with barbarism.
[00:11:45.519 --> 00:11:46.879]  And their argument is, well, that's war.
[00:11:46.960 --> 00:11:47.519]  That's what it is.
[00:11:47.680 --> 00:11:52.480]  But so we don't want to have it so dangerous for nuclear weapons and everything else.
[00:11:54.000 --> 00:12:02.399]  So they were the equivalent of a football game where one team gets 47 Points and the other team gets three points.
[00:12:03.039 --> 00:12:19.919]  When they went to direct conflict with Iran and Iran blasted billions and billions of dollars of infrastructure and potmarked the three major cities of Israel that weren't Jerusalem, that was a target of Abrahamic holy city.
[00:12:21.200 --> 00:12:25.759]  Iran, in the eyes of the Muslim world, is the winner.
[00:12:26.080 --> 00:12:38.240]  Now, not really strategically or militarily, but this turned into a football game where Israel so far has won, you know, 35 points to 14.
[00:12:39.440 --> 00:12:47.279]  And if Israel continues down this line, rolling the dice, rolling the dice, making us roll the dice with them, it just gets more and more dangerous.
[00:12:48.480 --> 00:12:54.240]  So it's not a true statement by the Ayatollah, but it gives him that argument.
[00:12:54.559 --> 00:12:55.759]  You can say, well, why does that matter?
[00:12:55.919 --> 00:13:00.799]  Well, it matters in the eyes of the whole world who wins wars, who loses wars.
[00:13:00.879 --> 00:13:04.639]  But I'll assure you, the war is not over.
[00:13:04.960 --> 00:13:10.080]  And you can argue what quarter we're in here, but the big lie is that the war is over.
[00:13:13.200 --> 00:13:15.600]  And you notice Israel is not saying that.
[00:13:17.759 --> 00:13:23.360]  And so there's a lot of Israelis and a lot of their press licking their lips publicly.
[00:13:23.680 --> 00:13:24.399]  A bunch of them.
[00:13:24.480 --> 00:13:26.639]  I showed you over the last few days their statements, Mark Levin and others.
[00:13:26.799 --> 00:13:32.480]  Oh, you just wait till the terrorists hit, then you'll get on board to obliterate Iran.
[00:13:34.080 --> 00:13:40.080]  Well, with Israel's long history of false flags, that's pretty much a confession before the act.
[00:13:41.360 --> 00:13:55.120]  So if there is terror attacks, Israel or groups associated with it are the prime suspects.
[00:13:55.440 --> 00:14:01.279]  But because Iran does have sleeper cells and has run its mouth recently about attacking us, they're right below Israel.
[00:14:01.600 --> 00:14:07.919]  And so I know I keep repeating that, but to me, that's a big, big, big, big, big deal.
[00:14:09.759 --> 00:14:12.559]  You know, the British say fortune favors the bold.
[00:14:13.440 --> 00:14:17.120]  And the Israelis say, by way of deception, we will win.
[00:14:18.720 --> 00:14:25.120]  And all I say is we keep following the old game plan, the old rules of war.
[00:14:27.279 --> 00:14:36.000]  That's what all the actuariists and all the futurists and all the top wargamers say, we got to stop this or we're all going to kill each other.
[00:14:36.559 --> 00:14:39.120]  We've got weapons too powerful.
[00:14:41.680 --> 00:14:45.360]  So discretion is a greater form of valor.
[00:14:46.559 --> 00:14:48.480]  And everybody's got their beefs from different sides.
[00:14:48.559 --> 00:14:49.920]  Everybody's got their angles.
[00:14:50.240 --> 00:14:56.879]  What I know is this is a sovereign country founded in 1776, July 4th.
[00:14:58.000 --> 00:15:09.919]  And I'm sick of BlackRock and the Israelis and British intelligence and NATO and the EU and the CHICOMs and the Russians to a certain extent and others manipulating our internal politics.
[00:15:13.759 --> 00:15:22.320]  Now, I got a bunch of clips I want to get to, and then I got a bunch of other domestic news that's so important we're going to be getting to as well, and some big guests today.
[00:15:25.519 --> 00:15:30.480]  Errol Musk was scheduled to be on next hour, but he had an emergency.
[00:15:30.639 --> 00:15:32.639]  He may still be on, or that he'll be on tomorrow.
[00:15:32.799 --> 00:15:33.120]  That's great.
[00:15:33.200 --> 00:15:36.559]  Look forward to talking to him just about his talk in Russia and his view on the world.
[00:15:36.720 --> 00:15:39.039]  Very interesting person, very controversial.
[00:15:39.600 --> 00:15:45.200]  And Laura Loomer is on the show to talk about her view on things.
[00:15:45.360 --> 00:15:53.120]  I don't want to spend a bunch of time in fighting and controversy and her and Tucker fighting all this crap, but she does talk to Trump a lot and is an interesting person.
[00:15:53.360 --> 00:15:54.559]  I've been friends with her a long time.
[00:15:54.879 --> 00:15:59.200]  I did criticize her recently because she's been acting like a gatekeeper, in my view, you know, up there.
[00:15:59.279 --> 00:16:00.639]  I'm taking screenshots of what you said.
[00:16:00.720 --> 00:16:02.559]  I'm going to show Trump about other people.
[00:16:02.720 --> 00:16:05.200]  I'm like, yeah, we want Trump to hear what we're saying.
[00:16:05.360 --> 00:16:07.360]  So don't act like we're sneaking this on air.
[00:16:07.440 --> 00:16:09.360]  Like, hey, I'm really against this war.
[00:16:09.600 --> 00:16:10.720]  And I think Trump's being misled.
[00:16:10.799 --> 00:16:11.519]  And I think it's really dangerous.
[00:16:11.840 --> 00:16:12.720]  But don't tell him I said it.
[00:16:12.799 --> 00:16:13.919]  Don't go tell the teacher.
[00:16:14.799 --> 00:16:16.399]  Don't tell daddy.
[00:16:18.000 --> 00:16:19.360]  Because Trump ain't my daddy.
[00:16:19.600 --> 00:16:21.039]  He's my president.
[00:16:21.919 --> 00:16:29.039]  And you've got the sycophants in NATO who know that Trump is very optimistic.
[00:16:29.120 --> 00:16:30.480]  Trump's very into being positive.
[00:16:30.559 --> 00:16:31.600]  He's into having a great time.
[00:16:31.840 --> 00:16:34.960]  It's not that he's an egomaniac and you can flatter him and get what you want.
[00:16:35.200 --> 00:16:36.240]  He loves excitement.
[00:16:36.320 --> 00:16:37.680]  He loves people agreeing with him.
[00:16:37.759 --> 00:16:39.039]  He loves having fun.
[00:16:39.600 --> 00:16:46.399]  And so you just see Netanyahu and Ruth, the head of NATO, just kissing his ass, just pouring the gravy on.
[00:16:47.039 --> 00:17:04.559]  I mean, I watched the videos, not just them calling him daddy and daddy running, you know, daddy knows what to do, but just all the other body language, different gaggles and clutches of people he was talking to, and they were just fawning on him.
[00:17:07.039 --> 00:17:10.319]  And then Trump's put out a music video about, you know, daddy's home.
[00:17:10.400 --> 00:17:11.360]  Hey, hey, hey, daddy.
[00:17:11.519 --> 00:17:12.480]  Oh, my God.
[00:17:14.319 --> 00:17:21.599]  So they know that the populist movement is unstoppable with the proper leadership around the world.
[00:17:21.839 --> 00:17:22.960]  They know they're in trouble.
[00:17:23.279 --> 00:17:35.200]  And so now they've gone from openly criticizing him when he was in the first time at NATO summits and G20 summits and G8 summits, now G7 summits and World Economic Forum summits.
[00:17:35.519 --> 00:17:36.720]  They'd be wrapped up with GGPing.
[00:17:36.880 --> 00:17:37.360]  He'll beat you.
[00:17:37.440 --> 00:17:37.759]  Don't worry.
[00:17:37.839 --> 00:17:38.319]  Ha, ha, ha.
[00:17:38.640 --> 00:17:40.160]  So like, oh, yes, Master.
[00:17:40.319 --> 00:17:40.559]  Oh.
[00:17:41.759 --> 00:17:43.440]  That's a very dangerous point to be at.
[00:17:43.599 --> 00:17:50.559]  But that's because they realize Trump and the populist movements around the world have all the cards.
[00:17:51.440 --> 00:18:05.279]  If we're non-interventionist, peace or strength, if we continue the economic deals, if we continue the trade realignment that we're winning on, if we boost energy production, If we stabilize the dollar, if we get interest rates cut, yes, we're on the winning path.
[00:18:05.440 --> 00:18:08.720]  The whole global political order is being realigned right now.
[00:18:08.960 --> 00:18:11.119]  It's a new new world order.
[00:18:11.440 --> 00:18:14.079]  It's all in flux right now.
[00:18:17.519 --> 00:18:20.400]  So it's ours to lose.
[00:18:21.839 --> 00:18:24.400]  Don't be a panicking like on the trade deals.
[00:18:24.480 --> 00:18:27.119]  It was really a political realignment, a new alliance.
[00:18:28.400 --> 00:18:36.000]  But then you get the neocons trying to come in and say they represent the real MA, Mark Levin and Everett Trumper, all those other people.
[00:18:36.240 --> 00:18:38.000]  He's just an example of them.
[00:18:38.559 --> 00:18:41.440]  And that gaslighting has failed.
[00:18:41.920 --> 00:18:48.480]  And they want to say, if we try to keep MA true to its aims, we are the traitors.
[00:18:48.640 --> 00:18:49.759]  We are the imposters.
[00:18:50.000 --> 00:18:51.920]  And it's preposterous.
[00:18:53.440 --> 00:19:15.599]  And at the heart of that is the powerful propaganda and funding networks of the Israeli lobby that's not just APAC, but is their big donors and is a lot of the media and that is the Mossad and the rest of it that is extremely effective, as you've seen, in everything they do.
[00:19:17.359 --> 00:19:20.799]  So I'll always give it to Israel and their lobby and the rest of it.
[00:19:21.119 --> 00:19:23.119]  Yeah, you guys are something else.
[00:19:23.440 --> 00:19:36.480]  And at the end of the day, though, the globalists, the big banks, want the Trump plan to fail because they want us all to collapse into debt for the social credit score and total control.
[00:19:36.799 --> 00:19:40.720]  And at the end of the day, I don't want nuclear war and you're rolling the dice with your policies on that.
[00:19:40.960 --> 00:19:45.039]  You're only looking at your own view and not looking at the ripple effects.
[00:19:45.359 --> 00:19:47.680]  And it could easily kill our recovery.
[00:19:48.000 --> 00:19:56.000]  So that's why I am very strongly opposing you wanting regime change and accelerating all this crap.
[00:19:56.640 --> 00:19:59.680]  And that's why I'm on your ass.
[00:20:00.559 --> 00:20:02.160]  And it's the same thing with Steve Bannon.
[00:20:02.240 --> 00:20:03.920]  Steve Bannon does not hate Israel.
[00:20:04.079 --> 00:20:05.440]  He's been pro-Israel.
[00:20:05.759 --> 00:20:13.360]  But he understands that what you want to do is very selfish and is only thinking about yourself.
[00:20:13.680 --> 00:20:18.000]  Well, think about yourself out more than just wanting to kill the Mullahs.
[00:20:19.599 --> 00:20:20.000]  I get it.
[00:20:20.079 --> 00:20:25.680]  You're all wound up and it's an ancient battle and you're finally routing them and you finally knocked out most of your enemies.
[00:20:25.759 --> 00:20:29.360]  And God dog it, if you'd just get behind us, we'd finish these sons of bitches off.
[00:20:29.680 --> 00:20:40.799]  You don't think the Russians and the Chinese and the North Koreans and the Pakistanis and all of them and Saudi Arabia moving closer now to Iran, you don't think they don't know they're next.
[00:20:41.119 --> 00:20:43.200]  You don't now Israel's, we're a superpower.
[00:20:43.279 --> 00:20:45.680]  All this geckos, if you run the U.S., you are.
[00:20:46.319 --> 00:20:49.839]  If you run the big weapon system we've got that's the best in the world.
[00:20:50.480 --> 00:20:50.799]  Yeah.
[00:20:52.240 --> 00:20:54.319]  And so they're watching.
[00:20:54.640 --> 00:20:55.599]  And see, here's the deal.
[00:20:55.839 --> 00:21:01.119]  I don't want to have a conquest nuclear war.
[00:21:01.440 --> 00:21:03.920]  I want to de-escalate and go type 1 civilization.
[00:21:04.079 --> 00:21:08.559]  You know, Buck Rogers, just like Elon Musk once.
[00:21:08.880 --> 00:21:20.000]  So I can look at where this goes and I can read what the Rand Corporation, everybody else says, and why most Trump's advisors said don't do this, because it's too dangerous.
[00:21:22.559 --> 00:21:26.000]  So the Israeli bots are putting me out as Muhammad and as Amulah.
[00:21:26.079 --> 00:21:26.720]  I think it's hilarious.
[00:21:26.799 --> 00:21:27.759]  They flood the zone with it.
[00:21:28.000 --> 00:21:28.160]  Yeah.
[00:21:28.400 --> 00:21:31.680]  You think anybody actually buys that crap?
[00:21:32.000 --> 00:21:36.640]  You think anybody thinks I'm going to cry at night in my pillow if the Ayatollah gets his ass killed?
[00:21:36.960 --> 00:21:37.599]  Come on.
[00:21:37.920 --> 00:21:38.799]  Stop it.
[00:21:40.640 --> 00:21:43.200]  Or I should say intensify because it's hilarious.
[00:21:43.440 --> 00:21:45.359]  I mean, I actually get off on it.
[00:21:45.680 --> 00:21:49.039]  But let's now go to Steve Bannon.
[00:21:49.119 --> 00:21:56.160]  So here's Steve first talking about Fox News that literally is like an APAC mouthpiece.
[00:21:56.240 --> 00:21:58.240]  So, oh, the Russians are influencing the elections.
[00:21:58.319 --> 00:22:00.079]  All that stuff is basically made up, totally exaggerated.
[00:22:00.240 --> 00:22:01.440]  But with Israel, it's a fact.
[00:22:01.759 --> 00:22:10.319]  And you've had Fox basically going against what Trump's wanting and wanting full regime change for weeks, even before it was officially announced by Israel.
[00:22:10.640 --> 00:22:12.319]  But obviously, I said that's what it is.
[00:22:12.480 --> 00:22:13.279]  And that's what it is.
[00:22:13.440 --> 00:22:14.720]  That's the goal.
[00:22:15.039 --> 00:22:19.119]  And then he goes into Mark Levin, who is Tel Aviv Levin.
[00:22:19.680 --> 00:22:27.599]  And look, Mark Levin is a disgusting neocon anti-Trumper.
[00:22:29.519 --> 00:22:36.559]  Now, we've forgiven people, at least halfway, like Ted Cruz, who's good on domestic issues, who was a never-Trumper.
[00:22:37.519 --> 00:22:42.160]  But people like Lindsey Graham and the rest of them are disgusting.
[00:22:42.720 --> 00:23:02.559]  And Mark Levin trying to go around as the warden of the mind control base he wishes we were in, attacking everyone as un-American and traitors who don't want to have regime change or forced regime change that we have to do, which will probably not work, at least for a long time, get us in a quagmire.
[00:23:02.880 --> 00:23:05.519]  So you are Tel Aviv Levin.
[00:23:06.240 --> 00:23:07.920]  And that's not a pejorative.
[00:23:08.559 --> 00:23:09.920]  It's who you're with.
[00:23:10.160 --> 00:23:11.599]  It's who you're for.
[00:23:11.920 --> 00:23:13.360]  And it's on record.
[00:23:13.680 --> 00:23:14.720]  So that's great.
[00:23:15.039 --> 00:23:17.839]  But stop wearing your American flag pin.
[00:23:18.160 --> 00:23:19.599]  Stop all that stuff.
[00:23:20.799 --> 00:23:23.279]  That's not who you work for.
[00:23:23.599 --> 00:23:24.559]  Damn it.
[00:23:25.519 --> 00:23:29.200]  So be honest about who you are.
[00:23:30.079 --> 00:23:32.880]  You're Israel first, not America first.
[00:23:32.960 --> 00:23:33.839]  Play the clips.
[00:23:34.160 --> 00:23:39.680]  Anybody that took a paycheck from Fox in 21, Murdoch Senate, we're going to make Trump a non-person.
[00:23:39.920 --> 00:23:47.759]  You sat there and you ran Ron DeSantis and Nikki Haley and all of them that are never going to be president, never going to win national elections, ever.
[00:23:49.839 --> 00:23:58.960]  Just like the collection of clowns you put up in 2016 and yes, they were by and large not with the program and got turfed out and beaten.
[00:23:59.279 --> 00:24:01.440]  Although Fox went all in for them.
[00:24:01.519 --> 00:24:04.079]  You tried to kneecap Trump in the very first debate.
[00:24:05.839 --> 00:24:07.039]  You hated Trump.
[00:24:08.240 --> 00:24:09.519]  You hated Trump.
[00:24:09.839 --> 00:24:13.039]  And the show much, how much you hate him, you won't even deal straight now.
[00:24:13.359 --> 00:24:15.920]  It's just propaganda, propaganda, and Lindsey Graham.
[00:24:16.559 --> 00:24:17.200]  We can play clips.
[00:24:17.359 --> 00:24:18.720]  I can do the whole show one hour.
[00:24:19.039 --> 00:24:19.839]  And you know what?
[00:24:20.160 --> 00:24:22.240]  You would be so repulsed by it.
[00:24:23.440 --> 00:24:28.160]  Be like that time in Clockwork Orange.
[00:24:28.400 --> 00:24:29.680]  Your eyelids are popped open.
[00:24:29.920 --> 00:24:31.519]  You got to watch it all the time.
[00:24:31.839 --> 00:24:34.400]  Over and over and over again.
[00:24:35.599 --> 00:24:37.119]  Just like in Iraq.
[00:24:39.359 --> 00:24:40.480]  It was pretty extraordinary.
[00:24:40.559 --> 00:24:44.960]  And I think it reinforces the president's total obliteration.
[00:24:45.440 --> 00:24:55.200]  And Dr. Gina, I think you guys nailed it, that you're sitting there and seeing the deep state because the media is the information arm of the deep state, right?
[00:24:55.359 --> 00:25:03.599]  Just like we called David Ignatius over at the Washington Post and Morning Joe, the comms director for the Langley Bugle.
[00:25:03.920 --> 00:25:07.119]  And I think the audience ought to understand this is the tension you saw.
[00:25:07.279 --> 00:25:19.279]  The buried lead in this thing is the tension you saw between Pete Hegseth, the Secretary of Defense, or as President Trump says, hey, maybe we go back and just rename it Secretary of War back in the times when we were winning wars.
[00:25:20.160 --> 00:25:24.319]  And Jennifer Griffin of Fox News.
[00:25:24.640 --> 00:25:30.400]  Because Fox News has been the biggest proponent of regime change.
[00:25:30.559 --> 00:25:34.559]  I mean, they're essentially a platform for a foreign government.
[00:25:34.799 --> 00:25:35.599]  Okay, let's be blunt.
[00:25:35.759 --> 00:25:41.519]  What the Murdochs are doing and what Fox News is doing, what Tel Aviv, Levin, Hannity, the whole crowd.
[00:25:41.839 --> 00:25:47.519]  And I realize, Dr. Gene, in particular, they're friends of yours and people that we've known for a long time.
[00:25:47.680 --> 00:25:50.319]  But you've got to call it like it is.
[00:25:50.960 --> 00:26:00.559]  What was so evident is the underlying tension of the deep state to want to continue an open-ended war in the Middle East.
[00:26:00.720 --> 00:26:03.440]  And President Trump is quite adamant about this.
[00:26:03.759 --> 00:26:16.240]  He sent really the most not just organized or logistically incredible, but lethal crushing of these facilities.
[00:26:16.480 --> 00:26:22.160]  And they didn't even get into the Tomahawk missiles and what the submariners did to the above ground.
[00:26:23.039 --> 00:26:23.360]  All right.
[00:26:23.519 --> 00:26:32.960]  So what you're seeing here is people that are Americans and serve America versus people at Fox and everything else that are basically Israeli agents.
[00:26:33.279 --> 00:26:35.920]  But it's also the military initial complex to a great extent wants this war.
[00:26:36.000 --> 00:26:36.880]  It's not just Israel.
[00:26:37.599 --> 00:26:38.799]  So that's wrong.
[00:26:39.519 --> 00:26:43.920]  So you're learning, again, who actually is an American and who isn't.
[00:26:44.480 --> 00:26:47.440]  And the Sobik's intelligence works directly under the president.
[00:26:47.519 --> 00:26:48.000]  I'll leave it at that.
[00:26:48.960 --> 00:26:50.400]  Bannon used to take care of the nuclear weapons.
[00:26:50.480 --> 00:26:52.000]  That's his job an officer in the Navy.
[00:26:52.160 --> 00:26:53.920]  These are real American patriots.
[00:26:55.039 --> 00:26:57.680]  And this is who Mark Levin says aren't Americans.
[00:26:58.880 --> 00:27:02.079]  Look, Levin, be honest, pack your bags and go to Israel, okay?
[00:27:02.319 --> 00:27:04.400]  You're welcome here, too, if you would just want to be an American.
[00:27:04.720 --> 00:27:05.599]  But stop it.
[00:27:05.920 --> 00:27:07.599]  I believe he's a foreign intelligence agent.
