[00:00:00.110 --> 00:00:06.719]  It's Friday.
[00:11:01.769 --> 00:11:02.610]  This is incredible.
[00:11:03.950 --> 00:11:07.230]  Now, we already know all of this.
[00:11:07.610 --> 00:11:09.830]  It's all historically on record.
[00:11:09.850 --> 00:11:11.570]  I'm going to show you this going back years.
[00:11:13.009 --> 00:11:15.929]  But maybe 1% of people understood this before.
[00:11:16.570 --> 00:11:22.730]  Now, most of the public has almost all the pieces but the final ones.
[00:11:23.789 --> 00:11:25.929]  But here's the bottom line, then I'll go through all the details.
[00:11:27.919 --> 00:11:52.659]  Disgraced FBI Director Comey, even before he was made the director by Obama, and then later fired by Trump, has bragged that he did the leaking and undermining and criminal investigations that were criminal investigations, not of criminals, that he was being a criminal, and the honeypots and planting the fake information.
[00:11:53.370 --> 00:11:59.590]  And it's his FBI units that tried to plant child porn on CBS reporters that were exposing him, Sheryl Atkins and others.
[00:12:01.330 --> 00:12:05.950]  This guy is obviously the key deep state cover-up controller.
[00:12:06.809 --> 00:12:08.929]  He is consummate deep state.
[00:12:09.309 --> 00:12:11.090]  Obama put him in as the FBI director.
[00:12:12.929 --> 00:12:18.570]  He's bragged that he ran the attempts to take down Trump illegally and General Flynn.
[00:12:19.190 --> 00:12:20.669]  Played the clips two days ago.
[00:12:22.920 --> 00:12:24.360]  He's testified to Congress.
[00:12:24.519 --> 00:12:24.980]  He never leaked.
[00:12:25.100 --> 00:12:33.799]  Later said, well, yeah, I mean, I gave it to my friend that's the dean of a college, and he gave it to the media.
[00:12:33.919 --> 00:12:34.740]  Well, that's the same thing.
[00:12:35.419 --> 00:12:44.500]  If a Mafiadon orders his captain to order a soldier to kill somebody, the Mafiadon's more guilty under law than the guy that pulls the trigger because it's premeditated he gave the order.
[00:12:45.559 --> 00:12:48.399]  He is the conspirator and master of the murder.
[00:12:48.620 --> 00:12:48.940]  One.
[00:12:53.120 --> 00:12:56.519]  So, Comey is a thug, globalist gangster.
[00:13:00.240 --> 00:13:06.559]  Yeah, Inspector General said he violated the law, illegally leaked, lied to Congress about it, but the DOJ Inspector General didn't do anything.
[00:13:06.840 --> 00:13:07.539]  NBC News.
[00:13:07.799 --> 00:13:10.940]  So, it's open and shut.
[00:13:12.659 --> 00:13:15.279]  Now, here's the big announcement, and I'll show it all to you.
[00:13:16.659 --> 00:13:18.980]  It's been James Comey's daughter.
[00:13:21.450 --> 00:13:28.990]  That has run all of the Jeffrey Epstein prosecutions and operations out of New York.
[00:13:31.608 --> 00:13:35.568]  She ran the Ghislaine Maxwell show trial where they limited what came out.
[00:13:35.568 --> 00:13:50.697]  And she's the one on record over all the files, including the whistleblowers have been there and seen them.
[00:13:50.700 --> 00:13:53.879]  And, oh, the whistleblowers told Bondi this came out last night.
[00:13:54.440 --> 00:13:56.480]  They have a bunch of the documents.
[00:13:56.539 --> 00:13:59.320]  Of course, they kept them wisely.
[00:14:01.700 --> 00:14:04.639]  So, Comey thinks he destroyed it all or hid it all.
[00:14:04.840 --> 00:14:06.279]  That's his insurance policy.
[00:14:06.460 --> 00:14:08.139]  No, no, no, no, no.
[00:14:09.139 --> 00:14:15.700]  So, his daughter was over raiding the big building in New York.
[00:14:16.120 --> 00:14:17.559]  I've been there and covered it.
[00:14:18.240 --> 00:14:20.980]  Type in Alex Jones, this is Jeffrey Epstein's lair in New York.
[00:14:21.100 --> 00:14:21.799]  We got footage of it.
[00:14:23.399 --> 00:14:34.899]  And there's all these photos we at least have that came out in court of giant filing cabinets of binders and huge stacks of VHS tapes and hard drives, whole rooms of it, just there alone.
[00:14:35.179 --> 00:14:42.419]  And she ran the operations in New Mexico, sweeping it up in the Caribbean and little St. John's, Peto Island.
[00:14:44.110 --> 00:14:56.769]  So she's on record, the one overall of this, sitting on the giant pile, like she smogged the dragon on gold, because it is blackmail gold, down in her subterranean lair.
[00:14:57.490 --> 00:15:09.289]  And then you've got her boss, James Dennehy, who was put in by the very same people.
[00:15:09.990 --> 00:15:12.610]  Director Christopher Wray, the minion of coming.
[00:15:13.230 --> 00:15:18.509]  To run the New York office of the FBI. And what did he say a month ago?
[00:15:18.610 --> 00:15:21.610]  He said, we're the resistance.
[00:15:22.110 --> 00:15:29.529]  Quote, we are going to dig in and not follow the DOJ. Wow, not follow the federal law.
[00:15:32.350 --> 00:15:34.669]  So, they're dug in.
[00:15:35.169 --> 00:15:37.169]  They won't release the information.
[00:15:38.330 --> 00:15:40.629]  They sign reports.
[00:15:41.220 --> 00:15:46.879]  Takash Patel, that what they gave them in that binder was everything and was new.
[00:15:50.299 --> 00:15:55.080]  And it was 99% lie, 200 plus pages.
[00:15:55.639 --> 00:15:58.460]  Yeah, there's 10 new ones, it looks like, shoved in there.
[00:15:58.559 --> 00:16:08.720]  And it's got the already known Israeli Prime Minister, Ehud Barak, who got caught in the news, on video, in photos there, coming out with women.
[00:16:09.259 --> 00:16:11.639]  Who are the managers over the underage girls?
[00:16:12.059 --> 00:16:12.759]  Many of them.
[00:16:14.299 --> 00:16:17.159]  FBI in battle with Trump amid purge of officials.
[00:16:17.299 --> 00:16:18.679]  Top agent Warren's staff.
[00:16:19.759 --> 00:16:20.460]  Scroll down.
[00:16:20.399 --> 00:16:21.259]  Let's show the date on that.
[00:16:21.319 --> 00:16:31.620]  And he goes on to say, quote, dig in.
[00:16:31.799 --> 00:16:32.879]  I'll show you the arc life right here.
[00:16:34.720 --> 00:16:35.240]  So...
[00:16:39.340 --> 00:16:40.559]  It's not even hidden.
[00:16:40.700 --> 00:16:41.240]  Look at these people.
[00:16:42.100 --> 00:16:43.379]  It's not even hidden.
[00:16:45.500 --> 00:16:49.399]  They're arrogant little princes and princes of the deep state.
[00:16:50.019 --> 00:16:51.500]  He's so arrogant.
[00:16:52.539 --> 00:16:54.679]  He says, don't give them what they want.
[00:16:54.919 --> 00:16:55.440]  Dig in.
[00:16:56.480 --> 00:16:57.720]  We're the resistance.
[00:17:02.519 --> 00:17:04.099]  And now...
[00:17:07.150 --> 00:17:10.269]  They have engaged in fraud, saying, no, this is everything.
[00:17:10.970 --> 00:17:22.230]  And we've got high-level FBI agents there that have told Pam Bondi, this is on record, I'll show you the articles, that, oh, by the way, we have thousands of pages of recordings, videos, and documents.
[00:17:23.750 --> 00:17:24.230]  Ooh!
[00:17:26.289 --> 00:17:27.150]  You see?
[00:17:27.369 --> 00:17:28.950]  They didn't get them all destroyed.
[00:17:30.230 --> 00:17:31.910]  Got your ass, homie.
[00:17:33.990 --> 00:17:35.490]  Oh, and you know who else?
[00:17:37.900 --> 00:17:43.920]  Jeffrey Epstein's handler is also handling.
[00:17:45.359 --> 00:17:51.920]  James Comey's daughter, Maureen Comey, is now handling the pedity case.
[00:17:54.220 --> 00:17:56.160]  Well, he's off in another part of the country.
[00:17:56.339 --> 00:17:57.680]  He's not supposed to get prosecuted where it happens.
[00:17:57.799 --> 00:18:05.359]  Oh, no, you all go back to them because they're there to not just cover up the pedophilia operations.
[00:18:05.789 --> 00:18:34.549]  P. Diddy was 100% CIA. They are running it with the CIA, and I can tell you that Comey and his daughter and James Dennehy, just like all the other key FBI agents that keeps coming out, are also double operative CIA 100%, and they go and they work at the private booze.
[00:18:35.940 --> 00:18:37.259]  Hamilton-type places.
[00:18:37.920 --> 00:18:41.619]  And they think they're smarter than everybody.
[00:18:41.980 --> 00:18:43.680]  They think it's the old game.
[00:18:44.240 --> 00:18:45.720]  They think they can get away with everything.
[00:18:45.799 --> 00:18:46.319]  But here's the deal.
[00:18:46.440 --> 00:18:48.160]  You failed to kill Trump twice.
[00:18:48.880 --> 00:18:50.099]  Now everybody knows.
[00:18:50.380 --> 00:18:52.700]  I'm watching Fox News yesterday like three times.
[00:18:52.700 --> 00:18:55.420]  They're saying, yeah, we all know the government tried to kill.
[00:18:55.579 --> 00:19:00.799]  Yeah, we all know they're suppressing that the shooter had people he was working with.
[00:19:00.960 --> 00:19:04.940]  And they've got the cell phone echo location data.
[00:19:06.549 --> 00:19:12.789]  GPS data, and it's, you know, FBI. And that's mainstream news now.
[00:19:12.950 --> 00:19:14.269]  I mean, it's over.
[00:19:15.470 --> 00:19:17.210]  You'll never get away with it now.
[00:19:19.170 --> 00:19:23.589]  Because you're in a real war with people that know this is a death battle.
[00:19:25.769 --> 00:19:30.210]  Oh, and you know who else tried to get me indicted a few times in the last five, six years?
[00:19:30.679 --> 00:19:32.900]  Southern District, these very people.
[00:19:33.059 --> 00:19:34.240]  I never made a big deal about it.
[00:19:34.380 --> 00:19:39.440]  Grand juries, having to respond, lawyers, huge bills, total made-up crap every time.
[00:19:41.460 --> 00:19:54.460]  And because everything that they were trying to do was so made up, even though these New York grand juries and these D.C. grand juries, I mean, they're just like 97% Democrat, by the grace of God, they didn't.
[00:19:59.049 --> 00:20:00.250]  But we actually learned why.
[00:20:02.430 --> 00:20:11.170]  Merrick Garland, as he came out with the Washington Post, and I learned how this was actually accurate, a big article a few years ago, he said don't do it when they had the indictments.
[00:20:11.910 --> 00:20:14.690]  Because he said, he's in the press, it's going to backfire.
[00:20:15.589 --> 00:20:22.049]  And they were going to indict me for J6, saying I led the attack, but Garland said he's there saying don't go in the building.
[00:20:22.190 --> 00:20:23.509]  It's not going to work because of that video.
[00:20:23.789 --> 00:20:25.250]  It's that video.
[00:20:25.950 --> 00:20:38.309]  He's the only reason I haven't been in prison the last four years and is the only reason that I just didn't get out, that they didn't kill me in there because of, you know, what they do, but I would have been pardoned by Trump.
[00:20:39.730 --> 00:20:41.529]  You wouldn't have seen me in the last few years, folks.
[00:20:41.630 --> 00:20:42.289]  I'd be in prison.
[00:20:44.630 --> 00:20:46.269]  J6, I said two, actually three.
[00:20:46.549 --> 00:20:53.630]  It was that D.C. had the indictment and Garland killed it, and then two in New York, which I've been asked not to get into.
[00:20:55.109 --> 00:20:55.970]  My lawyers.
[00:20:56.410 --> 00:20:58.609]  Lawyers you never heard me talk about.
[00:20:58.910 --> 00:20:59.890]  Very prominent ones.
[00:21:02.309 --> 00:21:25.150]  Yeah, these are photos of what came out in court that was in Epstein's building in New York and Maureen Show the articles.
[00:21:26.369 --> 00:21:27.970]  She said they got lost.
[00:21:32.490 --> 00:21:34.029]  What jury would believe?
[00:21:34.250 --> 00:21:34.789]  That's just one.
[00:21:34.890 --> 00:21:37.009]  They said there was dozens of rooms.
[00:21:37.269 --> 00:21:38.250]  There's other photos.
[00:21:38.529 --> 00:21:39.150]  Show the safe.
[00:21:39.289 --> 00:21:43.529]  Type in the missing safe in Epstein's New York mansion.
[00:21:43.849 --> 00:21:44.450]  Call it a mansion.
[00:21:44.569 --> 00:21:45.390]  It's like a five-story building.
[00:21:46.250 --> 00:21:47.490]  And it goes on and on.
[00:21:48.089 --> 00:21:52.069]  So that's what's going on here.
[00:21:52.690 --> 00:21:55.210]  And I got clips of Bongino talking about it, articles, all of it.
[00:21:55.750 --> 00:22:17.430]  So, the fact that they gave old information and said this is everything, and even before she released it, the night before, she goes, well, we found out there's actually more, so, but, and I said she would have canceled that, but since she already announced it, she went ahead and went with it, but said, hey, there'll be more, and put her letter on top saying, I've been lied to, we're raiding the New York offices.
[00:22:21.650 --> 00:22:28.410]  And then everybody wants to say, you know, it's the cool thing to say you're better than Trump, you're better than his people, when they're the ones actually under fire.
[00:22:28.549 --> 00:22:32.890]  So it was a really popular thing to attack Trump and Pam Bondi and Kash Patel last night.
[00:22:34.490 --> 00:22:43.109]  And I'm just telling those people out there, look, we've got real people trying to take down the globalists right now, who the globalists have been trying to kill.
[00:22:43.589 --> 00:22:44.910]  They've been trying to put me in prison.
[00:22:45.970 --> 00:22:47.990]  They've got a bunch of people been trying to kill Elon Musk.
[00:22:48.190 --> 00:22:50.049]  That hasn't broken the news yet, but...
[00:22:52.720 --> 00:22:56.359]  He's going to, is that up late last night down the road from here on Rogan?
[00:22:58.318 --> 00:23:02.308]  So stuff has really, really, really heated up.
[00:23:02.438 --> 00:23:11.568]  Yeah, we're going to play that clip from Dan in a minute.
[00:23:11.680 --> 00:23:13.480]  So since I mentioned all this, let me show you the articles.
[00:23:13.559 --> 00:23:14.140]  Overheadshot, please.
[00:23:15.980 --> 00:23:17.440]  Said I spoiled down on InfoWars.
[00:23:17.640 --> 00:23:22.940]  From Epstein to Diddy, spotlight shines on James Comey's Prosecutor daughter.
[00:23:24.500 --> 00:23:25.299]  Okay.
[00:23:27.000 --> 00:23:28.019]  Here's one.
[00:23:29.640 --> 00:23:34.019]  Maureen Comey, James Comey's daughter, co-leading Ghislaine case.
[00:23:35.900 --> 00:23:39.339]  Who is James Comey to Maureen Comey?
[00:23:39.519 --> 00:23:43.480]  Epstein accomplice Ghislaine Maxwell's lead prosecutor joins Diddy ongoing trial.
[00:23:43.700 --> 00:23:44.039]  Oh!
[00:23:44.900 --> 00:23:47.440]  To make sure everything gets covered up.
[00:23:48.519 --> 00:23:50.839]  Ghislaine Maxwell prosecutor joins...
[00:23:51.160 --> 00:23:53.140]  Did he come sex trafficking case?
[00:23:53.380 --> 00:23:53.720]  Hmm.
[00:23:55.779 --> 00:23:56.160]  Yeah.
[00:23:59.880 --> 00:24:08.220]  Dan Mangino, FBI Director, Deputy Director Dan Mangino, blowing the whistle on FBI, the most corrupt law enforcement agency on the planet.
[00:24:08.640 --> 00:24:11.960]  Evidence from Jeffrey Epstein's safe went missing after the FBI raid.
[00:24:12.240 --> 00:24:20.240]  How do you think he feels today after finding out that the most corrupt law enforcement agency on the planet sabotaged the United States of America as a general?
[00:24:20.720 --> 00:24:22.519]  Attorney General Pam Bondi.
[00:24:23.680 --> 00:24:25.460]  And I've confirmed this is going on.
[00:24:25.700 --> 00:24:33.759]  26 federal plazas, location of the FBI, NYO, New York field office, the same field office that A.G. Pam Bondi said was not cooperating with holding documents.
[00:24:33.799 --> 00:24:35.480]  He said there's a criminal investigation of them now.
[00:24:36.259 --> 00:24:42.720]  And there are 26. All right, so it continues here.
[00:24:45.019 --> 00:24:47.359]  Here's FBI.gov.
[00:24:47.779 --> 00:24:50.240]  James Dennehy named assistant director in charge.
[00:24:50.589 --> 00:24:52.049]  Of the New York field office.
[00:24:52.769 --> 00:25:00.930]  And he's the one that said, quote, a month ago, we've got to dig in and be the resistance.
[00:25:02.769 --> 00:25:03.910]  Let me show you that article.
[00:25:07.349 --> 00:25:10.609]  Top FBI agent in New York vows to dig in.
[00:25:11.289 --> 00:25:12.690]  Pull up an HD version of that, please.
[00:25:12.890 --> 00:25:14.089]  Just type in his name and dig in.
[00:25:14.769 --> 00:25:20.099]  Top FBI. Agent New York vows to dig in after removal at the agency.
[00:25:23.500 --> 00:25:25.099]  After removals at the agency.
[00:25:25.299 --> 00:25:25.900]  He wasn't removed.
[00:25:27.359 --> 00:25:31.799]  Top FBI agent New York vows to dig in, New York Times, after removal at agency.
[00:25:34.180 --> 00:25:38.740]  Agents that were involved in a lot of problems and that were recommended to me.
[00:25:38.799 --> 00:25:39.859]  But he's still there.
[00:25:40.519 --> 00:25:45.519]  And now he's literally been caught with...
[00:25:45.369 --> 00:25:49.230]  James Comey's evil daughter covering up.
[00:25:49.349 --> 00:25:50.170]  Well, that's what they do.
[00:25:50.289 --> 00:25:55.269]  They're assigned all these big CIA, Mossad, MI6, honeypots.
[00:25:55.390 --> 00:25:56.230]  It's all the same operation.
[00:25:58.029 --> 00:26:00.970]  And that's their specialty, and that's what he does.
[00:26:01.049 --> 00:26:02.470]  That's why they put him in as the FBI director.
[00:26:03.490 --> 00:26:05.089]  And here's the big takeaway.
[00:26:06.470 --> 00:26:24.500]  James Comey is running an illegal deep state multi-agency coup operation Against America and against the Trump agenda and covering up not just Epstein but everything and trying to sabotage and trying to undermine.
